source_headword	FR	example_FR
openly	ouvertement	Elle a parlé ouvertement de ses peurs.
opera	l'opéra	Nous avons vu un opéra à Milan.
operator	l'opérateur	L'opérateur a connecté l'appel.
optimistic	optimiste	Elle est optimiste quant à l'avenir.
orchestra	l'orchestre	L'orchestre a joué doucement.
organic	biologique	Ils ont acheté des légumes biologiques.
outfit	la tenue	Sa tenue correspondait à l'occasion.
output	le rendement	Le rendement de la machine a augmenté.
outstanding	exceptionnel	Sa performance était exceptionnelle.
overcome	surmonter	Ils surmontent les problèmes ensemble.
overnight	pendant la nuit	Le colis est arrivé pendant la nuit.
overseas	à l'étranger	Il a trouvé du travail à l'étranger.
ownership	la propriété	La propriété du terrain a changé.
oxygen	l'oxygène	Les plantes produisent de l'oxygène.
packet	le paquet	Ouvre le paquet soigneusement.
palm	la paume	Tiens la pièce dans ta paume.
panic	la panique	La panique s'est répandue dans la foule.
parade	le défilé	Le défilé a commencé à midi.
parallel	parallèle	Les routes sont parallèles.
participation	la participation	La participation en classe s'est améliorée.
partnership	le partenariat	Le partenariat a aidé les deux entreprises.
part-time	à temps partiel	Elle a trouvé un travail à temps partiel.
passionate	passionné	Il est passionné de musique.
password	le mot de passe	Choisissez un mot de passe fort.
patience	la patience	Enseigner aux jeunes enfants exige de la patience.
pause	mettre en pause	Mettez la vidéo en pause maintenant.
peer	le pair	La pression de ses pairs a influencé son choix.
penalty	la pénalité	Le joueur a reçu une pénalité.
perceive	percevoir	Les gens perçoivent le risque différemment.
perception	la perception	Sa perception du danger a changé.
permanently	définitivement	Le magasin a fermé définitivement.
pill	la pilule	Prenez une pilule après le petit-déjeuner.
pity	dommage	C'est dommage.
placement	le placement	Le placement du canapé a de l'importance.
portion	la portion	Servez une petite portion de riz.
potentially	potentiellement	Ce changement est potentiellement utile.
precede	précéder	Des nuages sombres précèdent souvent la pluie.
precious	précieux	L'anneau est précieux.
precise	précis	Les instructions étaient précises.
precisely	précisément	Mesurez la distance précisément.
predictable	prévisible	La fin était prévisible.
preference	la préférence	Elle a exprimé une préférence pour le thé.
pride	la fierté	Il a ressenti de la fierté après avoir terminé.
primarily	principalement	Le cours est principalement en ligne.
principal	le directeur	Le directeur a accueilli les nouveaux élèves.
prior	préalable	Nous avons besoin d'une approbation préalable.
probability	la probabilité	La probabilité de pluie est élevée.
probable	probable	La pluie est probable ce soir.
proceed	continuer	Veuillez continuer vers la pièce suivante.
programming	la programmation	La programmation demande de la pratique.
progressive	progressiste	La politique était progressiste pour son époque.
prohibit	interdire	Le règlement interdit de fumer.
promising	prometteur	Les résultats semblent prometteurs.
promotion	la promotion	Elle a obtenu une promotion au travail.
prompt	rapide	La réponse rapide a fait gagner du temps.
proportion	la proportion	Une grande proportion a voté oui.
protein	la protéine	Les haricots contiennent des protéines.
protester	le manifestant	Le manifestant tenait une pancarte.
psychological	psychologique	L'accident a causé un stress psychologique.
publicity	la publicité	L'événement a reçu de la publicité.
publishing	l'édition	Elle travaille dans l'édition.
punk	le punk	La musique punk y est devenue populaire.
purely	purement	Le choix était purement pratique.
pursuit	la poursuite	Il a continué sa poursuite de la justice.
puzzle	le puzzle	Le puzzle a pris une heure.
questionnaire	le questionnaire	Veuillez remplir le questionnaire.
racial	racial	Le rapport discutait des inégalités raciales.
racism	le racisme	Le racisme nuit aux communautés.
racist	raciste	Le commentaire était raciste.
radiation	les radiations	Les radiations peuvent endommager les cellules.
rail	la rampe	Tenez la rampe dans les escaliers.
random	aléatoire	L'ordinateur a choisi un nombre aléatoire.
rat	le rat	Un rat a couru derrière les poubelles.
rating	l'évaluation	L'hôtel a une évaluation élevée.
reasonably	raisonnablement	La chambre était raisonnablement propre.
rebuild	reconstruire	Ils reconstruiront le pont.
receiver	le receveur	Le receveur a attrapé la balle.
recession	la récession	La récession a réduit les dépenses.
reckon	penser	Je pense que le train est en retard.
recognition	la reconnaissance	Elle a reçu une reconnaissance pour son travail.
recovery	la guérison	La guérison a pris plusieurs semaines.
recruit	recruter	L'entreprise recrutera des ingénieurs.
recruitment	le recrutement	Le recrutement commence lundi prochain.
referee	l'arbitre	L'arbitre a arrêté le match.
refugee	le réfugié	Le réfugié a trouvé un foyer sûr.
registration	l'inscription	L'inscription se termine vendredi.
regulate	réglementer	La loi réglementera les émissions.
reinforce	renforcer	Des poutres supplémentaires renforcent le toit.
relieve	soulager	Les médicaments peuvent soulager la douleur.
relieved	soulagé	Elle s'est sentie soulagée après l'appel.
remarkable	remarquable	La guérison a été remarquable.
remarkably	remarquablement	Il s'est rétabli remarquablement vite.
reporting	le reportage	Un reportage précis est important.
resign	démissionner	Le directeur démissionnera demain.
resolution	la résolution	L'écran a une haute résolution.
restore	restaurer	Les ouvriers restaurent le vieux tableau.
restrict	restreindre	Les règles restreignent le stationnement.
restriction	la restriction	La restriction prend fin demain.
retail	le commerce de détail	Les ventes au détail ont augmenté.
retirement	la retraite	Elle a planifié sa retraite avec soin.
revenue	les revenus	Les revenus des billets ont payé les réparations.
revision	la révision	La révision a aidé avant l'examen.
ridiculous	ridicule	Le prix était ridicule.
risky	risqué	Le plan semblait risqué.
rival	le rival	Notre rival a ouvert un nouveau magasin.
rob	braquer	Les hommes ont essayé de braquer la banque.
robbery	le vol	Le vol s'est produit la nuit.
rocket	la fusée	La fusée a été lancée avec succès.
romance	la romance	Le roman inclut une romance.
rose	la rose	Une rose rouge poussait près de la clôture.
roughly	environ	Environ vingt personnes y ont assisté.
ruin	gâcher	La pluie pourrait gâcher le pique-nique.
satisfaction	la satisfaction	La satisfaction des clients s'est améliorée.
scandal	le scandale	Le scandale a ruiné sa carrière.
scare	la frayeur	Le bruit fort m'a fait une frayeur.
scenario	le scénario	Le pire scénario est peu probable.
scholar	l'érudit	L'érudit étudiait des textes anciens.
scholarship	la bourse	Elle a obtenu une bourse.
scratch	l'égratignure	Le chat a laissé une égratignure.
screening	le dépistage	L'hôpital propose un dépistage du cancer.
seeker	le demandeur	Le demandeur d'emploi a envoyé des candidatures.
seminar	le séminaire	Le séminaire commence à neuf heures.
settler	le colon	Le colon a construit une petite ferme.
severely	sévèrement	La tempête a sévèrement endommagé les routes.
sexy	sexy	La robe était considérée comme sexy.
shocking	choquant	La nouvelle était choquante.
shore	le rivage	Nous avons marché le long du rivage.
shortage	la pénurie	La ville a fait face à une pénurie d'eau.
shortly	peu	Le bus est arrivé peu après midi.
short-term	à court terme	Le plan a des avantages à court terme.
sibling	le frère ou la sœur	Chaque frère ou sœur a reçu un cadeau.
signature	la signature	Veuillez ajouter votre signature.
significance	l'importance	La découverte a une grande importance.
skilled	qualifié	Des ouvriers qualifiés ont réparé le toit.
slogan	le slogan	La campagne a utilisé un slogan simple.
so-called	soi-disant	Le soi-disant expert a fait des erreurs.
somehow	d'une manière ou d'une autre	D'une manière ou d'une autre, les clés ont disparu.
sometime	à un moment donné	Rendez-nous visite à un moment donné la semaine prochaine.
sophisticated	sophistiqué	Le logiciel est sophistiqué.
spare	de rechange	Nous gardons une clé de rechange.
specialize	se spécialiser	Les médecins se spécialisent dans différents domaines.
specify	préciser	Veuillez préciser votre heure d'arrivée.
spectacular	spectaculaire	Le feu d'artifice était spectaculaire.
spectator	le spectateur	Chaque spectateur a reçu un programme.
speculate	spéculer	Les experts spéculent sur la cause.
speculation	la spéculation	L'article a encouragé la spéculation.
spice	l'épice	Ajoutez une épice à la fois.
spill	renverser	Ne renversez pas le jus.
spite	dépit	Il a réussi en dépit des problèmes.
spoil	gâcher	Trop de sel peut gâcher la soupe.
spokesman	le porte-parole	Le porte-parole a répondu aux questions.
spokesperson	le porte-parole	Le porte-parole a lu une déclaration.
spokeswoman	la porte-parole	La porte-parole s'est adressée à la presse.
sponsorship	le parrainage	L'équipe a besoin de parrainage.
sporting	sportif	La ville accueille des événements sportifs.
stall	le stand	Le stand du marché vend des fruits.
stance	la position	Le ministre a changé sa position.
starve	mourir de faim	Sans nourriture, les animaux peuvent mourir de faim.
steadily	régulièrement	L'entreprise a grandi régulièrement.
steam	la vapeur	De la vapeur s'échappait de la soupe.
stimulate	stimuler	Les couleurs vives peuvent stimuler l'intérêt.
