simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
报名	jelentkezni; regisztráció	Milyen anyagok szükségesek a jelentkezéshez?	a se înscrie; înscriere	Ce materiale sunt necesare pentru înscriere?	записвам се; регистрация	Какви материали са нужни за регистрацията?	prijaviti se; prijava	Koji su materijali potrebni za prijavu?
抱	felvenni; átölelni	Felvette a gyereket.	a lua în brațe; a îmbrățișa	A luat copilul în brațe.	вземам в ръце; прегръщам	Той взе детето на ръце.	uzeti u naručje; zagrliti	Uzeo je dijete u naručje.
抱歉	sajnálni; elnézést kérni	Nagyon sajnálom, hogy ilyen sokáig várattam.	a-i părea rău; scuze	Îmi pare foarte rău că v-am lăsat să așteptați atât de mult.	съжалявам; извинявам се	Много съжалявам, че ви накарах да чакате толкова дълго.	žaliti; ispričati se	Jako mi je žao što ste toliko dugo čekali.
倍	szoros; alkalom	Az iskolánkban kétszer annyi külföldi diák van, mint tavaly.	de ori; dublu	Numărul studenților străini din școala noastră s-a dublat față de anul trecut.	пъти; двойно	Чуждестранните студенти в нашето училище са два пъти повече от миналата година.	put; dvostruko	Broj stranih studenata u našoj školi udvostručio se u odnosu na prošlu godinu.
本来	eredetileg; eleinte	Eredetileg meg akartam nézni az előadást, de hirtelen közbejött valami.	inițial; la început	Inițial voiam să merg la spectacol, dar a apărut brusc ceva.	първоначално; поначало	Първоначално щях да гледам представлението, но изведнъж изникна нещо.	izvorno; prvotno	Prvotno sam išao gledati predstavu, ali je iznenada nešto iskrsnulo.
笨	buta; ügyetlen	Nem vagy buta, csak keményebben kell dolgoznod.	prost; neîndemânatic	Nu ești prost, doar trebuie să muncești mai mult.	глупав; несръчен	Не си глупав, просто трябва да се стараеш повече.	glup; nespretan	Nisi glup, samo se trebaš više potruditi.
比如	például	Sok hobbim van, például az úszás és az olvasás.	de exemplu	Am multe hobbyuri, de exemplu înotul și cititul.	например	Имам много хобита, например плуване и четене.	na primjer	Imam mnogo hobija, na primjer plivanje i čitanje.
毕业	diplomázni; befejezni az iskolát	Idén harmadéves vagyok, jövőre végzek.	a absolvi; absolvire	Anul acesta sunt în anul trei, iar anul viitor absolv.	завършвам; дипломиране	Тази година съм трети курс, а догодина завършвам.	diplomirati; završiti školu	Ove sam godine na trećoj godini, a sljedeće diplomiram.
遍	egyszer; alkalom	Újra elmondta a dolgot.	o dată; o rundă	A spus din nou lucrul acesta.	веднъж; път	Той повтори случилото се.	jednom; put	Ponovio je stvar.
标准	szabvány; standard	A mandarint nagyon szabályosan beszéled.	un standard; standard	Mandarina ta este foarte standard.	стандарт; стандартен	Говориш много стандартен мандарин.	standard; standardan	Tvoj mandarinski je vrlo standardan.
表格	űrlap; táblázat	Kérem, írja be a nevét az űrlapba.	un formular; un tabel	Vă rog să vă completați numele în formular.	формуляр; таблица	Моля, попълнете името си във формуляра.	obrazac; tablica	Molim vas, upišite svoje ime u obrazac.
表示	kifejezni; jelezni	Kérem, fejezze ki neki a köszönetét.	a exprima; a arăta	Vă rog să-i exprimați mulțumiri.	изразявам; показвам	Моля, изразете благодарност към него.	izraziti; pokazati	Molim vas, izrazite mu zahvalnost.
表演	előadni; előadás	Milyen műsort fogtok előadni?	a interpreta; o reprezentație	Ce program veți interpreta?	изпълнявам; представление	Каква програма ще изпълнявате?	izvesti; izvedba	Koju ćete točku izvesti?
表扬	megdicsérni; dicséret	Gyakran kap dicséretet az igazgatótól.	a lăuda; laudă	El este adesea lăudat de director.	хваля; похвала	Той често получава похвала от директора.	pohvaliti; pohvala	Često dobiva pohvale od ravnatelja.
饼干	keksz; süti	Vettem kekszet, együnk egy kicsit.	un biscuit; o prăjiturică	Am cumpărat biscuiți, hai să mâncăm puțin.	бисквита; крекер	Купих бисквити, хайде да хапнем малко.	keks; kolačić	Kupio sam kekse, pojedimo malo.
并且	ráadásul; és	Ez a lány nagyon okos, és nagyon szorgalmas.	și; în plus	Ea este foarte inteligentă și muncește mult.	и; освен това	Тя е много умна и много трудолюбива.	i; osim toga	Ona je vrlo pametna i jako marljiva.
博士	doktor; PhD	Hadd mutassam be, ő Li doktor.	un doctor; doctorat	Permiteți-mi să vă prezint, acesta este doctorul Li.	доктор; докторска степен	Нека представя, това е доктор Ли.	doktor; doktorat	Dopustite da predstavim, ovo je doktor Li.
不过	de; azonban	Kiváló, de nem felel meg a cég felvételi feltételeinek.	dar; totuși	Este excelent, dar nu îndeplinește cerințele de recrutare ale companiei.	но; обаче	Той е отличен, но не отговаря на условията за наемане в компанията.	ali; međutim	Odličan je, ali ne ispunjava uvjete za zapošljavanje u tvrtki.
不得不	kénytelen; muszáj	Kint nagyon esik, ezért otthon kell maradnom.	a trebui neapărat; a nu avea de ales	Afară plouă tare, așa că trebuie să rămân acasă.	нямам избор освен; трябва	Навън вали силно, затова трябва да остана вкъщи.	morati; nemati izbora	Vani jako pada kiša, pa moram ostati kod kuće.
不管	nem számít; függetlenül attól	Nem számít, milyen az idő, hegyet kell másznom.	indiferent de; nu contează	Indiferent cum este vremea, trebuie să urc muntele.	без значение; независимо от	Без значение какво е времето, трябва да изкача планината.	bez obzira na; ma kako	Bez obzira na vrijeme, moram se popeti na planinu.
不仅	nemcsak	Nemcsak jártam abban a városban, hanem sokszor is jártam ott.	nu doar; nu numai	Nu doar că am fost în acel oraș, ci am fost de multe ori.	не само	Не само съм бил в онзи град, а и съм бил там много пъти.	ne samo	Ne samo da sam bio u tom gradu, nego sam bio mnogo puta.
部分	rész; szakasz	A cikk legfontosabb része a harmadik bekezdés.	o parte; o secțiune	Cea mai importantă parte a articolului este al treilea paragraf.	част; раздел	Най-важната част на статията е третият абзац.	dio; odjeljak	Najvažniji dio članka je treći odlomak.
擦	törölni; letörölni	Már tisztára töröltem az ablakokat.	a șterge; a curăța	Am curățat deja ferestrele.	бърша; изтривам	Вече избърсах прозорците.	obrisati; čistiti	Već sam očistio prozore.
猜	tippelni; kitalálni	Találd ki, milyen születésnapi ajándékot készítettem neked.	a ghici	Ghicește ce cadou de ziua ta ți-am pregătit.	познавам; гадая	Познай какъв подарък за рождения ден ти подготвих.	pogađati; pogoditi	Pogodi kakav sam ti rođendanski poklon pripremio.
材料	anyag; dokumentum	Milyen anyagok szükségesek a jelentkezéshez?	material; document	Ce materiale sunt necesare pentru înscriere?	материал; документи	Какви материали са нужни за регистрацията?	materijal; dokumenti	Koji su materijali potrebni za prijavu?
参观	meglátogatni; körülnézni	A hétvégén szeretném meglátogatni a Nagy Falat.	a vizita; a vedea	Vreau să vizitez Marele Zid în weekend.	посещавам; разглеждам	Искам през уикенда да посетя Великата стена.	posjetiti; razgledati	Želim za vikend posjetiti Kineski zid.
餐厅	étterem; ebédlő	Az iskola közelében nyílt egy új étterem.	un restaurant; o sală de mese	S-a deschis un restaurant nou lângă școală.	ресторант; столова	Близо до училището отвори нов ресторант.	restoran; blagovaonica	U blizini škole otvoren je novi restoran.
厕所	vécé; mosdó	A férfimosdó az első emeleten van.	o toaletă; un WC	Toaleta pentru bărbați este la primul etaj.	тоалетна	Мъжката тоалетна е на първия етаж.	toalet; zahod	Muški je zahod na prvom katu.
差不多	körülbelül; majdnem	Mindennap körülbelül hétkor kelek fel.	aproape; cam	Mă trezesc cam la ora șapte în fiecare zi.	почти; около	Всеки ден ставам около седем часа.	otprilike; gotovo	Svaki dan ustajem oko sedam sati.
尝	megkóstolni	Gyere gyorsan, kóstold meg, amit főztem. Milyen az íze?	a gusta	Vino repede să guști mâncarea făcută de mine. Cum este gustul?	опитвам; вкусвам	Ела бързо да опиташ ястието, което приготвих. Какъв е вкусът?	kušati; probati	Dođi brzo probati jelo koje sam napravio. Kakvog je okusa?
长城	Nagy Fal	A hétvégén szeretném meglátogatni a Nagy Falat.	Marele Zid	Vreau să vizitez Marele Zid în weekend.	Великата стена	Искам през уикенда да посетя Великата стена.	Kineski zid	Želim za vikend posjetiti Kineski zid.
长江	Jangce folyó	A Jangce Kína legnagyobb folyója.	fluviul Yangtze	Fluviul Yangtze este cel mai mare fluviu al Chinei.	река Яндзъ	Яндзъ е най-голямата река в Китай.	rijeka Jangce	Jangce je najveća rijeka u Kini.
场	mértékszó eseményekhez; alkalom	Ez az eső éppen időben jött.	un clasificator pentru evenimente; o dată	Ploaia aceasta a venit chiar la timp.	мерна дума за събития; път	Този дъжд дойде точно навреме.	brojna riječ za događaje; put	Ova je kiša došla baš na vrijeme.
超过	meghaladni; több mint	Naponta több mint háromszáz járat indul innen.	a depăși; mai mult de	Peste trei sute de zboruri pleacă de aici în fiecare zi.	надвишавам; повече от	Всеки ден оттук излитат над триста полета.	premašiti; više od	Odavde svaki dan polijeće više od tristo letova.
乘坐	utazni járművön; felszállni	Üdvözöljük ezen a járaton.	a lua; a călători cu	Bine ați venit la acest zbor.	пътувам с; качвам се	Добре дошли на този полет.	voziti se; putovati	Dobrodošli na ovaj let.
成功	siker; sikerül	Az erőfeszítés a siker biztosítéka.	succes; a reuși	Efortul este garanția succesului.	успех; успявам	Усилието е гаранция за успех.	uspjeh; uspjeti	Trud je jamstvo uspjeha.
成为	válni valamivé	Gyerekkorom óta rendőr akartam lenni.	a deveni	De mic am vrut să devin polițist.	ставам; превръщам се	От малък исках да стана полицай.	postati	Odmalena sam želio postati policajac.
诚实	őszinte; becsületes	A becsületes emberek megérdemlik a tiszteletünket.	cinstit; sincer	Oamenii cinstiți merită respectul nostru.	честен; искрен	Честните хора заслужават нашето уважение.	pošten; iskren	Pošteni ljudi zaslužuju naše poštovanje.
吃惊	meglepődni; megdöbbenni	Nagyon meglepődött, amikor meghallotta a hírt.	a fi surprins; a fi șocat	A fost surprins când a auzit vestea.	изненадвам се; шокирам се	Той много се изненада, когато чу новината.	iznenaditi se; šokirati se	Iznenadio se kad je čuo vijest.
重新	újra; ismét	Újra elmondta a dolgot.	din nou; iar	A spus din nou lucrul acesta.	отново; наново	Той повтори случилото се.	ponovno; iznova	Ponovio je stvar.
抽烟	dohányozni	Elnézést, a kórházban nem szabad dohányozni.	a fuma	Îmi pare rău, nu se poate fuma în spital.	пуша	Извинете, в болницата не може да се пуши.	pušiti	Oprostite, u bolnici se ne smije pušiti.
出差	üzleti útra menni	Apa már több mint egy hónapja üzleti úton van.	a pleca în delegație	Tata este în delegație de mai bine de o lună.	отивам в командировка	Татко е в командировка повече от месец.	ići na službeni put	Tata je na službenom putu već više od mjesec dana.
出发	elindulni	Pekingből indultam Sanghajba.	a porni; a pleca	Am pornit din Beijing spre Shanghai.	тръгвам; потеглям	Тръгнах от Пекин за Шанхай.	krenuti; poći	Krenuo sam iz Pekinga u Šangaj.
出生	születni	Egy kisvárosban születtem.	a se naște	M-am născut într-un oraș mic.	раждам се	Роден съм в малък град.	roditi se	Rođen sam u malom gradu.
出现	megjelenni; felmerülni	Sok probléma jelent meg a munkánkban.	a apărea	Au apărut multe probleme în munca noastră.	появявам се; възниквам	В работата ни се появиха доста проблеми.	pojaviti se	U našem se radu pojavilo mnogo problema.
厨房	konyha	A gyümölcskés a konyhában van.	o bucătărie	Cuțitul pentru fructe este în bucătărie.	кухня	Ножът за плодове е в кухнята.	kuhinja	Nož za voće je u kuhinji.
传真	fax	Kérem, segítsen elküldeni egy faxot.	un fax	Vă rog să mă ajutați să trimit un fax.	факс	Моля, помогнете ми да изпратя факс.	faks	Molim vas, pomozite mi poslati faks.
窗户	ablak	Már tisztára töröltem az ablakokat.	o fereastră	Am curățat deja ferestrele.	прозорец	Вече избърсах прозорците.	prozor	Već sam očistio prozore.
词语	szó; kifejezés	Kérem, ezekkel a szavakkal mondjon néhány mondatot.	cuvânt; expresie	Vă rog să folosiți aceste cuvinte ca să spuneți câteva propoziții.	дума; израз	Моля, използвайте тези думи, за да кажете няколко изречения.	riječ; izraz	Molim vas, upotrijebite ove riječi u nekoliko rečenica.
从来	mindig; soha korábban	Még soha nem láttam őt.	întotdeauna; niciodată până acum	Nu l-am văzut niciodată.	винаги; никога досега	Никога не съм го виждал.	uvijek; nikada prije	Nikada ga nisam vidio.
粗心	figyelmetlen; gondatlan	Nagyon figyelmetlen vagy.	neatent; neglijent	Ești foarte neatent.	невнимателен; небрежен	Много си невнимателен.	neoprezan; nemaran	Baš si neoprezan.
存	betenni; tárolni	Betettem a pénzt a bankba.	a depune; a păstra	Am depus banii la bancă.	депозирам; съхранявам	Внесох парите в банката.	položiti; spremiti	Položio sam novac u banku.
错误	hiba; téves	Köszönöm, hogy rámutattál a hibámra.	greșeală; eroare; greșit	Îți mulțumesc că mi-ai arătat greșeala.	грешка; погрешен	Благодаря ти, че посочи грешката ми.	pogreška; greška; pogrešan	Hvala ti što si mi ukazao na pogrešku.
答案	válasz; megoldás	A válaszod helyes.	răspuns; soluție	Răspunsul tău este corect.	отговор; решение	Отговорът ти е правилен.	odgovor; rješenje	Tvoj je odgovor točan.
打扮	kiöltözni; kicsinosítani magát	Egyszerűen kicsinosította magát, aztán elindult otthonról.	a se aranja; a se îmbrăca elegant	S-a aranjat simplu și a ieșit din casă.	обличам се; нагласявам се	Тя се нагласи набързо и излезе.	dotjerati se; našminkati se	Jednostavno se dotjerala i izašla iz kuće.
打扰	zavarni; háborgatni	Elnézést, zavarnálak egy pillanatra.	a deranja; a tulbura	Scuzați-mă că vă deranjez o clipă.	безпокоя; преча	Извинете, че ви безпокоя за момент.	ometati; smetati	Oprostite što vas nakratko ometam.
打印	nyomtatni	Ezeket az anyagokat már kinyomtatták.	a imprima; a tipări	Aceste materiale au fost deja tipărite.	отпечатвам; принтирам	Тези материали вече са отпечатани.	ispisati; tiskati	Ti su materijali već ispisani.
打招呼	köszönni; üdvözölni	Mosolyogva köszönt nekem.	a saluta	M-a salutat zâmbind.	поздравявам; казвам здрасти	Той ме поздрави с усмивка.	pozdraviti	Pozdravio me s osmijehom.
打折	kedvezményt adni; leárazni	A tavaszünnep előtt az áruházakban mindenhol akciók vannak.	a face reducere	Înainte de Sărbătoarea Primăverii, mallurile au reduceri.	правя отстъпка; намалявам	Преди Пролетния празник търговските центрове правят намаления.	dati popust; sniziti	Prije Proljetnog festivala trgovački centri imaju popuste.
打针	injekciót adni; injekciót kapni	A fiam nagyon fél az injekcióktól.	a face o injecție; a administra o injecție	Fiului meu îi este foarte frică de injecții.	поставям инжекция; бият инжекция	Синът ми много се страхува от инжекции.	dati injekciju; primiti injekciju	Moj se sin jako boji injekcija.
大概	valószínűleg; nagyjából	Valószínűleg nem fog eljönni.	probabil; aproximativ	Probabil nu va mai veni.	вероятно; приблизително	Той вероятно няма да дойде.	vjerojatno; otprilike	Vjerojatno neće doći.
大使馆	nagykövetség	Holnap a nagykövetségre megyek vízumot intézni.	o ambasadă	Mâine merg la ambasadă să-mi fac viza.	посолство	Утре ще отида в посолството да подам документи за виза.	veleposlanstvo	Sutra idem u veleposlanstvo predati zahtjev za vizu.
大约	körülbelül; nagyjából	Körülbelül harmincéves lehet.	aproximativ; cam	Are cam treizeci de ani.	около; приблизително	Той е на около тридесет години.	približno; oko	Ima oko trideset godina.
大夫	orvos	Li doktor, holnap délelőtt a kórházban lesz?	doctor; medic	Domnule doctor Li, mâine dimineață sunteți la spital?	лекар; доктор	Доктор Ли, утре сутрин ще бъдете ли в болницата?	liječnik; doktor	Doktore Li, jeste li sutra ujutro u bolnici?
戴	viselni; felvenni	Egy fekete szemüveget visel.	a purta; a pune	Poartă o pereche de ochelari negri.	нося; слагам	Той носи чифт черни очила.	nositi; staviti	Nosi par crnih naočala.
当	lenni; dolgozni valamiként	Orvos szeretnék lenni.	a fi; a lucra ca	Vreau să fiu doctor.	бъда; работя като	Искам да стана лекар.	biti; raditi kao	Želim biti liječnik.
当时	akkor; abban az időben	Már nem emlékszem pontosan az akkori helyzetre.	atunci; în acel moment	Nu-mi mai amintesc clar situația de atunci.	тогава; по онова време	Не си спомням ясно тогавашната ситуация.	tada; u to vrijeme	Ne sjećam se jasno tadašnje situacije.
刀	kés	A gyümölcskés a konyhában van.	un cuțit	Cuțitul de fructe este în bucătărie.	нож	Ножът за плодове е в кухнята.	nož	Nož za voće je u kuhinji.
导游	idegenvezető; idegenvezetést tartani	A nővérem idegenvezető.	ghid turistic; a ghida	Sora mea mai mare este ghid turistic.	екскурзовод; водя обиколка	По-голямата ми сестра е екскурзовод.	turistički vodič; voditi obilazak	Moja starija sestra je turistički vodič.
倒	eldőlni; ledönteni	Az erős szél kidöntötte a fát.	a cădea; a doborî	Vântul puternic a doborât copacul.	падам; събарям	Силният вятър събори дървото.	pasti; srušiti	Jak je vjetar srušio stablo.
到处	mindenhol; mindenfelé	A parkban mindenhol virágok vannak.	peste tot; pretutindeni	În parc sunt flori peste tot.	навсякъде	В парка навсякъде има цветя.	posvuda; svugdje	U parku je posvuda cvijeće.
到底	pontosan; végül is	Pontosan mit jelent ez a mondat?	exact; până la urmă	Ce înseamnă exact această propoziție?	точно; в крайна сметка	Какво точно означава това изречение?	točno; naposljetku	Što točno znači ova rečenica?
道歉	bocsánatot kérni; elnézést kérni	Már bocsánatot kértem tőle.	a-și cere scuze	Mi-am cerut deja scuze de la el.	извинявам се	Вече му се извиних.	ispričati se	Već sam mu se ispričao.
得	kell; muszáj	Holnap vizsgám lesz, ezért korábban kell lefeküdnöm.	trebuie; a fi nevoit	Mâine am examen, așa că trebuie să mă culc mai devreme.	трябва; налага се	Утре имам изпит, затова трябва да си легна по-рано.	morati; trebati	Sutra imam ispit, pa moram ranije leći.
得意	elégedett; büszke magára	Sikeres lett a munka, és mindenki nagyon elégedett volt.	mândru de sine; mulțumit	Munca a avut succes, iar toți erau foarte mândri.	доволен от себе си; горд	Работата беше успешна и всички бяха много доволни.	ponosan na sebe; zadovoljan	Posao je uspio i svi su bili vrlo zadovoljni.
登机牌	beszállókártya	Kérem, tartsa magánál a beszállókártyáját, és készüljön a beszállásra.	o carte de îmbarcare	Vă rog să țineți bine cartea de îmbarcare și să vă pregătiți de îmbarcare.	бордна карта	Моля, дръжте бордната си карта и се пригответе за качване.	ukrcajna propusnica	Molim vas, uzmite ukrcajnu propusnicu i pripremite se za ukrcaj.
等	és így tovább; többek között	Az asztalon alma, banán és más gyümölcsök vannak.	și așa mai departe; etc.	Pe masă sunt fructe precum mere și banane.	и така нататък; и други	На масата има плодове като ябълки и банани.	i tako dalje; itd.	Na stolu je voće poput jabuka i banana.
低	alacsony; mély	Még magasabbra, most túl alacsony.	jos; scăzut	Mai sus puțin, acum este prea jos.	нисък	Още малко по-високо, сега е твърде ниско.	nizak; nisko	Još malo više, sada je prenisko.
底	alj; fenék; alap	A pohár alja tiszta.	fund; bază	Fundul paharului este curat.	дъно; основа	Дъното на чашата е чисто.	dno; osnova	Dno čaše je čisto.
地点	hely; helyszín	A megbeszélés helyszíne a harmadik emeleti tárgyaló.	loc; locație	Locul ședinței este în sala de ședințe de la etajul al treilea.	място; локация	Мястото на срещата е в заседателната зала на третия етаж.	mjesto; lokacija	Mjesto sastanka je u dvorani za sastanke na trećem katu.
地球	a Föld; bolygó	A Föld felszínének nagy része óceán.	Pământul; planetă	Cea mai mare parte a suprafeței Pământului este ocean.	Земята; планета	По-голямата част от повърхността на Земята е океан.	Zemlja; planet	Veći dio Zemljine površine čini ocean.
地址	cím	Kérem, írja le a címét.	o adresă	Vă rog să vă scrieți adresa.	адрес	Моля, запишете адреса си.	adresa	Molim vas, zapišite svoju adresu.
掉	leesni; leejteni; lemaradni	A kulcs leesett a földre.	a cădea; a scăpa	Cheia a căzut pe jos.	падам; изпускам	Ключът падна на земята.	pasti; ispustiti	Ključ je pao na pod.
调查	vizsgálat; nyomozás; kivizsgálni	A rendőrség vizsgálatot folytat.	anchetă; investigație; a investiga	Poliția face o anchetă.	разследване; проучване; разследвам	Полицията провежда разследване.	istraga; istraživati	Policija provodi istragu.
丢	elveszíteni	Elveszett az iskolatáskád?	a pierde	Ți-ai pierdut ghiozdanul?	губя; изгубвам	Изгуби ли ученическата си раница?	izgubiti	Izgubio si školsku torbu?
动作	mozdulat; mozgás; cselekvés	Megtanítalak táncolni, a mozdulatok nagyon egyszerűek.	mișcare; acțiune	Te învăț să dansezi, mișcările sunt foarte simple.	движение; действие	Ще те науча да танцуваш, движенията са много прости.	pokret; radnja	Naučit ću te plesati, pokreti su vrlo jednostavni.
堵车	forgalmi dugó	Úton vagyok, megint dugó van.	ambuteiaj; blocaj în trafic	Sunt pe drum și iar este ambuteiaj.	задръстване	На път съм и пак има задръстване.	prometna gužva; zastoj	Na putu sam i opet je gužva u prometu.
肚子	has; gyomor	Fáj a hasam.	burtă; abdomen; stomac	Mă doare burta.	корем; стомах	Боли ме коремът.	trbuh; želudac	Boli me trbuh.
短信	SMS; szöveges üzenet	Ha bármi van, küldj SMS-t vagy hívj fel.	mesaj text; SMS	Dacă ai ceva, trimite-mi un mesaj sau sună-mă.	есемес; текстово съобщение	Ако има нещо, изпрати ми съобщение или ми се обади.	SMS; tekstualna poruka	Ako nešto treba, pošalji mi poruku ili me nazovi.
对话	párbeszéd	Ez a párbeszéd viszonylag egyszerű, meg tudom érteni.	dialog	Acest dialog este destul de simplu, îl pot înțelege.	диалог	Този диалог е сравнително лесен, мога да го разбера.	dijalog	Ovaj je dijalog prilično jednostavan, mogu ga razumjeti.
对面	szemben; túloldalon	Pont az iskolával szemben lakom.	vizavi; opus	Locuiesc chiar vizavi de școală.	отсреща; срещу	Живея точно срещу училището.	nasuprot; preko puta	Živim baš preko puta škole.
对于	-val kapcsolatban; illetően	Erről a kérdésről más a véleményem.	în privința; referitor la	În privința acestei probleme, am o părere diferită.	относно; по отношение на	По този въпрос имам различно мнение.	glede; u vezi s	O tom pitanju imam drukčije mišljenje.
儿童	gyermek; gyerekek	A 1,2 méternél alacsonyabb gyerekek gyerekjegyet vehetnek.	copil; copii	Copiii mai mici de 1,2 metri pot cumpăra bilet pentru copii.	дете; деца	Деца под 1,2 метра могат да купят детски билет.	dijete; djeca	Djeca niža od 1,2 metra mogu kupiti dječju kartu.
而	és; de	Ez a ruha olcsó és szép.	și; iar; însă	Această haină este ieftină și frumoasă.	и; но	Тази дреха е евтина и красива.	i; ali	Ova odjeća je jeftina i lijepa.
发生	történni; bekövetkezni	A helyzet nagyon sokat változott.	a se întâmpla; a avea loc	Situația s-a schimbat mult.	случвам се; настъпвам	Ситуацията се промени много.	dogoditi se; nastati	Situacija se jako promijenila.
发展	fejlődés; fejlődni; fejleszteni	Az utóbbi években gyorsan fejlődött a gazdaság.	dezvoltare; a se dezvolta	Economia s-a dezvoltat rapid în ultimii ani.	развитие; развивам се	Икономиката се развива бързо през последните години.	razvoj; razvijati se	Gospodarstvo se posljednjih godina brzo razvija.
法律	jog; törvény	Az egyetemen jogot tanulok.	lege; drept	Studiez dreptul la universitate.	закон; право	В университета уча право.	zakon; pravo	Na sveučilištu studiram pravo.
翻译	fordítani; tolmácsolni; fordító	Kérem, fordítsa le ezt a cikket kínai nyelvre.	a traduce; a interpreta; traducător	Vă rog să traduceți acest articol în chineză.	превеждам; преводач	Моля, преведете тази статия на китайски.	prevoditi; tumačiti; prevoditelj	Molim vas, prevedite ovaj članak na kineski.
烦恼	aggodalom; bosszúság	Ne aggódj tovább emiatt.	grijă; supărare; necaz	Nu te mai îngrijora pentru asta.	тревога; досада	Не се тревожи повече за това.	briga; nevolja	Nemoj se više brinuti zbog toga.
反对	ellenezni; tiltakozni	Ezt a tervet mindenki ellenzi.	a se opune; a fi împotrivă	Toată lumea se opune acestui plan.	противопоставям се; съм против	Всички са против този план.	protiviti se; biti protiv	Svi se protive tom planu.
方法	módszer; mód	Biztosan találunk módszert a probléma megoldására.	metodă; cale; mijloc	Cu siguranță vom găsi o soluție la problemă.	метод; начин	Със сигурност ще намерим начин да решим проблема.	metoda; način	Sigurno ćemo pronaći način za rješavanje problema.
方面	szempont; terület	Apa szeret történelmi témájú könyveket olvasni.	aspect; domeniu	Tata preferă să citească cărți de istorie.	аспект; област	Татко обича да чете книги по история.	aspekt; područje	Tata voli čitati knjige iz povijesti.
方向	irány	Ez az irány jó? Azt hiszem, eltévedtünk.	direcție; orientare	Aceasta este direcția? Cred că ne-am rătăcit.	посока; направление	Това ли е посоката? Мисля, че се изгубихме.	smjer; pravac	Je li ovo pravi smjer? Mislim da smo se izgubili.
房东	főbérlő; háziúr	A főbérlőm nagyon barátságos, és gyakran segít nekem.	proprietar; gazdă	Proprietarul meu este foarte prietenos și mă ajută des.	хазяин; наемодател	Хазяинът ми е много дружелюбен и често ми помага.	stanodavac; najmodavac	Moj je stanodavac vrlo ljubazan i često mi pomaže.
放弃	feladni; lemondani	Lemondtam a külföldi tanulás lehetőségéről.	a renunța; a abandona	Am renunțat la ocazia de a studia în străinătate.	отказвам се; изоставям	Отказах се от възможността да уча в чужбина.	odustati; napustiti	Odustao sam od prilike za studij u inozemstvu.
放暑假	nyári szünetre menni	Holnap kezdődik a nyári szünet.	a intra în vacanța de vară	Mâine începe vacanța de vară.	излизам в лятна ваканция	Утре започва лятната ваканция.	otići na ljetne praznike	Sutra počinju ljetni praznici.
放松	lazítani; pihenni	Véget ért a vizsga, szükségünk van egy kis pihenésre.	a se relaxa; a slăbi	Examenul s-a terminat, trebuie să ne relaxăm puțin.	отпускам се; релаксирам	Изпитът приключи, трябва да се отпуснем малко.	opustiti se; olabaviti	Ispit je završio, trebamo se malo opustiti.
