source_headword	HR	example_HR
allegedly	navodno	Vozač je navodno ignorirao upozorenje.
alliance	savez	Stranke su sklopile privremeni savez.
allocate	dodijeliti	Grad će dodijeliti novac za škole.
allocation	dodjela	Dodjela mjesta bila je nepravedna.
allowance	džeparac	Njen džeparac pokriva ručak i prijevoz.
ally	saveznik	Kanada je postala blizak saveznik.
aluminium	aluminij	Okvir je napravljen od aluminija.
amateur	amater	Amaterski fotograf snimio je sliku.
ambassador	veleposlanik	Veleposlanik se susreo s lokalnim studentima.
amend	izmijeniti	Parlament je izglasao izmjenu zakona.
amendment	amandman	Amandman je promijenio jedan odlomak.
amid	usred	Govor je održan usred rastućih napetosti.
analogy	analogija	Učitelj je upotrijebio jednostavnu analogiju.
anchor	sidro	Brod je bacio sidro blizu otoka.
angel	anđeo	Dijete je nosilo kostim anđela.
anonymous	anoniman	Prigovor je bio anoniman.
apparatus	aparat	Laboratorijski aparat treba očistiti.
appealing	privlačan	Ponuda se studentima čini privlačnom.
appetite	apetit	Vježbanje mu je povećalo apetit.
applaud	pljeskati	Publika je počela glasno pljeskati.
applicable	primjenjiv	Popust je primjenjiv danas.
appoint	imenovati	Odbor će imenovati direktora.
appreciation	zahvalnost	Izrazila je zahvalnost za njihovu pomoć.
arbitrary	proizvoljan	Rok se osoblju činio proizvoljnim.
architectural	arhitektonski	Grad štiti svoju arhitektonsku baštinu.
archive	arhiva	Arhiva čuva stare fotografije.
arena	arena	Rasprava se preselila u javnu arenu.
arguably	vjerojatno	Ovo je vjerojatno njegov najbolji roman.
arm	naoružati	Stražari će naoružati konvoj.
array	niz	Trgovina nudi niz alata.
articulate	artikulirati	Ona može jasno artikulirati složene ideje.
ash	pepeo	Pepeo je prekrio automobil nakon požara.
aspiration	težnja	Njena težnja je postati kirurg.
aspire	težiti	Mnogi studenti teže studiranju u inozemstvu.
assassination	atentat	Atentat je promijenio politiku zemlje.
assault	napad	Napad se dogodio blizu kolodvora.
assemble	sastaviti	Radnici ručno sastavljaju namještaj.
assembly	skupština	Školska skupština počinje u devet.
assert	potvrditi	Pokušao je potvrditi svoj autoritet.
assertion	tvrdnja	Njezina tvrdnja iznenadila je ploču.
assurance	jamstvo	Menadžer je dao jamstvo za podršku.
asylum	azil	Obitelj je zatražila azil na granici.
atrocity	zvjerstvo	Film je opisao ratno zvjerstvo.
attain	postići	Malo trkača postiže tu brzinu.
attendance	prisustvo	Prisustvo se poboljšalo nakon najave.
attorney	odvjetnik	Odvjetnik je ispitao svjedoka.
attribute	pripisati	Znanstvenici porast pripisuju onečišćenju.
audit	revizija	Revizija je pronašla nekoliko grešaka.
authentic	autentičan	Restoran poslužuje autentičnu regionalnu hranu.
authorize	odobriti	Samo menadžeri mogu odobriti povrat novca.
auto	automobil	Automobilska industrija brzo se promijenila.
autonomy	autonomija	Regija želi veću autonomiju.
availability	dostupnost	Dostupnost sjedala je ograničena.
await	čekati	Nekoliko poruka čeka tvoj odgovor.
backdrop	pozadina	Planine su činile dramatičnu pozadinu.
backing	podrška	Prijedlog je dobio podršku glasača.
backup	sigurnosna kopija	Sustav svakodnevno stvara sigurnosnu kopiju.
bail	jamčevina	Sudac je u podne odredio jamčevinu.
ballot	glasački listić	Svaki glasač dobio je glasački listić.
banner	transparent	Transparent je visio iznad ulaza.
bare	gol	Soba je imala gole zidove.
barrel	bačva	Bačva je bila puna vode.
bass1	bas	Bas je zvučao duboko i toplo.
battlefield	bojno polje	Staro bojno polje postalo je spomenik.
bay	zaljev	Selo leži pokraj tihog zaljeva.
beam	greda	Čelična greda podupire krov.
beast	zvijer	Priča opisuje opasnu zvijer.
behalf	ime	Govorila je u ime svog tima.
beloved	voljen	Voljeni učitelj danas je otišao u mirovinu.
bench	klupa	Sjedili su na drvenoj klupi.
benchmark	mjerilo	Test je postao industrijsko mjerilo.
beneath	ispod	Dokumenti su bili ispod mape.
beneficiary	korisnik	Njezin je sin bio glavni korisnik.
betray	izdati	Nemoj izdati povjerenje svog prijatelja.
bind	vezati	Sporazum će vezati obje tvrtke.
biography	biografija	Njegova biografija prodana je u mnogo primjeraka.
bishop	biskup	Biskup je posjetio seosku crkvu.
bizarre	bizaran	Film je imao bizaran kraj.
blade	oštrica	Oštrica je prerezala uže.
blast	eksplozija	Eksplozija je razbila obližnje prozore.
bleed	krvariti	Posjekotina je počela jako krvariti.
blend	miješati	Miješajte umak dok ne postane gladak.
bless	blagosloviti	Svećenik će blagosloviti kuću.
blessing	blagoslov	Imati podršku bio je blagoslov.
boast	hvaliti se	Voli se hvaliti novcem.
bonus	bonus	Zaposlenici su dobili blagdanski bonus.
boom	procvat	Grad je doživio građevinski procvat.
bounce	odskakivati	Lopta može jako visoko odskočiti.
boundary	granica	Rijeka označava granicu.
bow1	naklon	Glumac je izveo duboki naklon.
breach	proboj	Proboj je izložio privatne podatke.
breakdown	raščlamba	Izvješće uključuje raščlambu troškova.
breakthrough	proboj	Otkriće je bilo veliki proboj.
breed	razmnožavati se	Ove se ptice razmnožavaju u proljeće.
broadband	širokopojasni internet	Ured treba brži širokopojasni internet.
browser	preglednik	Ažurirajte svoj preglednik prije prijave.
brutal	brutalan	Napad je bio brutalan i iznenadan.
buck	dolar	Ulaznica košta deset dolara.
buddy	prijatelj	Njegov je prijatelj čekao vani.
buffer	zaštitni pojas	Drveće stvara zaštitni pojas od buke.
bulk	velika količina	Kupili su rižu u velikim količinama.
burden	teret	Dug je postao težak teret.
bureaucracy	birokracija	Birokracija je odgodila dozvolu.
burial	pokop	Pokop se održao u zoru.
burst	puknuti	Cijev može puknuti pod pritiskom.
cabinet	vlada	Kabinet je odobrio plan.
calculation	izračun	Izračun je trajao nekoliko minuta.
canvas	platno	Umjetnik je slikao na velikom platnu.
capability	sposobnost	Uređaj ima bežičnu sposobnost.
capitalism	kapitalizam	Kapitalizam je oblikovao moderno gospodarstvo.
capitalist	kapitalistički	Kapitalistički sustav nagrađuje privatna ulaganja.
cargo	teret	Brod je prevozio medicinski teret.
carriage	vagon	Vagon vlaka bio je gotovo prazan.
carve	rezbariti	Pažljivo će rezbariti drvo.
casino	kasino	Kasino je otvoren blizu hotela.
casualty	žrtva	Nesreća je prouzročila jednu žrtvu.
catalogue	katalog	Katalog navodi svaki proizvod.
cater	opsluživati	Restoran može opsluživati velike događaje.
cattle	stoka	Stoka je pasla blizu rijeke.
caution	oprez	Budite oprezni na zaleđenim cestama.
cautious	oprezan	Ulagači ostaju oprezni ovaj tjedan.
cease	obustaviti	Tvornica će uskoro obustaviti proizvodnju.
cemetery	groblje	Groblje gleda na more.
chamber	dvorana	Dvorana je bila tiha tijekom glasovanja.
chaos	kaos	Kašnjenje je izazvalo kaos u zračnoj luci.
characterize	karakterizirati	Stručnjaci karakteriziraju plan kao rizičan.
charm	šarm	Grad ima šarm starog svijeta.
charter	povelja	Povelja štiti osnovna prava.
chronic	kroničan	Pati od kronične boli u leđima.
chunk	komad	Nareži sir na komad.
circulate	proslijediti	Molimo proslijedite dnevni red danas.
circulation	naklada	Naklada novina naglo je pala.
citizenship	državljanstvo	Prijavila se za francusko državljanstvo.
civic	građanski	Građanski čelnici prisustvovali su sastanku.
civilian	civil	Oštećeno je nekoliko civilnih domova.
clarity	jasnoća	Dijagram je izvješću dodao jasnoću.
clash	sukob	Sukob je započeo nakon marša.
classification	klasifikacija	Klasifikacija ovisi o veličini.
cling	prianjati	Mokra odjeća prianja uz kožu.
clinical	klinički	Kliničko ispitivanje počinje sljedeći mjesec.
closure	zatvaranje	Obitelj je željela zatvaranje nakon slučaja.
cluster	skupina	U blizini je stajala skupina kuća.
coalition	koalicija	Koalicija je izgubila svoju većinu.
coastal	obalni	Obalna sela pripremila su se za poplave.
cocktail	koktel	Naručila je voćni koktel.
cognitive	kognitivni	Kognitivne vještine poboljšavaju se vježbom.
coincide	podudarati se	Festival će se podudarati s diplomiranjem.
collaborate	surađivati	Timovi surađuju na softveru.
collaboration	suradnja	Njihova je suradnja dala snažne rezultate.
collective	kolektivan	Odluka je bila kolektivni napor.
collision	sudar	Sudar je blokirao autocestu.
colonial	kolonijalni	Zgrada ima kolonijalnu arhitekturu.
columnist	kolumnist	Kolumnist je kritizirao politiku.
combat	borba	Vojnici su se pripremali za borbu.
commence	započeti	Ceremonija će započeti u podne.
commentary	komentar	Komentar utakmice bio je živahan.
commentator	komentator	Komentator je objasnio odluku.
commerce	trgovina	Online trgovina je brzo rasla.
commissioner	povjerenik	Povjerenik je najavio nova pravila.
commodity	roba	Pšenica je važna roba.
communist	komunistički	Komunistička stranka održala je sastanak.
companion	suputnik	Njen pas je odan suputnik.
comparable	usporediv	Dva grada su usporediva po veličini.
compassion	suosjećanje	Medicinska sestra je pokazala veliko suosjećanje.
compel	prisiliti	Dokazi bi mogli prisiliti na odgovor.
compelling	uvjerljiv	Dokumentarac je iznio uvjerljiv slučaj.
compensate	nadoknaditi	Tvrtka će nadoknaditi štetu pogođenim kupcima.
compensation	naknada	Radnici su tražili poštenu naknadu.
competence	kompetencija	Test mjeri profesionalnu kompetenciju.
competent	kompetentan	Ona je kompetentna inženjerka.
compile	sastaviti	Istraživači sastavljaju podatke iz bolnica.
complement	nadopuniti	Vino će nadopuniti obrok.
complexity	složenost	Projekt ima neočekivanu složenost.
compliance	sukladnost	Revizija je provjerila zakonsku sukladnost.
complication	komplikacija	Operacija je imala jednu komplikaciju.
comply	pridržavati se	Tvrtke se moraju pridržavati propisa.
composition	sastav	Sastav uključuje violinu i klavir.
compromise	kompromis	Kompromis je zadovoljio obje strane.
compute	izračunati	Program može izračunati ukupni iznos.
conceal	sakriti	Pokušao je sakriti štetu.
concede	priznati	Ministar je odbio priznati poraz.
conceive	zamisliti	Nisu mogli zamisliti bolji plan.
conception	shvaćanje	Film je promijenio moje shvaćanje povijesti.
concession	ustupak	Tvrtka je ponudila jedan ustupak.
condemn	osuditi	Čelnici javno osuđuju napad.
confer	dodijeliti	Nagrada će dodijeliti prestiž.
confession	priznanje	Njegovo priznanje iznenadilo je sud.
configuration	konfiguracija	Konfiguracija kontrolira pristup mreži.
confine	ograničiti	Pravila ograničavaju pse na ovo područje.
confirmation	potvrda	Dobili smo potvrdu e-poštom.
confront	suočiti se	Odlučila se suočiti s problemom.
confrontation	sukob	Sukob je završio bez nasilja.
congratulate	čestitati	Nazvao sam da čestitam sestri.
congregation	zajednica	Zajednica je pjevala zajedno.
congressional	kongresni	Kongresno saslušanje trajalo je satima.
conquer	osvojiti	Tim se nada da će osvojiti tržište.
conscience	savjest	Njegova savjest nije dopuštala laži.
consciousness	svijest	Nesreća je utjecala na njegovu svijest.
consecutive	uzastopni	Osvojila je tri uzastopna meča.
consensus	konsenzus	Odbor je brzo postigao konsenzus.
consent	pristanak	Potreban je pismeni pristanak.
conserve	čuvati	Čuvamo vodu tijekom suša.
consistency	dosljednost	Dosljednost je važna u učenju jezika.
consolidate	spojiti	Tvrtka će spojiti dva ureda.
constituency	izborna jedinica	Kandidat je posjetio svaku izbornu jedinicu.
constitute	činiti	Žene čine polovicu odbora.
constitution	ustav	Ustav jamči slobodu govora.
constitutional	ustavni	Sud je ispitao ustavna prava.
constraint	ograničenje	Proračunsko ograničenje limitiralo je projekt.
consultation	savjetovanje	Savjetovanje je trajalo dva tjedna.
contemplate	razmišljati	Zastala je kako bi razmislila o ponudi.
contempt	prezir	Pokazao je prezir prema pravilima.
contend	natjecati se	Nekoliko tvrtki se natječe za ugovor.
contender	kandidat	Ona je snažan kandidat.
content2	zadovoljan	Bio je zadovoljan rezultatom.
contention	rasprava	Glavna rasprava tiče se financiranja.
continually	neprestano	Sustav neprestano provjerava greške.
contractor	izvođač	Izvođač je popravio krov.
contradiction	proturječnost	Njegova izjava sadržavala je proturječnost.
contrary	suprotno	Suprotni dokazi promijenili su slučaj.
contributor	suradnik	Ona je redoviti suradnik.
conversion	pretvorba	Pretvorba je promijenila dolare u eure.
convict	osuditi	Porota bi mogla osuditi osumnjičenog.
conviction	osuda	Njegova osuda šokirala je javnost.
cooperate	surađivati	Molimo surađujte s istragom.
cooperative	susretljiv	Osoblje je bilo susretljivo i mirno.
coordinate	koordinirati	Oni koordiniraju isporuke svako jutro.
coordination	koordinacija	Dobra koordinacija uštedjela je vrijeme.
coordinator	koordinator	Koordinator je dodijelio svaki zadatak.
cop	policajac	Policajac je stajao ispred postaje.
copper	bakar	Cijev je napravljena od bakra.
copyright	autorsko pravo	Slika je zaštićena autorskim pravom.
correction	ispravak	Učitelj je napravio jedan ispravak.
correlate	biti u korelaciji	Visok stres može biti u korelaciji s bolešću.
correlation	korelacija	Studija je otkrila snažnu korelaciju.
correspond	odgovarati	Ovi brojevi odgovaraju oznakama.
correspondence	korespondencija	Njihova korespondencija trajala je godinama.
correspondent	dopisnik	Dopisnik je izvještavao iz Kaira.
corresponding	odgovarajući	Svaka tipka ima odgovarajuće svjetlo.
corrupt	korumpiran	Korumpirani dužnosnik primio je novac.
corruption	korupcija	Korupcija je oslabila povjerenje javnosti.
costly	skup	Pogreška je bila skupa za tim.
councillor	vijećnik	Vijećnik je odgovarao na pitanja stanovnika.
counselling	savjetovanje	Dobila je savjetovanje nakon nesreće.
counsellor	savjetnik	Savjetnik je pomogao novim studentima.
counter (argue against)	proturječiti	Pokušala je proturječiti njegovom argumentu.
counterpart	kolega	Sreo se sa svojim japanskim kolegom.
countless	bezbrojan	Bezbrojni volonteri pridružili su se potrazi.
coup	državni udar	Državni udar svrgnuo je predsjednika.
courtesy	ljubaznost	Zahvalila im se na ljubaznosti.
