source_headword	BG	example_BG
bush	храст	Птицата се скри в храста.
cable	кабел	Кабелът е повреден.
calculate	изчислявам	Изчисли общата цена.
cancel	отменям	Отмениха срещата.
cancer	рак	Лечението на рака може да е трудно.
capable	способен	Тя е достатъчно способна.
capacity	капацитет	Залата достигна своя капацитет.
capture	улавям	Снимката улови настроението.
cast	актьорски състав	Актьорският състав е готов.
cell	клетка	Всяка клетка съдържа данни.
chairman	председател	Председателят откри заседанието.
characteristic	характеристика	Търпението е важна характеристика.
chief	главен	Главната причина беше сигурността.
circumstance	обстоятелство	Всяко обстоятелство има значение.
cite	цитирам	Студентът цитира три източника.
citizen	гражданин	Всеки гражданин може да гласува.
civil	граждански	Случаят засягаше граждански права.
classic	класически	Това е класически пример.
closely	тясно	Работиха тясно заедно.
collapse	срутвам се	Старият покрив се срути.
combination	комбинация	Тази комбинация работи добре.
comfort	удобство	Столът предлага малко удобство.
command	заповед	Войниците изпълниха заповедта.
commission	комисия	Комисията разследва жалбата.
commitment	ангажимент	Нейният ангажимент остана силен.
committee	комитет	Комитетът ще гласува утре.
commonly	обикновено	Тази дума се използва обикновено.
complicated	сложен	Правилата са сложни.
component	компонент	Всеки компонент беше тестван.
concentration	концентрация	Необходима е пълна концентрация.
concept	концепция	Концепцията е проста.
concern	тревога	Има тревоги относно сигурността.
concerned	притеснен	Притеснени сме за разходите.
conduct	провеждам	Те провеждат местно проучване.
confidence	увереност	Нейната увереност бързо нарасна.
conflict	конфликт	Конфликтът продължи години.
confusing	объркващ	Обяснението беше объркващо.
conscious	в съзнание	След падането беше в съзнание.
conservative	консервативен	Предложението беше доста консервативно.
consideration	съображение	Вземи това предвид.
consistent	последователен	Работата ѝ е последователно добра.
constant	постоянен	Там имаше постоянен шум.
constantly	постоянно	Телефонът звънеше постоянно.
construct	строя	Построиха нов мост.
construction	строителство	Строителството започва през юни.
contemporary	съвременен	Музеят показва съвременно изкуство.
contest	състезание	Тя спечели състезанието.
contract	договор	Договорът приключва в петък.
contribute	допринасям	Всеки може да допринесе към фонда.
contribution	принос	Неговият принос беше важен.
convert	превръщам	Превърнаха сградата в апартаменти.
convinced	убеден	Убеден съм, че той е прав.
core	ядро	Доверието е ядрото на проблема.
corporate	корпоративен	Компанията промени корпоративната стратегия.
council	съвет	Съветът одобри плана.
county	окръг	Окръгът получи нови граници.
courage	смелост	Тя прояви голяма смелост.
crash	катастрофа	Катастрофата блокира пътя.
creation	създаване	Създаването на работни места отнема време.
creature	същество	Съществото се движеше бавно.
crew	екипаж	Екипажът остана спокоен.
crisis	криза	Кризата продължи месеци.
criterion	критерий	Цената не е единственият критерий.
critic	критик	Критикът похвали филма.
critical	критичен	Ситуацията е критична.
criticism	критика	Той прие критиката спокойно.
criticize	критикувам	Не я критикувай твърде бързо.
crop	реколта	Реколтата се нуждаеше от повече дъжд.
crucial	ключов	Времето тук е ключово.
cure	лек	Все още няма лек.
curve	завой	Пътят има остър завой.
curved	извит	Мостът има извита форма.
debate	дебат	Дебатът започна късно.
debt	дълг	Той изплати дълга си.
decent	приличен	Тя намери приличен хотел.
declare	обявявам	Правителството обяви извънредно положение.
decline	спад	Спадът беше неочакван.
decoration	украса	Украсата висеше над вратата.
decrease	намалявам	Разходите намаляха бавно.
deeply	дълбоко	Той се почувства дълбоко наранен.
defeat	поражение	Поражението беше трудно за приемане.
defence	защита	Защитата беше добре подготвена.
defend	защитавам	Тя защити решението си.
delay	закъснение	Закъснението продължи един час.
deliberate	умишлен	Това беше умишлен избор.
deliberately	умишлено	Той умишлено пренебрегна предупреждението.
delight	радост	Новината донесе голяма радост.
delighted	възхитен	Тя беше възхитена от резултата.
delivery	доставка	Доставката ще пристигне утре.
demand	търсене	Търсенето на стаи нарасна.
demonstrate	показвам	Числата показват проблема.
deny	отричам	Той отрече обвинението.
depressed	депресиран	Тя се чувстваше депресирана.
depressing	потискащ	Новината беше потискаща.
depth	дълбочина	Измери дълбочината на водата.
deserve	заслужавам	Той заслужава честен отговор.
desire	желание	Желанието му за свобода остана.
desperate	отчаян	Тя направи отчаян опит.
detailed	подробен	Получихме подробен доклад.
detect	откривам	Тестът може да открие грешки.
dig	копая	Изкопаха дълбока яма.
disc	диск	Старият диск не работеше.
discipline	дисциплина	Дисциплината помага при тренировка.
dishonest	нечестен	Отговорът звучеше нечестно.
dismiss	отхвърлям	Съдията отхвърли жалбата.
display	показвам	Екранът показва резултатите.
distribute	разпределям	Разпределиха храна в селото.
distribution	разпределение	Разпределението не беше справедливо.
district	район	Районът получи ново училище.
division	отдел	Тя работи във финансовия отдел.
domestic	вътрешен	Вътрешните полети са по-евтини.
dominate	доминирам	Един отбор доминираше в мача.
downwards	надолу	Стрелката сочи надолу.
dozen	дузина	Той купи дузина яйца.
draft	чернова	Първата чернова е готова.
drag	дърпам	Дръпни стола към стената.
dramatic	драматичен	Промяната беше драматична.
edit	редактирам	Редактирай текста внимателно.
edition	издание	Това издание съдържа нови карти.
efficient	ефективен	Системата е ефективна.
elderly	възрастен	Възрастен мъж получи помощ.
elect	избирам	Избраха нов лидер.
elsewhere	другаде	Трябва да търсим другаде.
emerge	появявам се	Появиха се нови факти.
emotional	емоционален	Разговорът стана емоционален.
emphasis	акцент	Акцентът е върху сигурността.
emphasize	подчертавам	Подчертай най-важната точка.
enable	позволявам	Приложението позволява бързо учене.
encounter	срещам	Срещнаха проблем.
engage	ангажирам	Учителят ангажира класа.
enhance	подобрявам	Тази функция подобрява преживяването.
enquiry	разследване	Разследването започва утре.
ensure	осигурявам	Осигури всички да са в безопасност.
enthusiasm	ентусиазъм	Нейният ентусиазъм беше заразителен.
enthusiastic	ентусиазиран	Групата беше ентусиазирана.
entire	цял	Целият екип пристигна.
entirely	напълно	Напълно съм съгласен.
establish	създавам	Създадоха нова фирма.
estate	имот	Имотът се намира извън града.
estimate	оценка	Оценката беше твърде ниска.
ethical	етичен	Изборът беше етично труден.
evaluate	оценявам	Трябва да оценим резултатите.
evil	зло	Историята е за злото.
examination	преглед	Прегледът продължи два часа.
excuse	извинение	Извинението звучеше слабо.
executive	ръководител	Ръководителят подаде оставка.
existence	съществуване	Съществуването на писмото беше потвърдено.
expectation	очакване	Очакването беше твърде високо.
expense	разход	Този разход не беше планиран.
exploration	проучване	Проучването започна рано.
expose	излагам	Не излагай децата на дим.
extend	удължавам	Удължиха срока.
extent	размер	Размерът на щетата е неизвестен.
external	външен	Външен екип проверява това.
extraordinary	изключителен	Това беше изключително постижение.
facility	съоръжение	Съоръжението ще отвори следващата седмица.
failure	провал	Неговият провал беше болезнен.
faith	вяра	Тя загуби вяра в системата.
fault	грешка	Това не беше твоя грешка.
feather	перо	На масата лежеше перо.
fee	такса	Таксата е включена.
feedback	обратна връзка	Обратната връзка беше полезна.
fellow	колега	Моят колега ми помогна.
finance	финанси	Тя изучава финанси.
finding	откритие	Откритието изненада екипа.
firm	фирма	Фирмата расте бързо.
flame	пламък	Пламъкът се увеличи.
flash	проблясък	Проблясъкът освети стаята.
flexible	гъвкав	Графикът е гъвкав.
float	плувам	Дървото може да плува във вода.
folding	сгъваем	Тя купи сгъваем стол.
forgive	прощавам	Мога да му простя.
former	бивш	Бившият директор говори кратко.
fortune	богатство	Той загуби богатството си.
found	основавам	Основаха клуба през 1998 година.
freedom	свобода	Свободата е важна за всички.
frequency	честота	Честотата се увеличи.
fully	напълно	Напълно разбирам това.
fund	фонд	Фондът подкрепя изследвания.
fundamental	основен	Това е основно право.
funding	финансиране	Финансирането беше одобрено.
furthermore	освен това	Освен това планът е по-евтин.
gain	печеля	Те спечелиха по-голяма подкрепа.
gang	банда	Бандата беше арестувана.
generate	генерирам	Програмата генерира доклад.
genre	жанр	Харесвам този жанр.
govern	управлявам	Законите управляват работата на страната.
grab	грабвам	Грабни чантата бързо.
gradually	постепенно	Болката постепенно изчезна.
grand	величествен	Хотелът имаше величествен вход.
grant	грант	Училището получи грант.
guarantee	гаранция	Гаранцията важи две години.
handle	справям се	Тя се справя добре с натиска.
harm	вреда	Пушенето причинява вреда.
harmful	вреден	Това вещество е вредно.
hearing	слух	Слухът му се влоши.
heaven	небе	Небето беше ясно.
heel	пета	Боли ме петата.
hell	ад	Пътуването изглеждаше като ад.
hesitate	колебая се	Не се колебай да се обадиш.
hollow	кух	Дървото беше кухо отвътре.
holy	свят	Храмът е свято място.
honour	чест	Беше голяма чест.
household	домакинство	Всяко домакинство получи писмо.
housing	жилища	Жилищата тук са скъпи.
humorous	хумористичен	Историята му беше хумористична.
humour	хумор	Хуморът ѝ успокои всички.
hunting	лов	Ловът тук е забранен.
illustrate	илюстрирам	Графиката илюстрира разликата.
illustration	илюстрация	Илюстрацията е на втората страница.
imagination	въображение	Използвай въображението си.
impatient	нетърпелив	Той беше нетърпелив на опашката.
imply	намеквам	Намекваш, че греша?
impose	налагам	Правителството наложи нови правила.
impress	впечатлявам	Смелостта ѝ впечатли всички.
impressed	впечатлен	Бях впечатлен от работата ѝ.
inch	инч	Екранът е широк пет инча.
incident	инцидент	Инцидентът беше разследван.
income	доход	Доходът ѝ се увеличи тази година.
increasingly	все повече	Това става все по-ясно.
industrial	индустриален	Градът има индустриална зона.
infection	инфекция	Инфекцията се разпространи бързо.
inform	информирам	Информирай ни за промените.
initial	първоначален	Първоначалните разходи бяха високи.
initially	първоначално	Първоначално никой не разбра.
initiative	инициатива	Тя пое инициативата.
inner	вътрешен	Вътрешната му сила остана.
insight	прозрение	Изследването даде ново прозрение.
insist	настоявам	Тя настоя за отговор.
inspire	вдъхновявам	Историята ѝ вдъхнови класа.
install	инсталирам	Инсталирай приложението днес.
instance	пример	Това е ясен пример.
