source_headword	FI	example_FI
allocation	jako	Paikkojen jako oli epäreilu.
allowance	päiväraha	Hänen päivärahansa kattaa lounaan ja matkat.
ally	liittolainen	Kanadasta tuli läheinen liittolainen.
aluminium	alumiini	Runko on tehty alumiinista.
amateur	amatööri	Amatöörivalokuvaaja otti kuvan.
ambassador	suurlähettiläs	Suurlähettiläs tapasi paikallisia opiskelijoita.
amend	muuttaa	Parlamentti äänesti lain muuttamisen puolesta.
amendment	lisäys	Lisäys muutti yhtä kappaletta.
amid	keskellä	Puhe tuli kasvavan jännitteen keskellä.
analogy	analogia	Opettaja käytti yksinkertaista analogiaa.
anchor	ankkuri	Vene pudotti ankkurin lähelle saarta.
angel	enkeli	Lapsi pukeutui enkeliasuun.
anonymous	anonyymi	Valitus oli anonyymi.
apparatus	laitteisto	Laboratorion laitteisto kaipaa puhdistusta.
appealing	houkutteleva	Tarjous näyttää houkuttelevalta opiskelijoille.
appetite	ruokahalu	Liikunta lisäsi hänen ruokahaluaan.
applaud	taputtaa	Yleisö alkoi taputtaa äänekkäästi.
applicable	sovellettavissa	Alennus on sovellettavissa tänään.
appoint	nimittää	Hallitus nimittää johtajan.
appreciation	arvostus	Hän ilmaisi arvostusta heidän avustaan.
arbitrary	mielivaltainen	Määräaika vaikutti henkilökunnasta mielivaltaiselta.
architectural	arkkitehtoninen	Kaupunki suojelee arkkitehtonista perintöään.
archive	arkisto	Arkisto säilyttää vanhoja valokuvia.
arena	areena	Keskustelu siirtyi julkiselle areenalle.
arguably	kenties	Tämä on kenties hänen paras romaaninsa.
arm	aseistaa	Vartijat aseistavat saattueen.
array	valikoima	Kauppa tarjoaa valikoiman työkaluja.
articulate	pukea sanoiksi	Hän pystyy pukemaan sanoiksi monimutkaisia ideoita selkeästi.
ash	tuhka	Tuhka peitti auton tulipalon jälkeen.
aspiration	pyrkimys	Hänen pyrkimyksensä on tulla kirurgiksi.
aspire	pyrkiä	Monet opiskelijat pyrkivät opiskelemaan ulkomaille.
assassination	salamurha	Salamurha muutti maan politiikan.
assault	pahoinpitely	Pahoinpitely tapahtui aseman lähellä.
assemble	koota	Työntekijät kokoavat huonekalut käsin.
assembly	kokoontuminen	Koulun kokoontuminen alkaa yhdeksältä.
assert	vahvistaa	Hän yritti vahvistaa auktoriteettiaan.
assertion	väite	Hänen väitteensä yllätti paneelin.
assurance	vakuutus	Johtaja antoi vakuutuksen tuesta.
asylum	turvapaikka	Perhe pyysi turvapaikkaa rajalla.
atrocity	julmuus	Elokuva kuvasi sodanaikaista julmuutta.
attain	saavuttaa	Harvat juoksijat saavuttavat tuon nopeuden.
attendance	läsnäolo	Läsnäolo parani ilmoituksen jälkeen.
attorney	asianajaja	Asianajaja kuulusteli todistajaa.
attribute	laittaa	Tutkijat pitävät saastumista nousun syynä.
audit	tarkastus	Tarkastus löysi useita virheitä.
authentic	aito	Ravintola tarjoilee aitoa alueellista ruokaa.
authorize	valtuuttaa	Vain johtajat voivat valtuuttaa palautuksia.
auto	auto	Autoteollisuus muuttui nopeasti.
autonomy	autonomia	Alue haluaa laajemman autonomian.
availability	saatavuus	Paikkojen saatavuus on rajoitettu.
await	odottaa	Useat viestit odottavat vastaustasi.
backdrop	tausta	Vuoret muodostivat dramaattisen taustan.
backing	tuki	Ehdotus sai tukea äänestäjiltä.
backup	varmuuskopio	Järjestelmä luo varmuuskopion päivittäin.
bail	takuu	Tuomari määräsi takuut keskipäivällä.
ballot	äänestyslippu	Jokainen äänestäjä sai äänestyslipun.
banner	banderolli	Banderolli roikkui sisäänkäynnin yläpuolella.
bare	paljas	Huoneessa oli paljaat seinät.
barrel	tynnyri	Tynnyri oli täynnä vettä.
bass1	basso	Basso kuulosti syvältä ja lämpimältä.
battlefield	taistelukenttä	Vanhasta taistelukentästä tuli muistomerkki.
bay	lahti	Kylä sijaitsee hiljaisen lahden rannalla.
beam	palkki	Teräspalkki tukee kattoa.
beast	peto	Tarina kuvaa hurjaa petoa.
behalf	puolesta	Hän puhui tiiminsä puolesta.
beloved	rakastettu	Rakastettu opettaja jäi tänään eläkkeelle.
bench	penkki	He istuivat puupenkillä.
benchmark	vertailukohta	Testistä tuli alan vertailukohta.
beneath	alla	Asiakirjat olivat kansion alla.
beneficiary	edunsaaja	Hänen poikansa oli pääasiallinen edunsaaja.
betray	pettää	Älä petä ystäväsi luottamusta.
bind	sitoa	Sopimus sitoo molempia yrityksiä.
biography	elämäkerta	Hänen elämäkertaansa myytiin monia kappaleita.
bishop	piispa	Piispa vieraili kyläkirkossa.
bizarre	outo	Elokuvalla oli outo loppu.
blade	terä	Terä leikkasi köyden.
blast	räjähdys	Räjähdys rikkoi läheiset ikkunat.
bleed	vuotaa verta	Haava alkoi vuotaa verta runsaasti.
blend	sekoittaa	Sekoita kastiketta, kunnes se on tasaista.
bless	siunata	Pappi siunaa talon.
blessing	siunaus	Tuen saaminen oli siunaus.
boast	ylpeillä	Hän tykkää ylpeillä rahalla.
bonus	bonus	Työntekijät saivat lomabonuksen.
boom	nousukausi	Kaupunki koki rakennusbuumin.
bounce	pomppia	Pallo voi pomppia erittäin korkealle.
boundary	raja	Joki merkitsee rajan.
bow1	kumarrus	Näyttelijä kumarsi syvään.
breach	tietomurto	Tietomurto paljasti yksityisiä tietoja.
breakdown	erittely	Raportti sisältää kustannuserittelyn.
breakthrough	läpimurto	Löytö oli merkittävä läpimurto.
breed	lisääntyä	Nämä linnut lisääntyvät keväällä.
broadband	laajakaista	Toimisto tarvitsee nopeamman laajakaistan.
browser	selain	Päivitä selaimesi ennen kirjautumista.
brutal	julma	Hyökkäys oli julma ja äkillinen.
buck	taala	Lippu maksaa kymmenen taalaa.
buddy	kaveri	Hänen kaverinsa odotti ulkopuolella.
buffer	puskuri	Puut luovat melupuskurin.
bulk	paljous	He ostivat riisiä suuria määriä.
burden	taakka	Velasta tuli raskas taakka.
bureaucracy	byrokratia	Byrokratia viivytti lupaa.
burial	hautaus	Hautaus tapahtui aamunkoitteessa.
burst	haljeta	Putki saattaa haljeta paineen alla.
cabinet	hallitus	Hallitus hyväksyi suunnitelman.
calculation	laskelma	Laskelma kesti useita minuutteja.
canvas	kangas	Taiteilija maalasi isolle kankaalle.
capability	kyky	Laitteessa on langaton ominaisuus.
capitalism	kapitalismi	Kapitalismi muokkasi modernia taloutta.
capitalist	kapitalistinen	Kapitalistinen järjestelmä palkitsee yksityiset sijoitukset.
cargo	rahti	Laiva kuljetti lääketieteellistä rahtia.
carriage	vaunu	Junan vaunu oli melkein tyhjä.
carve	veistää	Hän veistää puuta varovasti.
casino	kasino	Kasino avattiin hotellin lähelle.
casualty	uhri	Onnettomuus vaati yhden uhrin.
catalogue	luettelo	Luettelo sisältää jokaisen tuotteen.
cater	tarjoilla	Ravintola voi pitopalveluna palvella suuria tapahtumia.
cattle	karja	Karja laidunsi joen lähellä.
caution	varovaisuus	Noudata varovaisuutta jäisillä teillä.
cautious	varovainen	Sijoittajat pysyvät varovaisina tällä viikolla.
cease	lakata	Tehdas lopettaa tuotannon pian.
cemetery	hautausmaa	Hautausmaalta on näkymä merelle.
chamber	kamari	Sali oli hiljainen äänestyksen aikana.
chaos	kaaos	Viivästys aiheutti kaaoksen lentokentällä.
characterize	luonnehtia	Asiantuntijat luonnehtivat suunnitelmaa riskialttiiksi.
charm	viehätys	Kaupungilla on vanhan ajan viehätystä.
charter	peruskirja	Peruskirja suojaa perusoikeuksia.
chronic	krooninen	Hän kärsii kroonisesta selkäkivusta.
chunk	kimpale	Leikkaa juusto isoksi kimpaleeksi.
circulate	kiertää	Laita esityslista kiertämään tänään.
circulation	levikki	Sanomalehden levikki laski jyrkästi.
citizenship	kansalaisuus	Hän haki Ranskan kansalaisuutta.
civic	kansalais-	Kansalaisjohtajat osallistuivat kokoukseen.
civilian	siviili	Useita siviilien koteja vaurioitui.
clarity	selkeys	Kaavio lisäsi raportin selkeyttä.
clash	yhteenotto	Yhteenotto alkoi marssin jälkeen.
classification	luokittelu	Luokittelu riippuu koosta.
cling	takertua	Märät vaatteet takertuvat ihoon.
clinical	kliininen	Kliininen koe alkaa ensi kuussa.
closure	sulkeminen	Perhe halusi asialle päätöksen.
cluster	ryhmä	Lähellä sijaitsi talojen rypäs.
coalition	koalitio	Koalitio menetti enemmistönsä.
coastal	rannikko-	Rannikkokylät valmistautuivat tulviin.
cocktail	cocktail	Hän tilasi hedelmäcocktailin.
cognitive	kognitiivinen	Kognitiiviset taidot paranevat harjoittelemalla.
coincide	osua samaan aikaan	Festivaali osuu samaan aikaan valmistujaisten kanssa.
collaborate	tehdä yhteistyötä	Tiimit tekevät yhteistyötä ohjelmiston parissa.
collaboration	yhteistyö	Heidän yhteistyönsä tuotti vahvoja tuloksia.
collective	kollektiivinen	Päätös oli kollektiivinen ponnistus.
collision	törmäys	Törmäys tuki valtatien.
colonial	siirtomaatyylinen	Rakennuksessa on siirtomaatyylinen arkkitehtuuri.
columnist	kolumnisti	Kolumnisti kritisoi politiikkaa.
combat	taistelu	Sotilaat harjoittelivat taistelua varten.
commence	alkaa	Seremonia alkaa keskipäivällä.
commentary	selostus	Ottelun selostus oli eloisa.
commentator	kommentaattori	Kommentaattori selitti päätöksen.
commerce	kaupankäynti	Verkkokaupankäynti kasvoi nopeasti.
commissioner	komissaari	Komissaari ilmoitti uusista säännöistä.
commodity	hyödyke	Vehnä on tärkeä hyödyke.
communist	kommunistinen	Kommunistinen puolue piti kokouksen.
companion	kumppani	Hänen koiransa on uskollinen kumppani.
comparable	verrattavissa oleva	Nämä kaksi kaupunkia ovat kooltaan verrattavissa toisiinsa.
compassion	myötätunto	Sairaanhoitaja osoitti suurta myötätuntoa.
compel	pakottaa	Todisteet saattavat pakottaa vastaamaan.
compelling	vakuuttava	Dokumentti esitti vakuuttavan tapauksen.
compensate	korvata	Yritys korvaa asianosaisille asiakkaille.
compensation	korvaus	Työntekijät vaativat reilua korvausta.
competence	pätevyys	Testi mittaa ammatillista pätevyyttä.
competent	pätevä	Hän on pätevä insinööri.
compile	koota	Tutkijat kokoavat tietoja sairaaloista.
complement	täydentää	Viini täydentää ateriaa.
complexity	monimutkaisuus	Projektissa on odottamatonta monimutkaisuutta.
compliance	vaatimustenmukaisuus	Tilintarkastus tarkisti lainmukaisuuden.
complication	komplikaatio	Leikkauksessa oli yksi komplikaatio.
comply	noudattaa	Yritysten on noudatettava säännöksiä.
composition	sävellys	Sävellys sisältää viulun ja pianon.
compromise	kompromissi	Kompromissi tyydytti molempia osapuolia.
compute	laskea	Ohjelma voi laskea loppusumman.
conceal	salata	Hän yritti salata vahingon.
concede	myöntää	Ministeri kieltäytyi myöntämästä tappiota.
conceive	keksiä	He eivät pystyneet keksimään parempaa suunnitelmaa.
conception	käsitys	Elokuva muutti käsitykseni historiasta.
concession	myönnytys	Yritys tarjosi yhden myönnytyksen.
condemn	tuomita	Johtajat tuomitsevat hyökkäyksen julkisesti.
confer	antaa	Palkinto antaa arvovaltaa.
confession	tunnustus	Hänen tunnustuksensa yllätti oikeuden.
configuration	kokoonpano	Kokoonpano ohjaa verkkopääsyä.
confine	rajoittaa	Säännöt rajoittavat koirat tälle alueelle.
confirmation	vahvistus	Saimme vahvistuksen sähköpostitse.
confront	kohdata	Hän päätti kohdata ongelman.
confrontation	yhteenotto	Yhteenotto päättyi ilman väkivaltaa.
congratulate	onnitella	Soitin onnitellakseni siskoani.
congregation	seurakunta	Seurakunta lauloi yhdessä.
congressional	kongressin	Kongressin kuuleminen kesti tunteja.
conquer	valloittaa	Joukkue toivoo valloittavansa markkinat.
conscience	omatunto	Hänen omatuntonsa ei sallinut valheita.
consciousness	tietoisuus	Onnettomuus vaikutti hänen tajuntaansa.
consecutive	peräkkäinen	Hän voitti kolme peräkkäistä ottelua.
consensus	yhteisymmärrys	Komitea saavutti nopeasti yhteisymmärryksen.
consent	suostumus	Kirjallinen suostumus vaaditaan.
conserve	säästää	Säästämme vettä kuivuuden aikana.
consistency	johdonmukaisuus	Johdonmukaisuudella on merkitystä kielten opiskelussa.
consolidate	yhdistää	Yritys yhdistää kaksi toimistoa.
constituency	vaalipiiri	Ehdokas vieraili jokaisessa vaalipiirissä.
constitute	muodostaa	Naiset muodostavat puolet komiteasta.
constitution	perustuslaki	Perustuslaki takaa sananvapauden.
constitutional	perustuslaillinen	Tuomioistuin tutki perustuslaillisia oikeuksia.
constraint	rajoite	Budjettirajoite rajoitti projektia.
consultation	neuvottelu	Neuvottelu kesti kaksi viikkoa.
contemplate	harkita	Hän pysähtyi harkitsemaan tarjousta.
contempt	halveksunta	Hän osoitti halveksuntaa sääntöjä kohtaan.
contend	kilpailla	Useat yritykset kilpailevat sopimuksesta.
contender	kilpailija	Hän on vahva kilpailija.
content2	tyytyväinen	Hän tunsi itsensä tyytyväiseksi tulokseen.
contention	kiista	Pääkiista koskee rahoitusta.
continually	jatkuvasti	Järjestelmä tarkistaa jatkuvasti virheitä.
contractor	urakoitsija	Urakoitsija korjasi katon.
contradiction	ristiriita	Hänen lausuntonsa sisälsi ristiriidan.
contrary	päinvastainen	Päinvastainen todistusaineisto muutti tapauksen.
contributor	avustaja	Hän on säännöllinen avustaja.
conversion	muuntaminen	Muuntaminen muutti dollarit euroiksi.
convict	tuomita	Valamiehistö voi tuomita epäillyn.
conviction	tuomio	Hänen tuomionsa järkytti yleisöä.
cooperate	tehdä yhteistyötä	Tee yhteistyötä tutkinnan kanssa.
cooperative	yhteistyöhaluinen	Henkilökunta oli yhteistyöhaluista ja rauhallista.
coordinate	koordinoida	He koordinoivat toimituksia joka aamu.
coordination	koordinaatio	Hyvä koordinaatio säästi aikaa.
coordinator	koordinaattori	Koordinaattori jakoi jokaisen tehtävän.
cop	poliisi	Poliisi seisoi aseman ulkopuolella.
copper	kupari	Putki on tehty kuparista.
copyright	tekijänoikeus	Kuva on suojattu tekijänoikeudella.
correction	korjaus	Opettaja teki yhden korjauksen.
correlate	korreloida	Kova stressi voi korreloida sairauden kanssa.
correlation	korrelaatio	Tutkimuksessa löytyi vahva korrelaatio.
correspond	vastata	Nämä numerot vastaavat etikettejä.
correspondence	kirjeenvaihto	Heidän kirjeenvaihtonsa kesti vuosia.
correspondent	kirjeenvaihtaja	Kirjeenvaihtaja raportoi Kairosta.
corresponding	vastaava	Jokaisella painikkeella on vastaava valo.
corrupt	korruptoitunut	Korruptoitunut virkamies otti vastaan rahaa.
corruption	korruptio	Korruptio heikensi yleisön luottamusta.
costly	kallis	Virhe oli joukkueelle kallis.
councillor	valtuutettu	Valtuutettu vastasi asukkaiden kysymyksiin.
counselling	neuvonta	Hän sai neuvontaa onnettomuuden jälkeen.
counsellor	neuvonantaja	Neuvonantaja auttoi uusia opiskelijoita.
counter (argue against)	vastustaa	Hän yritti vastustaa hänen argumenttiaan.
counterpart	vastine	Hän tapasi japanilaisen kollegansa.
countless	lukematon	Lukemattomat vapaaehtoiset liittyivät etsintään.
coup	vallankaappaus	Vallankaappaus syrjäytti presidentin.
courtesy	kohteliaisuus	Hän kiitti heitä heidän kohteliaisuudestaan.
