source_headword	IT	example_IT
tsunami	lo tsunami	Lo tsunami ha distrutto le case costiere.
ultimate	finale	L'obiettivo finale è la pace.
unacceptable	inaccettabile	Il ritardo era inaccettabile per i passeggeri.
uncertainty	l'incertezza	L'incertezza ha reso nervosi gli investitori.
undergo	sottoporsi a	Il paziente si sottoporrà a un intervento chirurgico domani.
undertake	intraprendere	La squadra intraprenderà un sondaggio.
unfold	svolgersi	Il dramma ha iniziato a svolgersi lentamente.
unfortunate	sfortunato	L'errore è stato sfortunato ma risolvibile.
unite	unire	I leader hanno cercato di unire il partito.
unity	l'unità	Il discorso ha invitato all'unità nazionale.
universal	universale	L'app utilizza un design universale.
urgent	urgente	L'ospedale ha ricevuto una chiamata urgente.
usage	l'uso	La guida spiega l'uso corretto.
useless	inutile	Il caricabatterie rotto è inutile.
valid	valido	Il tuo passaporto è ancora valido.
variation	la variazione	C'è un'ampia variazione nei prezzi.
vertical	verticale	Il grafico ha un asse verticale.
viewpoint	il punto di vista	Il suo punto di vista è cambiato dopo il dibattito.
visa	il visto	Ha richiesto un visto per studenti.
visible	visibile	Il cartello è visibile da qui.
voluntary	facoltativo	Il corso include seminari facoltativi.
voting	la votazione	La votazione anticipata inizia la prossima settimana.
wander	passeggiare	I turisti passeggiano per il vecchio mercato.
warming	il riscaldamento	Il riscaldamento globale influisce sul livello del mare.
weekly	settimanale	La squadra tiene una riunione settimanale.
weird	strano	Il rumore suonava strano.
welfare	il benessere	Il programma sostiene il benessere dei bambini.
wheat	il grano	Il contadino coltiva il grano.
whoever	chiunque	Chiunque arrivi primo dovrebbe aspettare fuori.
widespread	diffuso	La tempesta ha causato danni diffusi.
wisdom	la saggezza	Sua nonna ha condiviso una saggezza pratica.
withdraw	ritirare	Ha deciso di ritirare la sua domanda.
workforce	la forza lavoro	La forza lavoro ha bisogno di nuove competenze.
workplace	il luogo di lavoro	Il luogo di lavoro ha regole di sicurezza chiare.
workshop	il laboratorio	Il laboratorio inizia alle dieci.
worm	il verme	Un verme si è mosso sul terreno.
wrist	il polso	Si è fatta male al polso.
