source_headword	FR	example_FR
amendment	l'amendement	L'amendement a modifié un paragraphe.
amid	au milieu de	Le discours est intervenu au milieu d'une tension croissante.
analogy	l'analogie	Le professeur a utilisé une analogie simple.
anchor	l'ancre	Le bateau a jeté l'ancre près de l'île.
angel	l'ange	L'enfant portait un costume d'ange.
anonymous	anonyme	La plainte était anonyme.
apparatus	l'appareil	L'appareil du laboratoire a besoin d'être nettoyé.
appealing	attrayant	L'offre semble attrayante pour les étudiants.
appetite	l'appétit	L'exercice a augmenté son appétit.
applaud	applaudir	Le public a commencé à applaudir bruyamment.
applicable	applicable	La remise est applicable aujourd'hui.
appoint	nommer	Le conseil nommera un directeur.
appreciation	la gratitude	Elle a exprimé sa gratitude pour leur aide.
arbitrary	arbitraire	La date limite a semblé arbitraire au personnel.
architectural	architectural	La ville protège son patrimoine architectural.
archive	les archives	Les archives conservent de vieilles photographies.
arena	l'arène	Le débat s'est déplacé dans l'arène publique.
arguably	sans doute	C'est sans doute son meilleur roman.
arm	armer	Les gardes armeront le convoi.
array	la gamme	Le magasin propose une gamme d'outils.
articulate	exprimer	Elle peut exprimer clairement des idées complexes.
ash	la cendre	La cendre a recouvert la voiture après l'incendie.
aspiration	l'aspiration	Son aspiration est de devenir chirurgienne.
aspire	aspirer	De nombreux étudiants aspirent à étudier à l'étranger.
assassination	l'assassinat	L'assassinat a changé la politique du pays.
assault	l'agression	L'agression s'est produite près de la gare.
assemble	assembler	Les ouvriers assemblent les meubles à la main.
assembly	l'assemblée	L'assemblée de l'école commence à neuf heures.
assert	affirmer	Il a essayé d'affirmer son autorité.
assertion	l'affirmation	Son affirmation a surpris le panel.
assurance	l'assurance	Le directeur a donné l'assurance de son soutien.
asylum	l'asile	La famille a demandé l'asile à la frontière.
atrocity	l'atrocité	Le film a décrit une atrocité en temps de guerre.
attain	atteindre	Peu de coureurs atteignent cette vitesse.
attendance	la fréquentation	La fréquentation s'est améliorée après l'annonce.
attorney	l'avocat	L'avocat a interrogé le témoin.
attribute	attribuer	Les scientifiques attribuent cette hausse à la pollution.
audit	l'audit	L'audit a trouvé plusieurs erreurs.
authentic	authentique	Le restaurant sert une cuisine régionale authentique.
authorize	autoriser	Seuls les responsables peuvent autoriser les remboursements.
auto	l'auto	L'industrie de l'auto a changé rapidement.
autonomy	l'autonomie	La région veut une plus grande autonomie.
availability	la disponibilité	La disponibilité des sièges est limitée.
await	attendre	Plusieurs messages attendent votre réponse.
backdrop	la toile de fond	Les montagnes formaient une toile de fond spectaculaire.
backing	le soutien	La proposition a obtenu le soutien des électeurs.
backup	la sauvegarde	Le système crée une sauvegarde tous les jours.
bail	la caution	Le juge a fixé la caution à midi.
ballot	le bulletin de vote	Chaque électeur a reçu un bulletin de vote.
banner	la banderole	La banderole était suspendue au-dessus de l'entrée.
bare	nu	La pièce avait des murs nus.
barrel	le tonneau	Le tonneau était plein d'eau.
bass1	la basse	La basse sonnait de manière profonde et chaleureuse.
battlefield	le champ de bataille	L'ancien champ de bataille est devenu un mémorial.
bay	la baie	Le village se trouve au bord d'une baie tranquille.
beam	la poutre	Une poutre en acier soutient le toit.
beast	la bête	L'histoire décrit une bête féroce.
behalf	le nom	Elle a parlé au nom de son équipe.
beloved	bien-aimé	Le professeur bien-aimé a pris sa retraite aujourd'hui.
bench	le banc	Ils se sont assis sur un banc en bois.
benchmark	la référence	Le test est devenu une référence dans l'industrie.
beneath	sous	Les documents étaient sous le dossier.
beneficiary	le bénéficiaire	Son fils était le principal bénéficiaire.
betray	trahir	Ne trahis pas la confiance de ton ami.
bind	lier	L'accord liera les deux entreprises.
biography	la biographie	Sa biographie a été vendue à de nombreux exemplaires.
bishop	l'évêque	L'évêque a visité l'église du village.
bizarre	bizarre	Le film avait une fin bizarre.
blade	la lame	La lame a coupé la corde.
blast	l'explosion	L'explosion a brisé les fenêtres voisines.
bleed	saigner	La coupure a commencé à saigner abondamment.
blend	mélanger	Mélangez la sauce jusqu'à ce qu'elle soit lisse.
bless	bénir	Le prêtre bénira la maison.
blessing	la bénédiction	Avoir du soutien était une bénédiction.
boast	se vanter	Il aime se vanter de son argent.
bonus	la prime	Les employés ont reçu une prime de vacances.
boom	le boom	La ville a connu un boom de la construction.
bounce	rebondir	La balle peut rebondir très haut.
boundary	la limite	La rivière marque la limite.
bow1	s'incliner	L'acteur a fait une profonde révérence.
breach	la faille	La faille a exposé des données privées.
breakdown	la répartition	Le rapport inclut une répartition des coûts.
breakthrough	la percée	La découverte a été une percée majeure.
breed	se reproduire	Ces oiseaux se reproduisent au printemps.
broadband	le haut débit	Le bureau a besoin d'un haut débit plus rapide.
browser	le navigateur	Mettez à jour votre navigateur avant de vous connecter.
brutal	brutal	L'attaque a été brutale et soudaine.
buck	le dollar	Le billet coûte dix dollars.
buddy	le copain	Son copain attendait dehors.
buffer	le tampon	Les arbres créent un tampon acoustique.
bulk	le vrac	Ils ont acheté du riz en vrac.
burden	le fardeau	La dette est devenue un lourd fardeau.
bureaucracy	la bureaucratie	La bureaucratie a retardé le permis.
burial	l'enterrement	L'enterrement a eu lieu à l'aube.
burst	éclater	Le tuyau peut éclater sous la pression.
cabinet	le cabinet	Le cabinet a approuvé le plan.
calculation	le calcul	Le calcul a pris plusieurs minutes.
canvas	la toile	L'artiste a peint sur une grande toile.
capability	la capacité	L'appareil a une capacité sans fil.
capitalism	le capitalisme	Le capitalisme a façonné l'économie moderne.
capitalist	capitaliste	Le système capitaliste récompense l'investissement privé.
cargo	la cargaison	Le navire transportait une cargaison médicale.
carriage	le wagon	Le wagon de train était presque vide.
carve	sculpter	Il va sculpter le bois avec soin.
casino	le casino	Le casino a ouvert près de l'hôtel.
casualty	la victime	L'accident a fait une victime.
catalogue	le catalogue	Le catalogue répertorie chaque produit.
cater	approvisionner	Le restaurant peut assurer le service traiteur pour de grands événements.
cattle	le bétail	Le bétail paissait près de la rivière.
caution	la prudence	Faites preuve de prudence sur les routes verglacées.
cautious	prudent	Les investisseurs restent prudents cette semaine.
cease	cesser	L'usine cessera bientôt sa production.
cemetery	le cimetière	Le cimetière surplombe la mer.
chamber	la chambre	La chambre est restée silencieuse pendant le vote.
chaos	le chaos	Le retard a provoqué le chaos à l'aéroport.
characterize	caractériser	Les experts caractérisent le plan comme risqué.
charm	le charme	La ville a un charme d'antan.
charter	la charte	La charte protège les droits fondamentaux.
chronic	chronique	Il souffre de douleurs chroniques au dos.
chunk	le morceau	Coupez le fromage en un morceau.
circulate	faire circuler	Veuillez faire circuler l'ordre du jour aujourd'hui.
circulation	le tirage	Le tirage du journal a fortement chuté.
citizenship	la citoyenneté	Elle a demandé la citoyenneté française.
civic	civique	Les dirigeants civiques ont assisté à la réunion.
civilian	le civil	Plusieurs maisons de civils ont été endommagées.
clarity	la clarté	Le diagramme a apporté de la clarté au rapport.
clash	l'affrontement	L'affrontement a commencé après la marche.
classification	la classification	La classification dépend de la taille.
cling	coller	Les vêtements mouillés collent à la peau.
clinical	clinique	L'essai clinique commence le mois prochain.
closure	la conclusion	La famille voulait tourner la page après l'affaire.
cluster	le groupe	Un groupe de maisons se trouvait à proximité.
coalition	la coalition	La coalition a perdu sa majorité.
coastal	côtier	Les villages côtiers se sont préparés aux inondations.
cocktail	le cocktail	Elle a commandé un cocktail de fruits.
cognitive	cognitif	Les compétences cognitives s'améliorent avec la pratique.
coincide	coïncider	Le festival coïncidera avec la remise des diplômes.
collaborate	collaborer	Les équipes collaborent sur le logiciel.
collaboration	la collaboration	Leur collaboration a produit de bons résultats.
collective	collectif	La décision était un effort collectif.
collision	la collision	La collision a bloqué l'autoroute.
colonial	colonial	Le bâtiment a une architecture coloniale.
columnist	le chroniqueur	Le chroniqueur a critiqué la politique.
combat	le combat	Les soldats se sont entraînés pour le combat.
commence	commencer	La cérémonie commencera à midi.
commentary	le commentaire	Le commentaire du match était animé.
commentator	le commentateur	Le commentateur a expliqué la décision.
commerce	le commerce	Le commerce en ligne a connu une croissance rapide.
commissioner	le commissaire	Le commissaire a annoncé de nouvelles règles.
commodity	le produit de base	Le blé est un produit de base important.
communist	communiste	Le parti communiste a tenu une réunion.
companion	le compagnon	Son chien est un compagnon fidèle.
comparable	comparable	Les deux villes sont comparables en taille.
compassion	la compassion	L'infirmière a fait preuve d'une grande compassion.
compel	contraindre	Les preuves peuvent contraindre à une réponse.
compelling	convaincant	Le documentaire a présenté des arguments convaincants.
compensate	dédommager	L'entreprise dédommagera les clients concernés.
compensation	l'indemnisation	Les travailleurs ont réclamé une juste indemnisation.
competence	la compétence	Le test mesure la compétence professionnelle.
competent	compétent	Elle est une ingénieure compétente.
compile	compiler	Les chercheurs compilent les données des hôpitaux.
complement	compléter	Le vin viendra compléter le repas.
complexity	la complexité	Le projet présente une complexité inattendue.
compliance	la conformité	L'audit a vérifié la conformité légale.
complication	la complication	La chirurgie a eu une complication.
comply	se conformer	Les entreprises doivent se conformer aux réglementations.
composition	la composition	La composition comprend un violon et un piano.
compromise	le compromis	Le compromis a satisfait les deux parties.
compute	calculer	Le programme peut calculer le total.
conceal	dissimuler	Il a essayé de dissimuler les dégâts.
concede	concéder	Le ministre a refusé de concéder la défaite.
conceive	concevoir	Ils n'ont pas pu concevoir un meilleur plan.
conception	la conception	Le film a changé ma conception de l'histoire.
concession	la concession	L'entreprise a offert une concession.
condemn	condamner	Les dirigeants condamnent l'attaque publiquement.
confer	conférer	Le prix conférera du prestige.
confession	la confession	Sa confession a surpris le tribunal.
configuration	la configuration	La configuration contrôle l'accès au réseau.
confine	confiner	Les règles confinent les chiens dans cette zone.
confirmation	la confirmation	Nous avons reçu une confirmation par e-mail.
confront	affronter	Elle a décidé d'affronter le problème.
confrontation	la confrontation	La confrontation s'est terminée sans violence.
congratulate	féliciter	J'ai appelé pour féliciter ma sœur.
congregation	la congrégation	La congrégation a chanté ensemble.
congressional	du congrès	L'audience du congrès a duré des heures.
conquer	conquérir	L'équipe espère conquérir le marché.
conscience	la conscience	Sa conscience ne permettait pas les mensonges.
consciousness	la conscience	L'accident a affecté sa conscience.
consecutive	consécutif	Elle a remporté trois matchs consécutifs.
consensus	le consensus	Le comité a atteint un consensus rapidement.
consent	le consentement	Un consentement écrit est requis.
conserve	conserver	Nous conservons l'eau pendant les sécheresses.
consistency	la constance	La constance est importante dans l'étude des langues.
consolidate	consolider	L'entreprise va consolider deux bureaux.
constituency	la circonscription	Le candidat a visité chaque circonscription.
constitute	constituer	Les femmes constituent la moitié du comité.
constitution	la constitution	La constitution garantit la liberté d'expression.
constitutional	constitutionnel	Le tribunal a examiné les droits constitutionnels.
constraint	la contrainte	La contrainte budgétaire a limité le projet.
consultation	la consultation	La consultation a duré deux semaines.
contemplate	envisager	Elle s'est arrêtée pour envisager l'offre.
contempt	le mépris	Il a fait preuve de mépris pour les règles.
contend	se disputer	Plusieurs entreprises se disputent le contrat.
contender	le concurrent	Elle est une concurrente sérieuse.
content2	satisfait	Il s'est senti satisfait du résultat.
contention	le point de désaccord	Le principal point de désaccord concerne le financement.
continually	continuellement	Le système vérifie continuellement s'il y a des erreurs.
contractor	l'entrepreneur	L'entrepreneur a réparé le toit.
contradiction	la contradiction	Sa déclaration contenait une contradiction.
contrary	contraire	Les preuves contraires ont changé l'affaire.
contributor	le contributeur	Elle est une contributrice régulière.
conversion	la conversion	La conversion a changé les dollars en euros.
convict	condamner	Le jury pourrait condamner le suspect.
conviction	la condamnation	Sa condamnation a choqué le public.
cooperate	coopérer	Veuillez coopérer avec l'enquête.
cooperative	coopératif	Le personnel s'est montré coopératif et calme.
coordinate	coordonner	Ils coordonnent les livraisons chaque matin.
coordination	la coordination	Une bonne coordination a fait gagner du temps.
coordinator	le coordinateur	Le coordinateur a assigné chaque tâche.
cop	le flic	Un policier se tenait devant la gare.
copper	le cuivre	Le tuyau est en cuivre.
copyright	le droit d'auteur	L'image est protégée par le droit d'auteur.
correction	la correction	Le professeur a fait une correction.
correlate	corréler	Un stress élevé peut être corrélé à la maladie.
correlation	la corrélation	L'étude a révélé une forte corrélation.
correspond	correspondre	Ces numéros correspondent aux étiquettes.
correspondence	la correspondance	Leur correspondance a duré des années.
correspondent	le correspondant	Le correspondant a fait un reportage depuis Le Caire.
corresponding	correspondant	Chaque bouton a un voyant correspondant.
corrupt	corrompu	Le fonctionnaire corrompu a accepté de l'argent.
corruption	la corruption	La corruption a affaibli la confiance du public.
costly	coûteux	L'erreur a été coûteuse pour l'équipe.
councillor	le conseiller	Le conseiller a répondu aux questions des résidents.
counselling	le conseil	Elle a reçu des conseils après l'accident.
counsellor	le conseiller	Le conseiller a aidé les nouveaux étudiants.
counter (argue against)	contrer	Elle a essayé de contrer son argument.
counterpart	l'homologue	Il a rencontré son homologue japonais.
countless	innombrable	D'innombrables bénévoles se sont joints aux recherches.
coup	le coup d'État	Le coup d'État a destitué le président.
courtesy	la courtoisie	Elle les a remerciés pour leur courtoisie.
