simplified	ET	example_ET	IS	example_IS
堵车	liiklusummik	Olin teel ja jälle oli liiklusummik.	umferðarteppa	Ég var á leiðinni og það var aftur umferðarteppa.
肚子	kõht	Mul valutab kõht.	magi; kviður	Ég er með magaverk.
短信	tekstisõnum; sõnum	Kui sul midagi on, saada mulle sõnum või helista.	smáskilaboð; skilaboð	Ef eitthvað kemur upp, sendu mér smáskilaboð eða hringdu.
对话	dialoog; vestlus	See dialoog on üsna lihtne, ma saan aru.	samræða; samtal	Þessi samræða er frekar einföld, ég skil hana.
对面	vastas; vastaspoolel	Ma elan täpselt kooli vastas.	gegnt; hinum megin	Ég bý beint á móti skólanum.
对于	kohta; mis puutub	Mul on selle küsimuse kohta teistsugune arvamus.	varðandi; hvað varðar	Ég hef aðra skoðun varðandi þessa spurningu.
儿童	laps; lapsed	Alla 1,2 meetri pikkused lapsed saavad osta lastepileti.	barn; börn	Börn undir 1,2 metrum geta keypt barnamiða.
而	ja; aga	See riideese on odav ja ilus.	og; en	Þessi flík er ódýr og falleg.
发生	juhtuma; toimuma	Olukord on palju muutunud.	gerast; eiga sér stað	Aðstæðurnar hafa breyst mikið.
发展	areng; arenema	Majandus on viimastel aastatel kiiresti arenenud.	þróun; þróast	Efnahagurinn hefur þróast hratt undanfarin ár.
法律	seadus; õigus	Ma õpin ülikoolis õigusteadust.	lög; lögfræði	Ég er að læra lögfræði í háskóla.
翻译	tõlkima; tõlk	Palun tõlgi see artikkel hiina keelde.	þýða; túlkur	Vinsamlegast þýddu þessa grein yfir á kínversku.
烦恼	mure; tüli	Ära muretse selle pärast enam.	áhyggja; leiðindi	Hafðu ekki meiri áhyggjur af þessu.
反对	vastu olema; vastustama	Kõik on selle plaani vastu.	vera á móti; andmæla	Allir eru á móti þessari áætlun.
方法	meetod; viis	Me leiame kindlasti probleemile lahenduse.	aðferð; leið	Við finnum örugglega lausn á vandanum.
方面	aspekt; valdkond	Isale meeldib lugeda ajalooraamatuid.	þáttur; svið	Pabba finnst gaman að lesa sögubækur.
方向	suund; suunis	Kas see on õige suund? Ma arvan, et oleme eksinud.	átt; stefna	Er þetta rétta áttin? Ég held að við séum villt.
房东	üürileandja	Minu üürileandja on väga sõbralik ja aitab mind sageli.	leigusali	Leigusalinn minn er mjög vinalegur og hjálpar mér oft.
放弃	loobuma	Loobusin võimalusest välismaal õppida.	gefast upp; hætta við	Ég gaf upp tækifærið til að læra erlendis.
放暑假	suvevaheajale jääma	Suvevaheaeg algab homme.	fara í sumarfrí	Sumarfríið byrjar á morgun.
放松	lõõgastuma; lõdvaks laskma	Eksam on läbi, peame lõõgastuma.	slaka á	Prófið er búið, við þurfum að slaka á.
份	loendussõna dokumentide, tööde ja portsjonite kohta	Palun saada mulle faks.	mælieining fyrir skjöl, störf og skammta	Vinsamlegast sendu mér fax.
丰富	rikkalik; rikastama	Lugemine võib meie elu rikastada.	ríkur; auðga	Lestur getur auðgað líf okkar.
否则	muidu; vastasel juhul	Lähme nüüd, muidu jääme hiljaks.	annars	Förum núna, annars verðum við sein.
符合	sobima; vastama	Ta vastab väga hästi meie värbamistingimustele.	passa; uppfylla	Hún uppfyllir ráðningarskilyrði okkar mjög vel.
付款	maksma; makse	Ostude eest saab maksta veebis.	borga; greiðsla	Hægt er að borga fyrir innkaup á netinu.
复印	kopeerima; koopiat tegema	Palun tee sellest materjalist kaks koopiat.	ljósrita; afrita	Vinsamlegast gerðu tvö afrit af þessu efni.
复杂	keeruline; kompleksne	See on keeruline tehniline probleem.	flókinn; margbrotinn	Þetta er flókið tæknilegt vandamál.
富	rikas; jõukas	Inimeste elu muutub järjest jõukamaks.	ríkur; auðugur	Líf fólks verður sífellt ríkara.
父亲	isa	Minu isa on sel aastal kaheksakümmend kolm aastat vana.	faðir	Faðir minn er áttatíu og þriggja ára í ár.
负责	vastutama; vastutav	Xiao Li on väga vastutustundlik.	bera ábyrgð; ábyrgur	Xiao Li er mjög ábyrgur.
改变	muutma; muutus	Muutsin oma plaani.	breyta; breyting	Ég breytti áætluninni minni.
干杯	terviseks; toosti jooma	Häid pühi kõigile, terviseks!	skál; drekka skál	Gleðilega hátíð öll, skál!
感动	liigutama; liigutav	Tema sõnad liigutasid mind väga.	hræra; snerta	Orð hans hrærðu mig mjög mikið.
感觉	tundma; tunne	Tunnen täna natuke külma.	finna; tilfinning	Mér finnst svolítið kalt í dag.
感情	tunne; emotsioon; suhe	Nendevaheline suhe on väga hea.	tilfinning; samband	Sambandið á milli þeirra er mjög gott.
感谢	tänama; tänulik olema	Aitäh abi eest.	þakka; vera þakklátur	Þakka þér fyrir hjálpina.
敢	julgema	Ma ei julge üksi minna.	þora	Ég þori ekki að fara einn.
赶	kiirustama; ruttama	Aitäh, et jõudsid õigel ajal appi.	flýta sér; hraða sér	Takk fyrir að koma tímanlega til að hjálpa mér.
干	tegema; töötama	Mida sa teed?	gera; vinna	Hvað ertu að gera?
刚	äsja; just	Palun andesta see, mida ma just ütlesin.	rétt í þessu; nýlega	Vinsamlegast fyrirgefðu það sem ég sagði rétt í þessu.
高速公路	kiirtee; maantee	Siia on ehitatud uus kiirtee.	hraðbraut; þjóðvegur	Hér hefur verið byggð ný hraðbraut.
胳膊	käsivars; käsi	Tal valutab käsivars natuke.	handleggur	Hann er með smá verk í handleggnum.
各	iga; kõik	Supermarketis on igasuguseid puuvilju.	hver; sérhver	Það eru alls konar ávextir í stórmarkaðnum.
公里	kilomeeter	Kahe linna vaheline kaugus on kolmsada kilomeetrit.	kílómetri	Fjarlægðin milli borganna tveggja er þrjú hundruð kílómetrar.
功夫	kungfu; oskus	Õpin viimasel ajal hiina kungfud.	kungfú; færni	Ég er að læra kínverskt kungfú þessa dagana.
工资	palk	Tema uuel töökohal on hea palk.	laun	Nýja starfið hans er vel launað.
共同	ühine; ühiselt	Meil on ühine eesmärk.	sameiginlegur; sameiginlega	Við höfum sameiginlegt markmið.
够	piisav; küllalt	Täna on küllalt külm.	nóg; nægilega	Það er nógu kalt í dag.
购物	ostlemine	Ostude eest saab maksta veebis.	innkaup	Hægt er að borga fyrir innkaup á netinu.
估计	hindama; arvama	Arvan, et nad on lennujaama jõudnud.	áætla; halda	Ég held að þau séu komin á flugvöllinn.
鼓励	julgustama	Vanemad peaksid lapsi rohkem julgustama.	hvetja	Foreldrar ættu að hvetja börnin sín meira.
故意	meelega; tahtlikult	Vabandust, ma ei teinud seda meelega.	viljandi; af ásetningi	Fyrirgefðu, ég gerði það ekki viljandi.
顾客	klient; ostja	Kliente on kolmandiku võrra vähemaks jäänud.	viðskiptavinur	Viðskiptavinum hefur fækkað um þriðjung.
挂	toru ära panema; üles riputama	Palun ära pane toru ära.	leggja á; hengja	Vinsamlegast ekki leggja á.
关键	võtmepunkt; põhiline koht	See ei ole probleemi põhipunkt.	aðalatriði; lykill	Þetta er ekki aðalatriði vandans.
观众	publik; vaatajad	Tere, sõbrad teleri ees.	áhorfendur	Halló, vinir fyrir framan sjónvarpið.
管理	juhtima; haldama	Kes seda maja praegu haldab?	stjórna; hafa umsjón með	Hver hefur umsjón með þessu húsi núna?
光	valgus; sära	Päikesevalgus on täna tugev.	ljós; birta	Sólarljósið er sterkt í dag.
广播	raadio; saade	Vanaisa kuulab raadiot.	útvarp; útsending	Afi er að hlusta á útvarpið.
广告	reklaam	Nägin teie reklaami ajalehes.	auglýsing	Ég sá auglýsinguna ykkar í dagblaðinu.
逛	ringi jalutama; ringi vaatama	Lähme sel nädalavahetusel kaubanduskeskusesse ringi vaatama.	rölta; skoða	Förum að skoða verslunarmiðstöðina um helgina.
规定	reegel; määrus	Koolil on oma reeglid.	regla; reglugerð	Skólinn hefur sínar eigin reglur.
国籍	kodakondsus; rahvus	Palun kirjuta vormile oma kodakondsus.	ríkisfang; þjóðerni	Vinsamlegast fylltu út ríkisfangið þitt á eyðublaðinu.
国际	rahvusvaheline	See on rahvusvaheline koosolek.	alþjóðlegur	Þetta er alþjóðlegur fundur.
果汁	mahl	Sooviksin juua klaasi mahla.	safi	Mig langar að drekka glas af safa.
过程	protsess; käik	Õppimise protsess on oluline.	ferli	Ferlið við að læra er mikilvægt.
海洋	ookean	Suurem osa Maa pinnast on ookean.	haf	Stærsti hluti yfirborðs Jarðar er haf.
害羞	häbelik; arglik	Esimest korda lavale minnes oli ta natuke häbelik.	feiminn	Hún var svolítið feimin þegar hún fór fyrst á svið.
寒假	talvevaheaeg	Talvevaheajal tahan lõunasse reisida.	vetrarfrí	Ég vil ferðast suður í vetrarfríinu.
汗	higi	Palav on, pühi higi rätikuga ära.	sviti	Það er heitt, þurrkaðu svitann með handklæði.
航班	lend	Tere tulemast sellele lennule.	flug	Velkomin um borð í þetta flug.
好处	kasu; eelis	Rohkem lugemisel on palju kasu.	ávinningur; kostur	Það er mikill ávinningur af því að lesa meira.
好像	tunduma; nagu	Meie vahel tundub olevat arusaamatus.	virðast; eins og	Það virðist vera misskilningur á milli okkar.
号码	number	Palun anna mulle oma telefoninumber.	númer	Vinsamlegast gefðu mér símanúmerið þitt.
合格	nõuetele vastav; kvalifitseeritud	See toode vastab kvaliteedistandardile.	hæfur; uppfyllir staðal	Þessi vara uppfyllir gæðastaðalinn.
合适	sobiv; paras	Need kingad sobivad hästi.	passandi; hentugur	Þessir skór passa vel.
盒子	kast; karp	Kast on tühi ja seal pole midagi.	kassi; askja	Kassinn er tómur og það er ekkert í honum.
厚	paks	See raamat on paks.	þykkur	Þessi bók er þykk.
后悔	kahetsema	Kahetsen, et ma sulle varem ei öelnud.	sjá eftir	Ég sé eftir því að hafa ekki sagt þér fyrr.
互联网	internet	Internet on toonud inimeste ellu palju mugavust.	netið; internetið	Netið hefur fært lífi fólks mikla þægindi.
互相	teineteist; vastastikku	Meie kaks peame teineteist toetama.	hvor annan; gagnkvæmt	Við tvö verðum að styðja hvort annað.
护士	õde; meditsiiniõde	Õde teeb patsiendile süsti.	hjúkrunarfræðingur	Hjúkrunarfræðingurinn gefur sjúklingnum sprautu.
怀疑	kahtlustama; kahtlus	Kahtlustan, et ta unustas, et täna on koosolek.	gruna; efast	Ég gruna að hann hafi gleymt að það er fundur í dag.
回忆	meenutama; mälestus	Me meenutame sageli lapsepõlve asju.	minnast; minning	Við minnumst oft atburða úr æsku okkar.
活动	liikumine; tegevus	Läksin parki liikuma.	hreyfing; virkni	Ég fór í garðinn til að hreyfa mig.
活泼	elav; energiline	See laps on väga elav.	líflegur; fjörugur	Þetta barn er mjög líflegt.
火	tuli	Tuli on ohtlik, palun ole ettevaatlik.	eldur	Eldur er hættulegur, vinsamlegast farðu varlega.
获得	saama; omandama	Edu pärast ei tohi liiga uhkeks minna.	fá; öðlast	Þú mátt ekki verða of stoltur af árangri.
基础	alus; vundament	Palun tee muudatus algse aluse põhjal.	grunnur; undirstaða	Vinsamlegast gerðu breytingu á upphaflega grunninum.
激动	põnev; liigutatud	See uudis on tõesti põnev.	spennandi; hrærður	Þessar fréttir eru virkilega spennandi.
积极	aktiivne; positiivne	Ta õpib hiina keelt aktiivselt.	virkur; jákvæður	Hann lærir kínversku af krafti.
积累	koguma; kogunemine	Ta on töös palju kogemusi kogunud.	safna; uppsöfnun	Hann hefur safnað mikilli reynslu í vinnunni.
即使	isegi kui	Isegi kui kohtad raskusi, ära anna alla.	jafnvel þótt	Jafnvel þótt þú lendir í erfiðleikum, ekki gefast upp.
及时	õigel ajal; viivitamata	See vihm tuli täpselt õigel ajal.	tímanlega; strax	Þessi rigning kom alveg á réttum tíma.
寄	postiga saatma; saatma	Sinu kiri on kohale toimetatud.	senda; póstleggja	Bréfið þitt hefur verið afhent.
技术	tehnoloogia; tehnika; oskus	See on keeruline tehniline probleem.	tækni; kunnátta	Þetta er flókið tæknilegt vandamál.
既然	kuna; arvestades et	Kuna sa oled siin, sööme koos.	þar sem; fyrst	Þar sem þú ert hér, skulum við borða saman.
继续	jätkama	Ta väljendas soovi ettevõttes edasi töötada.	halda áfram	Hann lýsti vilja sínum til að halda áfram að vinna hjá fyrirtækinu.
计划	plaan; projekt	Muutsin oma plaani.	áætlun; verkefni	Ég breytti áætluninni minni.
记者	reporter; ajakirjanik	Reporter intervjueerib direktorit.	fréttamaður; blaðamaður	Fréttamaðurinn er að taka viðtal við skólastjórann.
加班	ületunde tegema	Sel nädalal tegime peaaegu iga päev ületunde.	vinna yfirvinnu	Í þessari viku unnum við yfirvinnu næstum á hverjum degi.
加油站	bensiinijaam	Kas sinu kodu lähedal on bensiinijaam?	bensínstöð	Er bensínstöð nálægt heimilinu þínu?
家具	mööbel	Pärast kolimist vahetasime mööbli uue vastu.	húsgögn	Við skiptum um húsgögn eftir flutninginn.
假	võlts; vale	See pilet on võlts.	falskur; gervi	Þessi miði er falskur.
价格	hind	Eelmisest aastast alates on autode hind langenud.	verð	Frá síðasta ári hefur verð á bílum lækkað.
坚持	nõudma; kindlaks jääma	Ta on alati oma arvamusele kindlaks jäänud.	halda fast við; þrauka	Hann hefur alltaf haldið fast við skoðun sína.
减肥	kaalu langetama	Ma jooksen iga päev, et kaalu langetada.	léttast; grenna sig	Ég hleyp á hverjum degi til að léttast.
减少	vähendama; vähenema	Kliente on kolmandiku võrra vähemaks jäänud.	fækka; minnka	Viðskiptavinum hefur fækkað um þriðjung.
建议	soovitama; ettepanek	Teen ettepaneku, et homme oleks vaba päev.	stinga upp á; tillaga	Ég legg til að við tökum frí á morgun.
将来	tulevik	Mis tööd sa tulevikus teha plaanid?	framtíð	Hvaða starf ætlarðu að vinna í framtíðinni?
奖金	preemia; boonus	Aasta lõpus maksime välja boonuse.	bónus; verðlaunafé	Við greiddum út bónus í lok ársins.
降低	langetama; vähendama	Sügis on käes ja temperatuur hakkab langema.	lækka; minnka	Haustið er komið og hitinn byrjar að lækka.
降落	maanduma	Lennuk maandub varsti.	lenda	Flugvélin lendir bráðum.
交	sõpru leidma; üle andma	Olen leidnud palju hiina sõpru.	eignast vini; skila inn	Ég hef eignast marga kínverska vini.
交流	vahetus; suhtlus	Kultuurivahetus riikide vahel muutub üha rikkalikumaks.	samskipti; skipti	Menningarsamskipti milli landa verða sífellt fjölbreyttari.
交通	transport; liiklus	Transport on siin mugav.	samgöngur; umferð	Samgöngur hér eru þægilegar.
郊区	eeslinn; äärelinn	Ta elab linna äärelinnas.	úthverfi	Hann býr í úthverfi borgarinnar.
骄傲	uhke; ülbe	Edu pärast ei tohi liiga uhkeks minna.	stoltur; hrokafullur	Þú mátt ekki verða of stoltur af árangri.
饺子	pelmeen; jiaozi	Hiinlased söövad kevadpüha ajal pelmeene.	kínversk fyllt deigbolla	Kínverjar borða kínverskar fylltar deigbollur á vorhátíðinni.
教授	professor	Ta on ülikooli professor.	prófessor	Hann er háskólaprófessor.
教育	harima; õpetama; haridus	Laste kasvatamisel on vaja kannatlikkust.	mennta; fræðsla	Það þarf þolinmæði við uppeldi barna.
接受	aktsepteerima; vastu võtma	Ma aktsepteerin kõiki sinu arvamusi.	samþykkja; taka við	Ég samþykki allar skoðanir þínar.
接着	siis; jätkama	Ta mõtles veidi ja kirjutas siis edasi.	síðan; halda áfram	Hann hugsaði um stund og skrifaði síðan áfram.
结果	tulemus	Kas vaatasid mängu ja mis oli tulemus?	niðurstaða	Horfðirðu á leikinn og hver var niðurstaðan?
节	püha; festival	Mis püha täna on?	hátíð; frídagur	Hvaða hátíð er í dag?
节约	säästma; kokku hoidma	Palun säästke vett.	spara	Vinsamlegast sparaðu vatn.
