hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
5060:心爱	心爱	心爱	ආදරණීය; ඉතා ප්‍රියතම	ඔහු තම ආදරණීය ගිටාරය සැමවිටම හොඳින් රැකබලා ගනී.	அன்புக்குரிய; மிகவும் பிடித்த	அவர் தன் அன்புக்குரிய கிதாரை எப்போதும் நன்றாக பராமரிக்கிறார்.
5061:心底	心底	心底	හදවතේ ගැඹුර; සිතේ ඇතුළත	හදවතේ ගැඹුරින් ඔහු මේ මිතුරාට බොහෝ ගරු කරයි.	மனத்தின் ஆழம்; உள்ளம்	மனத்தின் ஆழத்தில் அவர் இந்த நண்பரை மிகவும் மதிக்கிறார்.
5062:新款	新款	新款	නව මාදිලිය; නව විලාසය	මේ නව දුරකථන මාදිලිය හෙට විකිණීම ආරම්භ කරයි.	புதிய மாடல்; புதிய வடிவம்	இந்த புதிய தொலைபேசி மாடல் நாளை விற்பனைக்கு வரும்.
5064:新媒体	新媒体	新媒体	නව මාධ්‍ය; ඩිජිටල් මාධ්‍ය	සමාගම පාරිභෝගිකයන් සමඟ සම්බන්ධ වීමට නව මාධ්‍ය භාවිතා කරයි.	புதிய ஊடகம்; டிஜிட்டல் ஊடகம்	நிறுவனம் வாடிக்கையாளர்களுடன் தொடர்பு கொள்ள புதிய ஊடகத்தைப் பயன்படுத்துகிறது.
5065:心目	心目	心目	සිත තුළ; මතයේ	ප්‍රේක්ෂකයන්ගේ සිත තුළ ඔහු ඉතා විශ්වාසදායක නළුවෙකි.	மனதில்; பார்வையில்	பார்வையாளர்களின் மனதில் அவர் மிகவும் நம்பகமான நடிகர்.
5066:新能源	新能源	新能源	නව බලශක්තිය; පුනර්ජනනීය බලශක්තිය	මේ නගරය නව බලශක්ති කර්මාන්තයට සහය දක්වයි.	புதிய ஆற்றல்; புதுப்பிக்கத்தக்க ஆற்றல்	இந்த நகரம் புதிய ஆற்றல் தொழில்துறைக்கு ஆதரவு தருகிறது.
5069:新兴	新兴	新兴	මතුවෙමින් පවතින; නව	ඒ මතුවෙමින් පවතින වෙළඳපොළ ආයෝජකයන් ආකර්ෂණය කරයි.	உருவெடுத்து வரும்; புதிதாக எழும்	அந்த உருவெடுத்து வரும் சந்தை முதலீட்டாளர்களை ஈர்க்கிறது.
5071:心愿	心愿	心愿	හෘදයාංගම කැමැත්ත; සිතේ පැතුම	ගුරුවරයෙකු වීමට තිබූ ආසාව ඔහුගේ දිගුකාලීන පැතුමයි.	இதய விருப்பம்; மனப்பாங்கு	ஆசிரியராக வேண்டும் என்பதே அவரது நீண்டகால மனவிருப்பம்.
5075:兴起	兴起	兴起	මතුවීම; වර්ධනය වීම	පසුගිය වසර කිහිපයේදී මාර්ගගත අධ්‍යාපනය වේගයෙන් මතුවී ඇත.	எழுச்சி பெறுதல்; உருவாகுதல்	கடந்த சில ஆண்டுகளில் ஆன்லைன் கல்வி வேகமாக எழுச்சி பெற்றுள்ளது.
5076:型号	型号	型号	මාදිලි අංකය; මාදිලිය	කරුණාකර පරිගණකයේ මාදිලි අංකය ලියන්න.	மாடல் எண்; வகை	தயவுசெய்து கணினியின் மாடல் எண்ணை எழுதுங்கள்.
5078:性价比	性价比	性价比	මිලට සාපේක්ෂ වටිනාකම; වටිනාකම් අනුපාතය	මේ කැමරාවේ මිලට සාපේක්ෂ වටිනාකම ඉතා හොඳයි.	விலை-திறன் விகிதம்; பணத்திற்கு மதிப்பு	இந்த கேமரா பணத்திற்கு மிக நல்ல மதிப்பைக் கொடுக்கிறது.
5081:修订	修订	修订	සංශෝධනය කිරීම; නැවත සකස් කිරීම	ලේඛකයා අවසාන පරිච්ඡේදය සංශෝධනය කරමින් සිටී.	திருத்துதல்; மறுபரிசீலனை செய்தல்	எழுத்தாளர் கடைசி அத்தியாயத்தை திருத்திக் கொண்டிருக்கிறார்.
5083:袖子	袖子	袖子	අත් කොටස; ඇඳුමේ අත	මේ කමිසයේ අත් කොටස ටිකක් දිගයි.	சட்டையின் கைப்பகுதி; ஆஸ்தினம்	இந்த சட்டையின் கைப்பகுதி கொஞ்சம் நீளமாக உள்ளது.
5088:选修	选修	选修	තෝරාගත් පාඨමාලාවක් ලෙස ගැනීම; විකල්ප පාඨමාලාව	මෙම වසරේ ඔහු සංගීතය විකල්ප පාඨමාලාවක් ලෙස ගෙන ඇත.	விருப்பப் பாடமாக எடுத்தல்	இந்த ஆண்டு அவர் இசையை விருப்பப் பாடமாக எடுத்துள்ளார்.
5089:学会	学会	学会	සංගමය; විද්වත් සංගමය	මේ විද්වත් සංගමය සෑම වසරකම සම්මන්ත්‍රණයක් පවත්වයි.	சங்கம்; அறிவியல் கழகம்	இந்த அறிவியல் சங்கம் ஒவ்வொரு ஆண்டும் மாநாடு நடத்துகிறது.
5092:学员	学员	学员	පුහුණුව ලබන්නා; ශිෂ්‍යයා	පුහුණුව ලබන්නන් ප්‍රායෝගික අභ්‍යාසය සම්පූර්ණ කළ යුතුයි.	பயிற்சி மாணவர்; கற்றவர்	பயிற்சி மாணவர்கள் நடைமுறைப் பயிற்சியை முடிக்க வேண்டும்.
5093:血管	血管	血管	රුධිර නාලය	වෛද්‍යවරයා රෝගියාගේ රුධිර නාල තත්ත්වය පරීක්ෂා කළේය.	இரத்த நாளம்	மருத்துவர் நோயாளியின் இரத்த நாள நிலையைச் சோதித்தார்.
5094:血型	血型	血型	රුධිර කාණ්ඩය	ලියාපදිංචි වීමේදී තම රුධිර කාණ්ඩය සඳහන් කළ යුතුය.	இரத்த வகை	பதிவு செய்யும்போது உங்கள் இரத்த வகையை நிரப்ப வேண்டும்.
5096:血液	血液	血液	රුධිරය	ව්‍යායාම කිරීම රුධිර සංසරණය වැඩි දියුණු කරයි.	இரத்தம்	உடற்பயிற்சி இரத்த ஓட்டத்தை மேம்படுத்துகிறது.
5098:寻求	寻求	寻求	සෙවීම; ඉල්ලා සොයා බැලීම	ඔවුන් වඩා හොඳ විසඳුමක් සොයමින් සිටිති.	தேடுதல்; நாடுதல்	அவர்கள் சிறந்த தீர்வைத் தேடுகிறார்கள்.
5101:淹	淹	淹	ජලයෙන් යට කිරීම; ගිල්වීම	අධික වැස්ස පහත් මාර්ගය ජලයෙන් යට කළේය.	மூழ்கடித்தல்; வெள்ளத்தில் ஆழ்த்துதல்	கனமழை தாழ்வான சாலையை வெள்ளத்தில் ஆழ்த்தியது.
5103:严	严	严	දැඩි; බරපතළ	පාසල විභාග විනය පිළිබඳ ඉතා දැඩිය.	கடுமையான; தீவிரமான	பள்ளி தேர்வு ஒழுக்கம் குறித்து மிகவும் கடுமையாக உள்ளது.
5111:研讨	研讨	研讨	සාකච්ඡා කර අධ්‍යයනය කිරීම	විශේෂඥයෝ නව ප්‍රතිකාර සැලැස්මක් සාකච්ඡා කරමින් අධ්‍යයනය කරමින් සිටිති.	விவாதித்து ஆய்வு செய்தல்	நிபுணர்கள் புதிய சிகிச்சைத் திட்டத்தை விவாதித்து ஆய்வு செய்கிறார்கள்.
5113:言语	言语	言语	වචන; කථනය	ඔහුගේ වචන ඉතා අවංක විය.	சொற்கள்; பேச்சு	அவரது சொற்கள் மிகவும் உண்மையானவை.
5114:炎症	炎症	炎症	ප්‍රදාහය	මේ ඖෂධය ප්‍රදාහය අඩු කළ හැක.	அழற்சி	இந்த மருந்து அழற்சியை குறைக்கலாம்.
5116:眼看	眼看	眼看	ඇස් ඉදිරිපිට; ඉක්මනින්	දැන් අඳුරු වීමට ආසන්න නිසා අපි ආපසු යා යුතුයි.	கண்ணுக்கு முன்னால்; விரைவில்	இருள் ஆகப் போகிறது, நாம் திரும்பிச் செல்ல வேண்டும்.
5120:仰	仰	仰	උඩ බලීම; මුහුණ ඉහළට හැරවීම	දරුවා හිස උඩට හරවා තාරකා බැලුවේය.	மேலே நோக்குதல்; தலைநீட்டி பார்க்குதல்	குழந்தை தலையை உயர்த்தி நட்சத்திரங்களை பார்த்தது.
5122:养老	养老	养老	මහලු වියේ රැකවරණය; විශ්‍රාම ජීවිතය	ඔවුහු විශ්‍රාමයෙන් පසු මහලු වියේ ජීවිතය සැලසුම් කරමින් සිටිති.	முதியோர் பராமரிப்பு; ஓய்வுக்கால வாழ்க்கை	அவர்கள் ஓய்வுக்குப் பிறகான முதியோர் வாழ்க்கையைத் திட்டமிடுகின்றனர்.
5123:养老院	养老院	养老院	වැඩිහිටි නිවාසය	මේ වැඩිහිටි නිවාසය රෝහලට ඉතා ආසන්නයි.	முதியோர் இல்லம்	இந்த முதியோர் இல்லம் மருத்துவமனைக்கு மிகவும் அருகில் உள்ளது.
5125:样	样	样	වර්ගය; අයිතමය	ඔහු කෙටි කෑම වර්ග තුනක් මිලදී ගත්තේය.	வகை; பொருள்	அவர் மூன்று வகை சிற்றுண்டிகள் வாங்கினார்.
5128:要么	要么	要么	නැත්නම්; හෝ	ඔබට දැන් යාමට හෝ හෙට දක්වා බලා සිටීමට හැක.	இல்லை என்றால்; அல்லது	நீ இப்போது போகலாம், இல்லையெனில் நாளை வரை காத்திருக்கலாம்.
5130:野	野	野	වල්; අස්වද්දා නැති	මේ කඳුකර ප්‍රදේශයේ වල් මල් බොහෝ ඇත.	காட்டுச்; பயிரிடப்படாத	இந்த மலைப்பகுதியில் பல காட்டுப் பூக்கள் உள்ளன.
5131:也好	也好	也好	ගියත් නොගියත්; එසේ වුවත්	ඔබ ගියත් නොගියත්, මට කියන්න.	சென்றாலும் சரி, செல்லாவிட்டாலும் சரி	நீ சென்றாலும் சரி, செல்லாவிட்டாலும் சரி, எனக்கு சொல்ல வேண்டும்.
5132:野生	野生	野生	වල්; ස්වභාවිකව වැවෙන	මෙහි වල් සතුන් අල්ලා ගැනීම තහනම්ය.	காட்டு; இயற்கையாக வளரும்	இங்கு காட்டு விலங்குகளைப் பிடிப்பது தடைசெய்யப்பட்டுள்ளது.
5133:野外	野外	野外	එළිමහන; ක්ෂේත්‍රය	සිසුන් එළිමහනේ ශාක නිරීක්ෂණය කළහ.	வெளி நிலம்; வெளிப்புறம்	மாணவர்கள் வெளியில் தாவரங்களை கவனித்தனர்.
5134:业	业	业	කර්මාන්තය; වෘත්තිය	සේවා කර්මාන්තයට තවත් වෘත්තීය නිපුණයන් අවශ්‍ය වේ.	தொழில்; துறை	சேவைத் துறைக்கு மேலும் தொழில்முறை நிபுணர்கள் தேவை.
5139:衣食住行	衣食住行	衣食住行	ජීවිතයේ මූලික අවශ්‍යතා	මෙම වාර්තාව නගර වාසීන්ගේ මූලික ජීවන අවශ්‍යතා විශ්ලේෂණය කරයි.	அடிப்படை வாழ்க்கைத் தேவைகள்	இந்த அறிக்கை நகர வாசிகளின் அடிப்படை வாழ்க்கைத் தேவைகளை பகுப்பாய்வு செய்கிறது.
5140:医药	医药	医药	වෛද්‍ය ඖෂධ; ඖෂධ ක්ෂේත්‍රය	පසුගිය වසර කිහිපයේදී වෛද්‍ය හා ඖෂධ වියදම් යම් තරමකට ඉහළ ගොස් ඇත.	மருத்துவம் மற்றும் மருந்து; மருந்துத் துறை	சமீப ஆண்டுகளில் மருத்துவ மற்றும் மருந்துச் செலவுகள் ஓரளவு உயர்ந்துள்ளன.
5141:一一	一一	一一	එකින් එක	ගුරුවරයා ප්‍රශ්න එකින් එක පැහැදිලි කළේය.	ஒன்றன் பின் ஒன்றாக	ஆசிரியர் கேள்விகளை ஒன்றன் பின் ஒன்றாக தெளிவாக விளக்கினார்.
5142:姨	姨	姨	අම්මාගේ සහෝදරිය; පුංචි අම්මා	මගේ පුංචි අම්මා අද ගෙදරට කෑමට එයි.	சித்தி; தாயின் சகோதரி	என் சித்தி இன்று வீட்டிற்கு உணவுக்கு வருகிறார்.
5146:一带	一带	一带	ප්‍රදේශය; අවට පළාත	පාසල අවට ප්‍රදේශයේ පොත් සාප්පු බොහොමයක් ඇත.	பகுதி; சுற்றுவட்டாரம்	பள்ளி சுற்றுவட்டாரத்தில் பல புத்தகக் கடைகள் உள்ளன.
5147:一道	一道	一道	එක්ව; එකට	අපි එක්ව ප්‍රදර්ශනය බලන්න යමු.	சேர்ந்து; ஒன்றாக	நாம் சேர்ந்து கண்காட்சியைப் பார்க்கலாம்.
5155:一系列	一系列	一系列	මාලාවක්; අනුපිළිවෙළක්	සමාගම නව නිෂ්පාදන මාලාවක් හඳුන්වා දුන්නේය.	தொடர்ச்சி; வரிசை	நிறுவனம் புதிய தயாரிப்புகளின் ஒரு தொடரை வெளியிட்டது.
5157:一阵	一阵	一阵	හදිසි රැල්ලක්; කෙටි කාලයක්	ජනේලයෙන් සිසිල් සුළං රැල්ලක් ඇතුළු විය.	ஒரு வீச்சு; குறுகிய நேரம்	ஜன்னலுக்கு வெளியே இருந்து ஒரு குளிர் காற்று வீசியது.
5158:遗址	遗址	遗址	පුරාවිද්‍යා ස්ථානය; නටබුන්	මේ පුරාණ නගර නටබුන් ස්ථානය බොහෝ සංචාරකයන් ආකර්ෂණය කරයි.	இடிபாடுகள்; வரலாற்று தளம்	இந்தப் பண்டைய நகரத் தளம் பல சுற்றுலாப் பயணிகளை ஈர்க்கிறது.
5163:益处	益处	益处	ප්‍රතිලාභය; වාසිය	දිනපතා ව්‍යායාම කිරීම සෞඛ්‍යයට බොහෝ ප්‍රතිලාභ ගෙන දෙයි.	நன்மை; பலன்	தினமும் உடற்பயிற்சி செய்வது ஆரோக்கியத்திற்கு பல நன்மைகள் தருகிறது.
5164:一帆风顺	一帆风顺	一帆风顺	සියල්ල සාර්ථකව සිදුවීම; බාධාවකින් තොරව යාම	ඔබේ නව රැකියාව බාධාවකින් තොරව සාර්ථක වේවා.	எல்லாம் சீராக நடப்பது; தடையின்றி வெற்றி பெறுதல்	உங்கள் புதிய வேலை தடையின்றி வெற்றியடைய வாழ்த்துகிறேன்.
5165:一口气	一口气	一口气	එක හුස්මට; නොනවත්වා	ඔහු එක හුස්මට කඳු මුදුනට දිව ගියේය.	ஒரே மூச்சில்; நிறுத்தாமல்	அவன் ஒரே மூச்சில் மலை உச்சிக்கு ஓடினான்.
5167:一模一样	一模一样	一模一样	හරියටම එකම; සම්පූර්ණයෙන් සමාන	මේ ඡායාරූප දෙක හරියටම එකම ලෙස පෙනේ.	அப்படியே ஒரே மாதிரி; முற்றிலும் ஒன்று போல	இந்த இரண்டு புகைப்படங்களும் அப்படியே ஒரே மாதிரி தெரிகின்றன.
5168:艺人	艺人	艺人	කලාකරුවා; රංගන ශිල්පියා	මේ කලාකරුවා වේදිකාවේ ඉතා විශ්වාසයෙන් සිටී.	கலைஞர்; நிகழ்த்துபவர்	இந்தக் கலைஞர் மேடையில் மிகவும் தன்னம்பிக்கையுடன் இருக்கிறார்.
5169:一身	一身	一身	මුළු ශරීරය; සම්පූර්ණ ඇඳුමක්	ඔහු සම්පූර්ණ කළු ඇඳුමක් ඇඳ සිටියේය.	முழு உடல்; முழு உடை	அவர் முழுக்க கருப்பு நிற உடை அணிந்திருந்தார்.
5170:一时	一时	一时	මොහොතකට; ඒ මොහොතේ	මට ඒ මොහොතේ ඔහුගේ නම මතක් වුණේ නැත.	சிறிது நேரம்; அந்த நேரத்தில்	அந்த நேரத்தில் அவரது பெயர் எனக்கு நினைவுக்கு வரவில்லை.
5171:一同	一同	一同	එක්ව; එකට	අපි මෙම ව්‍යාපෘතිය එකට සම්පූර්ණ කළෙමු.	ஒன்றாக; சேர்ந்து	நாங்கள் இந்தத் திட்டத்தை ஒன்றாக முடித்தோம்.
5172:易于	易于	易于	පහසුවෙන් කළ හැකි; හට ගැනීමට ඉඩ ඇති	මේ මෘදුකාංගය භාවිත කිරීමට පහසුය.	எளிதாக; செய்ய எளிதான	இந்த மென்பொருள் பயன்படுத்த எளிதானது.
5173:抑制	抑制	抑制	පාලනය කිරීම; මැඩපැවැත්වීම	මෙම ඖෂධය වේදනාව මැඩපැවැත්විය හැක.	அடக்குதல்; தடுக்குதல்	இந்த மருந்து வலியை அடக்க முடியும்.
5174:因	因	因	නිසා; හේතුවෙන්	අධික වැසි නිසා රැස්වීම කල් දැමුණි.	காரணமாக; ஏனெனில்	கனமழை காரணமாக கூட்டம் ஒத்திவைக்கப்பட்டது.
5175:音节	音节	音节	ශබ්ද ඛණ්ඩය; අක්ෂර මාත්‍රාව	මෙම වචනයට ශබ්ද ඛණ්ඩ තුනක් ඇත.	அசை; ஒலிக்கூறு	இந்தச் சொல்லில் மூன்று அசைகள் உள்ளன.
5177:银牌	银牌	银牌	රිදී පදක්කම	ඇය තරගයේදී රිදී පදක්කමක් දිනා ගත්තාය.	வெள்ளிப் பதக்கம்	அவள் போட்டியில் வெள்ளிப் பதக்கம் வென்றாள்.
5178:引	引	引	උපුටා දැක්වීම; මඟ පෙන්වීම	ගුරුවරයා අදහස පැහැදිලි කිරීමට පැරණි කවියක පදයක් උපුටා දැක්වීය.	மேற்கோள் காட்டுதல்; வழிநடத்துதல்	ஆசிரியர் கருத்தை விளக்க பழைய கவிதை வரியை மேற்கோள் காட்டினார்.
5179:隐藏	隐藏	隐藏	සැඟවීම; සඟවා තැබීම	ගොනුව පද්ධති ෆෝල්ඩරයේ සැඟවී තිබුණි.	மறைத்தல்; ஒளித்துவைத்தல்	கோப்பு கணினி கோப்புறையில் மறைக்கப்பட்டிருந்தது.
5181:引发	引发	引发	ඇති කිරීම; හේතු වීම	මෙම පුවත උණුසුම් සාකච්ඡාවක් ඇති කළේය.	தூண்டுதல்; ஏற்படுத்துதல்	இந்த செய்தி சூடான விவாதத்தை ஏற்படுத்தியது.
5182:引入	引入	引入	හඳුන්වා දීම; ගෙන ඒම	පාසල නව ඉගැන්වීම් ක්‍රමයක් හඳුන්වා දීමට සැලසුම් කරයි.	அறிமுகப்படுத்துதல்; கொண்டு வருதல்	பள்ளி புதிய கற்பித்தல் முறையை அறிமுகப்படுத்த திட்டமிடுகிறது.
5184:饮用水	饮用水	饮用水	පානය කළ හැකි ජලය	මෙහි පානය කළ හැකි ජලය දැඩි පරීක්ෂණයකින් සමත් වී ඇත.	குடிநீர்	இங்குள்ள குடிநீர் கடுமையான பரிசோதனையை கடந்துள்ளது.
5185:印	印	印	මුද්‍රණය කිරීම; මුද්‍රාව තැබීම	කරුණාකර මෙහි සමාගමේ ලාංඡනය මුද්‍රණය කරන්න.	அச்சிடுதல்; முத்திரை பதித்தல்	தயவுசெய்து இங்கே நிறுவனத்தின் சின்னத்தை அச்சிடுங்கள்.
5192:用餐	用餐	用餐	ආහාර ගැනීම	අමුත්තෝ අවන්හලේ ආහාර ගනිමින් සිටිති.	உணவருந்துதல்	விருந்தினர்கள் உணவகத்தில் உணவருந்துகின்றனர்.
5193:用处	用处	用处	ප්‍රයෝජනය; භාවිතය	මෙම කුඩා පිහියට බොහෝ ප්‍රයෝජන ඇත.	பயன்பாடு; பயன்	இந்தச் சிறிய கத்திக்கு பல பயன்பாடுகள் உள்ளன.
5195:用人	用人	用人	සේවකයන් බඳවා ගැනීම	මෙම සමාගම සේවකයන් බඳවා ගැනීමේදී ඉතා සැලකිලිමත්ය.	ஆட்களை வேலைக்கு எடுப்பது	இந்த நிறுவனம் ஆட்களை வேலைக்கு எடுப்பதில் மிகவும் கவனமாக உள்ளது.
5196:用心	用心	用心	සැලකිල්ලෙන්; හිත යොමු කර	මෙම තෑග්ග සඳහා බොහෝ සැලකිල්ලක් දැක්වූ බව පෙනේ.	அக்கறையுடன்; கவனமாக	இந்தப் பரிசில் அதிக அக்கறை செலுத்தப்பட்டதை காணலாம்.
5197:优化	优化	优化	ප්‍රශස්තිකරණය කිරීම; වැඩි දියුණු කිරීම	ඉංජිනේරුවා පද්ධතියේ වේගය ප්‍රශස්තිකරණය කරමින් සිටී.	மேம்படுத்துதல்; சீராக்குதல்	பொறியாளர் அமைப்பின் வேகத்தை மேம்படுத்துகிறார்.
5200:由来	由来	由来	ආරම්භය; හේතුව	මෙම සිරිතේ ආරම්භය ඉතා රසවත්ය.	தோற்றம்; காரணம்	இந்த வழக்கத்தின் தோற்றம் மிகவும் சுவாரஸ்யமானது.
5201:游人	游人	游人	සංචාරකයා; අමුත්තා	වසන්තයේදී උද්‍යානයේ සංචාරකයන් විශේෂයෙන් බොහෝය.	சுற்றுலாப் பயணி; வருகையாளர்	வசந்த காலத்தில் பூங்காவில் வருகையாளர்கள் மிகவும் அதிகமாக இருப்பார்கள்.
5203:有机	有机	有机	කාබනික; ස්වභාවික ක්‍රමයෙන් වගා කළ	මෙම ගොවිපළ කාබනික එළවළු පමණක් විකුණයි.	கரிம; இயற்கை முறையில் விளைந்த	இந்தப் பண்ணை கரிம காய்கறிகள் மட்டுமே விற்கிறது.
5204:有劲	有劲	有劲	උද්යෝගිමත්; රසවත්	මෙම චිත්‍රපටය බලන තරමට තවත් රසවත් වේ.	சுவாரஸ்யமான; உற்சாகமுள்ள	இந்தப் படம் பார்க்கப் பார்க்க இன்னும் சுவாரஸ்யமாகிறது.
