hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
1033:表	表	表	formularz; tabela; zegarek	Wypełnij ten formularz do końca.	formulier; tabel; horloge	Maak dit formulier alstublieft helemaal af.	formulär; tabell; klocka	Fyll i det här formuläret färdigt.	skjema; tabell; klokke	Fyll ut dette skjemaet ferdig.	skema; tabel; ur	Udfyld venligst dette skema færdigt.	lomake; taulukko; kello	Täytä tämä lomake loppuun.
1039:并	并	并	wcale; także; i	Wcale nie czuję się zmęczony.	eigenlijk; ook; en	Eigenlijk voel ik me niet moe.	egentligen; också; och	Jag känner mig faktiskt inte trött.	egentlig; også; og	Jeg føler meg egentlig ikke trøtt.	faktisk; også; og	Jeg føler mig faktisk ikke træt.	oikeastaan; myös; ja	En oikeastaan tunne itseäni väsyneeksi.
1043:不必	不必	不必	nie trzeba; nie ma potrzeby	Nie musisz odpowiadać teraz.	niet nodig zijn	Je hoeft nu niet te antwoorden.	inte behöva	Du behöver inte svara nu.	ikke trenge	Du trenger ikke svare nå.	ikke behøve	Du behøver ikke svare nu.	ei tarvitse	Sinun ei tarvitse vastata nyt.
1044:不便	不便	不便	niewygodny; niepraktyczny	Tutaj trudno i niewygodnie zaparkować.	onhandig; lastig	Het is onhandig om hier te parkeren.	obekväm; opraktisk	Det är opraktiskt att parkera här.	upraktisk; tungvint	Det er upraktisk å parkere her.	upraktisk; besværlig	Det er upraktisk at parkere her.	epäkäytännöllinen; hankala	Tänne pysäköiminen on hankalaa.
1046:不够	不够	不够	za mało; niewystarczająco	Tych krzeseł nie wystarczy, żeby wszyscy usiedli.	niet genoeg	Deze stoelen zijn niet genoeg voor iedereen om te zitten.	inte tillräckligt	De här stolarna räcker inte åt alla att sitta på.	ikke nok	Disse stolene er ikke nok til at alle kan sitte.	ikke nok	Disse stole er ikke nok til, at alle kan sidde.	ei tarpeeksi	Nämä tuolit eivät riitä kaikille istumiseen.
1048:不论	不论	不论	niezależnie od; bez względu na	Niezależnie od pogody wyruszymy.	ongeacht; wat er ook	Wat het weer ook is, we vertrekken.	oavsett; hur än	Oavsett hur vädret är ger vi oss av.	uansett; uavhengig av	Uansett hvordan været er, drar vi.	uanset; uafhængigt af	Uanset hvordan vejret er, tager vi af sted.	riippumatta; olipa mikä tahansa	Säästä riippumatta lähdemme.
1049:步	步	步	krok	On zrobił krok do przodu.	stap	Hij zette een stap naar voren.	steg	Han tog ett steg framåt.	steg	Han tok ett steg framover.	skridt	Han tog et skridt frem.	askel	Hän otti askeleen eteenpäin.
1050:部	部	部	klasyfikator dla filmów i książek; dział	Ten film jest bardzo ciekawy.	maatwoord voor films en boeken; afdeling	Deze film is erg interessant.	räkneord för filmer och böcker; avdelning	Den här filmen är mycket intressant.	telleord for filmer og bøker; avdeling	Denne filmen er veldig interessant.	tælleord for film og bøger; afdeling	Denne film er meget interessant.	laskusana elokuville ja kirjoille; osasto	Tämä elokuva on hyvin kiinnostava.
1054:不光	不光	不光	nie tylko	Nie tylko dzieci, lecz także dorośli lubią tę grę.	niet alleen	Niet alleen kinderen, maar ook volwassenen vinden dit spel leuk.	inte bara	Inte bara barn utan även vuxna tycker om det här spelet.	ikke bare	Ikke bare barn, men også voksne liker dette spillet.	ikke kun	Ikke kun børn, men også voksne kan lide dette spil.	ei vain	Ei vain lapset vaan myös aikuiset pitävät tästä pelistä.
1056:不满	不满	不满	niezadowolony; niezadowolenie	On jest bardzo niezadowolony z tego wyniku.	ontevreden; ontevredenheid	Hij is erg ontevreden over dit resultaat.	missnöjd; missnöje	Han är mycket missnöjd med resultatet.	misfornøyd; misnøye	Han er veldig misfornøyd med dette resultatet.	utilfreds; utilfredshed	Han er meget utilfreds med dette resultat.	tyytymätön; tyytymättömyys	Hän on hyvin tyytymätön tähän tulokseen.
1063:参赛	参赛	参赛	brać udział w zawodach	W naszej klasie pięć osób bierze udział w konkursie.	deelnemen aan een wedstrijd	Vijf mensen uit onze klas doen mee aan de wedstrijd.	delta i en tävling	Fem personer i vår klass deltar i tävlingen.	delta i en konkurranse	Fem personer fra klassen vår deltar i konkurransen.	deltage i en konkurrence	Fem personer fra vores klasse deltager i konkurrencen.	osallistua kilpailuun	Luokastamme viisi ihmistä osallistuu kilpailuun.
1067:查看	查看	查看	sprawdzać; przeglądać	Nauczyciel sprawdza listę uczniów.	controleren; bekijken	De leraar controleert de leerlingenlijst.	kontrollera; titta igenom	Läraren kontrollerar elevlistan.	sjekke; se gjennom	Læreren sjekker elevlisten.	tjekke; gennemse	Læreren tjekker elevlisten.	tarkistaa; katsoa läpi	Opettaja tarkistaa oppilaslistaa.
1068:茶叶	茶叶	茶叶	liście herbaty	Liście herbaty w tym sklepie są bardzo świeże.	theebladeren	De theebladeren in deze winkel zijn erg vers.	teblad	Tebladen i den här butiken är mycket färska.	teblader	Tebladene i denne butikken er veldig ferske.	teblade	Tebladene i denne butik er meget friske.	teelehdet	Tämän kaupan teelehdet ovat hyvin tuoreita.
1069:查找	查找	查找	szukać; wyszukiwać	Szukam informacji w internecie.	zoeken; opzoeken	Ik zoek online naar informatie.	söka efter	Jag söker information på nätet.	søke etter	Jeg søker etter informasjon på nettet.	søge efter	Jeg søger efter oplysninger på nettet.	etsiä	Etsin tietoa verkosta.
1070:差点儿	差点儿	差点儿	prawie; o mało co	Prawie spóźniłem się na autobus.	bijna	Ik miste bijna de bus.	nästan; nära att	Jag missade nästan bussen.	nesten	Jeg holdt nesten på å miste bussen.	næsten	Jeg var lige ved at misse bussen.	melkein	Olin melkein myöhästyä bussista.
1072:厂	厂	厂	fabryka	Ta fabryka produkuje telefony komórkowe.	fabriek	Deze fabriek produceert mobiele telefoons.	fabrik	Den här fabriken tillverkar mobiltelefoner.	fabrikk	Denne fabrikken produserer mobiltelefoner.	fabrik	Denne fabrik producerer mobiltelefoner.	tehdas	Tämä tehdas valmistaa matkapuhelimia.
1075:车速	车速	车速	prędkość pojazdu	W deszczowe dni prędkość pojazdu powinna być trochę mniejsza.	voertuigsnelheid	Bij regen moet de voertuigsnelheid iets lager zijn.	fordonshastighet	Vid regn bör fordonshastigheten vara lite lägre.	kjørehastighet; kjøretøyets fart	På regnværsdager bør farten være litt lavere.	køretøjets hastighed	På regnvejrsdage bør hastigheden være lidt lavere.	ajonopeus	Sateisina päivinä ajonopeuden pitäisi olla vähän pienempi.
1076:车位	车位	车位	miejsce parkingowe	Na dole jest jeszcze jedno miejsce parkingowe.	parkeerplaats	Beneden is nog een parkeerplaats.	parkeringsplats	Det finns fortfarande en parkeringsplats där nere.	parkeringsplass	Det er fortsatt en parkeringsplass nede.	parkeringsplads	Der er stadig en parkeringsplads nedenunder.	pysäköintipaikka	Alhaalla on vielä yksi pysäköintipaikka.
1077:城	城	城	miasto; miejscowość	W tym mieście jest wiele starych ulic.	stad; plaats	Deze stad heeft veel oude straten.	stad	Den här staden har många gamla gator.	by	Denne byen har mange gamle gater.	by	Denne by har mange gamle gader.	kaupunki	Tässä kaupungissa on paljon vanhoja katuja.
1080:乘客	乘客	乘客	pasażer	Pasażerowie, proszę wysiadać tylnymi drzwiami.	passagier	Passagiers, stap alstublieft uit via de achterdeur.	passagerare	Passagerare, stig av genom bakdörren.	passasjer	Passasjerer, gå av gjennom bakdøren.	passager	Passagerer bedes stige af gennem bagdøren.	matkustaja	Matkustajat, poistukaa takaovesta.
1085:迟	迟	迟	późno; spóźniony	On przyszedł dziś trochę późno.	laat; te laat	Hij kwam vandaag een beetje laat aan.	sen; försenad	Han kom lite sent i dag.	sen; forsinket	Han kom litt sent i dag.	sen; forsinket	Han kom lidt sent i dag.	myöhässä; myöhäinen	Hän tuli tänään hieman myöhässä.
1086:重	重	重	ponownie; jeszcze raz	To wypracowanie trzeba przepisać jeszcze raz.	opnieuw; nog eens	Dit opstel moet nog een keer opnieuw worden geschreven.	igen; på nytt	Den här uppsatsen behöver skrivas om en gång.	igjen; på nytt	Denne stilen må skrives om én gang.	igen; på ny	Denne stil skal skrives om én gang.	uudelleen; taas	Tämä aine täytyy kirjoittaa uudelleen kerran.
1091:出行	出行	出行	podróżować; wychodzić	W święta wiele osób podróżuje.	reizen; eropuit gaan	Tijdens feestdagen reizen veel mensen.	resa; ge sig ut	Många människor reser under helgdagar.	reise; dra ut	Mange reiser i ferier og på helligdager.	rejse; tage ud	Mange mennesker rejser i helligdage.	matkustaa; lähteä liikkeelle	Lomapäivinä moni matkustaa.
1092:出租	出租	出租	wynajmować; oddać w najem	To mieszkanie można wynająć.	verhuren	Dit appartement kan worden verhuurd.	hyra ut	Den här lägenheten kan hyras ut.	leie ut	Denne leiligheten kan leies ut.	udleje	Denne lejlighed kan udlejes.	vuokrata ulos	Tämän asunnon voi vuokrata.
1094:厨师	厨师	厨师	kucharz; szef kuchni	Ten kucharz gotuje bardzo szybko.	kok; chef	Deze kok kookt heel snel.	kock	Den här kocken lagar mat mycket snabbt.	kokk	Denne kokken lager mat veldig raskt.	kok	Denne kok laver mad meget hurtigt.	kokki	Tämä kokki laittaa ruokaa hyvin nopeasti.
1095:窗	窗	窗	okno	Otwórz trochę okno.	raam	Open het raam alstublieft een beetje.	fönster	Öppna fönstret lite.	vindu	Åpne vinduet litt.	vindue	Åbn venligst vinduet lidt.	ikkuna	Avaa ikkunaa vähän.
1099:此	此	此	to; tutaj	Tutaj parkowanie jest zabronione.	dit; hier	Parkeren is hier verboden.	detta; här	Det är förbjudet att parkera här.	dette; her	Parkering er forbudt her.	dette; her	Parkering er forbudt her.	tämä; tässä	Tässä pysäköinti on kielletty.
1100:此次	此次	此次	tym razem; to spotkanie	To spotkanie jest bardzo ważne.	deze keer; deze gelegenheid	Deze vergadering is erg belangrijk.	denna gång; detta tillfälle	Det här mötet är mycket viktigt.	denne gangen; dette møtet	Dette møtet er veldig viktig.	denne gang; dette møde	Dette møde er meget vigtigt.	tällä kertaa; tämä tilaisuus	Tämä kokous on hyvin tärkeä.
1104:从中	从中	从中	z tego; spośród nich	On wiele się z tego nauczył.	hieruit; uit hen	Hij heeft er veel van geleerd.	ur detta; bland dem	Han lärde sig mycket av det.	av dette; blant dem	Han lærte mye av det.	heraf; blandt dem	Han lærte meget af det.	tästä; niiden joukosta	Hän oppi siitä paljon.
1105:粗	粗	粗	gruby; szorstki	Ten sznur jest dość gruby.	dik; grof	Dit touw is vrij dik.	tjock; grov	Det här repet är ganska tjockt.	tykk; grov	Dette tauet er ganske tykt.	tyk; grov	Dette reb er ret tykt.	paksu; karkea	Tämä köysi on melko paksu.
1107:村	村	村	wieś; wioska	Babcia mieszka w małej wiosce.	dorp	Oma woont in een klein dorp.	by; bysamhälle	Mormor bor i en liten by.	landsby	Bestemor bor i en liten landsby.	landsby	Bedstemor bor i en lille landsby.	kylä	Isoäiti asuu pienessä kylässä.
1109:错过	错过	错过	przegapić; ominąć	Nie przegap jutrzejszego meczu.	missen	Mis de wedstrijd van morgen niet.	missa	Missa inte matchen i morgon.	gå glipp av	Ikke gå glipp av kampen i morgen.	gå glip af	Gå ikke glip af kampen i morgen.	jättää väliin; myöhästyä	Älä jätä huomista ottelua väliin.
1112:答	答	答	odpowiadać	On bardzo szybko odpowiedział na to pytanie.	antwoorden; beantwoorden	Hij beantwoordde deze vraag heel snel.	svara	Han svarade snabbt på frågan.	svare	Han svarte raskt på dette spørsmålet.	svare	Han svarede hurtigt på dette spørgsmål.	vastata	Hän vastasi tähän kysymykseen hyvin nopeasti.
1116:打败	打败	打败	pokonać	W końcu pokonali silną drużynę.	verslaan	Uiteindelijk versloegen ze het sterke team.	besegra	De besegrade till slut det starka laget.	beseire	De beseiret endelig det sterke laget.	besejre	De besejrede endelig det stærke hold.	voittaa; kukistaa	He voittivat lopulta vahvan joukkueen.
1120:打印机	打印机	打印机	drukarka	Drukarka w biurze jest zepsuta.	printer; afdrukapparaat	De printer op kantoor is kapot.	skrivare	Skrivaren på kontoret är trasig.	skriver	Skriveren på kontoret er ødelagt.	printer; udskrivningsmaskine	Printeren på kontoret er i stykker.	tulostin	Toimiston tulostin on rikki.
1123:大巴	大巴	大巴	autokar; autobus dalekobieżny	Jedziemy autokarem na lotnisko.	touringcar; reisbus	We nemen de touringcar naar de luchthaven.	buss; långfärdsbuss	Vi tar bussen till flygplatsen.	turbuss; buss	Vi tar buss til flyplassen.	turistbus; bus	Vi tager bus til lufthavnen.	linja-auto; kaukoliikenteen bussi	Menemme lentokentälle bussilla.
1124:大大	大大	大大	znacznie; bardzo	To wydarzenie znacznie zwiększyło zainteresowanie.	sterk; enorm	Deze activiteit heeft de belangstelling sterk vergroot.	mycket; avsevärt	Den här aktiviteten ökade intresset mycket.	betydelig; veldig	Denne aktiviteten økte interessen betydelig.	betydeligt; meget	Denne aktivitet øgede interessen betydeligt.	suuresti; huomattavasti	Tämä toiminta lisäsi kiinnostusta huomattavasti.
1126:大量	大量	大量	duża ilość; mnóstwo	W supermarkecie jest dużo świeżych owoców.	grote hoeveelheid	In de supermarkt is een grote hoeveelheid vers fruit.	stor mängd	Det finns en stor mängd färsk frukt i snabbköpet.	stor mengde	Det er en stor mengde fersk frukt i supermarkedet.	stor mængde	Der er en stor mængde frisk frugt i supermarkedet.	suuri määrä	Supermarketissa on suuri määrä tuoreita hedelmiä.
1127:大赛	大赛	大赛	duży konkurs; ważne zawody	Szkoła zorganizuje w przyszłym tygodniu konkurs języka chińskiego.	grote wedstrijd; belangrijk concours	De school houdt volgende week een Chinese taalwedstrijd.	stor tävling	Skolan håller en kinesisk tävling nästa vecka.	stor konkurranse	Skolen arrangerer en kinesiskkonkurranse neste uke.	stor konkurrence	Skolen afholder en kinesiskkonkurrence i næste uge.	suuri kilpailu	Koulu järjestää ensi viikolla kiinan kilpailun.
1128:大厅	大厅	大厅	hall; hol	Goście czekają na samochód w holu.	hal; lobby	De gasten wachten in de lobby op de auto.	entréhall; lobby	Gästerna väntar på bilen i lobbyn.	hall; resepsjonsområde	Gjestene venter på bilen i lobbyen.	hal; lobby	Gæsterne venter på bilen i lobbyen.	aula; eteishalli	Vieraat odottavat autoa aulassa.
1130:大自然	大自然	大自然	przyroda; natura	Dzieci lubią bawić się na łonie natury.	natuur	Kinderen spelen graag in de natuur.	natur	Barn tycker om att leka i naturen.	natur	Barn liker å leke ute i naturen.	natur	Børn kan lide at lege i naturen.	luonto	Lapset pitävät luonnossa leikkimisestä.
1131:待	待	待	zostać; przebywać	On został w domu przez cały dzień.	blijven	Hij bleef een dag thuis.	stanna	Han stannade hemma en hel dag.	bli; oppholde seg	Han ble hjemme en hel dag.	blive; opholde sig	Han blev hjemme hele dagen.	olla; jäädä	Hän oli kotona koko päivän.
1133:袋子	袋子	袋子	torba; worek	Włóż owoce do torby.	zak; tas	Doe het fruit alstublieft in de tas.	påse; säck	Lägg frukten i påsen.	pose; sekk	Legg frukten i posen.	pose; sæk	Læg frugten i posen.	pussi; laukku	Laita hedelmät pussiin.
1140:道	道	道	klasyfikator dla pytań; droga	To pytanie nie jest trudne.	maatwoord voor vragen; weg	Deze vraag is niet moeilijk.	räkneord för frågor; väg	Den här frågan är inte svår.	telleord for spørsmål; vei	Dette spørsmålet er ikke vanskelig.	tælleord for spørgsmål; vej	Dette spørgsmål er ikke svært.	laskusana kysymyksille; tie	Tämä kysymys ei ole vaikea.
1142:到来	到来	到来	nadejście; przybycie	Nadejście wiosny cieszy ludzi.	aankomst; komst	De komst van de lente maakt mensen blij.	ankomst; anländande	Vårens ankomst gör människor glada.	ankomst; komme	Vårens komme gjør folk glade.	ankomst; komme	Forårets komme gør folk glade.	saapuminen; tulo	Kevään tulo tekee ihmiset iloisiksi.
1143:道路	道路	道路	droga	Ta droga prowadzi do wioski.	weg	Deze weg leidt naar het dorp.	väg	Den här vägen leder till byn.	vei	Denne veien fører til landsbyen.	vej	Denne vej fører til landsbyen.	tie	Tämä tie vie kylään.
1146:登机	登机	登机	wsiadać do samolotu	Proszę wejść na pokład pół godziny wcześniej.	instappen in het vliegtuig	Stap alstublieft een half uur eerder in.	stiga ombord på ett flygplan	Gå ombord en halvtimme i förväg.	gå om bord i fly	Gå om bord en halvtime på forhånd.	gå ombord på et fly	Gå venligst ombord en halv time før.	nousta lentokoneeseen	Nouse koneeseen puoli tuntia etukäteen.
1148:等到	等到	等到	czekać aż	Pójdziemy, kiedy deszcz przestanie padać.	wachten tot	We vertrekken nadat de regen stopt.	vänta tills	Vi går när regnet har slutat.	vente til	Vi går når regnet har stoppet.	vente til	Vi går, når regnen er stoppet.	odottaa kunnes	Lähdemme, kun sade lakkaa.
1150:低价	低价	低价	niska cena; tani	Ten sklep często sprzedaje tanie bilety lotnicze.	lage prijs; goedkoop	Deze winkel verkoopt vaak goedkope vliegtickets.	lågt pris; billig	Den här butiken säljer ofta billiga flygbiljetter.	lav pris; billig	Denne butikken selger ofte billige flybilletter.	lav pris; billig	Denne butik sælger ofte billige flybilletter.	alhainen hinta; halpa	Tämä kauppa myy usein halpoja lentolippuja.
1151:低温	低温	低温	niska temperatura	Przy niskiej temperaturze trzeba założyć więcej ubrań.	lage temperatuur	Bij lage temperatuur moet je meer kleding aantrekken.	låg temperatur	Vid låg temperatur bör man ta på sig mer kläder.	lav temperatur	I lav temperatur bør man kle på seg mer.	lav temperatur	Ved lav temperatur bør man tage mere tøj på.	matala lämpötila	Matalassa lämpötilassa kannattaa pukea enemmän vaatteita.
1152:低于	低于	低于	być niżej niż; poniżej	Dzisiejsza temperatura jest niższa niż wczorajsza.	lager zijn dan; onder liggen	De temperatuur van vandaag is lager dan die van gisteren.	lägre än	Dagens temperatur är lägre än gårdagens.	lavere enn	Temperaturen i dag er lavere enn i går.	lavere end	Temperaturen i dag er lavere end i går.	olla alempi kuin	Tämän päivän lämpötila on alempi kuin eilinen.
1154:底下	底下	底下	pod; poniżej	Pod stołem leży torba.	onder; beneden	Er ligt een tas onder de tafel.	under; nedanför	Det finns en väska under bordet.	under; nedenfor	Det ligger en veske under bordet.	under; nedenunder	Der ligger en taske under bordet.	alla; alapuolella	Pöydän alla on laukku.
1157:点名	点名	点名	sprawdzać obecność; wyczytywać nazwiska	Nauczyciel sprawdza obecność przed lekcją.	aanwezigheid opnemen; namen afroepen	De leraar neemt voor de les de aanwezigheid op.	ropa upp namn; ta närvaro	Läraren tar närvaro före lektionen.	rope opp navn; ta oppmøte	Læreren tar oppmøte før timen.	råbe navne op; tage fravær	Læreren råber navne op før timen.	ottaa nimenhuuto	Opettaja pitää nimenhuudon ennen tuntia.
1158:点头	点头	点头	kiwnąć głową	Ona kiwnęła głową, żeby pokazać zgodę.	knikken	Zij knikte om instemming te tonen.	nicka	Hon nickade för att visa att hon höll med.	nikke	Hun nikket for å vise at hun var enig.	nikke	Hun nikkede for at vise, at hun var enig.	nyökätä	Hän nyökkäsi osoittaakseen suostumuksensa.
1159:电动车	电动车	电动车	pojazd elektryczny	On jeździ do pracy pojazdem elektrycznym.	elektrisch voertuig	Hij rijdt met een elektrisch voertuig naar zijn werk.	elfordon	Han åker med elfordon till jobbet.	elektrisk kjøretøy	Han kjører elektrisk kjøretøy til jobb.	elektrisk køretøj	Han kører på arbejde i et elektrisk køretøj.	sähköajoneuvo	Hän kulkee töihin sähköajoneuvolla.
1160:电视剧	电视剧	电视剧	serial telewizyjny	Moja mama lubi oglądać seriale telewizyjne.	tv-serie	Mijn moeder kijkt graag naar tv-series.	tv-serie	Min mamma tycker om att titta på tv-serier.	tv-serie	Moren min liker å se på tv-serier.	tv-serie	Min mor kan lide at se tv-serier.	televisiosarja	Äitini katsoo mielellään televisiosarjoja.
1163:订	订	订	rezerwować; zamawiać	Już zarezerwowałem bilet lotniczy.	boeken; bestellen	Ik heb al een vliegticket geboekt.	boka; beställa	Jag har redan bokat en flygbiljett.	bestille; booke	Jeg har allerede bestilt en flybillett.	bestille; booke	Jeg har allerede bestilt en flybillet.	varata; tilata	Olen jo varannut lentolipun.
1164:定	定	定	ustalić; zdecydować	Godzina spotkania została już ustalona.	vaststellen; beslissen	De vergadertijd is al vastgesteld.	bestämma; fastställa	Mötestiden är redan bestämd.	bestemme; fastsette	Møtetiden er allerede fastsatt.	fastsætte; bestemme	Mødetidspunktet er allerede fastsat.	päättää; määrätä	Kokousaika on jo päätetty.
1165:东部	东部	东部	wschodnia część	We wschodniej części miasta jest nowy park.	oostelijk deel; oosten	In het oostelijke deel van de stad is een nieuw park.	östra delen; öster	I stadens östra del finns en ny park.	østlige del; øst	I den østlige delen av byen ligger det en ny park.	østlige del; øst	I den østlige del af byen ligger der en ny park.	itäosa	Kaupungin itäosassa on uusi puisto.
1166:动车	动车	动车	pociąg dużych prędkości	Jedziemy do Szanghaju szybkim pociągiem.	hogesnelheidstrein	We nemen de hogesnelheidstrein naar Shanghai.	höghastighetståg	Vi tar höghastighetståget till Shanghai.	høyhastighetstog	Vi tar høyhastighetstog til Shanghai.	højhastighedstog	Vi tager højhastighedstoget til Shanghai.	suurnopeusjuna	Menemme Shanghaihin suurnopeusjunalla.
1168:读者	读者	读者	czytelnik; czytelniczka	Ta książka ma wielu młodych czytelników.	lezer; lezeres	Dit boek heeft veel jonge lezers.	läsare	Den här boken har många unga läsare.	leser	Denne boken har mange unge lesere.	læser	Denne bog har mange unge læsere.	lukija	Tällä kirjalla on paljon nuoria lukijoita.
1170:度假	度假	度假	jechać na wakacje; spędzać urlop	Pojechali na wakacje nad morze.	op vakantie gaan	Ze gingen naar zee voor een vakantie.	åka på semester	De åkte till havet på semester.	dra på ferie	De dro til sjøen på ferie.	tage på ferie	De tog på ferie ved havet.	lomailla	He menivät merenrannalle lomailemaan.
1173:队	队	队	drużyna; kolejka	Przy drzwiach stoi kolejka ludzi.	team; rij	Er staat een rij mensen bij de deur.	lag; kö	Det står en kö med människor vid dörren.	lag; kø	Det står en kø med folk ved døren.	hold; kø	Der står en kø af mennesker ved døren.	joukkue; jono	Ovella on jono ihmisiä.
1177:队员	队员	队员	członek drużyny	Każdy członek drużyny ciężko pracuje.	teamlid	Elk teamlid werkt hard.	lagmedlem	Varje lagmedlem arbetar hårt.	lagmedlem	Hvert lagmedlem jobber hardt.	holdmedlem	Hvert holdmedlem arbejder hårdt.	joukkueen jäsen	Jokainen joukkueen jäsen tekee kovasti töitä.
1178:队长	队长	队长	kapitan; lider drużyny	Kapitan organizuje trening.	teamleider; aanvoerder	De teamleider organiseert de training.	lagkapten; lagledare	Lagledaren organiserar träningen.	lagkaptein; lagleder	Laglederen organiserer treningen.	holdkaptajn; holdleder	Holdlederen organiserer træningen.	joukkueen kapteeni; johtaja	Joukkueen kapteeni järjestää harjoituksia.
1181:多数	多数	多数	większość	Większość uczniów wybrała lekcję chińskiego.	meerderheid	De meerderheid van de leerlingen koos de Chinese les.	majoritet	De flesta eleverna valde kinesiskalektionen.	flertall; de fleste	De fleste elevene valgte kinesisktimen.	flertal; de fleste	De fleste elever valgte kinesisktimen.	enemmistö; suurin osa	Suurin osa oppilaista valitsi kiinan tunnin.
1182:多样	多样	多样	różnorodny; zróżnicowany	Formy zajęć tutaj są bardzo różnorodne.	veelzijdig; gevarieerd	De activiteitenvormen hier zijn erg gevarieerd.	mångsidig; varierad	Aktivitetsformerna här är mycket varierade.	mangfoldig; variert	Aktivitetsformene her er veldig varierte.	mangfoldig; varieret	Aktivitetsformerne her er meget varierede.	monipuolinen; vaihteleva	Täällä toiminnan muodot ovat hyvin monipuolisia.
