simplified	MS	example_MS
表决	mengundi	Para wakil akan mengundi cadangan itu
表态	menyatakan pendirian	Dia belum menyatakan pendirian secara terbuka
表彰	memberi penghargaan	Syarikat memberi penghargaan kepada pekerja cemerlang
憋	menahan	Dia menahan ketawa dan tidak berkata apa-apa
别墅	vila	Mereka membeli sebuah vila di pinggir bandar
别致	unik	Hiasan kafe ini sangat unik
别扭	janggal	Ayat ini kedengaran agak janggal
濒临	hampir	Haiwan jenis ini hampir pupus
冰雹	hujan batu	Petang semalam turun hujan batu yang lebat
丙	kumpulan ketiga	Pertandingan kumpulan ketiga bermula pada waktu petang
并非	bukan sebenarnya	Perkara itu bukan sebenarnya seperti yang kamu fikirkan
并列	seri	Kedua-dua projek ini seri di tempat pertama
剥削	eksploitasi	Masyarakat lama mempunyai eksploitasi yang serius
拨	mendail	Sila dail nombor telefon ini
播种	menyemai	Para petani mula menyemai benih pada musim bunga
波浪	ombak	Ombak besar bergulung di permukaan laut
波涛	gelombang besar	Kapal bergerak maju di tengah gelombang besar
伯母	makcik	Saya akan melawat makcik pada hujung minggu
博大精深	luas dan mendalam	Budaya Cina luas dan mendalam
博览会	pameran	Ekspo antarabangsa menarik banyak syarikat
搏斗	bertarung	Polis bertarung dengan penjahat
薄弱	lemah	Asas tatabahasanya agak lemah
不顾	tidak menghiraukan	Dia berlari masuk tanpa menghiraukan bahaya
不愧	memang layak	Dia memang layak disebut pakar yang berpengalaman
不料	tidak disangka	Tidak disangka, mesyuarat tiba-tiba dibatalkan
不像话	keterlaluan	Cara kamu melayan tetamu seperti ini terlalu keterlaluan
不屑一顾	tidak mengendahkan	Dia tidak mengendahkan khabar angin ini
哺乳	menyusukan	Si ibu sedang menyusukan bayi
捕捉	merakam	Jurugambar merakam detik yang indah
补偿	memberi pampasan	Syarikat akan memberi pampasan atas kerugian kamu
补救	memperbaiki	Kita masih sempat memperbaiki keadaan
补贴	subsidi	Kerajaan memberikan subsidi kepada keluarga berpendapatan rendah
不得已	tiada pilihan	Dia meninggalkan kampung halaman kerana tiada pilihan
不妨	apa salahnya	Apa salahnya kamu dengar dahulu penjelasannya
不敢当	tidak layak menerima pujian	Kamu memuji saya begitu, saya benar-benar tidak layak menerima pujian itu
不禁	tidak dapat menahan	Apabila mendengar berita itu, dia tidak dapat menahan senyum
不堪	tidak tertahan	Bunyi bising di sini membuat orang tidak tertahan
不可思议	sukar dibayangkan	Keputusan ini benar-benar sukar dibayangkan
不免	tidak dapat dielakkan	Kali pertama naik pentas, dia tidak dapat dielakkan agak gementar
不时	dari semasa ke semasa	Dia dari semasa ke semasa mengangkat kepala melihat jam
不惜	tidak segan mengambil risiko	Demi menyelamatkan orang, dia tidak segan mengambil risiko
不相上下	setanding	Kekuatan kedua-dua pasukan setanding
不言而喻	jelas tanpa perlu dikatakan	Kepentingan kejujuran jelas tanpa perlu dikatakan
不由得	tidak dapat menahan diri	Melihat foto lama, saya tidak dapat menahan diri teringat zaman kanak-kanak
不择手段	tidak memilih cara	Demi mendapatkan wang, dia tidak memilih cara
不止	lebih daripada	Orang yang menghadiri mesyuarat lebih daripada seratus
布告	notis	Di pintu sekolah tertampal sekeping notis
布局	susun atur	Susun atur rumah ini sangat munasabah
布置	memberikan	Guru memberikan tugasan baharu
步伐	langkah	Pasukan bergerak maju dengan langkah yang teratur
部署	mengatur	Syarikat sedang mengatur rancangan jualan baharu
部位	bahagian	Doktor memeriksa bahagian yang cedera
才干	kecekapan	Dia sangat berkecekapan dalam pengurusan
裁缝	tukang jahit	Tukang jahit ini sangat mahir
裁判	pengadil	Pengadil mengumumkan perlawanan dihentikan sementara
裁员	memberhentikan pekerja	Syarikat memutuskan untuk memberhentikan pekerja kerana kerugian
财富	kekayaan	Pengetahuan juga sejenis kekayaan
财务	kewangan	Jabatan kewangan sedang menyemak akaun
财政	hasil kewangan	Hasil kewangan tahun ini meningkat sedikit
彩票	tiket loteri	Dia kadang-kadang membeli sekeping tiket loteri
采购	membeli	Syarikat menghantar orang untuk membeli peralatan
采集	mengumpul	Penyelidik mengumpul sampel di hutan
采纳	menerima	Pemimpin menerima cadangan kami
参谋	penasihat	Dia sering menjadi penasihat kepada pengurus
参照	merujuk	Sila merujuk format ini semasa mengisi borang
残疾	kurang upaya	Stesen ini menyediakan bantuan kepada penumpang kurang upaya
残酷	kejam	Perang sangat kejam
残留	tersisa	Masih tersisa bau kopi di dalam cawan
残忍	zalim	Mendera haiwan ialah perbuatan zalim
灿烂	cemerlang	Dia menunjukkan senyuman yang cemerlang
仓促	tergesa-gesa	Keputusan ini dibuat terlalu tergesa-gesa
仓库	gudang	Barang-barang sudah dihantar ke gudang
舱	kabin	Penumpang sedang masuk ke kabin pesawat
苍白	pucat	Wajahnya kelihatan sangat pucat
操劳	bekerja keras	Ibu bekerja keras demi keluarga ini selama bertahun-tahun
操练	berlatih kawad	Askar berlatih kawad setiap pagi
操纵	mengendalikan	Mesin ini dikendalikan oleh komputer
操作	mengoperasikan	Sila mengoperasikan peralatan mengikut arahan
嘈杂	bising	Suara di stesen sangat bising
草案	draf	Jawatankuasa sedang membincangkan draf itu
草率	terburu-buru	Keputusan sepenting ini tidak boleh dibuat secara terburu-buru
侧面	sisi	Dilihat dari sisi, bangunan ini lebih tinggi
测量	mengukur	Jurutera sedang mengukur panjang jambatan
策划	merancang	Mereka merancang satu acara besar
策略	strategi	Strategi ini membantu syarikat mengurangkan kos
层出不穷	muncul berturut-turut	Masalah baharu muncul berturut-turut
层次	susunan tahap	Susunan tahap artikel ini sangat jelas
差别	perbezaan	Perbezaan antara dua kaedah itu tidak besar
插座	soket	Soket di bilik ini tidak mencukupi
查获	merampas	Kastam merampas sekumpulan barang palsu
刹那	sekelip mata	Dalam sekelip mata, semua lampu padam
岔	bercabang	Kereta berpisah arah di simpang depan
诧异	terkejut	Keputusannya membuat semua orang sangat terkejut
柴油	diesel	Lori ini menggunakan diesel
搀	memapah	Jururawat memapah orang tua itu masuk ke wad
缠绕	membelit	Pokok menjalar membelit dahan
馋	teringin makan	Melihat kek itu, anak itu sedikit teringin makan
产业	industri	Pelancongan ialah industri penting di sini
阐述	menghuraikan	Profesor menghuraikan pandangannya secara terperinci
颤抖	menggigil	Dia menggigil seluruh badan kerana kesejukan
昌盛	makmur	Kami berharap negara makmur dan sejahtera
偿还	membayar balik	Dia membayar balik pinjaman tepat pada masanya
尝试	mencuba	Kita boleh mencuba kaedah baharu
场合	majlis	Keadaan majlis seperti ini tidak sesuai untuk bergurau
场面	suasana	Suasana majlis perkahwinan itu sangat meriah
场所	tempat	Ini tempat awam, dilarang merokok
敞开	membuka luas	Sila buka tingkap luas-luas sebentar
倡导	menganjurkan	Sekolah menganjurkan gaya hidup sihat
倡议	inisiatif	Inisiatif alam sekitar ini mendapat sokongan
畅通	lancar	Selepas hujan berhenti, jalan kembali lancar
畅销	laris	Novel ini sangat laris
超越	mengatasi	Akhirnya dia mengatasi rekodnya sendiri
钞票	wang kertas	Dalam dompet hanya tinggal beberapa keping wang kertas
嘲笑	mengejek	Jangan mengejek kekurangan orang lain
巢穴	sarang	Pemburu menemui sarang haiwan
朝代	dinasti	Dinasti Tang ialah satu dinasti dalam sejarah China
潮流	trend	Orang muda sangat mengikuti trend fesyen
撤退	berundur	Pasukan berundur selepas menerima arahan
撤销	membatalkan	Mahkamah membatalkan keputusan asal
沉淀	mendap	Pasir dan lumpur akan perlahan-lahan mendap
沉闷	menyesakkan	Cuaca hari ini panas dan menyesakkan
沉思	merenung	Dia duduk di tepi tingkap sambil merenung
沉重	berat	Berita ini membuat hati semua orang terasa berat
沉着	tenang	Apabila menghadapi bahaya, perlu tetap tenang
陈旧	usang	Mesin ini sudah sangat usang
陈列	mempamerkan	Banyak artifak dipamerkan di dewan pameran
陈述	menyatakan	Sila nyatakan fakta dengan jelas
称心如意	memuaskan hati	Pekerjaan ini sangat memuaskan hatinya
衬托	menyerlahkan	Dinding putih menyerlahkan warna bunga
称号	gelaran	Dia memperoleh gelaran guru cemerlang
乘	menaiki	Saya menaiki MRT ke tempat kerja setiap hari
呈现	menampilkan	Langit menampilkan warna merah muda yang samar
城堡	istana lama	Di puncak gunung ada sebuah istana lama
惩罚	menghukum	Sekolah akan menghukum pelajar yang menipu
成本	kos	Kenaikan harga bahan mentah menaikkan kos
成交	termeterai	Urus niaga ini akhirnya termeterai
成天	sepanjang hari	Dia duduk di depan komputer sepanjang hari
成效	hasil	Kaedah pengurusan baharu cepat menunjukkan hasil
成心	sengaja	Dia bukan sengaja menyusahkan kamu
成员	anggota	Setiap anggota mesti menghadiri mesyuarat
承办	menganjurkan	Syarikat ini menganjurkan pameran itu
承包	mengambil kontrak	Mereka mengambil kontrak projek ini
承诺	berjanji	Dia berjanji menyiapkan tugas tepat pada waktunya
橙	oren	Saya membeli beberapa biji oren segar
澄清	menjelaskan	Pengurus tampil menjelaskan salah faham
盛	mencedok	Dia mencedok semangkuk sup untuk tetamu
诚挚	ikhlas	Sila terima ucapan terima kasih saya yang ikhlas
秤	penimbang	Penimbang ini tidak begitu tepat
吃苦	menanggung kesusahan	Orang muda patut belajar menanggung kesusahan
吃力	memerlukan tenaga	Mengangkat kotak ini sangat memerlukan tenaga
持久	berterusan	Kejayaan memerlukan usaha yang berterusan
迟钝	lambat bertindak	Belakangan ini reaksinya agak lambat bertindak
迟缓	perlahan	Selepas hujan, lalu lintas menjadi perlahan
迟疑	teragak-agak	Dia teragak-agak sebentar sebelum menjawab
赤道	khatulistiwa	Kawasan berhampiran khatulistiwa panas sepanjang tahun
赤字	defisit	Syarikat mengalami defisit tahun ini
充当	bertindak sebagai	Dia bertindak sebagai penyelaras dalam projek itu
充沛	melimpah	Tenaga kanak-kanak sangat melimpah
充实	bermakna	Pengalaman ini menjadikan hidup saya lebih bermakna
充足	mencukupi	Sebelum melancong, perlu menyediakan air yang mencukupi
冲动	dorongan sesaat	Jangan membuat keputusan kerana dorongan sesaat
冲击	impak	Teknologi baharu memberi impak kepada industri tradisional
冲突	konflik	Kedua-dua pihak berusaha mengelakkan konflik
崇拜	mengagumi	Ramai orang muda mengagumi saintis ini
崇高	mulia	Tanggungjawab doktor adalah mulia
崇敬	menghormati	Para pelajar sangat menghormati guru ini
重叠	bertindih	Kedua-dua tugas ini sebahagiannya bertindih
稠密	padat	Penduduk di sini sangat padat
筹备	mempersiapkan	Mereka sedang mempersiapkan majlis perkahwinan
丑恶	buruk	Dia mendedahkan kebenaran buruk di sebalik peristiwa itu
出路	jalan keluar	Pelajaran dapat memberi orang muda lebih banyak jalan keluar
出卖	mengkhianati	Dia tidak akan mengkhianati kawan
出身	berasal	Dia berasal daripada keluarga biasa
出神	terpukau	Dia mendengar muzik hingga terpukau
出息	masa depan cerah	Anak ini kelak akan mempunyai masa depan cerah
初步	awal	Kami sudah mencapai persetujuan awal
除	kecuali	Kecuali dia, semua orang sudah tiba
储备	menyimpan rizab	Syarikat perlu menyimpan lebih banyak dana sebagai rizab
储存	menyimpan	Data ini akan disimpan secara automatik
储蓄	menabung	Dia menabung sebahagian gaji setiap bulan
处分	tindakan disiplin	Sekolah mengenakan tindakan disiplin yang berat terhadapnya
处境	keadaan sulit	Keadaan mereka sekarang sangat sulit
处置	menguruskan	Peralatan lama ini perlu diuruskan dengan betul
触犯	melanggar	Melakukan begitu akan melanggar undang-undang
川流不息	tidak putus-putus	Kenderaan di jalan tidak putus-putus
穿越	menembusi	Keretapi menembusi terowong yang panjang
传达	menyampaikan	Sila sampaikan berita ini kepada semua orang
传单	risalah	Sukarelawan mengedarkan risalah di jalan
传授	menyampaikan ilmu	Guru menyampaikan pengalaman kepada pelajar
船舶	kapal	Banyak kapal berlabuh di pelabuhan
喘气	tercungap-cungap	Selepas berlari, dia tercungap-cungap tanpa henti
串	merangkai	Dia merangkai manik menjadi seutas rantai
床单	cadar	Sila tukar cadar itu
创立	menubuhkan	Mereka bersama-sama menubuhkan syarikat ini
创新	berinovasi	Perkembangan perusahaan memerlukan inovasi berterusan
创业	memulakan perniagaan	Ramai orang muda memilih untuk memulakan perniagaan
创作	mencipta	Penulis sedang mencipta sebuah novel panjang
吹牛	bercakap besar	Jangan bercakap besar, tunjukkan bukti
吹捧	memuji berlebihan	Media memuji produk ini secara berlebihan
炊烟	asap dapur	Pada waktu senja, asap dapur naik dari kampung
垂直	menegak	Kedua-dua garis ini saling menegak
锤	tukul	Pekerja mengetuk plat besi dengan tukul
纯粹	semata-mata	Bantuannya semata-mata kerana niat baik
纯洁	murni	Hati kanak-kanak sangat murni
慈善	kebajikan	Syarikat ini sering menyertai aktiviti kebajikan
慈祥	lembut penyayang	Senyuman nenek sangat lembut penyayang
磁带	pita kaset	Pita kaset lama ini masih boleh dimainkan
雌雄	jantan dan betina	Warna jantan dan betina burung jenis ini berbeza
伺候	menjaga	Jururawat menjaga pesakit dengan teliti
刺	duri	Pada dahan mawar ada banyak duri
次品	barang cacat	Barang cacat ini tidak boleh dijual
次序	urutan	Sila beratur mengikut urutan
丛	rumpun	Di tepi jalan ada serumpun bunga liar
从容	tenang	Dia menjawab soalan dengan tenang
凑合	sekadar mencukupi	Bilik itu tidak besar, tetapi masih sekadar mencukupi untuk didiami
粗鲁	kasar	Cara dia bercakap terlalu kasar
窜	menyelinap masuk	Kucing itu tiba-tiba menyelinap masuk ke rumah
摧残	merosakkan	Pencemaran jangka panjang akan merosakkan hutan ini
脆弱	rapuh	Produk kaca sangat rapuh
搓	menggosok	Dia menggosok tangannya yang sejuk
磋商	berunding	Kedua-dua pihak akan terus berunding
挫折	kemunduran	Setiap orang akan menghadapi kemunduran
搭	menaiki	Kami menaiki bas ke lapangan terbang
搭档	rakan kerja	Dia rakan kerja saya selama bertahun-tahun
搭配	sepadan	Kot dan seluar ini sangat sepadan
答辩	pembelaan tesis	Pelajar pascasiswazah sedang menyiapkan pembelaan tesis
答复	jawapan	Sila beri saya jawapan secepat mungkin
达成	mencapai	Kedua-dua pihak akhirnya mencapai persetujuan
打包	membungkus	Pelayan membantu kami membungkus baki makanan
打官司	berbicara di mahkamah	Mereka berbicara di mahkamah kerana masalah kontrak
打击	pukulan	Kegagalan kali ini memberi pukulan besar kepadanya
打架	bergaduh	Pelajar yang bergaduh di kampus akan dikenakan tindakan disiplin
打量	memerhati	Dia memerhati saya dari atas ke bawah
打猎	memburu	Memburu dilarang di sini
打仗	berperang	Tiada siapa mahu berperang
大不了	paling buruk pun	Paling buruk pun, kita cuba lagi esok
大臣	menteri	Raja memanggil beberapa menteri
大伙儿	semua orang	Semua orang sedang menunggu keputusan kamu
大肆	secara besar-besaran	Peniaga mempromosikan produk baharu secara besar-besaran
大体	secara keseluruhan	Secara keseluruhan rancangan itu tiada masalah
大意	isi utama	Sila ceritakan dahulu isi utama artikel ini
大致	secara kasar	Saya secara kasar memahami perjalanan perkara itu
歹徒	penjenayah	Polis segera menangkap penjenayah itu
代价	harga yang dibayar	Kejayaan sering memerlukan harga yang dibayar
代理	memangku	Dia sementara memangku tugas pengurus
带领	memimpin	Guru memimpin pelajar melawat muzium
怠慢	mengabaikan layanan	Kita tidak boleh mengabaikan layanan terhadap tetamu
逮捕	menangkap	Pihak polis menangkap suspek utama
担保	menjamin	Bank meminta ada orang yang menjamin
胆怯	gentar	Kali pertama berucap, dia agak gentar
淡季	musim lengang	Tiket kapal terbang lebih murah pada musim lengang pelancongan
淡水	air tawar	Ikan jenis ini hanya boleh hidup di air tawar
蛋白质	protein	Telur mengandungi protein yang banyak
诞辰	hari kelahiran	Hari ini ialah hari kelahiran penulis itu
诞生	lahir	Idea ini lahir dalam perbincangan
当场	di tempat kejadian	Dia mengakui kesalahan di tempat kejadian
当初	pada mulanya	Pada mulanya kami semua menyokong keputusan ini
当代	kontemporari	Masyarakat kontemporari berubah dengan cepat
当面	secara bersemuka	Jika ada masalah, lebih baik jelaskan secara bersemuka
当前	semasa	Paling penting pada masa semasa ialah menjamin keselamatan
当事人	pihak terlibat	Polis sedang menyoal pihak terlibat
当务之急	keutamaan mendesak	Menyelesaikan masalah perumahan ialah keutamaan mendesak
当选	terpilih	Dia terpilih sebagai pengerusi dengan lancar
党	parti	Parti ini mengemukakan dasar baharu
档案	fail	Sekolah menyimpan fail pelajar
档次	taraf	Taraf hotel ini sangat tinggi
倒闭	tutup muflis	Kedai kecil itu tutup muflis tahun lalu
导弹	peluru berpandu	Berita melaporkan ujian peluru berpandu
导航	navigasi	Sila hidupkan navigasi telefon bimbit
导向	berorientasikan	Dasar pendidikan harus berorientasikan keadilan
捣乱	mengacau	Sila jangan mengacau di dalam kelas
盗窃	kecurian	Pusat beli-belah memperkukuh langkah mencegah kecurian
稻谷	padi	Para petani sedang menuai padi
得不偿失	tidak berbaloi	Membeli bahan berkualiti rendah demi berjimat tidak berbaloi
得力	cekap	Dia ialah pembantu cekap di sisi pengurus
得天独厚	berkelebihan semula jadi	Bandar ini mempunyai kelebihan geografi yang berkelebihan semula jadi
得罪	menyinggung perasaan	Saya tidak mahu menyinggung perasaan rakan sekerja kerana hal kecil
灯笼	tanglung	Tanglung merah digantung di pintu semasa Tahun Baru Cina
登录	log masuk	Sila log masuk ke akaun kamu dahulu
登陆	mendarat	Taufan mungkin mendarat di kawasan pantai malam ini
蹬	mengayuh	Dia mengayuh kuat-kuat, lalu basikal itu bergerak
等候	menunggu	Para penumpang sedang menunggu untuk menaiki pesawat di dewan
等级	tahap	Perisian ini mempunyai tahap keahlian yang berbeza
瞪	menjeling	Dia menjeling saya dengan marah
堤坝	empangan	Selepas hujan lebat, empangan perlu diperiksa dengan teliti
敌视	memusuhi	Kita tidak sepatutnya memusuhi pendapat yang berbeza
抵达	tiba	Pesawat tiba di Beijing tepat pada masanya
抵抗	menentang	Penduduk kampung bersama-sama menentang banjir
抵制	memboikot	Pengguna mula memboikot produk berkualiti rendah
地步	tahap	Perkara itu belum serius sampai tahap itu
地势	bentuk muka bumi	Bentuk muka bumi di sini lebih tinggi, jadi air tidak mudah bertakung
地质	geologi	Pakar sedang menyiasat keadaan geologi setempat
递增	meningkat bertahap	Jualan meningkat bertahap selama tiga bulan berturut-turut
颠簸	bergelombang	Jalan gunung sangat bergelombang, jadi berhati-hati semasa memandu
颠倒	terbalik	Kamu membalikkan susunan dua nombor itu
典礼	upacara	Upacara graduasi akan diadakan di auditorium
典型	tipikal	Ini ialah satu kes kejayaan yang tipikal
点缀	menghiasi	Beberapa kuntum bunga kecil menghiasi meja makan
垫	alas	Sila letakkan kertas ini sebagai alas di bawah cawan
奠定	meletakkan asas	Kerjasama ini meletakkan asas bagi hubungan jangka panjang
惦记	teringat risau	Ibu selalu teringat risau akan anaknya yang jauh
电源	sumber kuasa	Sebelum keluar, sila matikan sumber kuasa
叼	menggigit di mulut	Anjing itu menggigit sebatang tulang di mulutnya
雕刻	mengukir	Dia suka mengukir corak pada kayu
雕塑	arca	Di tengah dataran ada sebuah arca
吊	mengangkat tergantung	Pekerja menggunakan mesin untuk mengangkat rasuk keluli
调动	memindahkan	Syarikat memindahkan dia ke Shanghai untuk bekerja
跌	jatuh	Harga saham jatuh lagi hari ini
丁	dadu kecil	Resipi menulis supaya kentang dipotong menjadi dadu kecil
叮嘱	berpesan berulang kali	Guru berpesan berulang kali supaya kami menjaga keselamatan
盯	merenung	Sila jangan terus merenung orang lain
定期	secara berkala	Doktor mencadangkan dia menjalani pemeriksaan badan secara berkala
定义	definisi	Sila jelaskan definisi konsep ini dahulu
丢人	memalukan	Berbohong di depan orang ramai benar-benar memalukan
丢三落四	pelupa	Dia selalu pelupa dan sering lupa membawa kunci ketika keluar
东道主	tuan rumah	Sebagai tuan rumah, kita perlu menjaga tetamu dengan baik
东张西望	menoleh ke sana sini	Jangan menoleh ke sana sini semasa kelas
董事长	pengerusi lembaga	Pengerusi lembaga hadir dalam mesyuarat hari ini
冻结	membekukan	Bank sementara membekukan akaun ini
动荡	bergolak	Perang menyebabkan kawasan ini bergolak untuk masa yang lama
