simplified	KA	example_KA
草	ბალახი; მდელო	ლეკვი ბალახზე დარბის.
层	სართული; ფენა	ამ შენობას სამი სართული აქვს.
差	ცუდი; განსხვავება; ნაკლი	დღეს ამინდი ცუდია.
超市	დიდი მაღაზია	პურის საყიდლად დიდ მაღაზიაში მივდივარ.
衬衫	პერანგი	ეს პერანგი ძალიან სუფთაა.
城市	ქალაქი	პეკინი დიდი ქალაქია.
成绩	შედეგი; ნიშანი	მისი მათემატიკის ნიშნები კარგია.
迟到	დაგვიანება	გაკვეთილზე ნუ დააგვიანებ.
除了	გარდა; დამატებით	ყავის გარდა, ჩაიც მინდა.
船	ნავი; გემი	იმ ქალაქში ნავით მივდივართ.
春	გაზაფხული	გაზაფხულზე ბევრი ყვავილია.
词典	ლექსიკონი	ეს ლექსიკონი ძალიან სასარგებლოა.
聪明	ჭკვიანი	ეს ბავშვი ძალიან ჭკვიანია.
打扫	დასუფთავება; დაგვა	შაბათ-კვირას ოთახს ვასუფთავებ.
打算	გეგმა; დაგეგმვა	ხვალისთვის რა გეგმა გაქვს?
带	მოტანა; თან წამოღება	გთხოვ, პასპორტი მოიტანე.
担心	ნერვიულობა; წუხილი	ნუ ნერვიულობ, დაგეხმარები.
蛋糕	ტორტი	ეს ტორტი ძალიან ტკბილია.
当然	რა თქმა უნდა	რა თქმა უნდა, შეიძლება.
地	ზმნიზედური ნაწილაკი	მან გახარებულმა გაიღიმა.
灯	ნათურა; სინათლე	გთხოვ, სინათლე აანთე.
地方	ადგილი; მხარე	ეს ადგილი ძალიან წყნარია.
地铁	მეტრო	ყოველდღე სამსახურში მეტროთი მივდივარ.
地图	რუკა	რუკაზე სკოლას ვეძებ.
电梯	ლიფტი	ლიფტი მარცხნივაა.
电子邮件	ელექტრონული ფოსტა	მასწავლებელს ელექტრონულ ფოსტას ვუგზავნი.
东	აღმოსავლეთი	მზე აღმოსავლეთიდან ამოდის.
冬	ზამთარი	ზამთარში ცხელი ჩაის დალევა მიყვარს.
动物	ცხოველი	პანდა ჩინეთში ცნობილი ცხოველია.
短	მოკლე	ეს შარვალი ძალიან მოკლეა.
段	აბზაცი; ნაწილი	გთხოვ, ეს აბზაცი წაიკითხე.
锻炼	ვარჯიში; გაწვრთნა	ყოველ დილით ვვარჯიშობ.
多么	როგორი; რამდენად	აქაური გარემო როგორი კარგია!
饿	შიმშილი; მშიერი	მშია და პურის ჭამა მინდა.
耳朵	ყური	ყური ცოტა მტკივა.
发	გაგზავნა; გამოშვება	საღამოს ელექტრონულ ფოსტას ვაგზავნი.
发烧	სიცხის ქონა	მას სიცხე აქვს და სკოლაში ვერ მიდის.
发现	პოვნა; აღმოჩენა	აღმოვაჩინე, რომ ეს მეთოდი კარგია.
方便	მოსახერხებელი	მეტროთი მგზავრობა ძალიან მოსახერხებელია.
放	დადება; გაშვება	გთხოვ, წიგნი მაგიდაზე დადე.
放心	დამშვიდება; აღარ ნერვიულობა	დამშვიდდი, დროზე მივალ.
分	გაყოფა; განაწილება	გთხოვ, ტორტი ყველას გაუყავი.
复习	გამეორება	გამოცდის წინ გაკვეთილები უნდა გავიმეორო.
附近	ახლოს; ახლომახლო	ახლომახლო ერთი რესტორანია.
干净	სუფთა	ეს ოთახი ძალიან სუფთაა.
感冒	გაციება	გაციებული ვარ და დასვენება მინდა.
感兴趣	დაინტერესება	ჩინური ენით ძალიან ვარ დაინტერესებული.
刚才	ახლახან	ახლახან ვინ დაგირეკა?
个子	სიმაღლე; აღნაგობა	ის მაღალია.
根据	მიხედვით; საფუძველზე	რუკის მიხედვით, სკოლა აღმოსავლეთითაა.
跟	ერთად; მიყოლა	მეგობართან ერთად პარკში მივდივარ.
更	უფრო; კიდევ უფრო	დღეს გუშინდელზე უფრო ცივა.
公斤	კილოგრამი	ეს ვაშლები ერთი კილოგრამია.
公园	პარკი	ბავშვები პარკში თამაშობენ.
故事	მოთხრობა; ამბავი	ბაბუა ამბავს მიყვება.
刮风	ქარის ქროლა	დღეს ქარია, ველოსიპედით ნუ წახვალ.
关	დახურვა; გამორთვა	გთხოვ, კარი დახურე.
关系	ურთიერთობა; კავშირი	ჩემსა და კოლეგას შორის ურთიერთობა კარგია.
关心	ზრუნვა; ყურადღების მიქცევა	დედა ჩემს ჯანმრთელობაზე ძალიან ზრუნავს.
关于	შესახებ	ეს წიგნი ჩინურ კულტურაზეა.
国家	ქვეყანა; სახელმწიფო	ჩინეთი ძალიან დიდი ქვეყანაა.
过	გამოცდილების ნაწილაკი; ადრე გაკეთება	პეკინში ნამყოფი ვარ.
过去	წარსული; ადრე	ადრე აქ მეტრო არ იყო.
还是	ან; თუ	ჩაის სვამ თუ ყავას?
害怕	შიში	გამოცდის არ მეშინია.
黑板	დაფა	მასწავლებელი დაფაზე იეროგლიფებს წერს.
后来	შემდეგ; მოგვიანებით	შემდეგ პარკში წავედით.
护照	პასპორტი	გთხოვ, პასპორტი მოიტანე.
96:花	ხარჯვა; ღირებულება	ტელეფონის ყიდვა ორი ათასი იუანი დაჯდა.
97:花	ყვავილი	მაგიდაზე ერთი ყვავილია.
画	ხატვა; სურათი	ჩემს უმცროს დას პანდების ხატვა უყვარს.
坏	ცუდი; გაფუჭებული	ჩემი კომპიუტერი გაფუჭდა.
欢迎	კეთილი იყოს; მიღება	კეთილი იყოს შენი მობრძანება ჩემს სახლში.
环境	გარემო; პირობები	ამ სკოლის გარემო ძალიან კარგია.
还	დაბრუნება; უკან მიცემა	გთხოვ, ჩემი წიგნი ხვალ დამიბრუნე.
换	შეცვლა; გაცვლა	პერანგის შეცვლა მინდა.
黄河	ხუანხე	ხუანხე ძალიან გრძელია.
回答	პასუხის გაცემა; პასუხი	გთხოვ, ჩემს კითხვას უპასუხე.
会议	შეხვედრა; კონფერენცია	შეხვედრა ცხრა საათზე იწყება.
或者	ან; შესაძლოა	მეტროთი ან ავტობუსით შეგიძლია წახვიდე.
几乎	თითქმის	ის თითქმის ყოველდღე ვარჯიშობს.
机会	შესაძლებლობა; შანსი	ეს კარგი შესაძლებლობაა.
极	ძალიან; უაღრესად	ის უაღრესად ბედნიერია.
季节	სეზონი; დრო	შემოდგომა ჩემი საყვარელი სეზონია.
记得	დამახსოვრება	გახსოვს საკრედიტო ბარათის მოტანა?
检查	შემოწმება; გამოკვლევა	ექიმი მამოწმებს.
简单	მარტივი	ეს წინადადება ძალიან მარტივია.
健康	ჯანმრთელობა; ჯანმრთელი	ვარჯიში ჯანმრთელობისთვის კარგია.
见面	შეხვედრა	ხვალ სკოლაში შევხვდებით.
讲	ლაპარაკი; ახსნა	მასწავლებელი ძალიან გასაგებად ხსნის.
教	სწავლება	ის ჩინური იეროგლიფების წერას მასწავლის.
脚	ფეხი	ფეხი ცოტა მტკივა.
角	კუთხე	მაღაზია ქუჩის კუთხეშია.
接	დახვედრა; მიღება	მეგობრის დასახვედრად აეროპორტში მივდივარ.
街道	ქუჩა	ეს ქუჩა ძალიან სუფთაა.
结婚	დაქორწინება	ისინი მომავალ წელს დაქორწინდებიან.
结束	დასრულება	შეჯიბრი უკვე დასრულდა.
节目	პროგრამა; გადაცემა	ეს სატელევიზიო გადაცემა ძალიან კარგია.
节日	დღესასწაული	გაზაფხულის დღესასწაული მნიშვნელოვანი ჩინური დღესასწაულია.
解决	გადაჭრა; გადაწყვეტა	ეს პრობლემა უკვე გადაწყვეტილია.
借	სესხება; თხოვება	შენი ლექსიკონის თხოვება მინდა.
经常	ხშირად	ხშირად ბიბლიოთეკაში დავდივარ.
经过	გავლა; პროცესის გავლა	ყოველდღე ამ პარკს ჩავუვლი.
经理	მენეჯერი; უფროსი	მენეჯერი შეხვედრაზეა.
久	დიდი ხანი	აქ დიდი ხანია ვცხოვრობ.
旧	ძველი; ნახმარი	ეს ტანსაცმელი ძალიან ძველია.
句子	წინადადება	გთხოვ, ერთი წინადადება დაწერე.
决定	გადაწყვეტა; გადაწყვეტილება	ჩინურის სწავლა გადავწყვიტე.
可爱	საყვარელი; მომხიბვლელი	ეს კატა ძალიან საყვარელია.
渴	წყურვილი; მწყურვალი	მწყურია და წყლის დალევა მინდა.
刻	თხუთმეტი წუთი; წამი	რვას თხუთმეტი წუთი გადასცდა.
客人	სტუმარი; კლიენტი	დღეს ჩვენს სახლში სტუმარი მოვიდა.
空调	კონდიციონერი	გთხოვ, კონდიციონერი ჩართე.
口	პირი; სათვლელი სიტყვა	მან ერთი ყლუპი წყალი დალია.
哭	ტირილი	ბავშვი რატომ ტირის?
裤子	შარვალი	ეს შარვალი ახალია.
筷子	ჩხირები; საჭმელი ჩხირები	ჩხირებით ჭამა შემიძლია.
蓝	ლურჯი	ცა ლურჯია.
老	მოხუცი; ძველი	ჩემი მასწავლებელი მოხუცი არ არის.
离开	წასვლა; დატოვება	ის ხვალ პეკინიდან მიდის.
礼物	საჩუქარი	ეს შენთვის საჩუქარია.
历史	ისტორია	ჩინეთის ისტორია მომწონს.
脸	სახე	მისი სახე ძალიან წითელია.
练习	ვარჯიში; პრაქტიკა	გთხოვ, ჩინურად ლაპარაკი მეტი ივარჯიშე.
辆	სატრანსპორტო საშუალებების სათვლელი სიტყვა	კართან ერთი ტაქსია.
聊天	საუბარი; ჭორაობა	მეგობარს ვესაუბრები.
了解	გაგება; გაცნობა	ჩინური კულტურის გაგება მინდა.
邻居	მეზობელი	ჩემი მეზობელი ძალიან თბილი ადამიანია.
留学	საზღვარგარეთ სწავლა	ის ჩინეთში სწავლობს.
楼	შენობა; სართული	ოფისი მესამე სართულზეა.
绿	მწვანე	გაზაფხულზე ხეები მწვანდება.
马	ცხენი	ის ცხენი ძალიან სწრაფად დარბის.
马上	მაშინვე; ახლავე	მაშინვე დავბრუნდები.
满意	კმაყოფილი	ამ ოთახით ძალიან კმაყოფილი ვარ.
帽子	ქუდი	ეს ქუდი ძალიან ლამაზია.
米	მეტრი; ბრინჯი	ეს მაგიდა ორი მეტრი სიგრძისაა.
面包	პური	საუზმეზე პურს ვჭამ.
明白	გაგება; ნათელი	მესმის, რას გულისხმობ.
拿	აღება; დაჭერა	გთხოვ, ერთი წიგნი მომიტანე.
奶奶	ბებია	ბებიას მუსიკის მოსმენა უყვარს.
南	სამხრეთი	სკოლა ქალაქის სამხრეთშია.
难	რთული	ეს კითხვა რთული არ არის.
难过	მოწყენა; დამწუხრება	ის დღეს ცოტა მოწყენილია.
年级	კლასი; საფეხური	ჩემი უმცროსი და მესამე კლასშია.
年轻	ახალგაზრდა	ეს მენეჯერი ძალიან ახალგაზრდაა.
鸟	ჩიტი	ხეზე ერთი ჩიტია.
努力	ცდა; შრომა	ის ძალიან გულმოდგინედ სწავლობს.
爬山	მთაზე ასვლა; ლაშქრობა	ამ შაბათ-კვირას მთაზე ავდივართ.
盘子	თეფში; ლანგარი	მაგიდაზე სამი თეფშია.
胖	მსუქანი; სრული	ეს ძაღლი ცოტა მსუქანია.
啤酒	ლუდი	მამა ლუდს არ სვამს.
皮鞋	ტყავის ფეხსაცმელი	ეს ტყავის ფეხსაცმელი ძვირია.
瓶子	ბოთლი	ბოთლში წყალია.
其实	სინამდვილეში	სინამდვილეში ლუდი არ მიყვარს.
其他	სხვა; სხვები	სხვა თანაკლასელები ყველა მოვიდნენ.
奇怪	უცნაური	ეს ხმა ძალიან უცნაურია.
骑	ტარება; მგზავრობა	ის ყოველდღე სამსახურში ველოსიპედით მიდის.
起飞	აფრენა	თვითმფრინავი მალე აფრინდება.
起来	ადგომა; ზემოთ მოძრაობა	გთხოვ, ადექი.
清楚	ნათელი; გასაგები	ძალიან გასაგებად ილაპარაკე.
请假	დათხოვნის თხოვნა	ის გაციებულია და დათხოვნა უნდა ითხოვოს.
秋	შემოდგომა	შემოდგომაზე ამინდი სასიამოვნოა.
裙子	ქვედაკაბა	ეს ქვედაკაბა ძალიან ლამაზია.
然后	შემდეგ	ჯერ ვჭამ და შემდეგ საშინაო დავალებას ვაკეთებ.
热情	გულთბილი; ენთუზიაზმით სავსე	ჩინელი მეგობრები ძალიან გულთბილები არიან.
认为	ფიქრი; მიჩნევა	ვფიქრობ, ეს მეთოდი კარგია.
认真	სერიოზული; ყურადღებიანი	გთხოვ, მასწავლებელს ყურადღებით მოუსმინე.
容易	ადვილი	ეს ჩინური იეროგლიფი ადვილი დასაწერია.
如果	თუ	თუ იწვიმებს, მეტროთი წავალთ.
伞	ქოლგა	წვიმს, გთხოვ, ქოლგა აიღე.
上网	ინტერნეტში შესვლა	საღამოს რუკის სანახავად ინტერნეტში შევდივარ.
声音	ხმა	შენი ხმა სასიამოვნოდ ისმის.
生气	გაბრაზება	ნუ გაბრაზდები, ეს განზრახ არ გამიკეთებია.
世界	მსოფლიო	მსოფლიო ძალიან დიდია.
试	ცდა; მოსინჯვა	ამ ტყავის ფეხსაცმლის მოსინჯვა მინდა.
瘦	გამხდარი	ის ადრინდელზე უფრო გამხდარია.
叔叔	ბიძა	ბიძას სკოლაში მანქანით მივყავარ.
舒服	კომფორტული; კარგად ყოფნა	ეს სკამი კომფორტულია.
数学	მათემატიკა	მათემატიკის გაკვეთილი საინტერესოა.
树	ხე	სახლის წინ ერთი ხეა.
刷牙	კბილების გახეხვა	ყოველ დილით კბილებს ვიხეხავ.
双	წყვილი	ერთი წყვილი ტყავის ფეხსაცმელი ვიყიდე.
水平	დონე	მისი ჩინურის დონე მაღალია.
司机	მძღოლი	მძღოლი კართან გველოდება.
太阳	მზე	დღეს მზე ძლიერია.
特别	განსაკუთრებით; განსაკუთრებული	ეს პროგრამა განსაკუთრებით საინტერესოა.
疼	ტკივილი	ფეხი მტკივა.
提高	ამაღლება; გაუმჯობესება	მეტი ვარჯიში ჩინურის დონეს გააუმჯობესებს.
体育	სპორტი; ფიზკულტურა	ფიზკულტურის გაკვეთილი მომწონს.
甜	ტკბილი	ეს სასმელი ძალიან ტკბილია.
条	ზოლი; სათვლელი სიტყვა	ერთი ქვედაკაბა ვიყიდე.
同事	კოლეგა	ჩემი კოლეგა ძალიან დაკავებულია.
同意	თანხმობა	შენს გადაწყვეტილებას ვეთანხმები.
头发	თმა	მისი თმა გრძელია.
突然	უეცარი; უცებ	ის უცებ წავიდა.
图书馆	ბიბლიოთეკა	ბიბლიოთეკა დღეს ღია არ არის.
腿	ფეხი	მთაზე ასვლის შემდეგ ფეხები მტკივა.
完成	დასრულება	საშინაო დავალება უკვე დავასრულე.
碗	თასი; ჯამი	მაგიდაზე ორი თასია.
万	ათი ათასი	ამ ქალაქში ათი ათასი ადამიანი ცხოვრობს.
忘记	დავიწყება	პასპორტის მოტანა არ დაგავიწყდეს.
为	გამო; -თვის	შენ გამო მიხარია.
为了	მიზნით; -თვის	გამოცდისთვის ის ყოველდღე იმეორებს.
位	ადამიანებისთვის თავაზიანი სათვლელი სიტყვა	ეს მასწავლებელი ძალიან ცნობილია.
文化	კულტურა	ჩინური კულტურის გაგება მინდა.
西	დასავლეთი	ბანკი სკოლის დასავლეთითაა.
习惯	ჩვევა; შეჩვევა	დილით ვარჯიშს შევეჩვიე.
洗手间	ტუალეტი; საპირფარეშო	საპირფარეშო მარჯვნივაა.
洗澡	ბანაობა; შხაპის მიღება	საღამოს შხაპს ვიღებ.
夏	ზაფხული	ზაფხული ძალიან ცხელია.
先	ჯერ; პირველად	ჯერ შენ ჭამე.
相信	რწმენა; დაჯერება	მჯერა, რომ ის მოვა.
香蕉	ბანანი	სამი ბანანი ვიყიდე.
像	მსგავსება	ეს ღრუბელი ჩიტს ჰგავს.
向	მიმართულება; -კენ	გთხოვ, მარცხნივ წადი.
小心	სიფრთხილე	წვიმს, გზაზე ფრთხილად იყავი.
校长	დირექტორი	დირექტორი ოფისშია.
新闻	ახალი ამბები	მამა ყოველდღე ახალ ამბებს უყურებს.
新鲜	ახალი; ქორფა	ეს ხილი ძალიან ქორფაა.
信用卡	საკრედიტო ბარათი	საკრედიტო ბარათით გადახდა შეიძლება?
行李箱	ჩემოდანი	ჩემი ჩემოდანი მძიმეა.
熊猫	პანდა	ბავშვებს პანდების ყურება უყვართ.
需要	საჭიროება; საჭირო ყოფნა	შენი დახმარება მჭირდება.
选择	არჩევა; არჩევანი	რომელ პერანგს ირჩევ?
要求	მოთხოვნა	მასწავლებელი გვთხოვს, საშინაო დავალება ყურადღებით გავაკეთოთ.
爷爷	ბაბუა	ბაბუა ყოველდღე პარკში დადის.
一直	ყოველთვის; უწყვეტად	ის დიდი ხანია გელოდება.
一定	აუცილებლად; ნამდვილად	აუცილებლად მოვალ.
一共	სულ; მთლიანად	ეს წიგნები სულ რამდენი ღირს?
一会儿	ცოტა ხანი	გთხოვ, ცოტა ხანი დამელოდე.
一样	ერთნაირი	ეს ორი ჭიქა ერთნაირი ზომისაა.
以前	ადრე; უწინ	ადრე პეკინში ვცხოვრობდი.
一般	ჩვეულებრივი; საშუალო	ამ რესტორნის საჭმელი საშუალოა.
一边	ერთი მხარე; ერთდროულად	ის მუსიკას უსმენს და თან საშინაო დავალებას აკეთებს.
音乐	მუსიკა	ჩინური მუსიკა მომწონს.
银行	ბანკი	ბანკი დიდი მაღაზიის გვერდითაა.
饮料	სასმელი	ამ სასმელს კარგი გემო აქვს.
应该	უნდა; საჭიროა	უფრო მეტი უნდა დაისვენო.
影响	გავლენა; გავლენის მოხდენა	ამინდი შეჯიბრზე გავლენას მოახდენს.
用	გამოყენება	საშინაო დავალებისთვის კომპიუტერს ვიყენებ.
游戏	თამაში	ბავშვები თამაშობენ.
有名	ცნობილი	ეს რესტორანი ძალიან ცნობილია.
又	ისევ; კიდევ	ის დღეს ისევ დააგვიანა.
遇到	შეხვედრა; გადაყრა	ქუჩაში მასწავლებელს შევხვდი.
元	იუანი; ფულის ერთეული	ეს ლექსიკონი ორმოცდაათი იუანი ღირს.
愿意	სურვილი; მზად ყოფნა	მონაწილეობა გსურთ?
月亮	მთვარე	დღეს ღამით მთვარე კაშკაშაა.
越	რაც უფრო... მით უფრო...	რაც უფრო მეტს ვსწავლობ ჩინურს, მით უფრო საინტერესო ხდება.
站	სადგური; დგომა	ის კართან დგას.
张	ბრტყელი საგნების სათვლელი სიტყვა	გთხოვ, ერთი რუკა მომეცი.
长	ზრდა	ბავშვები სწრაფად იზრდებიან.
着急	ნერვიულობა; ჩქარობა	ნუ ნერვიულობ, ლიფტი მალე მოვა.
照顾	მოვლა; ზრუნვა	ის ავადმყოფ ბებიას უვლის.
照片	ფოტო; სურათი	ეს ფოტო კარგად გამოიყურება.
照相机	ფოტოაპარატი	ფოტოაპარატით ფოტოებს ვიღებ.
283:只	მხოლოდ; მარტო	მხოლოდ ერთ ჭიქა ჩაის ვსვამ.
284:只	ცხოველებისთვის სათვლელი სიტყვა	მაგიდის ქვეშ ერთი კატაა.
只有…才…	მხოლოდ თუ... მაშინ...	მხოლოდ ყურადღებით გამეორებით შეძლებ გამოცდაზე კარგ შედეგს.
中间	შუა; შორის	მაგიდა ოთახის შუაშია.
中文	ჩინური ენა; ჩინური დამწერლობა	ყოველდღე ჩინურს ვსწავლობ.
终于	ბოლოს; როგორც იქნა	როგორც იქნა მივედით.
种	სახეობა; ტიპი	რომელი სახის სასმელი მოგწონს?
重要	მნიშვნელოვანი	პასპორტი ძალიან მნიშვნელოვანია.
周末	შაბათ-კვირა	შაბათ-კვირას პარკში წასვლა მინდა.
主要	მთავარი; ძირითადი	მისი მთავარი ჰობი მუსიკაა.
注意	ყურადღების მიქცევა	გთხოვ, მასწავლებელს ყურადღება მიაქციე.
自己	თვითონ; საკუთარი თავი	საშინაო დავალების გაკეთება თვითონ მინდა.
自行车	ველოსიპედი	ჩემი ველოსიპედი ქვემოთაა.
总是	ყოველთვის	ის ყოველთვის ოფისში ადრე მიდის.
嘴	პირი	გთხოვ, პირი გააღე.
最后	ბოლო; ბოლოს	ბოლოს ყველა დავთანხმდით.
最近	ბოლო დროს; ახლახან	ბოლო დროს დაკავებული ვარ.
作业	საშინაო დავალება; სამუშაო	საშინაო დავალება ჯერ არ დამიმთავრებია.
