source_headword	TH	example_TH
perfectly	อย่างสมบูรณ์	แผนได้ผลอย่างสมบูรณ์.
performance	การแสดง	การแสดงของเธอยอดเยี่ยม.
personally	โดยส่วนตัว	โดยส่วนตัวฉันชอบชามากกว่า.
persuade	โน้มน้าว	คุณโน้มน้าวเขาให้เข้าร่วมได้ไหม.
photographer	ช่างภาพ	ช่างภาพถ่ายรูปหลายภาพ.
photography	การถ่ายภาพ	การถ่ายภาพเป็นงานอดิเรกที่เขาชอบ.
pin	หมุด	ปักหมุดบนแผนที่.
pipe	ท่อ	ท่อนั้นส่งน้ำ.
planning	การวางแผน	การวางแผนใช้เวลา.
pleasant	น่าพอใจ	เรามีค่ำคืนที่น่าพอใจ.
pleasure	ความยินดี	เป็นความยินดีที่ได้พบคุณ.
plenty	มากมาย	เรามีเวลามากมาย.
plot	โครงเรื่อง	โครงเรื่องติดตามได้ง่าย.
plus1	บวก	สองบวกสามเท่ากับห้า.
poem	บทกวี	เธอเขียนบทกวีสั้นๆ.
poet	กวี	กวีอ่านออกเสียง.
poetry	บทกวี	เขาชอบบทกวีสมัยใหม่.
poison	พิษ	เก็บพิษให้ห่างจากเด็ก.
poisonous	มีพิษ	เห็ดบางชนิดมีพิษ.
policy	นโยบาย	บริษัทเปลี่ยนนโยบาย.
political	ทางการเมือง	สุนทรพจน์นั้นเป็นทางการเมือง.
politician	นักการเมือง	นักการเมืองตอบคำถาม.
politics	การเมือง	การเมืองอาจซับซ้อน.
port	ท่าเรือ	เรือเข้าไปในท่าเรือ.
portrait	ภาพเหมือน	ภาพเหมือนแขวนอยู่ในห้องโถง.
possibly	อาจจะ	เธออาจจะมาสาย.
pot	หม้อ;กระถาง	ต้นไม้ต้องการกระถางที่ใหญ่กว่า.
pour	เท	เทนมช้าๆ.
poverty	ความยากจน	หลายครอบครัวอยู่ในความยากจน.
powder	ผง	เติมผงลงในน้ำ.
powerful	ทรงพลัง	เครื่องยนต์ทรงพลัง.
practical	ใช้ได้จริง	นี่เป็นทางออกที่ใช้ได้จริง.
pray	สวดมนต์	พวกเขาสวดมนต์ทุกเช้า.
prayer	คำสวด	เธอกล่าวคำสวดเบาๆ.
prediction	การทำนาย	การทำนายของเขาถูกต้อง.
prepared	เตรียมพร้อม	ฉันเตรียมพร้อมสำหรับการสอบ.
presentation	การนำเสนอ	การนำเสนอของเธอชัดเจน.
press	กด	กดปุ่มหนึ่งครั้ง.
pressure	ความกดดัน	ความกดดันกระทบสุขภาพได้.
pretend	แกล้งทำ	อย่าแกล้งทำเป็นหลับ.
previous	ก่อนหน้า	บทเรียนก่อนหน้าง่ายกว่า.
previously	ก่อนหน้านี้	ก่อนหน้านี้เราอาศัยอยู่ในโรม.
priest	นักบวช	นักบวชพูดอย่างนุ่มนวล.
primary	หลัก	สุขภาพเป็นความกังวลหลักของเรา.
prince	เจ้าชาย	เจ้าชายไปเยี่ยมโรงเรียน.
princess	เจ้าหญิง	เจ้าหญิงสวมชุดสีน้ำเงิน.
printing	การพิมพ์	การพิมพ์รายงานใช้เวลาหลายนาที.
prisoner	นักโทษ	นักโทษหลบหนีตอนกลางคืน.
private	ส่วนตัว	นี่เป็นการสนทนาส่วนตัว.
producer	ผู้ผลิต	ผู้ผลิตชอบภาพยนตร์.
production	การผลิต	การผลิตเริ่มสัปดาห์หน้า.
profession	อาชีพ	การสอนเป็นอาชีพที่ได้รับความเคารพ.
profit	กำไร	ร้านค้านั้นทำกำไร.
promote	ส่งเสริม	พวกเขาส่งเสริมการกินที่ดีต่อสุขภาพ.
proper	เหมาะสม	สวมรองเท้าที่เหมาะสมสำหรับเดินป่า.
properly	อย่างถูกต้อง	ปิดประตูอย่างถูกต้อง.
property	ทรัพย์สิน	พวกเขาซื้อทรัพย์สินใกล้แม่น้ำ.
protest	การประท้วง	การประท้วงจบลงอย่างสงบ.
proud	ภูมิใจ	เธอรู้สึกภูมิใจในลูกชาย.
prove	พิสูจน์	คุณพิสูจน์คำตอบของคุณได้ไหม.
punish	ลงโทษ	ครูไม่ได้ลงโทษเขา.
punishment	การลงโทษ	การลงโทษนั้นดูยุติธรรม.
qualification	คุณวุฒิ	คุณต้องมีคุณวุฒิสำหรับงานนี้.
qualified	มีคุณสมบัติ	เธอเป็นพยาบาลที่มีคุณสมบัติ.
qualify	มีคุณสมบัติ	ทีมของเราอาจมีคุณสมบัติ.
queue	คิว	เรารออยู่ในคิวยาว.
quit	เลิก	เขาตัดสินใจเลิกสูบบุหรี่.
quotation	คำอ้างอิง	เรียงความเริ่มด้วยคำอ้างอิง.
quote	อ้างคำพูด	ฉันอ้างคำพูดของคุณได้ไหม.
race (people)	เชื้อชาติ	แบบฟอร์มถามเรื่องเชื้อชาติ.
racing	การแข่ง	การแข่งม้าเป็นที่นิยมที่นั่น.
range	ช่วง;หลากหลาย	ร้านขายสินค้าหลากหลายมาก.
rare	หายาก	นกชนิดนี้หายาก.
rarely	ไม่ค่อย	เราไม่ค่อยกินข้าวนอกบ้าน.
reaction	ปฏิกิริยา	ปฏิกิริยาของเธอทำให้ฉันประหลาดใจ.
reality	ความเป็นจริง	ความเป็นจริงต่างจากความฝันของเขา.
receipt	ใบเสร็จ	เก็บใบเสร็จไว้.
recommendation	คำแนะนำ	ขอบคุณสำหรับคำแนะนำ.
reference	เอกสารอ้างอิง	เพิ่มเอกสารอ้างอิงไว้ท้ายสุด.
reflect	สะท้อน	กระจกสามารถสะท้อนแสง.
regularly	เป็นประจำ	เธอออกกำลังกายเป็นประจำ.
reject	ปฏิเสธ	พวกเขาอาจปฏิเสธข้อเสนอ.
relate	เชื่อมโยง	ฉันเชื่อมโยงกับเรื่องนั้นได้.
related	เกี่ยวข้อง	ปัญหาสองอย่างนั้นเกี่ยวข้องกัน.
relation	ความสัมพันธ์	มีความสัมพันธ์ระหว่างสิ่งเหล่านั้น.
relative	สัมพัทธ์	ความเร็วเป็นสิ่งสัมพัทธ์.
relaxed	ผ่อนคลาย	เขารู้สึกผ่อนคลายหลังอาหารเย็น.
relaxing	ผ่อนคลาย	ดนตรีผ่อนคลาย.
release	ปล่อย;ออกฉาย	พวกเขาจะออกฉายภาพยนตร์เร็วๆนี้.
reliable	เชื่อถือได้	รถบัสคันนี้มักเชื่อถือได้.
religion	ศาสนา	ศาสนาสำคัญต่อเธอ.
religious	ทางศาสนา	พวกเขาไปเยี่ยมอาคารทางศาสนา.
remain	ยังคงอยู่	กรุณายังคงสงบ.
remind	เตือน	เตือนฉันพรุ่งนี้.
remote	ห่างไกล	พวกเขาอยู่ในหมู่บ้านห่างไกล.
rent	ค่าเช่า	ค่าเช่าถึงกำหนดวันนี้.
repeated	ซ้ำๆ	ข้อผิดพลาดซ้ำๆทำให้งานช้าลง.
represent	เป็นตัวแทน	ดาวเป็นตัวแทนของความหวัง.
require	ต้องการ	งานนี้ต้องการการฝึกอบรม.
reservation	การจอง	ฉันทำการจองแล้ว.
resource	ทรัพยากร	ห้องสมุดเป็นทรัพยากรที่มีประโยชน์.
respect	เคารพ	เคารพเพื่อนร่วมชั้นของคุณ.
responsibility	ความรับผิดชอบ	การดูแลเด็กเป็นความรับผิดชอบใหญ่.
responsible	รับผิดชอบ	เธอรับผิดชอบเรื่องตั๋ว.
retire	เกษียณ	พ่อของฉันจะเกษียณเร็วๆนี้.
retired	เกษียณแล้ว	เขาเป็นครูที่เกษียณแล้ว.
revise	ทบทวน;แก้ไข	ทบทวนเรียงความของคุณคืนนี้.
risk	ความเสี่ยง	มีความเสี่ยงที่จะฝนตก.
robot	หุ่นยนต์	หุ่นยนต์ทำความสะอาดพื้น.
roll	กลิ้ง	กลิ้งลูกบอลมาหาฉัน.
romantic	โรแมนติก	พวกเขามีอาหารค่ำโรแมนติก.
rope	เชือก	ผูกเชือกให้แน่น.
rough	ขรุขระ	ถนนขรุขระ.
row1	แถว	นั่งแถวหน้า.
royal	ราชวงศ์	ราชวงศ์มาถึงแล้ว.
rugby	รักบี้	เราดูรักบี้ทางโทรทัศน์.
safety	ความปลอดภัย	ความปลอดภัยสำคัญในที่ทำงาน.
sailor	กะลาสี	กะลาสีซ่อมเรือ.
sample	ตัวอย่าง	พยาบาลเก็บตัวอย่างเลือด.
sand	ทราย	ทรายปกคลุมรองเท้าของฉัน.
scan	สแกน	สแกนเอกสารก่อน.
scientific	ทางวิทยาศาสตร์	นี่เป็นวิธีทางวิทยาศาสตร์.
script	บท	นักแสดงอ่านบท.
sculpture	ประติมากรรม	ประติมากรรมตั้งอยู่ข้างนอก.
secondary	รอง	นี่เป็นปัญหารอง.
security	ความปลอดภัย	เจ้าหน้าที่ความปลอดภัยตรวจกระเป๋าของเรา.
seed	เมล็ด	ปลูกเมล็ดในดิน.
sensible	สมเหตุสมผล	นั่นเป็นความคิดที่สมเหตุสมผล.
seriously	อย่างจริงจัง	รับปัญหานี้อย่างจริงจัง.
servant	คนรับใช้	คนรับใช้เปิดประตู.
set (put)	วาง	วางแก้วบนโต๊ะ.
set (group)	ชุด	ชุดนี้รวมถ้วยหกใบ.
setting	ฉาก;สภาพแวดล้อม	เรื่องราวมีฉากเป็นเมือง.
sex	เพศ	แบบฟอร์มถามอายุและเพศ.
sexual	ทางเพศ	ชั้นเรียนพูดคุยเรื่องสุขภาพทางเพศ.
sharp	คม	มีดนี้คม.
shelf	ชั้นวาง	วางหนังสือบนชั้นวาง.
shell	เปลือก	เปลือกนั้นว่างเปล่า.
shift	กะ	กะของฉันเริ่มตอนแปดโมง.
shine	ส่องแสง	ดาวส่องแสงตอนกลางคืน.
shiny	เป็นเงา	รองเท้าของเธอเป็นเงา.
shoot	ถ่าย	ช่างภาพจะถ่ายฉากนั้น.
shy	ขี้อาย	เขาขี้อายกับคนแปลกหน้า.
sight	ภาพ	ภูเขาเป็นภาพที่สวยงาม.
signal	สัญญาณ	สัญญาณอ่อน.
silent	เงียบ	ห้องเริ่มเงียบ.
silly	โง่เขลา	นั่นเป็นความผิดพลาดโง่ๆ.
similarity	ความคล้ายกัน	มีความคล้ายกันชัดเจน.
similarly	เช่นเดียวกัน	แผนที่สองทำงานเช่นเดียวกัน.
simply	เพียงแค่	เพียงแค่กดปุ่มนี้.
sink	จม	หินหนักจมเร็ว.
slice	ชิ้น	ฉันกินเค้กหนึ่งชิ้น.
slightly	เล็กน้อย	ห้องอุ่นขึ้นเล็กน้อย.
smart	ดูดี	เธอสวมเสื้อแจ็กเก็ตดูดี.
smooth	เรียบ	ถนนเรียบ.
software	ซอฟต์แวร์	ซอฟต์แวร์ต้องการการอัปเดต.
soil	ดิน	ดินแห้ง.
solid	แข็งแรง	กำแพงแข็งแรง.
southern	ทางใต้	พวกเขาอยู่บนชายฝั่งทางใต้.
specifically	โดยเฉพาะเจาะจง	ฉันขอชาโดยเฉพาะเจาะจง.
spending	การใช้จ่าย	การใช้จ่ายของรัฐบาลเพิ่มขึ้น.
spicy	เผ็ด	แกงนี้เผ็ด.
spirit	จิตวิญญาณ	ทีมแสดงจิตวิญญาณที่ยอดเยี่ยม.
spoken	พูด	ภาษาอังกฤษพูดดีขึ้นด้วยการฝึก.
spot	จุด	จุดนี้สมบูรณ์แบบ.
spread	ทา	ทาเนยบนขนมปัง.
stadium	สนามกีฬา	สนามกีฬาเต็ม.
staff	พนักงาน	พนักงานช่วยเหลือดี.
standard	มาตรฐาน	มาตรฐานสูง.
statistic	สถิติ	สถิตินี้น่าประหลาดใจ.
statue	รูปปั้น	รูปปั้นตั้งอยู่ในจัตุรัส.
stick (push into/attach)	ติด	ติดฉลากบนกล่อง.
stick (piece of wood)	กิ่งไม้	เขาหยิบกิ่งไม้ขึ้นมา.
