source_headword	NE	example_NE
my	मेरो	यो मेरो किताब हो।
name	नाम	आफ्नो नाम यहाँ लेख।
natural	प्राकृतिक	यो फलफूलको रस प्राकृतिक छ।
near	नजिक	बैंक यहाँ नजिक छ।
need	चाहिनु; आवश्यकता	मलाई कलम चाहिन्छ।
negative	नकारात्मक	यो उत्तर नकारात्मक छ।
neighbour	छिमेकी	मेरो छिमेकी मिलनसार छ।
never	कहिल्यै होइन	म कहिल्यै कफी पिउँदिन।
new	नयाँ	यो फोन नयाँ छ।
news	समाचार	आजको समाचार राम्रो छ।
newspaper	पत्रिका; अखबार	उनी अखबार पढ्छन्।
next	अर्को; पछिल्लो	अर्को बस ढिलो छ।
next to	छेउमा	मेरो छेउमा बस।
nice	राम्रो	यो कोठा राम्रो छ।
night	रात	म राति सुत्छु।
nine	नौ	यहाँ नौ विद्यार्थी छन्।
nineteen	उन्नाइस	उनी उन्नाइस वर्षकी छिन्।
ninety	नब्बे	हजुरबुबा नब्बे वर्षका हुनुहुन्छ।
no	होइन; छैन	होइन धन्यवाद।
no one	कोही पनि होइन	कोठामा कोही छैन।
nobody	कोही छैन	घरमा कोही छैन।
north	उत्तर	स्टेशन यहाँबाट उत्तरतिर छ।
nose	नाक	मेरो नाक चिसो छ।
not	न; होइन	म थाकेको छैन।
note	टिपोट; नोट	अहिले टिपोट लेख।
nothing	केही पनि छैन	बक्समा केही छैन।
November	नोभेम्बर महिना	मेरो कोर्स नोभेम्बरमा सुरु हुन्छ।
now	अहिले	अहिले यहाँ आऊ।
number	अङ्क; संख्या	अङ्क यहाँ लेख।
nurse	नर्स	नर्स दयालु छिन्।
object	वस्तु	वस्तु टेबलमा राख।
o’clock	बजे	कक्षा नौ बजे सुरु हुन्छ।
October	अक्टोबर महिना	हामी अक्टोबरमा यात्रा गर्छौँ।
of	को; का; की	यो चियाको कप हो।
off	बन्द	बत्ती बन्द गर।
office	कार्यालय	मेरो कार्यालय सानो छ।
often	प्रायः	म प्रायः स्कूलसम्म हिँड्छु।
oh	ओह	ओह म बुझें।
OK	ठीक छ	यो ठीक छ?
old	पुरानो; वृद्ध	यो घर पुरानो छ।
on	माथि; मा	किताब टेबलमा छ।
once	एक पटक	म हप्तामा एक पटक फोन गर्छु।
one	एक	मसँग एक दिदी छिन्।
onion	प्याज	एक प्याज काट।
online	अनलाइन	म अनलाइन पढ्छु।
only	मात्र	मसँग एउटा झोला मात्र छ।
open	खोल्नु; खुला	कृपया झ्याल खोल।
opinion	विचार	तिम्रो विचार के हो?
opposite	विपरीत; अगाडि	पसल बैंकको अगाडि छ।
or	वा	चिया वा कफी?
orange	सुन्तला; सुन्तला रङ	यो सुन्तला गुलियो छ।
order	अर्डर; आदेश	म सूप अर्डर गर्छु।
other	अर्को	अर्को ढोका प्रयोग गर।
our	हाम्रो	यो हाम्रो कक्षा हो।
out	बाहिर	खानापछि बाहिर जाऊ।
outside	बाहिर	बालबालिका बाहिर खेल्छन्।
over	माथि; पारि	हवाइजहाज सहरमाथि उड्छ।
own	आफ्नै	मसँग आफ्नै कोठा छ।
page	पृष्ठ	पृष्ठ दस खोल।
paint	रङ लगाउनु; चित्र बनाउनु	भित्तामा निलो रङ लगाऊ।
painting	चित्र	यो चित्र सुन्दर छ।
pair	जोडी	मलाई मोजाको एक जोडी चाहिन्छ।
paper	कागज	यो कागजमा लेख।
paragraph	अनुच्छेद	पहिलो अनुच्छेद पढ।
parent	अभिभावक; बाबुआमा	एक अभिभावक बाहिर पर्खनुहुन्छ।
park	पार्क; पार्क गर्नु	हामी स्टेशन नजिक पार्क गर्छौँ।
part	भाग	यो भाग सजिलो छ।
partner	साथी; साझेदार	साथीसँग काम गर।
party	भोज; पार्टी	पार्टी सात बजे सुरु हुन्छ।
passport	राहदानी	कृपया राहदानी देखाऊ।
past	बितेको; नाघेको	अहिले साढे छ बज्यो।
pay	तिर्नु	म कार्डले तिर्छु।
pen	कलम	यो कलम निलो छ।
pencil	पेन्सिल	म पेन्सिलले लेख्छु।
people	मानिसहरू	यहाँ धेरै मानिस छन्।
pepper	मरिच	सूपमा मरिच हाल।
perfect	पूर्ण; उत्तम	तिम्रो उत्तर उत्तम छ।
period	अवधि; कक्षा समय	यो कक्षा समय छोटो छ।
person	व्यक्ति	एक व्यक्ति पर्खिरहेको छ।
personal	व्यक्तिगत	यो मेरो व्यक्तिगत फोन हो।
phone	फोन	मेरो फोन झोलामा छ।
photo	फोटो	यहाँ फोटो खिच।
photograph	फोटो	यो फोटो पुरानो छ।
phrase	वाक्यांश	कृपया यो वाक्यांश फेरि भन।
piano	पियानो	उनी पियानो बजाउँछिन्।
picture	चित्र; तस्वीर	यो चित्र हेर।
piece	टुक्रा; भाग	केकको एक टुक्रा लेऊ।
pig	सुँगुर	सुँगुर खेतमा छ।
pink	गुलाबी	उनको झोला गुलाबी छ।
place	ठाउँ	यो ठाउँ शान्त छ।
plan	योजना	हामीलाई योजना चाहिन्छ।
plane	हवाइजहाज	हवाइजहाज ढिलो आयो।
plant	बिरुवा; रोप्नु	आज बिरुवामा पानी हाल।
play	खेल्नु	बालबालिका पार्कमा खेल्छन्।
player	खेलाडी	खेलाडी छिटो दौडन्छ।
please	कृपया	कृपया यहाँ बस।
point	बिन्दु; कुरा	यो बिन्दु महत्त्वपूर्ण छ।
police	प्रहरी	प्रहरी बाहिर छन्।
policeman	प्रहरी पुरुष	प्रहरी पुरुषले हामीलाई मद्दत गर्छन्।
pool	पोखरी; पौडी पोखरी	पौडी पोखरी चिसो छ।
poor	गरिब	गरिब बच्चा भोको छ।
popular	लोकप्रिय	यो गीत लोकप्रिय छ।
positive	सकारात्मक	यो सकारात्मक परिणाम हो।
possible	सम्भव	आज यो सम्भव छ?
post	पोस्ट; पत्र	म उनको अनलाइन पोस्ट पढ्छु।
potato	आलु	म एउटा आलु खान्छु।
pound	पाउन्ड	यसको मूल्य एक पाउन्ड छ।
practice	अभ्यास	अभ्यासले हरेक दिन मद्दत गर्छ।
practise	अभ्यास गर्नु	म हरेक दिन अंग्रेजी अभ्यास गर्छु।
prefer	बढी मन पराउनु	म चिया बढी मन पराउँछु।
prepare	तयार गर्नु	आज राति आफ्नो झोला तयार गर।
present	उपस्थित; उपहार	उनी आज उपस्थित छिन्।
pretty	सुन्दर; प्यारी	यो बगैँचा सुन्दर छ।
price	मूल्य	मूल्य कम छ।
probably	सम्भवतः	उनी सम्भवतः जान्छिन्।
problem	समस्या	यो समस्या सानो छ।
product	उत्पादन	यो उत्पादन नयाँ छ।
programme	कार्यक्रम	कार्यक्रम अहिले सुरु हुन्छ।
project	परियोजना	हाम्रो परियोजना तयार छ।
purple	बैजनी	यो कमिज बैजनी छ।
put	राख्नु	किताब यहाँ राख।
quarter	चौथाइ; पन्ध्र मिनेट	अहिले दुई बजेर पन्ध्र मिनेट भयो।
question	प्रश्न	एक प्रश्न सोध।
quick	छिटो	यो छिटो परीक्षण हो।
quickly	छिटो	कृपया छिटो हिँड।
quiet	शान्त	पुस्तकालय शान्त छ।
quite	अलि; निकै	यो कोठा अलि सानो छ।
radio	रेडियो	रेडियो ठूलो आवाजमा छ।
rain	वर्षा	अहिले वर्षा सुरु हुन्छ।
read	पढ्नु	यो वाक्य पढ।
reader	पाठक	पाठकलाई यो कथा मन पर्छ।
reading	पढाइ	पढाइले मलाई सिक्न मद्दत गर्छ।
ready	तयार	बेलुकाको खाना तयार छ।
real	साँचो; वास्तविक	यो वास्तविक समस्या हो।
really	साँच्चै	मलाई यो गीत साँच्चै मन पर्छ।
reason	कारण	मलाई कारण भन।
red	रातो	ढोका रातो छ।
relax	आराम गर्नु	कामपछि आराम गर।
remember	सम्झनु	आफ्नो राहदानी सम्झ।
repeat	दोहर्याउनु	कृपया वाक्य दोहर्याऊ।
report	रिपोर्ट; प्रतिवेदन	आज राति रिपोर्ट पढ।
restaurant	रेस्टुरेन्ट	रेस्टुरेन्टमा धेरै मानिस छन्।
result	नतिजा	नतिजा राम्रो छ।
return	फर्कनु; फिर्ता गर्नु	भोलि किताब फिर्ता गर।
rice	चामल; भात	म दिउँसो भात खान्छु।
rich	धनी	यो सहर धनी छ।
ride	चढ्नु	म साइकल चढ्छु।
right	सही; दायाँ	यहाँ दायाँ मोड।
river	नदी	नदी फराकिलो छ।
road	सडक	यो सडक लामो छ।
room	कोठा	मेरो कोठा सफा छ।
routine	दिनचर्या	मेरो बिहानको दिनचर्या सजिलो छ।
rule	नियम	नियम पढ।
run	दौडनु	ऊ पार्कमा दौडन्छ।
sad	दुःखी	बच्चा दुःखी छ।
salad	सलाद	म सलाद खान्छु।
salt	नुन	सूपमा नुन हाल।
same	उस्तै	हामी उस्तै कक्षा पढ्छौँ।
sandwich	स्यान्डविच	म स्यान्डविच खान्छु।
Saturday	शनिबार	हामी शनिबार भेट्छौँ।
say	भन्नु	कृपया नाम भन।
school	स्कूल	स्कूल आठ बजे सुरु हुन्छ।
science	विज्ञान	म विज्ञान पढ्छु।
scientist	वैज्ञानिक	वैज्ञानिकले प्रयोग गर्छन्।
sea	समुद्र	समुद्र निलो छ।
second1 (unit of time)	सेकेन्ड	एक सेकेन्ड पर्ख।
section	खण्ड	यो खण्ड पढ।
see	देख्नु	म पहाड देख्छु।
sell	बेच्नु	उनी फलफूल बेच्छिन्।
send	पठाउनु	म सन्देश पठाउँछु।
sentence	वाक्य	यो वाक्य छोटो छ।
September	सेप्टेम्बर महिना	कक्षा सेप्टेम्बरमा सुरु हुन्छ।
seven	सात	मसँग सात कलम छन्।
seventeen	सत्र	उनी सत्र वर्षका छन्।
seventy	सत्तरी	मेरो हजुरआमा सत्तरी वर्षकी हुनुहुन्छ।
share	साझा गर्नु	कृपया खाना साझा गर।
she	उनी	उनी मेरी बहिनी हुन्।
sheep	भेडा	भेडा खेतमा छ।
shirt	कमिज	यो कमिज सेतो छ।
shoe	जुत्ता	मेरो जुत्ता नयाँ छ।
shop	पसल; किनमेल गर्नु	पसल अहिले खुला छ।
shopping	किनमेल	हामी आज किनमेल गर्छौँ।
short	छोटो	यो कथा छोटो छ।
should modal	गर्नुपर्छ	तिमी अब जानुपर्छ।
show	देखाउनु	कृपया टिकट देखाऊ।
shower	नुहाउने ठाउँ; शावर	शावर तातो छ।
sick	बिरामी	म आज बिरामी छु।
similar	मिल्दोजुल्दो	यी दुई चित्र मिल्दोजुल्दा छन्।
sing	गाउनु	उनी राम्रो गाउँछिन्।
singer	गायक; गायिका	गायक मञ्चमा छ।
sister	बहिनी; दिदी	मेरी बहिनी स्कूलमा छिन्।
sit	बस्नु	कृपया यहाँ बस।
situation	स्थिति	स्थिति राम्रो छ।
six	छ	छ विद्यार्थी आए।
sixteen	सोह्र	ऊ सोह्र वर्षको छ।
sixty	साठी	साठी मानिस यहाँ छन्।
skill	सीप	यो सीप उपयोगी छ।
skirt	स्कर्ट	उनको स्कर्ट निलो छ।
sleep	सुत्नु	बच्चा राति सुत्छ।
slow	ढिलो	बस ढिलो छ।
small	सानो	यो झोला सानो छ।
snake	सर्प	सर्प घाँसमा छ।
snow	हिउँ	आज हिउँ पर्छ।
so	त्यसैले; यति	म थाकेको छु त्यसैले बस्छु।
some	केही	मलाई केही पानी देऊ।
somebody	कोही	कोही ढोकामा छ।
someone	कोही	कोही मलाई फोन गर्छ।
something	केही	मलाई केही चाहिन्छ।
sometimes	कहिलेकाहीँ	म कहिलेकाहीँ बस चढ्छु।
son	छोरा	उनको छोरा सानो छ।
song	गीत	यो गीत सुन्दर छ।
soon	चाँडै	हामी चाँडै सुरु गर्छौँ।
sorry	माफ गर	माफ गर म ढिलो आएँ।
sound	आवाज	आवाज ठूलो छ।
soup	सूप	सूप तातो छ।
south	दक्षिण	पार्क दक्षिणतिर छ।
space	ठाउँ; अन्तरिक्ष	यो कोठामा ठाउँ छ।
speak	बोल्नु	कृपया बिस्तारै बोल।
special	विशेष	आज विशेष दिन हो।
spell	हिज्जे गर्नु	आफ्नो नामको हिज्जे गर।
spelling	हिज्जे	हिज्जे सही छ।
spend	खर्च गर्नु; बिताउनु	म पाँच पाउन्ड खर्च गर्छु।
sport	खेलकुद	मलाई खेलकुद मन पर्छ।
spring	वसन्त	वसन्तमा फूल फुल्छ।
stand	उभिनु	कृपया यहाँ उभ।
star	तारा	आकाशमा तारा छ।
start	सुरु गर्नु	कक्षा अहिले सुरु हुन्छ।
statement	भनाइ; वक्तव्य	यो भनाइ छोटो छ।
station	स्टेशन	स्टेशन नजिक छ।
stay	बस्नु; रहनु	आज राति यहाँ बस।
still	अझै	उनी अझै घरमा छिन्।
stop	रोक्नु; रोकिनु	बस यहाँ रोकिन्छ।
story	कथा	कथा रमाइलो छ।
street	सडक	सडक व्यस्त छ।
strong	बलियो	उनी बलियो छन्।
student	विद्यार्थी	विद्यार्थी किताब पढ्छ।
study	अध्ययन; पढ्नु	म राति पढ्छु।
style	शैली	मलाई यो शैली मन पर्छ।
subject	विषय	मेरो मनपर्ने विषय विज्ञान हो।
success	सफलता	सफलता महत्त्वपूर्ण छ।
sugar	चिनी	चियामा चिनी हाल।
summer	गर्मी; ग्रीष्म	गर्मीमा दिन लामो हुन्छ।
sun	घाम; सूर्य	घाम चम्किन्छ।
Sunday	आइतबार	हामी आइतबार आराम गर्छौँ।
supermarket	सुपरमार्केट	सुपरमार्केट ठूलो छ।
sure	पक्का	म पक्का छु।
sweater	स्वेटर	यो स्वेटर न्यानो छ।
swim	पौडी खेल्नु	म पोखरीमा पौडी खेल्छु।
swimming	पौडी	पौडी राम्रो अभ्यास हो।
table	टेबल; मेज	साँचो टेबलमा छन्।
