simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
好玩儿	fajny; zabawny	Ta gra jest fajna.	leuk; vermakelijk	Dit spel is leuk.	rolig; underhållande	Det här spelet är roligt.	morsom; gøy	Dette spillet er morsomt.	sjov; underholdende	Dette spil er sjovt.	hauska	Tämä peli on hauska.
后	tył; po; za	Za szkołą jest park.	achter; na	Achter de school is een park.	bakom; efter	Bakom skolan finns en park.	bak; etter	Bak skolen er det en park.	bag; efter	Bag skolen er der en park.	takana; jälkeen	Koulun takana on puisto.
火车	pociąg	Jadę pociągiem do Pekinu.	de trein	Ik neem de trein naar Peking.	tåg	Jag tar tåget till Peking.	tog	Jeg tar toget til Beijing.	tog	Jeg tager toget til Beijing.	juna	Menen junalla Pekingiin.
家人	rodzina; członek rodziny	Cała moja rodzina jest w Pekinie.	de familie; het familielid	Mijn hele familie is in Peking.	familj; familjemedlem	Hela min familj är i Peking.	familie; familiemedlem	Hele familien min er i Beijing.	familie; familiemedlem	Hele min familie er i Beijing.	perhe; perheenjäsen	Koko perheeni on Pekingissä.
见	widzieć; spotkać	Jutro spotkam nauczyciela.	zien; ontmoeten	Ik ontmoet morgen de leraar.	se; träffa	Jag träffar läraren i morgon.	se; møte	Jeg skal møte læreren i morgen.	se; møde	Jeg møder læreren i morgen.	nähdä; tavata	Tapaan opettajan huomenna.
今年	w tym roku	W tym roku uczę się chińskiego.	dit jaar	Dit jaar studeer ik Chinees.	i år	I år studerar jag kinesiska.	i år	I år lærer jeg kinesisk.	i år	I år lærer jeg kinesisk.	tänä vuonna	Tänä vuonna opiskelen kiinaa.
开车	prowadzić samochód	Tata codziennie jeździ samochodem do pracy.	autorijden	Vader rijdt elke dag met de auto naar het werk.	köra bil	Pappa kör bil till jobbet varje dag.	kjøre bil	Pappa kjører til jobb hver dag.	køre bil	Far kører på arbejde hver dag.	ajaa autoa	Isä ajaa joka päivä töihin.
看病	iść do lekarza	Jutro pójdę do szpitala do lekarza.	naar de dokter gaan	Ik ga morgen naar het ziekenhuis om een dokter te zien.	gå till läkaren	Jag ska till sjukhuset och träffa en läkare i morgon.	gå til legen	Jeg skal til sykehuset for å gå til legen i morgen.	gå til lægen	Jeg tager på hospitalet for at se en læge i morgen.	mennä lääkäriin	Menen huomenna sairaalaan lääkäriin.
没事	nic się nie stało; wszystko dobrze	Ze mną wszystko dobrze, nie martw się.	het is niets; het gaat goed	Het gaat goed met mij, maak je geen zorgen.	det är inget; må bra	Jag mår bra, oroa dig inte.	det går bra; være i orden	Det går bra med meg, ikke bekymre deg.	det er ingenting; have det fint	Jeg har det fint, bare rolig.	ei mitään; olla kunnossa	Olen kunnossa, älä huoli.
没有	nie mieć; nie ma	Nie mam telefonu.	niet hebben; er is niet	Ik heb geen telefoon.	inte ha; det finns inte	Jag har ingen telefon.	ikke ha; det finnes ikke	Jeg har ikke telefon.	ikke have; der er ikke	Jeg har ikke en telefon.	ei ole; ei omistaa	Minulla ei ole puhelinta.
们	przyrostek liczby mnogiej dla osób	Nauczyciele są w biurze.	meervoudsachtervoegsel voor personen	De leraren zijn op kantoor.	pluralsuffix för personer	Lärarna är på kontoret.	flertallssuffiks for personer	Lærerne er på kontoret.	flertalsendelse for personer	Lærerne er på kontoret.	ihmisten monikon pääte	Opettajat ovat toimistossa.
面条儿	makaron; kluski	W południe jem makaron.	noedels	Tussen de middag eet ik noedels.	nudlar	Jag äter nudlar vid lunchtid.	nudler	Jeg spiser nudler til lunsj.	nudler	Jeg spiser nudler til frokost.	nuudelit	Syön nuudeleita keskipäivällä.
明年	w przyszłym roku	W przyszłym roku pojadę do Chin.	volgend jaar	Volgend jaar ga ik naar China.	nästa år	Nästa år åker jag till Kina.	neste år	Neste år drar jeg til Kina.	næste år	Næste år tager jeg til Kina.	ensi vuonna	Ensi vuonna menen Kiinaan.
哪个	który; który z nich	Który kubek ci się podoba?	welke; welke van de twee	Welke beker vind je leuk?	vilken	Vilken kopp tycker du om?	hvilken	Hvilken kopp liker du?	hvilken	Hvilken kop kan du lide?	mikä; kumpi	Mistä kupista pidät?
哪里	gdzie	Gdzie mieszkasz?	waar	Waar woon je?	var	Var bor du?	hvor	Hvor bor du?	hvor	Hvor bor du?	missä	Missä asut?
哪儿	gdzie; dokąd	Dokąd idziesz?	waar; waarheen	Waar ga je heen?	var; vart	Vart går du?	hvor; hvor hen	Hvor skal du?	hvor; hvorhen	Hvor skal du hen?	mihin; missä	Mihin olet menossa?
哪些	które; które z nich	Które książki są twoje?	welke	Welke boeken zijn van jou?	vilka	Vilka böcker är dina?	hvilke	Hvilke bøker er dine?	hvilke	Hvilke bøger er dine?	mitkä	Mitkä kirjat ovat sinun?
那边	tam; tamta strona	Sklep jest tam.	daar; die kant	De winkel is daar.	där borta; den sidan	Butiken ligger där borta.	der borte; den siden	Butikken er der borte.	derovre; den side	Butikken ligger derovre.	tuolla; tuo puoli	Kauppa on tuolla.
那个	tamten; ten	Tamten uczeń jest moim przyjacielem.	die daar; dat	Die leerling daar is mijn vriend.	den där	Den där studenten är min vän.	den der	Den studenten er vennen min.	den der	Den elev er min ven.	tuo; se	Tuo oppilas on ystäväni.
那里	tam	Nauczyciel jest tam.	daar	De leraar is daar.	där	Läraren är där.	der	Læreren er der.	der	Læreren er der.	siellä	Opettaja on siellä.
那儿	tam	Mój przyjaciel jest tam.	daar	Mijn vriend is daar.	där	Min vän är där.	der	Vennen min er der.	der	Min ven er der.	tuolla; siellä	Ystäväni on siellä.
那些	tamte; te	Tamte jabłka są świeże.	die daar; dat	Die appels daar zijn vers.	de där	De där äpplena är färska.	de der	De eplene er ferske.	de der	De æbler er friske.	nuo	Nuo omenat ovat tuoreita.
男	męski; mężczyzna	To dziecko jest chłopcem.	mannelijk; man	Dit kind is een jongen.	manlig; man	Det här barnet är en pojke.	mannlig; mann	Dette barnet er en gutt.	mandlig; mand	Dette barn er en dreng.	miespuolinen; mies	Tämä lapsi on poika.
男朋友	chłopak; partner	Jej chłopak umie prowadzić samochód.	het vriendje	Haar vriend kan autorijden.	pojkvän	Hennes pojkvän kan köra bil.	kjæreste; mannlig kjæreste	Kjæresten hennes kan kjøre bil.	kæreste; mandlig kæreste	Hendes kæreste kan køre bil.	poikaystävä	Hänen poikaystävänsä osaa ajaa autoa.
你好	cześć; dzień dobry	Cześć, nazywam się Xiao Li.	hallo	Hallo, ik heet Xiao Li.	hej	Hej, jag heter Xiao Li.	hei	Hei, jeg heter Xiao Li.	hej	Hej, jeg hedder Xiao Li.	hei; terve	Hei, nimeni on Xiao Li.
你们	wy	Czy macie dziś zajęcia?	jullie; u	Hebben jullie vandaag les?	ni	Har ni lektion idag?	dere	Har dere undervisning i dag?	I; De	Har I undervisning i dag?	te	Onko teillä tänään tunti?
女	żeński; kobieta	Ona jest lekarką.	vrouwelijk; vrouw	Zij is arts.	kvinnlig; kvinna	Hon är kvinnlig läkare.	kvinnelig; kvinne	Hun er kvinnelig lege.	kvindelig; kvinde	Hun er kvindelig læge.	naispuolinen; nainen	Hän on naislääkäri.
女朋友	dziewczyna; partnerka	Jego dziewczyna lubi muzykę.	de vriendin	Zijn vriendin houdt van muziek.	flickvän	Hans flickvän tycker om musik.	kjæreste; kvinnelig kjæreste	Kjæresten hans liker musikk.	kæreste; kvindelig kæreste	Hans kæreste kan lide musik.	tyttöystävä	Hänen tyttöystävänsä pitää musiikista.
前	przód; przed	Przed szkołą jest księgarnia.	voor; vroeger	Voor de school is een boekwinkel.	framför; före	Framför skolan finns en bokhandel.	foran; før	Foran skolen er det en bokhandel.	foran; før	Foran skolen er der en boghandel.	edessä; ennen	Koulun edessä on kirjakauppa.
请问	przepraszam, można spytać	Przepraszam, gdzie jest toaleta?	excuseer, mag ik vragen	Excuseer, waar is het toilet?	ursäkta, får jag fråga	Ursäkta, var är toaletten?	unnskyld, kan jeg spørre	Unnskyld, hvor er toalettet?	undskyld, må jeg spørge	Undskyld, hvor er toilettet?	anteeksi, saanko kysyä	Anteeksi, missä wc on?
上课	mieć lekcję; zacząć lekcję	Mamy lekcję o ósmej.	les hebben; de les begint	Wij hebben les om acht uur.	ha lektion; börja lektionen	Vi har lektion klockan åtta.	ha time; begynne timen	Vi har time klokken åtte.	have undervisning; begynde timen	Vi har undervisning klokken otte.	olla tunnilla; tunti alkaa	Meillä on tunti kahdeksalta.
上学	chodzić do szkoły	Dzieci codziennie chodzą do szkoły.	naar school gaan	De kinderen gaan elke dag naar school.	gå i skolan; gå till skolan	Barnen går till skolan varje dag.	gå på skole; gå til skolen	Barna går på skolen hver dag.	gå i skole; gå i skole	Børnene går i skole hver dag.	mennä kouluun; käydä koulua	Lapset menevät kouluun joka päivä.
事	sprawa; rzecz	Mam dziś dużo spraw.	de zaak; het ding	Ik heb vandaag veel te doen.	sak; grej	Jag har mycket att göra idag.	sak; ting	Jeg har mye å gjøre i dag.	sag; ting	Jeg har mange ting at gøre i dag.	asia; juttu	Minulla on tänään paljon asioita tehtävänä.
书店	księgarnia	Księgarnia jest obok kina.	de boekwinkel	De boekwinkel is naast de bioscoop.	bokhandel	Bokhandeln ligger bredvid biografen.	bokhandel	Bokhandelen ligger ved siden av kinoen.	boghandel	Boghandlen ligger ved siden af biografen.	kirjakauppa	Kirjakauppa on elokuvateatterin vieressä.
睡	spać	Dziecko już śpi.	slapen	Het kind slaapt al.	sova	Barnet sover redan.	sove	Barnet sover allerede.	sove	Barnet sover allerede.	nukkua	Lapsi nukkuu jo.
说	mówić; powiedzieć	On bardzo dobrze mówi po chińsku.	spreken; zeggen	Hij spreekt heel goed Chinees.	tala; säga	Han talar kinesiska mycket bra.	snakke; si	Han snakker kinesisk veldig godt.	tale; sige	Han taler kinesisk meget godt.	puhua; sanoa	Hän puhuu kiinaa erittäin hyvin.
他们	oni	Oni są w klasie.	zij; hen	Zij zijn in het klaslokaal.	de; dem	De är i klassrummet.	de; dem	De er i klasserommet.	de; dem	De er i klasseværelset.	he	He ovat luokkahuoneessa.
它们	one dla rzeczy lub zwierząt	Te koty są małe; są urocze.	zij voor dingen of dieren	Deze katten zijn klein; ze zijn schattig.	de för saker eller djur	De här katterna är små; de är söta.	de for ting eller dyr	Disse kattene er små; de er søte.	de for ting eller dyr	Disse katte er små; de er søde.	ne esineistä tai eläimistä	Nämä kissat ovat pieniä; ne ovat söpöjä.
她们	one dla kobiet	One wszystkie są studentkami.	zij vrouwelijk	Zij zijn allemaal universiteitsstudenten.	de kvinnligt	De är alla universitetsstudenter.	de kvinnelig	De er alle universitetsstudenter.	de kvindeligt	De er alle universitetsstuderende.	he naisista	He kaikki ovat yliopisto-opiskelijoita.
天	dzień; niebo	Dziś jest niedziela.	de dag; de hemel	Vandaag is het zondag.	dag; himmel	Idag är det söndag.	dag; himmel	I dag er det søndag.	dag; himmel	I dag er det søndag.	päivä; taivas	Tänään on sunnuntai.
听见	usłyszeć	Usłyszałem twój telefon.	horen	Ik hoorde je telefoon.	höra	Jag hörde din telefon.	høre	Jeg hørte telefonen din.	høre	Jeg hørte din telefon.	kuulla	Kuulin puhelimesi.
外边	na zewnątrz	Na zewnątrz pada deszcz.	buiten	Het regent buiten.	utanför; ute	Det regnar ute.	utenfor; ute	Det regner ute.	udenfor	Det regner udenfor.	ulkona	Ulkona sataa.
晚	późny; wieczór	Teraz jest bardzo późno.	laat; avond	Het is nu erg laat.	sen; kväll	Nu är det mycket sent.	sen; kveld	Nå er det veldig sent.	sen; aften	Nu er det meget sent.	myöhäinen; ilta	Nyt on hyvin myöhä.
晚饭	kolacja	Na kolację chcę zjeść ryż.	het avondeten	Voor het avondeten wil ik rijst eten.	middag; kvällsmat	Till middag vill jag äta ris.	middag; kveldsmat	Til middag vil jeg spise ris.	aftensmad	Til aftensmad vil jeg spise ris.	illallinen	Haluan syödä riisiä illalliseksi.
午饭	obiad; lunch	Na lunch jemy makaron.	de lunch	Tijdens de lunch eten we noedels.	lunchmåltid	Till lunch äter vi nudlar.	lunsj	Til lunsj spiser vi nudler.	frokost; middagsmad	Til frokost spiser vi nudler.	lounas	Syömme nuudeleita lounaaksi.
下班	kończyć pracę	Mama kończy pracę o piątej.	van het werk komen; klaar zijn met werken	Moeder is om vijf uur klaar met werken.	sluta jobbet	Mamma slutar jobbet klockan fem.	slutte på jobb	Mamma er ferdig på jobb klokken fem.	få fri fra arbejde	Mor får fri fra arbejde klokken fem.	päästä töistä	Äiti pääsee töistä viideltä.
下课	koniec lekcji; skończyć lekcję	Po lekcji idę do księgarni.	de les is voorbij; de les eindigt	Na de les ga ik naar de boekwinkel.	sluta lektionen; lektionen är slut	Efter lektionen går jag till bokhandeln.	timen er slutt; slutte timen	Etter timen går jeg til bokhandelen.	timen er slut; afslutte timen	Efter timen går jeg til boghandlen.	tunti päättyy; tunnin jälkeen	Tunnin jälkeen menen kirjakauppaan.
小朋友	dziecko; mały przyjaciel	Dzieci bawią się w parku.	het kind	De kinderen spelen in het park.	barn	Barnen leker i parken.	barn	Barna leker i parken.	barn	Børnene leger i parken.	lapsi	Lapset leikkivät puistossa.
小学	szkoła podstawowa	Moja młodsza siostra chodzi do szkoły podstawowej.	de basisschool	Mijn jongere zus gaat naar de basisschool.	grundskola	Min lillasyster går i grundskolan.	barneskole	Lillesøsteren min går på barneskolen.	folkeskole; grundskole	Min lillesøster går i folkeskole.	ala-aste; alakoulu	Pikkusiskoni käy alakoulua.
小学生	uczeń szkoły podstawowej	On jest uczniem szkoły podstawowej.	de basisschoolleerling	Hij is basisschoolleerling.	grundskoleelev	Han är grundskoleelev.	barneskoleelev	Han er barneskoleelev.	folkeskoleelev	Han er folkeskoleelev.	alakoululainen	Hän on alakoululainen.
星期日	niedziela	W niedzielę nie mam zajęć.	de zondag	Op zondag heb ik geen les.	söndag	På söndag har jag ingen lektion.	søndag	På søndag har jeg ikke undervisning.	søndag	Om søndagen har jeg ikke undervisning.	sunnuntai	Sunnuntaina minulla ei ole tuntia.
星期天	niedziela	W niedzielę idę obejrzeć film.	de zondag	Op zondag ga ik een film kijken.	söndag	På söndag går jag och ser en film.	søndag	På søndag går jeg for å se en film.	søndag	Om søndagen går jeg i biografen.	sunnuntai	Sunnuntaina menen katsomaan elokuvaa.
学	uczyć się	Uczę się chińskiego.	leren; studeren	Ik leer Chinees.	lära sig; studera	Jag studerar kinesiska.	lære; studere	Jeg lærer kinesisk.	lære; studere	Jeg lærer kinesisk.	oppia; opiskella	Opiskelen kiinaa.
一半	połowa	Zjadłem połowę ryżu.	de helft	Ik heb de helft van de rijst gegeten.	halva; hälften	Jag åt hälften av riset.	halvparten	Jeg spiste halvparten av risen.	halvdelen	Jeg spiste halvdelen af risen.	puolet	Söin puolet riisistä.
一下	chwilę; raz	Proszę poczekać chwilę.	even; één keer	Wacht alsjeblieft even.	en stund; en gång	Vänta en stund, tack.	et øyeblikk; én gang	Vent et øyeblikk, vær så snill.	et øjeblik; én gang	Vent et øjeblik, tak.	hetki; kerran	Odota hetki, ole hyvä.
一点儿	trochę	Jestem trochę zmęczony.	een beetje	Ik ben een beetje moe.	lite	Jag är lite trött.	litt	Jeg er litt sliten.	lidt	Jeg er lidt træt.	vähän	Olen vähän väsynyt.
一些	trochę; kilka	Kupiłem kilka jabłek.	en paar; wat	Ik heb een paar appels gekocht.	några; lite	Jag köpte några äpplen.	noen; litt	Jeg kjøpte noen epler.	nogle; lidt	Jeg købte nogle æbler.	joitakin; vähän	Ostin muutamia omenoita.
有的	niektórzy; pewne	Niektórzy uczniowie lubią śpiewać.	sommige	Sommige studenten zingen graag.	vissa	Vissa elever tycker om att sjunga.	noen	Noen elever liker å synge.	nogle	Nogle elever kan lide at synge.	jotkut	Jotkut oppilaat pitävät laulamisesta.
有点儿	trochę; nieco	Dzisiaj jest trochę zimno.	een beetje; enigszins	Het is vandaag een beetje koud.	lite; något	Idag är det lite kallt.	litt; noe	I dag er det litt kaldt.	lidt; noget	I dag er det lidt koldt.	vähän; jonkin verran	Tänään on vähän kylmä.
有些	niektóre; kilka	Niektóre książki są u nauczyciela.	sommige; een paar	Sommige boeken zijn bij de leraar.	vissa; några	Vissa böcker är hos läraren.	noen	Noen bøker er hos læreren.	nogle	Nogle bøger er hos læreren.	jotkin; muutamat	Jotkin kirjat ovat opettajan luona.
雨	deszcz	Dzisiaj pada deszcz.	de regen	Het regent vandaag.	regn	Idag regnar det.	regn	I dag regner det.	regn	I dag regner det.	sade	Tänään sataa.
早	wcześnie; rano	On codziennie rano wstaje bardzo wcześnie.	vroeg; ochtend	Hij staat elke ochtend heel vroeg op.	tidig; morgon	Han går upp mycket tidigt varje morgon.	tidlig; morgen	Han står opp veldig tidlig hver morgen.	tidlig; morgen	Han står meget tidligt op hver morgen.	aikaisin; aamu	Hän nousee joka aamu hyvin aikaisin.
早饭	śniadanie	Na śniadanie piję mleko.	het ontbijt	Bij het ontbijt drink ik melk.	frukost	Till frukost dricker jag mjölk.	frokost	Til frokost drikker jeg melk.	morgenmad	Til morgenmad drikker jeg mælk.	aamiainen	Juon maitoa aamiaisella.
怎么	jak	Jak idziesz do szkoły?	hoe	Hoe ga je naar school?	hur	Hur går du till skolan?	hvordan	Hvordan går du til skolen?	hvordan	Hvordan kommer du i skole?	miten	Miten menet kouluun?
这边	ta strona; tutaj	Proszę przyjść tutaj.	deze kant; hierheen	Kom alsjeblieft deze kant op.	den här sidan; hit	Kom hit, tack.	denne siden; hit	Kom hit, vær så snill.	denne side; herover	Kom herover, tak.	tämä puoli; tänne	Tule tänne, ole hyvä.
这个	to; ten	Ten baozi jest bardzo smaczny.	deze; dit	Deze baozi is erg lekker.	den här; det här	Den här baozi är god.	denne; dette	Denne baozi-en er god.	denne; dette	Denne baozi smager godt.	tämä	Tämä baozi on herkullinen.
这里	tutaj	To jest moja szkoła.	hier	Dit is mijn school.	här	Det här är min skola.	her	Dette er skolen min.	her	Her er min skole.	täällä; tässä	Tämä on kouluni.
这儿	tutaj	Tutaj jest restauracja.	hier	Hier is een restaurant.	här	Det finns en restaurang här.	her	Det er en restaurant her.	her	Der er en restaurant her.	täällä	Täällä on ravintola.
这些	te	Te chińskie znaki łatwo się pisze.	deze	Deze Chinese karakters zijn makkelijk te schrijven.	dessa	Dessa kinesiska tecken är lätta att skriva.	disse	Disse kinesiske tegnene er lette å skrive.	disse	Disse kinesiske tegn er lette at skrive.	nämä	Nämä kiinalaiset merkit on helppo kirjoittaa.
只	klasyfikator dla zwierząt lub jednego z pary	Pod stołem jest jeden kot.	telwoord voor dieren of één van een paar	Er zit een kat onder de tafel.	räkneord för djur eller en av ett par	Det finns en katt under bordet.	telleord for dyr eller én av et par	Det er en katt under bordet.	tælleord for dyr eller én af et par	Der er en kat under bordet.	laskusana eläimille tai parin toiselle osalle	Pöydän alla on yksi kissa.
中学	szkoła średnia	Starszy brat uczy się w szkole średniej.	de middelbare school	Mijn oudere broer zit op de middelbare school.	högstadium; gymnasium	Min äldre bror studerar i en högre skola.	ungdomsskole; videregående skole	Storebroren min går på ungdomsskolen.	ungdomsskole; gymnasium	Min storebror går i skole på mellemtrinnet.	yläkoulu; toisen asteen koulu	Vanhempi veljeni opiskelee yläkoulussa.
中学生	uczeń szkoły średniej	Ona jest uczennicą szkoły średniej.	de middelbare scholier	Zij is middelbare scholier.	högstadieelev; gymnasieelev	Hon är elev i en högre skola.	ungdomsskoleelev	Hun er ungdomsskoleelev.	elev i ungdomsskolen	Hun er elev i ungdomsskolen.	yläkoululainen; toisen asteen opiskelija	Hän on yläkoululainen.
字	znak; pismo	Jego pismo jest bardzo ładne.	het karakter; het handschrift	Zijn handschrift is erg mooi.	tecken; handstil	Hans handstil är mycket vacker.	tegn; håndskrift	Håndskriften hans er veldig pen.	tegn; håndskrift	Hans håndskrift er meget flot.	merkki; käsiala	Hänen käsialansa on kaunis.
做饭	gotować	Tata gotuje w kuchni.	koken	Vader kookt in de keuken.	laga mat	Pappa lagar mat i köket.	lage mat	Pappa lager mat på kjøkkenet.	lave mad	Far laver mad i køkkenet.	laittaa ruokaa	Isä laittaa ruokaa keittiössä.
