source_headword	SV	example_SV
just	rättvis	Domaren fattade ett rättvist beslut.
justification	ett berättigande / en motivering	Vi behöver en tydlig motivering för utgifterna.
kidnap	kidnappa	Brottslingar försökte kidnappa diplomaten.
kidney	en njure	Hennes njurfunktion förbättrades.
kingdom	ett kungarike	Kungariket expanderade under hans styre.
lad	en pojke / en grabb	Den unga pojken bar väskorna.
landlord	en hyresvärd	Hyresvärden reparerade värmen.
landmark	ett landmärke	Tornet blev ett landmärke för staden.
lap	ett knä	Barnet satt i hennes knä.
large-scale	storskalig	Staden planerade storskaliga reparationer.
laser	en laser	Lasern mätte avståndet.
latter	sistnämnd	Det sistnämnda alternativet verkar säkrare.
lawn	en gräsmatta	Barnen lekte på gräsmattan.
lawsuit	en stämning / en rättegång	Företaget ingick en förlikning i stämningen.
layout	en layout	Sidans layout ser tydligare ut.
leak	en läcka / att läcka	En rörläcka översvämmade köket.
leap	ett språng	Försäljningen gjorde ett plötsligt språng.
legacy	ett arv	Hennes arv formade universitetet.
legendary	legendarisk	Den legendariska sångaren återvände till scenen.
legislation	en lagstiftning	Ny lagstiftning skyddar hyresgäster.
legislative	lagstiftande	Den lagstiftande kommittén träffades idag.
legislature	en lagstiftande församling	Den lagstiftande församlingen godkände budgeten.
legitimate	legitim	De tog upp legitima farhågor.
lengthy	långvarig	Den långvariga debatten försenade omröstningen.
lesbian	lesbisk	Den lesbiska aktivisten talade på forumet.
lesser	mindre	Välj den mindre risken.
lethal	dödlig	Kemikalien kan vara dödlig.
liable	ansvarig	Förare är ansvariga för skador.
liberal	liberal	Han stöder en liberal socialpolitik.
liberation	en befrielse	Befrielsen förändrade landets framtid.
liberty	en frihet	Lagen skyddar den personliga friheten.
license	licensiera / ge tillstånd	Staten kan ge tillstånd till nya kliniker.
lifelong	livslång	Hon fick livslånga vänner där.
likelihood	en sannolikhet	Sannolikheten för regn ökade.
limb	en lem	Den skadade lemmen läkte långsamt.
linear	linjär	Diagrammet visar en linjär trend.
line-up	ett program / en laguppställning	Festivalens program inkluderar lokala band.
linger	dröja sig kvar	Lukten kan dröja sig kvar i timmar.
listing	en annons	Lägenhetsannonsen verkade korrekt.
literacy	en läskunnighet	Läskunnighetsprogrammen för vuxna utökades.
liver	en lever	Levern filtrerar skadliga ämnen.
lobby	en lobby	Lobbyn var trångt efter tolv.
log	en logg	Systemet för en daglig logg.
logic	en logik	Logiken i hans argument brast.
long-standing	långvarig	De löste en långvarig tvist.
long-time	mångårig	Hon är en mångårig volontär.
loom	torna upp sig	Mörka moln tornar upp sig över dalen.
loop	en slinga	Leden bildar en slinga.
loyalty	en lojalitet	Hans lojalitet imponerade på laget.
machinery	ett maskineri	Fabriken installerade nytt maskineri.
magical	magisk	Trädgården såg magisk ut på natten.
magistrate	en domare	Domaren hörde fallet.
magnetic	magnetisk	Magnetfältet påverkade kompassen.
magnitude	en omfattning	Skadornas omfattning var tydlig.
mainland	ett fastland	Färjan förbinder öar med fastlandet.
mainstream	en mainstream	Idén kom in i den politiska huvudfåran.
maintenance	ett underhåll	Regelbundet underhåll förhindrar haverier.
mandate	ett mandat	Presidenten hävdade ett starkt mandat.
mandatory	obligatorisk	Närvaro är obligatorisk för praktikanter.
manifest	visa sig	Symtom kan visa sig efter veckor.
manipulate	manipulera	Manipulera inte undersökningsresultaten.
manipulation	en manipulation	Datamanipulationen upptäcktes.
manuscript	ett manuskript	Förläggaren accepterade hennes manuskript.
march	marschera	Demonstranterna kommer att marschera till centrum.
marginal	marginell	Förändringen hade marginella fördelar.
marine	marin	Marint liv behöver rent vatten.
marketplace	en marknadsplats	Onlinemarknadsplatsen expanderade snabbt.
mask	en mask	Arbetare måste bära en mask.
massacre	en massaker	Massakern chockade hela regionen.
mathematical	matematisk	Den matematiska modellen förutsåg efterfrågan.
mature	mogen	De mogna träden ger skugga.
maximize	maximera	Uppdateringen kommer att maximera batteritiden.
meaningful	meningsfull	De hade en meningsfull konversation.
meantime	en mellantid	Under tiden, vänta utanför.
medieval	medeltida	Slottet har medeltida murar.
meditation	en meditation	Daglig meditation lugnar hennes sinne.
melody	en melodi	Melodin stannade i mitt huvud.
memo	en promemoria	Promemorian förklarade policyn.
memoir	en memoar	Hennes memoar beskriver exil i barndomen.
memorial	ett minnesmärke	Minnesmärket hedrar lokala soldater.
mentor	en mentor	Hennes mentor granskade förslaget.
merchant	en köpman	Köpmannen sålde silke och kryddor.
mercy	en nåd	Domaren visade nåd.
mere	blott	En blott blick avslöjade felet.
merely	bara	Hon upprepade bara instruktionerna.
merge	slås ihop	De två företagen kommer att slås ihop.
merger	en fusion	Fusionen skapade en större bank.
merit	en merit	Förslaget har ett tydligt värde.
methodology	en metodik	Studien förklarar sin metodik.
midst	en mitt	De arbetade mitt i kaoset.
migration	en migration	Säsongsmässig migration påverkar lokala jobb.
militant	militant	Den militanta gruppen avvisade förhandlingar.
militia	en milis	Milisen kontrollerade vägen.
mill	en kvarn	Den gamla kvarnen blev ett museum.
minimal	minimal	Planen kräver minimal ansträngning.
minimize	minimera	Vi måste minimera onödiga risker.
mining	en gruvdrift	Gruvdriften skadade floddalen.
ministry	ett ministerium	Ministeriet meddelade nya regler.
minute2	pytteliten	En pytteliten spricka uppträdde i glaset.
miracle	ett mirakel	Hans återhämtning verkade som ett mirakel.
misery	ett elände	Flyktingarna utstod år av elände.
misleading	vilseledande	Det vilseledande diagrammet förvirrade läsarna.
missile	en missil	Missiltestet ökade spänningarna.
mob	en mobb	Den arga mobben blockerade trafiken.
mobility	en rörlighet	Bättre bussar förbättrar rörligheten i städerna.
mobilize	mobilisera	Ledare mobiliserar volontärer snabbt.
moderate	moderat	Kandidaten har moderata åsikter.
modification	en modifiering	Designen behöver en modifiering.
momentum	ett momentum	Kampanjen fick fart snabbt.
monk	en munk	Munken levde i tystnad.
monopoly	ett monopol	Företaget hade ett monopol.
morality	en moral	Kursen undersöker offentlig moral.
motive	ett motiv	Polisen ifrågasatte hans motiv.
motorist	en bilist	Bilisten stannade vid rött ljus.
municipal	kommunal	Kommunala tjänster förbättrades i år.
mutual	ömsesidig	De nådde en ömsesidig överenskommelse.
namely	nämligen	Ett problem kvarstår, nämligen finansiering.
nationwide	rikstäckande	Strejken orsakade rikstäckande förseningar.
naval	marin	Marinbasen stängde förra året.
neglect	försumma	Försumma inte grundläggande säkerhet.
neighbouring	närliggande	Närliggande städer delade på sjukhuset.
nest	ett bo	Fågeln byggde ett bo.
net	netto	Nettovinsten steg kraftigt.
newsletter	ett nyhetsbrev	Nyhetsbrevet anländer varje fredag.
niche	en nisch	Företaget hittade en lönsam nisch.
noble	ädel	Hennes ädla gest imponerade på alla.
nod	nicka	Vänligen nicka om du förstår.
nominate	nominera	De kommer att nominera en ny ordförande.
nomination	en nominering	Hennes nominering överraskade kommittén.
nominee	en nominerad	Den nominerade svarade på svåra frågor.
nonetheless	inte desto mindre	Inte desto mindre gick planen framåt.
non-profit	ideell	Hon arbetar för en ideell klinik.
nonsense	ett nonsens	Det ryktet är komplett nonsens.
noon	en middag	Mötet börjar kl tolv.
notable	anmärkningsvärd	Rapporten gjorde anmärkningsvärda framsteg.
notably	i synnerhet	I synnerhet sjönk kostnaderna i maj.
notify	meddela	Vänligen meddela personalen innan du går.
notorious	ökänd	Vägen är ökänd för olyckor.
novel	nyskapande	De föreslog en nyskapande lösning.
nursery	en förskola	Förskolan tar hand om spädbarn.
objection	en invändning	Advokaten kom med en invändning.
oblige	tvinga	Regler tvingar förare att stanna.
obsess	vara besatt	Var inte besatt av små fel.
obsession	en besatthet	Hans besatthet skadade hans arbete.
occasional	enstaka	Enstaka förseningar förväntas.
occurrence	en händelse	En sådan händelse är sällsynt.
odds	oddsen	Oddsen för framgång förbättrades.
offering	ett utbud	Universitetet utökade sitt utbud.
offspring	en avkomma	Räven skyddade sin avkomma.
operational	i drift	Det nya systemet är i drift.
opt	välja	Många studenter väljer onlineklasser.
optical	optisk	Den optiska linsen behöver rengöras.
optimism	en optimism	Optimismen återvände efter tillkännagivandet.
oral	muntlig	Det muntliga provet börjar i morgon.
organizational	organisatorisk	Organisatoriska förändringar började omedelbart.
orientation	en introduktion	Workshopen handlade om personalintroduktion.
originate	härstamma	Många traditioner härstammar från byar på landsbygden.
outbreak	ett utbrott	Utbrottet spred sig över staden.
outing	en utflykt	Klassen njöt av en museiutflykt.
outlet	en outlet	Outleten säljer rabatterade kläder.
outlook	en framtidsutsikt	De ekonomiska framtidsutsikterna förblir osäkra.
outrage	en upprördhet	Beslutet orsakade allmän upprördhet.
outsider	en utomstående	Som utomstående lade hon märke till problem.
overlook	förbise	Förbise inte små detaljer.
overly	överdrivet	Instruktionerna var överdrivet komplicerade.
oversee	övervaka	Hon kommer att övervaka projektet.
overturn	upphäva	Domstolen kan komma att upphäva beslutet.
overwhelm	överväldiga	För mycket information kan överväldiga elever.
overwhelming	överväldigande	Bevisen var överväldigande.
pad	en dyna	Använd dynan för att skydda knäna.
parameter	en parameter	Justera en parameter i taget.
parental	föräldra-	Föräldrarnas stöd förbättrade närvaron.
parish	en församling	Församlingen anordnade en välgörenhetsmiddag.
parliamentary	parlamentarisk	Den parlamentariska debatten pågick i timmar.
partial	delvis	Rapporten gav ett delvis svar.
partially	delvis	Fönstret var delvis öppet.
passing	en bortgång	Hennes bortgång var plötslig.
passive	passiv	Passiva investerare accepterade stadig avkastning.
pastor	en pastor	Pastorn besökte familjen.
patch	en lapp	Jackan behöver en liten lapp.
patent	ett patent	Företaget ansökte om ett patent.
pathway	en väg	Vägen leder till certifiering.
patrol	patrullera	Polisen patrullerar området på natten.
patron	en beskyddare	Museet tackade sin beskyddare.
peak	en topp	Efterfrågan nådde en vintertopp.
peasant	en bonde	Bonden ägde lite mark.
peculiar	märklig	Rummet hade en märklig lukt.
persist	kvarstå	Symtomen kan kvarstå i flera dagar.
persistent	ihållande	En ihållande hosta kräver uppmärksamhet.
personnel	personal	Personalregister är konfidentiella.
petition	en namninsamling	Namninsamlingen samlade tusentals underskrifter.
philosopher	en filosof	Filosofen ifrågasatte vanliga antaganden.
philosophical	filosofisk	Diskussionen blev filosofisk.
physician	en läkare	Läkaren beställde blodprover.
pioneer	en pionjär	Hon blev en pionjär inom medicinen.
pipeline	en rörledning	Rörledningen transporterar gas under jord.
pirate	en pirat	Piratskeppet dök upp till havs.
pit	en grop	Arbetarna grävde en djup grop.
plea	en vädjan	Hans vädjan om hjälp ignorerades.
plead	erkänna	Den misstänkte kommer att erkänna sig skyldig.
pledge	lova	De lovar stöd för reformer.
plug	ansluta	Anslut kabeln till uttaget.
plunge	störtdyka	Priserna kan störtdyka efter skandalen.
pole	en stolpe	Flaggan hängde från en stolpe.
poll	en opinionsundersökning	Opinionsundersökningen visade förändrade åsikter.
pond	en damm	Ankor korsade den frusna dammen.
pop	smälla	Ballonger smäller nära vassa föremål.
portfolio	en portfölj	Hennes portfölj innehåller flera startups.
portray	skildra	Filmen kommer att skildra livet på landsbygden.
postpone	skjuta upp	De beslutade att skjuta upp förhandlingen.
post-war	efterkrigs-	Efterkrigsbostäder behövdes akut.
practitioner	en utövare	Utövaren förklarade behandlingen.
preach	predika	Pastorn kommer att predika på söndag.
precedent	ett prejudikat	Domen skapade ett viktigt prejudikat.
precision	en precision	Maskinen skär med precision.
predator	ett rovdjur	Rovdjuret väntade nära floden.
predecessor	en föregångare	Hennes föregångare lämnade detaljerade anteckningar.
predominantly	övervägande	Området är övervägande ett bostadsområde.
pregnancy	en graviditet	Graviditet kräver regelbunden sjukvård.
prejudice	en fördom	Kampanjen utmanade rasfördomar.
preliminary	preliminär	Preliminära resultat ser lovande ut.
premier	en premiärminister	Premiärministern talade till parlamentet i dag.
premise	en premiss	Argumentet vilar på en falsk premiss.
premium	en premie	Kunderna betalade en premie för hastighet.
prescribe	skriva ut	Läkare skriver ut antibiotika försiktigt.
prescription	ett recept	Receptet går ut nästa månad.
presently	för närvarande	Hon är för närvarande inte tillgänglig.
preservation	ett bevarande	Bevarande skyddar historiska byggnader.
preside	leda	Domaren kommer att leda rättegången.
presidency	ett presidentskap	Hans presidentskap varade i åtta år.
presidential	president-	Presidentvalet väckte uppmärksamhet.
prestigious	prestigefylld	Hon vann ett prestigefyllt stipendium.
presumably	förmodligen	Kontoret är förmodligen stängt i dag.
presume	förmoda	Vi förmodar att dokumenten är äkta.
prevail	råda	Sunt förnuft bör råda.
prevalence	en förekomst	Förekomsten av astma ökade.
prevention	en förebyggande åtgärd	Förebyggande är billigare än reparation.
