source_headword	HI	example_HI
condition	स्थिति	कार अच्छी स्थिति में है.
conference	सम्मेलन	सम्मेलन नौ बजे शुरू होता है.
connect	जोड़ना	फोन को कंप्यूटर से जोड़ो.
connected	जुड़ा हुआ	दोनों विचार जुड़े हुए हैं.
consider	विचार करना	कृपया मेरे विचार पर विचार करो.
contain	शामिल होना	इस डिब्बे में किताबें हैं.
context	संदर्भ	संदर्भ तुम्हें समझने में मदद करता है.
continent	महाद्वीप	महाद्वीप बहुत बड़ा होता है.
continue	जारी रखना	कृपया पढ़ना जारी रखो.
control	नियंत्रण; नियंत्रित करना	गति को सावधानी से नियंत्रित करो.
cooker	चूल्हा; कुकर	चूल्हा साफ है.
copy	प्रतिलिपि; कॉपी	मेरे लिए एक कॉपी बनाओ.
corner	कोना	कोने में बैठो.
correctly	सही ढंग से	जवाब सही ढंग से लिखो.
count	गिनना	किताबें गिनो.
couple	जोड़ा	जोड़ा जल्दी पहुँचा.
cover	ढकना	कटोरे को ढक दो.
crazy	पागल; अजीब	यह विचार अजीब लगता है.
creative	रचनात्मक	उसके पास रचनात्मक विचार है.
credit	क्रेडिट; क्रेडिट कार्ड	मैंने क्रेडिट कार्ड से भुगतान किया.
crime	अपराध	अपराध गंभीर समस्या है.
criminal	अपराधी	अपराधी जल्दी चला गया.
cross	पार करना	सड़क को सावधानी से पार करो.
crowd	भीड़	भीड़ बाहर इंतजार कर रही थी.
crowded	भीड़भाड़ वाला	ट्रेन भीड़भाड़ वाली थी.
cry	रोना	अब मत रोओ.
cupboard	अलमारी	कप अलमारी में हैं.
curly	घुंघराले	उसके बाल घुंघराले हैं.
cycle	साइकिल चलाना	मैं साइकिल से स्कूल जाता हूँ.
daily	दैनिक; रोज़	मैं रोज़ समाचार पढ़ता हूँ.
danger	खतरा	संकेत खतरा दिखाता है.
data	डेटा	डेटा उपयोगी है.
dead	मरा हुआ	पौधा मर गया है.
deal	सौदा	यह अच्छा सौदा है.
death	मृत्यु	मृत्यु कठिन विषय है.
decision	निर्णय	आज निर्णय लो.
deep	गहरा	पानी गहरा है.
definitely	निश्चित रूप से	मुझे निश्चित रूप से चाय चाहिए.
degree	डिग्री	मेरी डिग्री इतिहास में है.
dentist	दंत चिकित्सक	दंत चिकित्सक ने मेरे दाँत जाँचे.
department	विभाग	जूता विभाग ऊपर है.
depend	निर्भर करना	यह मौसम पर निर्भर करता है.
desert	रेगिस्तान	रेगिस्तान बहुत सूखा है.
designer	डिजाइनर	डिजाइनर ने यह पोशाक बनाई.
destroy	नष्ट करना	फाइल को नष्ट मत करो.
detective	जासूस	जासूस ने चाबी पाई.
develop	विकसित करना	वे नया ऐप विकसित करते हैं.
device	उपकरण	यह उपकरण उपयोगी है.
diary	डायरी	वह अपनी डायरी में लिखती है.
differently	अलग तरह से	हम इसे अलग तरह से करते हैं.
digital	डिजिटल	यह डिजिटल कैमरा है.
direct	सीधा	सीधी ट्रेन लो.
direction	दिशा	इस दिशा में चलो.
director	निर्देशक	निर्देशक को फिल्म पसंद आई.
disagree	असहमत होना	मैं उस विचार से असहमत हूँ.
disappear	गायब होना	सूरज जल्द ही गायब हो जाएगा.
disaster	आपदा	तूफान एक आपदा था.
discover	खोज करना	वे नया द्वीप खोजते हैं.
discovery	खोज	खोज ने विज्ञान बदल दिया.
discussion	चर्चा	चर्चा जल्दी खत्म हुई.
disease	बीमारी	यह बीमारी गंभीर है.
distance	दूरी	दूरी कम है.
divorced	तलाकशुदा	उसके माता-पिता तलाकशुदा हैं.
document	दस्तावेज़	यह दस्तावेज़ अभी सहेजो.
double	दोहरा; डबल	मुझे डबल कमरा चाहिए.
download	डाउनलोड करना	आज ऐप डाउनलोड करो.
drama	नाटक	नाटक आज रात शुरू होता है.
drawing	चित्र	उसका चित्र सुंदर है.
dream	सपना	मैंने अजीब सपना देखा.
driving	गाड़ी चलाना	रात में गाड़ी चलाना कठिन है.
drop	गिराना	गिलास मत गिराओ.
drug	दवा	दवा ने उसकी मदद की.
dry	सूखा	तौलिया सूखा है.
earn	कमाना	मैं काम पर पैसा कमाता हूँ.
earth	पृथ्वी	पृथ्वी गोल है.
easily	आसानी से	वह आसानी से सीखती है.
education	शिक्षा	शिक्षा महत्वपूर्ण है.
effect	असर; प्रभाव	असर स्पष्ट था.
either	कोई भी एक	कोई भी एक जवाब ठीक है.
electric	बिजली वाला	यह कार बिजली वाली है.
electrical	विद्युत	विद्युत प्रणाली सुरक्षित है.
electricity	बिजली	यहाँ बिजली महंगी है.
electronic	इलेक्ट्रॉनिक	यह इलेक्ट्रॉनिक टिकट काम करता है.
employ	नौकरी देना	वे पाँच लोगों को नौकरी देते हैं.
employee	कर्मचारी	कर्मचारी कड़ी मेहनत करता है.
employer	नियोक्ता	मेरा नियोक्ता न्यायपूर्ण है.
empty	खाली	कमरा खाली है.
ending	अंत	अंत आश्चर्यजनक था.
energy	ऊर्जा	आज मेरे पास ऊर्जा नहीं है.
engine	इंजन	इंजन तेज आवाज करता है.
engineer	इंजीनियर	इंजीनियर ने पुल ठीक किया.
enormous	विशाल	इमारत विशाल है.
enter	प्रवेश करना	कमरे में चुपचाप प्रवेश करो.
environment	पर्यावरण	पर्यावरण की रक्षा करो.
equipment	उपकरण	यह उपकरण महंगा है.
error	गलती; त्रुटि	मुझे गलती मिली.
especially	खासकर	मुझे खासकर यह गाना पसंद है.
essay	निबंध	आज रात निबंध लिखो.
everyday	रोज़मर्रा का	यह रोज़मर्रा की अंग्रेजी है.
everywhere	हर जगह	फूल हर जगह उगते हैं.
evidence	सबूत	सबूत स्पष्ट है.
exact	सटीक	सटीक संख्या दो.
exactly	बिल्कुल	यह बिल्कुल सही है.
excellent	उत्कृष्ट; शानदार	तुम्हारा काम उत्कृष्ट है.
except	छोड़कर	मेरे छोड़कर सभी आए.
exist	मौजूद होना	क्या यह पता मौजूद है?
expect	उम्मीद करना	मुझे कल बारिश की उम्मीद है.
experience	अनुभव	मुझे बच्चों के साथ अनुभव है.
experiment	प्रयोग	प्रयोग अच्छा चला.
expert	विशेषज्ञ	मदद के लिए विशेषज्ञ से पूछो.
explanation	व्याख्या	उसकी व्याख्या स्पष्ट थी.
express	व्यक्त करना	कृपया अपनी राय व्यक्त करो.
expression	अभिव्यक्ति; मुहावरा	यह मुहावरा आम है.
extreme	अत्यधिक	गर्मी अत्यधिक थी.
extremely	अत्यंत	बहुत ज्यादा ठंड है.
factor	कारक	लागत एक कारक है.
factory	कारखाना	कारखाना पाँच बजे बंद होता है.
fail	असफल होना	मैं असफल नहीं हुआ.
fair	उचित; न्यायपूर्ण	कीमत उचित है.
fan	पंखा; प्रशंसक	पंखा चालू करो.
farming	खेती	खेती कठिन काम है.
fashion	फैशन	फैशन हर साल बदलता है.
fear	डर	डर लोगों को रोक सकता है.
feature	विशेषता	इस फोन में उपयोगी विशेषता है.
feed	खिलाना	अब बिल्ली को खाना खिलाओ.
female	महिला; मादा	महिला खिलाड़ी जीती.
fiction	कथा साहित्य	वह रात में कथा साहित्य पढ़ती है.
field	खेत; क्षेत्र	खेत हरा है.
fight	लड़ना	वे बहुत ज्यादा लड़ते हैं.
figure	आकृति; संख्या	आकृति को देखो.
finally	आखिरकार	हम आखिरकार घर पहुँचे.
finger	उंगली	मेरी उंगली दुख रही है.
firstly	सबसे पहले	सबसे पहले, प्रश्न पढ़ो.
fishing	मछली पकड़ना	मछली पकड़ना यहाँ लोकप्रिय है.
fit	ठीक आना	ये जूते ठीक आते हैं.
fix	ठीक करना	टूटी कुर्सी ठीक करो.
flu	फ्लू	मुझे फ्लू है.
flying	उड़ान	उड़ान तेज होती है.
focus	ध्यान केंद्रित करना	इस काम पर ध्यान केंद्रित करो.
following	निम्नलिखित	निम्नलिखित वाक्य पढ़ो.
foreign	विदेशी	वह विदेशी भाषा बोलती है.
forest	जंगल	जंगल शांत है.
fork	काँटा	काँटा इस्तेमाल करो.
formal	औपचारिक	यह पत्र औपचारिक है.
fortunately	सौभाग्य से	सौभाग्य से कोई घायल नहीं हुआ.
forward	आगे	धीरे-धीरे आगे बढ़ो.
fresh	ताज़ा	रोटी ताज़ा है.
