simplified	UZ	example_UZ
时候	vaqt; payt	Sen qachon kelasan?
是	bo'lmoq; -dir	Men o'quvchiman.
书	kitob	Men kitob o'qiyman.
谁	kim	U kim?
水	suv	Men suv ichaman.
水果	meva	Men meva sotib olyapman.
睡觉	uxlamoq	Men uxlashga ketyapman.
说话	gapirmoq	O'qituvchi gapiryapti.
四	to'rt	Menda to'rtta do'st bor.
岁	yosh	Men o'n yoshdaman.
他	u; u erkak	U o'qituvchi.
她	u; u ayol	U o'quvchi qiz.
太	juda; haddan tashqari	Bu stakan haddan tashqari katta.
天气	ob-havo	Bugun ob-havo yaxshi.
听	tinglamoq; eshitmoq	Men o'qituvchining gapirayotganini eshityapman.
同学	sinfdosh; kursdosh	U mening sinfdoshim.
喂	allo	Allo?
我	men; meni; mening	Men shifokorman.
我们	biz	Biz maktabga boryapmiz.
五	besh	Menda beshta olma bor.
喜欢	yoqtirmoq	Menga choy ichish yoqadi.
下	past; ostida; keyingi	Kitob stol ostida.
下午	tushdan keyin	Tushdan keyin men do'konga boraman.
下雨	yomg'ir yog'moq	Bugun yomg'ir yog'yapti.
先生	janob; er	Salom, janob.
现在	hozir	Hozir men maktabdaman.
想	xohlamoq; o'ylamoq	Men suv ichmoqchiman.
小	kichik	Bu stakan kichik.
小姐	xonim; yosh ayol	Salom, xonim.
些	bir necha; biroz	Menda bir nechta kitob bor.
写	yozmoq	Men iyerogliflar yozaman.
谢谢	rahmat	Rahmat.
星期	hafta; hafta kuni	Bugun dushanba.
学生	o'quvchi; talaba	Men o'quvchiman.
学习	o'qimoq; o'rganmoq	Men xitoy tilini o'rganaman.
学校	maktab	Maktab katta.
一	bir	Menda bitta stakan bor.
衣服	kiyim; kiyim-kechak	Men kiyim sotib olyapman.
医生	shifokor	U shifokor.
医院	kasalxona; shifoxona	Kasalxona maktab oldida.
椅子	stul	Stul stol orqasida.
有	bor; ega bo'lmoq	Mening do'stlarim bor.
月	oy	Bugun to'rtinchi may.
再见	xayr; ko'rishguncha	Xayr, ustoz.
在	-da; bo'lmoq	Men uydaman.
怎么	qanday	Bu iyeroglif qanday o'qiladi?
怎么样	qanday; qalay	Bugun ahvoling qanday?
这	bu; bular; mana bu	Bu mening kitobim.
中国	Xitoy	Men Xitoyga boraman.
中午	tush	Tushda men guruch yeyman.
住	yashamoq; turmoq	Men Pekinda yashayman.
桌子	stol	Kitob stol ustida.
字	iyeroglif; harf; yozuv	Bu iyeroglif kichik.
昨天	kecha	Kecha men kino ko'rdim.
坐	o'tirmoq; minmoq	Men samolyotga minib Pekinga boraman.
做	qilmoq; tayyorlamoq	Men ovqat tayyorlayman.
