simplified	SW	example_SW
小	ndogo; kidogo	Kikombe hiki ni kidogo.
小姐	bi; msichana	Habari, bi.
些	kadhaa; kidogo	Nina vitabu kadhaa.
写	kuandika	Ninaandika herufi za Kichina.
谢谢	asante	Asante.
星期	wiki; siku ya wiki	Leo ni Jumatatu.
学生	mwanafunzi	Mimi ni mwanafunzi.
学习	kujifunza; kusoma	Ninajifunza Kichina.
学校	shule	Shule ni kubwa.
一	moja	Nina kikombe kimoja.
衣服	nguo	Ninanunua nguo.
医生	daktari	Yeye ni daktari.
医院	hospitali	Hospitali iko mbele ya shule.
椅子	kiti	Kiti kiko nyuma ya meza.
有	kuwa na; kuwepo	Nina marafiki.
月	mwezi; mwezi angani	Leo ni tarehe 4 Mei.
再见	kwaheri; tutaonana	Kwaheri, mwalimu.
在	katika; kuwepo	Niko nyumbani.
怎么	vipi; jinsi gani	Herufi hii ya Kichina inasomwaje?
怎么样	vipi; u hali gani	Leo u hali gani?
这	hii; hiki; hizi	Hiki ni kitabu changu.
中国	China	Ninaenda China.
中午	adhuhuri	Adhuhuri ninakula wali.
住	kuishi; kukaa	Ninaishi Beijing.
桌子	meza	Kitabu kiko juu ya meza.
字	herufi; alama	Herufi hii ya Kichina ni ndogo.
昨天	jana	Jana nilitazama filamu.
坐	kukaa; kupanda chombo cha usafiri	Ninasafiri kwenda Beijing kwa ndege.
做	kufanya; kuandaa	Ninaandaa chakula.
