source_headword	TR	example_TR
information	bilgi	Daha fazla bilgiye ihtiyacım var.
interest	ilgi	Onun sanata ilgisi var.
interested	ilgili	Müzikle ilgileniyorum.
interesting	ilginç	Bu kitap ilginç.
internet	internet	İnternet yavaş.
interview	görüşme	Bugün görüşmem var.
into	içine	Kitapları çantanın içine koy.
introduce	tanıtmak	Lütfen arkadaşını tanıt.
island	ada	Bu ada küçük.
it	o	O soğuk.
its	onun; kendi	Köpek kendi yatağını sever.
jacket	ceket	Ceketim yeni.
January	ocak	Ocak yılın ilk ayıdır.
jeans	kot pantolon	Kot pantolonum mavi.
job	iş	Yeni bir işe ihtiyacım var.
join	katılmak	Bugün sınıfımıza katıl.
journey	yolculuk	Yolculuk uzun.
juice	meyve suyu	Portakal suyu içerim.
July	temmuz	Temmuzda seyahat ederiz.
June	haziran	Okul haziranda biter.
just	sadece	Sadece suya ihtiyacım var.
keep	saklamak	Bu anahtarı sakla.
key	anahtar	Anahtarımı kaybettim.
kilometre	kilometre	Bir kilometre yürü.
kind (type)	tür	Hangi tür müziği seversin?
kitchen	mutfak	Mutfak temiz.
know	bilmek	Cevabı biliyorum.
land	kara; toprak	Uçak karada.
language	dil	İngilizce bir dildir.
large	büyük	Bu oda büyük.
last1 (final)	son	Bu son sayfa.
late	geç	Otobüs geç kaldı.
later	sonra	Sonra görüşürüz.
laugh	gülmek	Birlikte güleriz.
learn	öğrenmek	İngilizce öğreniyorum.
leave	ayrılmak; bırakmak	Kapıyı açık bırak.
left	sol	Buradan sola dön.
leg	bacak	Bacağım ağrıyor.
lesson	ders	Ders şimdi başlıyor.
let	izin vermek	Bırak sana yardım edeyim.
letter	mektup	Mektup yazarım.
library	kütüphane	Kütüphane dokuzda açılır.
lie1	uzanmak	Lütfen yatağa uzan.
life	hayat	Şehir hayatı yoğundur.
like (similar)	gibi	Bu bir oyun gibi.
like (find sb/sth pleasant)	sevmek; hoşlanmak	Bu şarkıyı seviyorum.
line	sıra	Sırada dur.
lion	aslan	Aslan uyuyor.
list	liste	Alışveriş listesi yap.
listen	dinlemek	Öğretmeni dinle.
little	küçük; az	Biraz param var.
live1	yaşamak	Okulun yakınında yaşıyorum.
local	yerel	Bu yerel bir dükkân.
long1	uzun	Yol uzun.
look	bakmak	Resme bak.
lose	kaybetmek	Biletini kaybetme.
lot	çok	Çok ödevim var.
love	sevgi; sevmek	Ailemi seviyorum.
lunch	öğle yemeği	Öğle yemeği hazır.
