source_headword	UZ	example_UZ
advocate	himoyachi	Himoyachi ijarachilarning huquqlarini himoya qildi.
aesthetic	estetik	Xona tinch estetik uslubga ega.
affection	mehr	U oilasiga mehr ko'rsatdi.
aftermath	oqibat	Bo'ronning oqibati og'ir bo'ldi.
aggression	agressiya	O'qituvchi tanaffus paytida agressiyani payqadi.
agricultural	qishloq xo'jaligi	Bu yil qishloq xo'jaligi eksporti oshdi.
aide	yordamchi	Yordamchi vazirning jadvalini tuzdi.
albeit	garchi	Reja ishladi, garchi sekin bo'lsa ham.
alert	ogohlantirmoq	Iltimos, xodimlarni darhol ogohlantiring.
align	to'g'rilamoq	O'qlar yo'l bilan bir qatorda joylashgan.
alignment	moslashuv	G'ildirak moslashuvi mashinaning boshqaruvini yaxshiladi.
alike	bir xil	Egizaklar dam olish kunlari bir xil kiyinishadi.
allegation	da'vo	Da'vo gazetada paydo bo'ldi.
allege	da'vo qilmoq	Ular mablag' yo'qolganini da'vo qilishmoqda.
allegedly	da'vo qilinishicha	Haydovchi ogohlantirishni e'tiborsiz qoldirgani aytilmoqda.
alliance	ittifoq	Partiyalar vaqtinchalik ittifoq tuzdilar.
allocate	ajratmoq	Shahar maktablar uchun pul ajratadi.
allocation	ajratish	O'rindiqlarni ajratish adolatsiz edi.
allowance	nafaqa	Uning nafaqasi tushlik va transportni qoplaydi.
ally	ittifoqchi	Kanada yaqin ittifoqchiga aylandi.
aluminium	alyuminiy	Ramka alyuminiydan qilingan.
amateur	havaskor	Havaskor fotograf suratni oldi.
ambassador	elchi	Elchi mahalliy talabalar bilan uchrashdi.
amend	o'zgartirmoq	Parlament qonunni o'zgartirish uchun ovoz berdi.
amendment	tuzatish	Tuzatish bitta xatbashini o'zgartirdi.
amid	o'rtasida	Nutq keskinlik kuchayib borayotgan bir paytda yangradi.
analogy	analogiya	O'qituvchi oddiy analogiyadan foydalangan.
anchor	langar	Qayiq orol yaqinida langar tashladi.
angel	farishta	Bola farishta libosini kiygan edi.
anonymous	anonim	Shikoyat anonim edi.
apparatus	apparat	Laboratoriya apparatini tozalash kerak.
appealing	jozibali	Taklif talabalar uchun jozibali ko'rinadi.
appetite	ishtaha	Jismoniy mashqlar uning ishtahasini oshirdi.
applaud	qarsak chalmoq	Tomoshabinlar baland ovozda qarsak chala boshladilar.
applicable	qo'llaniladi	Chegirma bugun qo'llaniladi.
appoint	tayinlamoq	Kengash direktorni tayinlaydi.
appreciation	minnatdorchilik	U ularning yordami uchun minnatdorchilik bildirdi.
arbitrary	ixtiyoriy	Belgilangan muddat xodimlarga ixtiyoriy tuyuldi.
architectural	me'moriy	Shahar o'zining me'moriy merosini himoya qiladi.
archive	arxiv	Arxiv eski fotosuratlarni saqlaydi.
arena	arena	Munozara jamoat arenasiga o'tdi.
arguably	bahslashish mumkinki	Bu, shubhasiz, uning eng yaxshi romani.
arm	qurollantirmoq	Soqchilar koloniyani qurollantiradilar.
array	qator	Do'kon ko'plab asboblarni taklif qiladi.
articulate	aniq ifodalamoq	U murakkab g'oyalarni aniq ifoda eta oladi.
ash	kul	Yong'indan keyin mashinani kul qopladi.
aspiration	intilish	Uning intilishi jarroh bo'lishdir.
aspire	intilmoq	Ko'p talabalar chet elda o'qishga intilishadi.
assassination	suiqasd	Suiqasd mamlakat siyosatini o'zgartirdi.
assault	hujum	Bekat yaqinida hujum sodir bo'ldi.
assemble	yig'moq	Ishchilar mebelni qo'lda yig'ishadi.
assembly	majlis	Maktab majlisi soat to'qqizda boshlanadi.
assert	ta'kidlamoq	U o'z hokimiyatini ko'rsatishga harakat qildi.
assertion	tasdiq	Uning tasdig'i panelni ajablantirdi.
assurance	ishonch	Menejer yordam berishga ishonch bildirdi.
asylum	boshpana	Oila chegarada boshpana so'radi.
atrocity	vahshiylik	Filmda urush davridagi vahshiylik tasvirlangan.
attain	erishmoq	Kamdan-kam yuguruvchilar bu tezlikka erishadilar.
attendance	davomat	E'londan keyin davomat yaxshilandi.
attorney	advokat	Advokat guvohni so'roq qildi.
attribute	bog'lamoq	Olimlar o'sishni ifloslanish bilan bog'lashadi.
audit	audit	Audit bir nechta xatolarni aniqladi.
authentic	haqiqiy	Restoranda haqiqiy mintaqaviy taomlar beriladi.
authorize	ruxsat bermoq	Faqat menejerlar to'lovni qaytarishga ruxsat berishi mumkin.
auto	avto	Avto sanoati tez o'zgardi.
autonomy	muxtoriyat	Mintaqa ko'proq muxtoriyat xohlaydi.
availability	mavjudlik	O'rindiqlarning mavjudligi cheklangan.
await	kutmoq	Bir nechta xabarlar javobingizni kutmoqda.
backdrop	fon	Tog'lar dramatik fon yaratdi.
backing	qo'llab-quvvatlash	Taklif saylovchilar tomonidan qo'llab-quvvatlandi.
backup	zaxira	Tizim har kuni zaxira nusxasini yaratadi.
bail	garov	Sudya tushda garov pulini belgiladi.
ballot	saylov byulleteni	Har bir saylovchi saylov byulletenini oldi.
banner	banner	Banner kirish eshigi tepasida osilgan edi.
bare	bo'm-bo'sh	Xonaning devorlari bo'm-bo'sh edi.
barrel	bochka	Bochka suvga to'la edi.
bass1	bas	Bas chuqur va iliq yangradi.
battlefield	jang maydoni	Eski jang maydoni yodgorlikka aylandi.
bay	ko'rfaz	Qishloq tinch ko'rfaz yonida joylashgan.
beam	to'sin	Po'lat to'sin tomni ushlab turadi.
beast	maxluq	Hikoya yovvoyi maxluqni tasvirlaydi.
behalf	nomidan	U o'z jamoasi nomidan gapirdi.
beloved	sevimli	Sevimli o'qituvchi bugun nafaqaga chiqdi.
bench	skameyka	Ular yog'och skameykada o'tirishdi.
benchmark	mezon	Sinov sanoat mezoniga aylandi.
beneath	ostida	Hujjatlar papka ostida edi.
beneficiary	benefitsiar	Uning o'g'li asosiy benefitsiar edi.
betray	xiyonat qilmoq	Do'stingizning ishonchiga xiyonat qilmang.
bind	majbur qilmoq	Kelishuv ikkala kompaniyani ham majbur qiladi.
biography	tarjimai hol	Uning tarjimai holi ko'p nusxada sotilgan.
bishop	yepiskop	Yepiskop qishloq cherkoviga tashrif buyurdi.
bizarre	g'alati	Film g'alati yakun topdi.
blade	tig'	Tig' arqonni kesib yubordi.
blast	portlash	Portlash yaqin atrofdagi derazalarni sindirdi.
bleed	qonamoq	Kesilgan joydan qattiq qon keta boshladi.
blend	aralashtirmoq	Sousni silliq bo'lguncha aralashtiring.
bless	duo qilmoq	Ruhoniy uyni duo qiladi.
blessing	marhamat	Qo'llab-quvvatlash bu marhamat edi.
boast	maqtanmoq	U pul bilan maqtanadi.
bonus	mukofot	Xodimlar bayram mukofotini oldilar.
boom	bum	Shaharda qurilish jadal rivojlandi.
bounce	sakramoq	To'p juda baland sakrashi mumkin.
boundary	chegara	Daryo chegarani belgilaydi.
bow1	ta'zim qilmoq	Aktyor chuqur ta'zim qildi.
breach	qoidabuzarlik	Qoidabuzarlik shaxsiy ma'lumotlarni oshkor qildi.
breakdown	taqsimot	Hisobot xarajatlar taqsimotini o'z ichiga oladi.
breakthrough	yutuq	Kashfiyot katta yutuq bo'ldi.
breed	ko'paymoq	Bu qushlar bahorda ko'payadi.
broadband	keng polosali aloqa	Ofisga tezroq keng polosali aloqa kerak.
browser	brauzer	Kirishdan oldin brauzeringizni yangilang.
brutal	shafqatsiz	Hujum shafqatsiz va to'satdan bo'ldi.
buck	dollar	Chipta o'n dollar turadi.
buddy	do'st	Uning do'sti tashqarida kutib turardi.
buffer	to'siq	Daraxtlar shovqin to'sig'ini yaratadi.
bulk	katta miqdor	Ular guruchni katta miqdorda sotib oldilar.
burden	yuk	Qarz og'ir yukka aylandi.
bureaucracy	byurokratiya	Byurokratiya ruxsatnomani kechiktirdi.
burial	dafn marosimi	Dafn marosimi tongda bo'lib o'tdi.
burst	yorilmoq	Quvur bosim ostida yorilib ketishi mumkin.
cabinet	vazirlar mahkamasi	Vazirlar mahkamasi rejani tasdiqladi.
calculation	hisoblash	Hisoblash bir necha daqiqa davom etdi.
canvas	polotno	Rassom katta polotnoga rasm chizdi.
capability	imkoniyat	Qurilma simsiz aloqa imkoniyatiga ega.
capitalism	kapitalizm	Kapitalizm zamonaviy iqtisodiyotni shakllantirdi.
capitalist	kapitalistik	Kapitalistik tizim xususiy sarmoyani rag'batlantiradi.
cargo	yuk	Kema tibbiy yuk tashidi.
carriage	vagon	Poyezd vagoni deyarli bo'sh edi.
carve	o'ymoq	U yog'ochni ehtiyotkorlik bilan o'yadi.
casino	kazino	Mehmonxona yaqinida kazino ochildi.
casualty	qurbon	Halokat bitta qurbonga sabab bo'ldi.
catalogue	katalog	Katalog har bir mahsulotni ro'yxatga oladi.
cater	xizmat ko'rsatmoq	Restoran katta tadbirlarga xizmat ko'rsatishi mumkin.
cattle	qoramol	Qoramollar daryo bo'yida o'tlab yurardi.
caution	ehtiyotkorlik	Muzli yo'llarda ehtiyot bo'ling.
cautious	ehtiyotkor	Investorlar bu hafta ehtiyotkor bo'lib qolishadi.
cease	to'xtatmoq	Zavod tez orada ishlab chiqarishni to'xtatadi.
cemetery	qabriston	Qabriston dengizga qaragan.
chamber	palata	Ovoz berish vaqtida palata jim edi.
chaos	tartibsizlik	Kechikish aeroportda tartibsizlikni keltirib chiqardi.
characterize	ta'riflamoq	Mutaxassislar rejani xavfli deb ta'riflamoqda.
charm	joziba	Shaharda qadimiy joziba bor.
charter	nizom	Nizom asosiy huquqlarni himoya qiladi.
chronic	surunkali	U surunkali bel og'rig'idan aziyat chekadi.
chunk	bo'lak	Pishloqni bo'laklarga bo'ling.
circulate	tarqatmoq	Iltimos, bugun kun tartibini tarqating.
circulation	adad	Gazetaning adadi keskin tushib ketdi.
citizenship	fuqarolik	U Fransiya fuqaroligini olish uchun ariza topshirdi.
civic	shahar	Uchrashuvda shahar rahbarlari ishtirok etishdi.
civilian	tinch aholi	Tinch aholining bir nechta uylari zarar ko'rgan.
clarity	aniqlik	Diagramma hisobotga aniqlik kiritdi.
clash	to'qnashuv	To'qnashuv marshdan keyin boshlandi.
classification	tasniflash	Tasniflash o'lchamga bog'liq.
cling	yopishib olmoq	Ho'l kiyimlar teriga yopishadi.
clinical	klinik	Klinik sinov kelasi oy boshlanadi.
closure	xotima	Oila suddan keyin xotima topishini xohladi.
cluster	to'da	Yaqin atrofda uylar to'dasi bor edi.
coalition	koalitsiya	Koalitsiya ko'pchilik ovozni yo'qotdi.
coastal	qirg'oq	Qirg'oq bo'yidagi qishloqlar toshqinga tayyorgarlik ko'rishdi.
cocktail	kokteyl	U mevali kokteyl buyurtma qildi.
cognitive	kognitiv	Kognitiv qobiliyatlar amaliyot bilan yaxshilanadi.
coincide	mos kelmoq	Festival bitiruv bilan bir vaqtga to'g'ri keladi.
collaborate	hamkorlik qilmoq	Jamoalar dasturiy ta'minot bo'yicha hamkorlik qilishadi.
collaboration	hamkorlik	Ularning hamkorligi kuchli natijalar berdi.
collective	jamoaviy	Bu qaror jamoaviy harakat edi.
collision	to'qnashuv	To'qnashuv avtomagistralni to'sib qo'ydi.
colonial	mustamlaka	Bino mustamlaka me'morchiligiga ega.
columnist	sharhlovchi	Sharhlovchi siyosatni tanqid qildi.
combat	jang	Askarlar jang uchun mashq qildilar.
commence	boshlamoq	Marosim tushda boshlanadi.
commentary	sharh	O'yin sharhi jonli edi.
commentator	sharhlovchi	Sharhlovchi qarorni tushuntirdi.
commerce	savdo	Onlayn savdo tez o'sdi.
commissioner	komissar	Komissar yangi qoidalarni e'lon qildi.
commodity	tovar	Bug'doy muhim tovardir.
communist	kommunistik	Kommunistik partiya yig'ilish o'tkazdi.
companion	hamroh	Uning iti sodiq hamrohdir.
comparable	solishtirib bo'ladigan	Ikkala shahar hajmi jihatidan solishtirib bo'ladigan darajada.
compassion	rahm-shafqat	Hamshira katta rahm-shafqat ko'rsatdi.
compel	majbur qilmoq	Dalillar javob berishga majbur qilishi mumkin.
compelling	ishonchli	Hujjatli film ishonchli dalillarni keltirdi.
compensate	qoplamoq	Kompaniya jabrlangan mijozlarga zararni qoplaydi.
compensation	tovon puli	Ishchilar adolatli tovon puli talab qildilar.
competence	malaka	Sinov kasbiy malakani o'lchaydi.
competent	malakali	U malakali muhandis.
compile	to'plamoq	Tadqiqotchilar shifoxonalardan ma'lumotlarni to'plashadi.
complement	to'ldirmoq	Vino taomni to'ldiradi.
complexity	murakkablik	Loyiha kutilmagan murakkablikka ega.
compliance	rioya qilish	Audit qonuniy rioya qilinishini tekshirdi.
complication	asorat	Jarrohlik amaliyotida bitta asorat bor edi.
comply	rioya qilmoq	Kompaniyalar qoidalarga rioya qilishlari kerak.
composition	kompozitsiya	Kompozitsiya skripka va pianinoni o'z ichiga oladi.
compromise	murosa	Murosa ikkala tomonni ham qoniqtirdi.
compute	hisoblamoq	Dastur jami miqdorni hisoblashi mumkin.
conceal	yashirmoq	U zararni yashirishga harakat qildi.
concede	tan olmoq	Vazir mag'lubiyatni tan olishdan bosh tortdi.
conceive	o'ylab topmoq	Ular yaxshiroq rejani o'ylab topa olmadilar.
conception	tushuncha	Film mening tarix haqidagi tushunchamni o'zgartirdi.
concession	yon berish	Kompaniya bitta yon berishni taklif qildi.
condemn	qoralamoq	Yetakchilar hujumni ochiqchasiga qoralaydilar.
confer	taqdim etmoq	Mukofot obro' baxsh etadi.
confession	iqror bo'lish	Uning iqror bo'lishi sudni hayratda qoldirdi.
configuration	konfiguratsiya	Konfiguratsiya tarmoqqa kirishni nazorat qiladi.
confine	cheklamoq	Qoidalar itlarni shu hududga cheklaydi.
confirmation	tasdiq	Biz elektron pochta orqali tasdiq oldik.
confront	yuzlashmoq	U muammoga yuzlashishga qaror qildi.
confrontation	to'qnashuv	To'qnashuv zo'ravonliksiz yakunlandi.
congratulate	tabriklamoq	Men singlimni tabriklash uchun qo'ng'iroq qildim.
congregation	jamoat	Jamoat birgalikda qo'shiq kuyladi.
congressional	kongressga oid	Kongress eshituvi soatlab davom etdi.
conquer	zabt etmoq	Jamoa bozorni zabt etishga umid qilmoqda.
conscience	vijdon	Uning vijdoni yolg'on gapirishga yo'l qo'ymasdi.
consciousness	ong	Baxtsiz hodisa uning ongiga ta'sir qildi.
consecutive	ketma-ket	U ketma-ket uchta o'yinda g'alaba qozondi.
consensus	hamfikrlik	Qo'mita tezda hamfikrlikka erishdi.
consent	rozilik	Yozma rozilik talab qilinadi.
conserve	tejamoq	Qurg'oqchilik paytida biz suvni tejaymiz.
consistency	barqarorlik	Til o'rganishda barqarorlik muhim ahamiyatga ega.
consolidate	birlashtirmoq	Kompaniya ikkita ofisni birlashtiradi.
constituency	saylov okrugi	Nomzod har bir saylov okrugiga tashrif buyurdi.
constitute	tashkil etmoq	Ayollar qo'mitaning yarmini tashkil etadi.
constitution	konstitutsiya	Konstitutsiya so'z erkinligini kafolatlaydi.
constitutional	konstitutsiyaviy	Sud konstitutsiyaviy huquqlarni ko'rib chiqdi.
constraint	cheklov	Byudjet cheklovi loyihani cheklab qo'ydi.
consultation	maslahatlashuv	Maslahatlashuv ikki hafta davom etdi.
contemplate	mulohaza yuritmoq	U taklif haqida mulohaza yuritish uchun to'xtab qoldi.
contempt	mensimaslik	U qoidalarga nisbatan mensimaslikni ko'rsatdi.
contend	kurashmoq	Shartnoma uchun bir nechta firmalar kurashmoqda.
contender	da'vogar	U kuchli da'vogar.
content2	mamnun	U natijadan mamnun edi.
contention	tortishuv	Asosiy tortishuv moliyalashtirishga taalluqlidir.
continually	doimiy ravishda	Tizim doimiy ravishda xatolarni tekshiradi.
contractor	pudratchi	Pudratchi tomni ta'mirladi.
contradiction	qarama-qarshilik	Uning bayonotida qarama-qarshilik bor edi.
contrary	qarama-qarshi	Qarama-qarshi dalillar ishni o'zgartirdi.
contributor	hissa qo'shuvchi	U muntazam hissa qo'shuvchi.
conversion	ayirboshlash	Ayirboshlash dollarni yevroga aylantirdi.
convict	hukm qilmoq	Hay'at a'zolari gumondorni hukm qilishlari mumkin.
conviction	sudlanganlik	Uning sudlanganligi jamoatchilikni hayratda qoldirdi.
cooperate	hamkorlik qilmoq	Iltimos, tergov bilan hamkorlik qiling.
cooperative	hamkor	Xodimlar hamkor va xotirjam edilar.
coordinate	muvofiqlashtirmoq	Ular har kuni ertalab yetkazib berishni muvofiqlashtiradilar.
coordination	muvofiqlashtirish	Yaxshi muvofiqlashtirish vaqtni tejadi.
coordinator	koordinator	Koordinator har bir vazifani tayinladi.
cop	politsiyachi	Bekat tashqarisida politsiyachi turardi.
copper	mis	Quvur misdan yasalgan.
copyright	mualliflik huquqi	Tasvir mualliflik huquqi bilan himoyalangan.
correction	tuzatish	O'qituvchi bitta tuzatish kiritdi.
correlate	bog'liq bo'lmoq	Yuqori stress kasallik bilan bog'liq bo'lishi mumkin.
correlation	o'zaro bog'liqlik	Tadqiqot kuchli o'zaro bog'liqlikni aniqladi.
correspond	mos kelmoq	Bu raqamlar yorliqlarga mos keladi.
correspondence	yozishmalar	Ularning yozishmalari yillab davom etdi.
correspondent	muxbir	Muxbir Qohiradan xabar berdi.
corresponding	tegishli	Har bir tugmaning mos chirog'i bor.
corrupt	poraxo'r	Poraxo'r amaldor pul oldi.
corruption	korrupsiya	Korrupsiya jamoatchilik ishonchini zaiflashtirdi.
costly	qimmatbaho	Xato jamoa uchun qimmatga tushdi.
councillor	maslahatchi	Maslahatchi aholining savollariga javob berdi.
counselling	maslahat berish	U baxtsiz hodisadan keyin maslahat oldi.
counsellor	maslahatchi	Maslahatchi yangi talabalarga yordam berdi.
counter (argue against)	qarshi chiqmoq	U uning daliliga qarshi chiqishga harakat qildi.
counterpart	hamkasb	U yaponiyalik hamkasbi bilan uchrashdi.
countless	sanoqsiz	Sanoqsiz ko'ngillilar qidiruvga qo'shildi.
coup	to'ntarish	To'ntarish prezidentni olib tashladi.
courtesy	xushmuomalalik	U ularga xushmuomalaliklari uchun minnatdorchilik bildirdi.
