source_headword	FR	example_FR
campus	le campus	Les étudiants vivent près du campus.
candidate	le candidat	Chaque candidat a répondu à trois questions.
cap	la casquette	Il portait une casquette de baseball.
captain	le capitaine	Le capitaine a parlé à l'équipe.
careless	négligent	Une erreur négligente nous a coûté du temps.
category	la catégorie	Choisis la bonne catégorie.
ceiling	le plafond	Le plafond a été peint en blanc.
celebration	la célébration	La célébration a duré toute la soirée.
central	central	L'hôtel a un emplacement central.
ceremony	la cérémonie	La cérémonie a commencé à midi.
chain	la chaîne	Elle portait une chaîne en argent.
challenge	le défi	Ce projet est un vrai défi.
champion	le champion	La championne a remercié son entraîneuse.
channel	la chaîne	Change de chaîne, s'il te plaît.
chapter	le chapitre	Lis le prochain chapitre ce soir.
charge	les frais	Il n'y a pas de frais pour les enfants.
cheat	tricher	Ne triche pas au test.
cheerful	joyeux	Elle avait l'air joyeuse ce matin.
chemical	chimique	L'odeur chimique était forte.
chest	la poitrine	Sa poitrine lui faisait mal après avoir couru.
childhood	l'enfance	Je me souviens de ma maison d'enfance.
claim	affirmer	Ils affirment que le produit est sûr.
clause	la clause	Cette clause change le sens.
click	cliquer	Clique sur le bouton bleu.
client	le client	Le client a demandé plus de détails.
cloth	le chiffon	Essuie la table avec ce chiffon.
clue	l'indice	L'indice nous a aidés à le résoudre.
coal	le charbon	L'ancien train utilisait du charbon.
coin	la pièce	Il a trouvé une pièce par terre.
collection	la collection	Sa collection de timbres est grande.
coloured	coloré	Elle portait une écharpe colorée.
combine	combiner	Combine la farine et l'eau.
commercial	publicitaire	La pause publicitaire a duré cinq minutes.
commit	s'engager	Nous devons nous engager dans le plan.
communication	la communication	Une bonne communication évite les erreurs.
comparison	la comparaison	Cette comparaison est utile.
competitive	compétitif	Le marché est très compétitif.
competitor	le concurrent	Notre principal concurrent a baissé ses prix.
complaint	la plainte	Elle a déposé une plainte pour le bruit.
complex	complexe	Les instructions sont trop complexes.
concentrate	se concentrer	Je ne peux pas me concentrer avec la musique.
conclude	conclure	Nous concluons la réunion maintenant.
conclusion	la conclusion	Sa conclusion semblait raisonnable.
confident	confiant	Elle s'est sentie confiante avant l'entretien.
confirm	confirmer	Veuillez confirmer votre adresse courriel.
confuse	confondre	Ces deux noms me confondent.
confused	perdu	Je me suis senti perdu avec la carte.
connection	la connexion	La connexion Internet est lente.
consequence	la conséquence	Manquer de sommeil a une conséquence.
consist	consister	Le repas consiste en trois plats.
consume	consommer	Les grandes voitures consomment plus de carburant.
consumer	le consommateur	Le consommateur veut des informations claires.
contact	le contact	Contacte-moi après le déjeuner.
container	le récipient	Mets la soupe dans un récipient.
content1	le contenu	Le contenu du cours est utile.
continuous	continu	La machine faisait un bruit continu.
contrast	le contraste	Le contraste entre eux est clair.
convenient	pratique	La gare est très pratique.
convince	convaincre	Elle l'a convaincu d'essayer encore.
costume	le costume	Il portait un costume de pirate.
cottage	le chalet	Ils ont loué un petit chalet.
cotton	le coton	Cette chemise est en coton.
countryside	la campagne	Nous avons marché dans la campagne.
court	le tribunal	L'affaire est allée au tribunal.
covered	couvert	La table était couverte de papiers.
cruel	cruel	C'était cruel de rire.
cultural	culturel	Le musée propose des événements culturels.
currency	la monnaie	La monnaie locale est l'euro.
current	actuel	La situation actuelle est difficile.
currently	actuellement	Elle étudie actuellement à l'étranger.
curtain	le rideau	Ferme le rideau la nuit.
custom	la coutume	Cette coutume est très ancienne.
damage	les dégâts	La tempête a causé de graves dégâts.
decade	la décennie	Ils y ont vécu pendant une décennie.
decorate	décorer	Nous décorons la pièce ensemble.
define	définir	Peux-tu définir ce terme ?
definite	défini	Nous avons besoin d'une réponse définie.
definition	la définition	Écris la définition dans ton cahier.
deliver	livrer	Ils livrent de la nourriture chez nous.
departure	le départ	L'heure de départ a changé.
despite	malgré	Malgré la pluie, nous avons marché.
destination	la destination	Paris était leur destination finale.
determine	déterminer	Les tests déterminent ton niveau.
determined	déterminé	Elle était déterminée à réussir.
development	le développement	Le développement de la ville a été rapide.
diagram	le diagramme	Dessine un diagramme simple.
diamond	le diamant	La bague avait un petit diamant.
difficulty	la difficulté	Il a eu du mal à ouvrir la porte.
directly	directement	Parle-moi directement, s'il te plaît.
dirt	la saleté	Ses chaussures étaient couvertes de saleté.
disadvantage	l'inconvénient	Le long voyage est un inconvénient.
disappointed	déçu	Elle s'est sentie déçue par le résultat.
disappointing	décevant	La fin était décevante.
discount	la réduction	Les étudiants obtiennent une réduction ici.
dislike	ne pas aimer	Je n'aime pas la musique très forte.
divide	diviser	Divise le gâteau en morceaux.
documentary	le documentaire	Nous avons regardé un documentaire sur l'espace.
donate	donner	Beaucoup de gens donnent de vieux vêtements.
doubt	le doute	Je n'ai aucun doute à ce sujet.
dressed	habillé	Il était habillé en noir.
drum	le tambour	Le tambour a résonné dans la pièce.
drunk	ivre	Le conducteur était ivre.
due	à rendre	Le rapport est à rendre demain.
dust	la poussière	La poussière couvrait les vieux livres.
duty	le devoir	C'est mon devoir d'aider.
earthquake	le tremblement de terre	Le tremblement de terre a endommagé le pont.
eastern	oriental	La côte orientale est venteuse.
economic	économique	Le pays fait face à des problèmes économiques.
economy	l'économie	L'économie a grandi cette année.
edge	le bord	Éloigne-toi du bord.
editor	le rédacteur	Le rédacteur a vérifié l'article.
educate	éduquer	Les écoles éduquent les jeunes.
educated	instruit	Elle est très instruite.
educational	éducatif	Le jeu est éducatif.
effective	efficace	Ce médicament est efficace.
effectively	efficacement	Elle a expliqué la règle efficacement.
effort	l'effort	Ton effort a fait une différence.
election	l'élection	Le résultat de l'élection était serré.
element	l'élément	La confiance est un élément important.
embarrassed	gêné	Il s'est senti gêné après être tombé.
embarrassing	gênant	C'était une erreur gênante.
emergency	l'urgence	Appelle ce numéro en cas d'urgence.
emotion	l'émotion	La peur est une émotion forte.
employment	l'emploi	L'emploi a augmenté ce mois-ci.
encourage	encourager	Les enseignants encouragent les élèves à lire.
enemy	l'ennemi	Les deux pays étaient ennemis.
engaged	fiancé	Ils se sont fiancés au printemps dernier.
engineering	l'ingénierie	Elle étudie l'ingénierie à l'université.
entertain	divertir	Le chanteur divertira les invités.
entertainment	le divertissement	La ville offre des divertissements le soir.
entrance	l'entrée	Retrouve-moi à l'entrée.
entry	l'entrée	L'entrée est gratuite pour les enfants.
environmental	environnemental	Nous avons discuté de problèmes environnementaux.
episode	l'épisode	Le dernier épisode était passionnant.
equal	égal	Ils reçoivent un salaire égal.
equally	également	Le travail est partagé également.
escape	s'échapper	Les prisonniers ont essayé de s'échapper.
essential	essentiel	L'eau est essentielle à la vie.
eventually	finalement	Finalement, nous avons trouvé l'hôtel.
examine	examiner	Le médecin a examiné mon bras.
exchange	l'échange	Nous avons fait un échange au magasin.
excitement	l'enthousiasme	Le match était plein d'enthousiasme.
exhibition	l'exposition	L'exposition d'art ouvre demain.
expand	se développer	L'entreprise prévoit de se développer.
expected	prévu	Le coût prévu est élevé.
expedition	l'expédition	L'expédition a traversé le désert.
experienced	expérimenté	Elle est une infirmière expérimentée.
explode	exploser	La bouteille peut exploser sous la chaleur.
explore	explorer	Nous avons exploré la vieille ville.
explosion	l'explosion	L'explosion a brisé plusieurs fenêtres.
export	l'exportation	Le café est une exportation importante.
fairly	assez	Le test était assez facile.
familiar	familier	Son visage me semblait familier.
fancy	avoir envie de	As-tu envie d'un café ?
fascinating	fascinant	L'histoire était fascinante.
fashionable	à la mode	Ces chaussures sont à la mode.
fasten	attacher	Attache ta ceinture de sécurité.
favour	un service	Peux-tu me rendre un service ?
fence	la clôture	La clôture entoure le jardin.
fighting	les combats	Les combats ont cessé à l'aube.
file	le fichier	Enregistre le fichier avant de fermer.
financial	financier	Elle a besoin de conseils financiers.
fitness	la forme physique	Courir améliore ta forme physique.
fixed	fixe	Le prix est fixe.
flag	le drapeau	Le drapeau flottait au-dessus de l'école.
flood	l'inondation	L'inondation a endommagé de nombreuses maisons.
flour	la farine	Ajoute de la farine dans le bol.
flow	couler	La rivière coule à travers la ville.
fold	plier	Plie le papier en deux.
folk	folklorique	La musique folklorique remplissait la salle.
force	la force	Le vent avait une grande force.
forever	pour toujours	Je me souviendrai de cela pour toujours.
frame	le cadre	La photo a besoin d'un cadre.
freeze	geler	L'eau va geler pendant la nuit.
frequently	fréquemment	Il rend fréquemment visite à ses parents.
friendship	l'amitié	Leur amitié a duré des années.
frighten	effrayer	Les bruits forts effraient le bébé.
frightened	effrayé	L'enfant avait l'air effrayé.
frightening	effrayant	L'orage était effrayant.
frozen	gelé	Le lac était gelé.
fry	frire	Fais frire les oignons pendant cinq minutes.
fuel	le carburant	La voiture a besoin de plus de carburant.
function	la fonction	Ce bouton a une seule fonction.
fur	la fourrure	Le chat a une fourrure douce.
garage	le garage	La voiture est dans le garage.
gather	se rassembler	Nous nous sommes rassemblés autour de la table.
generally	généralement	Elle arrive généralement tôt.
generation	la génération	Chaque génération fait face à de nouveaux problèmes.
generous	généreux	Il est généreux avec son temps.
gentle	doux	Utilise une voix douce.
gentleman	le monsieur	Le monsieur a ouvert la porte.
ghost	le fantôme	L'histoire mentionne un fantôme.
giant	géant	Un écran géant remplissait la scène.
glad	content	Je suis content que tu sois venu.
global	mondial	Le changement climatique est un problème mondial.
glove	le gant	J'ai perdu un gant.
goods	les marchandises	Les marchandises sont arrivées en retard.
grade	la note	Elle a obtenu une note élevée.
graduate	le diplômé	Il est un diplômé récent.
grain	le grain	Un grain de riz est tombé.
grateful	reconnaissant	Je suis reconnaissant pour ton soutien.
growth	la croissance	La plante a montré une croissance régulière.
guard	le garde	Le garde a vérifié nos billets.
guilty	coupable	Il s'est senti coupable d'avoir menti.
hang	accrocher	Accroche ton manteau ici.
happiness	le bonheur	L'argent ne peut pas acheter le bonheur.
hardly	à peine	Je pouvais à peine t'entendre.
headline	le titre	Le titre a attiré mon attention.
heating	le chauffage	Le chauffage a cessé de fonctionner.
heavily	fortement	Il a plu fortement toute la nuit.
helicopter	l'hélicoptère	Un hélicoptère a atterri tout près.
highlight	surligner	Surligne l'idée principale, s'il te plaît.
highly	très	Elle est très respectée.
hire	louer	Nous devons louer une voiture.
historic	historique	Nous avons visité un bâtiment historique.
historical	historique	Elle aime les romans historiques.
honest	honnête	Donne une réponse honnête, s'il te plaît.
horrible	horrible	L'odeur était horrible.
horror	l'horreur	Il aime les films d'horreur.
host	l'hôte	L'hôte a accueilli chaque invité.
