source_headword	BG	example_BG
literally	буквално	Тя буквално тичаше към автобуса.
literary	литературен	Фестивалът почита литературните произведения.
litre	литър	Купете литър мляко.
litter	боклук	Не изхвърляйте боклук.
logo	лого	Логото се появява на всяка страница.
lottery	лотария	Той спечели малка награда от лотарията.
loyal	верен	Кучето беше вернo на собственика си.
lyric	текст на песен	Текстът на песента повтаряше основната идея.
magnificent	великолепен	Дворецът изглеждаше великолепен.
make-up	грим	Тя носеше прост грим.
making	създаване	Създаването на филма беше трудно.
manufacture	произвеждам	Фабриката ще произвежда телефони.
manufacturing	производство	Работните места в производството се увеличиха на местно ниво.
marathon	маратон	Тя завърши маратона.
margin	поле	Пишете бележки в полето.
marker	маркер	Използвайте маркер за етикета.
martial	боен	Той изучава бойни изкуства.
mate	приятел	Моят стар приятел от училище се обади вчера.
mayor	кмет	Кметът отвори библиотеката.
mechanic	механик	Механикът ремонтира автобуса.
mechanical	механичен	Часовникът има механична повреда.
mechanism	механизъм	Заключващият механизъм е прост.
medal	медал	Тя спечели златен медал.
medication	лекарство	Приемайте лекарството с вода.
membership	членство	Членството във фитнеса струва по-малко онлайн.
memorable	незабравим	Пътуването беше незабравимо.
metaphor	метафора	Стихотворението използва силна метафора.
miner	миньор	Миньорът работеше под земята.
miserable	нещастен	Дъждът направи пикника нещастен.
mode	режим	Превключете камерата на нощен режим.
modest	скромен	Те живеят в скромна къща.
monster	чудовище	В историята има страшно чудовище.
monthly	месечен	Ние плащаме наема месечно.
monument	паметник	Паметникът стои близо до реката.
moreover	освен това	Освен това планът спестява пари.
mortgage	ипотека	Те кандидатстваха за ипотека.
mosque	джамия	Джамията е близо до пазара.
motion	движение	Сензорът открива движение.
motivate	мотивирам	Похвалата може да мотивира учениците.
motivation	мотивация	Нейната мотивация остана силна.
moving	трогателен	Речта беше трогателна.
myth	мит	Митът обяснява името на планината.
naked	гол	Бебето беше голо след банята.
nasty	гаден	Порязването изглеждаше гадно.
navigation	навигация	Приложението подобрява навигацията.
nearby	близък	Едно близко кафене отваря рано.
necessity	необходимост	Чистата вода е необходимост.
negotiate	преговарям	Те ще преговарят за договора утре.
negotiation	преговори	Преговорите продължиха цяла сутрин.
neutral	неутрален	Съдията остана неутрален.
newly	наскоро	Наскоро боядисаната врата изглеждаше ярка.
norm	норма	Дистанционната работа стана норма.
notebook	тетрадка	Пишете бележки в тетрадката си.
novelist	романист	Романистът подписа книгата си.
nowadays	в наши дни	В наши дни много хора работят онлайн.
nursing	медицинска грижа	Тя учи за медицинска сестра.
nutrition	хранене	Доброто хранене поддържа здравето.
obesity	затлъстяване	Затлъстяването увеличава рисковете за здравето.
observer	наблюдател	Наблюдателят записа резултатите.
obstacle	препятствие	Падналото дърво беше препятствие.
occupation	професия	Моля, напишете професията си тук.
occupy	заемам	Семейството ще заеме апартамента.
offender	нарушител	Нарушителят се извини в съда.
ongoing	текущ	Разследването е текущо.
openly	открито	Тя говореше открито за страховете си.
opera	опера	Гледахме опера в Милано.
operator	оператор	Операторът свърза разговора.
optimistic	оптимистичен	Тя се чувства оптимистично за бъдещето.
orchestra	оркестър	Оркестърът свиреше тихо.
organic	органичен	Те купиха органични зеленчуци.
outfit	облекло	Нейното облекло съответстваше на случая.
output	производителност	Производителността на машината се увеличи.
outstanding	изключителен	Неговото представяне беше изключително.
overcome	преодолявам	Те преодоляват проблемите заедно.
overnight	за една нощ	Пакетът пристигна за една нощ.
overseas	в чужбина	Той намери работа в чужбина.
ownership	собственост	Собствеността върху земята се промени.
oxygen	кислород	Растенията произвеждат кислород.
packet	пакет	Отворете пакета внимателно.
palm	длан	Дръжте монетата в дланта си.
panic	паника	Паника се разпространи сред тълпата.
parade	парад	Парадът започна по обед.
parallel	успореден	Пътищата вървят успоредно.
participation	участие	Участието в клас се подобри.
partnership	партньорство	Партньорството помогна и на двете компании.
part-time	на непълен работен ден	Тя си намери работа на непълен работен ден.
passionate	страстен	Той е страстен по музиката.
password	парола	Изберете силна парола.
patience	търпение	Преподаването на малки деца изисква търпение.
pause	спирам на пауза	Спрете видеото на пауза сега.
peer	връстник	Натискът от връстниците повлия на избора му.
penalty	дузпа	Играчът получи дузпа.
perceive	възприемам	Хората възприемат риска по различен начин.
perception	възприятие	Неговото възприятие за опасност се промени.
permanently	постоянно	Магазинът затвори постоянно.
pill	хапче	Вземете едно хапче след закуска.
pity	жал	Жалко е.
placement	разположение	Разположението на дивана има значение.
portion	порция	Сервирайте малка порция ориз.
potentially	потенциално	Тази промяна е потенциално полезна.
precede	предшествам	Тъмни облаци често предшестват дъжда.
precious	ценен	Пръстенът е ценен.
precise	точен	Инструкциите бяха точни.
precisely	точно	Измерете разстоянието точно.
predictable	предвидим	Краят беше предвидим.
preference	предпочитание	Тя изрази предпочитание към чая.
pride	гордост	Той изпита гордост след като приключи.
primarily	предимно	Курсът е предимно онлайн.
principal	директор	Директорът поздрави новите ученици.
prior	предварителен	Имаме нужда от предварително одобрение.
probability	вероятност	Вероятността за дъжд е висока.
probable	вероятен	Дъждът е вероятен довечера.
proceed	продължавам	Моля, продължете в следващата стая.
programming	програмиране	Програмирането изисква практика.
progressive	прогресивен	Политиката беше прогресивна за времето си.
prohibit	забранявам	Правилата забраняват пушенето.
promising	обещаващ	Резултатите изглеждат обещаващи.
promotion	повишение	Тя получи повишение в работата.
prompt	бърз	Бързият отговор спести време.
proportion	дял	Голям дял гласува с да.
protein	протеин	Бобът съдържа протеин.
protester	протестиращ	Протестиращият държеше табела.
psychological	психологически	Инцидентът причини психологически стрес.
publicity	публичност	Събитието получи публичност.
publishing	издателска дейност	Тя работи в издателската дейност.
punk	пънк	Пънк музиката стана популярна там.
purely	чисто	Изборът беше чисто практически.
pursuit	преследване	Той продължи преследването на справедливостта.
puzzle	пъзел	Пъзелът отне един час.
questionnaire	въпросник	Моля, попълнете въпросника.
racial	расов	Докладът обсъди расовото неравенство.
racism	расизъм	Расизмът вреди на общностите.
racist	расистки	Коментарът беше расистки.
radiation	радиация	Радиацията може да увреди клетките.
rail	парапет	Дръжте се за парапета на стълбите.
random	случаен	Компютърът избра случайно число.
rat	плъх	Един плъх пробяга зад кофите.
rating	рейтинг	Хотелът има висок рейтинг.
reasonably	разумно	Стаята беше разумно чиста.
rebuild	възстановявам	Те ще възстановят моста.
receiver	приемник	Приемникът улови топката.
recession	рецесия	Рецесията намали разходите.
reckon	смятам	Смятам, че влакът закъснява.
recognition	признание	Тя получи признание за работата си.
recovery	възстановяване	Възстановяването отне няколко седмици.
recruit	наемам	Компанията ще наеме инженери.
recruitment	набиране на персонал	Набирането на персонал започва следващия понеделник.
referee	съдия	Съдията спря мача.
refugee	бежанец	Бежанецът намери безопасен дом.
registration	регистрация	Регистрацията приключва в петък.
regulate	регулирам	Законът ще регулира емисиите.
reinforce	подсилвам	Допълнителни греди подсилват покрива.
relieve	облекчавам	Лекарството може да облекчи болката.
relieved	облекчен	Тя се почувства облекчена след обаждането.
remarkable	забележителен	Възстановяването беше забележително.
remarkably	забележително	Той се възстанови забележително бързо.
reporting	отчитане	Точното отчитане има значение.
resign	подавам оставка	Мениджърът ще подаде оставка утре.
resolution	разделителна способност	Екранът има висока разделителна способност.
restore	реставрирам	Работниците реставрират старата картина.
restrict	ограничавам	Правилата ограничават паркирането.
restriction	ограничение	Ограничението приключва утре.
retail	търговия на дребно	Продажбите на дребно се увеличиха.
retirement	пенсиониране	Тя планира внимателно пенсионирането си.
revenue	приход	Приходът от билети плати за ремонтите.
revision	преговор	Преговорът помогна преди изпита.
ridiculous	нелеп	Цената беше нелепа.
risky	рисков	Планът изглеждаше рисков.
rival	съперник	Нашият съперник отвори нов магазин.
rob	ограбвам	Мъжете се опитаха да ограбят банката.
robbery	обир	Обирът се случи през нощта.
rocket	ракета	Ракетата беше изстреляна успешно.
romance	романтика	Романът включва романтика.
rose	роза	Червена роза растеше до оградата.
roughly	приблизително	Присъстваха приблизително двадесет души.
ruin	съсипвам	Дъждът може да съсипе пикника.
satisfaction	удовлетворение	Удовлетворението на клиентите се подобри.
scandal	скандал	Скандалът разруши кариерата му.
scare	уплаха	Силният шум ми причини уплаха.
scenario	сценарий	Най-лошият сценарий е малко вероятен.
scholar	учен	Ученият изучаваше древни текстове.
scholarship	стипендия	Тя спечели стипендия.
scratch	драскотина	Котката остави драскотина.
screening	скрининг	Болницата предлага скрининг за рак.
seeker	търсач	Търсачът на работа изпрати кандидатури.
seminar	семинар	Семинарът започва в девет.
settler	заселник	Заселникът построи малка ферма.
severely	сериозно	Бурята сериозно повреди пътищата.
sexy	секси	Роклята се смяташе за секси.
shocking	шокиращ	Новината беше шокираща.
shore	бряг	Разхождахме се по брега.
shortage	недостиг	Градът се сблъска с недостиг на вода.
shortly	скоро	Автобусът пристигна скоро след обяд.
short-term	краткосрочен	Планът има краткосрочни ползи.
sibling	брат или сестра	Всеки брат или сестра получи подарък.
signature	подпис	Моля, добавете своя подпис.
significance	значение	Откритието има голямо значение.
skilled	квалифициран	Квалифицирани работници ремонтираха покрива.
slogan	лозунг	Кампанията използва прост лозунг.
so-called	така наречен	Така нареченият експерт направи грешки.
somehow	някак си	Някак си ключовете изчезнаха.
sometime	някога	Посетете ни някога следващата седмица.
sophisticated	сложен	Софтуерът е сложен.
spare	резервен	Пазим резервен ключ.
specialize	специализирам се	Лекарите се специализират в различни области.
specify	уточнявам	Моля, уточнете часа на пристигането си.
spectacular	грандиозен	Фойерверките бяха грандиозни.
spectator	зрител	Всеки зрител получи програма.
speculate	спекулирам	Експертите спекулират за причината.
speculation	спекулация	Статията насърчи спекулациите.
spice	подправка	Добавяйте по една подправка наведнъж.
spill	разливам	Не разливай сока.
spite	въпреки	Той успя въпреки проблемите.
spoil	развалям	Твърде много сол може развали супата.
spokesman	говорител	Говорителят отговори на въпросите.
spokesperson	говорител	Говорителят прочете изявление.
spokeswoman	говорителка	Говорителката се обърна към пресата.
sponsorship	спонсорство	Отборът се нуждае от спонсорство.
sporting	спортен	Градът е домакин на спортни събития.
stall	щанд	На пазарния щанд се продават плодове.
stance	позиция	Министърът промени позицията си.
starve	гладувам	Без храна животните могат да гладуват.
steadily	стабилно	Компанията растеше стабилно.
steam	пара	От супата се издигаше пара.
stimulate	стимулирам	Ярките цветове могат да стимулират интереса.
