source_headword	TL	example_TL
trend	uso	Ang usong ito ay lumalago sa buong mundo.
trick	trick	Ginulat ako ng card trick na iyon.
truth	katotohanan	Mangyaring sabihin ang katotohanan.
tube	tubo	Dahan-dahang pisilin ang tubo.
typically	karaniwang	Karaniwang dumarating ang mga mag-aaral bago mag-alas nuwebe.
tyre	gulong	Kailangan ng kotse ng bagong gulong.
ugly	pangit	Pangit tingnan ang kulay ng pader na iyon.
unable	hindi kaya	Hindi siya nakasagot.
uncomfortable	hindi komportable	Hindi komportable ang silyang ito.
underwear	damit-panloob	Mag-impake ng malinis na damit-panloob para sa biyahe.
unemployed	walang trabaho	Wala siyang trabaho sa loob ng dalawang buwan.
unemployment	kawalan ng trabaho	Tumaas ang kawalan ng trabaho noong taglamig.
unfair	hindi patas	Tila hindi patas ang desisyon.
union	unyon	Humiling ang unyon ng mas ligtas na trabaho.
unless	maliban kung	Huwag kang aalis maliban kung tumawag ako.
unlike	hindi katulad	Hindi katulad ni Tom, mahal ni Ana ang taglamig.
unlikely	malabong	Malabong umulan ng niyebe ngayong linggo.
unnecessary	hindi kinakailangan	Hindi kinakailangan ang mga dagdag na bag.
unpleasant	hindi kaaya-aya	May hindi kaaya-ayang amoy ang kwarto.
update	i-update	Kailangan kong i-update ang aking telepono.
upon	nang	Noong unang panahon, may isang hari.
upset	masama ang loob	Sumama ang kanyang loob pagkatapos ng tawag.
used1	ginagamit	Ginagamit ang silid na ito para sa mga pulong.
used2	sanay	Sanay ako sa maagang paggising.
valuable	mahalaga	Mahalaga ang relong ito.
value	halaga	Nawalan ng halaga ang bahay noong nakaraang taon.
various	iba't iba	Sinubukan namin ang iba't ibang lokal na pagkain.
version	bersyon	Mas gumagana nang maayos ang bersyong ito.
victim	biktima	Tumawag ang biktima sa pulisya.
viewer	manonood	Nagtanong ang isang manonood.
violent	marahas	Masyadong marahas ang pelikula.
volunteer	magboluntaryo	Nagboboluntaryo ako sa aklatan.
vote	bumoto	Tandaan na bumoto bukas.
warn	magbabala	Sinubukan ko siyang babalaan.
warning	babala	Lumabas ang babala sa screen.
waste	aksayahin	Huwag sayangin ang malinis na tubig.
weapon	sandata	Naging sandata ang kutsilyo.
weigh	timbangin	Timbangin nang mabuti ang harina.
western	kanluranin	Nanonood sila ng kanluraning pelikula.
whatever	anuman	Piliin kung anuman ang gusto mo.
whenever	tuwing	Tumawag ka tuwing kailangan mo ng tulong.
whether	kung	Hindi ko alam kung sumasang-ayon siya.
wing	pakpak	Nasugatan ng ibon ang isang pakpak.
within	sa loob ng	Mangyaring sumagot sa loob ng dalawang araw.
wonder	magtaka	Nagtataka ako kung ano ang nangyari.
wool	lana	Ang coat na ito ay gawa sa lana.
worldwide	sa buong mundo	Naging sikat ang kanta sa buong mundo.
worth	sulit	Sulit basahin ang aklat na ito.
written	nakasulat	Mangyaring magpadala ng mga nakasulat na tagubilin.
yard	bakuran	Naglaro ang mga bata sa bakuran.
youth	kabataan	Sinusuportahan ng mga youth club ang mga lokal na tinedyer.
