hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
2046:比分	比分	比分	rezultat	Kada se utakmica završila, rezultat je bio tri prema dva.	rezultat	Ob koncu tekme je bil rezultat tri proti dve.	rezultatas	Kai rungtynės baigėsi, rezultatas buvo trys prieš du.	rezultāts	Kad spēle beidzās, rezultāts bija trīs pret divi.	seis; skoor	Mängu lõppedes oli seis kolm kaks.	staða; úrslit	Þegar leiknum lauk var staðan þrjú gegn tveimur.
2049:必	必	必	mora; sigurno	Važna dokumenta mora potpisati lično dotična osoba.	mora; zagotovo	Pomembne dokumente mora podpisati zadevna oseba.	privalo; tikrai	Svarbius dokumentus turi pasirašyti pats susijęs asmuo.	obligāti; noteikti	Svarīgi dokumenti jāparaksta pašai attiecīgajai personai.	peab; kindlasti	Tähtsad dokumendid peab allkirjastama asjaomane isik ise.	verður; örugglega	Mikilvæg skjöl verða að vera undirrituð af viðkomandi sjálfum.
2052:闭幕式	闭幕式	闭幕式	ceremonija zatvaranja	Ceremonija zatvaranja sportskih igara održava se uveče.	zaključna slovesnost	Zaključna slovesnost športnih iger bo zvečer.	uždarymo ceremonija	Sporto žaidynių uždarymo ceremonija vyksta vakare.	noslēguma ceremonija	Sporta spēļu noslēguma ceremonija notiek vakarā.	lõputseremoonia	Spordivõistluse lõputseremoonia toimub õhtul.	lokahátíð	Lokahátíð íþróttamótsins fer fram um kvöldið.
2054:必需	必需	必需	neophodan; potreban	Voda i hrana su neophodne stvari na putovanju.	nujen; potreben	Voda in hrana sta na potovanju nujni stvari.	būtinas; reikalingas	Vanduo ir maistas kelionėje yra būtini daiktai.	nepieciešams; obligāts	Ūdens un pārtika ceļojumā ir nepieciešamas lietas.	hädavajalik; vajalik	Vesi ja toit on reisil hädavajalikud.	nauðsynlegur	Vatn og matur eru nauðsynlegir hlutir á ferðalagi.
2057:变动	变动	变动	promena; izmena	U rasporedu rada za ovaj mesec ima promena.	sprememba; prilagoditev	V delovnem razporedu za ta mesec so spremembe.	pokytis; pakeitimas	Šio mėnesio darbo tvarkaraštyje yra pakeitimų.	izmaiņas; grozījums	Šī mēneša darba grafikā ir izmaiņas.	muudatus; muutus	Selle kuu töögraafikus on muudatusi.	breyting; tilfærsla	Það eru breytingar á vinnuáætlun þessa mánaðar.
2059:便利店	便利店	便利店	prodavnica mešovite robe; minimarket	Prodavnica dole radi dvadeset četiri sata.	trgovina z mešanim blagom; mini market	Trgovina spodaj je odprta štiriindvajset ur.	patogi parduotuvė; minimarketas	Parduotuvė apačioje dirba visą parą.	neliels diennakts veikals	Veikals lejā strādā divdesmit četras stundas.	lähikauplus	Allkorruse lähikauplus on avatud ööpäev läbi.	sjoppa; hverfisbúð	Sjoppan niðri er opin allan sólarhringinn.
2067:饼	饼	饼	tanki kolač; palačinka	Mama mi je ujutru napravila palačinku sa jajetom.	ploščat kruh; palačinka	Mama mi je zjutraj naredila jajčno palačinko.	paplotėlis; pyragėlis	Mama ryte man pagamino kiaušininį paplotėlį.	plācenis; kūka	Mamma no rīta man pagatavoja olu plāceni.	lame leib; kook	Ema tegi mulle hommikul munapannkoogi.	flatkaka; kaka	Mamma bjó til eggjapönnuköku handa mér um morguninn.
2068:病房	病房	病房	bolnička soba; odeljenje	Medicinska sestra je odvela pacijenta u bolničku sobu.	bolniška soba; oddelek	Medicinska sestra je pacienta odpeljala v bolniško sobo.	ligoninės palata	Slaugytoja nuvedė pacientą į palatą.	slimnīcas palāta	Medmāsa aizveda pacientu uz palātu.	haiglapalat	Õde viis patsiendi haiglapalatisse.	sjúkrastofa; sjúkrahúsdeild	Hjúkrunarfræðingurinn fór með sjúklinginn á sjúkrastofu.
2069:病情	病情	病情	stanje bolesti	Lekar je rekao da se njegovo stanje već poboljšalo.	zdravstveno stanje; potek bolezni	Zdravnik je rekel, da se je njegovo stanje že izboljšalo.	ligos būklė	Gydytojas sakė, kad jo būklė jau pagerėjo.	slimības stāvoklis	Ārsts teica, ka viņa stāvoklis jau ir uzlabojies.	haigusseisund	Arst ütles, et tema seisund on juba paranenud.	sjúkdómsástand	Læknirinn sagði að ástand hans hefði þegar batnað.
2070:拨打	拨打	拨打	okrenuti broj; pozvati	Ako naiđete na požar, pozovite hitni broj.	zavrteti številko; poklicati	Če naletite na požar, pokličite številko za nujne primere.	rinkti numerį; skambinti	Kilus gaisrui skambinkite pagalbos numeriu.	sastādīt numuru; zvanīt	Ja saskaraties ar ugunsgrēku, zvaniet ārkārtas numuram.	numbrit valima; helistama	Tulekahju korral helistage hädaabinumbrile.	slá inn númer; hringja	Ef þú lendir í eldi skaltu hringja í neyðarnúmerið.
2073:不利	不利	不利	nepovoljan	Jak vetar je nepovoljan za utakmicu.	neugoden	Močan veter je neugoden za tekmo.	nepalankus	Stiprus vėjas nepalankus rungtynėms.	nelabvēlīgs	Stiprs vējš ir nelabvēlīgs sacensībām.	ebasoodne	Tugev tuul on võistlusele ebasoodne.	óhagstæður	Sterkur vindur er óhagstæður fyrir leikinn.
2074:不幸	不幸	不幸	nesrećan; nesreća	U detinjstvu je imao jedno nesrećno iskustvo.	nesrečen; nesreča	V otroštvu je imel nesrečno izkušnjo.	nelaimingas; nelaimė	Vaikystėje jis patyrė nelaimingą patirtį.	nelaimīgs; nelaime	Bērnībā viņam bija nelaimīga pieredze.	õnnetu; ebaõnn	Tal oli lapsepõlves õnnetu kogemus.	óheppinn; ógæfa	Hann átti erfiða og óheppilega reynslu í æsku.
2078:不符	不符	不符	ne podudara se; nije u skladu	Ime na karti se ne podudara sa dokumentom.	se ne ujema; ni v skladu	Ime na vozovnici se ne ujema z dokumentom.	neatitinka	Vardas ant bilieto neatitinka dokumento.	neatbilst	Vārds uz biļetes neatbilst dokumentam.	ei vasta; ei klapi	Piletil olev nimi ei vasta dokumendile.	passar ekki; samræmist ekki	Nafnið á miðanum passar ekki við skilríkin.
2079:不良	不良	不良	loš; štetan	Dugotrajno ostajanje budnim do kasno je loša navika.	slab; škodljiv	Dolgotrajno bedeti pozno v noč je slaba navada.	blogas; žalingas	Ilgai nemiegoti iki vėlumos yra blogas įprotis.	slikts; kaitīgs	Ilgstoša vēla negulēšana ir slikts ieradums.	halb; kahjulik	Pikka aega hilja üleval olemine on halb harjumus.	slæmur; skaðlegur	Að vaka lengi fram eftir er slæmur vani.
2081:步行	步行	步行	ići peške	Odavde do škole može se ići peške.	iti peš	Od tu do šole lahko greste peš.	eiti pėsčiomis	Nuo čia iki mokyklos galima nueiti pėsčiomis.	iet kājām	No šejienes līdz skolai var aiziet kājām.	jalgsi käima	Siit koolini saab jalgsi minna.	ganga fótgangandi	Héðan að skólanum er hægt að ganga.
2083:才2	才2	才	talenat; sposobnost	Od malena je pokazivao muzički talenat.	talent; sposobnost	Že od malega je kazal glasbeni talent.	talentas; gebėjimas	Nuo mažens jis rodė muzikinį talentą.	talants; spēja	Jau bērnībā viņš izrādīja muzikālu talantu.	anne; võime	Ta näitas juba väiksest peale muusikaannet.	hæfileiki; geta	Hann sýndi tónlistarhæfileika frá unga aldri.
2087:彩色	彩色	彩色	boja; šaren	Deca su nacrtala šarenu mapu.	barven; pisan	Otroci so narisali barvni zemljevid.	spalvotas; įvairiaspalvis	Vaikai nupiešė spalvotą žemėlapį.	krāsains; daudzkrāsains	Bērni uzzīmēja krāsainu karti.	värviline; mitmevärviline	Lapsed joonistasid värvilise kaardi.	litríkur; marglitur	Börnin teiknuðu litríkt kort.
2088:采用	采用	采用	usvojiti; koristiti	Kompanija je odlučila da usvoji novi način upravljanja.	sprejeti; uporabiti	Podjetje se je odločilo sprejeti nov način upravljanja.	taikyti; naudoti	Įmonė nusprendė taikyti naują valdymo būdą.	pieņemt; izmantot	Uzņēmums nolēma izmantot jaunu pārvaldības metodi.	kasutusele võtma; kasutama	Ettevõte otsustas kasutusele võtta uue juhtimismeetodi.	taka upp; nota	Fyrirtækið ákvað að taka upp nýja stjórnunaraðferð.
2090:餐饮	餐饮	餐饮	ugostiteljstvo; usluge hrane i pića	Zona sa hranom i pićem u ovom tržnom centru je na petom spratu.	gostinstvo; storitve hrane in pijače	Gostinski del tega nakupovalnega središča je v petem nadstropju.	maitinimo paslaugos; maistas ir gėrimai	Šio prekybos centro maitinimo zona yra penktame aukšte.	ēdināšana; pārtikas un dzērienu pakalpojumi	Šī tirdzniecības centra ēdināšanas zona ir piektajā stāvā.	toitlustus; toidu- ja joogiteenused	Selle kaubanduskeskuse toitlustusala on viiendal korrusel.	veitingaþjónusta; matar- og drykkjarþjónusta	Veitingasvæði þessarar verslunarmiðstöðvar er á fimmtu hæð.
2092:藏	藏	藏	sakriti; čuvati	Sakrila je poklon u ormarić.	skriti; shraniti	Darilo je skrila v omaro.	paslėpti; laikyti	Ji paslėpė dovaną spintelėje.	paslēpt; glabāt	Viņa paslēpa dāvanu skapītī.	peitma; hoidma	Ta peitis kingituse kappi.	fela; geyma	Hún faldi gjöfina í skápnum.
2095:测	测	测	meriti; testirati	Nastavnik nam je rekao da izmerimo temperaturu vode.	meriti; preizkusiti	Učitelj nam je naročil, naj izmerimo temperaturo vode.	matuoti; tikrinti	Mokytojas paprašė mūsų pamatuoti vandens temperatūrą.	mērīt; pārbaudīt	Skolotājs lika mums izmērīt ūdens temperatūru.	mõõtma; testima	Õpetaja palus meil vee temperatuuri mõõta.	mæla; prófa	Kennarinn bað okkur að mæla hitastig vatnsins.
2096:测试	测试	测试	testirati; testiranje	Novi softver počinje testiranje sutra.	testirati; preizkus	Nova programska oprema se začne testirati jutri.	testuoti; testas	Nauja programinė įranga rytoj pradedama testuoti.	testēt; tests	Jaunās programmatūras testēšana sāksies rīt.	testima; test	Uue tarkvara testimine algab homme.	prófa; prófun	Nýi hugbúnaðurinn fer í prófun á morgun.
2097:曾	曾	曾	nekada; ranije	Nekada je radio u Pekingu tri godine.	nekoč; prej	Nekoč je tri leta delal v Pekingu.	kadaise; anksčiau	Jis kadaise trejus metus dirbo Pekine.	kādreiz; iepriekš	Viņš kādreiz trīs gadus strādāja Pekinā.	kunagi; varem	Ta töötas kunagi kolm aastat Pekingis.	einu sinni; áður	Hann vann einu sinni í Peking í þrjú ár.
2104:产	产	产	proizvoditi; rađati	Ovaj voćnjak uglavnom proizvodi jabuke.	proizvajati; roditi	Ta sadovnjak večinoma prideluje jabolka.	gaminti; gimdyti	Šis sodas daugiausia augina obuolius.	ražot; dzemdēt	Šis augļu dārzs galvenokārt ražo ābolus.	tootma; sünnitama	See viljapuuaed kasvatab peamiselt õunu.	framleiða; fæða	Þessi ávaxtagarður framleiðir aðallega epli.
2105:产量	产量	产量	proizvodnja; prinos	Ovogodišnja proizvodnja žitarica se povećala.	proizvodnja; donos	Letošnji pridelek žita se je povečal.	produkcija; derlius	Šių metų grūdų derlius padidėjo.	ražošanas apjoms; raža	Šā gada graudu raža ir palielinājusies.	toodang; saak	Selle aasta teraviljasaak on suurenenud.	framleiðslumagn; uppskera	Kornuppskera þessa árs hefur aukist.
2108:长处	长处	长处	prednost; jaka strana	Strpljenje je njegova jaka strana.	prednost; močna stran	Potrpežljivost je njegova močna stran.	stiprybė; privalumas	Kantrybė yra jo stiprioji pusė.	stiprā puse; priekšrocība	Pacietība ir viņa stiprā puse.	tugev külg	Kannatlikkus on tema tugev külg.	styrkur; kostur	Þolinmæði er hans sterka hlið.
2109:长度	长度	长度	dužina	Dužina ovog konopca je baš odgovarajuća.	dolžina	Dolžina te vrvi je ravno pravšnja.	ilgis	Šios virvės ilgis kaip tik tinkamas.	garums	Šīs virves garums ir tieši piemērots.	pikkus	Selle köie pikkus on täpselt paras.	lengd	Lengd þessa kaðals er alveg hæfileg.
2110:长久	长久	长久	dugotrajan	Pravo prijateljstvo može dugo trajati.	dolgotrajen	Pravo prijateljstvo lahko traja dolgo.	ilgalaikis; ilgai trunkantis	Tikra draugystė gali trukti labai ilgai.	ilgstošs	Īsta draudzība var ilgt ļoti ilgi.	pikaajaline; kestev	Tõeline sõprus võib kesta kaua.	varanlegur; langvarandi	Sönn vinátta getur varað lengi.
2111:长期	长期	长期	dugoročan	Dugoročno vežbanje je dobro za telo.	dolgoročen	Dolgoročna vadba je dobra za telo.	ilgalaikis	Ilgalaikis sportavimas naudingas kūnui.	ilgtermiņa	Ilgtermiņa vingrošana nāk par labu ķermenim.	pikaajaline	Pikaajaline treening on kehale kasulik.	langtíma	Langtíma hreyfing er góð fyrir líkamann.
2115:长远	长远	长远	dugoročan; dalekosežan	Pri donošenju odluke treba razmotriti dugoročni uticaj.	dolgoročen; daljnosežen	Pri odločanju je treba upoštevati dolgoročni vpliv.	ilgalaikis; tolimas	Priimant sprendimą reikia apsvarstyti ilgalaikį poveikį.	ilgtermiņa; tālejošs	Pieņemot lēmumu, jāņem vērā ilgtermiņa ietekme.	pikaajaline; kaugeleulatuv	Otsust tehes tuleb arvestada pikaajalise mõjuga.	langtíma; víðtækur	Þegar ákvörðun er tekin þarf að huga að langtímaáhrifum.
2117:超	超	超	premašiti; nadmašiti	Troškovi ovog meseca premašili su budžet.	preseči; preseči mejo	Stroški tega meseca so presegli proračun.	viršyti; pranokti	Šio mėnesio išlaidos viršijo biudžetą.	pārsniegt	Šī mēneša izdevumi pārsniedza budžetu.	ületama	Selle kuu kulud ületasid eelarvet.	fara yfir; bera af	Útgjöld þessa mánaðar fóru yfir fjárhagsáætlunina.
2118:超出	超出	超出	premašiti; izaći izvan	Stvarni trošak premašio je naš plan.	preseči; iti čez	Dejanski stroški so presegli naš načrt.	viršyti; išeiti už	Tikrosios išlaidos viršijo mūsų planą.	pārsniegt; iziet ārpus	Faktiskās izmaksas pārsniedza mūsu plānu.	ületama; kaugemale minema	Tegelik kulu ületas meie plaani.	fara fram úr; fara út fyrir	Raunkostnaðurinn fór fram úr áætlun okkar.
2120:超速	超速	超速	prekoračiti brzinu; voziti prebrzo	Ovaj automobil je kažnjen zbog prekoračenja brzine.	prekoračiti hitrost; voziti prehitro	Ta avto je bil kaznovan zaradi prehitre vožnje.	viršyti greitį; lėkti per greitai	Šis automobilis buvo nubaustas už greičio viršijimą.	pārsniegt ātrumu	Šī automašīna tika sodīta par ātruma pārsniegšanu.	kiirust ületama	See auto sai kiiruseületamise eest trahvi.	aka of hratt; fara yfir hraðatakmarkanir	Þessi bíll var sektaður fyrir of hraðan akstur.
2124:车祸	车祸	车祸	saobraćajna nesreća	Ta saobraćajna nesreća nije izazvala teške povrede.	prometna nesreča	Ta prometna nesreča ni povzročila hudih poškodb.	eismo įvykis; avarija	Tas eismo įvykis nesukėlė sunkių sužalojimų.	autoavārija; ceļu satiksmes negadījums	Tajā autoavārijā nebija smagu ievainojumu.	liiklusõnnetus	See liiklusõnnetus ei põhjustanud raskeid vigastusi.	umferðarslys	Þetta umferðarslys olli ekki alvarlegum meiðslum.
2126:车辆	车辆	车辆	vozilo	Stranim vozilima je zabranjen ulazak na ulazu u naselje.	vozilo	Tujim vozilom je vstop pri vhodu v sosesko prepovedan.	transporto priemonė	Prie gyvenvietės vartų draudžiama įvažiuoti pašalinėms transporto priemonėms.	transportlīdzeklis	Pie dzīvojamā rajona vārtiem svešiem transportlīdzekļiem iebraukt aizliegts.	sõiduk	Võõrastel sõidukitel ei ole elurajooni väravas lubatud siseneda.	ökutæki	Erlendum ökutækjum er bannað að fara inn við hlið hverfisins.
2128:车主	车主	车主	vlasnik automobila	Vlasnik automobila je već kontaktirao osiguravajuće društvo.	lastnik avtomobila	Lastnik avtomobila je že stopil v stik z zavarovalnico.	automobilio savininkas	Automobilio savininkas jau susisiekė su draudimo bendrove.	auto īpašnieks	Auto īpašnieks jau ir sazinājies ar apdrošināšanas kompāniju.	auto omanik	Auto omanik on juba kindlustusseltsiga ühendust võtnud.	bíleigandi	Bíleigandinn hefur þegar haft samband við tryggingafélagið.
2130:沉	沉	沉	potonuti; težak	Kamen je pao u vodu i brzo potonuo.	potoniti; težek	Kamen je padel v vodo in hitro potonil.	skęsti; sunkus	Akmuo įkrito į vandenį ir greitai nuskendo.	grimst; smags	Akmens iekrita ūdenī un ātri nogrima.	vajuma; raske	Kivi kukkus vette ja vajus kiiresti põhja.	sökkva; þungur	Steinninn féll í vatnið og sökk fljótt.
2134:称为	称为	称为	zvati se; nazivati se	Ova vrsta čaja se lokalno zove prolećni čaj.	imenovati se; reči	Ta vrsta čaja se tam imenuje spomladanski čaj.	vadinti; būti vadinamam	Ši arbatos rūšis vietoje vadinama pavasario arbata.	saukt par	Vietējie šo tējas veidu sauc par pavasara tēju.	nimetama	Seda teeliiki nimetatakse kohapeal kevadeteeks.	kallast; nefnast	Þessi tegund tes er kölluð vorté á staðnum.
2143:成年1	成年1	成年	postati punoletan	Ove godine je tek postao punoletan i može sam da obavi postupke.	postati polnoleten	Letos je pravkar postal polnoleten in lahko sam ureja postopke.	tapti pilnamečiu	Šiemet jis ką tik tapo pilnamečiu ir gali pats tvarkyti formalumus.	kļūt pilngadīgam	Šogad viņš tikko kļuva pilngadīgs un var pats kārtot formalitātes.	täisealiseks saama	Ta sai sel aastal just täisealiseks ja saab asjaajamised ise teha.	verða fullorðinn; verða lögráða	Hann varð nýlega lögráða á þessu ári og getur séð um formsatriðin sjálfur.
2144:城区	城区	城区	gradska četvrt; urbano područje	Ulice u staroj gradskoj četvrti su prilično uske.	mestno območje; urbana četrt	Ulice v starem mestnem območju so precej ozke.	miesto rajonas; urbanistinė teritorija	Senojo miesto rajono gatvės gana siauros.	pilsētas rajons	Vecpilsētas rajona ielas ir diezgan šauras.	linnapiirkond	Vana linnapiirkonna tänavad on üsna kitsad.	borgarhverfi	Göturnar í gamla borgarhverfinu eru frekar þröngar.
2149:乘务员	乘务员	乘务员	član posade; službenik	Član posade je podsetio sve da vežu sigurnosne pojaseve.	spremljevalec; član posadke	Spremljevalec je vse opomnil, naj si pripnejo varnostne pasove.	palydovas; įgulos narys	Palydovas priminė visiems prisisegti saugos diržus.	apkalpes loceklis; pavadonis	Apkalpes loceklis atgādināja visiem piesprādzēt drošības jostas.	teenindaja; meeskonnaliige	Teenindaja tuletas kõigile meelde turvavööd kinnitada.	þjónustumaður; áhafnarmeðlimur	Áhafnarmeðlimurinn minnti alla á að spenna öryggisbeltin.
2153:橙子	橙子	橙子	pomorandža	Ova pomorandža je slatka i sočna.	pomaranča	Ta pomaranča je sladka in sočna.	apelsinas	Šis apelsinas saldus ir sultingas.	apelsīns	Šis apelsīns ir salds un sulīgs.	apelsin	See apelsin on magus ja mahlane.	appelsína	Þessi appelsína er sæt og safarík.
2154:池	池	池	ribnjak; bazen	U dvorištu je mali ribnjak.	ribnik; bazen	Na dvorišču je majhen ribnik.	tvenkinys; baseinas	Kieme yra mažas tvenkinys.	dīķis; baseins	Pagalmā ir mazs dīķis.	tiik; bassein	Õues on väike tiik.	tjörn; laug	Í garðinum er lítil tjörn.
2159:充电	充电	充电	puniti	Baterija telefona je skoro prazna i treba ga puniti.	polniti	Telefon je skoraj prazen in ga je treba napolniti.	įkrauti	Telefonas beveik išsikrovęs, jį reikia įkrauti.	uzlādēt	Telefonam drīz beigsies baterija, tas jāuzlādē.	laadima	Telefoni aku on peaaegu tühi ja seda tuleb laadida.	hlaða	Rafhlaða símans er næstum tóm og það þarf að hlaða hann.
2162:充值	充值	充值	dopuniti; uplatiti	Dopunio sam autobusku karticu sa sto juana.	dopolniti; napolniti	Dopolnil sem avtobusno kartico s sto juani.	papildyti; įkrauti	Savo autobuso kortelę papildžiau šimtu juanių.	papildināt; uzlādēt	Es papildināju autobusa karti ar simt juaņām.	täiendama; laadima	Lisasin bussikaardile sada jüaani.	leggja inn; hlaða á	Ég setti hundrað júan inn á strætókortið mitt.
2165:虫子	虫子	虫子	insekt; buba	U saksiji ima nekoliko malih buba.	žuželka; hrošč	V cvetličnem loncu je nekaj majhnih žuželk.	vabzdys; vabalas	Vazone yra keli maži vabzdžiai.	kukainis; vabole	Puķupodā ir daži mazi kukaiņi.	putukas; mardikas	Lillepotis on paar väikest putukat.	skordýr; padda	Það eru nokkrar litlar pöddur í blómapottinum.
2167:抽	抽	抽	izvući; pušiti; pumpati	Iz kutije je izvukao jedan list papira.	izvleči; kaditi; črpati	Iz škatle je izvlekel list papirja.	ištraukti; rūkyti; siurbti	Jis iš dėžutės ištraukė popieriaus lapą.	izvilkt; smēķēt; sūknēt	Viņš izvilka no kastes papīra lapu.	välja tõmbama; suitsetama; pumpama	Ta tõmbas karbist paberilehe välja.	draga út; reykja; dæla	Hann dró blað úr kassanum.
2170:初	初	初	početak; rani	Sastanak je zakazan za početak sledećeg meseca.	začetek; zgodnji	Sestanek je načrtovan za začetek naslednjega meseca.	pradžia; ankstyvas	Susitikimas numatytas kito mėnesio pradžioje.	sākums; agrīns	Sapulce paredzēta nākamā mēneša sākumā.	algus; varajane	Koosolek on kavandatud järgmise kuu alguseks.	upphaf; snemma	Fundurinn er áætlaður í byrjun næsta mánaðar.
2173:初期	初期	初期	početna faza	Projektu je u početnoj fazi potrebno više sredstava.	začetna faza	Projekt v začetni fazi potrebuje več sredstev.	pradinis etapas	Projektui pradiniame etape reikia daugiau lėšų.	sākotnējais posms	Projektam sākotnējā posmā vajag vairāk līdzekļu.	algstaadium	Projekt vajab algstaadiumis rohkem rahastust.	upphafsstig	Verkefnið þarf meira fjármagn á upphafsstiginu.
2175:出售	出售	出售	prodavati; ponuditi na prodaju	Ovaj stan je trenutno na prodaju.	prodajati; ponuditi v prodajo	To stanovanje je trenutno naprodaj.	parduoti; siūlyti parduoti	Šis butas šiuo metu parduodamas.	pārdot; piedāvāt pārdošanai	Šis dzīvoklis pašlaik tiek pārdots.	müüma; müügiks pakkuma	See korter on praegu müügis.	selja; bjóða til sölu	Þessi íbúð er nú til sölu.
2177:出自	出自	出自	poticati iz; doći iz	Ova rečenica potiče iz jedne stare knjige.	izhajati iz; biti iz	Ta stavek izhaja iz stare knjige.	kilti iš; būti paimtam iš	Šis sakinys kilęs iš senos knygos.	cēlies no; nākt no	Šis teikums ir no senas grāmatas.	pärinema; pärit olema	See lause pärineb ühest vanast raamatust.	koma úr; eiga uppruna	Þessi setning kemur úr gamalli bók.
2179:处	处	处	rešavati; baviti se	On rešava ovaj složen problem.	obravnavati; reševati	Ukvarja se s tem zapletenim problemom.	tvarkyti; spręsti	Jis sprendžia šią sudėtingą problemą.	risināt; tikt galā ar	Viņš risina šo sarežģīto jautājumu.	käsitlema; lahendama	Ta tegeleb selle keerulise probleemiga.	meðhöndla; leysa	Hann er að leysa þetta flókna vandamál.
2181:处于	处于	处于	biti u; nalaziti se u	Kompanija je trenutno u fazi brzog razvoja.	biti v; nahajati se v	Podjetje je trenutno v fazi hitrega razvoja.	būti; būti tam tikroje padėtyje	Įmonė šiuo metu yra spartaus vystymosi etape.	atrasties; būt	Uzņēmums pašlaik atrodas straujas attīstības posmā.	olema; asuma	Ettevõte on praegu kiire arengu etapis.	vera í; vera staðsettur í	Fyrirtækið er nú á hraðri þróunarstigi.
