source_headword	TE	example_TE
invade	దండెత్తు	సైన్యం ఆ ద్వీపంపై దండెత్తడానికి ప్రయత్నించింది.
invasion	దండయాత్ర	దండయాత్ర వల్ల ఎన్నో పట్టణాలు దెబ్బతిన్నాయి.
investor	పెట్టుబడిదారుడు	ఆ పెట్టుబడిదారుడు కొత్త స్టార్టప్‌కు నిధులు సమకూర్చాడు.
isolate	వేరుచేయు	తీవ్రమైన ఇన్ఫెక్షన్లు ఉన్న రోగులను వైద్యులు వేరుచేస్తారు.
isolated	వేరుచేయబడిన	మంచు వల్ల ఆ గ్రామం వేరుచేయబడింది.
jail	జైలు	దొంగ జైలుకు వెళ్ళాడు.
jet	జెట్	జెట్ విమానం మధ్యాహ్నం ల్యాండ్ అయింది.
joint	ఉమ్మడి	వారు ఉమ్మడి ప్రాజెక్టును ప్రకటించారు.
journalism	జర్నలిజం	జర్నలిజానికి ఖచ్చితమైన వాస్తవాలు అవసరం.
jury	జ్యూరీ	జ్యూరీ ఒక నిర్ణయానికి వచ్చింది.
kit	కిట్	రిపేర్ కిట్‌లో స్క్రూలు ఉన్నాయి.
ladder	నిచ్చెన	ఆ నిచ్చెన గోడకు ఆనుకుని ఉంది.
landing	ల్యాండింగ్	విమానం సజావుగా ల్యాండ్ అయింది.
lane	లేన్	కుడి లేన్‌లోనే ఉండండి.
lately	ఇటీవల	నేను ఇటీవల సరిగా నిద్రపోలేదు.
leaflet	కరపత్రం	ఈ కరపత్రం సేవ గురించి వివరిస్తుంది.
legend	పురాణ కథ	ఈ పురాణ కథ దాచిన నగరం గురించి చెబుతుంది.
lens	కటకం	కెమెరా లెన్స్‌ను జాగ్రత్తగా శుభ్రం చేయండి.
lifetime	జీవితకాలం	అతడు జీవితకాలం పాటు డబ్బు ఆదా చేశాడు.
lighting	వెలుతురు	మంచి వెలుతురు గదిని మెరుగుపరుస్తుంది.
likewise	అదేవిధంగా	ఆమె నవ్వింది; అతను కూడా అదేవిధంగా చేశాడు.
limitation	పరిమితి	ఆ ప్రణాళికలో ఒక పరిమితి ఉంది.
literally	అక్షరాలా	ఆమె అక్షరాలా బస్సుకు పరిగెత్తింది.
literary	సాహిత్య	ఆ పండుగ సాహిత్య పనిని గౌరవిస్తుంది.
litre	లీటరు	ఒక లీటరు పాలు కొనండి.
litter	చెత్త	చెత్త వేయకండి.
logo	లోగో	లోగో ప్రతి పేజీలో కనిపిస్తుంది.
lottery	లాటరీ	అతడు ఒక చిన్న లాటరీ బహుమతిని గెలుచుకున్నాడు.
loyal	నమ్మకమైన	ఆ కుక్క తన యజమానికి నమ్మకంగా ఉంది.
lyric	గీతం	ఆ గీతం ప్రధాన ఆలోచనను పునరావృతం చేసింది.
magnificent	అద్భుతమైన	ఆ భవనం అద్భుతంగా కనిపించింది.
make-up	మేకప్	ఆమె సాధారణ మేకప్ వేసుకుంది.
making	తయారీ	ఆ సినిమా రూపకల్పన కష్టంగా జరిగింది.
manufacture	తయారు చేయు	ఫ్యాక్టరీ ఫోన్లను తయారు చేస్తుంది.
manufacturing	తయారీ రంగం	స్థానికంగా తయారీ ఉద్యోగాలు పెరిగాయి.
marathon	మారథాన్	ఆమె మారథాన్ పూర్తి చేసింది.
margin	అంచు	అంచులో నోట్స్ రాయండి.
marker	మార్కర్	లేబుల్ కోసం మార్కర్ వాడండి.
martial	యుద్ధ సంబంధిత	అతడు మార్షల్ ఆర్ట్స్ నేర్చుకుంటున్నాడు.
mate	స్నేహితుడు	నిన్న నా పాత స్కూల్ స్నేహితుడు కాల్ చేశాడు.
mayor	మేయర్	మేయర్ గ్రంథాలయాన్ని ప్రారంభించారు.
mechanic	మెకానిక్	మెకానిక్ బస్సును బాగుచేశాడు.
mechanical	యాంత్రిక	ఆ గడియారంలో ఒక యాంత్రిక లోపం ఉంది.
mechanism	యంత్రాంగం	తాళం యంత్రాంగం చాలా సులభం.
medal	పతకం	ఆమె బంగారు పతకం గెలుచుకుంది.
medication	మందు	మందులను నీటితో వేసుకోండి.
membership	సభ్యత్వం	ఆన్‌లైన్‌లో జిమ్ సభ్యత్వం తక్కువ ఖర్చుతో వస్తుంది.
memorable	స్మరణీయమైన	ఆ ప్రయాణం స్మరణీయమైనది.
metaphor	రూపకాలంకారం	ఆ కవిత బలమైన రూపకాలంకారాన్ని ఉపయోగిస్తుంది.
miner	గని కార్మికుడు	గని కార్మికుడు భూమి అడుగున పనిచేశాడు.
miserable	దయనీయమైన	వర్షం పిక్నిక్‌ను దయనీయంగా మార్చింది.
mode	విధానం	కెమెరాను నైట్ మోడ్‌కు మార్చండి.
modest	నిరాడంబరమైన	వారు నిరాడంబరమైన ఇంట్లో నివసిస్తున్నారు.
monster	రాక్షసుడు	ఈ కథలో భయంకరమైన రాక్షసుడు ఉన్నాడు.
monthly	నెలవారీ	మేము నెలవారీగా అద్దె చెల్లిస్తాము.
monument	స్మారక కట్టడం	స్మారక కట్టడం నది దగ్గర ఉంది.
moreover	అంతేకాకుండా	అంతేకాకుండా, ఈ ప్రణాళిక డబ్బును ఆదా చేస్తుంది.
mortgage	తనఖా	వారు తనఖా కోసం దరఖాస్తు చేసుకున్నారు.
mosque	మసీదు	మసీదు మార్కెట్ దగ్గర ఉంది.
motion	కదలిక	సెన్సార్ కదలికను గుర్తిస్తుంది.
motivate	ప్రేరేపించడం	ప్రశంసలు విద్యార్థులను ప్రేరేపిస్తాయి.
motivation	ప్రేరణ	ఆమె ప్రేరణ బలంగా ఉంది.
moving	కదిలించే	ఆ ప్రసంగం కదిలించేలా ఉంది.
myth	పురాణగాథ	పురాణగాథ పర్వతం పేరును వివరిస్తుంది.
naked	నగ్నంగా	స్నానం తర్వాత శిశువు నగ్నంగా ఉంది.
nasty	అసహ్యకరమైన	ఆ గాయం అసహ్యకరంగా కనిపించింది.
navigation	దిశానిర్దేశం	యాప్ దిశానిర్దేశాన్ని మెరుగుపరుస్తుంది.
nearby	సమీపంలోని	సమీపంలోని కేఫ్ త్వరగా తెరుచుకుంటుంది.
necessity	ఆవశ్యకత	స్వచ్ఛమైన నీరు ఒక ఆవశ్యకత.
negotiate	చర్చలు జరపడం	వారు రేపు ఒప్పందం గురించి చర్చలు జరుపుతారు.
negotiation	చర్చలు	చర్చలు ఉదయం అంతా జరిగాయి.
neutral	తటస్థ	న్యాయమూర్తి తటస్థంగా ఉన్నారు.
newly	కొత్తగా	కొత్తగా వేసిన రంగుల తలుపు ప్రకాశవంతంగా కనిపించింది.
norm	ఆనవాయితీ	రిమోట్ పని ఆనవాయితీగా మారింది.
notebook	నోట్‌బుక్	మీ నోట్‌బుక్‌లో నోట్స్ రాయండి.
novelist	నవలా రచయిత	నవలా రచయిత్రి తన పుస్తకంపై సంతకం చేసింది.
nowadays	ఈ రోజుల్లో	ఈ రోజుల్లో, చాలా మంది ఆన్‌లైన్‌లో పనిచేస్తున్నారు.
nursing	నర్సింగ్	ఆమె నర్సింగ్ చదువుతోంది.
nutrition	పోషకాహారం	మంచి పోషకాహారం ఆరోగ్యానికి తోడ్పడుతుంది.
obesity	ఊబకాయం	ఊబకాయం ఆరోగ్య ప్రమాదాలను పెంచుతుంది.
observer	పరిశీలకుడు	పరిశీలకుడు ఫలితాలను నమోదు చేశాడు.
obstacle	అడ్డంకి	పడిపోయిన చెట్టు ఒక అడ్డంకిగా మారింది.
occupation	వృత్తి	దయచేసి ఇక్కడ మీ వృత్తిని రాయండి.
occupy	ఆక్రమించడం	ఆ కుటుంబం అపార్ట్‌మెంట్‌లో నివసిస్తుంది.
offender	నేరస్థుడు	నేరస్థుడు కోర్టులో క్షమాపణ చెప్పాడు.
ongoing	కొనసాగుతున్న	దర్యాప్తు కొనసాగుతోంది.
openly	బహిరంగంగా	ఆమె తన భయాల గురించి బహిరంగంగా మాట్లాడింది.
opera	ఒపెరా	మేము మిలన్‌లో ఒక ఒపెరా చూశాము.
operator	ఆపరేటర్	ఆపరేటర్ కాల్ కనెక్ట్ చేశాడు.
optimistic	ఆశావాద	ఆమె భవిష్యత్తు గురించి ఆశావాదంతో ఉంది.
orchestra	వాద్యబృందం	వాద్యబృందం మృదువుగా వాయించింది.
organic	సేంద్రీయ	వారు సేంద్రీయ కూరగాయలను కొనుగోలు చేశారు.
outfit	దుస్తులు	ఆమె దుస్తులు ఆ సందర్భానికి సరిపోయాయి.
output	ఉత్పత్తి	యంత్రం యొక్క ఉత్పత్తి పెరిగింది.
outstanding	అద్భుతమైన	అతని ప్రదర్శన అద్భుతంగా ఉంది.
overcome	అధిగమించడం	వారు కలిసి సమస్యలను అధిగమిస్తారు.
overnight	రాత్రిపూట	ప్యాకేజీ రాత్రిపూట చేరుకుంది.
overseas	విదేశాలలో	అతను విదేశాలలో ఉద్యోగం పొందాడు.
ownership	యాజమాన్యం	భూమి యాజమాన్యం మారింది.
oxygen	ఆక్సిజన్	మొక్కలు ఆక్సిజన్‌ను ఉత్పత్తి చేస్తాయి.
packet	ప్యాకెట్	ప్యాకెట్‌ను జాగ్రత్తగా తెరవండి.
palm	అరచేయి	నాణేన్ని మీ అరచేతిలో పట్టుకోండి.
panic	భయాందోళన	ప్రజలలో భయాందోళన వ్యాపించింది.
parade	కవాతు	కవాతు మధ్యాహ్నం ప్రారంభమైంది.
parallel	సమాంతర	రోడ్లు సమాంతరంగా ఉంటాయి.
participation	పాల్గొనడం	తరగతిలో పాల్గొనడం మెరుగుపడింది.
partnership	భాగస్వామ్యం	భాగస్వామ్యం రెండు సంస్థలకు సహాయపడింది.
part-time	పార్ట్-టైమ్	ఆమెకు పార్ట్-టైమ్ ఉద్యోగం దొరికింది.
passionate	అత్యంత ఆసక్తిగల	అతనికి సంగీతం పట్ల చాలా ఆసక్తి ఉంది.
password	పాస్‌వర్డ్	బలమైన పాస్‌వర్డ్‌ను ఎంచుకోండి.
patience	సహనం	చిన్న పిల్లలకు బోధించడానికి సహనం అవసరం.
pause	విరామం ఇవ్వడం	వీడియోను ఇప్పుడు ఆపండి.
peer	తోటివారు	తోటివారి ఒత్తిడి అతని ఎంపికపై ప్రభావం చూపింది.
penalty	జరిమానా	ఆటగాడికి జరిమానా విధించబడింది.
perceive	గ్రహించడం	ప్రజలు ప్రమాదాన్ని భిన్నంగా గ్రహిస్తారు.
perception	అవగాహన	ప్రమాదం పట్ల అతని అవగాహన మారింది.
permanently	శాశ్వతంగా	ఆ దుకాణం శాశ్వతంగా మూసివేయబడింది.
pill	మాత్ర	అల్పాహారం తర్వాత ఒక మాత్ర తీసుకోండి.
pity	జాలి	ఇది చాలా విచారకరం.
placement	అమరిక	సోఫాను ఉంచే విధానం ముఖ్యం.
portion	భాగం	చిన్న భాగం అన్నం వడ్డించండి.
potentially	సంభావ్యంగా	ఈ మార్పు సంభావ్యంగా ఉపయోగపడుతుంది.
precede	ముందు రావడం	నల్లని మేఘాలు తరచుగా వర్షానికి ముందు వస్తాయి.
precious	విలువైన	ఆ ఉంగరం విలువైనది.
precise	ఖచ్చితమైన	సూచనలు ఖచ్చితమైనవి.
precisely	ఖచ్చితంగా	దూరాన్ని ఖచ్చితంగా కొలవండి.
predictable	ఊహించదగిన	ముగింపు ఊహించదగినది.
preference	ప్రాధాన్యత	ఆమె టీ పట్ల ప్రాధాన్యతను వ్యక్తం చేసింది.
pride	గర్వం	పని పూర్తి చేసిన తర్వాత అతను గర్వంగా భావించాడు.
primarily	ప్రధానంగా	ఈ కోర్సు ప్రధానంగా ఆన్‌లైన్‌లో ఉంటుంది.
principal	ప్రిన్సిపాల్	ప్రిన్సిపాల్ కొత్త విద్యార్థులను పలకరించారు.
prior	ముందస్తు	మాకు ముందస్తు ఆమోదం కావాలి.
probability	సంభావ్యత	వర్షం వచ్చే సంభావ్యత ఎక్కువగా ఉంది.
probable	అవకాశం ఉన్న	ఈ రాత్రికి వర్షం వచ్చే అవకాశం ఉంది.
proceed	కొనసాగించడం	దయచేసి తదుపరి గదికి వెళ్లండి.
programming	ప్రోగ్రామింగ్	ప్రోగ్రామింగ్‌కు సాధన అవసరం.
progressive	ప్రగతిశీల	ఆ విధానం దాని కాలానికి ప్రగతిశీలమైనది.
prohibit	నిషేధించడం	నియమాలు ధూమపానాన్ని నిషేధిస్తాయి.
promising	ఆశాజనకమైన	ఫలితాలు ఆశాజనకంగా ఉన్నాయి.
promotion	పదోన్నతి	ఆమెకు పనిలో పదోన్నతి లభించింది.
prompt	తక్షణ	తక్షణ స్పందన సమయాన్ని ఆదా చేసింది.
proportion	నిష్పత్తి	పెద్ద సంఖ్యలో ప్రజలు అవును అని ఓటు వేశారు.
protein	ప్రోటీన్	బీన్స్‌లో ప్రోటీన్ ఉంటుంది.
protester	నిరసనకారుడు	నిరసనకారుడు ఒక బోర్డును పట్టుకున్నాడు.
psychological	మానసిక	ఆ ప్రమాదం మానసిక ఒత్తిడికి గురిచేసింది.
publicity	ప్రచారం	ఈ కార్యక్రమానికి ప్రచారం లభించింది.
publishing	ప్రచురణ	ఆమె ప్రచురణ రంగంలో పనిచేస్తోంది.
punk	పంక్	అక్కడ పంక్ సంగీతం ప్రజాదరణ పొందింది.
purely	పూర్తిగా	ఎంపిక పూర్తిగా ఆచరణాత్మకమైనది.
pursuit	అన్వేషణ	అతను న్యాయం కోసం తన అన్వేషణను కొనసాగించాడు.
puzzle	పజిల్	పజిల్ పరిష్కరించడానికి ఒక గంట పట్టింది.
questionnaire	ప్రశ్నావళి	దయచేసి ప్రశ్నావళిని పూర్తి చేయండి.
racial	జాతిపరమైన	ఈ నివేదిక జాతిపరమైన అసమానతలను చర్చించింది.
racism	జాత్యహంకారం	జాత్యహంకారం సమాజాలకు హాని చేస్తుంది.
racist	జాత్యహంకార	ఆ వ్యాఖ్య జాత్యహంకారంతో కూడుకున్నది.
radiation	రేడియేషన్	రేడియేషన్ కణాలను దెబ్బతీస్తుంది.
rail	రెయిల్	మెట్ల మీద ఉన్న రెయిల్‌ను పట్టుకోండి.
random	యాదృచ్ఛిక	కంప్యూటర్ ఒక యాదృచ్ఛిక సంఖ్యను ఎంచుకుంది.
rat	ఎలుక	చెత్త కుండీల వెనుక ఒక ఎలుక పరిగెత్తింది.
rating	రేటింగ్	ఈ హోటల్ కు మంచి రేటింగ్ ఉంది.
reasonably	సహేతుకంగా	గది ఒక మోస్తరుగా శుభ్రంగా ఉంది.
rebuild	పునర్నిర్మించడం	వారు వంతెనను పునర్నిర్మిస్తారు.
receiver	రిసీవర్	రిసీవర్ బంతిని పట్టుకున్నాడు.
recession	మాంద్యం	ఆర్థిక మాంద్యం ఖర్చులను తగ్గించింది.
reckon	భావించడం	రైలు ఆలస్యంగా వస్తుందని నేను అనుకుంటున్నాను.
recognition	గుర్తింపు	ఆమె చేసిన పనికి గుర్తింపు లభించింది.
recovery	కోలుకోవడం	కోలుకోవడానికి చాలా వారాలు పట్టింది.
recruit	నియమించుకోవడం	కంపెనీ ఇంజనీర్లను నియమించుకుంటుంది.
recruitment	నియామకం	నియామకాలు వచ్చే సోమవారం ప్రారంభమవుతాయి.
referee	రిఫరీ	రిఫరీ మ్యాచ్‌ను ఆపాడు.
refugee	శరణార్థి	శరణార్థికి సురక్షితమైన ఇల్లు దొరికింది.
registration	నమోదు	నమోదు ప్రక్రియ శుక్రవారంతో ముగుస్తుంది.
regulate	నియంత్రించడం	చట్టం ఉద్గారాలను నియంత్రిస్తుంది.
reinforce	బలోపేతం చేయడం	అదనపు కిరణాలు పైకప్పును పటిష్టం చేస్తాయి.
relieve	ఉపశమనం కలిగించడం	మందు నొప్పి నుండి ఉపశమనం కలిగిస్తుంది.
relieved	ఉపశమనం పొందిన	ఫోన్ మాట్లాడిన తర్వాత ఆమెకు ఉపశమనం కలిగింది.
remarkable	విశేషమైన	ఆ కోలుకోవడం విశేషమైనది.
remarkably	ఆశ్చర్యకరంగా	అతను ఆశ్చర్యకరంగా చాలా త్వరగా కోలుకున్నాడు.
reporting	రిపోర్టింగ్	ఖచ్చితమైన రిపోర్టింగ్ ముఖ్యం.
resign	రాజీనామా చేయడం	మేనేజర్ రేపు రాజీనామా చేస్తారు.
resolution	రిజల్యూషన్	స్క్రీన్ అధిక రిజల్యూషన్‌ను కలిగి ఉంది.
restore	పునరుద్ధరించడం	కార్మికులు పాత పెయింటింగ్‌ను పునరుద్ధరిస్తున్నారు.
restrict	పరిమితం చేయడం	నిబంధనలు పార్కింగ్‌ను పరిమితం చేస్తాయి.
restriction	ఆంక్ష	పరిమితి రేపటితో ముగుస్తుంది.
retail	రిటైల్	రిటైల్ అమ్మకాలు పెరిగాయి.
retirement	పదవీ విరమణ	ఆమె తన పదవీ విరమణను జాగ్రత్తగా ప్లాన్ చేసుకుంది.
revenue	ఆదాయం	టిక్కెట్ల ద్వారా వచ్చిన ఆదాయం మరమ్మతులకు చెల్లించబడింది.
revision	పునశ్చరణ	పరీక్షకు ముందు పునశ్చరణ సహాయపడింది.
ridiculous	హాస్యాస్పదమైన	ఆ ధర హాస్యాస్పదంగా ఉంది.
risky	ప్రమాదకరమైన	ఆ ప్రణాళిక ప్రమాదకరంగా అనిపించింది.
rival	ప్రత్యర్థి	మా ప్రత్యర్థి కొత్త దుకాణాన్ని తెరిచాడు.
rob	దోచుకోవడం	ఆ వ్యక్తులు బ్యాంకును దోచుకోవడానికి ప్రయత్నించారు.
robbery	దోపిడీ	దోపిడీ రాత్రి పూట జరిగింది.
rocket	రాకెట్	రాకెట్ విజయవంతంగా ప్రయోగించబడింది.
romance	శృంగారం	ఈ నవలలో రొమాన్స్ ఉంది.
rose	గులాబీ	కంచె పక్కన ఒక ఎర్ర గులాబీ పెరిగింది.
roughly	సుమారుగా	సుమారు ఇరవై మంది హాజరయ్యారు.
ruin	పాడుచేయడం	వర్షం పిక్నిక్‌ను పాడుచేయవచ్చు.
satisfaction	సంతృప్తి	కస్టమర్ సంతృప్తి మెరుగుపడింది.
scandal	కుంభకోణం	కుంభకోణం అతని కెరీర్‌ను దెబ్బతీసింది.
scare	భయపెట్టడం	ఆ పెద్ద శబ్దం నాకు భయం కలిగించింది.
scenario	దృశ్యం	చెత్త పరిస్థితి ఎదురయ్యే అవకాశం తక్కువ.
scholar	పండితుడు	ఆ పండితుడు ప్రాచీన గ్రంథాలను అధ్యయనం చేశాడు.
scholarship	స్కాలర్‌షిప్	ఆమె స్కాలర్‌షిప్ గెలుచుకుంది.
scratch	గీత	పిల్లి ఒక గీతను పెట్టింది.
screening	స్క్రీనింగ్	ఈ ఆసుపత్రి క్యాన్సర్ స్క్రీనింగ్‌ను అందిస్తుంది.
seeker	అన్వేషకుడు	ఉద్యోగాన్వేషకుడు దరఖాస్తులను పంపాడు.
seminar	సెమినార్	సెమినార్ తొమ్మిది గంటలకు ప్రారంభమవుతుంది.
settler	స్థిరపడినవాడు	స్థిరపడినవాడు ఒక చిన్న వ్యవసాయ క్షేత్రాన్ని నిర్మించాడు.
severely	తీవ్రంగా	తుఫాను రహదారులను తీవ్రంగా దెబ్బతీసింది.
sexy	సెక్సీ	ఆ దుస్తులు ఆకర్షణీయంగా పరిగణించబడ్డాయి.
shocking	దిగ్భ్రాంతికరమైన	ఆ వార్త దిగ్భ్రాంతికరమైనది.
shore	తీరం	మేము తీరం వెంబడి నడిచాము.
shortage	కొరత	నగరంలో నీటి కొరత ఏర్పడింది.
shortly	కొద్దిసేపట్లో	మధ్యాహ్నం అయిన కొద్దిసేపటికే బస్సు వచ్చింది.
short-term	స్వల్పకాలిక	ఈ ప్రణాళిక స్వల్పకాలిక ప్రయోజనాలను కలిగి ఉంది.
sibling	తోబుట్టువు	ప్రతి తోబుట్టువుకు బహుమతి లభించింది.
signature	సంతకం	దయచేసి మీ సంతకాన్ని జోడించండి.
significance	ప్రాముఖ్యత	ఈ ఆవిష్కరణకు గొప్ప ప్రాముఖ్యత ఉంది.
skilled	నైపుణ్యం గల	నైపుణ్యం గల కార్మికులు పైకప్పును మరమ్మతు చేశారు.
slogan	నినాదం	ప్రచారం ఒక సాధారణ నినాదాన్ని ఉపయోగించింది.
so-called	అని పిలవబడే	నిపుణుడని పిలవబడే వ్యక్తి తప్పులు చేశాడు.
somehow	ఎలాగోలా	ఎలాగోలా, తాళాలు మాయమయ్యాయి.
sometime	ఎప్పుడైనా	వచ్చే వారం ఎప్పుడైనా మమ్మల్ని సందర్శించండి.
sophisticated	అధునాతనమైన	ఆ సాఫ్ట్‌వేర్ అధునాతనమైనది.
spare	అదనపు	మేము ఒక అదనపు కీని ఉంచుకుంటాము.
specialize	నైపుణ్యం సాధించడం	వైద్యులు వివిధ రంగాలలో నైపుణ్యం సాధిస్తారు.
specify	పేర్కొనడం	దయచేసి మీరు వచ్చే సమయాన్ని పేర్కొనండి.
spectacular	అద్భుతమైన	బాణసంచా అద్భుతంగా ఉంది.
spectator	ప్రేక్షకుడు	ప్రతి ప్రేక్షకుడికి ఒక ప్రోగ్రామ్ లభించింది.
speculate	ఊహించడం	నిపుణులు కారణం గురించి ఊహించారు.
speculation	ఊహాగానం	ఆ వ్యాసం ఊహాగానాలను ప్రోత్సహించింది.
spice	మసాలా	ఒకేసారి ఒక మసాలాను మాత్రమే జోడించండి.
spill	చిందించడం	జ్యూస్ చిందించవద్దు.
spite	ఉన్నప్పటికీ	సమస్యలు ఉన్నప్పటికీ అతను విజయం సాధించాడు.
spoil	పాడుచేయడం	ఎక్కువ ఉప్పు సూప్‌ను పాడుచేస్తుంది.
spokesman	అధికార ప్రతినిధి	అధికార ప్రతినిధి ప్రశ్నలకు సమాధానమిచ్చాడు.
spokesperson	అధికార ప్రతినిధి	అధికార ప్రతినిధి ఒక ప్రకటన చదివారు.
spokeswoman	అధికార ప్రతినిధి	మహిళా అధికార ప్రతినిధి పత్రికలతో మాట్లాడారు.
sponsorship	స్పాన్సర్‌షిప్	జట్టుకు స్పాన్సర్‌షిప్ అవసరం.
sporting	క్రీడా	నగరం క్రీడా కార్యక్రమాలకు ఆతిథ్యం ఇస్తుంది.
stall	స్టాల్	మార్కెట్ స్టాల్ పండ్లను అమ్ముతుంది.
stance	వైఖరి	మంత్రి తన వైఖరిని మార్చుకున్నారు.
starve	ఆకలితో మాడటం	ఆహారం లేకుండా, జంతువులు ఆకలితో అలమటించవచ్చు.
steadily	క్రమంగా	కంపెనీ క్రమంగా అభివృద్ధి చెందింది.
steam	ఆవిరి	సూప్ నుండి ఆవిరి వచ్చింది.
stimulate	ప్రేరేపించడం	ప్రకాశవంతమైన రంగులు ఆసక్తిని ప్రేరేపిస్తాయి.
