simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
到	стићи; доћи до	Стигао сам у школу.	prispeti; priti do	Prispel sem v šolo.	atvykti; pasiekti	Atvykau į mokyklą.	ierasties; tikt līdz	Es ierados skolā.
得	честица допуне степена	Он брзо трчи.	členek za dopolnilo stopnje	Hitro teče.	laipsnio papildinio dalelytė	Jis greitai bėga.	pakāpes papildinājuma partikula	Viņš ātri skrien.
等	чекати	Чекам те.	čakati	Čakam te.	laukti	Aš tavęs laukiu.	gaidīt	Es tevi gaidu.
弟弟	млађи брат	Мој млађи брат је код куће.	mlajši brat	Moj mlajši brat je doma.	jaunesnysis brolis	Mano jaunesnysis brolis yra namuose.	jaunākais brālis	Mans jaunākais brālis ir mājās.
第一	први	Он је први.	prvi	On je prvi.	pirmas	Jis yra pirmas.	pirmais	Viņš ir pirmais.
懂	разумети	Сада разумем.	razumeti	Zdaj razumem.	suprasti	Dabar suprantu.	saprast	Tagad es saprotu.
对	тачан; према	То што си рекао је тачно.	pravilen; proti	To, kar si rekel, je pravilno.	teisingas; į	Tai, ką pasakei, yra teisinga.	pareizs; pret	Tas, ko tu teici, ir pareizi.
房间	соба	Ова соба је велика.	soba	Ta soba je velika.	kambarys	Šis kambarys didelis.	istaba	Šī istaba ir liela.
非常	веома; изузетно	Данас је веома хладно.	zelo; izjemno	Danes je zelo mrzlo.	labai; itin	Šiandien labai šalta.	ļoti; ārkārtīgi	Šodien ir ļoti auksts.
服务员	конобар; службеник	Конобар је у ресторану.	natakar; uslužbenec	Natakar je v restavraciji.	padavėjas; darbuotojas	Padavėjas yra restorane.	viesmīlis; apkalpotājs	Viesmīlis ir restorānā.
高	висок	Он је висок.	visok	On je visok.	aukštas	Jis aukštas.	garš; augsts	Viņš ir garš.
告诉	рећи; саопштити	Молим те, реци ми.	povedati	Prosim, povej mi.	pasakyti	Prašau man pasakyti.	pateikt; pastāstīt	Lūdzu, pasaki man.
哥哥	старији брат	Мој старији брат ради.	starejši brat	Moj starejši brat dela.	vyresnysis brolis	Mano vyresnysis brolis dirba.	vecākais brālis	Mans vecākais brālis strādā.
给	дати; за	Дајем ти књигу.	dati; za	Dam ti knjigo.	duoti; kam nors	Duodu tau knygą.	dot; priekš	Es tev dodu grāmatu.
公共汽车	аутобус	Идем на посао аутобусом.	avtobus	V službo grem z avtobusom.	autobusas	Į darbą važiuoju autobusu.	autobuss	Es braucu uz darbu ar autobusu.
公斤	килограм	Купујем килограм јабука.	kilogram	Kupim kilogram jabolk.	kilogramas	Perku kilogramą obuolių.	kilograms	Es pērku kilogramu ābolu.
公司	компанија; фирма	Радим у фирми.	podjetje	Delam v podjetju.	įmonė	Dirbu įmonėje.	uzņēmums	Es strādāju uzņēmumā.
贵	скуп	Овај ручни сат је скуп.	drag	Ta ročna ura je draga.	brangus	Šis laikrodis brangus.	dārgs	Šis pulkstenis ir dārgs.
过	искуствена честица	Био сам у Кини.	izkušenjski členek	Bil sem na Kitajskem.	patirties dalelytė	Esu buvęs Kinijoje.	pieredzes partikula	Esmu bijis Ķīnā.
还	још; такође	Он је још у школи.	še; tudi	On je še v šoli.	dar; taip pat	Jis dar mokykloje.	vēl; arī	Viņš vēl ir skolā.
孩子	дете	Ово дете је веома срећно.	otrok	Ta otrok je zelo vesel.	vaikas	Šis vaikas labai laimingas.	bērns	Šis bērns ir ļoti priecīgs.
好吃	укусан	Ово јело је укусно.	okusen	Ta jed je okusna.	skanus	Šis patiekalas skanus.	garšīgs	Šis ēdiens ir garšīgs.
号	број; датум	Данас је осми.	številka; datum	Danes je osmi.	numeris; data	Šiandien aštunta diena.	numurs; datums	Šodien ir astotais datums.
黑	црн	Ова мачка је црна.	črn	Ta mačka je črna.	juodas	Ši katė juoda.	melns	Šis kaķis ir melns.
红	црвен	Волим црвене јабуке.	rdeč	Rad imam rdeča jabolka.	raudonas	Man patinka raudoni obuoliai.	sarkans	Man patīk sarkani āboli.
欢迎	пожелети добродошлицу; добродошли	Добро дошли у Пекинг.	pozdraviti; dobrodošli	Dobrodošli v Pekingu.	sveikinti; sveiki atvykę	Sveiki atvykę į Pekiną.	sveikt; laipni lūgti	Laipni lūgti Pekinā.
回答	одговорити	Молим те, одговори на ово питање.	odgovoriti	Prosim, odgovori na to vprašanje.	atsakyti	Prašau atsakyti į šį klausimą.	atbildēt	Lūdzu, atbildi uz šo jautājumu.
机场	аеродром	Аеродром је далеко одавде.	letališče	Letališče je daleč od tu.	oro uostas	Oro uostas yra toli nuo čia.	lidosta	Lidosta ir tālu no šejienes.
鸡蛋	јаје	Једем јаја.	jajce	Jem jajca.	kiaušinis	Valgau kiaušinius.	ola	Es ēdu olas.
件	мерна реч за одећу и предмете	Купио сам један одевни предмет.	števna beseda za oblačila in predmete	Kupil sem eno oblačilo.	skaitiklis drabužiams ir daiktams	Nusipirkau vieną drabužį.	skaitītājvārds apģērbam un priekšmetiem	Es nopirku vienu apģērba gabalu.
教室	учионица	Ученици су у учионици.	učilnica	Učenci so v učilnici.	klasė; auditorija	Mokiniai yra klasėje.	klase	Skolēni ir klasē.
姐姐	старија сестра	Моја старија сестра је лекарка.	starejša sestra	Moja starejša sestra je zdravnica.	vyresnioji sesuo	Mano vyresnioji sesuo yra gydytoja.	vecākā māsa	Mana vecākā māsa ir ārste.
介绍	представити	Представљам свог пријатеља.	predstaviti	Predstavim svojega prijatelja.	pristatyti	Pristatau savo draugą.	iepazīstināt	Es jūs iepazīstinu ar savu draugu.
进	ући	Молим вас, уђите.	vstopiti	Prosim, vstopite.	įeiti	Prašau užeiti.	ienākt	Lūdzu, ienāciet.
近	близу	Школа је близу куће.	blizu	Šola je blizu doma.	arti	Mokykla yra arti namų.	tuvu	Skola ir tuvu mājām.
就	онда; управо	Идем сада.	potem; kar	Zdaj grem.	tada; kaip tik	Dabar eisiu.	tad; tūlīt	Es iešu tagad.
觉得	мислити; осећати	Мислим да је ово јело укусно.	misliti; čutiti	Mislim, da je ta jed okusna.	manyti; jausti	Manau, kad šis patiekalas skanus.	domāt; just	Man šķiet, ka šis ēdiens ir garšīgs.
咖啡	кафа	Пијем кафу.	kava	Pijem kavo.	kava	Geriu kavą.	kafija	Es dzeru kafiju.
开始	почети; почетак	Испит је почео.	začeti; začetek	Izpit se je začel.	pradėti; pradžia	Egzaminas prasidėjo.	sākt; sākums	Eksāmens ir sācies.
考试	испит; тест	Сутра је испит.	izpit; test	Jutri je izpit.	egzaminas; testas	Rytoj yra egzaminas.	eksāmens; tests	Rīt ir eksāmens.
可能	можда; могућ	Можда је код куће.	morda; mogoč	Morda je doma.	galbūt; įmanoma	Galbūt jis namuose.	varbūt; iespējams	Varbūt viņš ir mājās.
可以	моћи; смети	Могу ли да идем?	lahko; smeti	Ali lahko grem?	galėti; galima	Ar galiu eiti?	varēt; drīkstēt	Vai es drīkstu iet?
课	час; лекција	Данас имамо час кинеског.	ura; lekcija	Danes imamo uro kitajščine.	pamoka; paskaita	Šiandien yra kinų kalbos pamoka.	stunda; nodarbība	Šodien ir ķīniešu valodas stunda.
快	брз; ускоро	Он брзо хода.	hiter; kmalu	Hitro hodi.	greitas; netrukus	Jis greitai eina.	ātrs; drīz	Viņš ātri iet.
快乐	срећан	Срећан рођендан.	vesel	Vse najboljše za rojstni dan.	laimingas	Su gimtadieniu.	priecīgs	Daudz laimes dzimšanas dienā.
累	уморан	Уморан сам.	utrujen	Utrujen sem.	pavargęs	Esu pavargęs.	noguris	Es esmu noguris.
离	удаљен од; од	Школа није далеко од куће.	oddaljen od; od	Šola ni daleč od doma.	toli nuo; nuo	Mokykla nėra toli nuo namų.	prom no; no	Skola nav tālu no mājām.
两	два; две	Имам двоје деце.	dva; dve	Imam dva otroka.	du; dvi	Turiu du vaikus.	divi; divas	Man ir divi bērni.
路	пут; улица	Овај пут је дуг.	cesta; pot	Ta cesta je dolga.	kelias; gatvė	Šis kelias ilgas.	ceļš; iela	Šis ceļš ir garš.
旅游	путовати; путовање	Желим да путујем у Кину.	potovati; potovanje	Želim potovati na Kitajsko.	keliauti; kelionė	Noriu keliauti į Kiniją.	ceļot; ceļojums	Es gribu ceļot uz Ķīnu.
卖	продавати	У овој продавници се продају јабуке.	prodajati	V tej trgovini prodajajo jabolka.	parduoti	Šioje parduotuvėje parduodami obuoliai.	pārdot	Šajā veikalā pārdod ābolus.
慢	спор	Молим те, успори мало.	počasen	Prosim, malo počasneje.	lėtas	Prašau truputį lėčiau.	lēns	Lūdzu, nedaudz lēnāk.
忙	заузет	Данас сам заузет.	zaseden; imeti veliko dela	Danes imam veliko dela.	užsiėmęs	Šiandien esu užsiėmęs.	aizņemts	Šodien esmu aizņemts.
每	сваки	Учим кинески сваки дан.	vsak	Vsak dan se učim kitajščino.	kiekvienas	Kasdien mokausi kinų kalbos.	katrs	Es katru dienu mācos ķīniešu valodu.
妹妹	млађа сестра	Моја млађа сестра гледа телевизију.	mlajša sestra	Moja mlajša sestra gleda televizijo.	jaunesnioji sesuo	Mano jaunesnioji sesuo žiūri televizorių.	jaunākā māsa	Mana jaunākā māsa skatās televizoru.
门	врата; капија	Врата су се отворила.	vrata; vhod	Vrata so se odprla.	durys; vartai	Durys atsidarė.	durvis; vārti	Durvis atvērās.
男人	мушкарац	Овај мушкарац је учитељ.	moški	Ta moški je učitelj.	vyras	Šis vyras yra mokytojas.	vīrietis	Šis vīrietis ir skolotājs.
您	Ви	Добар дан.	vi	Dober dan.	Jūs	Sveiki.	Jūs	Labdien.
牛奶	млеко	Пијем млеко.	mleko	Pijem mleko.	pienas	Geriu pieną.	piens	Es dzeru pienu.
女人	жена	Та жена је лекарка.	ženska	Tista ženska je zdravnica.	moteris	Ta moteris yra gydytoja.	sieviete	Tā sieviete ir ārste.
旁边	поред; крај	Поред школе је продавница.	zraven; poleg	Zraven šole je trgovina.	šalia	Šalia mokyklos yra parduotuvė.	blakus	Blakus skolai ir veikals.
跑步	трчати; џогирати	Трчим ујутру.	teči; teči za rekreacijo	Zjutraj tečem.	bėgti; bėgioti	Ryte bėgioju.	skriet; skriet krosu	No rīta es skrienu.
便宜	јефтин	Ова јабука је јефтина.	poceni	To jabolko je poceni.	pigus	Šis obuolys pigus.	lēts	Šis ābols ir lēts.
票	карта	Купујем карту.	vozovnica; vstopnica	Kupujem vozovnico.	bilietas	Perku bilietą.	biļete	Es pērku biļeti.
妻子	жена; супруга	Моја жена је учитељица.	žena; soproga	Moja žena je učiteljica.	žmona	Mano žmona yra mokytoja.	sieva	Mana sieva ir skolotāja.
起床	устати из кревета	Устајем у шест ујутру.	vstati	Zjutraj vstanem ob šestih.	keltis	Atsikeliu šeštą ryto.	celties	Es ceļos sešos no rīta.
千	хиљаду	Овај бицикл кошта хиљаду јуана.	tisoč	To kolo stane tisoč juanov.	tūkstantis	Šis dviratis kainuoja tūkstantį juanių.	tūkstotis	Šis velosipēds maksā tūkstoti juaņu.
晴	сунчан; ведар	Данас је сунчано.	sončen; jasen	Danes je sončno.	saulėtas; giedras	Šiandien saulėta.	saulains; skaidrs	Šodien ir saulains laiks.
去年	прошле године	Прошле године сам био у Пекингу.	lani; prejšnje leto	Lani sem bil v Pekingu.	pernai; praėjusiais metais	Pernai buvau Pekine.	pagājušajā gadā	Pagājušajā gadā biju Pekinā.
让	пустити; дозволити	Мама ми дозвољава да учим.	pustiti; dovoliti	Mama mi dovoli, da se učim.	leisti; leisti kam nors	Mama leidžia man mokytis.	ļaut; atļaut	Mamma ļauj man mācīties.
上班	ићи на посао	Идем на посао у осам.	iti v službo	V službo grem ob osmih.	eiti į darbą	Į darbą einu aštuntą.	iet uz darbu	Es eju uz darbu astoņos.
身体	тело; здравље	Његово здравље је добро.	telo; zdravje	Njegovo zdravje je dobro.	kūnas; sveikata	Jo sveikata gera.	ķermenis; veselība	Viņa veselība ir laba.
生病	разболети се	Он се разболео.	zboleti	Zbolel je.	susirgti	Jis susirgo.	saslimt	Viņš saslima.
生日	рођендан	Данас ми је рођендан.	rojstni dan	Danes je moj rojstni dan.	gimtadienis	Šiandien mano gimtadienis.	dzimšanas diena	Šodien ir mana dzimšanas diena.
时间	време	Немам времена.	čas	Nimam časa.	laikas	Neturiu laiko.	laiks	Man nav laika.
事情	ствар; посао	Имам нешто да урадим.	stvar; zadeva	Nekaj imam za opraviti.	reikalas; dalykas	Turiu reikalų.	lieta; darīšana	Man ir kas darāms.
手表	ручни сат	Овај ручни сат је нов.	ročna ura	Ta ročna ura je nova.	rankinis laikrodis	Šis rankinis laikrodis naujas.	rokas pulkstenis	Šis rokas pulkstenis ir jauns.
手机	мобилни телефон	Мој мобилни телефон је на столу.	mobilni telefon	Moj mobilni telefon je na mizi.	mobilusis telefonas	Mano mobilusis telefonas yra ant stalo.	mobilais tālrunis	Mans mobilais tālrunis ir uz galda.
送	дати; послати	Дајем ти књигу.	poslati; podariti	Dam ti knjigo.	dovanoti; siųsti	Duodu tau knygą.	dāvināt; sūtīt	Es tev dodu grāmatu.
所以	зато; стога	Данас пада киша, зато не идем.	zato; torej	Danes dežuje, zato ne grem.	todėl; taigi	Šiandien lyja, todėl neisiu.	tāpēc; tātad	Šodien līst, tāpēc es neiešu.
它	оно; то	То је моја мачка.	ono; to	To je moja mačka.	jis; ji; tai	Tai mano katė.	tas; tā	Tas ir mans kaķis.
踢足球	играти фудбал	Они играју фудбал.	igrati nogomet	Igrajo nogomet.	žaisti futbolą	Jie žaidžia futbolą.	spēlēt futbolu	Viņi spēlē futbolu.
题	питање; тема	Ово питање није тачно.	vprašanje; tema	To vprašanje ni pravilno.	klausimas; tema	Šis klausimas neteisingas.	jautājums; tēma	Šis jautājums nav pareizs.
跳舞	плесати	Она воли да плеше.	plesati	Rada pleše.	šokti	Jai patinka šokti.	dejot	Viņai patīk dejot.
外	напољу; споља	Он је испред врата.	zunaj; zunanji	On je zunaj pred vrati.	lauke; išorėje	Jis yra už durų.	ārā; ārpusē	Viņš ir ārpus durvīm.
完	завршити	Завршио сам.	končati	Končal sem.	baigti	Baigiau.	pabeigt	Es pabeidzu.
玩	играти се; забављати се	Дете се игра.	igrati se; zabavati se	Otrok se igra.	žaisti; linksmintis	Vaikas žaidžia.	spēlēties; izklaidēties	Bērns spēlējas.
晚上	вече; ноћ	Увече гледам филм.	večer; noč	Zvečer gledam film.	vakaras; naktis	Vakare žiūriu filmą.	vakars; nakts	Vakarā es skatos filmu.
为什么	зашто	Зашто не идеш?	zakaj	Zakaj ne greš?	kodėl	Kodėl neini?	kāpēc	Kāpēc tu neej?
问	питати	Питам учитеља.	vprašati	Vprašam učitelja.	klausti	Klausiu mokytojo.	jautāt	Es jautāju skolotājam.
问题	питање; проблем	Имам питање.	vprašanje; problem	Imam vprašanje.	klausimas; problema	Turiu klausimą.	jautājums; problēma	Man ir jautājums.
西瓜	лубеница	Једем лубеницу.	lubenica	Jem lubenico.	arbūzas	Valgau arbūzą.	arbūzs	Es ēdu arbūzu.
希望	надати се; нада	Надам се да ћеш доћи.	upati; upanje	Upam, da prideš.	tikėtis; viltis	Tikiuosi, kad ateisi.	cerēt; cerība	Es ceru, ka tu atnāksi.
洗	прати	Перем одећу.	prati	Perem oblačila.	skalbti; plauti	Skalbiu drabužius.	mazgāt	Es mazgāju drēbes.
向	према; окренут ка	Он иде према мени.	proti; obrnjen k	Hodi proti meni.	link; į	Jis eina link manęs.	uz; virzienā uz	Viņš iet man pretī.
小时	сат; час	Учим два сата.	ura	Učim se dve uri.	valanda	Mokausi dvi valandas.	stunda	Es mācos divas stundas.
笑	насмешити се; смејати се	Она се насмешила.	smehljati se; smejati se	Nasmehnila se je.	šypsotis; juoktis	Ji nusišypsojo.	smaidīt; smieties	Viņa pasmaidīja.
新	нов	Ово је нова књига.	nov	To je nova knjiga.	naujas	Tai nauja knyga.	jauns	Šī ir jauna grāmata.
姓	презивати се; презиме	Како се презивате?	pisati se; priimek	Kako se pišete?	pavardė; būti pavarde	Kokia jūsų pavardė?	uzvārds; būt uzvārdā	Kāds ir jūsu uzvārds?
休息	одморити се	Желим да се одморим.	počivati	Želim počivati.	ilsėtis	Noriu pailsėti.	atpūsties	Es gribu atpūsties.
雪	снег	Данас пада снег.	sneg	Danes sneži.	sniegas	Šiandien sninga.	sniegs	Šodien snieg.
颜色	боја	Свиђа ми се ова боја.	barva	Všeč mi je ta barva.	spalva	Man patinka ši spalva.	krāsa	Man patīk šī krāsa.
眼睛	око	Њене очи су велике.	oko	Njene oči so velike.	akis	Jos akys didelės.	acs	Viņas acis ir lielas.
羊肉	јагњетина; овчетина	Не једем јагњетину.	jagnjetina; ovčetina	Ne jem jagnjetine.	aviena; ėriena	Nevalgau avienos.	jēra gaļa; aitas gaļa	Es neēdu jēra gaļu.
药	лек	Он узима лек.	zdravilo	Jemlje zdravilo.	vaistas	Jis vartoja vaistus.	zāles	Viņš lieto zāles.
要	желети; морати	Желим да пијем воду.	hoteti; morati	Želim piti vodo.	norėti; reikėti	Noriu gerti vandens.	gribēt; vajadzēt	Es gribu dzert ūdeni.
也	такође	И ја идем.	tudi	Tudi jaz grem.	taip pat	Aš taip pat einu.	arī	Es arī iešu.
已经	већ	Већ сам стигао.	že	Že sem prispel.	jau	Aš jau atvykau.	jau	Es jau esmu ieradies.
一起	заједно	Идемо заједно.	skupaj	Gremo skupaj.	kartu; drauge	Einame kartu.	kopā	Mēs ejam kopā.
意思	значење; смисао	Шта значи овај знак?	pomen; smisel	Kaj pomeni ta pismenka?	reikšmė; prasmė	Ką reiškia šis ženklas?	nozīme; doma	Ko nozīmē šī rakstzīme?
阴	облачно; тмурно	Данас је облачно.	oblačen; siv	Danes je oblačno.	debesuotas; apsiniaukęs	Šiandien apsiniaukę.	apmācies; mākoņains	Šodien ir apmācies.
因为	јер; зато што	Пошто пада киша, не идем.	ker	Ker dežuje, ne grem.	nes; kadangi	Kadangi lyja, neisiu.	jo; tāpēc ka	Tā kā līst, es neiešu.
游泳	пливати	Умем да пливам.	plavati	Znam plavati.	plaukti	Moku plaukti.	peldēt	Es protu peldēt.
右边	десна страна	Продавница је десно.	desna stran	Trgovina je na desni strani.	dešinė pusė	Parduotuvė yra dešinėje.	labā puse	Veikals ir labajā pusē.
鱼	риба	Једем рибу.	riba	Jem ribo.	žuvis	Valgau žuvį.	zivs	Es ēdu zivis.
元	јуан; новчана јединица	Ова шоља кошта десет јуана.	juan; denarna enota	Ta skodelica stane deset juanov.	juanis; piniginis vienetas	Šis puodelis kainuoja dešimt juanių.	juaņa; naudas vienība	Šī krūze maksā desmit juaņu.
远	далек	Аеродром је далеко.	daleč	Letališče je daleč.	toli	Oro uostas yra toli.	tāls; tālu	Lidosta ir tālu.
运动	спорт; вежбање	Волим да вежбам.	šport; vadba	Rad telovadim.	sportas; mankšta	Man patinka mankšta.	sports; vingrošana	Man patīk sportot.
再	поново; онда	Сутра ћу поново доћи.	spet; potem	Jutri bom spet prišel.	vėl; tada	Rytoj vėl ateisiu.	atkal; tad	Rīt es atkal atnākšu.
早上	јутро	Ујутру пијем чај.	jutro	Zjutraj pijem čaj.	rytas	Ryte geriu arbatą.	rīts	No rīta es dzeru tēju.
张	мерна реч за равне предмете	Купио сам једну карту.	števna beseda za ploščate predmete	Kupil sem eno vozovnico.	skaitiklis plokštiems daiktams	Nusipirkau vieną bilietą.	skaitītājvārds plakaniem priekšmetiem	Es nopirku vienu biļeti.
丈夫	муж	Њен муж је лекар.	mož	Njen mož je zdravnik.	vyras	Jos vyras yra gydytojas.	vīrs	Viņas vīrs ir ārsts.
找	тражити; наћи	Тражим пријатеља.	iskati; najti	Iščem prijatelja.	ieškoti; rasti	Ieškau draugo.	meklēt; atrast	Es meklēju draugu.
着	честица трајног стања	Врата су отворена.	členek za trajajoče stanje	Vrata so odprta.	tęstinės būsenos dalelytė	Durys atidarytos.	turpinoša stāvokļa partikula	Durvis ir atvērtas.
真	заиста; прави	Ова књига је заиста добра.	res; pravi	Ta knjiga je res dobra.	tikrai; tikras	Ši knyga tikrai gera.	tiešām; īsts	Šī grāmata ir tiešām laba.
正在	бити управо у току	Он управо гледа телевизију.	pravkar; biti sredi	Pravkar gleda televizijo.	kaip tik; šiuo metu	Jis šiuo metu žiūri televizorių.	pašlaik; tieši tagad	Viņš pašlaik skatās televizoru.
知道	знати	Не знам.	vedeti	Ne vem.	žinoti	Nežinau.	zināt	Es nezinu.
准备	припремити; припрема	Припремам се за испит.	pripraviti; priprava	Pripravljam se na izpit.	ruošti; ruoštis	Ruošiuosi egzaminui.	gatavot; gatavoties	Es gatavojos eksāmenam.
自行车	бицикл	Мој бицикл је нов.	kolo	Moje kolo je novo.	dviratis	Mano dviratis naujas.	velosipēds	Mans velosipēds ir jauns.
走	ходати; ићи	Идем кући пешке.	hoditi; iti	Domov grem peš.	eiti; vaikščioti	Einu namo pėsčiomis.	iet; staigāt	Es eju mājās kājām.
最	највише; нај-	Он је највиши.	najbolj; naj-	On je najvišji.	labiausiai; pats	Jis yra aukščiausias.	visvairāk; vis-	Viņš ir visgarākais.
左边	лева страна	Школа је лево.	leva stran	Šola je na levi strani.	kairė pusė	Mokykla yra kairėje.	kreisā puse	Skola ir kreisajā pusē.
