source_headword	KN	example_KN
honesty	ಪ್ರಾಮಾಣಿಕತೆ	ಪ್ರಾಮಾಣಿಕತೆಯು ನಂಬಿಕೆಯನ್ನು ಬೆಳೆಸುತ್ತದೆ.
hook	ಕೊಕ್ಕೆ	ಕೋಟನ್ನು ಕೊಕ್ಕೆಗೆ ಹಾಕಿ.
hopefully	ಆಶಾದಾಯಕವಾಗಿ	ಆಶಾದಾಯಕವಾಗಿ, ರೈಲು ಶೀಘ್ರದಲ್ಲೇ ಆಗಮಿಸುತ್ತದೆ.
hunger	ಹಸಿವು	ಹಸಿವು ಏಕಾಗ್ರತೆಯ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರಬಹುದು.
hypothesis	ಊಹೆ	ಪ್ರಯೋಗವು ಊಹೆಯನ್ನು ಪರೀಕ್ಷಿಸಿತು.
icon	ಐಕಾನ್	ಇಂದು ಅಪ್ಲಿಕೇಶನ್ ಐಕಾನ್ ಬದಲಾಗಿದೆ.
ID	ಗುರುತಿನ ಚೀಟಿ	ಸ್ವಾಗತ ಕಚೇರಿಯಲ್ಲಿ ನಿಮ್ಮ ಗುರುತಿನ ಚೀಟಿಯನ್ನು ತೋರಿಸಿ.
identical	ಒಂದೇ ರೀತಿಯ	ಅವಳಿಗಳು ಒಂದೇ ರೀತಿಯ ಜಾಕೆಟ್‌ಗಳನ್ನು ಧರಿಸಿದ್ದರು.
illusion	ಭ್ರಮೆ	ಕನ್ನಡಿಯು ಒಂದು ಭ್ರಮೆಯನ್ನು ಸೃಷ್ಟಿಸುತ್ತದೆ.
immigration	ವಲಸೆ	ಕಳೆದ ವರ್ಷ ವಲಸೆ ನೀತಿ ಬದಲಾಗಿದೆ.
immune	ರೋಗನಿರೋಧಕ	ಲಸಿಕೆಯು ಜನರನ್ನು ರೋಗನಿರೋಧಕರನ್ನಾಗಿ ಮಾಡಬಹುದು.
implement	ಜಾರಿಗೆ ತರು	ಶಾಲೆಯು ನೀತಿಯನ್ನು ಜಾರಿಗೆ ತರಲಿದೆ.
implication	ಸೂಚನೆ	ಅದರ ಸೂಚನೆ ಸ್ಪಷ್ಟವಾಗಿತ್ತು.
incentive	ಪ್ರೋತ್ಸಾಹಕ	ಬೋನಸ್ ಕಾರ್ಮಿಕರಿಗೆ ಪ್ರೋತ್ಸಾಹವನ್ನು ನೀಡಿತು.
incorporate	ಸೇರಿಸು	ಊಟದಲ್ಲಿ ಹೆಚ್ಚು ತರಕಾರಿಗಳನ್ನು ಸೇರಿಸಿ.
incorrect	ತಪ್ಪು	ಆ ಉತ್ತರವು ತಪ್ಪಾಗಿತ್ತು.
independence	ಸ್ವಾತಂತ್ರ್ಯ	ದೇಶವು ಸ್ವಾತಂತ್ರ್ಯವನ್ನು ಆಚರಿಸಿತು.
index	ಸೂಚ್ಯಂಕ	ವಿಷಯಕ್ಕಾಗಿ ಸೂಚ್ಯಂಕವನ್ನು ಪರಿಶೀಲಿಸಿ.
indication	ಸೂಚನೆ	ಆ ಮುಗುಳುನಗೆಯು ನಿರಾಳತೆಯ ಸೂಚನೆಯಾಗಿತ್ತು.
inevitable	ಅನಿವಾರ್ಯ	ಸ್ವಲ್ಪ ವಿಳಂಬವು ಅನಿವಾರ್ಯವಾಗಿತ್ತು.
inevitably	ಅನಿವಾರ್ಯವಾಗಿ	ಕೊರತೆಯ ನಂತರ ಅನಿವಾರ್ಯವಾಗಿ ಬೆಲೆಗಳು ಏರಿದವು.
infer	ಊಹಿಸು	ನಾವು ಸಂದರ್ಭದಿಂದ ಉತ್ತರವನ್ನು ಊಹಿಸಬಹುದು.
inflation	ಹಣದುಬ್ಬರ	ಹಣದುಬ್ಬರವು ಆಹಾರದ ಬೆಲೆಗಳನ್ನು ಹೆಚ್ಚಿಸಿತು.
info	ಮಾಹಿತಿ	ವೆಬ್‌ಸೈಟ್ ಉಪಯುಕ್ತ ಮಾಹಿತಿಯನ್ನು ಪಟ್ಟಿ ಮಾಡುತ್ತದೆ.
infrastructure	ಮೂಲಸೌಕರ್ಯ	ಬಿರುಗಾಳಿಯು ಸ್ಥಳೀಯ ಮೂಲಸೌಕರ್ಯಗಳಿಗೆ ಹಾನಿ ಮಾಡಿತು.
inhabitant	ನಿವಾಸಿ	ಪ್ರತಿಯೊಬ್ಬ ನಿವಾಸಿಯು ಶುದ್ಧ ನೀರನ್ನು ಪಡೆದನು.
inherit	ಆನುವಂಶಿಕವಾಗಿ ಪಡೆ	ಅವಳು ಕುಟುಂಬದ ಮನೆಯನ್ನು ಆನುವಂಶಿಕವಾಗಿ ಪಡೆಯುತ್ತಾಳೆ.
ink	ಶಾಯಿ	ಮುದ್ರಕಕ್ಕೆ ಕಪ್ಪು ಶಾಯಿಯ ಅಗತ್ಯವಿದೆ.
innovation	ನಾವೀನ್ಯತೆ	ನಾವೀನ್ಯತೆಯು ಉದ್ಯಮವನ್ನು ಮುಂದಕ್ಕೆ ಕೊಂಡೊಯ್ಯುತ್ತದೆ.
innovative	ನವೀನ	ಕಂಪನಿಯು ನವೀನ ಉತ್ಪನ್ನವನ್ನು ಬಿಡುಗಡೆ ಮಾಡಿತು.
input	ಸಲಹೆ	ವ್ಯವಸ್ಥಾಪಕರು ಸಲಹೆಯನ್ನು ಕೇಳಿದರು.
insert	ಸೇರಿಸು	ಯಂತ್ರದಲ್ಲಿ ಕಾರ್ಡ್ ಅನ್ನು ಸೇರಿಸಿ.
inspector	ಇನ್ಸ್‌ಪೆಕ್ಟರ್	ನಿರೀಕ್ಷಕರು ಕಟ್ಟಡವನ್ನು ಪರಿಶೀಲಿಸಿದರು.
installation	ಅನುಸ್ಥಾಪನೆ	ಅನುಸ್ಥಾಪನೆಯು ಎರಡು ಗಂಟೆಗಳನ್ನು ತೆಗೆದುಕೊಂಡಿತು.
instant	ತ್ವರಿತ	ಅಪ್ಲಿಕೇಶನ್ ತ್ವರಿತ ಪ್ರತ್ಯುತ್ತರವನ್ನು ಕಳುಹಿಸಿದೆ.
instantly	ತಕ್ಷಣ	ಪರದೆಯು ತಕ್ಷಣವೇ ಆನ್ ಆಯಿತು.
integrate	ಸಂಯೋಜಿಸು	ತಂತ್ರಾಂಶವು ಹೊಸ ಉಪಕರಣಗಳನ್ನು ಸಂಯೋಜಿಸಬಹುದು.
intellectual	ಬೌದ್ಧಿಕ	ಚರ್ಚೆಯು ಬೌದ್ಧಿಕವಾಗಿತ್ತು ಆದರೆ ಸ್ನೇಹಪರವಾಗಿತ್ತು.
interact	ಸಂವಹನ ಮಾಡು	ಗುಂಪು ಕೆಲಸದ ಸಮಯದಲ್ಲಿ ವಿದ್ಯಾರ್ಥಿಗಳು ಸಂವಹನ ನಡೆಸುತ್ತಾರೆ.
interaction	ಸಂವಹನ	ಅವರ ಸಂವಹನವು ಸಭ್ಯವಾಗಿತ್ತು.
interpretation	ವ್ಯಾಖ್ಯಾನ	ಕವಿತೆಯ ಬಗೆಗಿನ ಅವಳ ವ್ಯಾಖ್ಯಾನವು ಮೂಲವಾಗಿತ್ತು.
interval	ವಿರಾಮ	ಪ್ರದರ್ಶನಗಳ ನಡುವೆ ಸಣ್ಣ ವಿರಾಮವಿತ್ತು.
invade	ಆಕ್ರಮಣ ಮಾಡು	ಸೈನ್ಯವು ದ್ವೀಪವನ್ನು ಆಕ್ರಮಿಸಲು ಪ್ರಯತ್ನಿಸಿತು.
invasion	ಆಕ್ರಮಣ	ಆಕ್ರಮಣವು ಅನೇಕ ಪಟ್ಟಣಗಳಿಗೆ ಹಾನಿ ಮಾಡಿತು.
investor	ಹೂಡಿಕೆದಾರ	ಹೂಡಿಕೆದಾರರು ಹೊಸ ಸ್ಟಾರ್ಟಪ್‌ಗೆ ಹಣ ನೀಡಿದರು.
isolate	ಪ್ರತ್ಯೇಕಿಸು	ಗಂಭೀರ ಸೋಂಕುಗಳಿರುವ ರೋಗಿಗಳನ್ನು ವೈದ್ಯರು ಪ್ರತ್ಯೇಕಿಸುತ್ತಾರೆ.
isolated	ಪ್ರತ್ಯೇಕವಾದ	ಹಿಮದಿಂದಾಗಿ ಹಳ್ಳಿಯು ಪ್ರತ್ಯೇಕವಾಗಿತ್ತು.
jail	ಜೈಲು	ಕಳ್ಳನು ಜೈಲಿಗೆ ಹೋದನು.
jet	ಜೆಟ್	ಜೆಟ್ ವಿಮಾನವು ಮಧ್ಯಾಹ್ನ ಬಂದಿಳಿಯಿತು.
joint	ಜಂಟಿ	ಅವರು ಜಂಟಿ ಯೋಜನೆಯನ್ನು ಘೋಷಿಸಿದರು.
journalism	ಪತ್ರಿಕೋದ್ಯಮ	ಪತ್ರಿಕೋದ್ಯಮಕ್ಕೆ ನಿಖರವಾದ ಸತ್ಯಾಂಶಗಳ ಅಗತ್ಯವಿದೆ.
jury	ತೀರ್ಪುಗಾರರು	ತೀರ್ಪುಗಾರರು ಒಂದು ನಿರ್ಧಾರಕ್ಕೆ ಬಂದರು.
kit	ಕಿಟ್	ದುರಸ್ತಿ ಕಿಟ್ ಸ್ಕ್ರೂಗಳನ್ನು ಒಳಗೊಂಡಿದೆ.
ladder	ಏಣಿ	ಏಣಿಯು ಗೋಡೆಗೆ ಒರಗಿತ್ತು.
landing	ಲ್ಯಾಂಡಿಂಗ್	ವಿಮಾನವು ಸುಗಮವಾಗಿ ಲ್ಯಾಂಡ್ ಆಯಿತು.
lane	ಲೇನ್	ಬಲ ಲೇನ್‌ನಲ್ಲಿಯೇ ಇರಿ.
lately	ಇತ್ತೀಚೆಗೆ	ನಾನು ಇತ್ತೀಚೆಗೆ ಸರಿಯಾಗಿ ನಿದ್ದೆ ಮಾಡಿಲ್ಲ.
leaflet	ಕರಪತ್ರ	ಕರಪತ್ರವು ಸೇವೆಯನ್ನು ವಿವರಿಸುತ್ತದೆ.
legend	ದಂತಕಥೆ	ದಂತಕಥೆಯು ಗುಪ್ತ ನಗರದ ಬಗ್ಗೆ ಹೇಳುತ್ತದೆ.
lens	ಮಸೂರ	ಕ್ಯಾಮರಾ ಲೆನ್ಸ್ ಅನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಸ್ವಚ್ಛಗೊಳಿಸಿ.
lifetime	ಜೀವಿತಾವಧಿ	ಅವನು ಜೀವಿತಾವಧಿಯವರೆಗೆ ಹಣವನ್ನು ಉಳಿತಾಯ ಮಾಡಿದನು.
lighting	ಬೆಳಕು	ಉತ್ತಮ ಬೆಳಕು ಕೊಠಡಿಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.
likewise	ಅಂತೆಯೇ	ಅವಳು ಮುಗುಳುನಕ್ಕಳು; ಅವನೂ ಅಂತೆಯೇ ಮಾಡಿದನು.
limitation	ಮಿತಿ	ಯೋಜನೆಯು ಒಂದು ಮಿತಿಯನ್ನು ಹೊಂದಿದೆ.
literally	ಅಕ್ಷರಶಃ	ಅವಳು ಅಕ್ಷರಶಃ ಬಸ್ಸಿನತ್ತ ಓಡಿದಳು.
literary	ಸಾಹಿತ್ಯಿಕ	ಉತ್ಸವವು ಸಾಹಿತ್ಯಿಕ ಕೃತಿಯನ್ನು ಗೌರವಿಸುತ್ತದೆ.
litre	ಲೀಟರ್	ಒಂದು ಲೀಟರ್ ಹಾಲು ಖರೀದಿಸಿ.
litter	ಕಸ	ಕಸವನ್ನು ಎಸೆಯಬೇಡಿ.
logo	ಲೋಗೋ	ಲೋಗೋ ಪ್ರತಿ ಪುಟದಲ್ಲಿ ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ.
lottery	ಲಾಟರಿ	ಅವನು ಒಂದು ಸಣ್ಣ ಲಾಟರಿ ಬಹುಮಾನವನ್ನು ಗೆದ್ದನು.
loyal	ನಿಷ್ಠಾವಂತ	ನಾಯಿಯು ತನ್ನ ಮಾಲೀಕನಿಗೆ ನಿಷ್ಠಾವಂತವಾಗಿತ್ತು.
lyric	ಸಾಹಿತ್ಯ	ಹಾಡಿನ ಸಾಹಿತ್ಯವು ಮುಖ್ಯ ಕಲ್ಪನೆಯನ್ನು ಪುನರಾವರ್ತಿಸಿತು.
magnificent	ಭವ್ಯವಾದ	ಅರಮನೆಯು ಭವ್ಯವಾಗಿ ಕಾಣುತ್ತಿತ್ತು.
make-up	ಮೇಕಪ್	ಅವಳು ಸರಳವಾದ ಮೇಕಪ್ ಹಾಕಿಕೊಂಡಿದ್ದಳು.
making	ತಯಾರಿಕೆ	ಆ ಚಲನಚಿತ್ರದ ತಯಾರಿಕೆಯು ಕಷ್ಟಕರವಾಗಿತ್ತು.
manufacture	ತಯಾರಿಸು	ಕಾರ್ಖಾನೆಯು ಫೋನ್‌ಗಳನ್ನು ತಯಾರಿಸುತ್ತದೆ.
manufacturing	ಉತ್ಪಾದನೆ	ಸ್ಥಳೀಯವಾಗಿ ಉತ್ಪಾದನಾ ಉದ್ಯೋಗಗಳು ಹೆಚ್ಚಾಗಿವೆ.
marathon	ಮ್ಯಾರಥಾನ್	ಅವಳು ಮ್ಯಾರಥಾನ್ ಅನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದಳು.
margin	ಅಂಚು	ಅಂಚಿನಲ್ಲಿ ಟಿಪ್ಪಣಿಗಳನ್ನು ಬರೆಯಿರಿ.
marker	ಮಾರ್ಕರ್	ಲೇಬಲ್‌ಗಾಗಿ ಮಾರ್ಕರ್ ಬಳಸಿ.
martial	ಮಾರ್ಷಲ್	ಅವನು ಮಾರ್ಷಲ್ ಆರ್ಟ್ಸ್ ಕಲಿಯುತ್ತಿದ್ದಾನೆ.
mate	ಸ್ನೇಹಿತ	ನಿನ್ನೆ ನನ್ನ ಹಳೆಯ ಶಾಲಾ ಸ್ನೇಹಿತ ಕರೆ ಮಾಡಿದ್ದನು.
mayor	ಮೇಯರ್	ಮೇಯರ್ ಗ್ರಂಥಾಲಯವನ್ನು ಉದ್ಘಾಟಿಸಿದರು.
mechanic	ಮೆಕ್ಯಾನಿಕ್	ಮೆಕ್ಯಾನಿಕ್ ಬಸ್ಸನ್ನು ದುರಸ್ತಿ ಮಾಡಿದನು.
mechanical	ಯಾಂತ್ರಿಕ	ಗಡಿಯಾರವು ಯಾಂತ್ರಿಕ ದೋಷವನ್ನು ಹೊಂದಿದೆ.
mechanism	ಕಾರ್ಯವಿಧಾನ	ಬೀಗದ ಕಾರ್ಯವಿಧಾನ ಸರಳವಾಗಿದೆ.
medal	ಪದಕ	ಅವಳು ಚಿನ್ನದ ಪದಕ ಗೆದ್ದಳು.
medication	ಔಷಧಿ	ಔಷಧಿಯನ್ನು ನೀರಿನೊಂದಿಗೆ ತೆಗೆದುಕೊಳ್ಳಿ.
membership	ಸದಸ್ಯತ್ವ	ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಜಿಮ್ ಸದಸ್ಯತ್ವದ ವೆಚ್ಚ ಕಡಿಮೆಯಾಗಿದೆ.
memorable	ಸ್ಮರಣೀಯ	ಆ ಪ್ರವಾಸವು ಸ್ಮರಣೀಯವಾಗಿತ್ತು.
metaphor	ರೂಪಕ	ಕವಿತೆಯು ಬಲವಾದ ರೂಪಕವನ್ನು ಬಳಸುತ್ತದೆ.
miner	ಗಣಿಗಾರ	ಗಣಿಗಾರನು ಭೂಮಿಯ ಅಡಿಯಲ್ಲಿ ಕೆಲಸ ಮಾಡಿದನು.
miserable	ಶೋಚನೀಯ	ಮಳೆಯು ವಿಹಾರವನ್ನು ಶೋಚನೀಯಗೊಳಿಸಿತು.
mode	ಮೋಡ್	ಕ್ಯಾಮೆರಾವನ್ನು ನೈಟ್ ಮೋಡ್‌ಗೆ ಬದಲಾಯಿಸಿ.
modest	ಸಾಧಾರಣ	ಅವರು ಸಾಧಾರಣ ಮನೆಯಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದಾರೆ.
monster	ರಾಕ್ಷಸ	ಕಥೆಯಲ್ಲಿ ಭಯಾನಕ ರಾಕ್ಷಸನಿದ್ದಾನೆ.
monthly	ಮಾಸಿಕ	ನಾವು ಮಾಸಿಕ ಬಾಡಿಗೆಯನ್ನು ಪಾವತಿಸುತ್ತೇವೆ.
monument	ಸ್ಮಾರಕ	ಸ್ಮಾರಕವು ನದಿಯ ಬಳಿ ನಿಂತಿದೆ.
moreover	ಇದಲ್ಲದೆ	ಇದಲ್ಲದೆ, ಯೋಜನೆಯು ಹಣವನ್ನು ಉಳಿಸುತ್ತದೆ.
mortgage	ಅಡಮಾನ	ಅವರು ಅಡಮಾನಕ್ಕಾಗಿ ಅರ್ಜಿ ಸಲ್ಲಿಸಿದರು.
mosque	ಮಸೀದಿ	ಮಸೀದಿಯು ಮಾರುಕಟ್ಟೆಯ ಬಳಿ ಇದೆ.
motion	ಚಲನೆ	ಸಂವೇದಕವು ಚಲನೆಯನ್ನು ಪತ್ತೆ ಮಾಡುತ್ತದೆ.
motivate	ಪ್ರೇರೇಪಿಸು	ಹೊಗಳಿಕೆಯು ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಪ್ರೇರೇಪಿಸುತ್ತದೆ.
motivation	ಪ್ರೇರಣೆ	ಅವಳ ಪ್ರೇರಣೆ ಬಲವಾಗಿತ್ತು.
moving	ಮನಕಲಕುವ	ಭಾಷಣವು ಮನಕಲಕುವಂತಿತ್ತು.
myth	ಪುರಾಣ	ಪುರಾಣವು ಪರ್ವತದ ಹೆಸರನ್ನು ವಿವರಿಸುತ್ತದೆ.
naked	ಬೆತ್ತಲೆ	ಸ್ನಾನದ ನಂತರ ಮಗು ಬೆತ್ತಲೆಯಾಗಿತ್ತು.
nasty	ಅಸಹ್ಯಕರ	ಗಾಯವು ಕೆಟ್ಟದಾಗಿ ಕಾಣುತ್ತಿತ್ತು.
navigation	ಸಂಚರಣೆ	ಅಪ್ಲಿಕೇಶನ್ ನ್ಯಾವಿಗೇಶನ್ ಅನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.
nearby	ಹತ್ತಿರದ	ಹತ್ತಿರದ ಕೆಫೆ ಬೇಗನೆ ತೆರೆಯುತ್ತದೆ.
necessity	ಅಗತ್ಯ	ಶುದ್ಧ ನೀರು ಒಂದು ಅಗತ್ಯವಾಗಿದೆ.
negotiate	ಮಾತುಕತೆ ನಡೆಸು	ಅವರು ನಾಳೆ ಒಪ್ಪಂದದ ಬಗ್ಗೆ ಮಾತುಕತೆ ನಡೆಸುತ್ತಾರೆ.
negotiation	ಮಾತುಕತೆ	ಮಾತುಕತೆ ಬೆಳಿಗ್ಗೆಯೆಲ್ಲಾ ನಡೆಯಿತು.
neutral	ತಟಸ್ಥ	ನ್ಯಾಯಾಧೀಶರು ತಟಸ್ಥರಾಗಿದ್ದರು.
newly	ಹೊಸದಾಗಿ	ಹೊಸದಾಗಿ ಬಣ್ಣ ಬಳಿದ ಬಾಗಿಲು ಪ್ರಕಾಶಮಾನವಾಗಿ ಕಾಣುತ್ತಿತ್ತು.
norm	ವಾಡಿಕೆ	ರಿಮೋಟ್ ಕೆಲಸವು ವಾಡಿಕೆಯಾಯಿತು.
notebook	ನೋಟ್ಬುಕ್	ನಿಮ್ಮ ನೋಟ್‌ಬುಕ್‌ನಲ್ಲಿ ಟಿಪ್ಪಣಿಗಳನ್ನು ಬರೆಯಿರಿ.
novelist	ಕಾದಂಬರಿಕಾರ	ಕಾದಂಬರಿಕಾರಳು ತನ್ನ ಪುಸ್ತಕಕ್ಕೆ ಸಹಿ ಹಾಕಿದಳು.
nowadays	ಇತ್ತೀಚೆಗೆ	ಇತ್ತೀಚೆಗೆ, ಅನೇಕ ಜನರು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ.
nursing	ಶುಶ್ರೂಷೆ	ಅವಳು ನರ್ಸಿಂಗ್ ಓದುತ್ತಿದ್ದಾಳೆ.
nutrition	ಪೋಷಣೆ	ಉತ್ತಮ ಪೋಷಣೆಯು ಆರೋಗ್ಯವನ್ನು ಬೆಂಬಲಿಸುತ್ತದೆ.
obesity	ಸ್ಥೂಲಕಾಯತೆ	ಸ್ಥೂಲಕಾಯತೆಯು ಆರೋಗ್ಯದ ಅಪಾಯಗಳನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ.
observer	ವೀಕ್ಷಕ	ವೀಕ್ಷಕನು ಫಲಿತಾಂಶಗಳನ್ನು ದಾಖಲಿಸಿದನು.
obstacle	ಅಡಚಣೆ	ಬಿದ್ದ ಮರವು ಒಂದು ಅಡಚಣೆಯಾಗಿತ್ತು.
occupation	ವೃತ್ತಿ	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ನಿಮ್ಮ ವೃತ್ತಿಯನ್ನು ಬರೆಯಿರಿ.
occupy	ಆಕ್ರಮಿಸು	ಕುಟುಂಬವು ಅಪಾರ್ಟ್ಮೆಂಟ್ ಅನ್ನು ಆಕ್ರಮಿಸಿಕೊಳ್ಳುತ್ತದೆ.
offender	ಅಪರಾಧಿ	ಅಪರಾಧಿಯು ನ್ಯಾಯಾಲಯದಲ್ಲಿ ಕ್ಷಮೆಯಾಚಿಸಿದನು.
ongoing	ನಡೆಯುತ್ತಿರುವ	ತನಿಖೆ ನಡೆಯುತ್ತಿದೆ.
openly	ಬಹಿರಂಗವಾಗಿ	ಅವಳು ತನ್ನ ಭಯದ ಬಗ್ಗೆ ಬಹಿರಂಗವಾಗಿ ಮಾತನಾಡಿದಳು.
opera	ಒಪೆರಾ	ನಾವು ಮಿಲನ್‌ನಲ್ಲಿ ಒಪೆರಾವನ್ನು ನೋಡಿದೆವು.
operator	ಆಪರೇಟರ್	ಆಪರೇಟರ್ ಕರೆಯನ್ನು ಸಂಪರ್ಕಿಸಿದ್ದಾರೆ.
optimistic	ಆಶಾವಾದಿ	ಅವಳು ಭವಿಷ್ಯದ ಬಗ್ಗೆ ಆಶಾವಾದಿಯಾಗಿದ್ದಾಳೆ.
orchestra	ವಾದ್ಯವೃಂದ	ವಾದ್ಯವೃಂದವು ಮೃದುವಾಗಿ ನುಡಿಸಿತು.
organic	ಸಾವಯವ	ಅವರು ಸಾವಯವ ತರಕಾರಿಗಳನ್ನು ಖರೀದಿಸಿದರು.
outfit	ಉಡುಪು	ಅವಳ ಉಡುಪು ಸಂದರ್ಭಕ್ಕೆ ಹೊಂದಿಕೆಯಾಗಿತ್ತು.
output	ಉತ್ಪಾದನೆ	ಯಂತ್ರದ ಉತ್ಪಾದನೆ ಹೆಚ್ಚಾಯಿತು.
outstanding	ಅತ್ಯುತ್ತಮ	ಅವನ ಪ್ರದರ್ಶನ ಅತ್ಯುತ್ತಮವಾಗಿತ್ತು.
overcome	ಜಯಿಸು	ಅವರು ಒಟ್ಟಾಗಿ ಸಮಸ್ಯೆಗಳನ್ನು ಜಯಿಸುತ್ತಾರೆ.
overnight	ರಾತ್ರೋರಾತ್ರಿ	ಪ್ಯಾಕೇಜ್ ರಾತ್ರೋರಾತ್ರಿ ತಲುಪಿತು.
overseas	ವಿದೇಶದಲ್ಲಿ	ಅವನು ವಿದೇಶದಲ್ಲಿ ಕೆಲಸ ಹುಡುಕಿದನು.
ownership	ಮಾಲೀಕತ್ವ	ಭೂಮಿಯ ಮಾಲೀಕತ್ವ ಬದಲಾಗಿದೆ.
oxygen	ಆಮ್ಲಜನಕ	ಸಸ್ಯಗಳು ಆಮ್ಲಜನಕವನ್ನು ಉತ್ಪಾದಿಸುತ್ತವೆ.
packet	ಪ್ಯಾಕೆಟ್	ಪ್ಯಾಕೆಟ್ ಅನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ತೆರೆಯಿರಿ.
palm	ಅಂಗೈ	ನಾಣ್ಯವನ್ನು ನಿಮ್ಮ ಅಂಗೈಯಲ್ಲಿ ಹಿಡಿದುಕೊಳ್ಳಿ.
panic	ಭೀತಿ	ಜನಸಂದಣಿಯಲ್ಲಿ ಭೀತಿ ಹರಡಿತು.
parade	ಮೆರವಣಿಗೆ	ಮೆರವಣಿಗೆ ಮಧ್ಯಾಹ್ನ ಪ್ರಾರಂಭವಾಯಿತು.
parallel	ಸಮಾನಾಂತರ	ರಸ್ತೆಗಳು ಸಮಾನಾಂತರವಾಗಿ ಸಾಗುತ್ತವೆ.
participation	ಭಾಗವಹಿಸುವಿಕೆ	ತರಗತಿಯಲ್ಲಿ ಭಾಗವಹಿಸುವಿಕೆ ಸುಧಾರಿಸಿದೆ.
partnership	ಪಾಲುದಾರಿಕೆ	ಪಾಲುದಾರಿಕೆಯು ಎರಡೂ ಕಂಪನಿಗಳಿಗೆ ಸಹಾಯ ಮಾಡಿತು.
part-time	ಅರೆಕಾಲಿಕ	ಅವಳು ಅರೆಕಾಲಿಕ ಕೆಲಸವನ್ನು ಕಂಡುಕೊಂಡಳು.
passionate	ಅತ್ಯಾಸಕ್ತಿಯ	ಅವನು ಸಂಗೀತದ ಬಗ್ಗೆ ಅತ್ಯಾಸಕ್ತಿ ಹೊಂದಿದ್ದಾನೆ.
password	ಪಾಸ್‌ವರ್ಡ್	ಬಲವಾದ ಪಾಸ್‌ವರ್ಡ್ ಆಯ್ಕೆಮಾಡಿ.
patience	ತಾಳ್ಮೆ	ಚಿಕ್ಕ ಮಕ್ಕಳಿಗೆ ಕಲಿಸಲು ತಾಳ್ಮೆ ಬೇಕು.
pause	ವಿರಾಮಗೊಳಿಸು	ವೀಡಿಯೊವನ್ನು ಈಗ ವಿರಾಮಗೊಳಿಸಿ.
peer	ಸಹಪಾಠಿ	ಸಹಪಾಠಿಗಳ ಒತ್ತಡವು ಅವನ ಆಯ್ಕೆಯ ಮೇಲೆ ಪ್ರಭಾವ ಬೀರಿತು.
penalty	ದಂಡ	ಆಟಗಾರನು ದಂಡವನ್ನು ಪಡೆದನು.
