source_headword	KK	example_KK
petrol	бензин	Көлікте бензин аз.
physical	физикалық	Физикалық жаттығу денсаулыққа пайдалы.
physics	физика	Ол физика оқиды.
pick	алу	Ол еденнен қаламды алды.
pilot	ұшқыш	Ұшқыш жолаушыларды қарсы алды.
planet	ғаламшар	Жер ғаламшар.
plastic	пластик	Бөтелке пластиктен жасалған.
plate	тәрелке	Тәрелке үстелге қойылды.
platform	платформа	Пойыз үшінші платформаға келді.
pleased	риза	Ол нәтижеге риза.
pocket	қалта	Ол кілтті қалтасына салды.
polite	сыпайы	Бұл бала өте сыпайы.
pollution	ластану	Қалада ластану көбейіп жатыр.
pop	поп музыка	Ол поп музыканы тыңдайды.
population	халық	Қаланың халқы көп.
position	орын	Оның орны тізімде жоғары.
possession	иелік	Кітап қазір оның иелігінде.
possibility	мүмкіндік	Жеңіске әлі мүмкіндік бар.
poster	плакат	Плакат қабырғаға жапсырылды.
power	күш	Машинаға көбірек күш керек.
predict	болжау	Олар ертеңгі ауа райын болжады.
president	президент	Президент сөз сөйледі.
prevent	болдырмау	Жаңбыр ойынның өтуін болдырмады.
print	басып шығару	Өтініш, осы бетті басып шығарыңыз.
printer	принтер	Принтер бүгін жұмыс істемейді.
prison	түрме	Ұры түрмеге түсті.
prize	жүлде	Ол жарыста жүлде алды.
process	үдеріс	Бұл үдеріс уақыт алады.
produce	өндіру	Зауыт ойыншықтар өндіреді.
professional	кәсіби	Ол кәсіби ойыншы.
professor	профессор	Профессор сұрақты түсіндірді.
profile	профиль	Ол профилін жаңартты.
program	бағдарлама	Бағдарлама кешке басталады.
progress	ілгерілеу	Оның оқуында ілгерілеу бар.
promise	уәде беру	Ол уақытында келуге уәде берді.
pronounce	айту	Бұл сөзді анық айтыңыз.
protect	қорғау	Ағаштар табиғатты қорғайды.
provide	қамтамасыз ету	Мектеп тегін тамақпен қамтамасыз етеді.
pub	сыра үйі	Олар кешке сыра үйінде кездесті.
public	қоғамдық	Бұл қоғамдық бақ.
publish	жариялау	Олар кітапты келесі жылы жариялайды.
pull	тарту	Есікті ашу үшін тұтқаны тартыңыз.
purpose	мақсат	Бұл жиналыстың мақсаты анық.
push	итеру	Есікті ашу үшін итеріңіз.
quality	сапа	Бұл көйлектің сапасы жақсы.
quantity	мөлшер	Мөлшерді мұқият өлшеңіз.
queen	патшайым	Патшайым сарайда тұрды.
quietly	ақырын	Ол бөлмеге ақырын кірді.
race (competition)	жарыс	Жарыс таңертең басталды.
railway	теміржол	Теміржол вокзалы жақын.
raise	көтеру	Ол қолын көтерді.
rate	баға	Бөлменің бағасы жоғары.
rather	едәуір	Бұл едәуір қиын.
reach	жету	Біз кешке үйге жеттік.
react	әрекет ету	Ол хабарға сабырлы әрекет етті.
realize	түсіну	Ол қатесін түсінді.
receive	алу	Ол хатты алды.
recent	жақындағы	Жақындағы жаңалықтар маңызды.
recently	жақында	Ол жақында осында келді.
reception	қабылдау орны	Қабылдау орнында кілтті сұраңыз.
recipe	рецепт	Бұл рецепт оңай.
recognize	тану	Ол ескі досын таныды.
recommend	ұсыну	Мен бұл кітапты ұсынамын.
record	жазу	Ол мәліметті жазып алды.
recording	жазба	Жазба қазір басталады.
recycle	қайта өңдеу	Біз қағазды қайта өңдейміз.
reduce	азайту	Өтініш, дыбысты азайтыңыз.
refer	сілтеме жасау	Мұғалім ескі сабаққа сілтеме жасады.
refuse1	бас тарту	Ол көмектен бас тартты.
region	аймақ	Бұл аймақ өте ыстық.
regular	тұрақты	Ол тұрақты жаттығады.
relationship	қарым-қатынас	Олардың қарым-қатынасы берік.
remove	алып тастау	Кітапты үстелден алып тастаңыз.
repair	жөндеу	Ол велосипедті жөндеді.
replace	ауыстыру	Ескі шамды ауыстырыңыз.
reply	жауап	Оның жауабы қысқа болды.
reporter	тілші	Тілші сұрақ қойды.
request	өтініш	Ол көмек сұрап өтініш берді.
research	зерттеу	Ол жаңа зерттеу жүргізді.
researcher	зерттеуші	Зерттеуші нәтижелерді түсіндірді.
respond	жауап беру	Ол сұраққа жауап берді.
response	жауап	Жауап өте тез болды.
rest (remaining part)	қалған бөлік	Қалған бөлікті ертең бітіреміз.
rest (sleep/relax)	демалыс	Ол біраз демалды.
review	шолу	Мұғалім сабақты шолып шықты.
ring1	жүзік	Ол күміс жүзік тақты.
ring2	шырылдау	Телефон кенет шырылдады.
rise	көтерілу	Таңертең күн көтеріледі.
rock (stone)	тас	Бала кішкентай тас алды.
