source_headword	DE	example_DE
aggression	die Aggression	Der Lehrer bemerkte Aggression in der Pause.
agricultural	landwirtschaftlich	Die landwirtschaftlichen Exporte stiegen dieses Jahr.
aide	der Assistent	Der Assistent organisierte den Zeitplan des Ministers.
albeit	obgleich	Der Plan funktionierte, obgleich langsam.
alert	alarmieren	Bitte alarmieren Sie umgehend das Personal.
align	ausrichten	Die Pfeile richten sich nach der Straße aus.
alignment	die Ausrichtung	Die Ausrichtung der Räder verbesserte das Fahrverhalten des Autos.
alike	gleich	Die Zwillinge kleiden sich am Wochenende gleich.
allegation	die Anschuldigung	Die Anschuldigung erschien in der Zeitung.
allege	behaupten	Sie behaupten, dass Gelder verloren gingen.
allegedly	angeblich	Der Fahrer ignorierte angeblich die Warnung.
alliance	das Bündnis	Die Parteien bildeten ein vorübergehendes Bündnis.
allocate	zuweisen	Die Stadt wird Geld für Schulen zuweisen.
allocation	die Zuteilung	Die Zuteilung der Sitze war ungerecht.
allowance	das Taschengeld	Ihr Taschengeld deckt Mittagessen und Transport ab.
ally	der Verbündete	Kanada wurde ein enger Verbündeter.
aluminium	das Aluminium	Der Rahmen besteht aus Aluminium.
amateur	Amateur-	Ein Amateurfotograf machte das Bild.
ambassador	der Botschafter	Der Botschafter traf lokale Studenten.
amend	ändern	Das Parlament stimmte dafür, das Gesetz zu ändern.
amendment	der Änderungsantrag	Der Änderungsantrag änderte einen Absatz.
amid	inmitten	Die Rede fand inmitten wachsender Spannung statt.
analogy	die Analogie	Der Lehrer benutzte eine einfache Analogie.
anchor	der Anker	Das Boot warf nahe der Insel den Anker.
angel	der Engel	Das Kind trug ein Engelskostüm.
anonymous	anonym	Die Beschwerde war anonym.
apparatus	der Apparat	Der Laborapparat muss gereinigt werden.
appealing	reizvoll	Das Angebot wirkt reizvoll auf die Studenten.
appetite	der Appetit	Die Bewegung steigerte seinen Appetit.
applaud	applaudieren	Das Publikum fing an, laut zu applaudieren.
applicable	anwendbar	Der Rabatt ist heute anwendbar.
appoint	ernennen	Der Vorstand wird einen Direktor ernennen.
appreciation	die Anerkennung	Sie drückte ihre Anerkennung für ihre Hilfe aus.
arbitrary	willkürlich	Die Frist erschien dem Personal willkürlich.
architectural	architektonisch	Die Stadt schützt ihr architektonisches Erbe.
archive	das Archiv	Das Archiv lagert alte Fotografien.
arena	die Arena	Die Debatte verlagerte sich in die öffentliche Arena.
arguably	wohl	Dies ist wohl sein bester Roman.
arm	bewaffnen	Die Wachen werden den Konvoi bewaffnen.
array	die Auswahl	Das Geschäft bietet eine Auswahl an Werkzeugen.
articulate	artikulieren	Sie kann komplexe Ideen klar artikulieren.
ash	die Asche	Die Asche bedeckte das Auto nach dem Feuer.
aspiration	der Anspruch	Ihr Anspruch ist es, Chirurgin zu werden.
aspire	anstreben	Viele Studenten streben an, im Ausland zu studieren.
assassination	das Attentat	Das Attentat veränderte die Politik des Landes.
assault	der Angriff	Der Angriff ereignete sich in der Nähe des Bahnhofs.
assemble	zusammenbauen	Arbeiter bauen die Möbel von Hand zusammen.
assembly	die Versammlung	Die Schulversammlung beginnt um neun.
assert	behaupten	Er versuchte, seine Autorität zu behaupten.
assertion	die Behauptung	Ihre Behauptung überraschte das Gremium.
assurance	die Zusicherung	Der Manager gab die Zusicherung der Unterstützung.
asylum	das Asyl	Die Familie beantragte Asyl an der Grenze.
atrocity	die Gräueltat	Der Film beschrieb eine Gräueltat während des Krieges.
attain	erreichen	Wenige Läufer erreichen diese Geschwindigkeit.
attendance	die Anwesenheit	Die Anwesenheit verbesserte sich nach der Ankündigung.
attorney	der Anwalt	Der Anwalt befragte den Zeugen.
attribute	zuschreiben	Wissenschaftler schreiben den Anstieg der Verschmutzung zu.
audit	das Audit	Das Audit fand mehrere Fehler.
authentic	authentisch	Das Restaurant serviert authentisches regionales Essen.
authorize	autorisieren	Nur Manager können Rückerstattungen autorisieren.
auto	das Auto	Die Autoindustrie hat sich schnell gewandelt.
autonomy	die Autonomie	Die Region fordert mehr Autonomie.
availability	die Verfügbarkeit	Die Verfügbarkeit von Sitzplätzen ist begrenzt.
await	erwarten	Mehrere Nachrichten erwarten Ihre Antwort.
backdrop	die Kulisse	Die Berge bildeten eine dramatische Kulisse.
backing	die Unterstützung	Der Vorschlag erhielt die Unterstützung der Wähler.
backup	das Backup	Das System erstellt täglich ein Backup.
bail	die Kaution	Der Richter legte am Mittag die Kaution fest.
ballot	der Stimmzettel	Jeder Wähler erhielt einen Stimmzettel.
banner	das Banner	Das Banner hing über dem Eingang.
bare	kahl	Das Zimmer hatte kahle Wände.
barrel	das Fass	Das Fass war voller Wasser.
bass1	der Bass	Der Bass klang tief und warm.
battlefield	das Schlachtfeld	Das alte Schlachtfeld wurde zu einer Gedenkstätte.
bay	die Bucht	Das Dorf liegt an einer ruhigen Bucht.
beam	der Balken	Ein Stahlbalken stützt das Dach.
beast	das Biest	Die Geschichte beschreibt ein wildes Biest.
behalf	der Name	Sie sprach im Namen ihres Teams.
beloved	geliebt	Der geliebte Lehrer ging heute in den Ruhestand.
bench	die Bank	Sie saßen auf einer Holzbank.
benchmark	der Maßstab	Der Test wurde zu einem Branchenmaßstab.
beneath	unter	Die Dokumente lagen unter dem Ordner.
beneficiary	der Begünstigte	Ihr Sohn war der Hauptbegünstigte.
betray	verraten	Verrate nicht das Vertrauen deines Freundes.
bind	binden	Die Vereinbarung wird beide Unternehmen binden.
biography	die Biografie	Seine Biografie hat sich oft verkauft.
bishop	der Bischof	Der Bischof besuchte die Dorfkirche.
bizarre	bizarr	Der Film hatte ein bizarres Ende.
blade	die Klinge	Die Klinge zerschnitt das Seil.
blast	die Explosion	Die Explosion zerbrach nahegelegene Fenster.
bleed	bluten	Der Schnitt begann stark zu bluten.
blend	mischen	Mischen Sie die Soße, bis sie glatt ist.
bless	segnen	Der Priester wird das Haus segnen.
blessing	der Segen	Unterstützung zu haben, war ein Segen.
boast	prahlen	Er prahlt gerne mit Geld.
bonus	der Bonus	Die Mitarbeiter erhielten einen Urlaubsbonus.
boom	der Boom	Die Stadt erlebte einen Bauboom.
bounce	hüpfen	Der Ball kann sehr hoch springen.
boundary	die Grenze	Der Fluss markiert die Grenze.
bow1	sich verbeugen	Der Schauspieler verbeugte sich tief.
breach	die Verletzung	Die Sicherheitslücke legte private Daten offen.
breakdown	die Aufschlüsselung	Der Bericht enthält eine Kostenaufschlüsselung.
breakthrough	der Durchbruch	Die Entdeckung war ein großer Durchbruch.
breed	brüten	Diese Vögel brüten im Frühling.
broadband	das Breitband	Das Büro braucht schnelleres Breitband.
browser	der Browser	Aktualisieren Sie Ihren Browser, bevor Sie sich anmelden.
brutal	brutal	Der Angriff war brutal und plötzlich.
buck	der Dollar	Das Ticket kostet zehn Dollar.
buddy	der Kumpel	Sein Kumpel wartete draußen.
buffer	der Puffer	Die Bäume bilden einen Lärmpuffer.
bulk	die Menge	Sie kauften Reis in großen Mengen.
burden	die Last	Die Schulden wurden zu einer schweren Last.
bureaucracy	die Bürokratie	Die Bürokratie verzögerte die Genehmigung.
burial	das Begräbnis	Das Begräbnis fand im Morgengrauen statt.
burst	platzen	Das Rohr könnte unter Druck platzen.
cabinet	das Kabinett	Das Kabinett billigte den Plan.
calculation	die Berechnung	Die Berechnung dauerte mehrere Minuten.
canvas	die Leinwand	Der Künstler malte auf einer großen Leinwand.
capability	die Fähigkeit	Das Gerät verfügt über eine drahtlose Funktion.
capitalism	der Kapitalismus	Der Kapitalismus hat die moderne Wirtschaft geprägt.
capitalist	kapitalistisch	Das kapitalistische System belohnt private Investitionen.
cargo	die Fracht	Das Schiff transportierte medizinische Fracht.
carriage	der Waggon	Der Zugwaggon war fast leer.
carve	schnitzen	Er wird das Holz sorgfältig schnitzen.
casino	das Casino	Das Casino öffnete in der Nähe des Hotels.
casualty	das Opfer	Der Absturz forderte ein Opfer.
catalogue	der Katalog	Der Katalog listet jedes Produkt auf.
cater	bewirten	Das Restaurant kann große Veranstaltungen bewirten.
cattle	das Vieh	Das Vieh graste in der Nähe des Flusses.
caution	die Vorsicht	Üben Sie Vorsicht auf vereisten Straßen.
cautious	vorsichtig	Die Investoren bleiben diese Woche vorsichtig.
cease	einstellen	Die Fabrik wird die Produktion bald einstellen.
cemetery	der Friedhof	Der Friedhof überblickt das Meer.
chamber	die Kammer	Die Kammer war während der Abstimmung still.
chaos	das Chaos	Die Verspätung verursachte Chaos am Flughafen.
characterize	charakterisieren	Experten charakterisieren den Plan als riskant.
charm	der Charme	Die Stadt hat den Charme der alten Welt.
charter	die Charta	Die Charta schützt die Grundrechte.
chronic	chronisch	Er leidet an chronischen Rückenschmerzen.
chunk	das Stück	Schneiden Sie den Käse in ein Stück.
circulate	zirkulieren	Bitte zirkulieren Sie heute die Tagesordnung.
circulation	die Auflage	Die Auflage der Zeitung fiel stark.
citizenship	die Staatsbürgerschaft	Sie beantragte die französische Staatsbürgerschaft.
civic	bürgerlich	Bürgerliche Führungskräfte nahmen an der Sitzung teil.
civilian	der Zivilist	Mehrere zivile Häuser wurden beschädigt.
clarity	die Klarheit	Das Diagramm brachte Klarheit in den Bericht.
clash	der Zusammenstoß	Der Zusammenstoß begann nach dem Marsch.
classification	die Klassifizierung	Die Klassifizierung hängt von der Größe ab.
cling	kleben	Nasse Kleidung klebt auf der Haut.
clinical	klinisch	Die klinische Studie beginnt nächsten Monat.
closure	der Abschluss	Die Familie wollte nach dem Fall einen Abschluss.
cluster	die Gruppe	Eine Gruppe von Häusern stand in der Nähe.
coalition	die Koalition	Die Koalition verlor ihre Mehrheit.
coastal	küstennah	Die Küstendörfer bereiteten sich auf Überschwemmungen vor.
cocktail	der Cocktail	Sie bestellte einen Fruchtcocktail.
cognitive	kognitiv	Kognitive Fähigkeiten verbessern sich durch Übung.
coincide	zusammenfallen	Das Festival wird mit dem Schulabschluss zusammenfallen.
collaborate	zusammenarbeiten	Die Teams arbeiten bei der Software zusammen.
collaboration	die Zusammenarbeit	Ihre Zusammenarbeit brachte starke Ergebnisse.
collective	kollektiv	Die Entscheidung war eine kollektive Anstrengung.
collision	die Kollision	Die Kollision blockierte die Autobahn.
colonial	kolonial	Das Gebäude hat koloniale Architektur.
columnist	der Kolumnist	Der Kolumnist kritisierte die Richtlinie.
combat	der Kampf	Die Soldaten trainierten für den Kampf.
commence	beginnen	Die Zeremonie wird am Mittag beginnen.
commentary	der Kommentar	Der Kommentar zum Spiel war lebhaft.
commentator	der Kommentator	Der Kommentator erklärte die Entscheidung.
commerce	der Handel	Der Online-Handel wuchs schnell.
commissioner	der Kommissar	Der Kommissar kündigte neue Regeln an.
commodity	der Rohstoff	Weizen ist ein wichtiger Rohstoff.
communist	kommunistisch	Die kommunistische Partei hielt ein Treffen ab.
companion	der Begleiter	Ihr Hund ist ein treuer Begleiter.
comparable	vergleichbar	Die beiden Städte sind in der Größe vergleichbar.
compassion	das Mitgefühl	Der Krankenpfleger zeigte großes Mitgefühl.
compel	zwingen	Die Beweise könnten zu einer Antwort zwingen.
compelling	überzeugend	Der Dokumentarfilm brachte überzeugende Argumente vor.
compensate	entschädigen	Das Unternehmen wird die betroffenen Kunden entschädigen.
compensation	die Entschädigung	Die Arbeiter forderten eine faire Entschädigung.
competence	die Kompetenz	Der Test misst die berufliche Kompetenz.
competent	kompetent	Sie ist eine kompetente Ingenieurin.
compile	zusammenstellen	Forscher stellen Daten aus Krankenhäusern zusammen.
complement	ergänzen	Der Wein wird das Essen ergänzen.
complexity	die Komplexität	Das Projekt weist eine unerwartete Komplexität auf.
compliance	die Einhaltung	Die Prüfung überprüfte die gesetzliche Einhaltung.
complication	die Komplikation	Die Operation hatte eine Komplikation.
comply	einhalten	Unternehmen müssen die Vorschriften einhalten.
composition	die Komposition	Die Komposition umfasst Violine und Klavier.
compromise	der Kompromiss	Der Kompromiss stellte beide Seiten zufrieden.
compute	berechnen	Das Programm kann die Gesamtsumme berechnen.
conceal	verbergen	Er versuchte, den Schaden zu verbergen.
concede	eingestehen	Der Minister weigerte sich, die Niederlage einzugestehen.
conceive	ausdenken	Sie konnten sich keinen besseren Plan ausdenken.
conception	die Vorstellung	Der Film hat meine Vorstellung von Geschichte verändert.
concession	das Zugeständnis	Das Unternehmen bot ein Zugeständnis an.
condemn	verurteilen	Führende Politiker verurteilen den Angriff öffentlich.
confer	verleihen	Die Auszeichnung wird Prestige verleihen.
confession	das Geständnis	Sein Geständnis überraschte das Gericht.
configuration	die Konfiguration	Die Konfiguration steuert den Netzwerkzugriff.
confine	beschränken	Die Regeln beschränken Hunde auf diesen Bereich.
confirmation	die Bestätigung	Wir haben eine Bestätigung per E-Mail erhalten.
confront	konfrontieren	Sie beschloss, das Problem zu konfrontieren.
confrontation	die Konfrontation	Die Konfrontation endete ohne Gewalt.
congratulate	gratulieren	Ich rief an, um meiner Schwester zu gratulieren.
congregation	die Gemeinde	Die Gemeinde sang gemeinsam.
congressional	im Kongress	Die Anhörung im Kongress dauerte Stunden.
conquer	erobern	Das Team hofft, den Markt zu erobern.
conscience	das Gewissen	Sein Gewissen ließ keine Lügen zu.
consciousness	das Bewusstsein	Der Unfall beeinträchtigte sein Bewusstsein.
consecutive	aufeinanderfolgend	Sie gewann drei aufeinanderfolgende Spiele.
consensus	der Konsens	Der Ausschuss erzielte schnell einen Konsens.
consent	die Zustimmung	Eine schriftliche Zustimmung ist erforderlich.
conserve	sparen	Wir sparen Wasser während Dürren.
consistency	die Konsistenz	Konsistenz ist beim Sprachenlernen wichtig.
consolidate	zusammenlegen	Das Unternehmen wird zwei Büros zusammenlegen.
constituency	der Wahlkreis	Der Kandidat besuchte jeden Wahlkreis.
constitute	bilden	Frauen bilden die Hälfte des Ausschusses.
constitution	die Verfassung	Die Verfassung garantiert die Meinungsfreiheit.
constitutional	verfassungsmäßig	Das Gericht überprüfte verfassungsmäßige Rechte.
constraint	die Einschränkung	Die Budgeteinschränkung begrenzte das Projekt.
consultation	die Beratung	Die Beratung dauerte zwei Wochen.
contemplate	nachdenken über	Sie hielt inne, um über das Angebot nachzudenken.
contempt	die Verachtung	Er zeigte Verachtung für die Regeln.
contend	konkurrieren	Mehrere Firmen konkurrieren um den Vertrag.
contender	der Anwärter	Sie ist eine starke Anwärterin.
content2	zufrieden	Er fühlte sich zufrieden mit dem Ergebnis.
contention	der Streitpunkt	Der Hauptstreitpunkt betrifft die Finanzierung.
continually	ständig	Das System prüft ständig auf Fehler.
contractor	der Auftragnehmer	Der Auftragnehmer reparierte das Dach.
contradiction	der Widerspruch	Seine Aussage enthielt einen Widerspruch.
contrary	das Gegenteil	Die gegenteiligen Beweise änderten den Fall.
contributor	der Mitwirkende	Sie ist eine regelmäßige Mitwirkende.
conversion	die Umrechnung	Die Umrechnung verwandelte Dollar in Euro.
convict	verurteilen	Die Geschworenen könnten den Verdächtigen verurteilen.
conviction	die Verurteilung	Seine Verurteilung schockierte die Öffentlichkeit.
cooperate	kooperieren	Bitte kooperieren Sie mit der Untersuchung.
cooperative	kooperativ	Das Personal war kooperativ und ruhig.
coordinate	koordinieren	Sie koordinieren jeden Morgen die Lieferungen.
coordination	die Koordination	Eine gute Koordination sparte Zeit.
coordinator	der Koordinator	Der Koordinator wies jede Aufgabe zu.
cop	der Polizist	Ein Polizist stand vor der Station.
copper	das Kupfer	Das Rohr besteht aus Kupfer.
copyright	das Urheberrecht	Das Bild ist urheberrechtlich geschützt.
correction	die Korrektur	Der Lehrer machte eine Korrektur.
correlate	korrelieren	Hoher Stress kann mit Krankheiten korrelieren.
correlation	die Korrelation	Die Studie fand eine starke Korrelation.
correspond	entsprechen	Diese Zahlen entsprechen den Etiketten.
correspondence	die Korrespondenz	Ihre Korrespondenz dauerte jahrelang an.
correspondent	der Korrespondent	Der Korrespondent berichtete aus Kairo.
corresponding	entsprechend	Jeder Knopf hat ein entsprechendes Licht.
corrupt	korrupt	Der korrupte Beamte nahm Geld an.
corruption	die Korruption	Korruption schwächte das öffentliche Vertrauen.
costly	kostspielig	Der Fehler war kostspielig für das Team.
councillor	der Stadtrat	Der Stadtrat beantwortete die Fragen der Anwohner.
counselling	die Beratung	Sie erhielt Beratung nach dem Unfall.
counsellor	der Berater	Der Berater half neuen Schülern.
counter (argue against)	entgegnen	Sie versuchte, seinem Argument zu entgegnen.
counterpart	der Kollege	Er traf seinen japanischen Kollegen.
countless	unzählig	Unzählige Freiwillige schlossen sich der Suche an.
coup	der Putsch	Der Putsch setzte den Präsidenten ab.
courtesy	die Höflichkeit	Sie dankte ihnen für ihre Höflichkeit.
