source_headword	SV	example_SV
reign	en regeringstid	Kungens regeringstid varade i årtionden.
rejection	ett avslag	Avslaget skadade hennes självförtroende.
relevance	en relevans	Uppgifterna har begränsad relevans.
reliability	en tillförlitlighet	Tillförlitlighet är viktigt i nödsystem.
reluctant	motvillig	Han var motvillig att tala.
remainder	en återstod	Återstoden gick till välgörenhet.
remains	kvarlevor	Kvarlevorna undersöktes noggrant.
remedy	en åtgärd	Lagen erbjuder en åtgärd.
reminder	en påminnelse	E-postmeddelandet var en användbar påminnelse.
removal	ett avlägsnande	Borttagandet av hinder hjälpte handeln.
render	göra	Misstaget gjorde kontraktet ogiltigt.
renew	förnya	Förnya ditt pass snart.
renowned	berömd	Hon är berömd för sin forskning.
rental	en hyra	Hyran inkluderar försäkring.
replacement	en reservdel	Reservdelen anlände i dag.
reportedly	enligt uppgift	Ministern avgick enligt uppgift i går.
representation	en representation	Rättvis representation förblir viktigt.
reproduce	föröka sig	Dessa växter förökar sig snabbt.
reproduction	en reproduktion	Digital reproduktion förbättrade tillgången.
republic	en republik	Republiken höll val.
resemble	likna	De två designerna liknar varandra mycket.
reside	bo	De bor nära gränsen.
residence	ett residens	Hans officiella residens är bevakat.
residential	bostads-	Området är till största delen ett bostadsområde.
residue	en beläggning	Rengöringsmedlet lämnade en klibbig beläggning.
resignation	en uppsägning	Hennes uppsägning chockade styrelsen.
resistance	ett motstånd	Motståndet mot förändring var starkt.
respective	respektive	De återvände till sina respektive kontor.
respectively	respektive	Resultaten var 80 respektive 90.
restoration	en restaurering	Restaureringen av byggnaden tog flera år.
restraint	en återhållsamhet	Polisen visade återhållsamhet.
resume	återuppta	Lektionerna återupptas nästa vecka.
retreat	en reträtt	Armén inledde en reträtt.
retrieve	hämta	Hon hämtade filen.
revelation	ett avslöjande	Avslöjandet skadade hans rykte.
revenge	en hämnd	Han ville ha hämnd för förolämpningen.
reverse	upphäva	Domstolen upphävde beslutet.
revival	ett uppsving	Staden såg ett ekonomiskt uppsving.
revive	återuppliva	Festivalen hjälpte till att återuppliva lokala traditioner.
revolutionary	revolutionär	Uppfinningen var revolutionär.
rhetoric	en retorik	Hans retorik lät aggressiv.
rifle	ett gevär	Geväret förvarades säkert.
riot	ett upplopp	Upploppet varade i flera timmar.
rip	riva	Riv papperet försiktigt.
ritual	en ritual	Ritualen markerar skörden.
robust	robust	Systemet är robust.
rock	skaka	Explosionen skakade byn.
rod	en stång	Gardinen hänger på en stång.
rotate	rotera	Vrid handtaget långsamt.
rotation	en rotation	Växelbruk skyddar jorden.
ruling	ett utslag	Domstolen meddelade ett utslag.
rumour	ett rykte	Ryktet spreds snabbt.
sack	avskeda	Styrelsen kan komma att avskeda tränaren.
sacred	helig	Templet är heligt.
sacrifice	en uppoffring	Föräldrar gör ofta uppoffringar.
saint	ett helgon	Kyrkan ärar ett lokalt helgon.
sake	en skull	Han stannade för hennes skull.
sanction	en sanktion	Sanktionen påverkade den internationella handeln.
say	ett inflytande	De anställda hade inflytande över schemaläggningen.
scattered	utspridd	Utspridda papper täckte skrivbordet.
sceptical	skeptisk	Hon förblev skeptisk till påståendet.
scope	en omfattning	Projektets omfattning expanderade.
screw	en skruv	Dra åt skruven försiktigt.
scrutiny	en granskning	Avtalet mötte offentlig granskning.
seal	försegla	Försegla kuvertet innan du postar det.
secular	sekulär	Skolan följer en sekulär läroplan.
seemingly	till synes	Uppgiften var till synes enkel.
segment	ett segment	Det sista segmentet var kortare.
seize	beslagta	Polisen beslagtog dokumenten.
seldom	sällan	Hon missar sällan en lektion.
selective	selektiv	Programmet är mycket selektivt.
senator	en senator	Senatorn stödde lagförslaget.
sensation	en sensation	Upptäckten orsakade en sensation.
sensitivity	en känslighet	Frågan kräver känslighet.
sentiment	en inställning	Den allmänna inställningen förändrades snabbt.
separation	en separation	Separationen var svår.
serial	serie-	Serienumret saknas.
settlement	en förlikning	Förlikningen avslutade tvisten.
set-up	en uppställning	Uppställningen tog hela förmiddagen.
sexuality	en sexualitet	Kursen diskuterar identitet och sexualitet.
shareholder	en aktieägare	En aktieägare ställde frågor till styrelsen.
shatter	krossa	Nyheten krossade hans självförtroende.
shed	göra sig av med	Företaget kommer att dra ner på jobb.
sheer	ren	Den rena storleken överraskade alla.
shipping	en frakt	Fraktkostnaderna ökade.
shoot	en fotografering	Fotograferingen slutade tidigt.
shrink	krympa	Tröjan kan krympa.
shrug	rycka på axlarna	Hon ryckte lätt på axlarna.
sigh	sucka	Han suckade av lättnad.
simulate	simulera	Programvaran kan simulera trafik.
simulation	en simulering	Simuleringen förutspådde översvämningar.
simultaneously	samtidigt	Två larm ringde samtidigt.
sin	en synd	Högmod betraktas som en synd.
situated	belägen	Hotellet är beläget i centrum.
sketch	en skiss	Hon gjorde en snabb skiss.
skip	hoppa över	Hoppa inte över frukosten.
slam	slå igen	Han kan slå igen dörren.
slap	slå	Slå inte i bordet.
slavery	ett slaveri	Slaveriet formade regionens historia.
slot	en tid	Boka en tid online.
smash	krossa	Glaset krossades mot golvet.
snap	knäckas	Grenen knäcktes i vinden.
soak	blötlägga	Blötlägg bönorna över natten.
soar	stiga	Bränslepriserna kan skjuta i höjden.
socialist	socialistisk	Partiet stöder socialistisk politik.
sole	enda	Han var den enda överlevande.
solely	enbart	Beslutet var enbart hans.
solicitor	en advokat	Advokaten upprättade avtalet.
solidarity	en solidaritet	Arbetarna uttryckte solidaritet.
solo	solo	Hon släppte ett soloalbum.
sound	sund	Planen är sund och praktisk.
sovereignty	en suveränitet	Fördraget skyddade nationell suveränitet.
spam	en skräppost	Skräppost fyllde inkorgen.
span	spänna över	Bron spänner över floden.
spark	väcka	En liten anmärkning väckte debatt.
specialized	specialiserad	Kliniken erbjuder specialiserad vård.
specification	en specifikation	Designen uppfyller varje specifikation.
specimen	ett exemplar	Exemplaret förvarades säkert.
spectacle	ett spektakel	Paraden var ett livligt spektakel.
spectrum	ett spektrum	Åsikterna täcker ett brett spektrum.
spell	en period	Den torra perioden varade i veckor.
sphere	en sfär	Politiken trädde in i den kulturella sfären.
spin	snurra	Hjulen började snurra.
spine	en ryggrad	Skadan påverkade hans ryggrad.
spotlight	ett rampljus	Skandalen satte honom i rampljuset.
spouse	en make	Hennes make deltog i ceremonin.
spy	en spion	Spionen skickade kodade meddelanden.
squad	en trupp	Räddningsstyrkan anlände snabbt.
squeeze	klämma	Kläm försiktigt på handtaget.
stab	hugga	Rapporten beskrev ett knivhugg.
stability	en stabilitet	Politiken medförde stabilitet.
stabilize	stabilisera	Medicinen hjälpte till att stabilisera honom.
stake	en andel	Investerare har en andel här.
standing	en ställning	Hennes ställning i partiet stärktes.
stark	skarp	Resultaten visade en skarp kontrast.
statistical	statistisk	Studien använde statistiska metoder.
steer	styra	Han försökte styra debatten.
stem	en stjälk	Stjälken gick av i stormen.
stereotype	en stereotyp	Filmen utmanade en stereotyp.
stimulus	en stimulans	Paketet gav ekonomisk stimulans.
stir	röra	Rör om såsen långsamt.
storage	en förvaring	Anläggningen erbjuder säker förvaring.
straightforward	okomplicerad	Instruktionerna var okomplicerade.
strain	en påfrestning	Den långa förseningen orsakade påfrestning.
strand	en tråd	Ett hårstrå föll.
strategic	strategisk	Företaget gjorde en strategisk investering.
strip (long narrow piece)	en remsa	Klipp en smal pappersremsa.
strip (remove clothes/a layer)	ta bort	Skrapa bort den gamla färgen försiktigt.
strive	sträva	De strävar efter perfektion.
structural	strukturell	Bron har strukturella skador.
stumble	snubbla	Han snubblade på trappan.
stun	chockera	Nyheten kan chockera folk.
submission	en inlämning	Deadline för inlämning har passerat.
subscriber	en prenumerant	Varje prenumerant får uppdateringar.
subscription	en prenumeration	Prenumerationen förnyas automatiskt.
subsidy	en subvention	Subventionen sänkte bränslekostnaderna.
substantial	betydande	Projektet behöver betydande finansiering.
substantially	avsevärt	Priset ökade avsevärt.
substitute	en ersättning	Använd mjölk som ersättning.
substitution	ett utbyte	Utbytet förändrade receptet.
subtle	subtil	Målningen har subtila detaljer.
suburban	förorts-	De flyttade till ett förortsområde.
succession	en rad	Krisen följde på en rad misslyckanden.
successive	på varandra följande	På varandra följande regeringar ignorerade frågan.
successor	en efterträdare	Efterträdaren börjar på måndag.
suck	suga	Maskinen kan suga upp damm.
sue	stämma	Hon beslutade sig för att stämma företaget.
suicide	ett självmord	Självmordsprevention behöver varaktig finansiering.
suite	en svit	Hotellsviten hade utsikt över floden.
summit	ett toppmöte	Ledare träffades på toppmötet.
superb	utmärkt	Föreställningen var utmärkt.
superior	överlägsen	Den nya modellen är överlägsen.
supervise	övervaka	Hon kommer att handleda praktikanterna.
supervision	en tillsyn	Barn behöver vuxnas tillsyn.
supervisor	en arbetsledare	Fråga din arbetsledare först.
supplement	ett tillägg	Rapporten innehåller ett tillägg.
supportive	stöttande	Hennes familj var stöttande.
supposedly	förmodligen	Filen var förmodligen raderad.
suppress	undertrycka	Regimen försökte undertrycka protester.
supreme	högsta	Högsta domstolen prövade fallet.
surge	en överspänning	En plötslig överspänning skadade utrustningen.
surgical	kirurgisk	Patienten behöver kirurgisk behandling.
surplus	ett överskott	Lagret har ett överskott.
surrender	kapitulera	Soldaterna gick med på att kapitulera.
surveillance	en övervakning	Övervakningskameror spelade in entrén.
suspension	en avstängning	Avstängningen varade i två veckor.
suspicion	en misstanke	Hans beteende väckte misstankar.
suspicious	misstänkt	Paketet såg misstänkt ut.
sustain	upprätthålla	Projektet kan upprätthålla lokala jobb.
swing	svänga	Dörren började svänga.
sword	ett svärd	Svärdet hängde på väggen.
symbolic	symbolisk	Gesten var symbolisk.
syndrome	ett syndrom	Syndromet påverkar minnet.
synthesis	en syntes	Kapitlet erbjuder en syntes.
systematic	systematisk	Granskningen var systematisk.
tactic	en taktik	Taktiken misslyckades snabbt.
tactical	taktisk	Laget gjorde en taktisk förändring.
taxpayer	en skattebetalare	Skattebetalarnas pengar finansierade bron.
tempt	fresta	Erbjudandet kan fresta investerare.
tenant	en hyresgäst	Hyresgästen betalade hyran tidigt.
tender	öm	Hon gav ett ömt leende.
tenure	en ämbetstid	Hans ämbetstid varade i sex år.
terminal	obotlig	Patienten hade en dödlig sjukdom.
terminate	avsluta	Företaget kan avsluta kontraktet.
terrain	en terräng	Terrängen var svår.
terrific	fantastisk	Utsikten var fantastisk.
testify	vittna	Hon gick med på att vittna.
testimony	ett vittnesmål	Hans vittnesmål var detaljerat.
texture	en textur	Tyget har en grov struktur.
thankfully	tack och lov	Tack och lov skadades ingen.
theatrical	teatralisk	Talet lät teatraliskt.
theology	en teologi	Han studerade teologi vid universitetet.
theoretical	teoretisk	Modellen är rent teoretisk.
thereafter	därefter	Därefter ändrades reglerna.
thereby	därmed	Förändringen minskade kostnaderna och räddade därmed jobb.
thoughtful	omtänksam	Hennes svar var eftertänksamt.
thought-provoking	tankeväckande	Artikeln var tankeväckande.
thread	en tråd	Tråden gick lätt av.
threshold	en tröskel	Omröstningen passerade tröskeln.
thrilled	överlycklig	Hon var överlycklig över nyheterna.
thrive	blomstra	Småföretag kan blomstra här.
tide	ett tidvatten	Tidvattnet steg snabbt.
tighten	dra åt	Dra åt locket ordentligt.
timber	ett timmer	Huset använder lokalt timmer.
timely	läglig	Varningen var läglig.
tobacco	en tobak	Tobaksförsäljningen minskade.
tolerance	en tolerans	Politiken uppmuntrar till tolerans.
tolerate	tolerera	Vi kan inte tolerera övergrepp.
toll	en tull	Stormen krävde ett tungt offer.
top	överträffa	Försäljningen kan överträffa förra årets rekord.
torture	en tortyr	Fördraget förbjuder tortyr helt.
