source_headword	SI	example_SI
incorrect	වැරදි	පිළිතුර වැරදි විය.
independence	ස්වාධීනත්වය	රට ස්වාධීනත්වය සැමරුවේය.
index	දර්ශකය	මාතෘකාව සඳහා දර්ශකය පරීක්ෂා කරන්න.
indication	ඇඟවීම	සිනහව සහනයේ ඇඟවීමක් විය.
inevitable	වළක්වා ගත නොහැකි	යම් ප්‍රමාදයක් වළක්වා ගත නොහැකි විය.
inevitably	නොවැළැක්විය හැකි ලෙස	හිඟයෙන් පසු නොවැළැක්විය හැකි ලෙසම මිල ගණන් ඉහළ ගියේය.
infer	නිගමනය කරනවා	සන්දර්භය තුළින් අපට පිළිතුර නිගමනය කළ හැකිය.
inflation	උද්ධමනය	උද්ධමනය ආහාර මිල ඉහළ දැමීය.
info	තොරතුරු	වෙබ් අඩවිය ප්‍රයෝජනවත් තොරතුරු ලැයිස්තුගත කරයි.
infrastructure	යටිතල පහසුකම්	කුණාටුවෙන් දේශීය යටිතල පහසුකම්වලට හානි සිදුවිය.
inhabitant	පදිංචිකරු	සෑම පදිංචිකරුවෙකුටම පිරිසිදු ජලය ලැබුණි.
inherit	උරුම වෙනවා	ඇයට පවුලේ නිවස උරුම වනු ඇත.
ink	තීන්ත	මුද්‍රණ යන්ත්‍රයට කළු තීන්ත අවශ්‍ය වේ.
innovation	නවෝත්පාදනය	නවෝත්පාදනය කර්මාන්තය ඉදිරියට ගෙන යයි.
innovative	නව්‍ය	සමාගම නව්‍ය නිෂ්පාදනයක් දියත් කළේය.
input	අදහස්	කළමනාකරු අදහස් විමසා සිටියේය.
insert	ඇතුළු කරනවා	කාඩ්පත යන්ත්‍රයට ඇතුළු කරන්න.
inspector	පරීක්ෂක	පරීක්ෂකවරයා ගොඩනැගිල්ල පරීක්ෂා කළේය.
installation	ස්ථාපනය	ස්ථාපනය සඳහා පැය දෙකක් ගත විය.
instant	ක්ෂණික	යෙදුම ක්ෂණික පිළිතුරක් යවා ඇත.
instantly	ක්ෂණිකව	තිරය ක්ෂණිකව ක්‍රියාත්මක විය.
integrate	ඒකාබද්ධ කරනවා	මෘදුකාංගයට නව මෙවලම් ඒකාබද්ධ කළ හැකිය.
intellectual	බුද්ධිමය	විවාදය බුද්ධිමය නමුත් මිත්‍රශීලී විය.
interact	අන්තර් ක්‍රියා කරනවා	කණ්ඩායම් වැඩ අතරතුර සිසුන් අන්තර් ක්‍රියා කරයි.
interaction	අන්තර් ක්‍රියාව	අන්තර් ක්‍රියාව ආචාරශීලී විය.
interpretation	අර්ථකථනය	කවිය පිළිබඳ ඇගේ අර්ථකථනය මුල් එකක් විය.
interval	විවේකය	අංග අතර කෙටි විවේකයක් තිබුණි.
invade	ආක්‍රමණය කරනවා	හමුදාව දිවයින ආක්‍රමණය කිරීමට උත්සාහ කළේය.
invasion	ආක්‍රමණය	ආක්‍රමණයෙන් බොහෝ නගරවලට හානි සිදුවිය.
investor	ආයෝජකයා	ආයෝජකයා නව ව්‍යාපාරයකට මුදල් යෙදවීය.
isolate	හුදෙකලා කරනවා	වෛද්‍යවරු බරපතල ආසාදන ඇති රෝගීන් හුදෙකලා කරති.
isolated	හුදෙකලා වූ	හිම නිසා ගම්මානය හුදෙකලා විය.
jail	සිරගෙය	සොරා සිරගෙට ගියේය.
jet	ජෙට් යානය	ජෙට් යානය දහවල් කාලයේදී ගොඩබස්වන ලදී.
joint	ඒකාබද්ධ	ඔවුහු ඒකාබද්ධ ව්‍යාපෘතියක් නිවේදනය කළහ.
journalism	පුවත්පත් කලාව	පුවත්පත් කලාවට නිවැරදි කරුණු අවශ්‍ය වේ.
jury	ජූරිය	ජූරිය තීරණයකට එළඹුණි.
kit	කට්ටලය	අලුත්වැඩියා කට්ටලයට ඉස්කුරුප්පු ඇතුළත් වේ.
ladder	ඉණිමඟ	ඉණිමඟ බිත්තියට හේත්තු කර තිබුණි.
landing	ගොඩබෑම	ගුවන් යානය සුමට ගොඩබෑමක් සිදු කළේය.
lane	මංතීරුව	දකුණු මංතීරුවේ රැඳී සිටින්න.
lately	මෑතකදී	මම මෑතකදී නිදාගත්තේ ඉතා අඩුවෙනි.
leaflet	අත්පත්‍රිකාව	අත්පත්‍රිකාව සේවාව පැහැදිලි කරයි.
legend	පුරාවෘත්තය	පුරාවෘත්තයේ සැඟවුණු නගරයක් ගැන කියැවේ.
lens	කාචය	කැමරා කාචය ප්‍රවේශමෙන් පිරිසිදු කරන්න.
lifetime	ජීවිත කාලය	ඔහු ජීවිත කාලය පුරාම මුදල් ඉතිරි කළේය.
lighting	ආලෝකකරණය	හොඳ ආලෝකකරණය කාමරයේ තත්වය වැඩිදියුණු කරයි.
likewise	එලෙසම	ඇය සිනාසුණාය; ඔහුද එලෙසම කළේය.
limitation	සීමාව	සැලැස්මට එක් සීමාවක් ඇත.
literally	වචනයේ පරිසමාප්තාර්ථයෙන්ම	ඇය වචනයේ පරිසමාප්තාර්ථයෙන්ම බස් රථය වෙත දිව ගියාය.
literary	සාහිත්‍යමය	උත්සවය සාහිත්‍ය කෘතිවලට ගෞරව කරයි.
litre	ලීටරය	කිරි ලීටරයක් මිලදී ගන්න.
litter	කසළ	කසළ දැමීමෙන් වළකින්න.
logo	ලාංඡනය	ලාංඡනය සෑම පිටුවකම දිස්වේ.
lottery	ලොතරැයිය	ඔහුට කුඩා ලොතරැයි ත්‍යාගයක් හිමි විය.
loyal	පක්ෂපාතී	බල්ලා තම අයිතිකරුට පක්ෂපාතී විය.
lyric	පද රචනය	පද රචනය ප්‍රධාන අදහස පුනරාවර්තනය කළේය.
magnificent	අතිවිශිෂ්ට	මාලිගාව අතිවිශිෂ්ට ලෙස පෙනුණි.
make-up	වේශ නිරූපණය	ඇය සරල වේශ නිරූපණයක් පැළඳ සිටියාය.
making	නිර්මාණය කිරීම	චිත්‍රපටය නිර්මාණය කිරීම දුෂ්කර විය.
manufacture	නිෂ්පාදනය කරනවා	කර්මාන්තශාලාව දුරකථන නිෂ්පාදනය කරනු ඇත.
manufacturing	නිෂ්පාදනය	දේශීයව නිෂ්පාදන රැකියා වැඩි විය.
marathon	මැරතන් තරගය	ඇය මැරතන් තරගය නිම කළාය.
margin	මායිම	මායිමේ සටහන් ලියන්න.
marker	මාකර් පෑන	ලේබලය සඳහා මාකර් පෑනක් භාවිතා කරන්න.
martial	සටන්	ඔහු සටන් කලාවන් අධ්‍යයනය කරයි.
mate	මිතුරා	මගේ පැරණි පාසල් මිතුරා ඊයේ කතා කළේය.
mayor	නගරාධිපති	නගරාධිපතිවරයා පුස්තකාලය විවෘත කළේය.
mechanic	කාර්මිකයා	කාර්මිකයා බස් රථය අලුත්වැඩියා කළේය.
mechanical	යාන්ත්‍රික	ඔරලෝසුවේ යාන්ත්‍රික දෝෂයක් ඇත.
mechanism	යාන්ත්‍රණය	අගුළු යාන්ත්‍රණය සරල ය.
medal	පදක්කම	ඇය රන් පදක්කමක් දිනා ගත්තාය.
medication	ඖෂධය	ජලය සමඟ ඖෂධ ලබා ගන්න.
membership	සාමාජිකත්වය	ව්‍යායාම ශාලාවේ සාමාජිකත්වය අන්තර්ජාලය හරහා ලබා ගැනීමේදී පිරිවැය අඩුය.
memorable	අමතක නොවන	ගමන අමතක නොවන එකක් විය.
metaphor	රූපකය	කවිය ප්‍රබල රූපකයක් භාවිතා කරයි.
miner	පතල් කම්කරුවා	පතල් කම්කරුවා පොළොව යට වැඩ කළේය.
miserable	කාලකණ්ණි	වැස්ස නිසා විනෝද චාරිකාව කාලකණ්ණි විය.
mode	මාදිලිය	කැමරාව රාත්‍රී මාදිලියට මාරු කරන්න.
modest	නිහතමානී	ඔවුන් ජීවත් වන්නේ නිහතමානී නිවසකය.
monster	රකුසා	කතාවේ බියජනක රකුසෙක් සිටී.
monthly	මාසික	අපි මාසිකව කුලී ගෙවන්නෙමු.
monument	ස්මාරකය	ස්මාරකය ගඟ අසල පිහිටා ඇත.
moreover	තවද	තවද, මෙම සැලසුම මඟින් මුදල් ඉතිරි වේ.
mortgage	උකස	ඔවුන් උකසක් සඳහා අයදුම් කළහ.
mosque	පල්ලිය	පල්ලිය වෙළඳපොළට ආසන්නව පිහිටා ඇත.
motion	චලිතය	සංවේදකය චලිතය හඳුනා ගනී.
motivate	පොළඹවනවා	ප්‍රශංසාවට සිසුන්ව පොළඹවන්න පුළුවන්.
motivation	පෙළඹවීම	ඇගේ පෙළඹවීම ශක්තිමත්ව පැවතුනි.
moving	සංවේදී	කතාව සංවේදී විය.
myth	මිථ්‍යාව	මිථ්‍යාවෙන් කන්දේ නම පැහැදිලි කරයි.
naked	නිරුවත්	නෑවීමෙන් පසු ළදරුවා නිරුවතින් සිටියේය.
nasty	භයානක	කැපුම් තුවාලය භයානක ලෙස පෙනුණි.
navigation	සංචලනය	යෙදුම සංචලනය වැඩිදියුණු කරයි.
nearby	අසල	අසල ඇති ආපනශාලාවක් වේලාසනින් විවෘත වේ.
necessity	අවශ්‍යතාවය	පිරිසිදු ජලය අත්‍යවශ්‍ය කරුණකි.
negotiate	සාකච්ඡා කරනවා	ඔවුන් හෙට ගිවිසුම ගැන සාකච්ඡා කරයි.
negotiation	සාකච්ඡාව	සාකච්ඡාව උදෑසන පුරා පැවතුනි.
neutral	මධ්‍යස්ථ	විනිසුරුවරයා මධ්‍යස්ථව සිටියේය.
newly	අලුතින්	අලුතින් තීන්ත ආලේප කළ දොර දීප්තිමත්ව දිස් විය.
norm	සම්මතය	දුරස්ථ වැඩ සම්මතය බවට පත් විය.
notebook	සටහන් පොත	ඔබේ සටහන් පොතේ සටහන් ලියන්න.
novelist	නවකතාකරු	නවකතාකරු ඇගේ පොතට අත්සන් කළාය.
nowadays	වර්තමානයේ	වර්තමානයේ බොහෝ අය අන්තර්ජාලය හරහා වැඩ කරති.
nursing	හෙද සේවය	ඇය හෙද සේවය හදාරනවා.
nutrition	පෝෂණය	හොඳ පෝෂණය සෞඛ්‍යයට සහාය වේ.
obesity	තරබාරුකම	තරබාරුකම සෞඛ්‍ය අවදානම වැඩි කරයි.
observer	නිරීක්ෂකයා	නිරීක්ෂකයා ප්‍රතිඵල වාර්තා කළේය.
obstacle	බාධකය	වැටී ඇති ගස බාධකයක් විය.
occupation	රැකියාව	කරුණාකර ඔබේ රැකියාව මෙහි ලියන්න.
occupy	පදිංචි වෙනවා	පවුල මහල් නිවාසයේ පදිංචි වනු ඇත.
offender	වැරදිකරු	වැරදිකරු උසාවියේදී සමාව අයැද සිටියේය.
ongoing	අඛණ්ඩව	පරීක්ෂණය අඛණ්ඩව සිදුවෙමින් පවතී.
openly	විවෘතව	ඇය ඇගේ බිය ගැන විවෘතව කතා කළාය.
opera	ඔපෙරාව	අපි මිලාන්හිදී ඔපෙරාවක් නැරඹුවෙමු.
operator	ක්‍රියාකරු	ක්‍රියාකරු ඇමතුම සම්බන්ධ කළේය.
optimistic	ශුභවාදී	ඇයට අනාගතය ගැන ශුභවාදී හැඟීමක් ඇත.
orchestra	වාදක මණ්ඩලය	වාදක මණ්ඩලය මෘදු ලෙස වාදනය කළේය.
organic	කාබනික	ඔවුන් කාබනික එළවළු මිලදී ගත්තා.
outfit	ඇඳුම	ඇගේ ඇඳුම අවස්ථාවට ගැලපුණි.
output	නිමැවුම	යන්ත්‍රයේ නිමැවුම වැඩි විය.
outstanding	විශිෂ්ට	ඔහුගේ දක්ෂතා විශිෂ්ටයි.
overcome	ජය ගන්නවා	ඔවුන් එක්ව ගැටලු ජය ගනී.
overnight	එක රැයින්	පැකේජය එක රැයින් පැමිණියේය.
overseas	විදේශීය	ඔහුට විදේශයක රැකියාවක් ලැබුණි.
ownership	හිමිකාරිත්වය	ඉඩමේ හිමිකාරිත්වය වෙනස් විය.
oxygen	ඔක්සිජන්	ශාක ඔක්සිජන් නිපදවයි.
packet	පැකට්ටුව	පැකට්ටුව ප්‍රවේශමෙන් විවෘත කරන්න.
palm	අත්ල	කාසිය ඔබේ අත්ලේ තබා ගන්න.
panic	භීතිය	ජනතාව අතර භීතිය පැතිර ගියේය.
parade	පෙළපාලිය	පෙළපාලිය මධ්‍යහ්නයේ ආරම්භ විය.
parallel	සමාන්තර	මාර්ග සමාන්තරව ගමන් කරයි.
participation	සහභාගීත්වය	පන්තියේ සහභාගීත්වය වැඩි දියුණු විය.
partnership	හවුල්කාරිත්වය	හවුල්කාරිත්වය සමාගම් දෙකටම උපකාර විය.
part-time	අර්ධකාලීන	ඇයට අර්ධකාලීන රැකියාවක් ලැබුණි.
passionate	උද්‍යෝගිමත්	ඔහු සංගීතයට උද්‍යෝගිමත්ය.
password	මුරපදය	ශක්තිමත් මුරපදයක් තෝරන්න.
patience	ඉවසීම	කුඩා දරුවන්ට ඉගැන්වීමට ඉවසීම අවශ්‍ය වේ.
pause	විරාමය	දැන් වීඩියෝව නවත්වන්න.
peer	සම වයසේ මිතුරා	සම වයසේ මිතුරන්ගේ බලපෑම ඔහුගේ තේරීමට බලපෑවේය.
penalty	දඩය	ක්‍රීඩකයාට දඩුවමක් ලැබුණි.
perceive	වටහා ගන්නවා	මිනිසුන් අවදානම විවිධ ආකාරයෙන් වටහා ගනී.
perception	සංජානනය	අනතුර පිළිබඳ ඔහුගේ සංජානනය වෙනස් විය.
permanently	ස්ථිරවම	වෙළඳසැල ස්ථිරවම වසා දමන ලදී.
pill	පෙත්ත	උදෑසන ආහාරයෙන් පසු එක පෙත්තක් බොන්න.
pity	කණගාටුව	එය කණගාටුවට කරුණකි.
placement	ස්ථානගත කිරීම	සෝෆාව ස්ථානගත කිරීම වැදගත් වේ.
portion	කොටස	බත් කුඩා කොටසක් බෙදන්න.
potentially	විභවයක් ඇති	මෙම වෙනස විභව වශයෙන් ප්‍රයෝජනවත් වේ.
precede	පෙරටුව යනවා	අඳුරු වලාකුළු බොහෝ විට වැස්සට පෙර පැමිණේ.
precious	වටිනා	මුද්ද වටිනා එකකි.
precise	නිශ්චිත	උපදෙස් නිශ්චිත විය.
precisely	නිශ්චිතවම	දුර නිශ්චිතවම මැනිය යුතුය.
predictable	අනාවැකි කිව හැකි	අවසානය අනාවැකි කිව හැකි එකක් විය.
preference	මනාපය	ඇය තේ සඳහා මනාපයක් පළ කළාය.
pride	ආඩම්බරය	වැඩ අවසන් කිරීමෙන් පසු ඔහුට ආඩම්බරයක් දැනුණි.
primarily	මූලිකවම	පාඨමාලාව මූලිකවම අන්තර්ජාලය හරහා සිදු කෙරේ.
principal	විදුහල්පති	විදුහල්පතිවරයා නවක සිසුන්ව පිළිගත්තේය.
prior	පූර්ව	අපට පූර්ව අනුමැතිය අවශ්‍යයි.
probability	සම්භාවිතාව	වැසි ඇතිවීමේ සම්භාවිතාව වැඩිය.
probable	විය හැකි	අද රාත්‍රියේ වැසි ඇතිවීමට ඉඩ ඇත.
proceed	ඉදිරියට යනවා	කරුණාකර ඊළඟ කාමරයට යන්න.
programming	ක්‍රමලේඛනය	ක්‍රමලේඛනය සඳහා පුහුණුව අවශ්‍ය වේ.
progressive	ප්‍රගතිශීලී	එම ප්‍රතිපත්තිය එහි කාලයට අනුව ප්‍රගතිශීලී විය.
prohibit	තහනම් කරනවා	නීති මගින් දුම්පානය තහනම් කරයි.
promising	බලාපොරොත්තු සහගත	ප්‍රතිඵල බලාපොරොත්තු සහගත බව පෙනේ.
promotion	උසස්වීම	ඇයට රැකියාවේ උසස්වීමක් ලැබුණි.
prompt	කඩිනම්	කඩිනම් ප්‍රතිචාරය කාලය ඉතිරි කළේය.
proportion	අනුපාතය	විශාල අනුපාතයක් ඔව් ලෙස ඡන්දය ප්‍රකාශ කළේය.
protein	ප්‍රෝටීන්	බෝංචි වල ප්‍රෝටීන් අඩංගු වේ.
protester	විරෝධතාකරුවා	විරෝධතාකරුවා පුවරුවක් අල්ලාගෙන සිටියේය.
psychological	මනෝවිද්‍යාත්මක	අනතුරෙන් මනෝවිද්‍යාත්මක ආතතියක් ඇති විය.
publicity	ප්‍රසිද්ධිය	උත්සවයට ප්‍රසිද්ධියක් ලැබුණි.
publishing	ප්‍රකාශනය	ඇය ප්‍රකාශන ආයතනයක වැඩ කරයි.
punk	පන්ක්	පන්ක් සංගීතය එහි ජනප්‍රිය විය.
purely	හුදෙක්	තේරීම හුදෙක් ප්‍රායෝගික එකක් විය.
pursuit	ලුහුබැඳීම	ඔහු යුක්තිය පසිඳලීමේ ලුහුබැඳීම දිගටම කරගෙන ගියේය.
puzzle	ප්‍රහේලිකාව	ප්‍රහේලිකාව විසඳීමට පැයක් ගත විය.
questionnaire	ප්‍රශ්නාවලිය	කරුණාකර ප්‍රශ්නාවලිය සම්පූර්ණ කරන්න.
racial	වාර්ගික	වාර්තාවේ වාර්ගික අසමානතාවය ගැන සාකච්ඡා විය.
racism	ජාතිවාදය	ජාතිවාදය ප්‍රජාවන්ට හානි කරයි.
racist	ජාතිවාදී	මෙම ප්‍රකාශය ජාතිවාදී එකක් විය.
radiation	විකිරණ	විකිරණ මගින් සෛල වලට හානි කළ හැකිය.
rail	වැට	පඩිපෙළේ වැට අල්ලා ගන්න.
random	අහඹු	පරිගණකය අහඹු අංකයක් තෝරා ගත්තේය.
rat	මීයා	මීයෙක් කසළ බඳුන් පිටුපසට දිව ගියේය.
rating	ශ්‍රේණිගත කිරීම	හෝටලයට ඉහළ ශ්‍රේණිගත කිරීමක් ඇත.
reasonably	සාධාරණ ලෙස	කාමරය සාධාරණ ලෙස පිරිසිදුව තිබුණි.
rebuild	නැවත ගොඩනැගීම	ඔවුන් පාලම නැවත ගොඩනඟනු ඇත.
receiver	ග්‍රාහකයා	ග්‍රාහකයා පන්දුව අල්ලා ගත්තේය.
recession	ආර්ථික අවපාතය	ආර්ථික අවපාතය නිසා වියදම් අඩු විය.
reckon	සිතනවා	කෝච්චිය පරක්කුයි කියලා මම සිතනවා.
recognition	පිළිගැනීම	ඇයට ඇගේ වැඩ සඳහා පිළිගැනීමක් ලැබුණි.
recovery	යථා තත්ත්වයට පත්වීම	යථා තත්ත්වයට පත්වීමට සති කිහිපයක් ගත විය.
recruit	බඳවා ගැනීම	සමාගම ඉංජිනේරුවන් බඳවා ගනු ඇත.
recruitment	බඳවා ගැනීම්	බඳවා ගැනීම් ලබන සඳුදා ආරම්භ වේ.
referee	විනිසුරු	විනිසුරුවරයා තරගය නතර කළේය.
refugee	සරණාගතයා	සරණාගතයාට ආරක්ෂිත නිවසක් හමු විය.
registration	ලියාපදිංචි කිරීම	ලියාපදිංචිය සිකුරාදා අවසන් වේ.
regulate	නියාමනය කිරීම	මෙම නීතිය මගින් වායු විමෝචන නියාමනය කරනු ඇත.
reinforce	ශක්තිමත් කිරීම	අමතර බාල්ක මගින් වහලය ශක්තිමත් කරයි.
relieve	සමනය කිරීම	ඖෂධ මගින් වේදනාව සමනය කළ හැක.
relieved	සහනයට පත් වූ	ඇමතුමෙන් පසු ඇයට සහනයක් දැනුණි.
remarkable	කැපී පෙනෙන	සුවය ලැබීම කැපී පෙනෙන එකක් විය.
remarkably	පුදුමාකාර ලෙස	ඔහු පුදුමාකාර ලෙස ඉක්මනින් සුවය ලැබීය.
reporting	වාර්තා කිරීම	නිවැරදි වාර්තා කිරීම වැදගත් වේ.
resign	ඉල්ලා අස්වීම	කළමනාකරු හෙට ඉල්ලා අස්වනු ඇත.
resolution	විභේදනය	තිරයට ඉහළ විභේදනයක් ඇත.
restore	ප්‍රතිසංස්කරණය කිරීම	කම්කරුවන් පැරණි සිතුවම ප්‍රතිසංස්කරණය කරති.
restrict	සීමා කිරීම	නීති මගින් වාහන නැවැත්වීම සීමා කරයි.
restriction	සීමාව	සීමාව හෙටින් අවසන් වේ.
retail	සිල්ලර	සිල්ලර අලෙවිය වැඩි විය.
retirement	විශ්‍රාම ගැනීම	ඇය තම විශ්‍රාම ගැනීම ප්‍රවේශමෙන් සැලසුම් කළාය.
revenue	ආදායම	ටිකට්පත් ආදායමෙන් අලුත්වැඩියා කටයුතු සඳහා ගෙවන ලදී.
revision	පුනරීක්ෂණය	විභාගයට පෙර පුනරීක්ෂණය කිරීම උපකාරී විය.
ridiculous	හාස්‍යජනක	මිල හාස්‍යජනක විය.
risky	අවදානම්	මෙම සැලසුම අවදානම් සහිත බවක් පෙනෙන්නට තිබුණි.
rival	ප්‍රතිවාදියා	අපේ ප්‍රතිවාදියා නව වෙළඳසැලක් විවෘත කළේය.
rob	කොල්ලකෑම	මිනිසුන් බැංකුව කොල්ලකෑමට උත්සාහ කළහ.
robbery	මංකොල්ලය	මංකොල්ලය රාත්‍රියේ සිදුවිය.
rocket	රොකට්ටුව	රොකට්ටුව සාර්ථකව දියත් කරන ලදී.
romance	ආදර කතාව	නවකතාවට ආදර කතාවක් ඇතුළත් වේ.
rose	රෝස මල	වැට අසල රතු රෝස මලක් වැවී තිබුණි.
roughly	දළ වශයෙන්	දළ වශයෙන් විසි දෙනෙක් සහභාගී වූහ.
ruin	විනාශ කිරීම	වර්ෂාව නිසා විනෝද චාරිකාව විනාශ විය හැක.
satisfaction	තෘප්තිය	පාරිභෝගික තෘප්තිය වර්ධනය විය.
scandal	අපකීර්තිය	අපකීර්තිය ඔහුගේ වෘත්තියට හානි කළේය.
scare	බිය	මහ හඬ මට බියක් ඇති කළේය.
scenario	තත්වය	නරකම තත්වය ඇතිවීමට ඉඩක් නැත.
scholar	විද්වතා	විද්වතා පැරණි ග්‍රන්ථ අධ්‍යයනය කළේය.
scholarship	ශිෂ්‍යත්වය	ඇය ශිෂ්‍යත්වයක් දිනා ගත්තාය.
scratch	සීරීම	බළලා සීරීමක් ඉතිරි කළේය.
screening	පරීක්ෂාව	රෝහල පිළිකා පරීක්ෂාවන් ලබා දෙයි.
seeker	සොයන්නා	රැකියාව සොයන්නා අයදුම්පත් යැව්වේය.
seminar	සම්මන්ත්‍රණය	සම්මන්ත්‍රණය නවයට ආරම්භ වේ.
settler	පදිංචිකරුවා	පදිංචිකරුවා කුඩා ගොවිපලක් ගොඩනඟා ගත්තේය.
severely	දරුණු ලෙස	කුණාටුවෙන් මාර්ග වලට දරුණු ලෙස හානි සිදුවිය.
sexy	සරාගී	ඇඳුම සරාගී යැයි සැලකේ.
shocking	කම්පනයට පත් කරන	ප්‍රවෘත්තිය කම්පනයට පත් කරන සුළු එකක් විය.
shore	වෙරළ	අපි වෙරළ දිගේ ඇවිද ගියෙමු.
shortage	හිඟය	නගරය ජල හිඟයකට මුහුණ දුන්නේය.
shortly	කෙටි වේලාවකින්	දහවලට පසුව කෙටි වේලාවකින් බස් රථය පැමිණියේය.
short-term	කෙටි කාලීන	මෙම සැලැස්මට කෙටිකාලීන ප්‍රතිලාභ ඇත.
sibling	සහෝදරයා හෝ සහෝදරිය	සෑම සහෝදරයෙකුටම තෑග්ගක් ලැබුණි.
signature	අත්සන	කරුණාකර ඔබගේ අත්සන යොදන්න.
significance	වැදගත්කම	මෙම සොයාගැනීමෙහි විශාල වැදගත්කමක් ඇත.
skilled	දක්ෂ	දක්ෂ කම්කරුවන් වහලය අලුත්වැඩියා කළහ.
slogan	සටන් පාඨය	ව්‍යාපාරය සරල සටන් පාඨයක් භාවිතා කළේය.
so-called	ඊනියා	ඊනියා විශේෂඥයා වැරදි කළේය.
somehow	කෙසේ හෝ	කෙසේ හෝ යතුරු අතුරුදහන් විය.
sometime	කවදා හෝ	ලබන සතියේ කවදා හෝ අපව බලන්න එන්න.
sophisticated	දියුණු	මෘදුකාංගය ඉතා දියුණු එකකි.
spare	අමතර	අපි අමතර යතුරක් තබා ගන්නෙමු.
specialize	විශේෂඥ වීම	වෛද්‍යවරු විවිධ ක්ෂේත්‍රවල විශේෂඥ වෙති.
specify	සඳහන් කිරීම	කරුණාකර ඔබ පැමිණෙන වේලාව සඳහන් කරන්න.
spectacular	දර්ශනීය	ගිනිකෙළි සංදර්ශනය දර්ශනීය එකක් විය.
spectator	ප්‍රේක්ෂකයා	සෑම ප්‍රේක්ෂකයෙකුටම වැඩසටහන් පත්‍රිකාවක් ලැබුණි.
speculate	අනුමාන කිරීම	විශේෂඥයින් හේතුව ගැන අනුමාන කරති.
speculation	අනුමානය	ලිපිය මගින් අනුමාන කිරීම් දිරිමත් කරන ලදී.
spice	කුළුබඩු	එක වරකට එක කුළුබඩු වර්ගයක් එකතු කරන්න.
spill	හැලීම	යුෂ හලන්න එපා.
spite	නොතකා	ගැටලු තිබියදීත් ඔහු සාර්ථක විය.
spoil	නරක් කිරීම	ලුණු වැඩිපුර දැමීමෙන් සුප් එක නරක් විය හැක.
spokesman	ප්‍රකාශකයා	ප්‍රකාශකයා ප්‍රශ්න වලට පිළිතුරු දුන්නේය.
spokesperson	ප්‍රකාශකයා	ප්‍රකාශකයා නිවේදනයක් කියෙව්වේය.
spokeswoman	ප්‍රකාශිකාව	ප්‍රකාශිකාව මාධ්‍ය ඇමතුවාය.
sponsorship	අනුග්‍රහය	කණ්ඩායමට අනුග්‍රහය අවශ්‍ය වේ.
sporting	ක්‍රීඩා	නගරය ක්‍රීඩා ඉසව් සඳහා සත්කාරකත්වය සපයයි.
stall	කුටිය	වෙළඳපොළ කුටියේ පලතුරු විකුණනු ලැබේ.
