source_headword	PL	example_PL
deposit	depozyt	Ona wpłaciła kaucję za mieszkanie.
depression	depresja	Depresja wymaga profesjonalnego wsparcia.
derive	wywodzić	Wiele słów wywodzi się z łaciny.
desperately	rozpaczliwie	Desperacko potrzebował wody.
destruction	zniszczenie	Burza spowodowała rozległe zniszczenia.
determination	determinacja	Jej determinacja zaimponowała trenerowi.
devote	poświęcić	Ona poświęca weekendy na naukę.
differ	różnić się	Ich opinie ostro się różnią.
disability	niepełnosprawność	Budynek jest przystosowany dla osób z niepełnosprawnościami.
disabled	zablokowany	Niepełnosprawny sportowiec zdobył medal.
disagreement	nieporozumienie	Spotkanie zakończyło się brakiem porozumienia.
disappoint	rozczarować	Wynik może rozczarować fanów.
disappointment	rozczarowanie	Poczuł głębokie rozczarowanie.
discourage	zniechęcać	Nie zniechęcaj młodych uczniów.
disorder	zaburzenie	Lekarz zdiagnozował zaburzenie snu.
distant	odległy	Góry wydawały się odległe.
distinct	wyraźny	Te dwa dźwięki są wyraźne.
distinguish	odróżniać	Czy potrafisz rozróżnić te kolory?
distract	rozpraszać	Hałas może rozpraszać uczniów.
disturb	przeszkadzać	Proszę nie przeszkadzać pacjentowi.
dive	nurkowanie	Oni będą nurkować w pobliżu rafy.
diverse	różnorodny	Miasto ma różnorodne kultury.
diversity	różnorodność	Świętujemy różnorodność kulturową.
divorce	rozwód	Rozwód był trudny dla wszystkich.
dominant	dominujący	Dominująca drużyna kontrolowała grę.
donation	darowizna	Organizacja charytatywna otrzymała darowiznę.
dot	kropka	Postaw kropkę po cyfrze.
downtown	centrum miasta	Spotkaliśmy się w centrum po pracy.
dramatically	dramatycznie	Cena drastycznie spadła.
drought	susza	Susza zniszczyła uprawy.
dull	nudny	Wykład był nudny.
dump	pozbywać się	Nie wyrzucaj tu śmieci.
duration	czas trwania	Czas trwania lotu to trzy godziny.
dynamic	dynamika	Klasa wydawała się dynamiczna.
economics	ekonomia	Ona studiuje ekonomię na uniwersytecie.
economist	ekonomista	Ekonomista przewidział wolniejszy wzrost.
editorial	redakcyjny	Artykuł wstępny skrytykował ustawę.
efficiently	wydajnie	Zespół pracował wydajnie.
elbow	łokieć	Zranił się w łokieć.
electronics	elektronika	Ten sklep sprzedaje elektronikę.
elegant	elegancki	Sukienka wyglądała elegancko.
elementary	podstawowy	Ta książka wyjaśnia podstawową gramatykę.
eliminate	eliminować	Zespół wyeliminował kilka błędów.
embrace	akceptować	Przyjęła nowy pomysł.
emission	emisja	Poziom emisji samochodów spadł.
emotionally	emocjonalnie	Mówił emocjonalnie o swojej rodzinie.
empire	imperium	Imperium przetrwało wieki.
enjoyable	przyjemny	Wycieczka była przyjemna.
entertaining	zabawny	Przedstawienie było zabawne.
entrepreneur	przedsiębiorca	Przedsiębiorca otworzył kawiarnię.
envelope	koperta	Włóż list do koperty.
equip	wyposażać	Szkoła wyposaży laboratorium.
equivalent	odpowiednik	Jeden dolar nie jest tu równowartością.
era	era	Odkrycie zapoczątkowało nową erę.
erupt	wybuchać	Wulkan może wkrótce wybuchnąć.
essentially	zasadniczo	Te dwie metody są w zasadzie identyczne.
ethic	etyka	Jego etyka pracy jest silna.
ethnic	etniczny	Festiwal celebruje etniczne tradycje.
evaluation	ocena	Kurs obejmuje ocenę końcową.
evident	oczywisty	Jego zdenerwowanie było oczywiste.
evolution	ewolucja	Ewolucja wyjaśnia wiele zmian biologicznych.
evolve	rozwijać	Języki ewoluują z biegiem czasu.
exceed	przekraczać	Popyt może przekroczyć podaż.
exception	wyjątek	Jest jeden wyjątek.
excessive	nadmierny	Nadmierny hałas przeszkadza sąsiadom.
exclude	wykluczać	Lista wyklucza pracowników tymczasowych.
exhibit	eksponat	Muzeum wystawi rzadkie fotografie.
exit	wyjście	Wyjście jest za sceną.
exotic	egzotyczny	Sklep sprzedaje egzotyczne owoce.
expansion	ekspansja	Firma zaplanowała ekspansję.
expertise	wiedza fachowa	Jej wiedza specjalistyczna ulepszyła projekt.
exploit	wykorzystywać	Przestępcy wykorzystują słabe hasła.
exposure	ekspozycja	Ekspozycja na słońce może uszkodzić skórę.
extension	przedłużenie	Przedłużenie terminu pomogło wszystkim.
extensive	obszerny	Biblioteka ma obszerne zasoby.
extensively	obszernie	Temat ten był obszernie badany.
extract	wyciąg	Ekstrakt waniliowy nadaje smak.
fabric	materiał	Ten materiał jest miękki w dotyku.
fabulous	wspaniały	Posiłek był wspaniały.
failed	nieudany	Nieudana próba czegoś nas nauczyła.
fake	fałszywy	Strona internetowa sprzedawała fałszywe bilety.
fame	sława	Sława zmieniła jego życie prywatne.
fantasy	fantazja	Ta powieść to fantastyka.
fare	opłata za przejazd	Opłata za przejazd autobusem wzrosła.
federal	federalny	Rząd federalny ogłosił finansowanie.
fever	gorączka	Dziecko ma gorączkę.
firefighter	strażak	Strażak uratował psa.
firework	fajerwerk	Fajerwerk eksplodował nad parkiem.
firm	stanowczy	Materac jest twardy.
firmly	stanowczo	Mocno zamknęła drzwi.
flavour	smak	Zupa ma bogaty smak.
fond	czuły	On lubi jazz.
fool	głupiec	Nie zachowuj się jak głupiec.
forbid	zabraniać	Prawo zabrania tu palenia.
forecast	prognoza	Prognoza przewiduje deszcz.
format	format	Użyj prawidłowego formatu pliku.
formation	formacja	Powstawanie chmur zmienia się szybko.
formerly	dawniej	Budynek był dawniej szkołą.
fortunate	szczęśliwy	Mieliśmy szczęście, że dotarliśmy wcześnie.
forum	forum	Na forum dyskutowano o polityce klimatycznej.
fossil	skamieniałość	Skamieniałość znaleziono w kamieniu.
foundation	fundacja	Dom ma silny fundament.
founder	założyciel	Założyciel powitał gości.
fraction	ułamek	Przyszła tylko część uczniów.
fragment	fragment	Fragment szkła leżał na podłodze.
framework	ramy	Ustawa tworzy jasne ramy.
fraud	oszustwo	Bank wykrył oszustwo.
freely	swobodnie	Dzieci bawiły się swobodnie na zewnątrz.
frequent	częsty	Częste przerwy poprawiają skupienie.
fulfil	spełniać	Mam nadzieję, że spełnię obietnicę.
full-time	na pełny etat	Ona ma pracę na pełny etat.
fundamentally	fundamentalnie	Plan jest zasadniczo inny.
furious	wściekły	Był wściekły z powodu opóźnienia.
gaming	granie	Granie może poprawić szybkość reakcji.
gay	homoseksualny	On popiera prawa gejów.
gender	płeć	W ankiecie pytano o płeć.
gene	gen	Gen wpływa na kolor oczu.
genetic	genetyczny	Ta choroba ma przyczyny genetyczne.
genius	geniusz	Młody pianista to geniusz.
genuine	prawdziwy	Jej uśmiech wydawał się szczery.
genuinely	szczerze	Szczerze chciał pomóc.
gesture	gest	Wykonała przyjazny gest.
gig	koncert	Zespół zagrał koncert w centrum miasta.
globalization	globalizacja	Globalizacja wpływa na lokalne firmy.
globe	glob	Globus pokazuje każdy kontynent.
golden	złoty	Zachód słońca przybrał złoty kolor.
goodness	dobroć	Ona wierzy w ludzką dobroć.
gorgeous	przepiękny	Ogród wyglądał przepięknie.
governor	gubernator	Gubernator podpisał ustawę.
graphic	graficzny	Graficzny obraz zszokował widzów.
graphics	grafika	Ta gra ma prostą grafikę.
greatly	znacznie	Twoja rada bardzo pomogła.
greenhouse	szklarnia	Pomidory rosną w szklarni.
grocery	sklep spożywczy	Po pracy kupiła artykuły spożywcze.
guideline	wytyczna	Wytyczna wyjaśnia bezpieczną praktykę.
habitat	siedlisko	Las to siedlisko ptaków.
harbour	port	Łódź wpłynęła do portu.
headquarters	siedziba	Główna siedziba firmy przeniosła się do centrum.
