source_headword	BG	example_BG
digital	цифров; дигитален	Това е цифров фотоапарат.
direct	директен; пряк	Вземи директен влак.
direction	посока	Върви в тази посока.
director	директор; режисьор	Режисьорът хареса филма.
disagree	не съм съгласен; не се съгласявам	Не съм съгласен с тази идея.
disappear	изчезвам	Слънцето скоро ще изчезне.
disaster	бедствие; катастрофа	Бурята беше бедствие.
discover	откривам	Те откриват нов остров.
discovery	откритие	Откритието промени науката.
discussion	дискусия; обсъждане	Дискусията приключи рано.
disease	болест	Тази болест е сериозна.
distance	разстояние	Разстоянието е кратко.
divorced	разведен	Родителите й са разведени.
document	документ	Запази този документ сега.
double	двоен	Трябва ми двойна стая.
download	изтеглям; сваляне	Изтегли приложението днес.
drama	драма	Драмата започва тази вечер.
drawing	рисунка	Рисунката й е красива.
dream	сън; мечта	Имах странен сън.
driving	шофиране	Шофирането нощем е трудно.
drop	изпускам; капка	Не изпускай чашата.
drug	лекарство; наркотик	Лекарството му помогна.
dry	сух	Кърпата е суха.
earn	печеля	Печеля пари на работа.
earth	земя; Земята	Земята е кръгла.
easily	лесно	Тя учи лесно.
education	образование	Образованието е важно.
effect	ефект	Ефектът беше ясен.
either	който и да е; или	Всеки отговор е добър.
electric	електрически	Тази кола е електрическа.
electrical	електрически	Електрическата система е безопасна.
electricity	електричество	Електричеството тук е скъпо.
electronic	електронен	Този електронен билет работи.
employ	наемам	Те наемат петима души.
employee	служител	Служителят работи много.
employer	работодател	Работодателят ми е справедлив.
empty	празен	Стаята е празна.
ending	край; завършек	Краят беше изненадващ.
energy	енергия	Нямам енергия днес.
engine	двигател	Двигателят е шумен.
engineer	инженер	Инженерът поправи моста.
enormous	огромен	Сградата е огромна.
enter	влизам; въвеждам	Влез в стаята тихо.
environment	околна среда	Пази околната среда.
equipment	оборудване	Това оборудване е скъпо.
error	грешка	Намерих грешка.
especially	особено	Особено харесвам тази песен.
essay	есе	Напиши есе тази вечер.
everyday	ежедневен	Това е ежедневен английски.
everywhere	навсякъде	Цветя растат навсякъде.
evidence	доказателство	Доказателството е ясно.
exact	точен	Дай точния номер.
exactly	точно	Това е точно правилно.
excellent	отличен	Работата ти е отлична.
except	освен; с изключение на	Всички дойдоха освен мен.
exist	съществувам	Съществува ли този адрес?
expect	очаквам	Очаквам дъжд утре.
experience	опит; преживяване	Имам опит с деца.
experiment	експеримент	Експериментът проработи добре.
expert	експерт	Попитай експерт за помощ.
explanation	обяснение	Обяснението й беше ясно.
express	изразявам	Моля, изрази мнението си.
expression	израз	Този израз е често срещан.
extreme	краен; екстремен	Жегата беше екстремна.
extremely	изключително	Изключително студено е.
factor	фактор	Цената е един фактор.
factory	фабрика	Фабриката затваря в пет.
fail	провалям се; не успявам	Не се провалих.
fair	честен; справедлив	Цената е справедлива.
fan	вентилатор; фен	Включи вентилатора.
farming	земеделие	Земеделието е трудна работа.
fashion	мода	Модата се променя всяка година.
fear	страх	Страхът може да спре хората.
feature	характеристика; функция	Този телефон има полезна функция.
feed	храня	Нахрани котката сега.
female	женски; жена	Женската състезателка спечели.
fiction	художествена литература	Тя чете художествена литература вечер.
field	поле; област	Полето е зелено.
fight	бия се; борба	Те се карат твърде много.
figure	фигура; число	Погледни фигурата.
finally	най-накрая	Най-накрая пристигнахме у дома.
finger	пръст	Боли ме пръстът.
firstly	първо	Първо прочети въпроса.
fishing	риболов	Риболовът е популярен тук.
fit	пасвам; в добра форма	Тези обувки ми стават добре.
fix	поправям	Поправи счупения стол.
flu	грип	Имам грип.
flying	летене	Летенето е бързо.
focus	съсредоточавам се; фокус	Съсредоточи се върху тази задача.
following	следващ; следния	Прочети следното изречение.
foreign	чужд; чуждестранен	Тя говори чужд език.
forest	гора	Гората е тиха.
fork	вилица	Използвай вилица.
formal	официален	Това писмо е официално.
fortunately	за щастие	За щастие никой не беше ранен.
forward	напред	Движи се бавно напред.
fresh	свеж; пресен	Хлябът е пресен.
