source_headword	SV	example_SV
interpretation	en tolkning	Hennes tolkning av dikten var originell.
interval	en intervall	Det fanns en kort intervall mellan akterna.
invade	invadera	Armén försökte invadera ön.
invasion	en invasion	Invasionen skadade många städer.
investor	en investerare	Investeraren finansierade en ny startup.
isolate	isolera	Läkare isolerar patienter med allvarliga infektioner.
isolated	isolerad	Byn var isolerad av snö.
jail	ett fängelse	Tjuven hamnade i fängelse.
jet	ett jetplan	Jetplanet landade vid middagstid.
joint	gemensam	De tillkännagav ett gemensamt projekt.
journalism	en journalistik	Journalistik kräver korrekta fakta.
jury	en jury	Juryn fattade ett beslut.
kit	ett kit	Reparationskitet innehåller skruvar.
ladder	en stege	Stegen lutade mot väggen.
landing	en landning	Flygplanet gjorde en mjuk landning.
lane	en fil	Håll dig i höger fil.
lately	på sistone	Jag har sovit dåligt på sistone.
leaflet	en broschyr	Broschyren förklarar tjänsten.
legend	en legend	Legenden berättar om en dold stad.
lens	en lins	Rengör kameralinsen noggrant.
lifetime	en livstid	Han sparade pengar under en livstid.
lighting	en belysning	Bra belysning förbättrar rummet.
likewise	likaså	Hon log; han gjorde likaså.
limitation	en begränsning	Planen har en begränsning.
literally	bokstavligen	Hon sprang bokstavligen till bussen.
literary	litterär	Festivalen hedrar litterärt arbete.
litre	en liter	Köp en liter mjölk.
litter	ett skräp	Släng inte skräp.
logo	en logotyp	Logotypen visas på varje sida.
lottery	ett lotteri	Han vann ett litet lotteripris.
loyal	lojal	Hunden var lojal mot sin ägare.
lyric	en låttext	Låttexten upprepade huvudidén.
magnificent	magnifik	Palatset såg magnifikt ut.
make-up	en makeup	Hon bar en enkel makeup.
making	ett skapande	Skapandet av filmen var svårt.
manufacture	tillverka	Fabriken kommer att tillverka telefoner.
manufacturing	en tillverkning	Tillverkningsjobben ökade lokalt.
marathon	ett maraton	Hon avslutade maratonet.
margin	en marginal	Skriv anteckningar i marginalen.
marker	en märkpenna	Använd en märkpenna för etiketten.
martial	kamp-	Han studerar kampsport.
mate	en kompis	Min gamla skolkompis ringde igår.
mayor	en borgmästare	Borgmästaren öppnade biblioteket.
mechanic	en mekaniker	Mekanikern reparerade bussen.
mechanical	mekanisk	Klockan har ett mekaniskt fel.
mechanism	en mekanism	Låsmekanismen är enkel.
medal	en medalj	Hon vann en guldmedalj.
medication	en medicinering	Ta medicinen med vatten.
membership	ett medlemskap	Gymmedlemskap kostar mindre online.
memorable	minnesvärd	Resan var minnesvärd.
metaphor	en metafor	Dikten använder en stark metafor.
miner	en gruvarbetare	Gruvarbetaren arbetade under jord.
miserable	olycklig	Regnet gjorde picknicken olycklig.
mode	ett läge	Växla kameran till nattläge.
modest	blygsam	De bor i ett blygsamt hus.
monster	ett monster	Berättelsen har ett läskigt monster.
monthly	månatlig	Vi betalar hyra månatligen.
monument	ett monument	Monumentet står nära floden.
moreover	dessutom	Dessutom sparar planen pengar.
mortgage	ett bolån	De ansökte om ett bolån.
mosque	en moské	Moskén ligger nära marknaden.
motion	en rörelse	Sensorn upptäcker rörelse.
motivate	motivera	Beröm kan motivera elever.
motivation	en motivation	Hennes motivation förblev stark.
moving	gripande	Talet var gripande.
myth	en myt	Myten förklarar bergets namn.
naked	naken	Bebisen var naken efter badet.
nasty	otäck	Såret såg otäckt ut.
navigation	en navigering	Appen förbättrar navigeringen.
nearby	närliggande	Ett närliggande kafé öppnar tidigt.
necessity	en nödvändighet	Rent vatten är en nödvändighet.
negotiate	förhandla	De förhandlar om kontraktet i morgon.
negotiation	en förhandling	Förhandlingen varade hela morgonen.
neutral	neutral	Domaren förblev neutral.
newly	nyligen	Den nyligen målade dörren såg ljus ut.
norm	en norm	Distansarbete blev normen.
notebook	en anteckningsbok	Skriv anteckningar i din anteckningsbok.
novelist	en romanförfattare	Romanförfattaren signerade sin bok.
nowadays	numera	Numera arbetar många människor online.
nursing	en omvårdnad	Hon studerar omvårdnad.
nutrition	en näring	Bra näring stöder hälsan.
obesity	en fetma	Fetma ökar hälsoriskerna.
observer	en observatör	Observatören registrerade resultaten.
obstacle	ett hinder	Det fallna trädet var ett hinder.
occupation	ett yrke	Vänligen skriv ditt yrke här.
occupy	ockupera	Familjen kommer att ockupera lägenheten.
offender	en förövare	Förövaren bad om ursäkt i rätten.
ongoing	pågående	Utredningen är pågående.
openly	öppet	Hon talade öppet om sina rädslor.
opera	en opera	Vi såg en opera i Milano.
operator	en operatör	Operatören kopplade samtalet.
optimistic	optimistisk	Hon känner sig optimistisk inför framtiden.
orchestra	en orkester	Orkestern spelade mjukt.
organic	ekologisk	De köpte ekologiska grönsaker.
outfit	en outfit	Hennes outfit passade tillfället.
output	en produktion	Maskinens produktion ökade.
outstanding	enastående	Hans prestation var enastående.
overcome	övervinna	De övervinner problem tillsammans.
overnight	över natten	Paketet anlände över natten.
overseas	utomlands	Han hittade arbete utomlands.
ownership	ett ägande	Ägandet av marken ändrades.
oxygen	ett syre	Växter producerar syre.
packet	ett paket	Öppna paketet försiktigt.
palm	en handflata	Håll myntet i din handflata.
panic	en panik	Paniken spred sig genom folkmassan.
parade	en parad	Paraden började vid middagstid.
parallel	parallell	Vägarna löper parallellt.
participation	ett deltagande	Deltagandet i klassen förbättrades.
partnership	ett partnerskap	Partnerskapet hjälpte båda företagen.
part-time	deltids-	Hon hittade ett deltidsjobb.
passionate	passionerad	Han är passionerad när det gäller musik.
password	ett lösenord	Välj ett starkt lösenord.
patience	ett tålamod	Att undervisa små barn kräver tålamod.
pause	pausa	Pausa videon nu.
peer	en jämnårig	Grupptryck påverkade hans val.
penalty	ett straff	Spelaren fick ett straff.
perceive	uppfatta	Människor uppfattar risker på olika sätt.
perception	en uppfattning	Hans uppfattning om fara förändrades.
permanently	permanent	Butiken stängde permanent.
pill	ett piller	Ta ett piller efter frukost.
pity	ett medlidande	Det är synd.
placement	en placering	Soffans placering spelar roll.
portion	en portion	Servera en liten portion ris.
potentially	potentiellt	Denna förändring är potentiellt användbar.
precede	föregå	Mörka moln föregår ofta regn.
precious	värdefull	Ringen är värdefull.
precise	exakt	Instruktionerna var exakta.
precisely	exakt	Mät avståndet exakt.
predictable	förutsägbar	Slutet var förutsägbart.
preference	en preferens	Hon uttryckte en preferens för te.
pride	en stolthet	Han kände stolthet efter att ha blivit klar.
primarily	i första hand	Kursen är i första hand online.
principal	en rektor	Rektorn hälsade nya elever välkomna.
prior	tidigare	Vi behöver tidigare godkännande.
probability	en sannolikhet	Sannolikheten för regn är stor.
probable	trolig	Regn är troligt ikväll.
proceed	fortsätta	Vänligen fortsätt till nästa rum.
programming	en programmering	Programmering kräver övning.
progressive	progressiv	Policyn var progressiv för sin tid.
prohibit	förbjuda	Reglerna förbjuder rökning.
promising	lovande	Resultaten ser lovande ut.
promotion	en befordran	Hon fick en befordran på jobbet.
prompt	snabb	Det snabba svaret sparade tid.
proportion	en andel	En stor andel röstade ja.
protein	ett protein	Bönor innehåller protein.
protester	en demonstrant	Demonstranten höll i en skylt.
psychological	psykologisk	Olyckan orsakade psykologisk stress.
publicity	en publicitet	Evenemanget fick publicitet.
publishing	en publicering	Hon arbetar inom publicering.
punk	en punk	Punkmusik blev populär där.
purely	rent	Valet var rent praktiskt.
pursuit	en jakt	Han fortsatte sin jakt på rättvisa.
puzzle	ett pussel	Pusslet tog en timme.
questionnaire	ett frågeformulär	Vänligen fyll i frågeformuläret.
racial	ras-	Rapporten diskuterade rasojämlikhet.
racism	en rasism	Rasism skadar samhällen.
racist	rasistisk	Kommentaren var rasistisk.
radiation	en strålning	Strålning kan skada celler.
rail	ett räcke	Håll i räcket i trappan.
random	slumpmässig	Datorn valde ett slumpmässigt nummer.
rat	en råtta	En råtta sprang bakom soptunnorna.
rating	ett betyg	Hotellet har ett högt betyg.
reasonably	ganska	Rummet var ganska rent.
rebuild	bygga upp igen	De kommer att bygga upp bron igen.
receiver	en mottagare	Mottagaren fångade bollen.
recession	en lågkonjunktur	Lågkonjunkturen minskade utgifterna.
reckon	tro	Jag tror att tåget är försenat.
recognition	ett erkännande	Hon fick ett erkännande för sitt arbete.
recovery	en återhämtning	Återhämtningen tog flera veckor.
recruit	rekrytera	Företaget kommer att rekrytera ingenjörer.
recruitment	en rekrytering	Rekryteringen börjar nästa måndag.
referee	en domare	Domaren stoppade matchen.
refugee	en flykting	Flyktingen hittade ett säkert hem.
registration	en registrering	Registreringen stänger på fredag.
regulate	reglera	Lagen kommer att reglera utsläppen.
reinforce	förstärka	Extra balkar förstärker taket.
relieve	lindra	Medicin kan lindra smärta.
relieved	lättad	Hon kände sig lättad efter samtalet.
remarkable	anmärkningsvärd	Återhämtningen var anmärkningsvärd.
remarkably	anmärkningsvärt	Han återhämtade sig anmärkningsvärt snabbt.
reporting	en rapportering	Noggrann rapportering spelar roll.
resign	säga upp sig	Chefen kommer att säga upp sig i morgon.
resolution	en upplösning	Skärmen har en hög upplösning.
restore	restaurera	Arbetare restaurerar den gamla målningen.
restrict	begränsa	Reglerna begränsar parkering.
restriction	en begränsning	Begränsningen slutar i morgon.
retail	en detaljhandel	Detaljhandeln ökade.
retirement	en pension	Hon planerade sin pension noggrant.
revenue	en intäkt	Biljettintäkterna betalade för reparationerna.
revision	en revision	Revisionen hjälpte inför provet.
ridiculous	löjlig	Priset var löjligt.
risky	riskabel	Planen verkade riskabel.
rival	en rival	Vår rival öppnade en ny butik.
rob	råna	Männen försökte råna banken.
robbery	ett rån	Rånet inträffade på natten.
rocket	en raket	Raketen sköts upp framgångsrikt.
romance	en romans	Romanen innehåller en romans.
rose	en ros	En röd ros växte vid staketet.
roughly	ungefär	Ungefär tjugo personer deltog.
ruin	förstöra	Regnet kan förstöra picknicken.
satisfaction	en tillfredsställelse	Kundtillfredsställelsen förbättrades.
scandal	en skandal	Skandalen skadade hans karriär.
scare	en skräck	Det höga ljudet gav mig en skräck.
scenario	ett scenario	Det värsta scenariot är osannolikt.
scholar	en forskare	Forskaren studerade forntida texter.
scholarship	ett stipendium	Hon vann ett stipendium.
scratch	en repa	Katten lämnade en repa.
screening	en screening	Sjukhuset erbjuder cancerscreening.
seeker	en sökande	Den arbetssökande skickade ansökningar.
seminar	ett seminarium	Seminariet börjar klockan nio.
settler	en nybyggare	Nybyggaren byggde en liten gård.
severely	allvarligt	Stormen skadade vägarna allvarligt.
sexy	sexig	Klänningen ansågs sexig.
shocking	chockerande	Nyheten var chockerande.
shore	en strand	Vi gick längs stranden.
shortage	en brist	Staden stod inför en vattenbrist.
shortly	strax	Bussen anlände strax efter lunch.
short-term	kortsiktig	Planen har kortsiktiga fördelar.
sibling	ett syskon	Varje syskon fick en present.
signature	en signatur	Vänligen lägg till din signatur.
significance	en betydelse	Upptäckten har stor betydelse.
skilled	skicklig	Skickliga arbetare reparerade taket.
slogan	en slogan	Kampanjen använde en enkel slogan.
so-called	så kallad	Den så kallade experten gjorde misstag.
somehow	på något sätt	På något sätt försvann nycklarna.
sometime	någon gång	Besök oss någon gång nästa vecka.
sophisticated	sofistikerad	Programvaran är sofistikerad.
spare	reserv-	Vi har en reservnyckel.
specialize	specialisera sig	Läkare specialiserar sig inom olika områden.
specify	ange	Vänligen ange din ankomsttid.
spectacular	spektakulär	Fyrverkerierna var spektakulära.
spectator	en åskådare	Varje åskådare fick ett program.
speculate	spekulera	Experter spekulerar om orsaken.
speculation	en spekulation	Artikeln uppmuntrade till spekulation.
spice	en krydda	Tillsätt en krydda i taget.
spill	spilla	Spill inte juicen.
spite	ett trots	Han lyckades trots problem.
spoil	förstöra	För mycket salt kan förstöra soppan.
spokesman	en talesman	Talesmannen svarade på frågor.
spokesperson	en talesperson	Talespersonen läste upp ett uttalande.
spokeswoman	en taleskvinna	Taleskvinnan talade till pressen.
sponsorship	en sponsring	Laget behöver sponsring.
sporting	sport-	Staden är värd för sportevenemang.
stall	ett stånd	Marknadsståndet säljer frukt.
stance	en hållning	Ministern ändrade sin hållning.
starve	svälta	Utan mat kan djur svälta.
steadily	stadigt	Företaget växte stadigt.
steam	en ånga	Ånga steg från soppan.
stimulate	stimulera	Ljusa färger kan stimulera intresset.
