source_headword	HY	example_HY
great	հիանալի	Սա հիանալի գաղափար է։
green	կանաչ	Դուռը կանաչ է։
grey	մոխրագույն	Երկինքը մոխրագույն է։
group	խումբ	Աշխատեք փոքր խմբում։
grow	աճել	Բույսերը այգում են աճում։
guess	կռահել	Կռահիր պատասխանը։
guitar	կիթառ	Նա կիթառ է նվագում։
gym	մարզասրահ	Ես մարզասրահ եմ գնում։
hair	մազ	Նրա մազերը երկար են։
half	կես	Կտրիր տորթը կիսով չափ։
hand	ձեռք	Բարձրացրու ձեռքդ։
happen	պատահել	Հետո ի՞նչ կպատահի։
happy	երջանիկ	Այսօր ես երջանիկ եմ։
hard	կոշտ; դժվար	Այս աթոռը կոշտ է։
hat	գլխարկ	Իմ գլխարկը սև է։
hate	ատել	Ես ատում եմ սառը թեյը։
have	ունենալ	Ես մեքենա ունեմ։
have to modal	պետք է	Ես պետք է սովորեմ։
he	նա	Նա իմ եղբայրն է։
head	գլուխ	Գլուխս ցավում է։
health	առողջություն	Լավ սնունդը օգնում է առողջությանը։
healthy	առողջ	Այս ուտեստը առողջ է։
hear	լսել	Երաժշտություն եմ լսում։
hello	բարև	Բարև, հաճելի է ծանոթանալ։
help	օգնություն; օգնել	Խնդրում եմ, օգնիր ինձ։
her	նրա; նրան	Սա նրա պայուսակն է։
here	այստեղ	Հիմա այստեղ արի։
hey	հեյ	Հեյ, սպասիր ինձ։
hi	բարև	Բարև, ինչպե՞ս ես։
high	բարձր	Պատը բարձր է։
him	նրան	Ես նրան ճանաչում եմ։
his	նրա	Նրա վերարկուն կապույտ է։
history	պատմություն	Ես պատմություն եմ սովորում։
hobby	հոբբի	Կարդալը իմ հոբբին է։
holiday	արձակուրդ	Հուլիսին արձակուրդ ենք գնում։
home	տուն	Ես տանն եմ։
homework	տնային աշխատանք	Այս երեկո արա տնային աշխատանքդ։
hope	հուսալ	Հույս ունեմ, որ կգաս։
horse	ձի	Ձին արագ է վազում։
hospital	հիվանդանոց	Հիվանդանոցը այստեղ մոտ է։
hot	տաք	Ապուրը տաք է։
hotel	հյուրանոց	Հյուրանոցը մաքուր է։
hour	ժամ	Սպասիր մեկ ժամ։
house	տուն	Այս տունը հին է։
how	ինչպես	Ինչպե՞ս ես։
however	սակայն	Սակայն ես կարող եմ այստեղ մնալ։
hundred	հարյուր	Հարյուր մարդ եկավ։
hungry	սոված	Ես սոված եմ։
husband	ամուսին	Նրա ամուսինը բժիշկ է։
I	ես	Ես թեյ եմ սիրում։
ice	սառույց	Սառույցը սառն է։
ice cream	պաղպաղակ	Ես պաղպաղակ եմ ուզում։
idea	գաղափար	Դա լավ գաղափար է։
if	եթե	Եթե օգնություն պետք լինի, զանգիր ինձ։
imagine	պատկերացնել	Պատկերացրու փոքր տուն։
important	կարևոր	Այս դասը կարևոր է։
improve	բարելավել	Ես ուզում եմ բարելավվել։
in	մեջ	Բանալիները իմ պայուսակում են։
include	ներառել	Խնդրում եմ, ներառիր քո անունը։
information	տեղեկություն	Ինձ ավելի շատ տեղեկություն է պետք։
interest	հետաքրքրություն	Նա արվեստի հանդեպ հետաքրքրություն ունի։
interested	հետաքրքրված	Ես երաժշտությամբ հետաքրքրված եմ։
interesting	հետաքրքիր	Այս գիրքը հետաքրքիր է։
internet	ինտերնետ	Ինտերնետը դանդաղ է։
interview	հարցազրույց	Այսօր հարցազրույց ունեմ։
into	մեջ	Գրքերը դրու պայուսակի մեջ։
introduce	ներկայացնել	Խնդրում եմ, ներկայացրու քո ընկերոջը։
island	կղզի	Այս կղզին փոքր է։
it	այն	Այն սառն է։
its	նրա; իր	Շունը սիրում է իր մահճակալը։
jacket	բաճկոն	Իմ բաճկոնը նոր է։
January	հունվար	Հունվարը առաջին ամիսն է։
jeans	ջինս	Իմ ջինսը կապույտ է։
job	աշխատանք	Ինձ նոր աշխատանք է պետք։
join	միանալ	Այսօր միացիր մեր դասարանին։
journey	ճամփորդություն	Ճամփորդությունը երկար է։
juice	հյութ	Ես նարնջի հյութ եմ խմում։
July	հուլիս	Հուլիսին ճանապարհորդում ենք։
June	հունիս	Դպրոցը հունիսին ավարտվում է։
just	պարզապես	Ինձ պարզապես ջուր է պետք։
keep	պահել	Պահիր այս բանալին։
key	բանալի	Ես կորցրի իմ բանալին։
kilometre	կիլոմետր	Քայլիր մեկ կիլոմետր։
kind (type)	տեսակ	Ի՞նչ տեսակ երաժշտություն ես սիրում։
kitchen	խոհանոց	Խոհանոցը մաքուր է։
know	իմանալ	Ես գիտեմ պատասխանը։
land	ցամաք; հող	Ինքնաթիռը ցամաքի վրա է։
language	լեզու	Անգլերենը լեզու է։
large	մեծ	Այս սենյակը մեծ է։
last1 (final)	վերջին	Սա վերջին էջն է։
late	ուշ	Ավտոբուսը ուշանում է։
later	հետո	Կտեսնվենք հետո։
laugh	ծիծաղել	Մենք միասին ծիծաղում ենք։
learn	սովորել	Ես անգլերեն եմ սովորում։
leave	հեռանալ; թողնել	Դուռը բաց թող։
left	ձախ	Այստեղ ձախ թեքվիր։
leg	ոտք	Ոտքս ցավում է։
lesson	դաս	Դասը հիմա է սկսվում։
let	թույլ տալ	Թույլ տուր օգնեմ քեզ։
letter	նամակ	Ես նամակ եմ գրում։
library	գրադարան	Գրադարանը բացվում է իննին։
lie1	պառկել	Խնդրում եմ, պառկիր մահճակալին։
life	կյանք	Քաղաքային կյանքը զբաղված է։
like (similar)	նման	Սա խաղի նման է։
like (find sb/sth pleasant)	սիրել; հավանել	Ես հավանում եմ այս երգը։
line	շարք	Կանգնիր շարքում։
lion	առյուծ	Առյուծը քնած է։
list	ցուցակ	Կազմիր գնումների ցուցակ։
listen	լսել	Լսիր ուսուցչին։
little	փոքր; քիչ	Ես քիչ փող ունեմ։
live1	ապրել	Ես դպրոցի մոտ եմ ապրում։
local	տեղական	Սա տեղական խանութ է։
long1	երկար	Ճանապարհը երկար է։
look	նայել	Նայիր նկարին։
lose	կորցնել	Մի կորցրու տոմսդ։
lot	շատ	Ես շատ տնային աշխատանք ունեմ։
love	սեր; սիրել	Ես սիրում եմ իմ ընտանիքը։
lunch	ճաշ	Ճաշը պատրաստ է։
