simplified	KN	example_KN
保持	ಕಾಯ್ದುಕೊಳ್ಳುವುದು; ಉಳಿಸಿಕೊಳ್ಳುವುದು	ದಯವಿಟ್ಟು ಶಾಂತಿಯನ್ನು ಕಾಯ್ದುಕೊಳ್ಳಿ.
保存	ಉಳಿಸುವುದು; ಸಂಗ್ರಹಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಕಡತವನ್ನು ಉಳಿಸಿ.
保留	ಉಳಿಸಿಡುವುದು; ಕಾಯ್ದಿರಿಸುವುದು	ದಯವಿಟ್ಟು ನನಗಾಗಿ ಒಂದು ಆಸನ ಕಾಯ್ದಿರಿಸಿ.
保险	ವಿಮೆ; ಸುರಕ್ಷಿತ	ನಾನು ಪ್ರಯಾಣ ವಿಮೆ ಕೊಂಡಿದ್ದೇನೆ.
宝贝	ಅಮೂಲ್ಯ ವಸ್ತು; ಪ್ರಿಯವಾದದ್ದು	ಇದು ನನ್ನ ಅಮೂಲ್ಯ ವಸ್ತು.
宝贵	ಅಮೂಲ್ಯ; ಬೆಲೆಬಾಳುವ	ಸಮಯ ತುಂಬಾ ಅಮೂಲ್ಯ.
报到	ಹಾಜರು ನೋಂದಾಯಿಸುವುದು; ನೋಂದಣಿ ಮಾಡುವುದು	ಹೊಸ ವಿದ್ಯಾರ್ಥಿಗಳು ಇಂದು ಶಾಲೆಯಲ್ಲಿ ಹಾಜರು ನೋಂದಾಯಿಸಲು ಬರುತ್ತಾರೆ.
报道	ಸುದ್ದಿ ವರದಿ; ವರದಿ ಮಾಡುವುದು	ಸುದ್ದಿಯಲ್ಲಿ ಈ ವಿಷಯವನ್ನು ವರದಿ ಮಾಡಿದರು.
报告	ವರದಿ; ವರದಿ ನೀಡುವುದು	ಅವನು ವರದಿ ನೀಡುತ್ತಿದ್ದಾನೆ.
报社	ಪತ್ರಿಕಾ ಕಚೇರಿ	ಅವಳು ಪತ್ರಿಕಾ ಕಚೇರಿಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
抱怨	ದೂರು ಹೇಳುವುದು; ಅಸಮಾಧಾನಪಡುವುದು	ಕೆಲಸ ತುಂಬಾ ಇದೆ ಎಂದು ಅವನು ಯಾವಾಗಲೂ ದೂರು ಹೇಳುತ್ತಾನೆ.
悲观	ನಿರಾಶಾವಾದಿ	ಅಷ್ಟು ನಿರಾಶಾವಾದಿಯಾಗಬೇಡ.
背	ಬೆನ್ನು; ಬೆನ್ನು ತಿರುಗಿಸುವುದು	ಅವನು ಬಾಗಿಲಿಗೆ ಬೆನ್ನುಕೊಟ್ಟು ಕುಳಿತಿದ್ದಾನೆ.
背景	ಹಿನ್ನೆಲೆ	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಹಿನ್ನೆಲೆಯನ್ನು ಸಂಕ್ಷಿಪ್ತವಾಗಿ ಪರಿಚಯಿಸಿ.
被子	ರಜಾಯಿ; ಹಾಸಿಗೆ ಹೊದಿಕೆ	ಈ ರಜಾಯಿ ತುಂಬಾ ಬಿಸಿಯಾಗಿದೆ.
本科	ಪದವಿ ಕೋರ್ಸ್; ಪದವಿ ವಿದ್ಯಾರ್ಥಿ	ಅವನು ಪದವಿ ವಿದ್ಯಾರ್ಥಿ.
本领	ಕೌಶಲ್ಯ; ಸಾಮರ್ಥ್ಯ	ಅವನು ಹೊಸ ಕೌಶಲ್ಯ ಕಲಿತನು.
本质	ಸಾರ; ಮೂಲ ಸ್ವಭಾವ	ಸಮಸ್ಯೆಯ ಸಾರ ತುಂಬಾ ಸರಳ.
彼此	ಪರಸ್ಪರ	ನಾವು ಪರಸ್ಪರ ಗೌರವಿಸಬೇಕು.
比例	ಅನುಪಾತ	ಪುರುಷರು ಮತ್ತು ಮಹಿಳೆಯರ ಅನುಪಾತ ಸುಮಾರು ಒಂದೇ ಇದೆ.
必然	ಅನಿವಾರ್ಯ; ಖಚಿತ	ಕಷ್ಟಪಟ್ಟು ಕೆಲಸ ಮಾಡಿದರೆ ಫಲಿತಾಂಶ ಖಚಿತವಾಗಿ ಬರುತ್ತದೆ.
必要	ಅಗತ್ಯ; ಅವಶ್ಯಕ	ಚಿಂತಿಸುವ ಅಗತ್ಯವಿಲ್ಲ.
毕竟	ಅಂತೂ; ಕೊನೆಗೂ	ಅಂತೂ ಅವನು ಇನ್ನೂ ಮಗು.
避免	ತಪ್ಪಿಸುವುದು; ದೂರವಿರುವುದು	ದಯವಿಟ್ಟು ತಡವಾಗುವುದನ್ನು ತಪ್ಪಿಸಿ.
编辑	ಸಂಪಾದಿಸುವುದು; ಸಂಪಾದಕ	ಈ ಲೇಖನವನ್ನು ಸಂಪಾದಿಸುವ ಜವಾಬ್ದಾರಿ ಅವನದು.
鞭炮	ಪಟಾಕಿ; ಸರಪಟಾಕಿ	ವಸಂತೋತ್ಸವದಲ್ಲಿ ಕೆಲವರು ಪಟಾಕಿ ಸಿಡಿಸುತ್ತಾರೆ.
便	ಸೌಕರ್ಯಕರ; ಆಗ	ತಿಂದ ನಂತರ ಅವನು ತರಗತಿಗೆ ಹೋದನು.
辩论	ಚರ್ಚೆ; ವಾದವಿವಾದ	ಅವರು ಈ ಪ್ರಶ್ನೆಯ ಬಗ್ಗೆ ಚರ್ಚಿಸುತ್ತಿದ್ದಾರೆ.
标点	ವಿರಾಮಚಿಹ್ನೆ	ದಯವಿಟ್ಟು ವಿರಾಮಚಿಹ್ನೆಗಳಿಗೆ ಗಮನ ಕೊಡಿ.
标志	ಚಿಹ್ನೆ; ಸಂಕೇತ	ಕೆಂಪು ದೀಪವು ನಿಲ್ಲುವ ಸಂಕೇತ.
表达	ವ್ಯಕ್ತಪಡಿಸುವುದು	ಅವನು ತನ್ನ ಅಭಿಪ್ರಾಯವನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದನು.
表面	ಮೇಲ್ಮೈ; ಹೊರಭಾಗ	ಮೇಜಿನ ಮೇಲ್ಮೈ ತುಂಬಾ ಸ್ವಚ್ಛವಾಗಿದೆ.
表明	ತೋರಿಸುವುದು; ಸ್ಪಷ್ಟಪಡಿಸುವುದು	ಫಲಿತಾಂಶವು ಅವನು ಸರಿ ಎಂದು ತೋರಿಸುತ್ತದೆ.
表情	ಮುಖಭಾವ	ಅವಳ ಮುಖಭಾವ ತುಂಬಾ ಗಂಭೀರವಾಗಿದೆ.
表现	ಪ್ರದರ್ಶನ; ತೋರಿಸಿಕೊಳ್ಳುವುದು	ಇಂದು ಅವನು ತುಂಬಾ ಚೆನ್ನಾಗಿ ಪ್ರದರ್ಶನ ನೀಡಿದನು.
冰激凌	ಐಸ್ ಕ್ರೀಮ್	ಮಕ್ಕಳು ಐಸ್ ಕ್ರೀಮ್ ತಿನ್ನಲು ಇಷ್ಟಪಡುತ್ತಾರೆ.
病毒	ವೈರಸ್	ಈ ರೀತಿಯ ವೈರಸ್ ತುಂಬಾ ಬೇಗ ಹರಡುತ್ತದೆ.
播放	ಪ್ರಸಾರ ಮಾಡುವುದು; ಹಾಕುವುದು	ದಯವಿಟ್ಟು ಈ ಹಾಡನ್ನು ಹಾಕಿ.
玻璃	ಗಾಜು	ಗಾಜಿನ ಕಪ್ ಒಡೆದುಹೋಯಿತು.
博物馆	ವಸ್ತುಸಂಗ್ರಹಾಲಯ	ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ನಾವು ವಸ್ತುಸಂಗ್ರಹಾಲಯಕ್ಕೆ ಹೋಗುತ್ತೇವೆ.
脖子	ಕುತ್ತಿಗೆ	ನನ್ನ ಕುತ್ತಿಗೆ ಸ್ವಲ್ಪ ನೋಯುತ್ತಿದೆ.
不断	ನಿರಂತರವಾಗಿ; ನಿಲ್ಲದೆ	ಬೆಲೆಗಳು ನಿರಂತರವಾಗಿ ಏರುತ್ತಿವೆ.
不见得	ಅವಶ್ಯವಾಗಿಯೇ ಅಲ್ಲ; ಹಾಗೇನಿಲ್ಲ	ಇದು ಅವಶ್ಯವಾಗಿಯೇ ಕೆಟ್ಟ ವಿಷಯವಲ್ಲ.
不耐烦	ಅಸಹನೆ; ಸಹನೆ ಕಳೆದುಕೊಂಡ	ಬಹಳ ಹೊತ್ತು ಕಾಯಿದ ನಂತರ ಅವನು ಸ್ವಲ್ಪ ಅಸಹನಶೀಲನಾದನು.
不要紧	ಪರವಾಗಿಲ್ಲ; ಗಂಭೀರವಲ್ಲ	ಪರವಾಗಿಲ್ಲ, ಅದು ಮುಖ್ಯವಲ್ಲ.
补充	ಸೇರಿಸುವುದು; ಪೂರಕವಾಗಿ ಹೇಳುವುದು	ನಾನು ಇನ್ನೊಂದು ಅಭಿಪ್ರಾಯವನ್ನು ಸೇರಿಸಲು ಬಯಸುತ್ತೇನೆ.
不安	ಅಶಾಂತಿ; ಆತಂಕ	ಈ ಸುದ್ದಿ ಕೇಳಿದ ನಂತರ ಅವಳಿಗೆ ಆತಂಕವಾಯಿತು.
不得了	ಭಾರೀ; ಗಂಭೀರ	ಈ ವಿಷಯ ನಿಜವಾಗಿಯೂ ಗಂಭೀರವಾಗಿದೆ.
不然	ಇಲ್ಲದಿದ್ದರೆ	ಬೇಗ ಹೊರಡು, ಇಲ್ಲದಿದ್ದರೆ ತಡವಾಗುತ್ತದೆ.
不如	ಇದಕ್ಕಿಂತ ಉತ್ತಮ; ಸರಿಸಾಟಿಯಲ್ಲ	ವಾಹನದಲ್ಲಿ ಹೋಗುವುದಕ್ಕಿಂತ ನಡೆದು ಹೋಗುವುದು ಉತ್ತಮ.
不足	ಕೊರತೆ; ಸಾಲದು	ಇಲ್ಲಿ ನೀರು ಸಾಲದು.
布	ಬಟ್ಟೆ	ಈ ಬಟ್ಟೆ ತುಂಬಾ ಮೃದುವಾಗಿದೆ.
步骤	ಹಂತಗಳು; ಕ್ರಮ	ದಯವಿಟ್ಟು ಹಂತಗಳ ಪ್ರಕಾರ ಕಾರ್ಯನಿರ್ವಹಿಸಿ.
部门	ಇಲಾಖೆ; ವಿಭಾಗ	ನಾನು ಮಾರಾಟ ವಿಭಾಗದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತೇನೆ.
财产	ಆಸ್ತಿ	ಈ ಮನೆ ಅವನ ಆಸ್ತಿ.
彩虹	ಇಂದ್ರಧನುಷ್	ಮಳೆಯ ನಂತರ ಇಂದ್ರಧನುಷ್ ಕಾಣಿಸಿಕೊಂಡಿತು.
踩	ತುಳಿಯುವುದು	ಹುಲ್ಲಿನ ಮೇಲೆ ತುಳಿಯಬೇಡಿ.
采访	ಸಂದರ್ಶನ ಮಾಡುವುದು	ವರದಿಗಾರನು ವೈದ್ಯರ ಸಂದರ್ಶನ ಮಾಡುತ್ತಿದ್ದಾನೆ.
采取	ತೆಗೆದುಕೊಳ್ಳುವುದು; ಅನುಸರಿಸುವುದು	ನಾವು ಹೊಸ ವಿಧಾನವನ್ನು ಅನುಸರಿಸಿದ್ದೇವೆ.
参考	ಉಲ್ಲೇಖ; ನೋಡಿ ಬಳಸುವುದು	ದಯವಿಟ್ಟು ಈ ಪುಸ್ತಕವನ್ನು ಉಲ್ಲೇಖವಾಗಿ ನೋಡಿ.
参与	ಭಾಗವಹಿಸುವುದು	ಅವನು ಚಟುವಟಿಕೆಗಳಲ್ಲಿ ಸಕ್ರಿಯವಾಗಿ ಭಾಗವಹಿಸುತ್ತಾನೆ.
惭愧	ನಾಚಿಕೆ; ಲಜ್ಜೆ	ನನ್ನ ತಪ್ಪಿನ ಬಗ್ಗೆ ನನಗೆ ನಾಚಿಕೆಯಾಯಿತು.
操场	ಆಟದ ಮೈದಾನ	ವಿದ್ಯಾರ್ಥಿಗಳು ಆಟದ ಮೈದಾನದಲ್ಲಿ ಓಡುತ್ತಿದ್ದಾರೆ.
操心	ಚಿಂತಿಸುವುದು; ಕಾಳಜಿ ಪಡುವುದು	ನನ್ನ ಬಗ್ಗೆ ಚಿಂತಿಸಬೇಡಿ.
册	ಸಂಪುಟ; ಪುಸ್ತಕಕ್ಕೆ ಎಣಿಕೆಪದ	ನಾನು ಒಂದು ಸಂಪುಟ ಪುಸ್ತಕವನ್ನು ಕೊಂಡೆ.
测验	ಸಣ್ಣ ಪರೀಕ್ಷೆ; ಪರೀಕ್ಷೆ	ನಾಳೆ ಒಂದು ಸಣ್ಣ ಪರೀಕ್ಷೆ ಇದೆ.
曾经	ಹಿಂದೆ; ಒಮ್ಮೆ	ನಾನು ಹಿಂದೆ ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ವಾಸಿಸಿದ್ದೆ.
叉子	ಫೋರ್ಕ್	ನಾನು ಸಲಾಡ್ ಅನ್ನು ಫೋರ್ಕ್‌ನಿಂದ ತಿನ್ನುತ್ತೇನೆ.
差距	ಅಂತರ; ವ್ಯತ್ಯಾಸ	ನಗರ ಮತ್ತು ಗ್ರಾಮಗಳ ನಡುವೆ ಅಂತರವಿದೆ.
插	ಹಾಕುವುದು; ಚುಚ್ಚುವುದು	ದಯವಿಟ್ಟು ಹೂಗಳನ್ನು ಹೂದಾನಿಯಲ್ಲಿ ಹಾಕಿ.
拆	ಕೆಡವುವುದು; ಬಿಡಿಸುವುದು	ಕಾರ್ಮಿಕರು ಹಳೆಯ ಮನೆಯನ್ನು ಕೆಡವುತ್ತಿದ್ದಾರೆ.
产品	ಉತ್ಪನ್ನ	ಈ ಉತ್ಪನ್ನದ ಗುಣಮಟ್ಟ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.
产生	ಉಂಟಾಗುವುದು; ಹುಟ್ಟುವುದು	ಈ ವಿಷಯದಿಂದ ಹೊಸ ಪರಿಣಾಮ ಉಂಟಾಯಿತು.
常识	ಸಾಮಾನ್ಯ ಜ್ಞಾನ	ಇದು ಮೂಲಭೂತ ಸಾಮಾನ್ಯ ಜ್ಞಾನ.
长途	ದೀರ್ಘದೂರದ; ದೂರ ಪ್ರಯಾಣ	ದೀರ್ಘದೂರದ ಪ್ರಯಾಣ ದಣಿವನ್ನುಂಟುಮಾಡುತ್ತದೆ.
抄	ನಕಲಿಸುವುದು	ದಯವಿಟ್ಟು ಇತರರ ಗೃಹಪಾಠವನ್ನು ನಕಲಿಸಬೇಡಿ.
超级	ಸೂಪರ್; ಅತಿ	ಇದು ಸೂಪರ್ ಮಾರುಕಟ್ಟೆ.
朝	ರಾಜವಂಶ; ದರ್ಬಾರು	ತಾಂಗ್ ರಾಜವಂಶ ತುಂಬಾ ಪ್ರಸಿದ್ಧ.
潮湿	ತೇವ; ಒದ್ದೆ	ದಕ್ಷಿಣದಲ್ಲಿ ಬೇಸಿಗೆಗಳು ತುಂಬಾ ತೇವವಾಗಿರುತ್ತವೆ.
吵	ಗದ್ದಲಮಾಡುವುದು; ಗದ್ದಲದ	ಹೊರಗೆ ತುಂಬಾ ಗದ್ದಲವಾಗಿದೆ.
吵架	ಜಗಳವಾಡುವುದು	ಅವರು ಮತ್ತೆ ಜಗಳವಾಡಿದರು.
炒	ಹುರಿಯುವುದು; ಬಾಡಿಸುವುದು	ಅಮ್ಮ ಆಹಾರವನ್ನು ಹುರಿಯುತ್ತಿದ್ದಾಳೆ.
车库	ಗ್ಯಾರೇಜ್	ಕಾರು ಗ್ಯಾರೇಜ್‌ನಲ್ಲಿ ನಿಂತಿದೆ.
车厢	ರೈಲು ಬೋಗಿ	ಈ ರೈಲು ಬೋಗಿ ತುಂಬಾ ಶಾಂತವಾಗಿದೆ.
彻底	ಸಂಪೂರ್ಣ; ಸಂಪೂರ್ಣವಾಗಿ	ಅವನು ಸಂಪೂರ್ಣವಾಗಿ ಅರ್ಥಮಾಡಿಕೊಂಡನು.
沉默	ಮೌನ; ಮೌನವಾಗಿರುವುದು	ಅವನು ಇಡೀ ಸಮಯ ಮೌನವಾಗಿದ್ದನು.
趁	ಅವಕಾಶ ಬಳಸಿಕೊಳ್ಳುವುದು; ಇರುವಾಗಲೇ	ಇನ್ನೂ ಕತ್ತಲಾಗಿಲ್ಲ, ಈಗಲೇ ಹೊರಡೋಣ.
称	ತೂಕ ತೂಗುವುದು; ಕರೆಯುವುದು	ದಯವಿಟ್ಟು ಈ ಪಾರ್ಸೆಲ್‌ನ ತೂಕ ತೂಗಿ.
称呼	ಸಂಬೋಧನೆ; ಕರೆಯುವ ಹೆಸರು	ಅವನನ್ನು ಹೇಗೆ ಕರೆಯಬೇಕು ಎಂದು ನನಗೆ ತಿಳಿದಿಲ್ಲ.
称赞	ಹೊಗಳುವುದು; ಪ್ರಶಂಸಿಸುವುದು	ಶಿಕ್ಷಕರು ಅವನ ಪ್ರಗತಿಯನ್ನು ಹೊಗಳಿದರು.
成分	ಘಟಕ; ಪದಾರ್ಥ	ಈ ಔಷಧಿಯ ಪದಾರ್ಥಗಳು ಸರಳವಾಗಿವೆ.
成果	ಫಲಿತಾಂಶ; ಸಾಧನೆ	ಈ ಯೋಜನೆ ಫಲಿತಾಂಶಗಳನ್ನು ಸಾಧಿಸಿದೆ.
成就	ಸಾಧನೆ; ಯಶಸ್ಸು	ತನ್ನ ವೃತ್ತಿಯಲ್ಲಿ ಅವನಿಗೆ ಅನೇಕ ಸಾಧನೆಗಳಿವೆ.
成立	ಸ್ಥಾಪಿಸುವುದು; ಸ್ಥಾಪನೆಯಾಗುವುದು	ಕಂಪನಿ ಕಳೆದ ವರ್ಷ ಸ್ಥಾಪನೆಯಾಯಿತು.
成人	ವಯಸ್ಕ	ವಯಸ್ಕರ ಟಿಕೆಟ್ ಮಕ್ಕಳ ಟಿಕೆಟ್‌ಗಿಂತ ದುಬಾರಿ.
成熟	ಪಕ್ವ; ಪರಿಪಕ್ವ	ಸೇಬುಗಳು ಈಗಾಗಲೇ ಪಕ್ವವಾಗಿವೆ.
成语	ಚೀನಿ ನುಡಿಗಟ್ಟು; ಗಾದೆ ಮಾತು	ಈ ನುಡಿಗಟ್ಟು ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ.
成长	ಬೆಳೆಯುವುದು; ಬೆಳವಣಿಗೆ	ಮಗು ನಿಧಾನವಾಗಿ ಬೆಳೆದುಬರುತ್ತಿದೆ.
承担	ಹೊಣೆ ಹೊರುವುದು; ವಹಿಸಿಕೊಳ್ಳುವುದು	ಅವನು ಹೊಣೆ ಹೊರುವುದಕ್ಕೆ ಸಿದ್ಧನಿದ್ದಾನೆ.
承认	ಒಪ್ಪಿಕೊಳ್ಳುವುದು; ಅಂಗೀಕರಿಸುವುದು	ತಾನು ತಪ್ಪಿದ್ದೇನೆ ಎಂದು ಅವನು ಒಪ್ಪಿಕೊಂಡನು.
承受	ಸಹಿಸುವುದು; ಹೊರುವುದು	ಇಷ್ಟು ದೊಡ್ಡ ಒತ್ತಡವನ್ನು ನಾನು ಸಹಿಸಲಾರೆ.
程度	ಮಟ್ಟ; ಪ್ರಮಾಣ	ಅವನ ಚೀನಿ ಭಾಷೆಯ ಮಟ್ಟ ತುಂಬಾ ಉನ್ನತವಾಗಿದೆ.
程序	ಪ್ರಕ್ರಿಯೆ; ಕ್ರಮ	ದಯವಿಟ್ಟು ಪ್ರಕ್ರಿಯೆಯ ಪ್ರಕಾರ ಇದನ್ನು ನಿರ್ವಹಿಸಿ.
诚恳	ಪ್ರಾಮಾಣಿಕ; ಮನಸಾರೆ	ಅವನ ವರ್ತನೆ ತುಂಬಾ ಪ್ರಾಮಾಣಿಕವಾಗಿದೆ.
吃亏	ನಷ್ಟ ಅನುಭವಿಸುವುದು; ಮೋಸಹೋಗುವುದು	ವಸ್ತುಗಳನ್ನು ಖರೀದಿಸುವ ಮೊದಲು ಚೆನ್ನಾಗಿ ನೋಡಿ, ಇಲ್ಲದಿದ್ದರೆ ನಷ್ಟವಾಗಬಹುದು.
持续	ಮುಂದುವರಿಯುವುದು; ನಿರಂತರ	ಮಳೆ ಮೂರು ದಿನ ಮುಂದುವರಿಯಿತು.
池塘	ಕೆರೆ; ಕೊಳ	ಕೊಳದಲ್ಲಿ ಅನೇಕ ಮೀನುಗಳಿವೆ.
迟早	ಬೇಗನೇ ಅಥವಾ ತಡವಾಗಿ	ನೀನು ಬೇಗನೇ ಅಥವಾ ತಡವಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವೆ.
尺子	ಅಳತೆಪಟ್ಟಿ	ದಯವಿಟ್ಟು ಅಳತೆಪಟ್ಟಿಯಿಂದ ಅಳೆಯಿರಿ.
翅膀	ರೆಕ್ಕೆ	ಹಕ್ಕಿಯ ರೆಕ್ಕೆಗೆ ಗಾಯವಾಗಿದೆ.
充电器	ಚಾರ್ಜರ್	ನನ್ನ ಚಾರ್ಜರ್ ಕೆಟ್ಟುಹೋಯಿತು.
充分	ಸಂಪೂರ್ಣ; ಸಾಕಷ್ಟು	ನಾವು ಸಂಪೂರ್ಣ ಸಿದ್ಧತೆ ಮಾಡಿಕೊಂಡೆವು.
充满	ತುಂಬಿರುವುದು; ಕಿಕ್ಕಿರಿದಿರುವುದು	ಕೊಠಡಿ ನಗುವಿನಿಂದ ತುಂಬಿತ್ತು.
冲	ನೀರಿನಿಂದ ತೊಳೆಯುವುದು; ತಾಕಿಹರಿಯುವುದು	ದಯವಿಟ್ಟು ಕಪ್ ಅನ್ನು ನೀರಿನಿಂದ ತೊಳೆಯಿರಿ.
重复	ಮರುಕಳಿಸುವುದು; ಪುನರಾವರ್ತಿಸುವುದು	ದಯವಿಟ್ಟು ಅದೇ ತಪ್ಪನ್ನು ಮರುಕಳಿಸಬೇಡಿ.
宠物	ಸಾಕುಪ್ರಾಣಿ	ಅವಳು ಒಂದು ಸಾಕು ನಾಯಿಯನ್ನು ಸಾಕಿದ್ದಾಳೆ.
抽屉	ಡ್ರಾಯರ್	ಕೀಲಿ ಡ್ರಾಯರ್‌ನಲ್ಲಿ ಇದೆ.
抽象	ಅಮೂರ್ತ	ಈ ಕಲ್ಪನೆ ತುಂಬಾ ಅಮೂರ್ತವಾಗಿದೆ.
丑	ಕುರುಪ; ಅಂದವಿಲ್ಲದ	ಈ ಫೋಟೋ ಸ್ವಲ್ಪ ಕುರುಪವಾಗಿದೆ.
臭	ದುರ್ವಾಸನೆಯ; ಕೆಟ್ಟ ವಾಸನೆ	ಕಸದ ಬುಟ್ಟಿಗೆ ದುರ್ವಾಸನೆ ಬರುತ್ತಿದೆ.
出版	ಪ್ರಕಟಿಸುವುದು	ಈ ಪುಸ್ತಕ ಕಳೆದ ವರ್ಷ ಪ್ರಕಟವಾಯಿತು.
出口	ನಿರ್ಗಮನ; ರಫ್ತು	ನಿರ್ಗಮನ ಮುಂದೆ ಇದೆ.
出色	ಅತ್ಯುತ್ತಮ; ಗಮನಾರ್ಹ	ಅವಳ ಪ್ರದರ್ಶನ ಅತ್ಯುತ್ತಮವಾಗಿದೆ.
出示	ತೋರಿಸುವುದು; ಪ್ರದರ್ಶಿಸುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪಾಸ್‌ಪೋರ್ಟ್ ತೋರಿಸಿ.
出席	ಹಾಜರಾಗುವುದು	ಅವನು ಸಭೆಗೆ ಹಾಜರಾಗುವನು.
初级	ಪ್ರಾಥಮಿಕ; ಆರಂಭಿಕ	ನಾನು ಆರಂಭಿಕ ತರಗತಿಯಲ್ಲಿ ಚೀನಿ ಭಾಷೆ ಕಲಿಯುತ್ತೇನೆ.
除非	ಹೊರತು; ಆಗ ಮಾತ್ರ	ಮಳೆ ಬಾರದಿದ್ದರೆ ಮಾತ್ರ ನಾವು ನಾಳೆ ಬೆಟ್ಟ ಏರಲು ಹೋಗುತ್ತೇವೆ.
除夕	ಹೊಸ ವರ್ಷದ ಮುನ್ನಾದಿನ	ಹೊಸ ವರ್ಷದ ಮುನ್ನಾದಿನ ನಮ್ಮ ಕುಟುಂಬವೆಲ್ಲ ಒಟ್ಟಿಗೆ ಊಟ ಮಾಡುತ್ತದೆ.
处理	ನಿರ್ವಹಿಸುವುದು; ಪರಿಹರಿಸುವುದು	ಈ ಸಮಸ್ಯೆಯನ್ನು ನಾನು ನಿರ್ವಹಿಸುತ್ತೇನೆ.
