source_headword	NE	example_NE
theme	विषयवस्तु	पार्टीको विषयवस्तु समुद्री किनारको थियो।
theory	सिद्धान्त	उनको सिद्धान्तले समस्याको व्याख्या गर्छ।
therefore	त्यसैले	पानी पर्यो, त्यसैले हामी भित्रै बस्यौं।
though	यद्यपि	थकित भए तापनि, उनले काम गरिरहिन्।
throat	घाँटी	आज बिहान मेरो घाँटी दुखेको छ।
throughout	भरि	मानिसहरू साँझभरि नाचे।
tight	कसिलो	यी जुत्ताहरू धेरै कसिलो महसुस हुन्छन्।
till	सम्म	म नफर्किएसम्म यहाँ पर्खनुहोस्।
tin	टिन	सिमीको टिन खोल्नुहोस्।
tiny	सानो	एउटा सानो चरा नजिकै बस्यो।
toe	खुट्टाको औंला	हिजो मेरो खुट्टाको औंलामा चोट लाग्यो।
tongue	जिब्रो	उनले चियाले जिब्रो पोलिन्।
total	कुल	कुल लागत कम थियो।
totally	पूर्णतया	म तपाईंको चिन्ता पूर्णतया बुझ्छु।
trade	व्यापार	अन्तर्राष्ट्रिय व्यापारले रोजगारी सिर्जना गर्छ।
translate	अनुवाद गर्नु	कृपया यो वाक्य अनुवाद गर्नुहोस्।
translation	अनुवाद	अनुवाद स्वाभाविक सुनिन्छ।
treat	व्यवहार गर्नु	सबैसँग सम्मानपूर्वक व्यवहार गर्नुहोस्।
treatment	उपचार	बिरामीलाई आज उपचार आवश्यक छ।
trend	चलन	यो चलन विश्वव्यापी रूपमा बढ्दै छ।
trick	जादु	त्यो तासको जादुले मलाई छक्क पार्यो।
truth	सत्य	कृपया सत्य बोल्नुहोस्।
tube	ट्युब	ट्युबलाई बिस्तारै निचोर्नुहोस्।
typically	सामान्यतया	विद्यार्थीहरू सामान्यतया नौ बजेअघि आइपुग्छन्।
tyre	टायर	कारलाई नयाँ टायर चाहिन्छ।
ugly	कुरूप	भित्ताको त्यो रङ नराम्रो देखिन्छ।
unable	असमर्थ	उनी जवाफ दिन असमर्थ थिए।
uncomfortable	असहज	यो कुर्सी असहज छ।
underwear	भित्री लुगा	यात्राको लागि सफा भित्री लुगाहरू प्याक गर्नुहोस्।
unemployed	बेरोजगार	उनी दुई महिना बेरोजगार थिइन्।
unemployment	बेरोजगारी	जाडोयाममा बेरोजगारी बढ्यो।
unfair	अनुचित	निर्णय अनुचित देखिन्थ्यो।
union	संघ	संघले सुरक्षित कामको माग गर्यो।
unless	बाहेक	मैले नबोलाएसम्म नजानुहोस्।
unlike	विपरीत	टमको विपरीत, एनालाई जाडो मन पर्छ।
unlikely	सम्भावना नभएको	यस हप्ता हिउँ पर्ने सम्भावना छैन।
unnecessary	अनावश्यक	अतिरिक्त झोलाहरू अनावश्यक छन्।
unpleasant	अप्रिय	कोठामा अप्रिय गन्ध थियो।
update	अपडेट गर्नु	मैले मेरो फोन अपडेट गर्नुपर्छ।
upon	मा	एकादेशमा, एउटा राजा थिए।
upset	दुखी	फोन आएपछि उनी दुखी भइन्।
used1	प्रयोग गरिएको	यो कोठा बैठकहरूको लागि प्रयोग गरिन्छ।
used2	बानी परेको	मलाई बिहान सबेरै उठ्ने बानी परेको छ।
valuable	मूल्यवान	यो घडी मूल्यवान छ।
value	मूल्य	घरको मूल्य गत वर्ष घट्यो।
various	विभिन्न	हामीले विभिन्न स्थानीय परिकारहरू चाख्यौं।
version	संस्करण	यो संस्करणले राम्रो काम गर्छ।
victim	पीडित	पीडितले प्रहरीलाई बोलाए।
viewer	दर्शक	एक दर्शकले प्रश्न सोधे।
violent	हिंस्रक	चलचित्र धेरै हिंस्रक थियो।
volunteer	स्वयंसेवक	म पुस्तकालयमा स्वयंसेवा गर्छु।
vote	भोट	भोलि भोट हाल्न नबिर्सनुहोस्।
warn	चेतावनी दिनु	मैले उसलाई चेतावनी दिने प्रयास गरें।
warning	चेतावनी	पर्दामा चेतावनी देखा पर्यो।
waste	खेर फाल्नु	सफा पानी खेर नफाल्नुहोस्।
weapon	हतियार	चक्कु हतियार बन्यो।
weigh	जोख्नु	पीठो ध्यानपूर्वक जोख्नुहोस्।
western	पश्चिमी	उनीहरूले एउटा पश्चिमी चलचित्र हेरे।
whatever	जे सुकै	तपाईलाई जे मनपर्छ त्यही छान्नुहोस्।
whenever	जहिले पनि	मद्दत चाहिएको बेला जहिले पनि कल गर्नुहोस्।
whether	कि	मलाई थाहा छैन कि उनी सहमत छिन् वा छैनन्।
wing	पखेटा	चराले एउटा पखेटामा चोट लगायो।
within	भित्र	कृपया दुई दिन भित्र जवाफ दिनुहोस्।
wonder	अचम्म लाग्नु	मलाई अचम्म लाग्छ कि के भयो होला।
wool	ऊन	यो कोट ऊनबाट बनेको हो।
worldwide	विश्वव्यापी	गीत विश्वव्यापी रूपमा लोकप्रिय भयो।
worth	लायक	यो पुस्तक पढ्न लायक छ।
written	लिखित	कृपया लिखित निर्देशनहरू पठाउनुहोस्।
yard	आँगन	बच्चाहरू आँगनमा खेले।
youth	युवा	युवा क्लबहरूले स्थानीय किशोरकिशोरीहरूलाई समर्थन गर्छन्।
