source_headword	SL	example_SL
confusion	zmeda	Zamuda je povzročila zmedo.
consequently	posledično	Deževalo je, posledično je bila tekma prekinjena.
conservation	ohranjanje	Ohranjanje ščiti redke živali.
considerable	znaten	Popravilo je vzelo precejšen čas.
considerably	znatno	Cene so se letos precej dvignile.
consistently	dosledno	Ona dosledno dobro nastopa.
conspiracy	zarota	Policija je preiskala zaroto.
consult	posvetovati se	Pred jemanjem zdravila se posvetujte z zdravnikom.
consultant	svetovalec	Svetovalec je predlagal novo strategijo.
consumption	poraba	Poraba energije je prejšnji mesec padla.
controversial	sporen	Politika ostaja sporna.
controversy	polemika	Odločitev je povzročila spor.
convenience	udobje	Trgovina nudi veliko priročnost.
convention	konvencija	Letno zborovanje se začne v ponedeljek.
conventional	konvencionalen	Izbral je konvencionalen dizajn.
convey	posredovati	Sporočilo je posredovalo sočutje.
convincing	prepričljiv	Njena razlaga je bila prepričljiva.
cope	spopasti se	Naučila se je spopasti s stresom.
corporation	korporacija	Korporacija je odprla novo pisarno.
corridor	hodnik	Hodnik je bil ozek in tih.
counter (long flat surface)	pult	Ključi so na kuhinjskem pultu.
coverage	pokritost	Novičarsko poročanje je trajalo ves večer.
crack	razpoka	Na steni se je pojavila razpoka.
craft	obrt	Na spletu prodaja ročno izdelano obrt.
creativity	ustvarjalnost	Ustvarjalnost pomaga reševati probleme.
critically	kritično	Članek je bil kritično pomemben.
cruise	križarjenje	Rezervirala sta križarjenje v Grčijo.
cue	iztočnica	Igralec je zamudil svojo iztočnico.
curious	radoveden	Otrok je bil radoveden glede vesolja.
curriculum	učni načrt	Šola je posodobila svoj učni načrt.
cute	srčkan	Kuža je bil videti ljubek.
dairy	mlekarna	Kmetija proizvaja mlečne izdelke.
dare	upati si	Izzivam te, da poskusiš.
darkness	tema	Soba se je napolnila s temo.
database	baza podatkov	Podatkovna baza hrani zapise o strankah.
deadline	rok	Rok je v petek.
deadly	smrtonosen	Kača ima smrtonosen strup.
dealer	trgovec	Prodajalec avtomobilov je ponudil popust.
deck	paluba	Stoli so na terasi.
defender	branilec	Branilec je blokiral strel.
delete	izbrisati	Izbriši staro sporočilo.
democracy	demokracija	Demokracija je odvisna od svobodnih volitev.
democratic	demokratičen	Glasovanje je sledilo demokratičnim pravilom.
demonstration	demonstracija	Študenti so se pridružili demonstraciji.
depart	oditi	Vlak bo odpeljal opoldne.
dependent	odvisen	Otrok je odvisen od odraslih.
deposit	depozit	Plačala je kavcijo za stanovanje.
depression	depresija	Depresija zahteva strokovno pomoč.
derive	izpeljati	Veliko besed izvira iz latinščine.
desperately	obupano	Obupano je potreboval vodo.
destruction	uničenje	Nevihta je povzročila obsežno uničenje.
determination	odločnost	Njena odločnost je navdušila trenerja.
devote	posvetiti	Vikende posveti študiju.
differ	razlikovati se	Njuna mnenja se ostro razlikujejo.
disability	invalidnost	Stavba ima dostop za invalide.
disabled	onemogočen	Invalidni športnik je osvojil medaljo.
disagreement	nesoglasje	Sestanek se je končal z nesoglasjem.
disappoint	razočarati	Rezultat lahko razočara navijače.
disappointment	razočaranje	Čutil je globoko razočaranje.
discourage	odvrniti	Ne odvrnite mladih učencev.
disorder	motnja	Zdravnik je diagnosticiral motnjo spanja.
distant	oddaljen	Gore so bile videti oddaljene.
distinct	različen	Zvoka sta si različna.
distinguish	razlikovati	Ali lahko razlikujete te barve?
distract	zmotiti	Hrup lahko zmoti učence.
disturb	motiti	Prosim, ne motite pacienta.
dive	potapljati se	Potapljali se bodo blizu grebena.
diverse	raznolik	Mesto ima raznolike kulture.
diversity	raznolikost	Praznujemo kulturno raznolikost.
divorce	ločitev	Ločitev je bila težka za vse.
dominant	prevladujoč	Prevladujoča ekipa je nadzorovala igro.
donation	donacija	Dobrodelna organizacija je prejela donacijo.
dot	pika	Postavite piko za številko.
downtown	središče mesta	Po službi smo se dobili v središču mesta.
dramatically	dramatično	Cena je dramatično padla.
drought	suša	Suša je uničila pridelke.
dull	dolgočasen	Predavanje je bilo dolgočasno.
dump	odvreči	Tukaj ne odvrzite smeti.
duration	trajanje	Trajanje leta je tri ure.
dynamic	dinamičen	Učilnica se je zdela dinamična.
economics	ekonomija	Na univerzi študira ekonomijo.
economist	ekonomist	Ekonomist je napovedal počasnejšo rast.
editorial	uredniški	Uvodnik je kritiziral zakon.
efficiently	učinkovito	Ekipa je delovala učinkovito.
elbow	komolec	Poškodoval si je komolec.
electronics	elektronika	Trgovina prodaja elektroniko.
elegant	eleganten	Obleka je bila videti elegantna.
elementary	osnoven	Knjiga razlaga osnovno slovnico.
eliminate	odpraviti	Ekipa je odpravila več napak.
embrace	sprejeti	Sprejela je novo idejo.
emission	emisija	Stopnja emisij avtomobilov je padla.
emotionally	čustveno	O svoji družini je govoril čustveno.
empire	imperij	Imperij je trajal stoletja.
enjoyable	prijeten	Izlet je bil prijeten.
entertaining	zabaven	Predstava je bila zabavna.
entrepreneur	podjetnik	Podjetnik je odprl kavarno.
envelope	ovojnica	Dajte pismo v ovojnico.
equip	opremiti	Šola bo opremila laboratorij.
equivalent	ekvivalent	En dolar tukaj ni enakovreden.
era	doba	Odkritje je začelo novo dobo.
erupt	izbruhniti	Vulkan bi lahko kmalu izbruhnil.
essentially	v bistvu	Metodi sta v bistvu enaki.
ethic	etika	Njegova delovna etika je močna.
ethnic	etničen	Festival slavi etnične tradicije.
evaluation	ocena	Tečaj vključuje končno oceno.
evident	očiten	Njegova živčnost je bila očitna.
evolution	evolucija	Evolucija pojasnjuje mnoge biološke spremembe.
evolve	razviti	Jeziki se sčasoma razvijajo.
exceed	preseči	Povpraševanje bi lahko preseglo ponudbo.
exception	izjema	Obstaja ena izjema.
excessive	pretiran	Pretiran hrup moti sosede.
exclude	izključiti	Seznam izključuje začasne delavce.
exhibit	eksponat	Muzej bo razstavil redke fotografije.
exit	izhod	Izhod je za odrom.
exotic	eksotičen	Trgovina prodaja eksotično sadje.
expansion	širitev	Podjetje je načrtovalo širitev.
expertise	strokovnost	Njeno strokovno znanje je izboljšalo projekt.
exploit	izkoristiti	Kriminalci izkoriščajo šibka gesla.
exposure	izpostavljenost	Izpostavljenost soncu lahko poškoduje kožo.
extension	podaljšanje	Podaljšanje roka je pomagalo vsem.
extensive	obsežen	Knjižnica ima obsežne vire.
extensively	obsežno	Tema je bila obsežno raziskana.
extract	izvleček	Izvleček vanilije daje okus.
fabric	tkanina	Tkanina je mehka na dotik.
fabulous	čudovit	Obrok je bil čudovit.
failed	neuspešen	Neuspešen poskus nas je nečesa naučil.
fake	lažen	Spletna stran je prodajala lažne vstopnice.
fame	slava	Slava je spremenila njegovo zasebno življenje.
fantasy	fantazija	Roman je fantazija.
fare	voznina	Voznina za avtobus se je povišala.
federal	zvezen	Zvezna vlada je objavila financiranje.
fever	vročina	Otrok ima vročino.
firefighter	gasilec	Gasilec je rešil psa.
firework	ognjemet	Nad parkom je eksplodiral ognjemet.
firm	trden	Vzmetnica je čvrsta.
firmly	trdno	Trdno je zaprla vrata.
flavour	okus	Juha ima bogat okus.
fond	nežen	Naklonjen je jazzu.
fool	bedak	Ne obnašaj se kot bedak.
forbid	prepovedati	Zakon tukaj prepoveduje kajenje.
forecast	napoved	Napoved predvideva dež.
format	format	Uporabite pravilen format datoteke.
formation	formacija	Nastanek oblakov se hitro spreminja.
formerly	nekoč	Stavba je bila prej šola.
fortunate	srečen	Imeli smo srečo, da smo prispeli zgodaj.
forum	forum	Na forumu so razpravljali o podnebni politiki.
fossil	fosil	Fosil so našli v kamnu.
foundation	temelj	Hiša ima močne temelje.
founder	ustanovitelj	Ustanovitelj je pozdravil goste.
fraction	delček	Prišel je le delček študentov.
fragment	fragment	Na tleh je ležal drobec stekla.
framework	okvir	Zakon ustvarja jasen okvir.
fraud	prevara	Banka je odkrila prevaro.
freely	svobodno	Otroci so se prosto igrali zunaj.
frequent	pogost	Pogosti odmori izboljšajo zbranost.
fulfil	izpolniti	Upam, da bom izpolnil svojo obljubo.
full-time	polni delovni čas	Ima službo za polni delovni čas.
fundamentally	v osnovi	Načrt se v osnovi razlikuje.
furious	besen	Bil je besen zaradi zamude.
gaming	igranje iger	Igranje iger lahko izboljša hitrost reakcije.
gay	gejevski	Podpira pravice gejev.
gender	spol	V anketi so spraševali po spolu.
gene	gen	Gen vpliva na barvo oči.
genetic	genetski	Bolezen ima genetske vzroke.
genius	genij	Mladi pianist je genij.
genuine	pristen	Njen nasmeh se je zdel pristen.
genuinely	iskreno	Iskreno je želel pomagati.
gesture	gesta	Naredila je prijazno gesto.
gig	nastop	Skupina je imela nastop v središču mesta.
globalization	globalizacija	Globalizacija vpliva na lokalna podjetja.
globe	globus	Globus prikazuje vsako celino.
golden	zlat	Sončni zahod je postal zlat.
goodness	dobrota	Verjame v človeško dobroto.
gorgeous	čudovit	Vrt je bil videti čudovit.
governor	guverner	Guverner je podpisal predlog zakona.
graphic	grafičen	Nazorna slika je šokirala gledalce.
graphics	grafika	Igra ima preprosto grafiko.
greatly	močno	Tvoj nasvet je zelo pomagal.
greenhouse	rastlinjak	Paradižniki rastejo v rastlinjaku.
grocery	trgovina z živili	Po službi je kupila živila.
guideline	smernica	Smernica razlaga varno prakso.
habitat	življenjski prostor	Gozd je življenjski prostor ptic.
harbour	pristanišče	Čoln je vplul v pristanišče.
headquarters	sedež	Sedež podjetja se je preselil v središče mesta.
