source_headword	TL	example_TL
beauty	kagandahan	Hinangaan namin ang kagandahan ng mga bundok.
bee	bubuyog	Dumapo ang bubuyog sa bulaklak.
belief	paniniwala	Binigyan siya ng tapang ng kanyang paniniwala.
bell	kampana	Malakas na tumunog ang kampana ng paaralan.
bend	yumuko	Yumuko ang iyong tuhod kapag bumubuhat ka.
bite	kagatin	Maaaring kagatin ng aso ang mga estranghero.
block	harangin	Hinarang ng natumbang puno ang daan.
bomb	bomba	Nasira ng bomba ang ilang gusali.
border	hangganan	Tumawid sila sa hangganan sa gabi.
bother	abalahin	Huwag mong abalahin ang kapatid mo.
branch	sanga	Nabali ang isang sanga sa bagyo.
brand	brand	Sikat ang brand na ito sa mga estudyante.
brave	matapang	Iniligtas ng matapang na lalaki ang bata.
breath	hininga	Huminga ka nang malalim.
breathe	huminga	Hindi ako makahinga sa usok na ito.
breathing	paghinga	Mabagal ang kanyang paghinga.
bride	nobya	Nagsuot ng puting damit ang nobya.
bubble	bula	Lumutang ang bula sa ibabaw ng baso.
bury	ibaon	Ibinaon nila ang kahon sa buhangin.
calm	kalmado	Manatiling kalmado habang may pagsusulit.
campaign	kampanya	Nakalikom ng pera ang kampanya para sa mga paaralan.
campus	kampus	Nakatira ang mga estudyante malapit sa kampus.
candidate	kandidato	Sinagot ng bawat kandidato ang tatlong tanong.
cap	sumbrero	Nagsuot siya ng baseball cap.
captain	kapitan	Kinausap ng kapitan ang koponan.
careless	pabaya	Nag-aksaya ng oras ang isang pabaya na pagkakamali.
category	kategorya	Piliin ang tamang kategorya.
ceiling	kisame	Pininturahan ng puti ang kisame.
celebration	pagdiriwang	Tumagal buong gabi ang pagdiriwang.
central	sentral	Sentral ang lokasyon ng hotel.
ceremony	seremonya	Nagsimula ang seremonya sa tanghali.
chain	kadena	Nagsuot siya ng pilak na kadena.
challenge	hamon	Tunay na hamon ang proyektong ito.
champion	kampeon	Pinasalamatan ng kampeon ang kanyang coach.
channel	channel	Pakipalitan ang channel.
chapter	kabanata	Basahin ang susunod na kabanata ngayong gabi.
charge	bayad	Walang bayad para sa mga bata.
cheat	mandaya	Huwag mandaya sa pagsusulit.
cheerful	masayahin	Masayahin ang boses niya kaninang umaga.
chemical	kemikal	Malakas ang amoy ng kemikal.
chest	dibdib	Sumakit ang dibdib niya pagkatapos tumakbo.
childhood	pagkabata	Naaalala ko ang bahay ko noong pagkabata.
claim	angkinin	Sinasabi nilang ligtas ang produkto.
clause	sugnay	Binabago ng sugnay na ito ang kahulugan.
click	i-click	I-click ang asul na pindutan.
client	kliyente	Humingi ng mas maraming detalye ang kliyente.
cloth	tela	Punasan ang mesa gamit ang telang ito.
clue	pahiwatig	Nakatulong ang pahiwatig sa amin na malutas ito.
coal	uling	Gumamit ng uling ang lumang tren.
coin	barya	Nakakita siya ng barya sa sahig.
collection	koleksyon	Malaki ang koleksyon niya ng selyo.
coloured	makulay	Nagsuot siya ng makulay na scarf.
combine	pagsamahin	Pagsamahin ang harina at tubig.
commercial	patalastas	Tumagal ng limang minuto ang commercial break.
commit	mangako	Kailangan nating mangako sa plano.
communication	komunikasyon	Nakaiiwas sa pagkakamali ang mabuting komunikasyon.
comparison	paghahambing	Kapaki-pakinabang ang paghahambing na ito.
competitive	mapagkumpitensya	Napakamapagkumpitensya ng merkado.
competitor	kakumpitensya	Ibinaba ng pangunahing kakumpitensya namin ang presyo.
complaint	reklamo	Nagreklamo siya tungkol sa ingay.
complex	masalimuot	Masyadong masalimuot ang mga tagubilin.
concentrate	magpokus	Hindi ako makapagpokus kapag may musika.
conclude	tapusin	Tinatapos na namin ang pulong.
conclusion	konklusyon	Mukhang makatuwiran ang kanyang konklusyon.
confident	tiwala	Naging tiwala siya bago ang interbyu.
confirm	kumpirmahin	Pakikumpirma ang iyong email address.
confuse	lituhin	Nalilito ako sa dalawang pangalang ito.
confused	nalilito	Nalito ako sa mapa.
connection	koneksyon	Mabagal ang internet connection.
consequence	bunga	May bunga ang kulang sa tulog.
consist	binubuo	Binubuo ng tatlong putahe ang pagkain.
consume	kumonsumo	Mas maraming gasolina ang kinokonsumo ng malalaking kotse.
consumer	konsyumer	Gusto ng konsyumer ng malinaw na impormasyon.
contact	kontakin	Kontakin mo ako pagkatapos ng tanghalian.
container	lalagyan	Ilagay ang sopas sa lalagyan.
content1	nilalaman	Kapaki-pakinabang ang nilalaman ng kurso.
continuous	tuloy-tuloy	Gumawa ng tuloy-tuloy na ingay ang makina.
contrast	pagkakaiba	Malinaw ang pagkakaiba nila.
convenient	maginhawa	Maginhawa ang istasyon.
convince	kumbinsihin	Nakumbinsi niya itong subukang muli.
costume	kasuotan	Nagsuot siya ng kasuotang pirata.
cottage	munting bahay	Nagrenta sila ng munting bahay.
cotton	koton	Gawa sa koton ang kamisetang ito.
countryside	kanayunan	Naglakad kami sa kanayunan.
court	hukuman	Napunta sa hukuman ang kaso.
covered	natakpan	Natakpan ng mga papel ang mesa.
cruel	malupit	Malupit ang tumawa.
cultural	pangkultura	Nag-aalok ng mga pangkulturang event ang museo.
currency	salapi	Euro ang lokal na salapi.
current	kasalukuyan	Mahirap ang kasalukuyang sitwasyon.
currently	sa kasalukuyan	Nag-aaral siya sa ibang bansa sa kasalukuyan.
curtain	kurtina	Isara ang kurtina sa gabi.
custom	kaugalian	Napakaluma ng kaugaliang ito.
damage	pinsala	Nagdulot ng malubhang pinsala ang bagyo.
decade	dekada	Nanirahan sila roon nang isang dekada.
decorate	palamutian	Sabay naming pinalamutian ang silid.
define	tukuyin	Maaari mo bang tukuyin ang salitang ito?
definite	tiyak	Kailangan namin ng tiyak na sagot.
definition	kahulugan	Isulat ang kahulugan sa iyong kuwaderno.
deliver	ihatid	Naghahatid sila ng pagkain sa bahay namin.
departure	pag-alis	Nagbago ang oras ng pag-alis.
despite	sa kabila ng	Sa kabila ng ulan, naglakad kami.
destination	destinasyon	Paris ang kanilang huling destinasyon.
determine	tukuyin	Tinutukoy ng mga pagsusulit ang antas mo.
determined	determinado	Determinado siyang magtagumpay.
development	pag-unlad	Mabilis ang pag-unlad ng bayan.
diagram	dayagram	Gumuhit ng simpleng dayagram.
diamond	brilyante	May maliit na brilyante ang singsing.
difficulty	hirap	Nahirapan siyang buksan ang pinto.
directly	direkta	Pakikipag-usap nang direkta sa akin.
dirt	dumi	Natabunan ng dumi ang kanyang sapatos.
disadvantage	kahinaan	Kahinaan ang mahabang biyahe.
disappointed	nadismaya	Nadismaya siya sa resulta.
disappointing	nakakadismaya	Nakakadismaya ang wakas.
discount	diskwento	May diskwento ang mga estudyante rito.
dislike	ayawan	Ayaw ko ng napakalakas na musika.
divide	hatiin	Hatiin ang cake sa mga piraso.
documentary	dokumentaryo	Nanood kami ng dokumentaryo tungkol sa kalawakan.
donate	mag-donate	Maraming tao ang nagdo-donate ng lumang damit.
doubt	duda	Wala akong duda tungkol dito.
dressed	nakabihis	Nakabihis siya ng itim.
drum	tambol	Tumunog ang tambol sa buong silid.
drunk	lasing	Lasing ang drayber.
due	nakatakda	Nakatakda bukas ang ulat.
dust	alikabok	Natakpan ng alikabok ang lumang mga libro.
duty	tungkulin	Tungkulin kong tumulong.
earthquake	lindol	Nasira ng lindol ang tulay.
eastern	silanganin	Mahangin ang silangang baybayin.
economic	pang-ekonomiya	Nakaharap ang bansa sa mga problemang pang-ekonomiya.
economy	ekonomiya	Lumago ang ekonomiya ngayong taon.
edge	gilid	Lumayo ka sa gilid.
editor	patnugot	Sinuri ng patnugot ang artikulo.
educate	mag-aral; magturo	Tinuturuan ng mga paaralan ang kabataan.
educated	edukado	Mataas ang pinag-aralan niya.
educational	pang-edukasyon	Pang-edukasyon ang laro.
effective	mabisa	Mabisa ang gamot na ito.
effectively	nang mabisa	Ipinaliwanag niya nang mabisa ang tuntunin.
effort	pagsisikap	Nagdulot ng pagbabago ang iyong pagsisikap.
election	halalan	Malapit ang resulta ng halalan.
element	elemento	Mahalagang elemento ang tiwala.
embarrassed	napahiya	Napahiya siya pagkatapos madapa.
embarrassing	nakakahiya	Nakakahiya ang pagkakamaling iyon.
emergency	emergency	Tawagan ang numerong ito sa emergency.
emotion	damdamin	Malakas na damdamin ang takot.
employment	trabaho	Tumaas ang trabaho ngayong buwan.
encourage	hikayatin	Hinihikayat ng mga guro ang mga estudyanteng magbasa.
enemy	kaaway	Magkaaway ang dalawang bansa.
engaged	nakipagtipan	Nakipagtipan sila noong nakaraang tagsibol.
engineering	inhinyeriya	Nag-aaral siya ng inhinyeriya sa unibersidad.
entertain	maglibang	Lilibangin ng mang-aawit ang mga bisita.
entertainment	libangan	Nag-aalok ang lungsod ng libangan sa gabi.
entrance	pasukan	Magkita tayo sa pasukan.
entry	pagpasok	Libre ang pagpasok para sa mga bata.
environmental	pangkapaligiran	Pinag-usapan namin ang mga problemang pangkapaligiran.
episode	episode	Kapana-panabik ang huling episode.
equal	pantay	Tumatanggap sila ng pantay na sahod.
equally	pantay-pantay	Pantay-pantay na hinati ang trabaho.
escape	tumakas	Sinubukan ng mga bilanggo na tumakas.
essential	mahalaga	Mahalaga ang tubig para sa buhay.
eventually	kalaunan	Kalaunan, nahanap namin ang hotel.
examine	suriin	Sinuri ng doktor ang braso ko.
exchange	palitan	Nagkaroon kami ng palitan sa tindahan.
excitement	kasabikan	Puno ng kasabikan ang laro.
exhibition	eksibisyon	Magbubukas bukas ang eksibisyon ng sining.
expand	palawakin	Plano ng kumpanya na palawakin.
expected	inaasahan	Mataas ang inaasahang gastos.
expedition	ekspedisyon	Tumawid sa disyerto ang ekspedisyon.
experienced	may karanasan	May karanasan siyang nars.
explode	sumabog	Maaaring sumabog ang bote sa init.
explore	galugarin	Ginalugad namin ang lumang bayan.
explosion	pagsabog	Nabasag ng pagsabog ang ilang bintana.
export	eksport	Mahalagang eksport ang kape.
fairly	medyo	Medyo madali ang pagsusulit.
familiar	pamilyar	Mukhang pamilyar ang mukha niya.
fancy	gustuhin	Gusto mo ba ng kape?
fascinating	kaakit-akit	Kaakit-akit ang kuwento.
fashionable	uso	Uso ang mga sapatos na iyon.
fasten	ikabit	Ikabit ang iyong seat belt.
favour	pabor	Magagawa mo ba ako ng pabor?
fence	bakod	Napalilibutan ng bakod ang hardin.
fighting	labanan	Tumigil ang labanan sa madaling-araw.
file	file	I-save ang file bago isara.
financial	pinansyal	Kailangan niya ng payong pinansyal.
fitness	kondisyon	Pinapabuti ng pagtakbo ang iyong kondisyon.
fixed	nakapirmi	Nakapirmi ang presyo.
flag	watawat	Lumipad ang watawat sa ibabaw ng paaralan.
flood	baha	Nasira ng baha ang maraming bahay.
flour	harina	Idagdag ang harina sa mangkok.
flow	umagos	Umaagos ang ilog sa bayan.
fold	tiklupin	Tiklupin ang papel sa kalahati.
folk	katutubo	Pumuno sa bulwagan ang musikang katutubo.
force	lakas	Malakas ang puwersa ng hangin.
forever	magpakailanman	Maaalala ko ito magpakailanman.
frame	kuwadro	Kailangan ng kuwadro ang larawan.
freeze	magyelo	Magyeyelo ang tubig magdamag.
frequently	madalas	Madalas niyang dalawin ang kanyang mga magulang.
friendship	pagkakaibigan	Tumagal ng maraming taon ang kanilang pagkakaibigan.
frighten	takutin	Nakakatakot sa sanggol ang malalakas na ingay.
frightened	takot	Mukhang takot ang bata.
frightening	nakakatakot	Nakakatakot ang bagyo.
frozen	nagyelo	Nagyelo ang lawa.
fry	iprito	Iprito ang sibuyas nang limang minuto.
fuel	gasolina	Kailangan ng kotse ng mas maraming gasolina.
function	gamit	May isang gamit ang pindutang ito.
fur	balahibo	May malambot na balahibo ang pusa.
garage	garahe	Nasa garahe ang kotse.
gather	magtipon	Nagtipon kami sa paligid ng mesa.
generally	karaniwan	Karaniwan siyang maagang dumarating.
generation	henerasyon	Harap ng bawat henerasyon ang bagong problema.
generous	mapagbigay	Mapagbigay siya sa kanyang oras.
gentle	malumanay	Gumamit ng malumanay na boses.
gentleman	ginoo	Binuksan ng ginoo ang pinto.
ghost	multo	Binabanggit ng kuwento ang isang multo.
giant	higante	Pinuno ng higanteng screen ang entablado.
glad	natutuwa	Natutuwa akong dumating ka.
global	pandaigdig	Pandaigdig na isyu ang climate change.
glove	guwantes	Nawala ko ang isang guwantes.
goods	kalakal	Huli dumating ang mga kalakal.
grade	marka	Nakakuha siya ng mataas na marka.
graduate	graduate	Kamakailan lang siyang graduate.
grain	butil	Nalaglag ang isang butil ng bigas.
grateful	nagpapasalamat	Nagpapasalamat ako sa iyong suporta.
growth	paglago	Nagpakita ng tuloy-tuloy na paglago ang halaman.
guard	guwardiya	Sinuri ng guwardiya ang aming tiket.
guilty	nagkasala	Nakonsensya siya sa pagsisinungaling.
hang	isabit	Isabit mo ang iyong coat dito.
happiness	kaligayahan	Hindi nabibili ng pera ang kaligayahan.
hardly	halos hindi	Halos hindi kita marinig.
headline	ulo ng balita	Nakuha ng ulo ng balita ang pansin ko.
heating	pampainit	Huminto sa paggana ang pampainit.
heavily	malakas	Umulan nang malakas buong gabi.
helicopter	helikopter	Lumapag ang helikopter sa malapit.
highlight	i-highlight	Paki-highlight ang pangunahing ideya.
highly	lubos	Lubos siyang iginagalang.
hire	umupa	Kailangan naming umupa ng kotse.
historic	makasaysayan	Bumisita kami sa makasaysayang gusali.
historical	pangkasaysayan	Mahilig siya sa mga nobelang pangkasaysayan.
honest	tapat	Pakibigay ang tapat na sagot.
horrible	kakila-kilabot	Kakila-kilabot ang amoy.
horror	katatakutan	Mahilig siya sa mga pelikulang katatakutan.
host	host; punong-abala	Tinanggap ng punong-abala ang bawat bisita.
