simplified	KM	example_KM
个	លក្ខណនាមទូទៅ	ខ្ញុំមានមិត្តភក្តិម្នាក់។
工作	ធ្វើការ; ការងារ	ខ្ញុំធ្វើការនៅប៉េកាំង។
狗	ឆ្កែ	ខ្ញុំចូលចិត្តឆ្កែ។
汉语	ភាសាចិន	ខ្ញុំរៀនភាសាចិន។
好	ល្អ	អាកាសធាតុថ្ងៃនេះល្អណាស់។
喝	ផឹក	ខ្ញុំផឹកទឹក។
和	និង; ជាមួយ	ខ្ញុំទៅសាលារៀនជាមួយមិត្តភក្តិ។
很	ណាស់	នាងស្អាតណាស់។
后面	ខាងក្រោយ; នៅពីក្រោយ	សាលារៀននៅខាងក្រោយភោជនីយដ្ឋាន។
回	ត្រឡប់; ត្រឡប់មកវិញ	ខ្ញុំត្រឡប់ទៅផ្ទះ។
会	ចេះ; អាច	ខ្ញុំចេះនិយាយភាសាចិន។
火车站	ស្ថានីយ៍រថភ្លើង	ស្ថានីយ៍រថភ្លើងធំ។
几	ប៉ុន្មាន; ខ្លះ	អ្នកមានមិត្តភក្តិប៉ុន្មាននាក់?
家	ផ្ទះ; គ្រួសារ	ផ្ទះរបស់ខ្ញុំនៅប៉េកាំង។
叫	ហៅ; មានឈ្មោះ	អ្នកឈ្មោះអ្វី?
今天	ថ្ងៃនេះ	ថ្ងៃនេះក្តៅ។
九	ប្រាំបួន	ឥឡូវម៉ោងប្រាំបួន។
开	បើក	ខ្ញុំបើកកុំព្យូទ័រ។
看	មើល; អាន	ខ្ញុំអានសៀវភៅ។
看见	ឃើញ	ខ្ញុំឃើញគ្រូ។
块	ដុំ; យន់	សៀវភៅនេះតម្លៃដប់យន់។
来	មក	គាត់មកសាលារៀន។
老师	គ្រូ; លោកគ្រូ; អ្នកគ្រូ	គ្រូនៅសាលារៀន។
了	បាន...ហើយ; ភាគល្អិតបញ្ចប់	ខ្ញុំបានញ៉ាំបាយហើយ។
冷	ត្រជាក់	ថ្ងៃនេះត្រជាក់។
里	ខាងក្នុង; ក្នុង	មានទឹកនៅក្នុងពែង។
零	សូន្យ	សូន្យមិនមែនជាលេខមួយទេ។
六	ប្រាំមួយ	ឥឡូវម៉ោងប្រាំមួយ។
妈妈	ម៉ាក់; ម្តាយ	ម៉ាក់ផឹកតែ។
吗	ភាគល្អិតសំណួរ	អ្នកជាសិស្សមែនទេ?
买	ទិញ	ខ្ញុំទិញផ្លែប៉ោម។
猫	ឆ្មា	ឆ្មានៅលើកៅអី។
没	មិនមាន; មិនទាន់	ខ្ញុំមិនមានលុយទេ។
没关系	មិនអីទេ	មិនអីទេ។
米饭	បាយ	ខ្ញុំញ៉ាំបាយ។
名字	ឈ្មោះ	ឈ្មោះរបស់អ្នកជាអ្វី?
明天	ថ្ងៃស្អែក	ថ្ងៃស្អែកខ្ញុំទៅប៉េកាំង។
哪	ណា; នៅឯណា	អ្នកទៅណា?
那	នោះ	នោះជាគ្រូរបស់ខ្ញុំ។
呢	ចុះ; ភាគល្អិតសំណួរ	ចុះអ្នកវិញ?
能	អាច	ខ្ញុំអាចទៅបានទេ?
你	អ្នក	អ្នកសុខសប្បាយទេ?
年	ឆ្នាំ	មួយឆ្នាំមានដប់ពីរខែ។
女儿	កូនស្រី	កូនស្រីរបស់នាងស្អាតណាស់។
朋友	មិត្តភក្តិ	គាត់ជាមិត្តភក្តិរបស់ខ្ញុំ។
漂亮	ស្អាត	នាងស្អាតណាស់។
苹果	ផ្លែប៉ោម	ខ្ញុំចូលចិត្តផ្លែប៉ោម។
七	ប្រាំពីរ	ឥឡូវម៉ោងប្រាំពីរ។
前面	ខាងមុខ; នៅពីមុខ	ភោជនីយដ្ឋាននៅខាងមុខហាង។
钱	លុយ; ប្រាក់	ខ្ញុំមិនមានលុយទេ។
请	សូម; អញ្ជើញ	សូមផឹកតែ។
去	ទៅ	ខ្ញុំទៅសាលារៀន។
热	ក្តៅ	ថ្ងៃនេះក្តៅ។
人	មនុស្ស	មានមនុស្សច្រើននៅសាលារៀន។
认识	ស្គាល់	ខ្ញុំស្គាល់គាត់។
日	ថ្ងៃ; កាលបរិច្ឆេទ	ថ្ងៃនេះជាថ្ងៃទីមួយ ខែមីនា។
三	បី	ខ្ញុំមានពែងបី។
商店	ហាង	ហាងនៅខាងមុខសាលារៀន។
上	លើ; ខាងលើ	សៀវភៅនៅលើតុ។
上午	ពេលព្រឹក	ពេលព្រឹកខ្ញុំរៀនភាសាចិន។
少	តិច	មានសិស្សតិច។
什么	អ្វី	នេះជាអ្វី?
十	ដប់	ខ្ញុំមានសៀវភៅដប់ក្បាល។
时候	ពេល; ពេលវេលា	អ្នកមកពេលណា?
是	ជា; គឺ	ខ្ញុំជាសិស្ស។
书	សៀវភៅ	ខ្ញុំអានសៀវភៅ។
谁	អ្នកណា	គាត់ជាអ្នកណា?
水	ទឹក	ខ្ញុំផឹកទឹក។
水果	ផ្លែឈើ	ខ្ញុំទិញផ្លែឈើ។
睡觉	គេង; ចូលគេង	ខ្ញុំទៅគេង។
说话	និយាយ	គ្រូកំពុងនិយាយ។
四	បួន	ខ្ញុំមានមិត្តភក្តិបួននាក់។
岁	អាយុ ... ឆ្នាំ	ខ្ញុំអាយុដប់ឆ្នាំ។
他	គាត់; លោក	គាត់ជាគ្រូ។
她	នាង; គាត់	នាងជាសិស្សស្រី។
太	ពេក; ណាស់	ពែងនេះធំពេក។
天气	អាកាសធាតុ	អាកាសធាតុថ្ងៃនេះល្អណាស់។
听	ស្តាប់; ឮ	ខ្ញុំស្តាប់គ្រូនិយាយ។
同学	មិត្តរួមថ្នាក់	គាត់ជាមិត្តរួមថ្នាក់របស់ខ្ញុំ។
喂	អាឡូ	អាឡូ សួស្តី។
我	ខ្ញុំ	ខ្ញុំជាគ្រូពេទ្យ។
我们	យើង; ពួកយើង	យើងទៅសាលារៀន។
五	ប្រាំ	ខ្ញុំមានផ្លែប៉ោមប្រាំផ្លែ។
喜欢	ចូលចិត្ត	ខ្ញុំចូលចិត្តផឹកតែ។
下	ក្រោម; ខាងក្រោម; បន្ទាប់	សៀវភៅនៅក្រោមតុ។
下午	ពេលរសៀល	ពេលរសៀលខ្ញុំទៅហាង។
下雨	ភ្លៀងធ្លាក់	ថ្ងៃនេះភ្លៀងធ្លាក់។
先生	លោក; ស្វាមី	សួស្តី លោក។
现在	ឥឡូវ; ឥឡូវនេះ	ឥឡូវនេះខ្ញុំនៅសាលារៀន។
想	ចង់; គិត; នឹក	ខ្ញុំចង់ផឹកទឹក។
小	តូច	ពែងនេះតូច។
小姐	កញ្ញា; នារីវ័យក្មេង	សួស្តី កញ្ញា។
些	ខ្លះ; មួយចំនួន	ខ្ញុំមានសៀវភៅខ្លះ។
写	សរសេរ	ខ្ញុំសរសេរអក្សរ។
谢谢	អរគុណ	អរគុណ។
星期	សប្តាហ៍; ថ្ងៃក្នុងសប្តាហ៍	ថ្ងៃនេះជាថ្ងៃច័ន្ទ។
学生	សិស្ស; និស្សិត	ខ្ញុំជាសិស្ស។
学习	រៀន; សិក្សា	ខ្ញុំរៀនភាសាចិន។
学校	សាលារៀន	សាលារៀនធំ។
一	មួយ	ខ្ញុំមានពែងមួយ។
衣服	សម្លៀកបំពាក់	ខ្ញុំទិញសម្លៀកបំពាក់។
医生	គ្រូពេទ្យ; វេជ្ជបណ្ឌិត	នាងជាគ្រូពេទ្យ។
医院	មន្ទីរពេទ្យ	មន្ទីរពេទ្យនៅខាងមុខសាលារៀន។
椅子	កៅអី	កៅអីនៅខាងក្រោយតុ។
有	មាន	ខ្ញុំមានមិត្តភក្តិ។
月	ខែ; ព្រះច័ន្ទ	ថ្ងៃនេះជាថ្ងៃទីបួន ខែឧសភា។
再见	លាហើយ; ជួបគ្នាពេលក្រោយ	លាហើយ លោកគ្រូ។
在	នៅ; កំពុង	ខ្ញុំនៅផ្ទះ។
怎么	យ៉ាងម៉េច; ដូចម្តេច	អក្សរនេះអានយ៉ាងម៉េច?
怎么样	យ៉ាងម៉េច; សុខសប្បាយយ៉ាងម៉េច	ថ្ងៃនេះអ្នកសុខសប្បាយយ៉ាងម៉េច?
这	នេះ	នេះជាសៀវភៅរបស់ខ្ញុំ។
中国	ចិន; ប្រទេសចិន	ខ្ញុំទៅប្រទេសចិន។
中午	ថ្ងៃត្រង់	ថ្ងៃត្រង់ខ្ញុំញ៉ាំបាយ។
住	រស់នៅ; ស្នាក់នៅ	ខ្ញុំរស់នៅប៉េកាំង។
桌子	តុ	សៀវភៅនៅលើតុ។
字	អក្សរ; តួអក្សរ	អក្សរនេះតូច។
昨天	ម្សិលមិញ	ម្សិលមិញខ្ញុំមើលភាពយន្ត។
坐	អង្គុយ; ជិះ	ខ្ញុំជិះយន្តហោះទៅប៉េកាំង។
做	ធ្វើ; ចម្អិន	ខ្ញុំធ្វើម្ហូប។
