source_headword	HI	example_HI
administrative	प्रशासनिक	प्रशासनिक कर्मचारी फॉर्म संभालते हैं।
administrator	व्यवस्थापक	व्यवस्थापक ने मेरा पासवर्ड रीसेट कर दिया।
admission	प्रवेश	संग्रहालय में प्रवेश निःशुल्क है।
adolescent	किशोर	किशोर को अतिरिक्त सहायता की आवश्यकता थी।
adoption	गोद लेना	गोद लेने से बच्चे को एक स्थिर घर मिल गया।
adverse	प्रतिकूल	दवा के प्रतिकूल प्रभाव हुए।
advocate	वकील / समर्थक	वकील ने किरायेदारों के अधिकारों का बचाव किया।
aesthetic	सौंदर्यपूर्ण	कमरे की शैली शांत और सौंदर्यपूर्ण है।
affection	स्नेह	उसने अपने परिवार के लिए स्नेह दिखाया।
aftermath	परिणाम	तूफान का परिणाम कठिन था।
aggression	आक्रामकता	शिक्षक ने छुट्टी के दौरान आक्रामकता देखी।
agricultural	कृषि	इस वर्ष कृषि निर्यात में वृद्धि हुई।
aide	सहायक	सहायक ने मंत्री का कार्यक्रम व्यवस्थित किया।
albeit	हालांकि	योजना ने काम किया, हालांकि धीरे-धीरे।
alert	सचेत करना	कृपया कर्मचारियों को तुरंत सचेत करें।
align	संरेखित करना	तीर सड़क के साथ संरेखित हैं।
alignment	संरेखण	पहिया संरेखण ने कार की हैंडलिंग में सुधार किया।
alike	एक जैसे	जुड़वां बच्चे सप्ताहांत पर एक जैसे कपड़े पहनते हैं।
allegation	आरोप	आरोप अखबार में छपा।
allege	आरोप लगाना	वे आरोप लगाते हैं कि धन खो गया था।
allegedly	कथित तौर पर	कथित तौर पर ड्राइवर ने चेतावनी को नजरअंदाज कर दिया।
alliance	गठबंधन	पार्टियों ने एक अस्थायी गठबंधन बनाया।
allocate	आवंटित करना	शहर स्कूलों के लिए धन आवंटित करेगा।
allocation	आवंटन	सीटों का आवंटन अनुचित था।
allowance	भत्ता	उसका भत्ता दोपहर के भोजन और परिवहन को कवर करता है।
ally	सहयोगी	कनाडा एक करीबी सहयोगी बन गया।
aluminium	एल्युमिनियम	फ्रेम एल्युमिनियम से बना है।
amateur	शौकिया	एक शौकिया फोटोग्राफर ने तस्वीर खींची।
ambassador	राजदूत	राजदूत ने स्थानीय छात्रों से मुलाकात की।
amend	संशोधन करना	संसद ने कानून में संशोधन करने के लिए मतदान किया।
amendment	संशोधन	संशोधन ने एक पैराग्राफ को बदल दिया।
amid	के बीच	बढ़ता तनाव के बीच भाषण आया।
analogy	समानता	शिक्षक ने एक सरल समानता का उपयोग किया।
anchor	लंगर	नाव ने द्वीप के पास लंगर डाला।
angel	देवदूत	बच्चे ने देवदूत की पोशाक पहनी थी।
anonymous	गुमनाम	शिकायत गुमनाम थी।
apparatus	उपकरण	प्रयोगशाला उपकरण को सफाई की आवश्यकता है।
appealing	आकर्षक	यह प्रस्ताव छात्रों को आकर्षक लगता है।
appetite	भूख	व्यायाम ने उसकी भूख बढ़ा दी।
applaud	ताली बजाना	दर्शकों ने जोर से ताली बजाना शुरू कर दिया।
applicable	लागू	छूट आज लागू है।
appoint	नियुक्त करना	बोर्ड एक निदेशक नियुक्त करेगा।
appreciation	प्रशंसा	उसने उनकी मदद के लिए प्रशंसा व्यक्त की।
arbitrary	मनमाना	समय सीमा कर्मचारियों को मनमानी लगी।
architectural	वास्तुशिल्प	शहर अपनी वास्तुशिल्प विरासत की रक्षा करता है।
archive	पुरालेख	पुरालेख पुरानी तस्वीरों को संग्रहीत करता है।
arena	अखाड़ा	बहस सार्वजनिक अखाड़े में चली गई।
arguably	यकीनन	यकीनन यह उनका सबसे अच्छा उपन्यास है।
arm	हथियार देना	गार्ड काफिले को हथियार देंगे।
array	श्रृंखला	दुकान उपकरणों की एक श्रृंखला प्रदान करती है।
articulate	स्पष्ट रूप से व्यक्त करना	वह जटिल विचारों को स्पष्ट रूप से व्यक्त कर सकती है।
ash	राख	आग के बाद राख ने कार को ढक लिया।
aspiration	आकांक्षा	उसकी आकांक्षा एक सर्जन बनने की है।
aspire	आकांक्षा करना	कई छात्र विदेश में अध्ययन करने की आकांक्षा रखते हैं।
assassination	हत्या	हत्या ने देश की राजनीति को बदल दिया।
assault	हमला	हमला स्टेशन के पास हुआ।
assemble	इकट्ठा करना	कर्मचारी हाथ से फर्नीचर इकट्ठा करते हैं।
assembly	सभा	स्कूल की सभा नौ बजे शुरू होती है।
assert	जोर देना	उसने अपने अधिकार का दावा करने की कोशिश की।
assertion	दावा	उसके दावे ने पैनल को चौंका दिया।
assurance	आश्वासन	प्रबंधक ने समर्थन का आश्वासन दिया।
asylum	शरण	परिवार ने सीमा पर शरण मांगी।
atrocity	क्रूरता	फिल्म ने युद्ध के समय की क्रूरता का वर्णन किया।
attain	प्राप्त करना	कम ही धावक वह गति प्राप्त करते हैं।
attendance	उपस्थिति	घोषणा के बाद उपस्थिति में सुधार हुआ।
attorney	वकील	वकील ने गवाह से पूछताछ की।
attribute	श्रेय देना	वैज्ञानिक इस वृद्धि का श्रेय प्रदूषण को देते हैं।
audit	लेखा परीक्षा	लेखा परीक्षा में कई त्रुटियां पाई गईं।
authentic	प्रामाणिक	रेस्तरां प्रामाणिक क्षेत्रीय भोजन परोसता है।
authorize	अधिकृत करना	केवल प्रबंधक ही धनवापसी को अधिकृत कर सकते हैं।
auto	ऑटो	ऑटो उद्योग तेज़ी से बदला।
autonomy	स्वायत्तता	क्षेत्र अधिक स्वायत्तता चाहता है।
availability	उपलब्धता	सीटों की उपलब्धता सीमित है।
await	प्रतीक्षा करना	कई संदेश आपके उत्तर की प्रतीक्षा कर रहे हैं।
backdrop	पृष्ठभूमि	पहाड़ों ने एक नाटकीय पृष्ठभूमि बनाई।
backing	समर्थन	प्रस्ताव को मतदाताओं का समर्थन मिला।
backup	बैकअप	सिस्टम रोज़ाना बैकअप बनाता है।
bail	ज़मानत	न्यायाधीश ने दोपहर में ज़मानत तय की।
ballot	मतपत्र	प्रत्येक मतदाता को एक मतपत्र मिला।
banner	बैनर	प्रवेश द्वार के ऊपर बैनर टंगा था।
bare	खाली	कमरे की दीवारें खाली थीं।
barrel	बैरल	बैरल पानी से भरा था।
bass1	बास	बास की आवाज़ गहरी और गर्म थी।
battlefield	युद्धभूमि	पुरानी युद्धभूमि एक स्मारक बन गई।
bay	खाड़ी	गाँव एक शांत खाड़ी के पास स्थित है।
beam	बीम	एक स्टील बीम छत को सहारा देता है।
beast	जानवर	कहानी एक भयंकर जानवर का वर्णन करती है।
behalf	ओर से	उसने अपनी टीम की ओर से बात की।
beloved	प्रिय	प्रिय शिक्षक आज सेवानिवृत्त हो गए।
bench	बेंच	वे लकड़ी के एक बेंच पर बैठ गए।
benchmark	बेंचमार्क	परीक्षण एक उद्योग बेंचमार्क बन गया।
beneath	नीचे	दस्तावेज़ फ़ोल्डर के नीचे थे।
beneficiary	लाभार्थी	उसका बेटा मुख्य लाभार्थी था।
betray	धोखा देना	अपने दोस्त के भरोसे को धोखा मत दो।
bind	बांधना	समझौता दोनों कंपनियों को बांध देगा।
biography	जीवनी	उनकी जीवनी की कई प्रतियाँ बिकीं।
bishop	बिशप	बिशप ने गाँव के चर्च का दौरा किया।
bizarre	विचित्र	फिल्म का अंत विचित्र था।
blade	ब्लेड	ब्लेड ने रस्सी काट दी।
blast	धमाका	धमाके से पास की खिड़कियाँ टूट गईं।
bleed	खून बहना	कट से बहुत खून बहने लगा।
blend	मिलाना	सॉस को चिकना होने तक मिलाएं।
bless	आशीर्वाद देना	पुजारी घर को आशीर्वाद देंगे।
blessing	आशीर्वाद	समर्थन मिलना एक आशीर्वाद था।
boast	शेखी बघारना	उसे पैसों के बारे में शेखी बघारना पसंद है।
bonus	बोनस	कर्मचारियों को छुट्टी का बोनस मिला।
boom	उछाल	शहर ने निर्माण में उछाल का अनुभव किया।
bounce	उछलना	गेंद बहुत ऊंची उछल सकती है।
boundary	सीमा	नदी सीमा को चिह्नित करती है।
bow1	झुकना	अभिनेता ने गहराई से झुककर अभिवादन किया।
breach	उल्लंघन	उल्लंघन ने निजी डेटा को उजागर कर दिया।
breakdown	विवरण	रिपोर्ट में लागत का विवरण शामिल है।
breakthrough	सफलता	यह खोज एक बड़ी सफलता थी।
breed	प्रजनन करना	ये पक्षी वसंत में प्रजनन करते हैं।
broadband	ब्रॉडबैंड	कार्यालय को तेज़ ब्रॉडबैंड की आवश्यकता है।
browser	ब्राउज़र	लॉग इन करने से पहले अपना ब्राउज़र अपडेट करें।
brutal	क्रूर	हमला क्रूर और अचानक था।
buck	डॉलर	टिकट की कीमत दस डॉलर है।
buddy	दोस्त	उसका दोस्त बाहर इंतज़ार कर रहा था।
buffer	बफर	पेड़ शोर का बफर बनाते हैं।
bulk	थोक	उन्होंने थोक में चावल खरीदा।
burden	बोझ	कर्ज एक भारी बोझ बन गया।
bureaucracy	नौकरशाही	नौकरशाही ने परमिट में देरी की।
burial	दफ़न	दफ़न भोर में हुआ।
burst	फटना	दबाव में पाइप फट सकता है।
cabinet	कैबिनेट	कैबिनेट ने योजना को मंज़ूरी दी।
calculation	गणना	गणना में कई मिनट लग गए।
canvas	कैनवास	कलाकार ने एक बड़े कैनवास पर चित्र बनाया।
capability	क्षमता	उपकरण में वायरलेस क्षमता है।
capitalism	पूंजीवाद	पूंजीवाद ने आधुनिक अर्थव्यवस्था को आकार दिया।
capitalist	पूंजीवादी	पूंजीवादी व्यवस्था निजी निवेश को पुरस्कृत करती है।
cargo	माल	जहाज़ चिकित्सा माल ले जा रहा था।
carriage	डिब्बा	ट्रेन का डिब्बा लगभग खाली था।
carve	नक्काशी करना	वह लकड़ी पर सावधानी से नक्काशी करेगा।
casino	कसीनो	कसीनो होटल के पास खुला।
casualty	हताहत	दुर्घटना में एक व्यक्ति हताहत हुआ।
catalogue	कैटलॉग	कैटलॉग हर उत्पाद को सूचीबद्ध करता है।
cater	खान-पान का प्रबंध करना	रेस्तरां बड़े कार्यक्रमों में खान-पान का प्रबंध कर सकता है।
cattle	मवेशी	मवेशी नदी के पास चर रहे थे।
caution	सावधानी	बर्फीली सड़कों पर सावधानी बरतें।
cautious	सतर्क	निवेशक इस सप्ताह सतर्क हैं।
cease	बंद करना	कारखाना जल्द ही उत्पादन बंद कर देगा।
cemetery	कब्रिस्तान	कब्रिस्तान से समुद्र दिखाई देता है।
chamber	कक्ष	मतदान के दौरान कक्ष में शांति थी।
chaos	अराजकता	देरी ने हवाई अड्डे पर अराजकता पैदा कर दी।
characterize	विशेषता बताना	विशेषज्ञ इस योजना को जोखिम भरा बताते हैं।
charm	आकर्षण	शहर में पुरानी दुनिया का आकर्षण है।
charter	चार्टर	चार्टर बुनियादी अधिकारों की रक्षा करता है।
chronic	पुरानी	वह पुरानी पीठ दर्द से पीड़ित है।
chunk	टुकड़ा	पनीर को एक टुकड़े में काट लें।
circulate	प्रसारित करना	कृपया आज एजेंडा प्रसारित करें।
circulation	प्रसार	समाचार पत्र के प्रसार में भारी गिरावट आई।
citizenship	नागरिकता	उसने फ्रांसीसी नागरिकता के लिए आवेदन किया।
civic	नागरिक	नागरिक नेताओं ने बैठक में भाग लिया।
civilian	नागरिक	कई नागरिक घरों को नुकसान पहुंचा।
clarity	स्पष्टता	आरेख ने रिपोर्ट में स्पष्टता ला दी।
clash	झड़प	मार्च के बाद झड़प शुरू हुई।
classification	वर्गीकरण	वर्गीकरण आकार पर निर्भर करता है।
cling	चिपकना	गीले कपड़े त्वचा से चिपक जाते हैं।
clinical	नैदानिक	नैदानिक ​​परीक्षण अगले महीने शुरू होगा।
closure	समापन	परिवार मामले के बाद समापन चाहता था।
cluster	समूह	पास ही घरों का एक समूह था।
coalition	गठबंधन	गठबंधन ने अपना बहुमत खो दिया।
coastal	तटीय	तटीय गाँवों ने बाढ़ की तैयारी की।
cocktail	कॉकटेल	उसने एक फलों का कॉकटेल मंगवाया।
cognitive	संज्ञानात्मक	संज्ञानात्मक कौशल अभ्यास से सुधरते हैं।
coincide	मेल खाना	यह उत्सव स्नातक होने के साथ मेल खाएगा।
collaborate	सहयोग करना	टीमें सॉफ्टवेयर पर सहयोग करती हैं।
collaboration	सहयोग	उनके सहयोग के अच्छे परिणाम मिले।
collective	सामूहिक	यह निर्णय एक सामूहिक प्रयास था।
collision	टक्कर	टक्कर ने राजमार्ग को अवरुद्ध कर दिया।
colonial	औपनिवेशिक	इस इमारत में औपनिवेशिक वास्तुकला है।
columnist	स्तंभकार	स्तंभकार ने नीति की आलोचना की।
combat	युद्ध	सैनिकों ने युद्ध के लिए प्रशिक्षण लिया।
commence	शुरू होना	समारोह दोपहर में शुरू होगा।
commentary	टिप्पणी	मैच की टिप्पणी जीवंत थी।
commentator	कमेंटेटर	कमेंटेटर ने निर्णय को स्पष्ट किया।
commerce	वाणिज्य	ऑनलाइन वाणिज्य तेजी से बढ़ा।
commissioner	आयुक्त	आयुक्त ने नए नियमों की घोषणा की।
commodity	वस्तु	गेहूं एक महत्वपूर्ण वस्तु है।
communist	कम्युनिस्ट	कम्युनिस्ट पार्टी ने एक बैठक आयोजित की।
companion	साथी	उसका कुत्ता एक वफादार साथी है।
comparable	तुलनीय	दोनों शहर आकार में तुलनीय हैं।
compassion	करुणा	नर्स ने बहुत करुणा दिखाई।
compel	मजबूर करना	सबूत जवाब देने के लिए मजबूर कर सकते हैं।
compelling	सम्मोहक	वृत्तचित्र ने एक सम्मोहक तर्क प्रस्तुत किया।
compensate	मुआवजा देना	कंपनी प्रभावित ग्राहकों को मुआवजा देगी।
compensation	मुआवजा	श्रमिकों ने उचित मुआवजे की मांग की।
competence	क्षमता	यह परीक्षण पेशेवर क्षमता को मापता है।
competent	सक्षम	वह एक सक्षम इंजीनियर है।
compile	संकलित करना	शोधकर्ता अस्पतालों से डेटा संकलित करते हैं।
complement	पूरक होना	यह शराब भोजन की पूरक होगी।
complexity	जटिलता	परियोजना में अप्रत्याशित जटिलता है।
compliance	अनुपालन	ऑडिट ने कानूनी अनुपालन की जांच की।
complication	जटिलता	सर्जरी में एक जटिलता थी।
comply	पालन करना	कंपनियों को नियमों का पालन करना चाहिए।
composition	रचना	इस रचना में वायलिन और पियानो शामिल हैं।
compromise	समझौता	इस समझौते ने दोनों पक्षों को संतुष्ट किया।
compute	गणना करना	प्रोग्राम कुल की गणना कर सकता है।
conceal	छिपाना	उसने नुकसान को छिपाने की कोशिश की।
concede	स्वीकार करना	मंत्री ने हार स्वीकार करने से इनकार कर दिया।
conceive	कल्पना करना	वे इससे बेहतर योजना की कल्पना नहीं कर सके।
conception	अवधारणा	फिल्म ने इतिहास के बारे में मेरी अवधारणा बदल दी।
concession	रियायत	कंपनी ने एक रियायत की पेशकश की।
condemn	निंदा करना	नेताओं ने सार्वजनिक रूप से हमले की निंदा की।
confer	प्रदान करना	यह पुरस्कार प्रतिष्ठा प्रदान करेगा।
confession	कबूलनामा	उसके कबूलनामे ने अदालत को चौंका दिया।
configuration	विन्यास	यह विन्यास नेटवर्क एक्सेस को नियंत्रित करता है।
confine	सीमित करना	नियम कुत्तों को इस क्षेत्र तक सीमित करते हैं।
confirmation	पुष्टि	हमें ईमेल द्वारा पुष्टि प्राप्त हुई।
confront	सामना करना	उसने समस्या का सामना करने का फैसला किया।
confrontation	टकराव	टकराव बिना हिंसा के समाप्त हो गया।
congratulate	बधाई देना	मैंने अपनी बहन को बधाई देने के लिए फोन किया।
congregation	मण्डली	मण्डली ने एक साथ गाया।
congressional	कांग्रेस का	कांग्रेस की सुनवाई घंटों चली।
conquer	जीतना	टीम को बाजार जीतने की उम्मीद है।
conscience	अंतरात्मा	उसकी अंतरात्मा झूठ बोलने की अनुमति नहीं देगी।
consciousness	चेतना	दुर्घटना ने उसकी चेतना को प्रभावित किया।
consecutive	लगातार	उसने लगातार तीन मैच जीते।
consensus	आम सहमति	समिति जल्दी आम सहमति पर पहुंच गई।
consent	सहमति	लिखित सहमति आवश्यक है।
conserve	संरक्षण करना	हम सूखे के दौरान पानी का संरक्षण करते हैं।
consistency	निरंतरता	भाषा अध्ययन में निरंतरता मायने रखती है।
consolidate	समेकित करना	कंपनी दो कार्यालयों को समेकित करेगी।
constituency	निर्वाचन क्षेत्र	उम्मीदवार ने हर निर्वाचन क्षेत्र का दौरा किया।
constitute	गठन करना	महिलाएं समिति का आधा हिस्सा बनाती हैं।
constitution	संविधान	संविधान स्वतंत्र भाषण की गारंटी देता है।
constitutional	संवैधानिक	अदालत ने संवैधानिक अधिकारों की समीक्षा की।
constraint	बाधा	बजट की बाधा ने परियोजना को सीमित कर दिया।
consultation	परामर्श	परामर्श दो सप्ताह तक चला।
contemplate	विचार करना	वह प्रस्ताव पर विचार करने के लिए रुकी।
contempt	अवमानना	उसने नियमों के प्रति अवमानना दिखाई।
contend	प्रतिस्पर्धा करना	कई फर्में अनुबंध के लिए प्रतिस्पर्धा करती हैं।
contender	दावेदार	वह एक मजबूत दावेदार है।
content2	संतुष्ट	वह परिणाम से संतुष्ट महसूस कर रहा था।
contention	विवाद	मुख्य विवाद धन से संबंधित है।
continually	लगातार	सिस्टम लगातार त्रुटियों की जांच करता है।
contractor	ठेकेदार	ठेकेदार ने छत की मरम्मत की।
contradiction	विरोधाभास	उनके बयान में विरोधाभास था।
contrary	विपरीत	विपरीत साक्ष्य ने मामले को बदल दिया।
contributor	योगदानकर्ता	वह एक नियमित योगदानकर्ता है।
conversion	रूपांतरण	रूपांतरण ने डॉलर को यूरो में बदल दिया।
convict	दोषी ठहराना	जूरी संदिग्ध को दोषी ठहरा सकती है।
conviction	दोषसिद्धि	उसकी दोषसिद्धि ने जनता को चौंका दिया।
cooperate	सहयोग करना	कृपया जांच में सहयोग करें।
cooperative	सहयोगी	कर्मचारी सहयोगी और शांत थे।
coordinate	समन्वय करना	वे हर सुबह डिलीवरी का समन्वय करते हैं।
coordination	समन्वय	अच्छे समन्वय ने समय बचाया।
coordinator	समन्वयक	समन्वयक ने प्रत्येक कार्य सौंपा।
cop	पुलिसकर्मी	स्टेशन के बाहर एक पुलिसकर्मी खड़ा था।
copper	तांबा	पाइप तांबे का बना है।
copyright	कॉपीराइट	यह छवि कॉपीराइट द्वारा सुरक्षित है।
correction	सुधार	शिक्षक ने एक सुधार किया।
correlate	सहसंबंधित होना	उच्च तनाव बीमारी के साथ सहसंबंधित हो सकता है।
correlation	सहसंबंध	अध्ययन में एक मजबूत सहसंबंध पाया गया।
correspond	मेल खाना	ये नंबर लेबल से मेल खाते हैं।
correspondence	पत्राचार	उनका पत्राचार वर्षों तक चला।
correspondent	संवाददाता	संवाददाता ने काहिरा से रिपोर्ट की।
corresponding	संबंधित	प्रत्येक बटन में एक संबंधित प्रकाश है।
corrupt	भ्रष्ट	भ्रष्ट अधिकारी ने पैसे लिए।
corruption	भ्रष्टाचार	भ्रष्टाचार ने जनता के विश्वास को कमजोर किया।
costly	महंगा	यह गलती टीम के लिए महंगी पड़ी।
councillor	पार्षद	पार्षद ने निवासियों के सवालों के जवाब दिए।
counselling	परामर्श	दुर्घटना के बाद उसे परामर्श मिला।
counsellor	परामर्शदाता	परामर्शदाता ने नए छात्रों की मदद की।
counter (argue against)	विरोध करना	उसने उसके तर्क का विरोध करने की कोशिश की।
counterpart	समकक्ष	वह अपने जापानी समकक्ष से मिला।
countless	अनगिनत	अनगिनत स्वयंसेवक खोज में शामिल हुए।
coup	तख्तापलट	तख्तापलट ने राष्ट्रपति को हटा दिया।
courtesy	शिष्टाचार	उसने उनके शिष्टाचार के लिए उन्हें धन्यवाद दिया।
