simplified	BG	example_BG
程序	процедура; ред	Моля, уреди го според процедурата.
诚恳	искрен	Отношението му е много искрено.
吃亏	губя; оставам ощетен	Гледай внимателно преди да купуваш, за да не останеш ощетен.
持续	продължавам	Дъждът продължи три дни.
池塘	езерце	В езерцето има много риби.
迟早	рано или късно	Рано или късно ще разбереш.
尺子	линия	Моля, измери го с линия.
翅膀	крило	Крилото на птицата е наранено.
充电器	зарядно	Зарядното ми се счупи.
充分	достатъчен; пълен	Подготвихме се напълно.
充满	пълен с	Стаята беше пълна със смях.
冲	изплаквам	Моля, изплакни чашата с вода.
重复	повтарям	Моля, не повтаряй същата грешка.
宠物	домашен любимец	Тя отглежда куче като домашен любимец.
抽屉	чекмедже	Ключът е в чекмеджето.
抽象	абстрактен	Това понятие е твърде абстрактно.
丑	грозен	Тази снимка е малко грозна.
臭	вонящ; миризлив	Боклукът мирише много лошо.
出版	публикувам; издавам	Тази книга беше издадена миналата година.
出口	изход	Изходът е отпред.
出色	изключителен	Представянето ѝ е изключително.
出示	показвам	Моля, покажете паспорта си.
出席	присъствам	Той ще присъства на събранието.
初级	начален	Уча китайски в начален клас.
除非	освен ако	Освен ако не вали, утре ще ходим на планина.
除夕	навечерие на Нова година	На навечерието на Нова година цялото ни семейство вечеря заедно.
处理	обработвам; справям се с	Ще се справя с този проблем.
传播	разпространявам	Тази новина се разпространи много бързо.
传染	заразявам; предавам се	Настинката лесно се предава.
传说	легенда	Това е древна легенда.
传统	традиция; традиционен	Пролетният празник е традиционен китайски празник.
窗帘	пердета	Моля, дръпни пердетата.
闯	преминавам неправилно	Той по невнимание мина на червено.
创造	създавам	Хората създадоха нови инструменти.
吹	духам	Вятърът духа силно.
词汇	дума; речник	Тази дума се използва често.
辞职	подавам оставка	Той реши да подаде оставка.
此外	освен това	Освен това имам още един въпрос.
刺激	вълнуващ; стимулирам	Тази игра е много вълнуваща.
次要	второстепенен	Този проблем е второстепенен.
匆忙	бърз; припрян	Той напусна дома си набързо.
从此	оттогава	Оттогава той тренира всеки ден.
从而	така; по този начин	Той учи усърдно и така издържа изпита.
从前	преди; някога	Преди тук нямаше метро.
从事	занимавам се с	Тя работи в образованието.
粗糙	груб; грапав	Този лист хартия е много грапав.
促进	насърчавам; подпомагам	Спортът може да подпомага здравето.
促使	подтиквам	Този случай го подтикна да промени плана си.
醋	оцет	В ястието беше сложен оцет.
催	подканям	Мама ме подкани да изляза по-бързо.
存在	съществувам	Този проблем все още съществува.
措施	мярка	Училището предприе мерки за безопасност.
答应	съгласявам се; обещавам	Той се съгласи да ми помогне.
达到	достигам	Резултатите му достигнаха стандарта.
打工	работя почасово	През лятната ваканция той работи почасово в ресторант.
打交道	имам работа с	Често имам работа с клиенти.
打喷嚏	кихам	Той е настинал и постоянно киха.
打听	разпитвам	Искам да попитам за билети за влак.
大方	щедър	Тя е много щедра с парите.
大厦	голяма сграда	Онази голяма сграда е много висока.
大象	слон	Децата гледат слонове в зоопарка.
大型	мащабен; голям	Тук ще бъде построен голям търговски център.
呆	стоя; оставам	Той стои вкъщи и чете.
代表	представям; символизирам	Това цвете символизира приятелство.
代替	замествам	Днес ще участвам в събранието вместо него.
待遇	условия; заплащане	Условията в тази компания са добри.
贷款	заем	Те кандидатстваха за жилищен заем.
单纯	прост; чист	Мисълта ѝ е много проста.
单调	еднообразен	Тази работа е малко еднообразна.
单独	сам; насаме	Искам да поговоря с теб насаме.
单位	организация; работно място	Той работи в държавна организация.
单元	урок; единица	Днес учим трети урок.
担任	заемам длъжност; отговарям за	Тя отговаря за това събитие.
耽误	забавям; губя време	Не губи времето на всички.
胆小鬼	страхливец	Не го наричай страхливец.
淡	безвкусен; слаб	Тази супа е малко безвкусна.
当地	местен	Местните хора всички харесват този пазар.
当心	внимавам	Пътят е хлъзгав, внимавай.
挡	препречвам	Тази кола препречва входа.
倒霉	нямам късмет	Днес наистина нямах късмет, загубих телефона си.
导演	режисьор	Този режисьор е много известен.
导致	водя до; причинявам	Силният дъжд причини задръстване.
岛屿	остров	Тази държава има много острови.
到达	пристигам	Влакът пристигна в Шанхай навреме.
道德	морал	Човек трябва да има морални принципи.
道理	смисъл; основание	Думите му имат много смисъл.
登记	регистрирам се	Моля, първо се регистрирайте на рецепцията.
等待	чакам	Чакаме резултата.
等于	равен съм на	Пет плюс пет е равно на десет.
滴	капка	Капка вода падна на масата.
敌人	враг	Те не са врагове.
的确	наистина	Този въпрос наистина е много важен.
地道	истински; автентичен	Той говори автентичен пекински диалект.
地理	география	Много се интересувам от географията на Китай.
地区	район; регион	Този район е много студен през зимата.
地毯	килим	В хола е постлан килим.
地位	положение; статус	Образованието има важно положение в обществото.
地震	земетресение	Снощи тук имаше земетресение.
递	подавам; предавам	Моля, предай това писмо на учителя.
点心	лека закуска; сладкиш	Следобед хапнахме лека закуска.
电池	батерия	Тази играчка се нуждае от две батерии.
电台	радиостанция	Той води предаване в радиостанция.
钓	ловя с въдица	Дядо обича да ходи на риболов край реката.
顶	класификатор за шапки	Той носи черна шапка.
冻	замръзвам	Навън е толкова студено, че водата замръзна.
动画片	анимационен филм	Децата гледат анимационен филм.
洞	дупка	В стената има малка дупка.
豆腐	тофу	Това ястие с тофу е вкусно.
逗	разсмивам; закачам	Думите му разсмяха всички.
独立	независим	Тя иска да живее независимо.
独特	уникален	Този град има уникална култура.
度过	прекарвам	Прекарахме ваканцията край морето.
断	късам се; прекъсвам се	Това въже се скъса.
堆	натрупвам	На масата са натрупани много документи.
兑换	обменям	Искам да обменя малко юани.
对比	сравнявам	Моля, сравни тези два плана.
对待	отнасям се към	Трябва да се отнасяме справедливо към всеки.
对方	другата страна	Моля, първо чуйте мнението на другата страна.
对手	противник	Неговият противник е много силен.
对象	обект; предмет	Обектът на изследването са студенти.
吨	тон	Този камион може да превози три тона товар.
蹲	клякам	Той клекна на земята да търси ключовете.
顿	класификатор за хранене	Вечеряхме заедно.
多亏	благодарение на	Благодарение на твоята помощ завърших задачата.
多余	излишен	Това изречение е излишно.
朵	класификатор за цветя	На масата има едно цвете.
躲藏	крия се	Котенцето се крие под леглото.
恶劣	лош; тежък	Времето днес е много лошо.
耳环	обица	Тя носи чифт обеци.
发表	изразявам; публикувам	Той изрази мнението си на събранието.
发愁	тревожа се	Не се тревожи за тази дреболия.
发达	развит	Транспортът в този град е много развит.
发抖	треперя	Той трепереше от студ.
发挥	използвам; проявявам	Моля, използвайте въображението си.
发明	изобретение; изобретявам	Електрическата лампа е важно изобретение.
发票	фактура	Моля, издайте ми фактура.
发言	изказвам се	Той се изказа на събранието.
罚款	глоба; глобявам	За неправилно паркиране се налага глоба.
法院	съд	Този случай беше предаден на съда.
翻	разлиствам; обръщам	Моля, отвори книгата на десета страница.
繁荣	процъфтяващ	Икономиката постепенно започва да процъфтява.
反而	напротив; вместо това	Той не се ядоса, а напротив, засмя се.
反复	многократно	Това изречение трябва да се упражнява многократно.
反应	реакция	Реакцията му е бърза.
反映	отразявам	Този доклад отразява истинската ситуация.
反正	така или иначе	Така или иначе, утре имам време.
范围	обхват	Моля, не излизай извън този обхват.
方	квадратен	Моля, нарисувай квадрат върху хартията.
方案	план; предложение	Този план е сравнително разумен.
方式	начин	Този начин на учене е много ефективен.
妨碍	преча	Моля, не пречи на работата на другите.
仿佛	сякаш	Той сякаш знае всичко.
非	непременно; без	Това не може да стане без теб.
肥皂	сапун	При миене на ръце трябва да се използва сапун.
废话	глупости; празни приказки	Стига празни приказки, започвай бързо.
分别	разделям се	Те се разделиха на гарата.
分布	разпределям се	Тези магазини са разположени из целия град.
分配	разпределям	Учителят разпредели нова задача.
分手	разделям се	Те се разделиха миналата година.
分析	анализирам	Трябва да анализираме причините.
纷纷	един след друг	Всички един след друг изразиха съгласие.
奋斗	боря се; стремя се	Младите хора трябва да се борят за мечтите си.
疯狂	луд; бурен	Феновете викаха бурно.
风格	стил	Стилът на този ресторант е много особен.
风景	пейзаж	Пейзажът в планината е красив.
风俗	обичай	Всяко място има свои обичаи.
风险	риск	Инвестирането носи определен риск.
讽刺	осмивам; сатиризирам	Тази статия осмива социални проблеми.
否定	отричам	Той отрече това твърдение.
否认	отричам	Той отрече, че е направил грешка.
幅	класификатор за картини	На стената виси картина.
扶	подпирам; помагам	Моля, помогнете на възрастния човек да пресече улицата.
服装	облекло	Този магазин продава детско облекло.
辅导	помагам с уроци; консултирам	Учителят помага на учениците след часа.
复制	копирам	Моля, копирай този документ.
妇女	жена	Тази болница предоставя услуги за жени.
改革	реформа	Училището провежда реформа в преподаването.
改进	подобрявам	Трябва да подобрим качеството на услугата.
改善	подобрявам	Спортът може да подобри съня.
改正	поправям	Моля, поправяй грешките навреме.
概括	обобщавам	Моля, обобщи съдържанието на статията.
概念	понятие	Това понятие не е много лесно за разбиране.
盖	покривам	Моля, покрий чашата добре.
干脆	направо; по-добре	По-добре днес изобщо не ходи.
干燥	сух	Зимата на север е много суха.
感激	благодарен съм	Много съм благодарен за помощта ти.
感受	усещане; чувство	Мога да разбера чувствата ти.
感想	мисли; впечатления	Моля, разкажи за впечатленията си.
赶紧	побързвам	Става късно, хайде да тръгваме бързо.
赶快	веднага; бързо	Затвори вратата бързо.
干活儿	работя физически	Той работи в двора.
钢铁	стомана	Този мост е направен от стомана.
高档	висок клас	Това е хотел от висок клас.
高级	напреднал; висок клас	Тя се записа в курс по китайски за напреднали.
搞	организирам; правя	Какво събитие организираш?
告别	сбогувам се	Сбогувахме се с приятеля си на летището.
格外	особено	Днес небето е особено синьо.
隔壁	съседен; в съседство	В съседство живее учител.
个别	отделен; няколко	Някои отделни ученици още не са предали домашното.
个人	личен	Това е моето лично мнение.
个性	характер; индивидуалност	Тя има силен характер.
各自	всеки поотделно	Всички изпълняват собствените си задачи.
根	корен; класификатор за тънки дълги предмети	Под масата има един кабел.
根本	изобщо; основен	Този проблем изобщо не е труден.
公布	обявявам	Училището обяви резултатите от изпита.
公开	публичен	Това събрание е публично.
公平	справедлив	Състезанието трябва да бъде справедливо.
公寓	апартамент	Тя нае малък апартамент.
公元	след Христа	Тази година е две хиляди двадесет и шеста след Христа.
公主	принцеса	Малкото момиче харесва приказки за принцеси.
功能	функция	Този софтуер има много функции.
工厂	фабрика	Тази фабрика произвежда автомобили.
工程师	инженер	По-големият ми брат е инженер.
工具	инструмент	За ремонта на велосипед са нужни инструменти.
工人	работник	Работниците ремонтират пътя.
工业	промишленост	Този град се основава главно на промишлеността.
恭喜	поздравления	Поздравления, че издържа изпита.
贡献	принос	Той направи принос към компанията.
沟通	общуване	Доброто общуване е много важно.
构成	съставям	Тези части съставят едно цяло.
姑姑	леля по бащина линия	През уикенда ще посетя леля си по бащина линия.
姑娘	млада жена; момиче	Онази млада жена е много отзивчива.
古代	древност	В древността нямаше мобилни телефони.
古典	класически	Харесвам класическа музика.
股票	акции	Той купи няколко акции.
骨头	кост	Тази кост е много твърда.
鼓舞	окуражавам	Тази новина е много окуражаваща.
鼓掌	ръкопляскам	Публиката ръкопляска на актьорите.
固定	фиксиран	Имам фиксирано работно време.
挂号	регистрирам се за преглед	Преди преглед трябва първо да се регистрираш.
乖	послушен	Това дете е много послушно.
拐弯	завивам	На кръстовището отпред завий надясно.
怪不得	нищо чудно	Нищо чудно, че си толкова уморен.
关闭	изключвам; затварям	Моля, изключи компютъра преди да си тръгнеш.
官	служител; чиновник	Той е млад служител.
观察	наблюдавам	Лекарят наблюдава състоянието на пациента.
观点	гледна точка	Съгласен съм с твоята гледна точка.
观念	идея; възглед	Възгледите на младите хора се променят.
管子	тръба	Тази тръба тече.
冠军	шампион	Тя спечели шампионската титла в състезанието.
光滑	гладък; лъскав	Повърхността на тази маса е много гладка.
光临	заповядайте; посещавам	Заповядайте отново следващия път.
光明	светъл; светлина	Бъдещето е светло.
光盘	диск	Моля, запазете материалите на диска.
广场	площад	На площада има много хора.
广大	широк; многоброен	Тази новина беше посрещната добре от широк кръг студенти.
广泛	широк; обширен	Тази книга има широко влияние.
归纳	обобщавам	Учителят ни помогна да обобщим основните точки.
规矩	правило; ред	Децата трябва да разбират правилата.
规律	закономерност; редовен ритъм	Животът трябва да има редовен ритъм.
规模	мащаб	Тази компания е с голям мащаб.
规则	правило	Правилата на състезанието са много ясни.
柜台	гише; щанд	Моля, платете на гишето.
滚	кипя; търкалям се	Водата вече кипи.
锅	тенджера; тиган	В тенджерата има гореща супа.
国庆节	Национален празник	На Националния празник имаме почивен ден.
国王	крал	Кралят живее в дворец.
果然	както се очакваше	Той пристигна навреме, както се очакваше.
果实	плод; резултат	Дървото е отрупано с плодове.
过分	прекален	Искането му е малко прекалено.
过敏	алергичен; алергия	Аз съм алергичен към полени.
过期	изтекъл; изтичам	Тази бутилка мляко вече е с изтекъл срок.
哈	ха	Ха, най-накрая разбрах.
海关	митница	Наредихме се на опашка за проверка на митницата.
海鲜	морски дарове	Морските дарове в този ресторант са много пресни.
喊	викам	Не викай силно в класната стая.
行业	отрасъл; индустрия	Туристическият отрасъл се развива бързо.
豪华	луксозен	Те са отседнали в луксозен хотел.
好客	гостоприемен	Местните хора са много гостоприемни.
好奇	любопитен	Децата са много любопитни към света.
何必	защо е нужно	Защо е нужно да се ядосваш за дреболия?
何况	камо ли; още повече	Днес е студено, а освен това вали.
合法	законен	Този договор е законен.
合理	разумен; справедлив	Тази цена е разумна.
合同	договор	Те подписаха договор.
合影	обща снимка	На дипломирането си направихме обща снимка.
合作	сътруднича; работя заедно	Завършихме проекта чрез сътрудничество.
和平	мир	Всеки се надява на мир.
核心	ядро; същност	Доверието е същността на сътрудничеството.
恨	мразя; съжалявам	Той съжалява, че не е положил усилия по-рано.
猴子	маймуна	В зоопарка има няколко маймуни.
后背	гръб	Гърбът му го боли малко.
后果	последствие	Трябва да помислиш за последствията.
呼吸	дишам	Моля, поемете дълбоко въздух.
忽然	изведнъж	Небето изведнъж потъмня.
忽视	пренебрегвам	Не пренебрегвай този проблем.
壶	кана	На масата има кана чай.
糊涂	объркан	Днес съм малко объркан.
胡说	говоря глупости	Не говори глупости, това не е вярно.
胡同	тясна уличка	В Пекин има много стари тесни улички.
蝴蝶	пеперуда	В градината има една пеперуда.
花生	фъстък	Той обича да яде фъстъци.
华裔	човек от китайски произход	Тя е писателка от китайски произход.
滑	хлъзгав; пързалям се	Подът е хлъзгав, бъди внимателен.
划	греба; изгоден	Когато пътуват с лодка, той отговаря за гребането.
化学	химия	В университета тя е учила химия.
话题	тема	Тази тема е много интересна.
怀念	тъгувам по; спомням си с обич	Много ми липсва студентският живот.
怀孕	бременна съм; забременявам	Тя е бременна в третия месец.
缓解	облекчавам	Почивката може да облекчи стреса.
幻想	фантазия; фантазирам	Той често си фантазира, че пътува в космоса.
慌张	паникьосан; смутен	Не изпадай в паника, когато срещнеш проблем.
黄金	злато	Цената на златото отново се повиши.
恢复	възстановявам се; възстановявам	Тялото му се възстановява.
挥	махам	Тя махна с ръка.
灰	сив; пепел	Небето е сиво.
灰尘	прах	На масата има много прах.
灰心	обезсърчавам се	Не се обезсърчавай дори ако се провалиш.
汇率	обменен курс	Какъв е днешният обменен курс?
婚礼	сватба	Сватбата им беше много скромна.
婚姻	брак	Бракът изисква взаимно разбиране.
活跃	активен	Той е много активен в час.
伙伴	партньор; другар	Той е най-добрият ми другар.
火柴	кибритена клечка	В кутията е останала само една кибритена клечка.
或许	може би	Може би утре ще вали.
基本	основен	Това са основните изисквания.
机器	машина	Тази машина е повредена.
激烈	ожесточен; интензивен	Състезанието беше много ожесточено.
肌肉	мускул	След тренировка мускулите ме болят малко.
及格	изкарвам изпита; получавам положителна оценка	Той издържа този изпит.
急忙	набързо; спешно	Той набързо изтича от класната стая.
急诊	спешно отделение	Пациентът беше изпратен в спешното отделение.
极其	изключително	Този въпрос е изключително важен.
集合	събирам се	Моля, всички да се съберете на входа в осем часа.
集体	колектив; група	Това е групова дейност.
集中	съсредоточавам	По време на час трябва да се съсредоточаваш.
寂寞	самотен	Когато живееш сам, понякога може да ти е самотно.
系领带	връзвам вратовръзка	Той връзва вратовръзка всеки ден преди работа.
纪录	рекорд	Той счупи училищния рекорд.
纪律	дисциплина	Дисциплината в класната стая е много важна.
纪念	отбелязвам; възпоменавам	Направихме снимки, за да отбележим този ден.
计算	изчислявам	Моля, изчислете общите разходи.
记录	записвам; запис	Моля, запишете съдържанието на срещата.
记忆	памет; спомен	Този спомен е много ценен.
嘉宾	почетен гост	Днешният гост е писател.
夹子	щипка; клипс	Моля, закрепете документите с щипка.
家庭	семейство; домакинство	Семейството е много важно за децата.
家务	домакинска работа	През уикенда трябва да върша домакинска работа.
家乡	роден край	Много ми липсва родният край.
假如	ако; да предположим	Ако утре вали, няма да отидем.
假设	предположение; предполагам	Да предположим, че ти си учителят. Какво би направил?
假装	преструвам се	Той се престори, че не е чул.
甲	първа страна; първи	Първата страна трябва да плати навреме.
价值	стойност; ценност	Тази книга е много ценна.
嫁	омъжвам се	Тя ще се омъжи за приятеля си догодина.
驾驶	шофирам; управлявам	Шофирай внимателно, когато караш кола.
兼职	почасова работа	Той работи почасово вечер.
坚决	твърд; решителен	Той твърдо не е съгласен с това решение.
坚强	силен; устойчив	Тя е силен човек.
肩膀	рамо	Рамото му е наранено.
艰巨	труден; тежък	Това е трудна задача.
艰苦	тежък; труден	Те преживяха тежък живот.
剪刀	ножица	Моля, подай ми ножицата.
捡	вдигам; намирам	Той вдигна портфейла от земята.
简历	автобиография	Преди да кандидатстваш за работа, трябва да подготвиш автобиография.
简直	направо; просто	Тази новина е направо шокираща.
健身	тренирам; поддържам форма	Той ходи да тренира три пъти седмично.
建立	установявам; създавам	Установихме нови отношения.
建设	строителство; изграждане	Градското строителство се развива бързо.
建筑	сграда; строителство	Тази сграда има отличителен характер.
键盘	клавиатура	Клавиатурата ми трябва да се почисти.
讲究	обръщам особено внимание; изискан	Китайците обръщат много внимание на храната.
讲座	лекция	Тази вечер има лекция по китайски.
酱油	соев сос	Добави малко соев сос към ястието.
交换	разменям	Разменихме телефонни номера.
交际	общуване	При изучаването на език трябва да се упражнява и общуване.
交往	излизам с някого; общувам	Те излизат заедно от две години.
浇	поливам	Моля, поливай цветята всеки ден.
胶水	лепило	Използвах лепило, за да залепя снимката.
狡猾	хитър; коварен	Онази лисица е много хитра.
角度	ъгъл; гледна точка	Нека погледнем проблема от друг ъгъл.
教材	учебен материал; учебник	Този учебник е много практичен.
教练	треньор	Треньорът изисква да пристигнем навреме.
教训	урок; поука	Този провал е урок.
接触	контакт; докосвам се до	Това е първият ми контакт с китайската култура.
接待	посрещам; приемам гости	Компанията назначи специален човек да посрещне гостите.
接近	приближавам се	Празникът на пролетта наближава все повече.
结实	здрав; як	Този куфар е много здрав.
阶段	етап	Обучението е разделено на три етапа.
结构	структура	Тази статия има ясна структура.
结合	съчетавам; свързвам	Ученето трябва да се съчетава с практика.
结论	заключение	Заключението му е много убедително.
结账	плащам сметката	След като се нахранихме, отидохме да платим сметката.
节省	спестявам	С метрото може да се спести време.
借口	извинение; предлог	Не търси повече извинения.
届	издание; пореден	Това е третото издание на състезанието.
戒	отказвам; предупреждавам	Лекарят го посъветва да откаже цигарите.
戒指	пръстен	Тя носи пръстен.
金属	метал	Желязото е вид метал.
尽快	възможно най-скоро	Моля, отговорете на имейла възможно най-скоро.
紧急	спешен	Това е спешен случай.
谨慎	предпазлив	Преди инвестиция трябва да бъдеш предпазлив.
尽力	старая се с всички сили	Ще направя всичко възможно да ти помогна.
尽量	доколкото е възможно	Моля, опитайте се да пристигнете възможно най-рано.
近代	ново време; модерна епоха	В Китай от ново време са настъпили много промени.
进步	напредък; напредвам	Китайският му напредва бързо.
进口	вносен; внасям	Тази кола е вносна.
精力	енергия	Децата имат много енергия.
精神	дух; настроение	Днес той е в много добро настроение.
经典	класически	Това е класически филм.
经商	занимавам се с търговия	Баща му се занимава с бизнес в чужбина.
经营	управлявам; ръководя	Тя управлява малък магазин.
酒吧	бар	Вечерта те отидоха на бар.
救	спасявам	Лекарят спаси живота му.
救护车	линейка	Линейката пристигна бързо.
舅舅	вуйчо	Вуйчо ми живее в Нанкин.
居然	неочаквано; всъщност	Той всъщност забрави собствения си рожден ден.
桔子	мандарина	На масата има няколко мандарини.
俱乐部	клуб	Тя се присъедини към плувния клуб.
具备	притежавам; имам	Той има управленски опит.
具体	конкретен	Моля, кажете го малко по-конкретно.
巨大	огромен	Този проект изисква огромна инвестиция.
据说	казват, че; според сведенията	Казват, че той вече се е върнал в страната си.
捐	дарявам	Всички са готови да дарят пари.
决赛	финал	Утре е футболният финал.
决心	решимост	Той реши твърдо да научи китайски добре.
绝对	абсолютно	Това нещо абсолютно не бива да се забравя.
角色	роля	Тя играе важна роля във филма.
军事	военен	Той се интересува много от военна история.
均匀	равномерен	Моля, нанесете цвета равномерно.
卡车	камион	На входа е спрял камион.
开发	разработвам	Компанията разработва нов продукт.
开放	отварям; отворен	Паркът отваря всяка сутрин в шест.
开幕式	церемония по откриване	Церемонията по откриването ще се проведе утре вечер.
开水	преварена вода	Моля, дайте ми чаша преварена вода.
砍	сека; режа	Работникът реже клони.
看不起	гледам отвисоко	Не гледай отвисоко никого.
看望	посещавам	През уикенда ще посетя баба и дядо.
靠	облягам се; разчитам на	Той се облегна на стената, за да си почине.
颗	брояч за малки кръгли неща	В нощното небе има една звезда.
可见	вижда се; ясно е	Ясно е, че този метод е ефективен.
可靠	надежден	Той е надежден приятел.
可怕	страшен	Този сън беше твърде страшен.
克	грам	Моля, добавете два грама сол.
克服	преодолявам	Трябва да преодолеем трудностите.
刻苦	усърден	Той учи много усърдно.
客观	обективен	Моля, анализирайте проблема обективно.
课程	курс	Този курс е много полезен.
空间	пространство	В тази стая има много пространство.
控制	контролирам	Шофьорът овладя скоростта на колата.
空闲	свободно време	Имаш ли свободно време утре следобед?
口味	вкус; предпочитание	Вкусът му е сравнително лек.
夸	хваля; преувеличавам	Учителят го похвали за големия напредък.
夸张	преувеличен	Изражението му е малко преувеличено.
会计	счетоводител; счетоводство	Тя работи като счетоводител във фирмата.
宽	широк	Този път е много широк.
