simplified	SI	example_SI
博物馆	කෞතුකාගාරය	අපි සති අන්තයේ කෞතුකාගාරයට යමු.
脖子	බෙල්ල	මගේ බෙල්ල ටිකක් රිදෙනවා.
不断	නිරන්තරයෙන්	මිල නිරන්තරයෙන් ඉහළ යයි.
不见得	අනිවාර්ය නොවීම	මෙය අනිවාර්යයෙන් නරක දෙයක් නොවේ.
不耐烦	නොඉවසිලිමත්	බොහෝ වේලාවක් බලා සිටි නිසා ඔහු ටිකක් නොඉවසිලිමත් විය.
不要紧	ගැටලුවක් නොවීම	කමක් නැහැ, එය ගැටලුවක් නොවේ.
补充	එකතු කිරීම	මට අදහසක් එකතු කරන්න අවශ්‍යයි.
不安	අසන්සුන්	එම පුවත අසා ඇය අසන්සුන් වූවාය.
不得了	බරපතළ	මෙම කාරණය ඇත්තටම බරපතළය.
不然	නැත්නම්	ඉක්මනින් යන්න, නැත්නම් පරක්කු වේවි.
不如	වඩා හොඳය	රථයකින් යාමට වඩා ඇවිදීම වඩා හොඳය.
不足	ප්‍රමාණවත් නොවීම	මෙහි ජලය ප්‍රමාණවත් නැත.
布	රෙදි	මෙම රෙදි කැබැල්ල ඉතා මෘදුය.
步骤	පියවර	කරුණාකර පියවර අනුව ක්‍රියා කරන්න.
部门	දෙපාර්තමේන්තුව	මම විකුණුම් දෙපාර්තමේන්තුවේ වැඩ කරමි.
财产	දේපළ	මෙම නිවස ඔහුගේ දේපළකි.
彩虹	දේදුන්න	වැස්සෙන් පසු දේදුන්නක් දිස් විය.
踩	පෑගීම	තණකොළ මත පෑගෙන්න එපා.
采访	සම්මුඛ සාකච්ඡා කිරීම	වාර්තාකරු වෛද්‍යවරයා සමඟ සම්මුඛ සාකච්ඡා කරමින් සිටී.
采取	ගැනීම	අපි නව ක්‍රමයක් ගත්තා.
参考	යොමු වීම	කරුණාකර මෙම පොතට යොමු වන්න.
参与	සහභාගී වීම	ඔහු ක්‍රියාකාරකම්වලට උනන්දුවෙන් සහභාගී වේ.
惭愧	ලැජ්ජාවට පත්වීම	මගේ වැරැද්ද ගැන මට ලැජ්ජාවක් දැනේ.
操场	ක්‍රීඩා පිටිය	සිසුන් ක්‍රීඩා පිටියේ දුවමින් සිටිති.
操心	කනස්සල්ල වීම	මා ගැන කනස්සල්ල වෙන්න එපා.
册	පොත් වෙළුම	මම පොතක එක් වෙළුමක් මිලදී ගත්තා.
测验	කුඩා පරීක්ෂණය	හෙට කුඩා පරීක්ෂණයක් ඇත.
曾经	කලින්	මම කලින් බෙයිජිංහි ජීවත් වී ඇත.
叉子	ගෑරුප්පුව	මම ගෑරුප්පුවෙන් සලාද කමි.
差距	පරතරය	නගරය හා ගම අතර පරතරයක් ඇත.
插	දැමීම	කරුණාකර මල් බඳුනට දමන්න.
拆	කඩා ඉවත් කිරීම	කම්කරුවන් පැරණි නිවස කඩා ඉවත් කරමින් සිටිති.
产品	නිෂ්පාදනය	මෙම නිෂ්පාදනයේ ගුණාත්මකභාවය ඉතා හොඳය.
产生	ඇති වීම	මෙම ගැටලුවෙන් නව බලපෑමක් ඇති විය.
常识	සාමාන්‍ය දැනුම	මෙය මූලික සාමාන්‍ය දැනුමකි.
长途	දිගු දුර	දිගු දුර ගමන ඉතා මහන්සිදායකය.
抄	පිටපත් කිරීම	කරුණාකර අන් අයගේ ගෙදර වැඩ පිටපත් කරන්න එපා.
超级	සුපිරි	මෙය සුපිරි වෙළඳසැලකි.
朝	රාජවංශය	තං රාජවංශය ඉතා ප්‍රසිද්ධය.
潮湿	තෙත්	දකුණේ ගිම්හානය ඉතා තෙත්ය.
吵	ශබ්ද සහිත	පිටත ඉතා ශබ්ද සහිතයි.
吵架	රණ්ඩු වීම	ඔවුන් නැවත රණ්ඩු වුණා.
炒	තෙලේ බැදීම	අම්මා එළවළු තෙලේ බදිමින් සිටී.
车库	ගරාජය	මෝටර් රථය ගරාජයේ නවතා ඇත.
车厢	දුම්රිය මැදිරිය	මෙම දුම්රිය මැදිරිය ඉතා නිහඬය.
彻底	සම්පූර්ණයෙන්	ඔහු එය සම්පූර්ණයෙන් තේරුම් ගත්තේය.
沉默	නිහඬතාව	ඔහු මුළු කාලයම නිහඬව සිටියේය.
趁	අවස්ථාවෙන් ප්‍රයෝජන ගැනීම	තවම අඳුරු නොවී තිබියදී අපි යමු.
称	බර මැනීම	කරුණාකර මෙම පාර්සලයේ බර මැන බලන්න.
称呼	ආමන්ත්‍රණය කිරීම	ඔහුව කොහොම ආමන්ත්‍රණය කළ යුතුද කියා මම නොදනිමි.
称赞	ප්‍රශංසා කිරීම	ගුරුවරයා ඔහුගේ ප්‍රගතිය ප්‍රශංසා කළේය.
成分	අමුද්‍රව්‍ය	මෙම ඖෂධයේ අමුද්‍රව්‍ය සරලය.
成果	ප්‍රතිඵලය	මෙම ව්‍යාපෘතිය ප්‍රතිඵල ලබා ගත්තේය.
成就	ජයග්‍රහණය	ඔහු තම වෘත්තියෙන් බොහෝ ජයග්‍රහණ ලබා ඇත.
成立	ස්ථාපනය වීම	සමාගම පසුගිය වසරේ ස්ථාපනය විය.
成人	වැඩිහිටියා	වැඩිහිටි ටිකට්පත් ළමා ටිකට්පත්වලට වඩා මිල වැඩිය.
成熟	පරිණත	ඇපල් දැනටමත් පරිණත වී ඇත.
成语	චීන පද ප්‍රකාශය	මෙම චීන පද ප්‍රකාශය බහුලව භාවිත වේ.
成长	වැඩීම	දරුවා සෙමින් වැඩෙමින් සිටී.
承担	වගකීම භාර ගැනීම	ඔහු වගකීම භාර ගැනීමට කැමතිය.
承认	පිළිගැනීම	ඔහු තමන් වැරදි බව පිළිගත්තේය.
承受	දරා ගැනීම	මෙතරම් විශාල පීඩනයක් මට දරා ගත නොහැක.
程度	මට්ටම	ඔහුගේ චීන භාෂා මට්ටම ඉහළය.
程序	ක්‍රියා පටිපාටිය	කරුණාකර ක්‍රියා පටිපාටිය අනුව එය සිදු කරන්න.
诚恳	අවංක	ඔහුගේ ආකල්පය ඉතා අවංකය.
吃亏	අලාභ වීම	දේවල් මිලදී ගැනීමට පෙර හොඳින් බලන්න, එවිට අලාභ නොවේ.
持续	දිගටම පැවතීම	වැස්ස දින තුනක් දිගටම පැවතුණි.
池塘	පොකුණ	පොකුණේ මාළු බොහෝ ඇත.
迟早	කවදා හෝ	ඔයාට කවදා හෝ තේරුම් යාවි.
尺子	රූල	කරුණාකර රූලකින් මැන බලන්න.
翅膀	පියාපත	කුරුල්ලාගේ පියාපත තුවාල වී ඇත.
充电器	චාජරය	මගේ චාජරය කැඩී ඇත.
充分	සම්පූර්ණ	අපි සම්පූර්ණ සූදානමක් කළෙමු.
充满	පිරී තිබීම	කාමරය සිනා හඬින් පිරී තිබුණි.
冲	සේදීම	කරුණාකර කෝප්පය වතුරෙන් සේදන්න.
重复	නැවත කිරීම	කරුණාකර එකම වැරැද්ද නැවත කරන්න එපා.
宠物	සුරතල් සතා	ඇය සුරතල් බල්ලෙකු ඇති කරයි.
抽屉	ලාච්චුව	යතුර ලාච්චුවේ ඇත.
抽象	අමූර්ත	මෙම සංකල්පය ඉතා අමූර්තය.
丑	කැත	මෙම ඡායාරූපය ටිකක් කැතය.
臭	දුර්ගන්ධ සහිත	කසළ ඉතා දුර්ගන්ධයි.
出版	ප්‍රකාශනය කිරීම	මෙම පොත පසුගිය වසරේ ප්‍රකාශයට පත් විය.
出口	පිටවීම	පිටවීම ඉදිරියේ ඇත.
出色	විශිෂ්ට	ඇගේ දක්ෂතාවය විශිෂ්ටය.
出示	පෙන්වීම	කරුණාකර ඔබේ ගමන් බලපත්‍රය පෙන්වන්න.
出席	සහභාගී වීම	ඔහු රැස්වීමට සහභාගී වේ.
初级	ආරම්භක මට්ටමේ	මම ආරම්භක පන්තියේ චීන භාෂාව ඉගෙන ගනිමි.
除非	එසේ නොවේ නම්	වැස්ස නොවන්නේ නම් අපි හෙට කඳු නැගීමට යමු.
除夕	අලුත් අවුරුදු පෙර රාත්‍රිය	අලුත් අවුරුදු පෙර රාත්‍රියේ අපේ මුළු පවුලම එකට කෑම කයි.
处理	සලකා බලා විසඳීම	මම මෙම ගැටලුව සලකා බලා විසඳමි.
传播	පැතිරීම	මෙම පුවත ඉතා ඉක්මනින් පැතිරුණි.
传染	බෝ වීම	සෙම්ප්‍රතිශ්‍යාව පහසුවෙන් බෝ වේ.
传说	පුරාවෘත්තය	මෙය පැරණි පුරාවෘත්තයකි.
传统	සම්ප්‍රදාය	වසන්ත උත්සවය චීනයේ සම්ප්‍රදායික උත්සවයකි.
窗帘	තිර	කරුණාකර තිර විවෘත කරන්න.
闯	අනවසරයෙන් යාම	ඔහු නොසැලකිලිමත් ලෙස රතු සංඥාව කඩ කර ගියේය.
创造	නිර්මාණය කිරීම	මිනිසුන් නව මෙවලම් නිර්මාණය කළහ.
吹	හමීම	සුළඟ තදින් හමයි.
词汇	වචන මාලාව	මෙම වචනය බහුලව භාවිත වේ.
辞职	ඉල්ලා අස්වීම	ඔහු ඉල්ලා අස්වීමට තීරණය කළේය.
此外	ඊට අමතරව	ඊට අමතරව, මට තවත් ප්‍රශ්නයක් ඇත.
刺激	උද්වේගජනක	මෙම ක්‍රීඩාව ඉතා උද්වේගජනකය.
次要	ද්විතීයික	මෙම ගැටලුව ද්විතීයිකය.
匆忙	ඉක්මන්	ඔහු ඉක්මනින් නිවසින් පිටව ගියේය.
从此	එතැන් සිට	එතැන් සිට ඔහු සෑම දිනකම ව්‍යායාම කළේය.
从而	එමඟින්	ඔහු මහන්සි වී ඉගෙන ගත් අතර එමඟින් විභාගය සමත් විය.
从前	කලින්	කලින් මෙහි භූගත දුම්රියක් නොතිබුණි.
从事	නියැලීම	ඇය අධ්‍යාපන කටයුතුවල නියැලී සිටී.
粗糙	රළු	මෙම කඩදාසි පත්‍රය ඉතා රළුය.
促进	ප්‍රවර්ධනය කිරීම	ව්‍යායාමය සෞඛ්‍යය ප්‍රවර්ධනය කරයි.
促使	පොළඹවීම	මෙම කාරණය ඔහුට සැලැස්ම වෙනස් කිරීමට පොළඹවීය.
醋	විනාකිරි	කෑමට විනාකිරි දමා ඇත.
催	ඉක්මන් කරවීම	අම්මා මට ඉක්මනින් පිටවෙන්න ඉක්මන් කළාය.
存在	පැවතීම	මෙම ගැටලුව තවමත් පවතී.
措施	පියවර	පාසල ආරක්ෂක පියවර ගත්තේය.
答应	එකඟ වීම	ඔහු මට උදව් කිරීමට එකඟ විය.
达到	ළඟා වීම	ඔහුගේ ලකුණු ප්‍රමිතියට ළඟා විය.
打工	අර්ධකාලීන වැඩ කිරීම	ඔහු ගිම්හාන නිවාඩුවේ ආපනශාලාවක අර්ධකාලීනව වැඩ කරයි.
打交道	කටයුතු කිරීම	මම නිතරම පාරිභෝගිකයන් සමඟ කටයුතු කරමි.
打喷嚏	කිවිසුම් යාම	ඔහුට සෙම්ප්‍රතිශ්‍යාව ඇති නිසා නිතරම කිවිසුම් යයි.
打听	විමසීම	මට දුම්රිය ටිකට්පත් ගැන විමසීමට අවශ්‍යයි.
大方	උදාර	ඇය මුදල් වියදම් කිරීමේදී ඉතා උදාරය.
大厦	උස් ගොඩනැගිල්ල	එම උස් ගොඩනැගිල්ල ඉතා උසය.
大象	අලියා	ළමයි සත්වෝද්‍යානයේ අලින් බලමින් සිටිති.
大型	විශාල පරිමාණයේ	මෙහි විශාල පරිමාණයේ වෙළඳ මධ්‍යස්ථානයක් ඉදි කරනු ඇත.
呆	රැඳී සිටීම	ඔහු ගෙදර රැඳී සිට පොත් කියවයි.
代表	නියෝජනය කිරීම	මෙම මල මිත්‍රත්වය නියෝජනය කරයි.
代替	වෙනුවට කිරීම	අද මම ඔහු වෙනුවට රැස්වීමට සහභාගී වෙමි.
待遇	ප්‍රතිලාභ	මෙම සමාගමේ ප්‍රතිලාභ හොඳය.
贷款	ණය	ඔවුන් නිවාස ණයක් සඳහා අයදුම් කළහ.
单纯	සරල	ඇගේ අදහස ඉතා සරලය.
单调	එකම රටාවේ	මෙම වැඩය ටිකක් එකම රටාවේය.
单独	තනිව	මට ඔබ සමඟ තනිව කතා කිරීමට අවශ්‍යයි.
单位	ආයතනය	ඔහු රාජ්‍ය ආයතනයක වැඩ කරයි.
单元	පාඩම් ඒකකය	අපි අද තුන්වන පාඩම් ඒකකය ඉගෙන ගනිමු.
担任	තනතුර දැරීම	ඇය මෙම ක්‍රියාකාරකමේ භාරකරු ලෙස කටයුතු කරයි.
耽误	ප්‍රමාද කිරීම	සියලු දෙනාගේ කාලය ප්‍රමාද කරන්න එපා.
胆小鬼	බයගුල්ලා	ඔහුව බයගුල්ලා කියා අමතන්න එපා.
淡	රස අඩු	මෙම සුප් බඳුනේ රසය ටිකක් අඩුය.
当地	දේශීය	දේශීය ජනතාව සියලු දෙනා මෙම වෙළඳපොළට කැමතියි.
当心	පරෙස්සම් වීම	මාර්ගය ලිස්සන සුළුයි, ඒ නිසා ටිකක් පරෙස්සම් වන්න.
挡	අවහිර කිරීම	මෙම මෝටර් රථය දොරටුව අවහිර කර ඇත.
倒霉	අවාසනාවන්ත වීම	අද ඇත්තටම අවාසනාවන්තයි, මගේ දුරකථනය නැති වුණා.
导演	අධ්‍යක්ෂක	මෙම අධ්‍යක්ෂක ඉතා ප්‍රසිද්ධය.
导致	හේතු වීම	දැඩි වැස්ස රථවාහන තදබදයට හේතු විය.
岛屿	දූපත්	මෙම රටට බොහෝ දූපත් ඇත.
到达	ළඟා වීම	දුම්රිය නියමිත වේලාවට ෂැංහයි වෙත ළඟා විය.
道德	සදාචාරය	මිනිසෙකු ලෙස සදාචාරය ගැන සැලකිලිමත් විය යුතුය.
道理	තර්කානුකූල බව	ඔහු කියූ දේ ඉතා තර්කානුකූලය.
登记	ලියාපදිංචි වීම	කරුණාකර පළමුව ඉදිරි කවුන්ටරයේ ලියාපදිංචි වන්න.
等待	බලා සිටීම	අපි ප්‍රතිඵලය බලා සිටිමු.
等于	සමාන වීම	පහට පහ එකතු කළ විට දහයට සමානය.
滴	බිංදුව	වතුර බිංදුවක් මේසය මත වැටුණි.
敌人	සතුරා	ඔවුන් සතුරන් නොවේ.
的确	ඇත්තෙන්ම	මෙම කාරණය ඇත්තෙන්ම ඉතා වැදගත්ය.
地道	නියම	ඔහු නියම බෙයිජිං බසක් කතා කරයි.
地理	භූගෝල විද්‍යාව	මට චීනයේ භූගෝල විද්‍යාව ගැන ඉතා උනන්දුවක් ඇත.
地区	ප්‍රදේශය	මෙම ප්‍රදේශය ශීත කාලයේ ඉතා සීතලය.
地毯	කාපට්	විසිත්ත කාමරයේ කාපට් එකක් අතුරා ඇත.
地位	තත්ත්වය	අධ්‍යාපනයට සමාජයේ වැදගත් තත්ත්වයක් ඇත.
地震	භූමිකම්පාව	ඊයේ රාත්‍රියේ මෙහි භූමිකම්පාවක් සිදු විය.
递	ලබා දීම	කරුණාකර මෙම ලිපිය ගුරුවරයාට ලබා දෙන්න.
点心	කෙටි කෑම	පස්වරුවේ අපි කෙටි කෑම කෑවෙමු.
电池	බැටරිය	මෙම සෙල්ලම් බඩුවට බැටරි දෙකක් අවශ්‍ය වේ.
电台	ගුවන්විදුලි මධ්‍යස්ථානය	ඔහු ගුවන්විදුලි මධ්‍යස්ථානයක වැඩසටහනක් කරයි.
钓	බිලී බෑම	සීයා ගඟ අසල බිලී බෑමට කැමතිය.
顶	තොප්පි සඳහා ප්‍රමාණ පදය	ඔහු කළු තොප්පියක් පැළඳ සිටී.
冻	කැටි වීම	පිටත ඉතා සීතල බැවින් ජලය පවා කැටි වී ඇත.
动画片	කාටූන් චිත්‍රපටය	ළමයි කාටූන් චිත්‍රපට නරඹමින් සිටිති.
洞	කුහරය	බිත්තියේ කුඩා කුහරයක් ඇත.
豆腐	ටෝෆු	මෙම ටෝෆු කෑම ඉතා රසවත්ය.
逗	සිනා ගැන්වීම	ඔහුගේ වචන සියලු දෙනා සිනා ගැන්වීය.
独立	ස්වාධීන	ඇයට ස්වාධීනව ජීවත් වීමට අවශ්‍යයි.
独特	අද්විතීය	මෙම නගරයට අද්විතීය සංස්කෘතියක් ඇත.
度过	ගත කිරීම	අපි නිවාඩුව මුහුදු වෙරළේ ගත කළෙමු.
断	කැඩීම	මෙම ලණුව කැඩී ගියේය.
堆	ගොඩ	මේසය මත ලේඛන බොහෝ ගොඩ වී ඇත.
兑换	මාරු කිරීම	මට රෙන්මින්බි කිහිපයක් මාරු කිරීමට අවශ්‍යයි.
对比	සසඳීම	කරුණාකර මෙම සැලසුම් දෙක සසඳන්න.
对待	සලකීම	අපි සියලු දෙනාට සාධාරණව සලකිය යුතුය.
对方	අනෙක් පාර්ශ්වය	කරුණාකර පළමුව අනෙක් පාර්ශ්වයේ අදහස අසන්න.
对手	ප්‍රතිවාදියා	ඔහුගේ ප්‍රතිවාදියා ඉතා ශක්තිමත්ය.
对象	අධ්‍යයන විෂය	පර්යේෂණයේ අධ්‍යයන විෂය විශ්වවිද්‍යාල සිසුන්ය.
吨	ටොන්	මෙම ලොරියට භාණ්ඩ ටොන් තුනක් ගෙන යා හැක.
蹲	කුකුරා සිටීම	ඔහු යතුරු සොයමින් බිම කුකුරා සිටී.
顿	ආහාර වේල සඳහා ප්‍රමාණ පදය	අපි එකට රාත්‍රී ආහාර වේලක් කෑවෙමු.
多亏	නිසා වාසනාවට	ඔබේ උදව් නිසා වාසනාවට මම කාර්යය සම්පූර්ණ කළෙමි.
多余	අනවශ්‍ය	මෙම වාක්‍යය අනවශ්‍යය.
朵	මල් සඳහා ප්‍රමාණ පදය	මේසය මත මලක් තබා ඇත.
躲藏	සැඟවීම	කුඩා බළලා ඇඳ යට සැඟවී සිටී.
恶劣	අයහපත්	අද කාලගුණය ඉතා අයහපත්ය.
耳环	කන් ආභරණය	ඇය කන් ආභරණ යුගලයක් පැළඳ සිටී.
发表	ප්‍රකාශ කිරීම	ඔහු රැස්වීමේදී අදහස් ප්‍රකාශ කළේය.
发愁	කනස්සල්ල වීම	මෙම සුළු කාරණය ගැන කනස්සල්ල වෙන්න එපා.
发达	දියුණු	මෙම නගරයේ ප්‍රවාහනය ඉතා දියුණුය.
发抖	වෙව්ලීම	ඔහු සීතල නිසා නිරන්තරයෙන් වෙව්ලයි.
发挥	යොදා ගැනීම	කරුණාකර ඔබේ පරිකල්පනය යොදා ගන්න.
发明	නව නිපැයුම	විදුලි බල්බය වැදගත් නව නිපැයුමකි.
发票	ඉන්වොයිසිය	කරුණාකර මට ඉන්වොයිසියක් නිකුත් කරන්න.
发言	කතා කිරීම	ඔහු රැස්වීමේදී කතා කළේය.
罚款	දඩය	නීති විරෝධී ලෙස රථය නවතා තැබුවහොත් දඩයක් ගෙවිය යුතුය.
法院	අධිකරණය	මෙම නඩුව අධිකරණයට භාර දී ඇත.
翻	පෙරළීම	කරුණාකර පොත දසවන පිටුවට පෙරළන්න.
繁荣	සමෘද්ධිමත්	ආර්ථිකය සෙමින් සමෘද්ධිමත් වෙමින් පවතී.
反而	ඒ වෙනුවට	ඔහු කෝපයට පත් නොවී, ඒ වෙනුවට සිනාසුණේය.
反复	නැවත නැවත	මෙම වාක්‍යය නැවත නැවත පුහුණු කළ යුතුය.
反应	ප්‍රතිචාරය	ඔහුගේ ප්‍රතිචාරය ඉක්මන්ය.
反映	පිළිබිඹු කිරීම	මෙම වාර්තාව සැබෑ තත්ත්වය පිළිබිඹු කරයි.
反正	කොහොමත්	කොහොමත් මට හෙට වේලාව තිබේ.
范围	පරාසය	කරුණාකර මෙම පරාසයෙන් ඔබ්බට නොයන්න.
方	චතුරස්‍රය	කරුණාකර කඩදාසියේ චතුරස්‍රයක් අඳින්න.
方案	සැලැස්ම	මෙම සැලැස්ම තරමක් සාධාරණය.
方式	ක්‍රමය	මෙම ඉගෙනීමේ ක්‍රමය ඉතා ඵලදායීය.
妨碍	බාධා කිරීම	කරුණාකර අන් අයගේ වැඩට බාධා කරන්න එපා.
仿佛	මෙන් පෙනීම	ඔහු සියල්ල දන්නා මෙන් පෙනේ.
非	නැතිව බැරි	මෙම කාරණය ඔබ නැතිව කළ නොහැක.
肥皂	සබන්	අත් සෝදන විට සබන් භාවිත කරන්න.
废话	විකාර කතා	විකාර කතා අඩුවෙන් කියා ඉක්මනින් පටන් ගන්න.
分别	වෙන් වීම	ඔවුන් දුම්රිය ස්ථානයේදී වෙන් වූහ.
分布	ව්‍යාප්ත වීම	මෙම වෙළඳසැල් නගරය පුරා ව්‍යාප්ත වී ඇත.
分配	බෙදා දීම	ගුරුවරයා නව කාර්යයක් බෙදා දුන්නේය.
分手	සම්බන්ධය අවසන් කිරීම	ඔවුන් පසුගිය වසරේ සම්බන්ධය අවසන් කළහ.
分析	විශ්ලේෂණය කිරීම	අපි හේතු විශ්ලේෂණය කළ යුතුය.
纷纷	එකින් එක	සියලු දෙනා එකින් එක එකඟ බව ප්‍රකාශ කළහ.
奋斗	උත්සාහ කිරීම	තරුණයන් තම සිහින සඳහා උත්සාහ කළ යුතුය.
疯狂	උමතු ලෙස	ක්‍රීඩා ලෝලීන් උමතු ලෙස හඬ නඟා සතුටු වූහ.
风格	ශෛලිය	මෙම ආපනශාලාවේ ශෛලිය ඉතා විශේෂය.
风景	දර්ශනය	කන්ද මත දර්ශනය ඉතා සුන්දරය.
风俗	සම්ප්‍රදාය	සෑම ස්ථානයකටම තමන්ගේම සම්ප්‍රදායන් ඇත.
风险	අවදානම	ආයෝජනයට යම් අවදානමක් ඇත.
讽刺	උපහාස කිරීම	මෙම ලිපිය සමාජ ගැටලු උපහාසයට ලක් කළේය.
否定	ප්‍රතික්ෂේප කිරීම	ඔහු මෙම ප්‍රකාශය ප්‍රතික්ෂේප කළේය.
否认	ප්‍රතික්ෂේප කිරීම	තමා වැරැද්දක් කළ බව ඔහු ප්‍රතික්ෂේප කළේය.
幅	චිත්‍ර සඳහා ප්‍රමාණ පදය	බිත්තියේ චිත්‍රයක් එල්ලා ඇත.
扶	වාරුව දීම	කරුණාකර වැඩිහිටියාට පාර මාරු වීමට වාරුව දෙන්න.
服装	ඇඳුම්	මෙම වෙළඳසැල ළමා ඇඳුම් විකුණයි.
辅导	උපකාරක ඉගැන්වීම	ගුරුවරයා පාඩමෙන් පසු සිසුන්ට උපකාරක ඉගැන්වීම කරයි.
复制	පිටපත් කිරීම	කරුණාකර මෙම ලේඛනය පිටපත් කරන්න.
妇女	කාන්තාවන්	මෙම රෝහල කාන්තාවන්ට සේවා සපයයි.
改革	ප්‍රතිසංස්කරණය	පාසල ඉගැන්වීමේ ප්‍රතිසංස්කරණයක් සිදු කරමින් සිටී.
改进	වැඩිදියුණු කිරීම	අපි සේවා ගුණාත්මකභාවය වැඩිදියුණු කළ යුතුය.
