source_headword	RU	example_RU
invent	изобретать	Дети могут придумывать новые игры.
invention	изобретение	Изобретение сэкономило время.
invitation	приглашение	Я получил приглашение.
invite	приглашать	Пригласите и своего друга.
involve	включать; требовать	Работа будет включать поездки.
item	предмет; пункт	Выберите один предмет.
itself	само; себя	Машина сама выключается.
jam	джем	Намажьте джем на хлеб.
jazz	джаз	Сегодня джаз звучит отлично.
jewellery	украшения; ювелирные изделия	Она хранит украшения в коробке.
joke	шутка	Расскажи мне шутку.
journalist	журналист	Журналист задавал вопросы.
jump	прыгать; прыжок	Перепрыгните через линию.
kid	ребёнок; малыш	Ребёнок смеётся.
kill	убивать	Не убивайте насекомое.
king	король	Король жил во дворце.
knee	колено	У меня болит колено.
knife	нож	Используйте острый нож.
knock	стучать; удар	Постучите перед входом.
knowledge	знания	Знания растут с практикой.
lab	лаборатория	Лаборатория закрыта.
lady	дама; женщина	Женщина улыбнулась нам.
lake	озеро	Озеро спокойное.
lamp	лампа	Включите лампу.
laptop	ноутбук	Мой ноутбук новый.
last1 (taking time)	длиться	Фильм длится два часа.
laughter	смех	Мы услышали смех снаружи.
law	закон	Закон изменился вчера.
lawyer	юрист; адвокат	Юрист позвонил мне.
lazy	ленивый	Не будь ленивым.
lead1	вести; руководить	Хорошие лидеры ведут примером.
leader	лидер; руководитель	Она лидер команды.
learning	обучение	Обучение требует времени.
least	наименее; самый маленький	Выберите наименее дорогой вариант.
lecture	лекция	Лекция начинается в десять.
lemon	лимон	Добавьте лимон в чай.
lend	одалживать	Можете одолжить мне пять долларов?
less	меньше	Ешьте меньше сахара.
level	уровень	Этот уровень лёгкий.
lifestyle	образ жизни	У него здоровый образ жизни.
lift	поднимать; лифт	Осторожно поднимите коробку.
light	зажигать	Осторожно зажгите свечу.
light (not heavy)	лёгкий	Эта сумка лёгкая.
likely	вероятный	Завтра вероятен дождь.
link	ссылка; связь	Отправьте мне ссылку.
listener	слушатель	Будьте хорошим слушателем.
lock	запирать; замок	Заприте дверь.
lorry	грузовик	Грузовик вёз коробки.
lost	потерянный	Мы потерялись.
loud	громкий	Музыка громкая.
loudly	громко	Пожалуйста, не говорите громко.
lovely	прекрасный	Какой прекрасный сад!
low	низкий	Стул низкий.
luck	удача	Удачи на тесте.
lucky	удачливый	Тебе сегодня повезло.
mail	почта	Сегодня утром я получил почту.
major	главный; крупный	Это серьёзная проблема.
male	мужской; самец	Самец птицы яркий.
manage	справляться; управлять	Сможете справиться с этой задачей?
manager	менеджер; управляющий	Менеджер занят.
manner	манера; способ	Говорите вежливо.
mark	отмечать; оценка	Чётко отметьте ответ.
marry	жениться; выходить замуж	Они поженятся в июне.
material	материал	Этот материал мягкий.
mathematics	математика	Математика — мой любимый предмет.
maths	математика	Математика для меня трудная.
matter	иметь значение; дело	Это не имеет значения.
may modal	можно; может	Вы можете уйти сейчас.
media	СМИ; медиа	СМИ рассказали эту историю.
medical	медицинский	Ей нужна медицинская помощь.
medicine	лекарство; медицина	Принимайте это лекарство после обеда.
memory	память	У меня хорошая память.
mention	упоминать	Не упоминайте моё имя.
metal	металл	Ворота сделаны из металла.
method	метод	Этот метод работает хорошо.
middle	середина; средний	Стойте посередине.
might modal	может быть; мог бы	Позже может пойти дождь.
mind	разум; мнение	Я изменил своё мнение.
mine (belongs to me)	мой; моя	Эта книга моя.
mirror	зеркало	Посмотрите в зеркало.
missing	пропавший; отсутствующий	Мои ключи пропали.
mobile	мобильный телефон	Мой телефон на столе.
monkey	обезьяна	Обезьяна залезла на дерево.
moon	луна	Луна яркая.
mostly	в основном	Класс в основном тихий.
motorcycle	мотоцикл	Он ездит на мотоцикле.
movement	движение	Я увидел движение в деревьях.
musical	музыкальный; мюзикл	Это музыкальный фильм.
musician	музыкант	Музыкант играл на гитаре.
myself	сам; себя	Я сам это сделал.
narrow	узкий	Дорога узкая.
national	национальный	Это национальный праздник.
nature	природа	Я люблю природу.
nearly	почти	Мы почти на месте.
necessary	необходимый	Это необходимо?
neck	шея	У меня болит шея.
neither	ни тот ни другой	Ни один ответ не правильный.
nervous	нервный	Она нервничает.
network	сеть	Сеть не работает.
noise	шум	Я услышал громкий шум.
noisy	шумный	Улица шумная.
none	никто; ничего	Никто из них не пришёл.
normal	нормальный	Это нормально.
normally	обычно	Я обычно просыпаюсь рано.
notice	замечать; уведомление	Вы заметили знак?
novel	роман	Она написала роман.
nowhere	никуда; нигде	Здесь негде сидеть.
nut	орех	Орех твёрдый.
ocean	океан	Океан глубокий.
offer	предложение; предлагать	Я принял предложение.
officer	офицер; сотрудник	Офицер проверил мой билет.
oil	масло; нефть	Добавьте масло в сковороду.
onto	на	Положите это на полку.
opportunity	возможность	Это хорошая возможность.
option	вариант	Выберите лучший вариант.
ordinary	обычный	Это был обычный день.
organization	организация	Организация помогает студентам.
organize	организовывать	Пожалуйста, организуйте файлы.
original	оригинальный; исходный	Сохраните оригинал чека.
ourselves	сами; себя	Мы сами приготовили ужин.
oven	духовка	Духовка горячая.
owner	владелец	Владелец открыл магазин.
pack	паковать; упаковка	Соберите сумку сейчас.
pain	боль	Я чувствую боль в спине.
painter	художник; маляр	Маляр закончил стену.
palace	дворец	Дворец старый.
pants	брюки; штаны	Эти брюки слишком длинные.
parking	парковка	Здесь трудно с парковкой.
particular	конкретный; особый	Мне нужна конкретная книга.
pass	передавать; проходить	Передайте мне соль.
passenger	пассажир	Каждому пассажиру нужен билет.
patient	терпеливый; пациент	Будьте терпеливы с детьми.
pattern	узор; модель	Этот узор простой.
peace	мир; покой	Мы все хотим мира.
penny	пенни; мелкая монета	Я нашёл монету.
per	за; на	Билеты стоят десять долларов на человека.
per cent	процент	Пять процентов — это мало.
perform	выступать; выполнять	Группа выступит сегодня вечером.
perhaps	возможно	Возможно, она дома.
permission	разрешение	Сначала спросите разрешение.
personality	личность; характер	У него дружелюбный характер.
pet	домашнее животное	Мой питомец — кошка.
petrol	бензин	Машине нужен бензин.
physical	физический	Физические упражнения помогают здоровью.
physics	физика	Физика трудная.
pick	выбирать; подбирать	Выберите одну карточку.
pilot	пилот	Пилот говорил ясно.
planet	планета	Земля — планета.
plastic	пластик; пластиковый	Эта бутылка пластиковая.
plate	тарелка	Положите еду на тарелку.
platform	платформа; перрон	Ждите на второй платформе.
pleased	довольный; рад	Рад познакомиться с вами.
pocket	карман	Билет у меня в кармане.
polite	вежливый	Будьте вежливы со всеми.
pollution	загрязнение	Загрязнение вредит океану.
pop	поп-музыка; популярный	Мне нравится поп-музыка.
population	население	Население растёт.
position	положение; позиция	Измените своё положение.
possession	владение; собственность	Это кольцо — моя собственность.
possibility	возможность	Есть возможность дождя.
poster	плакат	Повесьте плакат на стену.
power	энергия; сила; власть	Компьютеру нужна энергия.
predict	предсказывать	Мы не можем предсказать погоду.
president	президент	Президент произнёс речь.
prevent	предотвращать	Мойте руки, чтобы предотвратить болезнь.
print	печатать; печать	Распечатайте документ.
printer	принтер	Принтер сломан.
prison	тюрьма	Он попал в тюрьму.
prize	приз	Она выиграла приз.
process	процесс; обрабатывать	Процесс занимает время.
produce	производить	Фермы производят еду.
professional	профессиональный; профессионал	Она профессиональная танцовщица.
professor	профессор	Профессор ответил на вопросы.
profile	профиль	Обновите свой профиль.
program	программа	Программа начинается сейчас.
progress	прогресс	Сегодня мы добились прогресса.
promise	обещать; обещание	Сдержите своё обещание.
pronounce	произносить	Пожалуйста, произнесите это слово.
protect	защищать	Защитите глаза.
provide	предоставлять	Они предоставляют бесплатную воду.
pub	паб	Мы встретились в пабе.
public	общественный; публичный	Парк общественный.
publish	публиковать	Они издают журнал.
pull	тянуть	Потяните дверь.
purpose	цель; назначение	Какова цель?
push	толкать; нажимать	Нажмите кнопку.
quality	качество	Качество высокое.
quantity	количество	Проверьте количество.
queen	королева	Королева помахала рукой.
quietly	тихо	Говорите тихо.
race (competition)	гонка; забег	Гонка скоро начнётся.
railway	железная дорога	Железная дорога закрыта.
raise	поднимать; повышать	Поднимите руку.
rate	тариф; ставка	Тариф отеля высокий.
rather	довольно; скорее	Я довольно устал.
reach	достигать; дотянуться	Вы можете дотянуться до полки?
react	реагировать	Как он отреагировал?
realize	понимать; осознавать	Я осознаю свою ошибку.
receive	получать	Вы получили моё сообщение?
recent	недавний	Это недавняя фотография.
recently	недавно	Я недавно переехал сюда.
reception	приём; стойка регистрации	Приём в понедельник.
recipe	рецепт	Этот рецепт лёгкий.
recognize	узнавать	Я узнаю эту песню.
recommend	рекомендовать	Я рекомендую эту книгу.
record	запись; вести запись	Ведите запись платежей.
recording	запись	Запись звучит чётко.
recycle	перерабатывать	Перерабатывайте бумагу и пластик.
reduce	уменьшать; снижать	Уменьшите огонь.
refer	ссылаться; обращаться	Обратитесь ко второй странице.
refuse1	отказываться	Я отказываюсь лгать.
region	регион	Этот регион холодный.
regular	регулярный; постоянный	Он постоянный клиент.
relationship	отношения	Их отношения крепкие.
remove	снимать; удалять	Снимите обувь.
repair	ремонтировать; ремонт	Почините велосипед сегодня.
replace	заменять	Замените старую батарейку.
reply	отвечать; ответ	Пожалуйста, ответьте скоро.
reporter	репортёр	Репортёр делал заметки.
request	просьба; запрос	Я сделал запрос.
research	исследование; исследовать	Мы исследуем местную историю.
researcher	исследователь	Исследователь проверил данные.
respond	отвечать	Пожалуйста, ответьте сегодня.
response	ответ; реакция	Её ответ был быстрым.
rest (remaining part)	остаток; остальная часть	Съешьте остаток позже.
rest (sleep/relax)	отдыхать; отдых	Вам нужно отдохнуть.
review	просматривать; обзор	Просмотрите свои заметки вечером.
ring1	кольцо	Она носила золотое кольцо.
ring2	звонить	Позвоните мне после обеда.
rise	подниматься; расти	Цены растут каждый год.
rock (stone)	камень	Камень тяжёлый.
