source_headword	TE	example_TE
chairman	చైర్మన్	చైర్మన్ సమావేశాన్ని ప్రారంభించారు.
characteristic	లక్షణం	సహనం ఆమె ముఖ్య లక్షణం.
chief	ప్రధాన	చీఫ్ ఇంజనీర్ ఆలస్యంగా వచ్చారు.
circumstance	పరిస్థితి	ప్రతి పరిస్థితిని జాగ్రత్తగా పరిశీలించండి.
cite	ఉదహరించు	దయచేసి మీ మూలాన్ని ఉదహరించండి.
citizen	పౌరుడు	ప్రతి పౌరుడు ఓటు వేయవచ్చు.
civil	శాంతియుతమైన	నిరసన శాంతియుతంగా జరిగింది.
classic	క్లాసిక్	ఈ సినిమా ఒక క్లాసిక్.
closely	నిశితంగా	ప్రక్రియను నిశితంగా గమనించండి.
collapse	కూలిపోవు	పాత వంతెన కూలిపోవచ్చు.
combination	కలయిక	ఈ కలయిక బాగా పనిచేసింది.
comfort	ఓదార్పు	ఆమె మాటలు ఓదార్పునిచ్చాయి.
command	ఆదేశం	అధికారి ఒక ఆజ్ఞ ఇచ్చారు.
commission	కమిషన్	కమిషన్ ఈ కేసును సమీక్షించింది.
commitment	నిబద్ధత	ఉద్యోగానికి నిబద్ధత అవసరం.
committee	కమిటీ	కమిటీ ప్రతి వారం సమావేశమవుతుంది.
commonly	సాధారణంగా	ఈ మొక్కను సాధారణంగా పెంచుతారు.
complicated	సంక్లిష్టమైన	సూచనలు సంక్లిష్టంగా ఉన్నాయి.
component	భాగం	ఒక భాగం విఫలమైంది.
concentration	ఏకాగ్రత	శబ్దం నా ఏకాగ్రతను భంగపరుస్తుంది.
concept	భావన	భావన సులభంగా ఉంది.
concern	శ్రద్ధ	భద్రత మా ప్రధాన శ్రద్ధ.
concerned	ఆందోళన చెందడం	తల్లిదండ్రులు తీవ్రంగా ఆందోళన చెందారు.
conduct	నిర్వహించడం	వారు స్థానికంగా పరిశోధనలు నిర్వహిస్తారు.
confidence	ఆత్మవిశ్వాసం	సాధన ఆత్మవిశ్వాసాన్ని పెంచుతుంది.
conflict	సంఘర్షణ	ఈ సంఘర్షణ సంవత్సరాల పాటు కొనసాగింది.
confusing	గందరగోళం	మ్యాప్ గందరగోళంగా ఉంది.
conscious	స్పృహ	ఆమె స్పృహలోనే ఉంది.
conservative	సంప్రదాయవాద	అతని అభిప్రాయాలు సంప్రదాయవాదమైనవి.
consideration	పరిశీలన	ఖర్చు అనేది ఒక ముఖ్యమైన అంశం.
consistent	స్థిరమైన	ఆమె ఫలితాలు స్థిరంగా ఉన్నాయి.
constant	నిరంతర	నిరంతర శబ్దం మమ్మల్ని అలసిపోయేలా చేసింది.
constantly	నిరంతరం	అతను నిరంతరం తన ఫోన్‌ను తనిఖీ చేస్తాడు.
construct	నిర్మించడం	కార్మికులు కొత్త వంతెనను నిర్మించారు.
construction	నిర్మాణం	నిర్మాణం వచ్చే నెలలో ప్రారంభమవుతుంది.
contemporary	సమకాలీన	ఈ గ్యాలరీ సమకాలీన కళను ప్రదర్శిస్తుంది.
contest	పోటీ	ఆమె పోటీలో ప్రవేశించింది.
contract	ఒప్పందం	ఒప్పందాన్ని జాగ్రత్తగా చదవండి.
contribute	సహకరించడం	ప్రతి ఒక్కరూ ఆలోచనలను అందించవచ్చు.
contribution	సహకారం	ఆమె సహకారం విలువైనది.
convert	మార్చడం	వారు గ్యారేజీని మార్చారు.
convinced	నమ్మకం	అతను అబద్ధం చెప్పాడని నాకు నమ్మకం ఉంది.
core	ప్రధాన	నమ్మకం ప్రధాన సమస్య.
corporate	కార్పొరేట్	కార్పొరేట్ నియమాలు మళ్లీ మారాయి.
council	కౌన్సిల్	కౌన్సిల్ ప్రణాళికను ఆమోదించింది.
county	కౌంటీ	కౌంటీ రోడ్డుకు మరమ్మతులు చేసింది.
courage	ధైర్యం	ఆమె నిజమైన ధైర్యాన్ని చూపించింది.
crash	ప్రమాదం	ఈ ప్రమాదం ట్రాఫిక్‌ను అడ్డుకుంది.
creation	సృష్టి	ఈ సృష్టికి ఆరు నెలలు పట్టింది.
creature	జీవి	ఆ జీవి నిశ్శబ్దంగా కదిలింది.
crew	సిబ్బంది	సిబ్బంది ఓడను సిద్ధం చేశారు.
crisis	సంక్షోభం	సంక్షోభం ప్రతిదాన్ని మార్చేసింది.
criterion	ప్రమాణం	ధర ఒక ప్రమాణం.
critic	విమర్శకుడు	విమర్శకుడు నాటకాన్ని ప్రశంసించాడు.
critical	విషమమైన	అతని పరిస్థితి విషమంగా ఉంది.
criticism	విమర్శ	ఆమె విమర్శలను ప్రశాంతంగా స్వీకరించింది.
criticize	విమర్శించడం	ప్రతి తప్పును విమర్శించకండి.
crop	పంట	ఈ సంవత్సరం పంట విఫలమైంది.
crucial	కీలకమైన	ఇక్కడ సమయం కీలకం.
cure	నివారణ	వైద్యులు ఒక నివారణను కనుగొన్నారు.
curve	వంపు	రహదారి ఒక వంపును అనుసరిస్తుంది.
curved	వక్ర	గోడ కొద్దిగా వక్రంగా ఉంది.
debate	చర్చ	చర్చ గంటల తరబడి కొనసాగింది.
debt	అప్పు	అతను అప్పు తీర్చాడు.
decent	సరైన	వారు ఒక మంచి అపార్ట్‌మెంట్‌ను కనుగొన్నారు.
declare	ప్రకటించడం	వారు ఫలితాన్ని ప్రకటించారు.
decline	తగ్గడం	అమ్మకాలు తగ్గుతూనే ఉన్నాయి.
decoration	అలంకరణ	అలంకరణ ఖరీదైనదిగా కనిపించింది.
decrease	తగ్గించడం	ధరలు త్వరలో తగ్గవచ్చు.
deeply	లోతుగా	ఆమె న్యాయం పట్ల లోతుగా శ్రద్ధ వహించింది.
defeat	ఓటమి	ఓటమి జట్టును దిగ్భ్రాంతికి గురిచేసింది.
defence	రక్షణ	రక్షణ పక్షం ఆధారాలను సవాలు చేసింది.
defend	రక్షించుకొను	అతను తనను తాను రక్షించుకోవడానికి ప్రయత్నించాడు.
delay	ఆలస్యం చేయు	చెడు వాతావరణం వల్ల ఆలస్యం జరిగింది.
deliberate	ఉద్దేశపూర్వక	అది ఉద్దేశపూర్వక ఎంపిక.
deliberately	ఉద్దేశపూర్వకంగా	ఆమె ఉద్దేశపూర్వకంగా హెచ్చరికను పట్టించుకోలేదు.
delight	సంతోషపెట్టు	ఆ వార్త అందరినీ సంతోషపెట్టింది.
delighted	సంతోషించిన	మేము బహుమతిని చూసి సంతోషించాము.
delivery	పంపిణీ	పంపిణీ త్వరగా వచ్చింది.
demand	డిమాండ్ చేయు	కార్మికులు మెరుగైన వేతనం డిమాండ్ చేస్తున్నారు.
demonstrate	ప్రదర్శించు	అతను కొత్త సాఫ్ట్‌వేర్‌ను ప్రదర్శించాడు.
deny	తిరస్కరించు	ఆమె ఆరోపణను తిరస్కరించింది.
depressed	నిరాశ చెందిన	ఓడిపోయిన తరువాత అతను నిరాశకు గురయ్యాడు.
depressing	నిరుత్సాహపరిచే	ఆ సినిమా నిరుత్సాహపరిచేలా ఉంది.
depth	లోతు	కొలను చాలా లోతుగా ఉంది.
deserve	అర్హత కలిగి ఉండు	మీకు విశ్రాంతి తీసుకునే అర్హత ఉంది.
desire	కోరిక	ఆమె ప్రయాణం చేయాలనే కోరికను వ్యక్తం చేసింది.
desperate	తీరని	వారు ఒక తీరని కాల్ చేశారు.
detailed	వివరణాత్మక	మార్గదర్శి చాలా వివరణాత్మకంగా ఉంది.
detect	గుర్తించు	కుక్కలు పొగను గుర్తించగలవు.
dig	తవ్వు	వారు వేసవిలో బావులు తవ్వుతారు.
disc	డిస్క్	డిస్క్ గీతలు పడింది.
discipline	క్రమశిక్షణ	క్రమశిక్షణ క్రీడాకారులు మెరుగుపడటానికి సహాయపడుతుంది.
dishonest	నిజాయితీ లేని	అతని సమాధానం నిజాయితీ లేనిదిగా అనిపించింది.
dismiss	కొట్టివేయు	మేనేజర్ ఫిర్యాదును కొట్టివేశాడు.
display	ప్రదర్శించు	స్క్రీన్ స్కోర్‌ను ప్రదర్శిస్తుంది.
distribute	పంపిణీ చేయు	వలంటీర్లు స్వచ్ఛమైన నీటిని పంపిణీ చేశారు.
distribution	పంపిణీ	సూర్యోదయం తర్వాత పంపిణీ ప్రారంభమైంది.
district	జిల్లా	జిల్లా ఒక మేయర్‌ను ఎన్నుకుంది.
division	విభాగం	విభాగం చట్టపరమైన కేసులను నిర్వహిస్తుంది.
domestic	దేశీయ	దేశీయ విమానాలు చవకైనవి.
dominate	ఆధిపత్యం చెలాయించు	ఒక సంస్థ మార్కెట్‌పై ఆధిపత్యం చెలాయించవచ్చు.
downwards	కిందికి	మార్గం కిందికి వాలి ఉంది.
dozen	డజను	ఆమె ఒక డజను గుడ్లు కొన్నది.
draft	ముసాయిదా	దయచేసి ముసాయిదాను సమీక్షించండి.
drag	లాగు	టేబుల్‌ను లాగవద్దు.
dramatic	నాటకీయ	ఫలితాలు నాటకీయంగా ఉన్నాయి.
edit	సవరించు	ఆమె వ్యాసాన్ని సవరించింది.
edition	ఎడిషన్	ఈ ఎడిషన్‌లో కొత్త ఫోటోలు ఉన్నాయి.
efficient	సమర్థవంతమైన	ఈ వ్యవస్థ సమర్థవంతమైనది.
elderly	వృద్ధ	వృద్ధ నివాసితులకు మద్దతు అవసరం.
elect	ఎన్నుకొను	ఓటర్లు కొత్త కౌన్సిల్‌ను ఎన్నుకుంటారు.
elsewhere	మరెక్కడా	మేము సహాయం కోసం మరెక్కడా వెతికాము.
emerge	వెలువడు	అర్ధరాత్రి తర్వాత వివరాలు వెలువడ్డాయి.
emotional	భావోద్వేగ	ప్రసంగం భావోద్వేగంగా ఉంది.
emphasis	ప్రాధాన్యత	భద్రతపై ప్రాధాన్యత ఇవ్వండి.
emphasize	నొక్కి చెప్పు	ఉపాధ్యాయులు రోజువారీ సాధనను నొక్కి చెబుతారు.
enable	ప్రారంభించు	యాప్ వేగవంతమైన చెల్లింపులను ప్రారంభిస్తుంది.
encounter	ఎదుర్కొను	మేము భారీ ట్రాఫిక్‌ను ఎదుర్కొన్నాము.
engage	నిమగ్నం చేయు	ఈ కోర్సు వయోజన అభ్యాసకులను నిమగ్నం చేస్తుంది.
enhance	మెరుగుపరచు	లైటింగ్ గదిని మెరుగుపరుస్తుంది.
enquiry	విచారణ	విచారణ మూడు నెలలు కొనసాగింది.
ensure	నిర్ధారించు	ఖచ్చితత్వాన్ని నిర్ధారించడానికి రెండుసార్లు తనిఖీ చేయండి.
enthusiasm	ఉత్సాహం	ఆమె ఉత్సాహం సమూహాన్ని ప్రోత్సహించింది.
enthusiastic	ఉత్సాహభరితమైన	వాలంటీర్లు ఉత్సాహంగా ఉన్నారు.
entire	మొత్తం	గ్రామం మొత్తం విద్యుత్తును కోల్పోయింది.
entirely	పూర్తిగా	ఈ కథ పూర్తిగా అబద్ధం.
establish	స్థాపించు	వారు స్పష్టమైన నియమాలను ఏర్పాటు చేశారు.
estate	ఎస్టేట్	ఈ ఎస్టేట్‌లో అనేక పొలాలు ఉన్నాయి.
estimate	అంచనా వేయు	మేము పదివేల మంది సందర్శకులను అంచనా వేస్తున్నాము.
ethical	నైతిక	ఈ నిర్ణయం నైతిక ప్రశ్నలను లేవనెత్తింది.
evaluate	మూల్యాంకనం చేయు	నిపుణులు డిజైన్‌ను మూల్యాంకనం చేస్తారు.
evil	చెడు	రాజు దుష్ట ఆత్మలకు భయపడ్డాడు.
examination	పరీక్ష	పరీక్ష ఒక గంట పాటు కొనసాగింది.
excuse	సాకు	ఆ సాకు బలహీనంగా అనిపించింది.
executive	కార్యనిర్వాహకుడు	కార్యనిర్వాహకుడు ఒప్పందాన్ని ఆమోదించారు.
existence	ఉనికి	వారి ఉనికి తెలియదు.
expectation	అంచనా	ప్రారంభానికి ముందు అంచనాలు ఎక్కువగా ఉన్నాయి.
expense	ఖర్చు	ప్రయాణం మా అతిపెద్ద ఖర్చు.
exploration	అన్వేషణ	అంతరిక్ష అన్వేషణ పిల్లలకు స్ఫూర్తినిస్తుంది.
expose	బహిర్గతం చేయు	ఆ కథనం అవినీతిని బహిర్గతం చేసింది.
extend	పొడిగించు	వారు గడువును పొడిగించారు.
extent	పరిధి	మేము దాని పరిధిని తర్వాత తెలుసుకున్నాము.
external	బాహ్య	బాహ్య ఒత్తిడి వారిని ప్రభావితం చేసింది.
extraordinary	అసాధారణమైన	ఆమె కోలుకోవడం అసాధారణమైనది.
facility	సదుపాయం	ఈ కేంద్రం జూన్‌లో ప్రారంభించబడింది.
failure	వైఫల్యం	వైఫల్యం అతనికి సహనాన్ని నేర్పింది.
faith	నమ్మకం	ఆమె అతనిపై నమ్మకం ఉంచింది.
fault	తప్పు	ఆ ప్రమాదం నా తప్పు.
feather	ఈక	దిండు నుండి ఒక ఈక కింద పడింది.
fee	ఫీజు	ఈ ఫీజులో మధ్యాహ్న భోజనం కూడా కలిసి ఉంటుంది.
feedback	అభిప్రాయం	అభిప్రాయం కోర్సును మెరుగుపరచడంలో సహాయపడింది.
fellow	తోటి	తోటి కార్మికులు ఆమెకు మద్దతు ఇచ్చారు.
finance	నిధులు	బ్యాంకు విస్తరణకు నిధులు సమకూరుస్తుంది.
finding	కనుగొన్న విషయం	కనుగొన్న విషయం పరిశోధకులను ఆశ్చర్యపరిచింది.
firm	సంస్థ	సంస్థ కొత్త సిబ్బందిని నియమించుకుంది.
flame	మంట	ఒక చిన్న మంట కనిపించింది.
flash	మెరుపు	ఒక మెరుపు ఆకాశాన్ని ప్రకాశవంతం చేసింది.
flexible	అనువైన	షెడ్యూల్ సరళమైనది.
float	తేలు	ఆకులు నీటిపై తేలుతాయి.
folding	మడతపెట్టే	అతను మడత కుర్చీని మోసుకెళ్లాడు.
forgive	క్షమించు	మీరు అతనిని క్షమించగలరా?
former	మాజీ	మాజీ మేయర్ తిరిగి వచ్చారు.
fortune	సంపద	వారు చాలా సంపదను కోల్పోయారు.
found	స్థాపించు	వారు ఒక చిన్న స్వచ్ఛంద సంస్థను స్థాపించారు.
freedom	స్వేచ్ఛ	స్వేచ్ఛకు బాధ్యత అవసరం.
frequency	తరచుదనం	శీతాకాలంలో దీని తరచుదనం పెరిగింది.
fully	పూర్తిగా	హోటల్ పూర్తిగా బుక్ చేయబడింది.
fund	నిధి	ఈ నిధి స్థానిక పాఠశాలలకు మద్దతు ఇస్తుంది.
fundamental	ప్రాథమికమైన	ఇక్కడ గౌరవం ప్రాథమికమైనది.
funding	నిధులు	నిధులు ఇవ్వడం గత సంవత్సరం ముగిసింది.
furthermore	అంతేకాకుండా	అంతేకాకుండా, ఖర్చులు పెరుగుతున్నాయి.
gain	పొందు / లాభం	విద్యార్థులు త్వరగా ఆత్మవిశ్వాసాన్ని పొందుతారు.
gang	ముఠా	ఒక ముఠా వీధిని నియంత్రించింది.
generate	ఉత్పత్తి చేయు	సౌర ఫలకాలు విద్యుత్తును ఉత్పత్తి చేస్తాయి.
genre	శైలి	హాస్యం ఆమెకు ఇష్టమైన శైలి.
govern	నియంత్రించు	చట్టాలు ప్రజా వ్యయాన్ని నియంత్రిస్తాయి.
grab	పట్టుకొను	అతను నా చేయి పట్టుకున్నాడు.
gradually	క్రమంగా	నొప్పి క్రమంగా మాయమైంది.
grand	అద్భుతమైన	ఈ హోటల్‌కు అద్భుతమైన ప్రవేశ ద్వారం ఉంది.
grant	మంజూరు	గ్రాంట్ ద్వారా పరికరాలకు చెల్లించారు.
guarantee	హామీ	ఈ టికెట్ ప్రవేశానికి హామీ ఇస్తుంది.
handle	నిర్వహించు	ఆమె ఫిర్యాదును ప్రశాంతంగా పరిష్కరించింది.
harm	హాని	ధూమపానం ఆరోగ్యానికి హాని కలిగిస్తుంది.
harmful	హానికరమైన	ఆ రసాయనం హానికరమైనది.
hearing	వినికిడి	ఆమె వినికిడి మెరుగుపడింది.
heaven	స్వర్గం	వాళ్ళు పైన స్వర్గం ఉందని ఊహించుకున్నారు.
heel	మడమ	అతని మడమ తీవ్రంగా నొప్పులు పెట్టింది.
hell	నరకం	ఆ ప్రయాణం నరకంలా ఉంది.
hesitate	సంకోచించు	అడగడానికి సంకోచించకండి.
hollow	బోలుగా ఉన్న	ఆ చెట్టు లోపల బోలుగా ఉంది.
holy	పవిత్రమైన	వారు ఒక పవిత్ర స్థలాన్ని సందర్శించారు.
honour	గౌరవం	వారు గౌరవం కోసం పోరాడారు.
household	కుటుంబం	ప్రతి కుటుంబానికి నీరు అందింది.
housing	గృహాలు	గృహ ఖర్చులు పెరుగుతూనే ఉన్నాయి.
humorous	హాస్యభరితమైన	అతని కథ హాస్యభరితంగా ఉంది.
humour	హాస్యం	హాస్యం ఒత్తిడిని తగ్గించడానికి సహాయపడింది.
hunting	వేట	ఇక్కడ వేట నిషేధించబడింది.
illustrate	వివరించు	ఉదాహరణలు నియమాన్ని వివరిస్తాయి.
illustration	చిత్రం	ఈ చిత్రం ప్రక్రియను చూపుతుంది.
imagination	ఊహ	పిల్లలు తమ ఊహను స్వేచ్ఛగా ఉపయోగిస్తారు.
impatient	అసహనం	డ్రైవర్లు అసహనానికి గురయ్యారు.
imply	సూచించు	అతని మౌనం అంగీకారాన్ని సూచించవచ్చు.
impose	విధించు	కోర్టు జరిమానా విధించింది.
impress	ఆకట్టుకొను	ఆమె ధైర్యం అందరినీ ఆకట్టుకుంది.
impressed	ముగ్ధుడైన	ఆమె పనికి నేను ముగ్ధుడనయ్యాను.
inch	అంగుళం	దానిని ఒక అంగుళం ఎడమవైపుకు తరలించండి.
incident	సంఘటన	ఈ సంఘటన ఆందోళన కలిగించింది.
income	ఆదాయం	వారి ఆదాయం నెమ్మదిగా పెరిగింది.
increasingly	అంతకంతకూ	గృహాల ఖర్చు అంతకంతకూ పెరుగుతోంది.
industrial	పారిశ్రామిక	ఈ పట్టణానికి పారిశ్రామిక మూలాలు ఉన్నాయి.
infection	ఇన్ఫెక్షన్	ఇన్ఫెక్షన్ త్వరగా వ్యాపించింది.
inform	తెలియజేయు	దయచేసి మేనేజర్‌కు తెలియజేయండి.
initial	ప్రారంభ	ప్రారంభ ఖర్చు ఎక్కువగా ఉంది.
initially	మొదట్లో	మొదట్లో ఎవరూ అతనిని నమ్మలేదు.
initiative	చొరవ	ఆమె ఒక కొత్త చొరవను ప్రారంభించింది.
inner	లోపలి	లోపలి తలుపు లాక్ చేయబడింది.
insight	అంతర్దృష్టి	ఈ నివేదిక ఉపయోగకరమైన అంతర్దృష్టిని అందిస్తుంది.
insist	పట్టుబడు	వారు భద్రతా తనిఖీలను పట్టుబడుతున్నారు.
inspire	ప్రేరేపించు	ఆమె కథ ఇతరులను ప్రేరేపించవచ్చు.
install	అమర్చు	వారు కొత్త హీటర్‌ను అమర్చారు.
instance	ఉదాహరణ	ఇది ఒక స్పష్టమైన ఉదాహరణ.
