source_headword	DE	example_DE
cancer	der Krebs	Die Krebsbehandlung kann schwierig sein.
capable	fähig	Sie ist zu mehr fähig.
capacity	die Kapazität	Der Saal erreichte seine Kapazität.
capture	einfangen; erfassen	Das Foto fängt die Stimmung ein.
cast	die Besetzung	Die Besetzung ist bereit.
cell	die Zelle; die Tabellenzelle	Jede Tabellenzelle enthält Daten.
chairman	der Vorsitzende	Der Vorsitzende eröffnete die Sitzung.
characteristic	das Merkmal	Geduld ist ihr wichtigstes Merkmal.
chief	leitend; haupt-	Der leitende Ingenieur kam spät.
circumstance	der Umstand	Berücksichtigen Sie jeden Umstand sorgfältig.
cite	zitieren	Bitte zitieren Sie Ihre Quelle.
citizen	der Bürger	Jeder Bürger kann wählen.
civil	zivil; höflich	Der Protest blieb friedlich.
classic	klassisch; der Klassiker	Dieser Film ist ein Klassiker.
closely	genau	Beobachten Sie den Prozess genau.
collapse	einstürzen	Die alte Brücke könnte einstürzen.
combination	die Kombination	Die Kombination funktionierte gut.
comfort	der Trost; der Komfort	Ihre Worte spendeten Trost.
command	der Befehl	Der Offizier gab einen Befehl.
commission	die Kommission	Die Kommission prüfte den Fall.
commitment	das Engagement	Die Arbeit erfordert Engagement.
committee	der Ausschuss	Der Ausschuss trifft sich wöchentlich.
commonly	üblicherweise	Diese Pflanze wird üblicherweise angebaut.
complicated	kompliziert	Die Anweisungen sind kompliziert.
component	die Komponente	Eine Komponente fiel aus.
concentration	die Konzentration	Lärm stört meine Konzentration.
concept	das Konzept	Das Konzept ist einfach.
concern	die Sorge	Sicherheit ist unsere Hauptsorge.
concerned	besorgt	Die Eltern waren sehr besorgt.
conduct	durchführen	Sie führen die Forschung vor Ort durch.
confidence	das Vertrauen	Übung baut Vertrauen auf.
conflict	der Konflikt	Der Konflikt dauerte Jahre.
confusing	verwirrend	Die Karte war verwirrend.
conscious	bei Bewusstsein	Sie blieb bei Bewusstsein.
conservative	konservativ	Seine Ansichten sind konservativ.
consideration	die Überlegung	Die Kosten sind eine wichtige Überlegung.
consistent	konsistent; beständig	Ihre Ergebnisse sind beständig.
constant	ständig	Der ständige Lärm erschöpfte uns.
constantly	ständig	Er überprüft ständig sein Telefon.
construct	bauen	Arbeiter bauten eine neue Brücke.
construction	der Bau	Der Bau beginnt nächsten Monat.
contemporary	zeitgenössisch	Die Galerie zeigt zeitgenössische Kunst.
contest	der Wettbewerb	Sie nahm am Wettbewerb teil.
contract	der Vertrag	Lesen Sie den Vertrag sorgfältig.
contribute	beitragen	Jeder kann Ideen beitragen.
contribution	der Beitrag	Ihr Beitrag war wertvoll.
convert	umbauen; umwandeln	Sie bauten die Garage um.
convinced	überzeugt	Ich bin überzeugt, dass er gelogen hat.
core	der Kern	Vertrauen ist der Kern des Problems.
corporate	unternehmerisch; Firmen-	Die Firmenregeln änderten sich wieder.
council	der Rat	Der Rat genehmigte den Plan.
county	der Bezirk	Der Bezirk reparierte die Straße.
courage	der Mut	Sie zeigte echten Mut.
crash	der Unfall	Der Unfall blockierte den Verkehr.
creation	die Schöpfung; die Erstellung	Die Erstellung dauerte sechs Monate.
creature	das Wesen	Das Wesen bewegte sich lautlos.
crew	die Besatzung	Die Besatzung bereitete das Schiff vor.
crisis	die Krise	Die Krise veränderte alles.
criterion	das Kriterium	Der Preis ist ein Kriterium.
critic	der Kritiker	Der Kritiker lobte das Stück.
critical	kritisch	Sein Zustand ist kritisch.
criticism	die Kritik	Sie nahm die Kritik ruhig an.
criticize	kritisieren	Kritisieren Sie nicht jeden Fehler.
crop	die Ernte	Die Ernte fiel dieses Jahr aus.
crucial	entscheidend	Der Zeitpunkt ist hier entscheidend.
cure	die Heilung; das Heilmittel	Ärzte fanden ein Heilmittel.
curve	die Kurve	Die Straße folgt einer Kurve.
curved	gebogen	Die Wand ist leicht gebogen.
debate	die Debatte	Die Debatte dauerte Stunden.
debt	die Schuld	Er bezahlte die Schuld.
decent	ordentlich; anständig	Sie fanden eine ordentliche Wohnung.
declare	erklären	Sie erklärten das Ergebnis.
decline	zurückgehen	Die Verkäufe gingen weiter zurück.
decoration	die Dekoration	Die Dekoration wirkte teuer.
decrease	abnehmen	Die Preise könnten bald sinken.
deeply	tief	Sie sorgte sich tief um Gerechtigkeit.
defeat	die Niederlage	Die Niederlage schockierte das Team.
defence	die Verteidigung	Die Verteidigung stellte die Beweise infrage.
defend	verteidigen	Er versuchte, sich zu verteidigen.
delay	die Verzögerung	Schlechtes Wetter verursachte eine Verzögerung.
deliberate	absichtlich	Es war eine absichtliche Wahl.
deliberately	absichtlich	Sie ignorierte die Warnung absichtlich.
delight	erfreuen	Die Nachricht erfreute alle.
delighted	erfreut	Wir waren über das Geschenk erfreut.
delivery	die Lieferung	Die Lieferung kam früh an.
demand	die Forderung; fordern	Arbeiter fordern bessere Bezahlung.
demonstrate	vorführen; zeigen	Er führte die neue Software vor.
deny	bestreiten	Sie bestritt die Anschuldigung.
depressed	depressiv; niedergeschlagen	Nach der Niederlage war er niedergeschlagen.
depressing	deprimierend	Der Film war deprimierend.
depth	die Tiefe	Das Becken hat große Tiefe.
deserve	verdienen	Sie verdienen eine Pause.
desire	der Wunsch	Sie äußerte den Wunsch zu reisen.
desperate	verzweifelt	Sie tätigten einen verzweifelten Anruf.
detailed	detailliert	Der Leitfaden ist sehr detailliert.
detect	erkennen	Hunde können Rauch erkennen.
dig	graben	Sie graben im Sommer Brunnen.
disc	die Scheibe	Die Scheibe war zerkratzt.
discipline	die Disziplin	Disziplin hilft Sportlern, sich zu verbessern.
dishonest	unehrlich	Seine Antwort klang unehrlich.
dismiss	abweisen; entlassen	Der Manager wies die Beschwerde ab.
display	anzeigen; das Display	Der Bildschirm zeigt den Spielstand an.
distribute	verteilen	Freiwillige verteilten sauberes Wasser.
distribution	die Verteilung	Die Verteilung begann nach Sonnenaufgang.
district	der Bezirk	Der Bezirk wählte einen Bürgermeister.
division	die Abteilung; die Teilung	Die Abteilung bearbeitet Rechtsfälle.
domestic	inländisch; häuslich	Inlandsflüge sind günstiger.
dominate	beherrschen	Ein Unternehmen könnte den Markt beherrschen.
downwards	abwärts	Der Weg führt abwärts.
dozen	das Dutzend	Sie kaufte ein Dutzend Eier.
draft	der Entwurf	Bitte prüfen Sie den Entwurf.
drag	ziehen	Ziehen Sie den Tisch nicht.
dramatic	dramatisch	Die Ergebnisse waren dramatisch.
edit	bearbeiten	Sie bearbeitete den Artikel.
edition	die Ausgabe	Diese Ausgabe enthält neue Fotos.
efficient	effizient	Das System ist effizient.
elderly	älter	Ältere Bewohner brauchen Unterstützung.
elect	wählen	Wähler wählen einen neuen Rat.
elsewhere	anderswo	Wir suchten anderswo nach Hilfe.
emerge	auftauchen	Nach Mitternacht tauchten Details auf.
emotional	emotional	Die Rede war emotional.
emphasis	die Betonung	Legen Sie Betonung auf Sicherheit.
emphasize	betonen	Lehrer betonen tägliche Übung.
enable	ermöglichen	Die App ermöglicht schnelle Zahlungen.
encounter	stoßen auf	Wir stießen auf starken Verkehr.
engage	einbeziehen	Der Kurs bezieht erwachsene Lernende ein.
enhance	verbessern	Beleuchtung kann den Raum verbessern.
enquiry	die Anfrage; die Untersuchung	Die Untersuchung dauerte drei Monate.
ensure	sicherstellen	Prüfen Sie zweimal, um Genauigkeit sicherzustellen.
enthusiasm	die Begeisterung	Ihre Begeisterung ermutigte die Gruppe.
enthusiastic	begeistert	Die Freiwilligen waren begeistert.
entire	ganz	Das ganze Dorf verlor Strom.
entirely	völlig	Die Geschichte ist völlig falsch.
establish	festlegen; gründen	Sie legten klare Regeln fest.
estate	das Anwesen	Das Anwesen umfasst mehrere Bauernhöfe.
estimate	schätzen	Wir schätzen zehntausend Besucher.
ethical	ethisch	Die Entscheidung warf ethische Fragen auf.
evaluate	bewerten	Experten werden das Design bewerten.
evil	böse; das Böse	Der König fürchtete böse Geister.
examination	die Untersuchung; die Prüfung	Die Untersuchung dauerte eine Stunde.
excuse	die Ausrede	Diese Ausrede klang schwach.
executive	die Führungskraft	Die Führungskraft genehmigte den Deal.
existence	die Existenz	Ihre Existenz war unbekannt.
expectation	die Erwartung	Die Erwartung war vor dem Start hoch.
expense	die Ausgabe	Reisen sind unsere größte Ausgabe.
exploration	die Erforschung	Die Erforschung des Weltraums inspiriert Kinder.
expose	aufdecken; aussetzen	Der Artikel deckte Korruption auf.
extend	verlängern; erweitern	Sie verlängerten die Frist.
extent	das Ausmaß	Wir kannten das Ausmaß später.
external	extern	Externer Druck beeinflusste sie.
extraordinary	außergewöhnlich	Ihre Genesung war außergewöhnlich.
facility	die Einrichtung	Die Einrichtung öffnete im Juni.
failure	das Scheitern	Das Scheitern lehrte ihn Geduld.
faith	der Glaube	Sie behielt den Glauben an ihn.
fault	die Schuld; der Fehler	Der Unfall war meine Schuld.
feather	die Feder	Eine Feder fiel vom Kissen.
fee	die Gebühr	Die Gebühr umfasst das Mittagessen.
feedback	das Feedback	Feedback half, den Kurs zu verbessern.
fellow	der Kollege; Mit-	Ihre Kollegen unterstützten sie.
finance	finanzieren; die Finanzen	Die Bank wird die Erweiterung finanzieren.
finding	die Erkenntnis	Die Erkenntnis überraschte Forscher.
firm	die Firma	Die Firma stellte neues Personal ein.
flame	die Flamme	Eine kleine Flamme erschien.
flash	der Blitz	Ein Blitz erhellte den Himmel.
flexible	flexibel	Der Zeitplan ist flexibel.
float	schwimmen; treiben	Blätter treiben auf dem Wasser.
folding	klappbar	Er trug einen Klappstuhl.
forgive	vergeben	Kannst du ihm vergeben?
former	ehemalig	Der ehemalige Bürgermeister kehrte zurück.
fortune	das Vermögen; das Glück	Sie verloren ein Vermögen.
found	gründen	Sie gründeten eine kleine Wohltätigkeitsorganisation.
freedom	die Freiheit	Freiheit erfordert Verantwortung.
frequency	die Häufigkeit; die Frequenz	Die Häufigkeit nahm im Winter zu.
fully	vollständig	Das Hotel ist vollständig ausgebucht.
fund	der Fonds	Der Fonds unterstützt lokale Schulen.
fundamental	grundlegend	Respekt ist hier grundlegend.
funding	die Finanzierung	Die Finanzierung endete letztes Jahr.
furthermore	außerdem	Außerdem steigen die Kosten.
gain	gewinnen; erlangen	Studierende gewinnen schnell Vertrauen.
gang	die Bande	Eine Bande kontrollierte die Straße.
generate	erzeugen	Solarmodule erzeugen Strom.
genre	das Genre	Komödie ist ihr Lieblingsgenre.
govern	regeln; regieren	Gesetze regeln öffentliche Ausgaben.
grab	packen	Er packte meinen Arm.
gradually	allmählich	Der Schmerz verschwand allmählich.
grand	prächtig	Das Hotel hat einen prächtigen Eingang.
grant	der Zuschuss; gewähren	Der Zuschuss bezahlte die Ausrüstung.
guarantee	garantieren	Das Ticket garantiert den Eintritt.
handle	handhaben	Sie handhabte die Beschwerde ruhig.
harm	der Schaden; schaden	Rauchen kann der Gesundheit schaden.
harmful	schädlich	Diese Chemikalie ist schädlich.
hearing	das Gehör; die Anhörung	Ihr Gehör verbesserte sich.
heaven	der Himmel	Sie stellten sich den Himmel oben vor.
heel	die Ferse	Seine Ferse tat stark weh.
hell	die Hölle	Die Reise war die Hölle.
hesitate	zögern	Zögern Sie nicht zu fragen.
hollow	hohl	Der Baum war innen hohl.
holy	heilig	Sie besuchten einen heiligen Ort.
honour	die Ehre	Sie kämpften für Ehre.
household	der Haushalt	Jeder Haushalt erhielt Wasser.
housing	der Wohnraum	Die Wohnkosten steigen weiter.
humorous	humorvoll	Seine Geschichte war humorvoll.
humour	der Humor	Humor half, die Spannung zu verringern.
hunting	die Jagd	Die Jagd ist hier verboten.
illustrate	veranschaulichen	Beispiele veranschaulichen die Regel.
illustration	die Illustration	Die Illustration zeigt den Prozess.
imagination	die Vorstellungskraft	Kinder nutzen ihre Vorstellungskraft frei.
impatient	ungeduldig	Die Fahrer wurden ungeduldig.
imply	andeuten	Sein Schweigen könnte Zustimmung andeuten.
impose	verhängen	Das Gericht verhängte eine Geldstrafe.
impress	beeindrucken	Ihr Mut beeindruckte alle.
impressed	beeindruckt	Ich war von ihrer Arbeit beeindruckt.
inch	der Zoll	Bewegen Sie es einen Zoll nach links.
incident	der Vorfall	Der Vorfall verursachte Besorgnis.
income	das Einkommen	Ihr Einkommen stieg langsam.
increasingly	zunehmend	Wohnen wird zunehmend teuer.
industrial	industriell	Die Stadt hat industrielle Wurzeln.
infection	die Infektion	Die Infektion breitete sich schnell aus.
inform	informieren	Bitte informieren Sie den Manager.
initial	anfänglich	Die anfänglichen Kosten waren hoch.
initially	anfänglich	Anfänglich glaubte ihm niemand.
initiative	die Initiative	Sie startete eine neue Initiative.
inner	inner	Die innere Tür war verschlossen.
insight	die Einsicht	Der Bericht bietet nützliche Einsicht.
insist	bestehen auf	Sie bestehen auf Sicherheitsprüfungen.
inspire	inspirieren	Ihre Geschichte kann andere inspirieren.
install	installieren	Sie installierten eine neue Heizung.
instance	das Beispiel; der Fall	Dies ist ein klares Beispiel.
