source_headword	NL	example_NL
conflict	het conflict	Het conflict duurde jaren.
confusing	verwarrend	De uitleg was verwarrend.
conscious	bewust	Hij bleef bewust na de val.
conservative	conservatief	Het voorstel was vrij conservatief.
consideration	de overweging	Neem dit in overweging.
consistent	consequent	Haar werk is consequent goed.
constant	voortdurend	Er was voortdurend lawaai.
constantly	voortdurend	De telefoon ging voortdurend.
construct	bouwen	Zij bouwden een nieuwe brug.
construction	de bouw	De bouw begint in juni.
contemporary	hedendaags	Het museum toont hedendaagse kunst.
contest	de wedstrijd	Zij won de wedstrijd.
contract	het contract	Het contract eindigt vrijdag.
contribute	bijdragen	Iedereen kan bijdragen aan het fonds.
contribution	de bijdrage	Zijn bijdrage was belangrijk.
convert	omzetten	Zij zetten het gebouw om in flats.
convinced	overtuigd	Ik ben overtuigd van haar gelijk.
core	de kern	Vertrouwen is de kern van het probleem.
corporate	bedrijfs-	Het bedrijf veranderde zijn bedrijfsstrategie.
council	de raad	De raad keurde het plan goed.
county	het graafschap	Het graafschap heeft nieuwe grenzen.
courage	de moed	Zij toonde veel moed.
crash	de botsing	De botsing blokkeerde de weg.
creation	de schepping	De schepping van banen kost tijd.
creature	het wezen	Het wezen bewoog langzaam.
crew	de bemanning	De bemanning bleef kalm.
crisis	de crisis	De crisis duurde maanden.
criterion	het criterium	Prijs is niet het enige criterium.
critic	de criticus	De criticus prees de film.
critical	kritisch	De situatie is kritisch.
criticism	de kritiek	Hij accepteerde de kritiek rustig.
criticize	bekritiseren	Bekritiseer haar niet te snel.
crop	het gewas	Het gewas had meer regen nodig.
crucial	cruciaal	Tijd is hier cruciaal.
cure	de genezing	Er is nog geen genezing.
curve	de bocht	De weg maakt een scherpe bocht.
curved	gebogen	De brug heeft een gebogen vorm.
debate	het debat	Het debat begon laat.
debt	de schuld	Hij betaalde zijn schuld terug.
decent	redelijk	Zij vond een redelijk hotel.
declare	verklaren	De regering verklaarde de noodtoestand.
decline	de daling	De daling was onverwacht.
decoration	de versiering	De versiering hing boven de deur.
decrease	afnemen	De kosten namen langzaam af.
deeply	diep	Hij voelde zich diep gekwetst.
defeat	de nederlaag	De nederlaag was moeilijk te accepteren.
defence	de verdediging	De verdediging was goed voorbereid.
defend	verdedigen	Zij verdedigde haar besluit.
delay	de vertraging	De vertraging duurde een uur.
deliberate	opzettelijk	Het was een opzettelijke keuze.
deliberately	opzettelijk	Hij negeerde de waarschuwing opzettelijk.
delight	het plezier	Het nieuws bracht veel plezier.
delighted	verheugd	Zij was verheugd over het resultaat.
delivery	de levering	De levering komt morgen.
demand	de vraag	De vraag naar kamers steeg.
demonstrate	aantonen	De cijfers tonen het probleem aan.
deny	ontkennen	Hij ontkende de beschuldiging.
depressed	depressief	Zij voelde zich depressief.
depressing	deprimerend	Het nieuws was deprimerend.
depth	de diepte	Meet de diepte van het water.
deserve	verdienen	Zij verdienen een eerlijk antwoord.
desire	het verlangen	Zijn verlangen naar vrijheid bleef.
desperate	wanhopig	Zij deed een wanhopige poging.
detailed	gedetailleerd	We kregen een gedetailleerd verslag.
detect	ontdekken	De test kan fouten ontdekken.
dig	graven	Zij groeven een diepe kuil.
disc	de schijf	De oude schijf werkte niet.
discipline	de discipline	Discipline helpt bij training.
dishonest	oneerlijk	Dat antwoord klonk oneerlijk.
dismiss	afwijzen	De rechter wees de klacht af.
display	tonen	Het scherm toont de resultaten.
distribute	verspreiden	Zij verspreidden voedsel in het dorp.
distribution	de verdeling	De verdeling was niet eerlijk.
district	het district	Het district kreeg een nieuwe school.
division	de afdeling	Zij werkt op de financiële afdeling.
domestic	binnenlands	Binnenlandse vluchten zijn goedkoper.
dominate	domineren	Een team domineerde de wedstrijd.
downwards	omlaag	De pijl wijst omlaag.
dozen	het dozijn	Hij kocht een dozijn eieren.
draft	het ontwerp	Het eerste ontwerp is klaar.
drag	slepen	Sleep de stoel naar de muur.
dramatic	dramatisch	De verandering was dramatisch.
edit	bewerken	Bewerk de tekst zorgvuldig.
edition	de editie	Deze editie bevat nieuwe kaarten.
efficient	efficiënt	Het systeem is efficiënt.
elderly	oudere	De oudere man kreeg hulp.
elect	verkiezen	Zij kozen een nieuwe leider.
elsewhere	elders	We moeten elders zoeken.
emerge	tevoorschijn komen	Er kwamen nieuwe feiten tevoorschijn.
emotional	emotioneel	Het gesprek werd emotioneel.
emphasis	de nadruk	De nadruk ligt op veiligheid.
emphasize	benadrukken	Benadruk het belangrijkste punt.
enable	mogelijk maken	De app maakt snel leren mogelijk.
encounter	tegenkomen	Zij kwamen een probleem tegen.
engage	betrekken	De leraar betrok de klas.
enhance	verbeteren	Deze functie verbetert de ervaring.
enquiry	het onderzoek	Het onderzoek begint morgen.
ensure	verzekeren	Controleer dit om veiligheid te verzekeren.
enthusiasm	het enthousiasme	Haar enthousiasme werkte aanstekelijk.
enthusiastic	enthousiast	De groep was enthousiast.
entire	heel	Het hele team kwam.
entirely	helemaal	Ik ben het helemaal eens.
establish	oprichten	Zij richtten een nieuw bedrijf op.
estate	het landgoed	Het landgoed ligt buiten de stad.
estimate	de schatting	De schatting was te laag.
ethical	ethisch	De keuze was ethisch moeilijk.
evaluate	evalueren	We moeten de resultaten evalueren.
evil	het kwaad	Het verhaal gaat over kwaad.
examination	het examen	Het examen duurde twee uur.
excuse	het excuus	Dat excuus klonk zwak.
executive	de bestuurder	De bestuurder nam ontslag.
existence	het bestaan	Het bestaan van de brief werd bevestigd.
expectation	de verwachting	De verwachting was te hoog.
expense	de uitgave	Deze uitgave was niet gepland.
exploration	de verkenning	De verkenning begon vroeg.
expose	blootstellen	Stel kinderen niet bloot aan rook.
extend	verlengen	Zij verlengden de deadline.
extent	de mate	De mate van schade is onbekend.
external	extern	Een extern team controleert dit.
extraordinary	buitengewoon	Het was een buitengewone prestatie.
facility	de faciliteit	De faciliteit opent volgende week.
failure	het falen	Zijn falen was pijnlijk.
faith	het vertrouwen	Zij verloor vertrouwen in het systeem.
fault	de fout	Het was niet jouw fout.
feather	de veer	Een veer lag op de tafel.
fee	de vergoeding	De vergoeding is inbegrepen.
feedback	de feedback	De feedback was nuttig.
fellow	de collega	Mijn collega hielp me.
finance	de financiën	Zij studeert financiën.
finding	de bevinding	De bevinding verraste het team.
firm	het bedrijf	Het bedrijf groeit snel.
flame	de vlam	De vlam werd groter.
flash	de flits	Een flits verlichtte de kamer.
flexible	flexibel	Het schema is flexibel.
float	drijven	Hout kan op water drijven.
folding	opvouwbaar	Zij kocht een opvouwbare stoel.
forgive	vergeven	Ik kan hem vergeven.
former	voormalig	De voormalige directeur sprak kort.
fortune	het fortuin	Hij verloor zijn fortuin.
found	oprichten	Zij richtten de club in 1998 op.
freedom	de vrijheid	Vrijheid is belangrijk voor iedereen.
frequency	de frequentie	De frequentie nam toe.
fully	volledig	Ik begrijp het volledig.
fund	het fonds	Het fonds steunt onderzoek.
fundamental	fundamenteel	Dit is een fundamenteel recht.
funding	de financiering	De financiering werd goedgekeurd.
furthermore	bovendien	Bovendien is het plan goedkoper.
gain	winnen	Zij wonnen meer steun.
gang	de bende	De bende werd gearresteerd.
generate	genereren	Het programma genereert een rapport.
genre	het genre	Ik hou van dit genre.
govern	regeren	Wetten regelen hoe het land wordt bestuurd.
grab	grijpen	Grijp je tas snel.
gradually	geleidelijk	De pijn verdween geleidelijk.
grand	groot	Het hotel had een grote ingang.
grant	de subsidie	De school kreeg een subsidie.
guarantee	de garantie	De garantie geldt twee jaar.
handle	omgaan met	Zij kan goed met druk omgaan.
harm	de schade	Roken veroorzaakt schade.
harmful	schadelijk	Deze stof is schadelijk.
hearing	het gehoor	Zijn gehoor werd zwakker.
heaven	de hemel	De hemel was helder.
heel	de hiel	Mijn hiel doet pijn.
hell	de hel	De reis voelde als een hel.
hesitate	aarzelen	Aarzel niet om te bellen.
hollow	hol	De boom was hol vanbinnen.
holy	heilig	De tempel is een heilige plaats.
honour	de eer	Het was een grote eer.
household	het huishouden	Elk huishouden kreeg een brief.
housing	de huisvesting	Huisvesting is hier duur.
humorous	humoristisch	Zijn verhaal was humoristisch.
humour	de humor	Haar humor maakte iedereen rustig.
hunting	de jacht	De jacht is hier verboden.
illustrate	illustreren	De grafiek illustreert het verschil.
illustration	de illustratie	De illustratie staat op pagina twee.
imagination	de verbeelding	Gebruik je verbeelding.
impatient	ongeduldig	Hij werd ongeduldig in de rij.
imply	impliceren	Bedoel je dat ik ongelijk heb?
impose	opleggen	De overheid legde nieuwe regels op.
impress	indruk maken	Haar moed maakte indruk op iedereen.
impressed	onder de indruk	Ik was onder de indruk van het werk.
inch	de inch	Het scherm is vijf inch breed.
incident	het incident	Het incident werd onderzocht.
income	het inkomen	Haar inkomen steeg dit jaar.
increasingly	steeds meer	Het wordt steeds meer duidelijk.
industrial	industrieel	De stad heeft een industrieel gebied.
infection	de infectie	De infectie verspreidde zich snel.
inform	informeren	Informeer ons over veranderingen.
initial	aanvankelijk	De aanvankelijke kosten waren hoog.
initially	aanvankelijk	Aanvankelijk begreep niemand het.
initiative	het initiatief	Zij nam het initiatief.
inner	innerlijk	Zijn innerlijke kracht bleef.
insight	het inzicht	Het onderzoek gaf nieuw inzicht.
insist	aandringen	Zij drong aan op een antwoord.
inspire	inspireren	Haar verhaal inspireerde de klas.
install	installeren	Installeer de app vandaag.
instance	het voorbeeld	Dit is een duidelijk voorbeeld.
