simplified	LT	example_LT
变质	sugesti	Per ilgai paliktas pienas suges.
辨认	atpažinti	Policija paprašė jo atpažinti žmogų nuotraukoje.
辩护	ginti	Advokatas gynė kaltinamąjį.
辩解	teisintis	Jis bandė teisintis dėl savo klaidos.
辩证	dialektinis	Į šią problemą turėtume žiūrėti dialektiškai.
辫子	kasa	Maža mergaitė turi dvi kasas.
遍布	paplitęs	Šis augalas paplitęs visoje šalyje.
标本	eksponatas	Muziejuje eksponuojami gyvūnų eksponatai.
标记	žyma	Prašau pažymėti svarbias pastraipas žymomis.
标题	pavadinimas	Šio straipsnio pavadinimas labai patrauklus.
表决	balsuoti	Atstovai balsuos dėl pasiūlymo.
表态	pareikšti poziciją	Jis dar viešai nepareiškė savo pozicijos.
表彰	pagerbti	Įmonė pagerbė puikius darbuotojus.
憋	sulaikyti	Jis sulaikė juoką ir nieko nepasakė.
别墅	vila	Jie nusipirko vilą priemiestyje.
别致	savitas	Šios kavinės interjeras labai savitas.
别扭	negrabiai skambantis	Šis sakinys skamba šiek tiek negrabiai.
濒临	būti ties riba	Šis gyvūnas yra ties išnykimo riba.
冰雹	kruša	Vakar po pietų buvo stipri kruša.
丙	C grupė	C grupės rungtynės prasideda po pietų.
并非	nėra	Iš tikrųjų viskas nėra taip, kaip įsivaizduoji.
并列	dalytis vietą	Šie du projektai dalijasi pirmą vietą.
剥削	išnaudoti	Senojoje visuomenėje buvo rimtas išnaudojimas.
拨	rinkti numerį	Prašau surinkti šį telefono numerį.
播种	sėti	Ūkininkai pavasarį pradeda sėti sėklas.
波浪	banga	Jūroje kilo didelės bangos.
波涛	audringos bangos	Laivas judėjo pirmyn per audringas bangas.
伯母	teta	Šį savaitgalį aplankysiu tetą.
博大精深	platus ir gilus	Kinų kultūra yra plati ir gili.
博览会	paroda	Tarptautinė paroda pritraukė daug įmonių.
搏斗	grumtis	Policija grūmėsi su nusikaltėliu.
薄弱	silpnas	Jo gramatikos pagrindai gana silpni.
不顾	nepaisant	Jis įbėgo vidun nepaisydamas pavojaus.
不愧	vertas vardo	Jis tikrai vertas patyrusio specialisto vardo.
不料	netikėtai	Netikėtai susitikimas staiga buvo atšauktas.
不像话	pasipiktinimą keliantis	Taip elgtis su svečiais yra pasipiktinimą keliantis dalykas.
不屑一顾	niekinamai atmesti	Jis niekinamai atmetė šiuos gandus.
哺乳	žindyti	Motina žindo kūdikį.
捕捉	pagauti	Fotografas pagavo nuostabią akimirką.
补偿	kompensuoti	Įmonė kompensuos tavo nuostolį.
补救	ištaisyti	Dar turime laiko tai ištaisyti.
补贴	subsidija	Vyriausybė skiria subsidijas mažas pajamas gaunančioms šeimoms.
不得已	neturėti kitos išeities	Jis išvyko iš gimtojo krašto tik todėl, kad neturėjo kitos išeities.
不妨	galima	Pirmiausia galima išklausyti jo paaiškinimą.
不敢当	nesu vertas	Tikrai nesu vertas tokių jūsų pagyrų.
不禁	negalėti susilaikyti	Išgirdęs naujieną jis negalėjo susilaikyti nesijuokęs.
不堪	nepakeliamas	Triukšmas čia nepakeliamas.
不可思议	neįtikėtinas	Šis rezultatas tikrai neįtikėtinas.
不免	neišvengiamai	Pirmą kartą scenoje jis neišvengiamai šiek tiek jaudinosi.
不时	retkarčiais	Jis retkarčiais pakeldavo akis į laikrodį.
不惜	nesigailėti	Siekdamas išgelbėti žmogų jis nepabijojo rizikuoti.
不相上下	apylygiai	Abi komandos yra apylygės.
不言而喻	savaime suprantama	Sąžiningumo svarba yra savaime suprantama.
不由得	nejučia	Pamatęs seną nuotrauką, nejučia prisiminiau vaikystę.
不择手段	bet kokiomis priemonėmis	Jis naudoja bet kokias priemones pinigams uždirbti.
不止	daugiau nei	Susitikime dalyvavo daugiau nei šimtas žmonių.
布告	skelbimas	Prie mokyklos vartų buvo pakabintas skelbimas.
布局	išdėstymas	Šio buto išdėstymas labai racionalus.
布置	paskirti	Mokytojas paskyrė naujus namų darbus.
步伐	žingsnis	Komanda žengė tvarkingais žingsniais.
部署	diegti	Įmonė diegia naują pardavimo planą.
部位	vieta	Gydytojas apžiūrėjo sužeistą vietą.
才干	gebėjimai	Ji turi puikių vadovavimo gebėjimų.
裁缝	siuvėjas	Šis siuvėjas labai įgudęs.
裁判	teisėjas	Teisėjas paskelbė, kad rungtynės sustabdytos.
裁员	atleisti darbuotojus	Dėl nuostolių įmonė nusprendė atleisti darbuotojus.
财富	turtas	Žinios taip pat yra savotiškas turtas.
财务	finansai	Finansų skyrius tikrina sąskaitas.
财政	valstybės finansai	Šiemet biudžeto pajamos šiek tiek padidėjo.
彩票	loterijos bilietas	Jis kartais nusiperka loterijos bilietą.
采购	pirkti	Įmonė pasiuntė žmogų nupirkti įrangos.
采集	rinkti	Tyrėjai miške rinko mėginius.
采纳	priimti	Vadovas priėmė mūsų pasiūlymą.
参谋	patarti	Jis dažnai pataria vadovui.
参照	remtis	Prašau užpildyti formą remiantis šiuo formatu.
残疾	negalia	Ši stotis teikia pagalbą keleiviams su negalia.
残酷	žiaurus	Karas yra labai žiaurus.
残留	likti	Puodelyje dar liko kavos kvapas.
残忍	žiaurus	Žiaurus elgesys su gyvūnais yra žiaurus poelgis.
灿烂	spindintis	Ji parodė spindinčią šypseną.
仓促	skubotas	Šis sprendimas buvo priimtas pernelyg skubotai.
仓库	sandėlis	Prekės jau pristatytos į sandėlį.
舱	kajutė	Keleiviai eina į saloną.
苍白	išblyškęs	Jo veidas atrodė labai išblyškęs.
操劳	sunkiai dirbti	Motina daugelį metų sunkiai dirbo dėl šios šeimos.
操练	pratybos	Kariai kiekvieną rytą atlieka pratybas.
操纵	valdyti	Šią mašiną valdo kompiuteris.
操作	naudoti	Prašau naudoti įrangą pagal instrukciją.
嘈杂	triukšmingas	Stotyje labai triukšminga.
草案	projektas	Komitetas svarsto projektą.
草率	neatsargus	Tokio svarbaus sprendimo negalima priimti neatsargiai.
侧面	šonas	Iš šono šis pastatas atrodo aukštesnis.
测量	matuoti	Inžinierius matuoja tilto ilgį.
策划	planuoti	Jie suplanavo didelį renginį.
策略	strategija	Ši strategija padėjo įmonei sumažinti išlaidas.
层出不穷	nuolat rastis	Naujos problemos nuolat viena po kitos randasi.
层次	struktūra	Šio straipsnio struktūra labai aiški.
差别	skirtumas	Tarp šių dviejų metodų nėra didelio skirtumo.
插座	elektros lizdas	Šiame kambaryje nepakanka elektros lizdų.
查获	konfiskuoti	Muitinė konfiskavo partiją padirbtų prekių.
刹那	akimirka	Akimirksniu užgeso visos šviesos.
岔	išsišakojimas	Automobiliai išsiskyrė priekyje esančioje sankryžoje.
诧异	nustebęs	Jo sprendimas visus labai nustebino.
柴油	dyzelinas	Šis sunkvežimis naudoja dyzeliną.
搀	prilaikyti	Slaugytoja prilaikė seną žmogų ir nuvedė į palatą.
缠绕	vyniotis	Vijokliai vyniojasi aplink šakas.
馋	norėti skanėsto	Pamatęs pyragą vaikas labai jo užsinorėjo.
产业	pramonė	Turizmas čia yra svarbi pramonės šaka.
阐述	išdėstyti	Profesorius išsamiai išdėstė savo požiūrį.
颤抖	drebėti	Jai buvo taip šalta, kad drebėjo visas kūnas.
昌盛	klestintis	Tikimės, kad šalis klestės.
偿还	grąžinti	Jis laiku grąžino paskolą.
尝试	bandyti	Galime išbandyti naują metodą.
场合	proga	Tokia proga netinka juokauti.
场面	vaizdas	Vestuvių vaizdas buvo labai gyvas.
场所	vieta	Tai vieša vieta, prašau nerūkyti.
敞开	plačiai atidaryti	Prašau kurį laiką palikti langą plačiai atidarytą.
倡导	propaguoti	Mokykla propaguoja sveiką gyvenimo būdą.
倡议	iniciatyva	Ši aplinkosaugos iniciatyva sulaukė paramos.
畅通	netrukdomas	Lietui nustojus, kelias vėl tapo pravažiuojamas.
畅销	gerai perkamas	Šis romanas labai gerai perkamas.
超越	pranokti	Jis pagaliau pranoko savo rekordą.
钞票	banknotas	Piniginėje liko tik keli banknotai.
嘲笑	šaipytis	Nesišaipyk iš kitų žmonių trūkumų.
巢穴	landa	Medžiotojas aptiko gyvūno landą.
朝代	dinastija	Tangų dinastija yra Kinijos istorijos dinastija.
潮流	tendencija	Jaunimas daug dėmesio skiria mados tendencijoms.
撤退	atsitraukti	Gavę įsakymą kariai atsitraukė.
撤销	panaikinti	Teismas panaikino ankstesnį nuosprendį.
沉淀	nusėsti	Dumblas pamažu nusės.
沉闷	troškus	Šiandien oras karštas ir troškus.
沉思	giliai mąstyti	Jis sėdėjo prie lango giliai susimąstęs.
沉重	sunkus	Ši naujiena visus prislėgė.
沉着	ramus	Pavojaus akivaizdoje išlik ramus.
陈旧	pasenęs	Ši mašina jau labai pasenusi.
陈列	eksponuoti	Parodų salėje eksponuojama daug kultūros relikvijų.
陈述	išdėstyti	Prašau aiškiai išdėstyti faktus.
称心如意	patenkinantis	Šis darbas jam labai patinka.
衬托	pabrėžti	Balta siena pabrėžia gėlių spalvą.
称号	titulas	Jis gavo išskirtinio mokytojo titulą.
乘	važiuoti	Kasdien į darbą važiuoju metro.
呈现	įgauti	Dangus įgavo švelniai raudoną spalvą.
城堡	pilis	Kalno viršūnėje yra sena pilis.
惩罚	bausti	Mokykla baus sukčiaujančius mokinius.
成本	sąnaudos	Kylančios žaliavų kainos padidino sąnaudas.
成交	sudaryti sandorį	Šis verslo sandoris galiausiai buvo sudarytas.
成天	visą dieną	Jis visą dieną sėdi prie kompiuterio.
成效	rezultatas	Naujas valdymo metodas netrukus parodė rezultatus.
成心	tyčia	Jis tyčia tavęs nežemino.
成员	narys	Kiekvienas narys turi dalyvauti susitikime.
承办	organizuoti	Ši įmonė organizavo parodą.
承包	imti pagal sutartį	Jie pagal sutartį ėmėsi šio projekto.
承诺	pažadėti	Jis pažadėjo laiku baigti užduotį.
橙	apelsinas	Nusipirkau kelis šviežius apelsinus.
澄清	paaiškinti	Vadovas išėjo paaiškinti nesusipratimo.
盛	įpilti	Ji įpylė svečiui dubenėlį sriubos.
诚挚	nuoširdus	Prašau priimti mano nuoširdžią padėką.
秤	svarstyklės	Šios svarstyklės nėra labai tikslios.
吃苦	iškęsti sunkumus	Jauni žmonės turėtų išmokti iškęsti sunkumus.
吃力	reikalauti pastangų	Perkelti šią dėžę reikia daug pastangų.
持久	ilgalaikis	Sėkmei reikia ilgalaikių pastangų.
迟钝	lėtas	Pastaruoju metu jo reakcijos šiek tiek lėtos.
迟缓	lėtas	Po lietaus eismas sulėtėjo.
迟疑	dvejoti	Prieš atsakydama ji akimirką dvejojo.
赤道	pusiaujas	Netoli pusiaujo karšta ištisus metus.
赤字	deficitas	Šiemet įmonė patyrė deficitą.
充当	būti	Jis projekte buvo koordinatorius.
充沛	kupinas energijos	Vaikai kupini energijos.
充实	turiningas	Ši patirtis padarė mano gyvenimą turiningesnį.
充足	pakankamas	Prieš kelionę paruoškite pakankamai vandens.
冲动	impulsas	Nepriimk sprendimo dėl akimirkos impulso.
冲击	poveikis	Naujos technologijos paveikė tradicines pramonės šakas.
冲突	konfliktas	Abi pusės stengėsi išvengti konflikto.
崇拜	žavėtis	Daugelis jaunų žmonių žavisi šiuo mokslininku.
崇高	kilnus	Gydytojo pareiga yra kilni.
崇敬	gerbti	Visi mokiniai labai gerbia šį mokytoją.
重叠	persidengti	Šios dvi užduotys iš dalies persidengia.
稠密	tankus	Čia gyventojų tankis labai didelis.
筹备	ruoštis	Jie ruošiasi vestuvėms.
丑恶	bjaurus	Jis atskleidė bjaurią tiesą už šio įvykio.
出路	išeitis	Švietimas gali suteikti jaunimui daugiau kelių į priekį.
出卖	išduoti	Jis neišduotų savo draugų.
出身	kilmė	Jis kilęs iš paprastos šeimos.
出神	įsitraukęs	Ji įsitraukusi klausėsi muzikos.
出息	perspektyva	Šio vaiko laukia perspektyvi ateitis.
初步	preliminarus	Mes pasiekėme preliminarų susitarimą.
除	išskyrus	Visi atvyko, išskyrus jį.
储备	rezervas	Įmonei reikia sukaupti didesnį lėšų rezervą.
储存	saugoti	Šie duomenys bus saugomi automatiškai.
储蓄	taupyti	Jis kas mėnesį sutaupo dalį atlyginimo.
处分	nuobauda	Mokykla jam skyrė griežtą nuobaudą.
处境	padėtis	Jų dabartinė padėtis labai sunki.
处置	tvarkyti	Šią seną įrangą reikia tinkamai sutvarkyti.
触犯	pažeisti	Taip darydamas pažeisi įstatymą.
川流不息	nenutrūkstamas srautas	Gatvėje nenutrūkstamai juda automobilių srautas.
穿越	kirsti	Traukinys kirto ilgą tunelį.
传达	perduoti	Prašau perduoti šią žinią visiems.
传单	skrajutė	Savanoriai gatvėje dalijo skrajutes.
传授	perteikti	Mokytojas perteikė mokiniams savo patirtį.
船舶	laivai	Uoste prišvartuota daug laivų.
喘气	alsuoti	Po bėgimo jis vis dar sunkiai alsavo.
串	suverti	Ji suvertė karoliukus į vėrinį.
床单	paklodė	Prašau pakeisti paklodę.
创立	įkurti	Jie kartu įkūrė šią įmonę.
创新	novatoriškumas	Įmonės plėtrai reikia nuolatinio novatoriškumo.
创业	pradėti verslą	Daugelis jaunų žmonių renkasi pradėti verslą.
创作	kurti	Rašytojas kuria ilgą romaną.
吹牛	girtis	Nesigirk, geriau parodyk įrodymus.
吹捧	perdėtai girti	Žiniasklaida perdėtai gyrė šį produktą.
炊烟	virtuvės dūmai	Vakare iš kaimo kilo virtuvės dūmai.
垂直	statmenas	Šios dvi linijos yra viena kitai statmenos.
锤	plaktukas	Darbininkas plaktuku trenkė per geležies plokštę.
纯粹	grynai	Jis padėjo grynai iš geros valios.
纯洁	tyras	Vaiko širdis labai tyra.
慈善	labdara	Ši įmonė dažnai dalyvauja labdaros veikloje.
慈祥	malonus	Močiutės šypsena labai maloni.
磁带	kasetė	Šią seną kasetę dar galima paleisti.
雌雄	patinas ir patelė	Šio paukščio patinas ir patelė yra skirtingų spalvų.
伺候	slaugyti	Slaugytoja rūpestingai slaugė pacientą.
刺	dyglys	Ant rožės šakos yra daug dyglių.
次品	brokuota prekė	Šių brokuotų prekių negalima parduoti.
次序	eilė	Prašau stoti į eilę pagal tvarką.
丛	guotas	Prie kelio auga laukinių gėlių guotas.
从容	ramiai	Ji ramiai atsakė į klausimą.
凑合	išsiversti	Kambarys nėra didelis, bet jame galima išsiversti.
粗鲁	šiurkštus	Jis kalba pernelyg šiurkščiai.
窜	įsmukti	Ta katė staiga įsmuko į kambarį.
摧残	niokoti	Ilgalaikė tarša niokos šį mišką.
脆弱	trapus	Stiklo gaminiai yra labai trapūs.
搓	trinti	Jis trynė sušalusias rankas.
磋商	konsultacijos	Abi pusės tęs konsultacijas.
挫折	nesėkmė	Kiekvienas susiduria su nesėkmėmis.
搭	važiuoti	Mes važiuosime autobusu į oro uostą.
搭档	partneris	Jis jau daugelį metų yra mano darbo partneris.
搭配	derėti	Šis švarkas gerai dera prie kelnių.
答辩	gynimas	Magistrantas ruošiasi darbo gynimui.
答复	atsakymas	Prašau kuo greičiau duoti man atsakymą.
达成	pasiekti	Abi pusės galiausiai pasiekė susitarimą.
打包	supakuoti	Padavėjas mums supakavo likusį maistą.
打官司	bylinėtis	Jie bylinėjosi dėl sutarties klausimo.
打击	smūgis	Ši nesėkmė jam buvo didelis smūgis.
打架	muštis	Mokiniai, kurie mušasi mokykloje, bus baudžiami.
打量	nužvelgti	Ji nužvelgė mane nuo galvos iki kojų.
打猎	medžioti	Čia medžioti draudžiama.
打仗	kariauti	Niekas nenori kariauti.
大不了	blogiausiu atveju	Blogiausiu atveju rytoj bandysime dar kartą.
大臣	ministras	Karalius sukvietė kelis ministrus.
大伙儿	visi	Visi laukia tavo sprendimo.
大肆	plačiai	Prekybininkas plačiai reklamavo naują produktą.
大体	iš esmės	Šis planas iš esmės yra tinkamas.
大意	pagrindinė mintis	Pirmiausia paaiškink pagrindinę šio straipsnio mintį.
大致	maždaug	Aš maždaug suprantu, kas įvyko.
歹徒	nusikaltėlis	Policija greitai sulaikė nusikaltėlį.
代价	kaina	Sėkmė dažnai reikalauja sumokėti kainą.
代理	pavaduoti	Jis laikinai pavaduoja vadovą.
带领	vesti	Mokytojas vedė mokinius aplankyti muziejaus.
怠慢	nepaisyti	Negalime nepaisyti svečių.
逮捕	suimti	Policija suėmė pagrindinį įtariamąjį.
担保	garantija	Bankas reikalauja, kad kas nors suteiktų garantiją.
胆怯	nedrąsus	Per pirmąją kalbą jis buvo šiek tiek nedrąsus.
淡季	ne sezonas	Ne sezono metu lėktuvo bilietai pigesni.
淡水	gėlas vanduo	Ši žuvis gali gyventi tik gėlame vandenyje.
蛋白质	baltymai	Kiaušiniuose yra daug baltymų.
诞辰	gimimo metinės	Šiandien yra šio rašytojo gimimo metinės.
诞生	gimti	Ši idėja gimė per diskusiją.
当场	vietoje	Jis vietoje pripažino savo klaidą.
当初	iš pradžių	Iš pradžių mes visi palaikėme šį sprendimą.
当代	šiuolaikinis	Šiuolaikinė visuomenė keičiasi labai greitai.
当面	akis į akį	Problemas geriausia aiškiai paaiškinti akis į akį.
当前	dabartinis	Dabartinis svarbiausias dalykas yra užtikrinti saugumą.
当事人	suinteresuotas asmuo	Policija apklausia suinteresuotą asmenį.
当务之急	svarbiausias prioritetas	Būsto problemos sprendimas yra svarbiausias prioritetas.
当选	būti išrinktam	Ji sėkmingai buvo išrinkta pirmininke.
党	partija	Ši partija pasiūlė naują politiką.
档案	byla	Mokykla saugojo mokinių bylas.
档次	lygis	Šis viešbutis yra aukšto lygio.
倒闭	bankrutuoti	Ta maža parduotuvė pernai bankrutavo.
导弹	raketa	Žiniose pranešė apie raketos bandymą.
导航	navigacija	Prašau įjungti telefono navigaciją.
导向	orientacija	Švietimo politika turėtų būti orientuota į teisingumą.
捣乱	trukdyti	Prašau netrukdyti pamokoje.
盗窃	vagystė	Prekybos centras sustiprino priemones vagystėms išvengti.
稻谷	ryžių derlius	Ūkininkai nuima ryžių derlių.
得不偿失	neapsimokėti	Pirkti prastas medžiagas taupant pinigus neapsimoka.
得力	kompetentingas	Jis yra kompetentingas vadovo padėjėjas.
得天独厚	turintis išskirtinių pranašumų	Šis miestas turi išskirtinių geografinių pranašumų.
得罪	įžeisti	Nenoriu dėl smulkmenos įžeisti kolegų.
灯笼	žibintas	Per Pavasario šventę prie durų kabo raudoni žibintai.
登录	prisijungti	Prašau pirmiausia prisijungti prie savo paskyros.
登陆	pasiekti krantą	Šį vakarą taifūnas gali pasiekti pakrantę.
蹬	minti	Jis stipriai mynė pedalą, ir dviratis pajudėjo.
等候	laukti	Keleiviai salėje laukia įlaipinimo.
等级	lygis	Ši programinė įranga turi skirtingus narystės lygius.
瞪	spoksoti	Jis piktai spoksojo į mane.
堤坝	užtvanka	Po smarkaus lietaus užtvanką reikia atidžiai patikrinti.
敌视	priešiškumas	Neturėtume rodyti priešiškumo skirtingoms nuomonėms.
抵达	atvykti	Lėktuvas laiku atvyko į Pekiną.
抵抗	priešintis	Kaimo gyventojai kartu priešinosi potvyniui.
抵制	boikotuoti	Vartotojai pradėjo boikotuoti prastos kokybės produktus.
地步	padėtis	Reikalas dar nepasiekė tokios rimtos padėties.
地势	reljefas	Čia reljefas aukštas, todėl vanduo lengvai nesikaupia.
地质	geologija	Specialistai tiria vietos geologines sąlygas.
递增	nuosekliai didėti	Pardavimai tris mėnesius iš eilės nuosekliai didėjo.
颠簸	kratytis	Kalnų keliu važiuojant labai krato, todėl vairuok atsargiai.
颠倒	apversti	Tu apvertei dviejų skaičių eilę.
典礼	ceremonija	Išleistuvių ceremonija vyks aktų salėje.
典型	tipiškas	Tai tipiškas sėkmės atvejis.
点缀	papuošti	Kelios mažos gėlės papuošė valgomojo stalą.
垫	padėklas	Prašau padėti šį popieriaus lapą po puodeliu.
奠定	padėti pagrindą	Šis bendradarbiavimas padėjo pagrindą ilgalaikiams santykiams.
惦记	rūpintis	Mama visada rūpinasi toli esančiu vaiku.
电源	maitinimo šaltinis	Prieš išeidamas išjunk maitinimo šaltinį.
叼	laikyti burnoje	Tas šuo burnoje laiko kaulą.
雕刻	drožinėti	Jis mėgsta drožinėti raštus medyje.
雕塑	skulptūra	Aikštės centre stovi skulptūra.
吊	kelti	Darbininkai mašina kėlė plieninę siją.
调动	perkelti	Įmonė perkėlė jį dirbti į Šanchajų.
跌	kristi	Akcijų kaina šiandien vėl krito.
丁	kubeliai	Recepte parašyta bulves supjaustyti kubeliais.
叮嘱	primygtinai priminti	Mokytojas primygtinai priminė mums atkreipti dėmesį į saugumą.
盯	įdėmiai žiūrėti	Prašau nuolat nežiūrėti į kitus.
定期	reguliarus	Gydytojas patarė jam reguliariai tikrintis sveikatą.
