source_headword	KN	example_KN
guide	ಮಾರ್ಗದರ್ಶಿ	ಮಾರ್ಗದರ್ಶಿ ಸಂಗ್ರಹಾಲಯವನ್ನು ತೋರಿಸಿದರು.
gun	ತೋಪು	ಪೊಲೀಸರು ಒಂದು ತೋಪು ಕಂಡರು.
guy	ವ್ಯಕ್ತಿ	ಆ ವ್ಯಕ್ತಿ ನನ್ನ ಅಣ್ಣ.
habit	ಅಭ್ಯಾಸ	ಪ್ರತಿದಿನ ಓದುವುದು ಒಳ್ಳೆಯ ಅಭ್ಯಾಸ.
hall	ಸಭಾಂಗಣ	ಸಭಾಂಗಣದಲ್ಲಿ ಕಾಯಿರಿ.
happily	ಸಂತೋಷದಿಂದ	ಅವರು ಒಟ್ಟಿಗೆ ಸಂತೋಷದಿಂದ ಬದುಕಿದರು.
headache	ತಲೆನೋವು	ನನಗೆ ತಲೆನೋವು ಇದೆ.
heart	ಹೃದಯ	ಅವಳ ಹೃದಯ ವೇಗವಾಗಿ ತಡಕುತ್ತದೆ.
heat	ಬಿಸಿ	ಸೂಪನ್ನು ನಿಧಾನವಾಗಿ ಬಿಸಿ ಮಾಡು.
heavy	ಭಾರವಾದ	ಈ ಚೀಲ ಭಾರವಾಗಿದೆ.
height	ಎತ್ತರ	ಮೇಜಿನ ಎತ್ತರವನ್ನು ಅಳೆಯು.
helpful	ಸಹಾಯಕ	ನಿನ್ನ ಸಲಹೆ ಸಹಾಯಕವಾಗಿತ್ತು.
hero	ವೀರ	ಅವನು ನನ್ನ ವೀರನು.
hers	ಅವಳದು	ನೀಲಿ ಕೋಟ್ ಅವಳದು.
herself	ಅವಳೇ	ಅವಳೇ ರಾತ್ರಿ ಊಟ ಮಾಡಿದರು.
hide	ಮರೆಮಾಡು	ಚಾವಿಯನ್ನು ಪೆಟ್ಟಿಗೆಯ ಕೆಳಗೆ ಮರೆಮಾಡು.
hill	ಬೆಟ್ಟ	ನಾವು ಬೆಟ್ಟವನ್ನು ಏರಿದೆವು.
himself	ಅವನೇ	ಅವನೇ ಅದನ್ನು ಸರಿಪಡಿಸಿದನು.
hit	ಹೊಡೆ	ಬಾಗಿಲನ್ನು ಹೊಡೆಯಬೇಡ.
hockey	ಹಾಕಿ	ನಾವು ನಿನ್ನೆ ರಾತ್ರಿ ಹಾಕಿ ನೋಡಿದೆವು.
hold	ಹಿಡಿ	ನನ್ನ ಕೈ ಹಿಡಿ.
hole	ರಂಧ್ರ	ನನ್ನ ಮೊಜೆಯಲ್ಲಿ ರಂಧ್ರ ಇದೆ.
huge	ದೊಡ್ಡ	ಕೊಠಡಿ ತುಂಬಾ ದೊಡ್ಡದು.
human	ಮಾನವ	ಪ್ರತಿ ಮಾನವನಿಗೆ ನೀರು ಬೇಕು.
hurt	ನೋವು ಮಾಡು	ನನ್ನ ಮೊಣಕಾಲಿಗೆ ನೋವು ಇದೆ.
ideal	ಆದರ್ಶ	ಈ ಕೊಠಡಿ ಓದಲು ಆದರ್ಶವಾಗಿದೆ.
identify	ಗುರುತಿಸು	ಈ ಹಕ್ಕಿಯನ್ನು ನೀನು ಗುರುತಿಸಬಹುದೇ?
ill	ಅನಾರೋಗ್ಯ	ಅವಳಿಗೆ ಇಂದು ಅನಾರೋಗ್ಯವಾಗಿದೆ.
illness	ರೋಗ	ರೋಗ ಒಂದು ವಾರ ಮುಂದುವರಿಯಿತು.
image	ಚಿತ್ರ	ಚಿತ್ರ ಸ್ಪಷ್ಟವಾಗಿದೆ.
immediately	ತಕ್ಷಣ	ತಕ್ಷಣ ಇಲ್ಲಿ ಬಾ.
impossible	ಅಸಾಧ್ಯ	ಈ ಪಹೇಲಿ ಅಸಾಧ್ಯವೆಂದು ಕಾಣುತ್ತದೆ.
included	ಒಳಗೊಂಡಿದೆ	ಬೆಳಗಿನ ಊಟ ಒಳಗೊಂಡಿದೆ.
including	ಸೇರಿಸಿ	ನನ್ನನ್ನು ಸೇರಿಸಿ ಹತ್ತು ಜನರು ಬಂದರು.
increase	ಹೆಚ್ಚಾಗು	ಬೇಸಿಗೆಯಲ್ಲಿ ಬೆಲೆಗಳು ಹೆಚ್ಚಾಗುತ್ತವೆ.
incredible	ನಂಬಲಾಗದ	ದೃಶ್ಯ ನಂಬಲಾಗದಂತಿತ್ತು.
independent	ಸ್ವತಂತ್ರ	ನನ್ನ ತಂಗಿ ಸ್ವತಂತ್ರಳು.
individual	ವ್ಯಕ್ತಿ	ಪ್ರತಿ ವ್ಯಕ್ತಿಗೆ ಒಂದು ಸಂಖ್ಯೆ ಇದೆ.
industry	ಉದ್ಯಮ	ಸ್ಥಳೀಯ ಉದ್ಯಮ ಬೆಳೆಯುತ್ತಿದೆ.
informal	ಅನೌಪಚಾರಿಕ	ಈ ಇಮೇಲ್ ಅನೌಪಚಾರಿಕವಾಗಿದೆ.
injury	ಗಾಯ	ಅವನ ಗಾಯ ಗಂಭೀರವಲ್ಲ.
insect	ಕೀಟ	ಒಂದು ಕೀಟ ಕಪ್ ಮೇಲೆ ಕುಳಿತಿತು.
inside	ಒಳಗೆ	ಮನೆಯೊಳಗೆ ಕಾಯಿರಿ.
instead	ಬದಲಾಗಿ	ಬದಲಾಗಿ ನೀರು ಕುಡಿ.
instruction	ಸೂಚನೆ	ಪ್ರತಿ ಸೂಚನೆಯನ್ನು ಜಾಗ್ರತೆಯಿಂದ ಓದು.
instructor	ಬೋಧಕ	ಬೋಧಕ ವ್ಯಾಯಾಮವನ್ನು ವಿವರಿಸಿದರು.
instrument	ವಾದ್ಯ	ಅವಳು ಒಂದು ವಾದ್ಯ ವಾದಿಸುತ್ತಾಳೆ.
intelligent	ಬುದ್ಧಿವಂತ	ಅವನು ಬುದ್ಧಿವಂತ ವಿದ್ಯಾರ್ಥಿ.
international	ಅಂತರರಾಷ್ಟ್ರೀಯ	ಇದು ಅಂತರರಾಷ್ಟ್ರೀಯ ವಿಮಾನ ನಿಲ್ದಾಣ.
introduction	ಪರಿಚಯ	ಪರಿಚಯ ಚಿಕ್ಕದಾಗಿತ್ತು.
invent	ಆವಿಷ್ಕರಿಸು	ಮಕ್ಕಳು ಹೊಸ ಆಟಗಳನ್ನು ಆವಿಷ್ಕರಿಸಬಹುದು.
invention	ಆವಿಷ್ಕಾರ	ಆವಿಷ್ಕಾರ ಸಮಯವನ್ನು ಉಳಿಸಿತು.
invitation	ಆಹ್ವಾನ	ನನಗೆ ಒಂದು ಆಹ್ವಾನ ಬಂದಿತು.
invite	ಆಹ್ವಾನಿಸು	ನಿನ್ನ ಸ್ನೇಹಿತನನ್ನೂ ಆಹ್ವಾನಿಸು.
involve	ಒಳಗೊಳ್ಳು	ಈ ಕೆಲಸದಲ್ಲಿ ಪ್ರಯಾಣ ಒಳಗೊಳ್ಳುತ್ತದೆ.
item	ವಸ್ತು	ಒಂದು ವಸ್ತುವನ್ನು ಆರಿಸು.
itself	ಅದೇ	ಯಂತ್ರವೇ ತಾನೇ ಆಫ್ ಆಗುತ್ತದೆ.
jam	ಜ್ಯಾಂ	ರೊಟ್ಟಿಗೆ ಜ್ಯಾಂ ಹಚ್ಚು.
jazz	ಜಾಜ್	ಇಂದು ರಾತ್ರಿ ಜಾಜ್ ಚೆನ್ನಾಗಿ ಕೇಳಿಸುತ್ತದೆ.
jewellery	ಆಭರಣಗಳು	ಅವಳು ಆಭರಣಗಳನ್ನು ಪೆಟ್ಟಿಗೆಯಲ್ಲಿ ಇಡುತ್ತಾಳೆ.
joke	ಹಾಸ್ಯ	ನನಗೆ ಒಂದು ಹಾಸ್ಯ ಹೇಳು.
journalist	ಪತ್ರಕರ್ತ	ಪತ್ರಕರ್ತ ಪ್ರಶ್ನೆಗಳು ಕೇಳಿದರು.
jump	ಜಿಗಿ	ಗೆರೆಯ ಮೇಲೆ ಜಿಗಿ.
kid	ಮಗು	ಮಗು ನಗುತ್ತಿದೆ.
kill	ಕೊಲ್ಲು	ಕೀಟವನ್ನು ಕೊಲ್ಲಬೇಡ.
king	ರಾಜ	ರಾಜನು ಅರಮನೆಯಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದ.
knee	ಮೊಣಕಾಲು	ನನ್ನ ಮೊಣಕಾಲಿಗೆ ನೋವು ಇದೆ.
knife	ಚಾಕು	ತೀಕ್ಷ್ಣ ಚಾಕು ಬಳಸು.
knock	ತಟ್ಟು	ಒಳಗೆ ಬರುವ ಮೊದಲು ತಟ್ಟು.
knowledge	ಜ್ಞಾನ	ಅಭ್ಯಾಸದಿಂದ ಜ್ಞಾನ ಬೆಳೆಯುತ್ತದೆ.
lab	ಪ್ರಯೋಗಾಲಯ	ಪ್ರಯೋಗಾಲಯ ಮುಚ್ಚಿದೆ.
lady	ಮಹಿಳೆ	ಆ ಮಹಿಳೆ ನಮಗೆ ನಕ್ಕರು.
lake	ಸರೋವರ	ಸರೋವರ ಶಾಂತವಾಗಿದೆ.
lamp	ದೀಪ	ದೀಪವನ್ನು ಹಚ್ಚು.
laptop	ಲ್ಯಾಪ್‌ಟಾಪ್	ನನ್ನ ಲ್ಯಾಪ್‌ಟಾಪ್ ಹೊಸದು.
last1 (taking time)	ಮುಂದುವರಿಯು	ಚಿತ್ರ ಎರಡು ಗಂಟೆ ಮುಂದುವರಿಯುತ್ತದೆ.
laughter	ನಗು	ನಾವು ಹೊರಗೆ ನಗು ಕೇಳಿದೆವು.
law	ಕಾನೂನು	ಕಾನೂನು ನಿನ್ನೆ ಬದಲಾಯಿತು.
lawyer	ವಕೀಲ	ವಕೀಲರು ನನಗೆ ಕರೆ ಮಾಡಿದರು.
lazy	ಸೋಮಾರಿ	ಸೋಮಾರಿಯಾಗಿರಬೇಡ.
lead1	ಮುನ್ನಡೆಸು	ಒಳ್ಳೆಯ ನಾಯಕರು ಮಾದರಿಯಿಂದ ಮುನ್ನಡೆಸುತ್ತಾರೆ.
leader	ನಾಯಕ	ಅವಳು ತಂಡದ ನಾಯಕಿ.
learning	ಕಲಿಕೆ	ಕಲಿಕೆಗೆ ಸಮಯ ಬೇಕು.
least	ಅತಿ ಕಡಿಮೆ	ಅತಿ ಕಡಿಮೆ ಬೆಲೆಯದನ್ನು ಆರಿಸು.
lecture	ಉಪನ್ಯಾಸ	ಉಪನ್ಯಾಸ ಹತ್ತು ಗಂಟೆಗೆ ಆರಂಭವಾಗುತ್ತದೆ.
lemon	ನಿಂಬೆ	ಚಹಾಕ್ಕೆ ನಿಂಬೆ ಸೇರಿಸು.
lend	ಸಾಲಕೊಡು	ನನಗೆ ಐದು ಡಾಲರ್ ಸಾಲಕೊಡಬಹುದೇ?
less	ಕಡಿಮೆ	ಸಕ್ಕರೆ ಕಡಿಮೆ ತಿನ್ನು.
level	ಮಟ್ಟ	ಈ ಮಟ್ಟ ಸುಲಭವಾಗಿದೆ.
lifestyle	ಜೀವನಶೈಲಿ	ಅವನಿಗೆ ಆರೋಗ್ಯಕರ ಜೀವನಶೈಲಿ ಇದೆ.
lift	ಎತ್ತು	ಪೆಟ್ಟಿಗೆಯನ್ನು ಜಾಗ್ರತೆಯಿಂದ ಎತ್ತು.
light	ಬೆಳಗಿಸು	ಮೆಣಬತ್ತಿಯನ್ನು ಜಾಗ್ರತೆಯಿಂದ ಬೆಳಗಿಸು.
light (not heavy)	ಹಗುರವಾದ	ಈ ಚೀಲ ಹಗುರವಾಗಿದೆ.
likely	ಸಂಭವ್ಯ	ನಾಳೆ ಮಳೆ ಬರುವ ಸಾಧ್ಯತೆ ಇದೆ.
link	ಕೊಂಡಿ	ನನಗೆ ಕೊಂಡಿಯನ್ನು ಕಳುಹಿಸು.
listener	ಕೇಳುವವನು	ಒಳ್ಳೆಯ ಕೇಳುವವನಾಗು.
lock	ಬೀಗಹಾಕು	ಬಾಗಿಲಿಗೆ ಬೀಗಹಾಕು.
lorry	ಲಾರಿ	ಲಾರಿ ಪೆಟ್ಟಿಗೆಗಳನ್ನು ಹೊತ್ತೊಯ್ದಿತು.
lost	ದಾರಿ ತಪ್ಪಿದ	ನಾವು ದಾರಿ ತಪ್ಪಿದ್ದೇವೆ.
loud	ಜೋರಾದ	ಸಂಗೀತ ಜೋರಾಗಿದೆ.
loudly	ಜೋರಾಗಿ	ದಯವಿಟ್ಟು ಜೋರಾಗಿ ಮಾತನಾಡಬೇಡ.
lovely	ಸುಂದರ	ಎಷ್ಟು ಸುಂದರ ತೋಟ.
low	ಕಡಿಮೆ	ಕುರ್ಚಿ ಕಡಿಮೆ ಎತ್ತರದಲ್ಲಿದೆ.
luck	ಅದೃಷ್ಟ	ನಿನ್ನ ಪರೀಕ್ಷೆಗೆ ಶುಭ ಅದೃಷ್ಟ.
lucky	ಅದೃಷ್ಟವಂತ	ನೀನು ಇಂದು ಅದೃಷ್ಟವಂತನು.
mail	ಅಂಚೆ	ಇಂದು ಬೆಳಿಗ್ಗೆ ನನಗೆ ಅಂಚೆ ಬಂದಿತು.
major	ಪ್ರಮುಖ	ಇದು ಒಂದು ಪ್ರಮುಖ ಸಮಸ್ಯೆ.
male	ಗಂಡು	ಗಂಡು ಹಕ್ಕಿ ಪ್ರಕಾಶಮಾನವಾಗಿದೆ.
manage	ನಿರ್ವಹಿಸು	ಈ ಕೆಲಸವನ್ನು ನೀನು ನಿರ್ವಹಿಸಬಹುದೇ?
manager	ನಿರ್ವಾಹಕ	ನಿರ್ವಾಹಕ ಬ್ಯುಸಿಯಾಗಿದ್ದಾನೆ.
manner	ರೀತಿ	ಸಭ್ಯ ರೀತಿಯಲ್ಲಿ ಮಾತನಾಡು.
mark	ಗುರುತು ಹಾಕು	ನಿನ್ನ ಉತ್ತರವನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಗುರುತು ಹಾಕು.
marry	ಮದುವೆಯಾಗು	ಅವರು ಜೂನ್‌ನಲ್ಲಿ ಮದುವೆಯಾಗುತ್ತಾರೆ.
material	ವಸ್ತು	ಈ ವಸ್ತು ಮೃದುವಾಗಿ ಅನಿಸುತ್ತದೆ.
mathematics	ಗಣಿತ	ಗಣಿತ ನನ್ನ ಇಷ್ಟದ ವಿಷಯ.
maths	ಗಣಿತ	ಗಣಿತ ನನಗೆ ಕಷ್ಟ.
matter	ವಿಷಯ	ಅದು ಮುಖ್ಯ ವಿಷಯವಲ್ಲ.
may modal	ಬಹುದು	ನೀನು ಈಗ ಹೋಗಬಹುದು.
media	ಮಾಧ್ಯಮ	ಮಾಧ್ಯಮ ಕಥೆಯನ್ನು ವರದಿ ಮಾಡಿತು.
medical	ವೈದ್ಯಕೀಯ	ಅವಳಿಗೆ ವೈದ್ಯಕೀಯ ಸಹಾಯ ಬೇಕು.
medicine	ಔಷಧಿ	ಮಧ್ಯಾಹ್ನ ಊಟದ ನಂತರ ಈ ಔಷಧಿ ತೆಗೆದುಕೋ.
memory	ನೆನಪು	ನನ್ನ ನೆನಪು ಚೆನ್ನಾಗಿದೆ.
mention	ಉಲ್ಲೇಖಿಸು	ನನ್ನ ಹೆಸರನ್ನು ಉಲ್ಲೇಖಿಸಬೇಡ.
metal	ಲೋಹ	ಗೇಟ್ ಲೋಹದಿಂದ ಮಾಡಲಾಗಿದೆ.
method	ವಿಧಾನ	ಈ ವಿಧಾನ ಚೆನ್ನಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತದೆ.
middle	ಮಧ್ಯ	ಮಧ್ಯದಲ್ಲಿ ನಿಲ್ಲು.
might modal	ಬಹಬಹುದು	ನಂತರ ಮಳೆ ಬರಬಹುದು.
mind	ಮನಸ್ಸು	ನಾನು ನನ್ನ ಮನಸ್ಸು ಬದಲಿಸಿಕೊಂಡೆ.
mine (belongs to me)	ನನ್ನದು	ಈ ಪುಸ್ತಕ ನನ್ನದು.
mirror	ಕನ್ನಡಿ	ಕನ್ನಡಿಯಲ್ಲಿ ನೋಡು.
missing	ಕಾಣೆಯಾದ	ನನ್ನ ಚಾವಿಗಳು ಕಾಣೆಯಾಗಿವೆ.
mobile	ಮೊಬೈಲ್	ನನ್ನ ಮೊಬೈಲ್ ಮೇಜಿನ ಮೇಲೆ ಇದೆ.
monkey	ಕೋತಿ	ಕೋತಿ ಮರಕ್ಕೇರಿತು.
moon	ಚಂದ್ರ	ಚಂದ್ರ ಪ್ರಕಾಶಮಾನವಾಗಿದೆ.
mostly	ಹೆಚ್ಚಾಗಿ	ತರಗತಿ ಹೆಚ್ಚಾಗಿ ಶಾಂತವಾಗಿದೆ.
motorcycle	ಮೋಟಾರ್ ಸೈಕಲ್	ಅವನು ಮೋಟಾರ್ ಸೈಕಲ್ ಓಡಿಸುತ್ತಾನೆ.
movement	ಚಲನೆ	ಮರಗಳ ನಡುವೆ ಚಲನೆ ಕಂಡೆ.
musical	ಸಂಗೀತಮಯ	ಇದು ಸಂಗೀತಮಯ ಚಿತ್ರ.
musician	ಸಂಗೀತಗಾರ	ಸಂಗೀತಗಾರ ಗಿಟಾರ್ ವಾದಿಸಿದರು.
myself	ನಾನೇ	ನಾನೇ ಇದನ್ನು ಮಾಡಿದೆ.
narrow	ಕಿರಿದಾದ	ರಸ್ತೆ ಕಿರಿದಾಗಿದೆ.
national	ರಾಷ್ಟ್ರೀಯ	ಇದು ರಾಷ್ಟ್ರೀಯ ರಜೆ.
nature	ಪ್ರಕೃತಿ	ನನಗೆ ಪ್ರಕೃತಿ ಇಷ್ಟ.
nearly	ಸುಮಾರು	ನಾವು ಸುಮಾರು ಅಲ್ಲಿ ಇದ್ದೇವೆ.
necessary	ಅಗತ್ಯ	ಇದು ಅಗತ್ಯವೇ?
neck	ಕತ್ತು	ನನ್ನ ಕತ್ತಿಗೆ ನೋವು ಇದೆ.
neither	ಎರಡೂ ಅಲ್ಲ	ಎರಡು ಉತ್ತರಗಳಲ್ಲಿ ಯಾವುದೂ ಸರಿಯಲ್ಲ.
nervous	ಆತಂಕಗೊಂಡ	ಅವಳು ಆತಂಕಗೊಂಡಿದ್ದಾಳೆ.
network	ಜಾಲ	ಜಾಲ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ.
noise	ಶಬ್ದ	ನಾನು ದೊಡ್ಡ ಶಬ್ದ ಕೇಳಿದೆ.
noisy	ಶಬ್ದಭರಿತ	ಬೀದಿ ಶಬ್ದಭರಿತವಾಗಿದೆ.
none	ಯಾರೂ ಇಲ್ಲ	ಅವರಲ್ಲಿ ಯಾರೂ ಬಂದಿಲ್ಲ.
normal	ಸಾಮಾನ್ಯ	ಇದು ಸಾಮಾನ್ಯವಾಗಿದೆ.
normally	ಸಾಮಾನ್ಯವಾಗಿ	ನಾನು ಸಾಮಾನ್ಯವಾಗಿ ಬೇಗ ಎದ್ದೇಳುತ್ತೇನೆ.
notice	ಗಮನಿಸು	ನೀನು ಆ ಚಿಹ್ನೆಯನ್ನು ಗಮನಿಸಿದೆಯಾ?
novel	ಕಾದಂಬರಿ	ಅವಳು ಒಂದು ಕಾದಂಬರಿ ಬರೆದಳು.
nowhere	ಎಲ್ಲಿಯೂ ಇಲ್ಲ	ಕುಳಿತುಕೊಳ್ಳಲು ಎಲ್ಲಿಯೂ ಇಲ್ಲ.
nut	ಕಾಯಿ	ಕಾಯಿ ಗಟ್ಟಿಯಾಗಿದೆ.
ocean	ಮಹಾಸಾಗರ	ಮಹಾಸಾಗರ ಆಳವಾಗಿದೆ.
offer	ಕೊಡುಗೆ	ನಾನು ಕೊಡುಗೆಯನ್ನು ಸ್ವೀಕರಿಸಿದೆ.
officer	ಅಧಿಕಾರಿ	ಅಧಿಕಾರಿ ನನ್ನ ಟಿಕೆಟ್ ಪರಿಶೀಲಿಸಿದರು.
oil	ಎಣ್ಣೆ	ಪ್ಯಾನ್‌ಗೆ ಎಣ್ಣೆ ಹಾಕು.
onto	ಮೇಲೆ	ಅದನ್ನು ತಗಡಿನ ಮೇಲೆ ಇಡು.
opportunity	ಅವಕಾಶ	ಇದು ಒಳ್ಳೆಯ ಅವಕಾಶ.
option	ಆಯ್ಕೆ	ಉತ್ತಮ ಆಯ್ಕೆಯನ್ನು ಆರಿಸು.
ordinary	ಸಾಧಾರಣ	ಅದು ಒಂದು ಸಾಧಾರಣ ದಿನ.
organization	ಸಂಸ್ಥೆ	ಸಂಸ್ಥೆ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
organize	ವ್ಯವಸ್ಥೆ ಮಾಡು	ದಯವಿಟ್ಟು ಕಡತಗಳನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡು.
original	ಮೂಲ	ಮೂಲ ರಸೀದಿಯನ್ನು ಇಟ್ಟುಕೋ.
ourselves	ನಾವೇ	ನಾವೇ ರಾತ್ರಿ ಊಟವನ್ನು ಅಡುಗೆ ಮಾಡಿದೆವು.
oven	ಒವನ್	ಒವನ್ ಬಿಸಿಯಾಗಿದೆ.
owner	ಮಾಲೀಕ	ಮಾಲೀಕ ಅಂಗಡಿಯನ್ನು ತೆರೆದರು.
pack	ಪ್ಯಾಕ್ ಮಾಡು	ನಿನ್ನ ಚೀಲವನ್ನು ಈಗ ಪ್ಯಾಕ್ ಮಾಡು.
pain	ನೋವು	ನನ್ನ ಬೆನ್ನಿನಲ್ಲಿ ನೋವು ಇದೆ.
painter	ಚಿತ್ರಕಾರ	ಚಿತ್ರಕಾರ ಗೋಡೆಯನ್ನು ಮುಗಿಸಿದರು.
palace	ಅರಮನೆ	ಅರಮನೆ ಹಳೆಯದು.
pants	ಪ್ಯಾಂಟ್	ಈ ಪ್ಯಾಂಟ್ ತುಂಬಾ ಉದ್ದವಾಗಿದೆ.
parking	ನಿಲುಗಡೆ	ಇಲ್ಲಿ ವಾಹನ ನಿಲುಗಡೆ ಕಷ್ಟ.
particular	ನಿರ್ದಿಷ್ಟ	ನನಗೆ ಒಂದು ನಿರ್ದಿಷ್ಟ ಪುಸ್ತಕ ಬೇಕು.
pass	ಕೊಡು	ನನಗೆ ಉಪ್ಪನ್ನು ಕೊಡು.
passenger	ಪ್ರಯಾಣಿಕ	ಪ್ರತಿ ಪ್ರಯಾಣಿಕನಿಗೆ ಟಿಕೆಟ್ ಬೇಕು.
patient	ತಾಳ್ಮೆಯ	ಮಕ್ಕಳೊಂದಿಗೆ ತಾಳ್ಮೆಯಿಂದಿರು.
pattern	ನಮೂನೆ	ಈ ನಮೂನೆ ಸರಳವಾಗಿದೆ.
peace	ಶಾಂತಿ	ನಾವು ಎಲ್ಲರೂ ಶಾಂತಿಯನ್ನು ಬಯಸುತ್ತೇವೆ.
penny	ಸಣ್ಣ ನಾಣ್ಯ	ನನಗೆ ಒಂದು ಸಣ್ಣ ನಾಣ್ಯ ಸಿಕ್ಕಿತು.
per	ಪ್ರತಿ	ಟಿಕೆಟ್‌ಗಳು ಒಬ್ಬರಿಗೆ ಹತ್ತು ಡಾಲರ್ ವೆಚ್ಚವಾಗುತ್ತವೆ.
per cent	ಶೇಕಡಾ	ಐದು ಶೇಕಡಾ ಚಿಕ್ಕದು.
perform	ಪ್ರದರ್ಶಿಸು	ಬ್ಯಾಂಡ್ ಇಂದು ರಾತ್ರಿ ಪ್ರದರ್ಶಿಸುತ್ತದೆ.
perhaps	ಬಹುಶಃ	ಬಹುಶಃ ಅವಳು ಮನೆಯಲ್ಲಿ ಇರುತ್ತಾಳೆ.
permission	ಅನುಮತಿ	ಮೊದಲು ಅನುಮತಿ ಕೇಳು.
personality	ವ್ಯಕ್ತಿತ್ವ	ಅವನಿಗೆ ಸ್ನೇಹಪರ ವ್ಯಕ್ತಿತ್ವ ಇದೆ.
pet	ಸಾಕುಪ್ರಾಣಿ	ನನ್ನ ಸಾಕುಪ್ರಾಣಿ ಬೆಕ್ಕು.
petrol	ಪೆಟ್ರೋಲ್	ಕಾರಿಗೆ ಪೆಟ್ರೋಲ್ ಬೇಕು.
physical	ದೈಹಿಕ	ದೈಹಿಕ ವ್ಯಾಯಾಮ ಆರೋಗ್ಯಕ್ಕೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
physics	ಭೌತಶಾಸ್ತ್ರ	ಭೌತಶಾಸ್ತ್ರ ಕಷ್ಟ.
pick	ಆರಿಸು	ಒಂದು ಕಾರ್ಡ್ ಆರಿಸು.
pilot	ವಿಮಾನಿ	ವಿಮಾನಿ ಸ್ಪಷ್ಟವಾಗಿ ಮಾತನಾಡಿದರು.
planet	ಗ್ರಹ	ಭೂಮಿ ಒಂದು ಗ್ರಹ.
plastic	ಪ್ಲಾಸ್ಟಿಕ್	ಈ ಬಾಟಲಿ ಪ್ಲಾಸ್ಟಿಕ್‌ನದು.
plate	ತಟ್ಟೆ	ಆಹಾರವನ್ನು ತಟ್ಟೆಯಲ್ಲಿ ಇಡು.
platform	ವೇದಿಕೆ	ಎರಡನೇ ವೇದಿಕೆಯಲ್ಲಿ ಕಾಯಿರಿ.
pleased	ಸಂತೋಷವಾದ	ನಿನ್ನನ್ನು ಭೇಟಿ ಮಾಡುವುದು ನನಗೆ ಸಂತೋಷ.
pocket	ಜೇಬು	ಟಿಕೆಟ್ ನನ್ನ ಜೇಬಿನಲ್ಲಿ ಇದೆ.
polite	ಸಭ್ಯ	ಎಲ್ಲರಿಗೂ ಸಭ್ಯವಾಗಿರು.
pollution	ಮಾಲಿನ್ಯ	ಮಾಲಿನ್ಯ ಮಹಾಸಾಗರಕ್ಕೆ ಹಾನಿ ಮಾಡುತ್ತದೆ.
