simplified	RU	example_RU
从前	раньше; прежде; давным-давно	Раньше здесь не было метро.
从事	заниматься; работать в сфере	Она работает в сфере образования.
粗糙	грубый; шероховатый	Этот лист бумаги очень шероховатый.
促进	способствовать; продвигать	Спорт способствует здоровью.
促使	побудить; заставить	Это дело побудило его изменить план.
醋	уксус	В блюдо добавили уксус.
催	торопить; подгонять	Мама торопила меня быстрее выйти.
存在	существовать	Эта проблема все еще существует.
措施	мера; меры	Школа приняла меры безопасности.
答应	согласиться; обещать	Он согласился помочь мне.
达到	достигать	Его оценки достигли стандарта.
打工	подрабатывать; работать	Летом он подрабатывает в ресторане.
打交道	иметь дело; общаться по делам	Я часто имею дело с клиентами.
打喷嚏	чихать	Он простудился и все время чихает.
打听	справляться; узнавать	Я хотел бы узнать о билетах на поезд.
大方	щедрый; стильный	Она щедра в тратах.
大厦	высотное здание; большое здание	То большое здание очень высокое.
大象	слон	Дети смотрят на слонов в зоопарке.
大型	крупный; масштабный	Здесь построят большой торговый центр.
呆	оставаться; глуповатый; безучастный	Он остается дома и читает книгу.
代表	представлять; представитель	Этот цветок символизирует дружбу.
代替	заменять; вместо	Сегодня я пойду на собрание вместо него.
待遇	условия; зарплата; отношение	Условия в этой компании неплохие.
贷款	кредит; заем	Они подали заявку на ипотечный кредит.
单纯	простой; чистый; наивный	Ее мысль очень простая.
单调	однообразный; монотонный	Эта работа немного однообразная.
单独	один; отдельно	Я хочу поговорить с тобой наедине.
单位	единица; организация; учреждение	Он работает в государственном учреждении.
单元	раздел; блок; модуль	Сегодня мы изучаем третий раздел.
担任	занимать должность; выполнять роль	Она отвечает за это мероприятие.
耽误	задерживать; тратить зря время	Не тратьте время всех зря.
胆小鬼	трус	Не называй его трусом.
淡	пресный; слабый; бледный	Этот суп немного пресный.
当地	местный	Местным жителям всем нравится этот рынок.
当心	быть осторожным	Дорога скользкая, будь осторожнее.
挡	загораживать; препятствовать	Эта машина загораживает вход.
倒霉	не везет; невезучий	Сегодня мне ужасно не повезло: я потерял телефон.
导演	режиссер; режиссировать	Этот режиссер очень известный.
导致	приводить к; вызывать	Сильный дождь вызвал пробку.
岛屿	острова	В этой стране много островов.
到达	прибывать; достигать	Поезд прибыл в Шанхай вовремя.
道德	мораль; нравственность	Человек должен иметь моральные принципы.
道理	смысл; причина; довод	В его словах много смысла.
登记	регистрироваться; записывать	Пожалуйста, сначала зарегистрируйтесь на стойке.
等待	ждать; ожидать	Мы ждем результата.
等于	равняться	Пять плюс пять равно десяти.
滴	капля; капать	Капля воды упала на стол.
敌人	враг	Они не враги.
的确	действительно; в самом деле	Это дело действительно очень важное.
地道	настоящий; аутентичный	Он говорит на настоящем пекинском диалекте.
地理	география	Мне очень интересна география Китая.
地区	район; регион	В этом районе зимой очень холодно.
地毯	ковер	В гостиной лежит ковер.
地位	положение; статус	Образование занимает важное место в обществе.
地震	землетрясение	Прошлой ночью здесь произошло землетрясение.
递	передавать; вручать	Пожалуйста, передайте это письмо учителю.
点心	закуска; десерт; димсам	Днем мы ели легкие закуски.
电池	батарейка; аккумулятор	Этой игрушке нужны две батарейки.
电台	радиостанция	Он ведет передачу на радиостанции.
钓	ловить рыбу	Дедушка любит ходить на реку ловить рыбу.
顶	верх; счетное слово для головных уборов	Он носит черную шляпу.
冻	замерзать; мерзнуть	На улице так холодно, что вода замерзла.
动画片	мультфильм	Дети смотрят мультфильмы.
洞	дыра; отверстие; пещера	В стене есть маленькая дырка.
豆腐	тофу	Это блюдо из тофу очень вкусное.
逗	смешить; дразнить	Его слова рассмешили всех.
独立	независимый; самостоятельный	Она хочет жить самостоятельно.
独特	уникальный; своеобразный	У этого города уникальная культура.
度过	проводить; пережить	Мы провели отпуск у моря.
断	ломаться; разрывать; прерывать	Эта веревка порвалась.
堆	куча; складывать в кучу	На столе лежит куча документов.
兑换	обменивать	Я хотел бы обменять немного юаней.
对比	сравнивать; контраст	Пожалуйста, сравните эти два плана.
对待	относиться к; обращаться с	Мы должны относиться ко всем справедливо.
对方	другая сторона; собеседник	Пожалуйста, сначала выслушайте мнение другой стороны.
对手	соперник; противник	Его соперник очень сильный.
对象	объект; предмет; партнер	Объект исследования - студенты университета.
吨	тонна	Этот грузовик может везти три тонны товара.
蹲	сидеть на корточках	Он сидит на корточках на земле и ищет ключи.
顿	раз; прием пищи	Мы вместе поужинали.
多亏	благодаря; к счастью	Благодаря твоей помощи я выполнил задание.
多余	лишний; ненужный	Это предложение лишнее.
朵	счетное слово для цветов	На столе стоит один цветок.
躲藏	прятаться; скрываться	Котенок прячется под кроватью.
恶劣	плохой; ужасный	Сегодня погода очень плохая.
耳环	серьги	На ней пара серег.
发表	публиковать; высказывать	Он высказал мнение на собрании.
发愁	беспокоиться; тревожиться	Не переживай из-за такой мелочи.
发达	развитый; процветающий	Транспорт в этом городе хорошо развит.
发抖	дрожать	Он все время дрожит от холода.
发挥	проявлять; использовать	Пожалуйста, используйте свое воображение.
发明	изобретение; изобретать	Электрическая лампа - важное изобретение.
发票	счет; фапяо	Пожалуйста, выпишите мне счет.
发言	выступать; высказываться	Он выступил на собрании.
罚款	штраф; штрафовать	За неправильную парковку будет штраф.
法院	суд	Это дело передали в суд.
翻	переворачивать; перелистывать	Пожалуйста, откройте книгу на десятой странице.
繁荣	процветающий; процветание	Экономика постепенно процветает.
反而	наоборот; напротив	Он не рассердился, а наоборот засмеялся.
反复	повторно; снова и снова	Это предложение нужно повторять снова и снова.
反应	реакция; реагировать	У него быстрая реакция.
反映	отражать; показывать	Этот отчет отражает реальную ситуацию.
反正	в любом случае; все равно	В любом случае завтра у меня есть время.
范围	диапазон; сфера; рамки	Пожалуйста, не выходите за эти рамки.
方	квадрат; сторона; способ	Пожалуйста, нарисуйте на бумаге квадрат.
方案	план; проект; предложение	Этот план довольно разумный.
方式	способ; образ	Этот способ учебы очень эффективен.
妨碍	мешать; препятствовать	Пожалуйста, не мешайте другим работать.
仿佛	словно; как будто	Он словно все знает.
非	не-; обязательно; без	Без тебя это дело не получится.
肥皂	мыло	При мытье рук нужно использовать мыло.
废话	ерунда; пустые слова	Хватит говорить ерунду, начинай скорее.
分别	расставаться; различать	Они расстались на вокзале.
分布	располагаться; распределяться	Эти магазины расположены по всему городу.
分配	распределять; назначать	Учитель распределил новые задания.
分手	расстаться; разойтись	Они расстались в прошлом году.
分析	анализировать; анализ	Нам нужно проанализировать причины.
纷纷	один за другим; по очереди	Все один за другим выразили согласие.
奋斗	бороться; стремиться	Молодым людям нужно стремиться к мечтам.
疯狂	безумный; неистовый	Болельщики бурно ликовали.
风格	стиль	Стиль этого ресторана очень особенный.
风景	пейзаж; вид	Вид с горы очень красивый.
风俗	обычай; традиция	У каждого места есть свои обычаи.
风险	риск	Инвестиции связаны с определенным риском.
讽刺	высмеивать; сатира	Эта статья высмеяла социальные проблемы.
否定	отрицать; отрицание	Он отверг это утверждение.
否认	отрицать; не признавать	Он отрицал, что совершил ошибку.
幅	счетное слово для картин; полотно	На стене висит картина.
扶	поддерживать; помогать	Пожалуйста, помогите пожилому человеку перейти дорогу.
服装	одежда; костюм	Этот магазин продает детскую одежду.
辅导	заниматься дополнительно; наставлять	Учитель после уроков занимается с учениками.
复制	копировать; делать копию	Пожалуйста, скопируйте этот документ.
妇女	женщины	Эта больница предоставляет услуги женщинам.
改革	реформа; реформировать	Школа проводит реформу преподавания.
改进	улучшать; совершенствовать	Нам нужно улучшить качество обслуживания.
改善	улучшать	Спорт может улучшить сон.
改正	исправлять	Пожалуйста, своевременно исправляйте ошибки.
概括	обобщать; кратко излагать	Пожалуйста, кратко изложите содержание статьи.
概念	понятие; концепция	Это понятие не очень легко понять.
盖	накрывать; крышка	Пожалуйста, как следует накройте чашку.
干脆	просто; прямо; решительно	Тогда просто не ходи сегодня.
干燥	сухой; сухость	Зимой на севере очень сухо.
感激	быть благодарным	Я очень благодарен за твою помощь.
感受	чувство; ощущение	Я могу понять твои чувства.
感想	мысли; впечатления	Пожалуйста, расскажи о своих впечатлениях.
赶紧	поторопиться; скорее	Уже поздно, скорее пойдем.
赶快	быстро; немедленно	Быстро закрой дверь.
干活儿	работать физически	Он работает во дворе.
钢铁	сталь; железо и сталь	Этот мост сделан из стали.
高档	высококлассный; дорогой	Это высококлассный отель.
高级	продвинутый; высокого уровня	Она записалась в продвинутую группу китайского.
搞	делать; заниматься; организовывать	Какое мероприятие ты организуешь?
告别	прощаться	Мы попрощались с другом в аэропорту.
格外	особенно; необычайно	Сегодня небо особенно синее.
隔壁	по соседству; соседний	По соседству живет учитель.
个别	отдельный; единичный	Некоторые отдельные ученики еще не сдали домашнюю работу.
个人	личный; отдельный человек	Это мое личное мнение.
个性	характер; индивидуальность	У нее яркая индивидуальность.
各自	каждый сам; соответственно	Все выполняют свои задачи самостоятельно.
根	корень; счетное слово для длинных тонких предметов	Под столом лежит провод.
根本	совсем; в корне; основной	Эта проблема совсем не трудная.
公布	объявлять; публиковать	Школа объявила результаты экзамена.
公开	открытый; публичный	Это собрание открытое.
公平	справедливый	Соревнование должно быть справедливым.
公寓	квартира; апартаменты	Она сняла маленькую квартиру.
公元	наша эра	Сейчас две тысячи двадцать шестой год нашей эры.
公主	принцесса	Маленькой девочке нравятся истории о принцессах.
功能	функция; возможность	У этой программы много функций.
工厂	фабрика; завод	Этот завод производит автомобили.
工程师	инженер	Мой старший брат инженер.
工具	инструмент	Для ремонта велосипеда нужны инструменты.
工人	рабочий	Рабочие ремонтируют дорогу.
工业	промышленность	Этот город в основном промышленный.
恭喜	поздравлять; поздравления	Поздравляю, ты сдал экзамен.
贡献	вклад; вносить вклад	Он внес вклад в работу компании.
沟通	общаться; коммуникация	Хорошее общение очень важно.
构成	составлять; образовывать	Эти части образуют единое целое.
姑姑	тетя по отцу	На выходных я пойду навестить тетю.
姑娘	девушка; молодая женщина	Та девушка очень отзывчивая.
古代	древность; древние времена	В древности не было мобильных телефонов.
古典	классический	Мне нравится классическая музыка.
股票	акция; акции	Он купил несколько акций.
骨头	кость	Эта кость очень твердая.
鼓舞	воодушевлять; вдохновлять	Эта новость очень вдохновляет.
鼓掌	аплодировать; хлопать	Зрители аплодировали актерам.
固定	фиксированный; постоянный	У меня фиксированное рабочее время.
挂号	зарегистрироваться к врачу; отправить заказным	Перед приемом у врача нужно сначала зарегистрироваться.
乖	послушный; примерный	Этот ребенок очень послушный.
拐弯	поворачивать	На перекрестке впереди поверните направо.
怪不得	неудивительно; вот почему	Неудивительно, что ты так устал.
关闭	закрывать; выключать	Перед уходом выключите компьютер.
官	чиновник; официальный представитель	Он молодой чиновник.
观察	наблюдать	Врач наблюдает за состоянием пациента.
观点	точка зрения	Я согласен с твоей точкой зрения.
观念	взгляд; представление	Взгляды молодых людей меняются.
管子	труба; трубка	Эта труба протекает.
冠军	чемпион	Она выиграла чемпионат в соревновании.
光滑	гладкий	Поверхность этого стола очень гладкая.
光临	посетить; пожаловать	Будем рады видеть вас снова.
光明	светлый; яркий	Будущее светлое.
光盘	компакт-диск; цифровой диск	Пожалуйста, сохраните материалы на диск.
广场	площадь	На площади много людей.
广大	широкий; многочисленный	Эта новость понравилась многим студентам.
广泛	широкий; обширный	Эта книга имеет широкое влияние.
归纳	обобщать; подытоживать	Учитель помог нам обобщить главное.
规矩	правила; порядок	Дети должны понимать правила.
规律	закономерность; режим	В жизни должен быть режим.
规模	масштаб	У этой компании большой масштаб.
规则	правила	Правила соревнования очень понятные.
柜台	стойка; прилавок	Пожалуйста, оплатите у стойки.
滚	кипеть; катиться	Вода уже кипит.
锅	кастрюля; сковорода	В кастрюле горячий суп.
国庆节	День образования КНР; национальный праздник	На День образования КНР у нас выходной.
国王	король	Король живет во дворце.
果然	действительно; как и ожидалось	Он действительно пришел вовремя.
果实	плод; результат	Дерево полно плодов.
过分	чрезмерный; слишком	Его требование немного чрезмерное.
过敏	аллергия; быть аллергичным	У меня аллергия на пыльцу.
过期	истечь; просроченный	У этого молока уже истек срок годности.
哈	ха; междометие смеха	Ха, я наконец понял.
海关	таможня	Мы стояли в очереди на проверку на таможне.
海鲜	морепродукты	Морепродукты в этом ресторане очень свежие.
喊	кричать; звать	Не кричи громко в классе.
行业	отрасль; сфера	Туристическая отрасль быстро развивается.
豪华	роскошный	Они живут в роскошном отеле.
好客	гостеприимный	Местные жители очень гостеприимные.
好奇	любопытный	Детям очень любопытен мир.
何必	зачем; нет нужды	Зачем злиться из-за мелочи?
何况	тем более; не говоря уже о	Сегодня холодно, тем более идет дождь.
合法	законный; легальный	Этот договор законный.
合理	разумный; справедливый	Эта цена разумная.
合同	договор; контракт	Они подписали договор.
合影	групповое фото	На выпускном мы сделали общее фото.
合作	сотрудничать; сотрудничество	Мы завершили проект совместно.
和平	мир	Каждый надеется на мир.
核心	ядро; суть	Доверие - основа сотрудничества.
恨	ненавидеть; сожалеть	Он жалеет, что не начал стараться раньше.
猴子	обезьяна	В зоопарке есть несколько обезьян.
后背	спина	У него немного болит спина.
后果	последствие	Тебе нужно подумать о последствиях.
呼吸	дышать; дыхание	Пожалуйста, глубоко вдохните.
忽然	вдруг; внезапно	Небо вдруг потемнело.
忽视	игнорировать; пренебрегать	Не игнорируйте эту проблему.
壶	чайник; кувшин	На столе стоит чайник с чаем.
糊涂	растерянный; неясный	Сегодня я немного растерян.
胡说	говорить ерунду	Не говори ерунду, это неправда.
胡同	хутун; переулок	В Пекине много старых хутунов.
蝴蝶	бабочка	В саду есть бабочка.
花生	арахис	Он любит есть арахис.
华裔	человек китайского происхождения	Она писательница китайского происхождения.
滑	скользкий; скользить	Пол скользкий, будь осторожнее.
划	грести; проводить черту; быть выгодным	Когда они плыли на лодке, он отвечал за греблю.
化学	химия	В университете она изучала химию.
话题	тема	Эта тема очень интересная.
怀念	скучать; вспоминать	Я очень скучаю по студенческой жизни.
怀孕	быть беременной	Она на третьем месяце беременности.
缓解	облегчать; смягчать	Отдых может снять стресс.
幻想	фантазировать; фантазия	Он часто фантазирует о путешествии в космос.
慌张	паниковать; растерянный	Не паникуй, когда сталкиваешься с проблемой.
黄金	золото	Цена на золото снова выросла.
恢复	восстанавливаться; восстановить	Его организм восстанавливается.
挥	махать; взмахивать	Она помахала рукой.
灰	серый; пепел	Небо серое.
灰尘	пыль	На столе много пыли.
灰心	падать духом	Не падай духом, даже если потерпел неудачу.
汇率	обменный курс	Какой сегодня обменный курс?
婚礼	свадьба; свадебная церемония	Их свадьба была очень простой.
婚姻	брак	Брак требует взаимного понимания.
活跃	активный	Он очень активен на занятии.
伙伴	партнер; товарищ	Он мой лучший товарищ.
火柴	спичка	В коробке осталась только одна спичка.
或许	возможно; может быть	Возможно, завтра будет дождь.
基本	базовый; основной	Это базовые требования.
机器	машина; механизм	Эта машина сломалась.
激烈	ожесточенный; интенсивный	Соревнование проходило очень напряженно.
肌肉	мышца; мышцы	После тренировки мышцы немного болят.
及格	сдать экзамен; получить проходной балл	Он сдал этот экзамен.
急忙	спешно; поспешно	Он поспешно выбежал из класса.
急诊	приемное отделение; неотложная помощь	Пациента отправили в приемное отделение.
极其	чрезвычайно; крайне	Этот вопрос чрезвычайно важен.
集合	собираться; сбор	Пожалуйста, соберитесь у входа в восемь часов.
集体	коллектив; групповой	Это групповое мероприятие.
集中	сосредоточить; сконцентрировать	На уроке нужно сосредоточить внимание.
寂寞	одинокий; тоскливый	Жить одному иногда бывает одиноко.
系领带	завязывать галстук	Каждый день перед работой он завязывает галстук.
纪录	рекорд; запись	Он побил школьный рекорд.
纪律	дисциплина	Дисциплина в классе очень важна.
纪念	памятный; отмечать	Мы сделали фотографии на память об этом дне.
计算	считать; вычислять	Пожалуйста, посчитайте общую сумму расходов.
记录	записывать; запись	Пожалуйста, записывайте содержание собрания.
记忆	память; воспоминание	Это воспоминание очень дорогое.
嘉宾	почетный гость	Сегодняшний гость - писатель.
夹子	зажим; клипса	Пожалуйста, закрепите документы зажимом.
家庭	семья; домашнее хозяйство	Семья очень важна для ребенка.
家务	домашние дела	На выходных мне нужно заниматься домашними делами.
家乡	родной город; родные места	Я очень скучаю по родным местам.
假如	если; предположим	Если завтра пойдет дождь, мы не пойдем.
假设	предположение; предположим	Предположим, ты учитель: что бы ты сделал?
假装	притворяться	Он притворился, что не услышал.
甲	сторона А; первый пункт	Сторона А должна заплатить вовремя.
价值	ценность; стоимость	Эта книга очень ценная.
嫁	выходить замуж	В следующем году она выйдет замуж за своего парня.
驾驶	водить; управлять транспортом	За рулем нужно вести машину осторожно.
兼职	подработка; работать по совместительству	Вечером он подрабатывает.
坚决	решительный; твердый	Он твердо не согласен с этим решением.
坚强	сильный; стойкий	Она сильный человек.
肩膀	плечо	У него травмировано плечо.
艰巨	трудный; тяжелый	Это трудная задача.
艰苦	тяжелый; трудный	Они пережили трудную жизнь.
剪刀	ножницы	Пожалуйста, передайте мне ножницы.
捡	подбирать; поднимать	Он поднял кошелек с земли.
简历	резюме	Перед поиском работы нужно подготовить резюме.
简直	просто; буквально	Эта новость просто шокирует.
健身	заниматься фитнесом; тренироваться	Он ходит тренироваться три раза в неделю.
建立	создавать; устанавливать	Мы установили новые отношения.
建设	строительство; строить	Городское строительство быстро развивается.
建筑	здание; архитектура	У этого здания есть особенные черты.
键盘	клавиатура	Мою клавиатуру нужно почистить.
讲究	уделять внимание; быть взыскательным	Китайцы уделяют большое внимание еде.
讲座	лекция	Сегодня вечером будет лекция по китайскому.
酱油	соевый соус	Добавь в блюдо немного соевого соуса.
交换	обменивать; обменяться	Мы обменялись номерами телефонов.
交际	общение; социальные контакты	При изучении языка нужно также тренировать общение.
交往	общаться; встречаться	Они встречались два года.
浇	поливать	Пожалуйста, поливайте цветы каждый день.
胶水	клей	Я приклеил фотографию клеем.
狡猾	хитрый; коварный	Та лиса очень хитрая.
角度	угол; точка зрения	Давайте посмотрим на проблему с другого угла.
教材	учебник; учебный материал	Этот учебник очень практичный.
教练	тренер; инструктор	Тренер требует, чтобы мы приходили вовремя.
教训	урок; поучение	Эта неудача стала уроком.
接触	контакт; соприкасаться	Я впервые соприкоснулся с китайской культурой.
接待	принимать гостей; встречать	Компания назначила специального человека для приема гостей.
接近	приближаться; близкий	Праздник Весны все ближе.
结实	крепкий; прочный	Этот чемодан очень прочный.
阶段	этап; стадия	Учеба разделена на три этапа.
结构	структура	У этой статьи ясная структура.
结合	соединять; сочетать	Учебу нужно сочетать с практикой.
结论	вывод; заключение	Его вывод очень убедителен.
结账	оплачивать счет	После еды мы пошли оплатить счет.
节省	экономить	Метро помогает экономить время.
借口	отговорка; предлог	Хватит искать отговорки.
届	созыв; выпуск; раз проведения	Это третьи соревнования.
戒	бросать; предостерегать	Врач посоветовал ему бросить курить.
戒指	кольцо	На ней кольцо.
金属	металл	Железо - это металл.
