source_headword	ID	example_ID
tip	tip	Tinggalkan tip untuk layanan.
tool	alat	Gunakan alat yang tepat.
top	atas	Rak atas penuh.
touch	sentuh	Jangan sentuh kaca.
tour	tur	Kami mengikuti tur kota.
tourism	pariwisata	Pariwisata membantu kota ini.
towards	menuju	Berjalanlah menuju stasiun.
towel	handuk	Bawa handuk bersih.
tower	menara	Menara itu sangat tua.
toy	mainan	Mobil mainan itu merah.
track	jalur	Jalur itu menuju utara.
tradition	tradisi	Tradisi ini tua.
traditional	tradisional	Dia memakai pakaian tradisional.
trainer	pelatih	Pelatih saya banyak membantu.
training	pelatihan	Pelatihan dimulai besok.
transport	transportasi	Transportasi umum terlambat.
traveller	pelancong	Pelancong itu meminta bantuan.
trouble	masalah	Kami mengalami masalah kemarin.
truck	truk	Truk itu ada di luar.
twin	kembar	Saudara perempuan kembar saya lebih tinggi.
typical	khas	Ini hari yang khas.
underground	bawah tanah	Kereta berjalan di bawah tanah.
understanding	pemahaman	Pemahaman Anda benar.
unfortunately	sayangnya	Sayangnya, toko tutup.
unhappy	tidak bahagia	Dia terlihat tidak bahagia.
uniform	seragam	Dia memakai seragam sekolah.
unit	unit	Unit ini kecil.
united	bersatu	Tim tetap bersatu.
unusual	tidak biasa	Bunyi itu tidak biasa.
used to modal	dulu	Kami dulu tinggal di sini.
user	pengguna	Setiap pengguna memiliki nomor.
usual	biasa	Saya mengambil tempat duduk biasa saya.
valley	lembah	Lembah itu hijau.
van	van	Van itu penuh.
variety	variasi	Kami membutuhkan lebih banyak variasi.
vehicle	kendaraan	Kendaraan ini lambat.
view	pemandangan	Pemandangan itu indah.
virus	virus	Virus membuatnya sakit.
voice	suara	Suaranya pelan.
war	perang	Perang itu berakhir bertahun-tahun lalu.
washing	cucian	Cucian berada di luar.
wave	ombak	Ombak menghantam perahu.
weak	lemah	Kaki saya terasa lemah.
web	web	Halaman web terbuka.
wedding	pernikahan	Pernikahan dimulai segera.
weight	berat	Periksa beratnya dulu.
wet	basah	Sepatu saya basah.
wheel	roda	Roda itu rusak.
while	sebentar	Tunggu di sini sebentar.
whole	seluruh	Saya memakan seluruh apel.
whose	milik siapa	Ponsel ini milik siapa?
wide	lebar	Jalannya lebar.
wild	liar	Hewan liar hidup di sini.
wind1	angin	Anginnya kuat.
winner	pemenang	Pemenang itu tersenyum.
wish	harapan	Buatlah satu harapan.
wood	kayu	Kursi itu terbuat dari kayu.
wooden	dari kayu	Kotak dari kayu itu berat.
working	kerja	Hari kerja berakhir.
worried	khawatir	Saya merasa khawatir hari ini.
worry	khawatir	Jangan khawatir sekarang.
worse	lebih buruk	Rasa sakit ini lebih buruk.
worst	paling buruk	Itu hari yang paling buruk.
wow	wow	Wow, itu luar biasa!
yet	belum	Apakah kita sudah sampai belum?
yours	milikmu	Buku ini milikmu.
zero	nol	Hitung mundur sampai nol.
