source_headword	KA	example_KA
balloon	ბუშტი	ბუშტი მაგიდის ზემოთ ლივლივებდა.
barely	ძლივს	მან განცხადება ძლივს გაიგონა.
bargain	გარიგება	ეგ ქურთუკი ნამდვილად ხელსაყრელი შენაძენი იყო.
basement	სარდაფი	ყუთები სარდაფშია.
basket	კალათა	მან ვაშლები კალათაში ჩადო.
bat	ღამურა	ღამურა გამოქვაბულიდან გამოფრინდა.
beneficial	სასარგებლო	რეგულარული ვარჯიში ჯანმრთელობისთვის სასარგებლოა.
beside	გვერდით	ნათურა დივნის გვერდით დგას.
besides	გარდა ამისა	მათემატიკის გარდა, ის ქიმიას სწავლობს.
bias	მიკერძოება	სტატიამ აშკარა მიკერძოება აჩვენა.
bid	განაცხადი	კომპანიამ უფრო მაღალი ფასი შესთავაზა.
biological	ბიოლოგიური	ბიოლოგიურმა ტესტმა შედეგი დაადასტურა.
blanket	საბანი	ბავშვს საბნის ქვეშ ეძინა.
blow	დარტყმა	ძლიერმა დარტყმამ ფანჯარა ჩაამსხვრია.
bold	თამამი	სათაურში მკვეთრი ასოები გამოიყენეს.
bombing	დაბომბვა	დაბომბვამ რამდენიმე შენობა დააზიანა.
booking	ჯავშანი	მე სასტუმროს ჯავშანი დავადასტურე.
boost	სტიმული	გამარჯვებამ გუნდის თავდაჯერებულობა გაზარდა.
bound	ვალდებული	ამანათი თოკით იყო შეკრული.
brick	აგური	კედელი აგურისგან არის აშენებული.
briefly	მოკლედ	მან სადილის შემდეგ მოკლედ ისაუბრა.
broadcaster	მაუწყებელი	მაუწყებელმა მერს ინტერვიუ ჩამოართვა.
broadly	ფართოდ	ეს ორი გეგმა ზოგადად მსგავსია.
bug	ხარვეზი	ხარვეზის გამო აპლიკაცია გაითიშა.
cabin	კაბინა	ჩვენ პატარა კოტეჯში გავჩერდით.
canal	არხი	ნავები არხში ნელა მოძრაობდნენ.
candle	სანთელი	მაგიდაზე სანთელი ენთო.
carbon	ნახშირბადი	ხეები ჰაერიდან ნახშირბადს შთანთქავენ.
casual	არაფორმალური	მან სამსახურში ყოველდღიური ტანსაცმელი ჩაიცვა.
cave	მღვიმე	მოლაშქრეები გამოქვაბულში შევიდნენ.
certainty	დარწმუნებულობა	ჩვენ დაზუსტებით ვერ გვეცოდინება.
certificate	სერტიფიკატი	მან ტრენინგის სერტიფიკატი მიიღო.
challenging	რთული	კურსი რთული, მაგრამ სასარგებლო იყო.
championship	ჩემპიონატი	ჩვენი გუნდი ჩემპიონატის ფინალში გავიდა.
charming	მომხიბვლელი	ძველი ქუჩა მომხიბვლელად გამოიყურებოდა.
chase	დევნა	ძაღლი ბურთს გამოეკიდა.
cheek	ლოყა	ლოყაზე ცრემლმა ჩამოუგორა.
cheer	შეძახილი	ბრბომ ხმამაღლა ყიჟინა დაიწყო.
choir	გუნდი	გუნდმა ლამაზად იმღერა.
chop	დაჭრა	დაჭერით ხახვი პატარა ნაჭრებად.
circuit	წრედი	მორბენალმა წრე დაასრულა.
civilization	ცივილიზაცია	უძველესმა ცივილიზაციამ ამ რეგიონს ფორმა მისცა.
clarify	განმარტება	გთხოვთ, ბოლო საკითხი დააზუსტოთ.
classify	კლასიფიცირება	მეცნიერები ცხოველებს სახეობების მიხედვით ახარისხებენ.
clerk	კლერკი	კლერკმა ქვითარი დაბეჭდა.
cliff	კლდე	ბილიკი კლდესთან მთავრდება.
clinic	კლინიკა	კლინიკა რვა საათზე იხსნება.
clip	კლიპი	მან ქაღალდს სამაგრი მიამაგრა.
coincidence	დამთხვევა	იქ მისი შეხვედრა დამთხვევა იყო.
collector	კოლექციონერი	კოლექციონერმა იშვიათი მონეტები იყიდა.
colony	კოლონია	ჭიანჭველებმა დიდი კოლონია ააშენეს.
colourful	ფერადი	ბაზარი ნათელი და ფერადი იყო.
comic	კომიქსი	კომიკურმა სცენამ გაგვაცინა.
commander	მეთაური	მეთაურმა ნათელი ბრძანებები გასცა.
comparative	შედარებითი	ესეში შედარებითი მონაცემებია გამოყენებული.
completion	დასრულება	ხიდი დასრულების პირასაა.
compose	შედგენა	ის ფილმისთვის მუსიკას დაწერს.
composer	კომპოზიტორი	კომპოზიტორმა ახალი სიმღერა დაწერა.
compound	ნაერთი	ნაერთი ორ ქიმიურ ნივთიერებას შეიცავს.
comprehensive	ყოვლისმომცველი	გზამკვლევი ყოვლისმომცველ ინსტრუქციებს იძლევა.
comprise	მოცვა	გუნდი ხუთი წევრისგან შედგება.
compulsory	სავალდებულო	ამ კლასში დასწრება სავალდებულოა.
concrete	კონკრეტული	იატაკი ბეტონისგანაა დამზადებული.
confess	აღიარება	მან მასწავლებელთან შეცდომა აღიარა.
confusion	დაბნეულობა	შეფერხებამ დაბნეულობა გამოიწვია.
consequently	შესაბამისად	იწვიმა, შესაბამისად, მატჩი შეწყდა.
conservation	კონსერვაცია	კონსერვაცია იშვიათ ცხოველებს იცავს.
considerable	მნიშვნელოვანი	შეკეთებამ მნიშვნელოვანი დრო წაიღო.
considerably	მნიშვნელოვნად	ფასები წელს მნიშვნელოვნად გაიზარდა.
consistently	თანმიმდევრულად	ის თანმიმდევრულად კარგად ასრულებს.
conspiracy	შეთქმულება	პოლიციამ შეთქმულება გამოიძია.
consult	კონსულტაცია	წამლის მიღებამდე ექიმთან კონსულტაცია გაიარეთ.
consultant	კონსულტანტი	კონსულტანტმა ახალი სტრატეგია შემოგვთავაზა.
consumption	მოხმარება	ენერგიის მოხმარება გასულ თვეში შემცირდა.
controversial	საკამათო	პოლიტიკა კვლავ საკამათოა.
controversy	დაპირისპირება	გადაწყვეტილებამ პოლემიკა გამოიწვია.
convenience	მოხერხებულობა	მაღაზია დიდ მოხერხებულობას გვთავაზობს.
convention	კონვენცია	ყოველწლიური ყრილობა ორშაბათს იწყება.
conventional	ტრადიციული	მან ტრადიციული დიზაინი აირჩია.
convey	გადაცემა	გზავნილმა თანაგრძნობა გადმოსცა.
convincing	დამაჯერებელი	მისი ახსნა დამაჯერებელი იყო.
cope	გამკლავება	მან სტრესთან გამკლავება ისწავლა.
corporation	კორპორაცია	კორპორაციამ ახალი ოფისი გახსნა.
corridor	დერეფანი	დერეფანი ვიწრო და წყნარი იყო.
counter (long flat surface)	დახლი	გასაღებები სამზარეულოს დახლზეა.
coverage	გაშუქება	ახალი ამბების გაშუქება მთელი საღამო გაგრძელდა.
crack	ბზარი	კედელზე ბზარი გაჩნდა.
craft	ხელოვნება	ის ონლაინ ხელნაკეთ ნივთებს ყიდის.
creativity	შემოქმედებითობა	კრეატიულობა პრობლემების მოგვარებაში გვეხმარება.
critically	კრიტიკულად	სტატია კრიტიკულად მნიშვნელოვანი იყო.
cruise	კრუიზი	მათ საბერძნეთში კრუიზი დაჯავშნეს.
cue	ნიშანი	მსახიობმა თავისი მინიშნება გამოტოვა.
curious	ცნობისმოყვარე	ბავშვი კოსმოსის მიმართ ცნობისმოყვარე იყო.
curriculum	სასწავლო გეგმა	სკოლამ თავისი სასწავლო გეგმა განაახლა.
cute	საყვარელი	ლეკვი საყვარლად გამოიყურებოდა.
dairy	რძის ნაწარმი	ფერმა რძის პროდუქტებს აწარმოებს.
dare	გაბედვა	გიწვევ, რომ ეს სცადო.
darkness	სიბნელე	ოთახი სიბნელით აივსო.
database	მონაცემთა ბაზა	მონაცემთა ბაზა ინახავს მომხმარებელთა ჩანაწერებს.
deadline	ბოლო ვადა	ბოლო ვადა პარასკევია.
deadly	მომაკვდინებელი	გველს სასიკვდილო შხამი აქვს.
dealer	დილერი	ავტომობილების დილერმა ფასდაკლება შემოგვთავაზა.
deck	გემბანი	სკამები გემბანზეა.
defender	დამცველი	მცველმა დარტყმა დაბლოკა.
delete	წაშლა	ძველი წერილი წაშალე.
democracy	დემოკრატია	დემოკრატია თავისუფალ არჩევნებზეა დამოკიდებული.
democratic	დემოკრატიული	კენჭისყრა დემოკრატიული წესებით წარიმართა.
demonstration	დემონსტრაცია	სტუდენტები დემონსტრაციას შეუერთდნენ.
depart	წასვლა	მატარებელი შუადღისას გავა.
dependent	დამოკიდებული	ბავშვი უფროსებზეა დამოკიდებული.
deposit	დეპოზიტი	მან ბინისთვის დეპოზიტი გადაიხადა.
depression	დეპრესია	დეპრესია პროფესიონალურ დახმარებას მოითხოვს.
derive	წარმოშობა	ბევრი სიტყვა ლათინურიდან მომდინარეობს.
desperately	სასოწარკვეთილად	მას სასოწარკვეთით ესაჭიროებოდა წყალი.
destruction	განადგურება	ქარიშხალმა ფართომასშტაბიანი ნგრევა გამოიწვია.
determination	მტკიცე გადაწყვეტილება	მისმა მიზანდასახულობამ მწვრთნელზე შთაბეჭდილება მოახდინა.
devote	მიძღვნა	ის შაბათ-კვირას სწავლას უთმობს.
differ	განსხვავება	მათი მოსაზრებები მკვეთრად განსხვავდება.
disability	ინვალიდობა	შენობას შეზღუდული შესაძლებლობის მქონე პირთათვის მისასვლელი აქვს.
disabled	გამორთული	შეზღუდული შესაძლებლობის მქონე სპორტსმენმა მედალი მოიპოვა.
disagreement	უთანხმოება	შეხვედრა უთანხმოებით დასრულდა.
disappoint	იმედგაცრუება	შედეგმა შესაძლოა გულშემატკივრებს იმედი გაუცრუოს.
disappointment	იმედგაცრუება	მან ღრმა იმედგაცრუება იგრძნო.
discourage	იმედის გაცრუება	ნუ დაუფრთხობთ ახალგაზრდა მოსწავლეებს მოტივაციას.
disorder	აშლილობა	ექიმმა ძილის დარღვევის დიაგნოზი დასვა.
distant	შორეული	მთები შორეული ჩანდა.
distinct	მკაფიო	ეს ორი ხმა ერთმანეთისგან განსხვავებულია.
distinguish	გარჩევა	შეგიძლია ამ ფერების გარჩევა?
distract	ყურადღების გადატანა	ხმაურმა შეიძლება სტუდენტებს ყურადღება გაუფანტოს.
disturb	შეწუხება	გთხოვთ, ნუ შეაწუხებთ პაციენტს.
dive	ყვინთვა	ისინი რიფთან ჩაყვინთავენ.
diverse	მრავალფეროვანი	ქალაქში მრავალფეროვანი კულტურებია.
diversity	მრავალფეროვნება	ჩვენ კულტურულ მრავალფეროვნებას აღვნიშნავთ.
divorce	განქორწინება	განქორწინება ყველასთვის რთული იყო.
dominant	დომინანტური	დომინანტურმა გუნდმა თამაში გააკონტროლა.
donation	შემოწირულობა	ქველმოქმედებამ შემოწირულობა მიიღო.
dot	წერტილი	რიცხვის შემდეგ წერტილი დასვი.
downtown	ქალაქის ცენტრი	სამსახურის შემდეგ ერთმანეთს ქალაქის ცენტრში შევხვდით.
dramatically	მკვეთრად	ფასი საგრძნობლად დაეცა.
drought	გვალვა	გვალვამ მოსავალი დააზიანა.
dull	მოსაწყენი	ლექცია მოსაწყენი იყო.
dump	გადაგდება	ნაგავს აქ ნუ დაყრით.
duration	ხანგრძლივობა	ფრენის ხანგრძლივობა სამი საათია.
dynamic	დინამიკური	საკლასო ოთახში დინამიკური გარემო იყო.
economics	ეკონომიკა	ის უნივერსიტეტში ეკონომიკას სწავლობს.
economist	ეკონომისტი	ეკონომისტმა უფრო ნელი ზრდა იწინასწარმეტყველა.
editorial	სარედაქციო	სარედაქციო სტატიამ კანონი გააკრიტიკა.
efficiently	ეფექტურად	გუნდმა ეფექტურად იმუშავა.
elbow	იდაყვი	მან იდაყვი იტკინა.
electronics	ელექტრონიკა	მაღაზიაში ელექტრონიკა იყიდება.
elegant	ელეგანტური	კაბა ელეგანტურად გამოიყურებოდა.
elementary	ელემენტარული	წიგნში ელემენტარული გრამატიკაა ახსნილი.
eliminate	აღმოფხვრა	გუნდმა რამდენიმე შეცდომა აღმოფხვრა.
embrace	მიღება	მან ახალი იდეა მიიღო.
emission	ემისია	მანქანის გამონაბოლქვის დონემ იკლო.
emotionally	ემოციურად	ის ოჯახზე ემოციურად საუბრობდა.
empire	იმპერია	იმპერიამ საუკუნეებს გაუძლო.
enjoyable	სასიამოვნო	მოგზაურობა სასიამოვნო იყო.
entertaining	გასართობი	შოუ გასართობი იყო.
entrepreneur	მეწარმე	მეწარმემ კაფე გახსნა.
envelope	კონვერტი	ჩადეთ წერილი კონვერტში.
equip	აღჭურვა	სკოლა ლაბორატორიას აღჭურვავს.
equivalent	ეკვივალენტი	ერთი დოლარი აქ ეკვივალენტი არ არის.
era	ეპოქა	აღმოჩენამ ახალი ერა დაიწყო.
erupt	ამოფრქვევა	ვულკანი შესაძლოა მალე ამოიფრქვეს.
essentially	არსებითად	ეს ორი მეთოდი არსებითად იდენტურია.
ethic	ეთიკა	მისი სამუშაო ეთიკა ძლიერია.
ethnic	ეთნიკური	ფესტივალი ეთნიკურ ტრადიციებს აღნიშნავს.
evaluation	შეფასება	კურსი საბოლოო შეფასებას მოიცავს.
evident	აშკარა	მისი ნერვიულობა აშკარა იყო.
evolution	ევოლუცია	ევოლუცია ბევრ ბიოლოგიურ ცვლილებას ხსნის.
evolve	განვითარება	ენები დროთა განმავლობაში ვითარდება.
exceed	გადაჭარბება	მოთხოვნამ შეიძლება მიწოდებას გადააჭარბოს.
exception	გამონაკლისი	არსებობს ერთი გამონაკლისი.
excessive	გადაჭარბებული	გადაჭარბებული ხმაური მეზობლებს აწუხებს.
exclude	გამორიცხვა	სია დროებით მუშაკებს გამორიცხავს.
exhibit	ექსპონატი	მუზეუმი იშვიათ ფოტოებს გამოფენს.
exit	გასასვლელი	გასასვლელი სცენის უკანაა.
exotic	ეგზოტიკური	მაღაზიაში ეგზოტიკური ხილი იყიდება.
expansion	გაფართოება	კომპანიამ გაფართოება დაგეგმა.
expertise	ექსპერტიზა	მისმა ექსპერტიზამ პროექტი გააუმჯობესა.
exploit	ექსპლუატაცია	კრიმინალები სუსტი პაროლებით სარგებლობენ.
exposure	ექსპოზიცია	მზის ზემოქმედებამ შეიძლება კანი დააზიანოს.
extension	გაფართოება	ვადის გახანგრძლივებამ ყველას დაეხმარა.
extensive	ვრცელი	ბიბლიოთეკას ვრცელი რესურსები აქვს.
extensively	ფართოდ	თემა ფართოდ იქნა შესწავლილი.
extract	ამონარიდი	ვანილის ექსტრაქტი გემოს აძლევს.
fabric	ქსოვილი	ქსოვილი რბილია.
fabulous	ზღაპრული	საჭმელი ზღაპრული იყო.
failed	წარუმატებელი	წარუმატებელმა მცდელობამ რაღაც გვასწავლა.
fake	ყალბი	ვებსაიტი ყალბ ბილეთებს ყიდდა.
fame	დიდება	დიდებამ მისი პირადი ცხოვრება შეცვალა.
fantasy	ფანტაზია	რომანი ფენტეზია.
fare	მგზავრობის საფასური	ავტობუსის მგზავრობის საფასური გაიზარდა.
federal	ფედერალური	ფედერალურმა მთავრობამ დაფინანსება გამოაცხადა.
fever	სიცხე	ბავშვს სიცხე აქვს.
firefighter	მეხანძრე	მეხანძრემ ძაღლი გადაარჩინა.
firework	ფოიერვერკი	პარკის თავზე ფოიერვერკი აფეთქდა.
firm	მტკიცე	მატრასი მყარია.
firmly	მტკიცედ	მან კარი მაგრად დახურა.
flavour	არომატი	წვნიანს მდიდარი გემო აქვს.
fond	მოსიყვარულე	ის ჯაზის მოყვარულია.
fool	სულელი	სულელივით ნუ იქცევი.
forbid	აკრძალვა	კანონი აქ მოწევას კრძალავს.
forecast	პროგნოზი	პროგნოზი წვიმას ვარაუდობს.
format	ფორმატი	გამოიყენეთ ფაილის სწორი ფორმატი.
formation	ფორმირება	ღრუბლების ფორმირება სწრაფად იცვლება.
formerly	ადრე	შენობა წარსულში სკოლა იყო.
fortunate	იღბლიანი	გაგვიმართლა, რომ ადრე მივედით.
forum	ფორუმი	ფორუმზე კლიმატის პოლიტიკა განიხილეს.
fossil	ნამარხი	ნამარხი ქვაში იპოვეს.
foundation	საფუძველი	სახლს მყარი საძირკველი აქვს.
founder	დამფუძნებელი	დამფუძნებელი სტუმრებს მიესალმა.
fraction	წილადი	სტუდენტების მხოლოდ მცირე ნაწილი მოვიდა.
fragment	ფრაგმენტი	იატაკზე შუშის ნამსხვრევი ეგდო.
framework	ჩარჩო	კანონი ნათელ ჩარჩოს ქმნის.
fraud	თაღლითობა	ბანკმა თაღლითობა გამოავლინა.
freely	თავისუფლად	ბავშვები გარეთ თავისუფლად თამაშობდნენ.
frequent	ხშირი	ხშირი შესვენებები კონცენტრაციას აუმჯობესებს.
fulfil	შესრულება	იმედი მაქვს, დანაპირებს შევასრულებ.
full-time	სრულ განაკვეთზე	მას სრულ განაკვეთზე აქვს სამსახური.
fundamentally	ფუნდამენტურად	გეგმა ძირეულად განსხვავებულია.
furious	განრისხებული	ის დაგვიანების გამო განრისხებული იყო.
gaming	გეიმინგი	გეიმინგს რეაქციის სისწრაფის გაუმჯობესება შეუძლია.
gay	გეი	ის გეების უფლებებს იცავს.
gender	სქესი	გამოკითხვაში სქესის შესახებ იკითხეს.
gene	გენი	ეს გენი თვალის ფერზე მოქმედებს.
genetic	გენეტიკური	დაავადებას გენეტიკური მიზეზები აქვს.
genius	გენიოსი	ახალგაზრდა პიანისტი გენიოსია.
genuine	ნამდვილი	მისი ღიმილი გულწრფელი ჩანდა.
genuinely	გულწრფელად	მას გულწრფელად უნდოდა დახმარება.
gesture	ჟესტი	მან მეგობრული ჟესტი გააკეთა.
gig	გიგი	ჯგუფმა ქალაქის ცენტრში კონცერტი გამართა.
globalization	გლობალიზაცია	გლობალიზაცია ადგილობრივ ბიზნესებზე მოქმედებს.
globe	გლობუსი	გლობუსი ყველა კონტინენტს აჩვენებს.
golden	ოქროსფერი	მზის ჩასვლა ოქროსფერი გახდა.
goodness	სიკეთე	მას ადამიანური სიკეთის სჯერა.
gorgeous	მშვენიერი	ბაღი ულამაზესად გამოიყურებოდა.
governor	გუბერნატორი	გუბერნატორმა კანონპროექტს ხელი მოაწერა.
graphic	გრაფიკული	გრაფიკულმა სურათმა მაყურებლები შოკში ჩააგდო.
graphics	გრაფიკა	თამაშს მარტივი გრაფიკა აქვს.
greatly	დიდად	თქვენი რჩევა დიდად დამეხმარა.
greenhouse	სათბური	პომიდორი სათბურში იზრდება.
grocery	სურსათი	სამსახურის შემდეგ მან სურსათი იყიდა.
guideline	მითითება	სახელმძღვანელო მითითება უსაფრთხო პრაქტიკას ხსნის.
habitat	ჰაბიტატი	ტყე ფრინველთა საბინადრო გარემოა.
harbour	ნავსადგური	ნავი ნავსადგურში შევიდა.
headquarters	შტაბ-ბინა	კომპანიის სათავო ოფისი ქალაქის ცენტრში გადავიდა.
