source_headword	KN	example_KN
unlike	ಭಿನ್ನವಾಗಿ	ಟಾಮ್‌ಗೆ ಭಿನ್ನವಾಗಿ, ಅನಾ ಚಳಿಗಾಲವನ್ನು ಇಷ್ಟಪಡುತ್ತಾಳೆ.
unlikely	ಅಸಂಭವ	ಈ ವಾರ ಹಿಮ ಬೀಳುವುದು ಅಸಂಭವ.
unnecessary	ಅನಗತ್ಯ	ಹೆಚ್ಚುವರಿ ಚೀಲಗಳು ಅನಗತ್ಯ.
unpleasant	ಅಹಿತಕರ	ಕೋಣೆಯು ಅಹಿತಕರ ವಾಸನೆಯನ್ನು ಹೊಂದಿತ್ತು.
update	ನವೀಕರಿಸು	ನಾನು ನನ್ನ ಫೋನ್ ಅನ್ನು ನವೀಕರಿಸಬೇಕಾಗಿದೆ.
upon	ಮೇಲೆ	ಒಂದಾನೊಂದು ಕಾಲದಲ್ಲಿ, ಒಬ್ಬ ರಾಜನಿದ್ದನು.
upset	ಬೇಸರ	ಕರೆಯ ನಂತರ ಅವಳಿಗೆ ಬೇಸರವಾಯಿತು.
used1	ಬಳಸಲಾಗುತ್ತದೆ	ಈ ಕೋಣೆಯನ್ನು ಸಭೆಗಳಿಗಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ.
used2	ರೂಢಿಯಾಗಿದೆ	ನನಗೆ ಮುಂಜಾನೆ ಏಳುವ ರೂಢಿಯಾಗಿದೆ.
valuable	ಬೆಲೆಬಾಳುವ	ಈ ಗಡಿಯಾರವು ಬೆಲೆಬಾಳುವಂತಹುದು.
value	ಮೌಲ್ಯ	ಮನೆ ಕಳೆದ ವರ್ಷ ತನ್ನ ಮೌಲ್ಯವನ್ನು ಕಳೆದುಕೊಂಡಿತು.
various	ವಿವಿಧ	ನಾವು ವಿವಿಧ ಸ್ಥಳೀಯ ಭಕ್ಷ್ಯಗಳನ್ನು ಪ್ರಯತ್ನಿಸಿದೆವು.
version	ಆವೃತ್ತಿ	ಈ ಆವೃತ್ತಿಯು ಉತ್ತಮವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ.
victim	ಸಂತ್ರಸ್ತ	ಸಂತ್ರಸ್ತರು ಪೊಲೀಸರಿಗೆ ಕರೆ ಮಾಡಿದರು.
viewer	ವೀಕ್ಷಕ	ಒಬ್ಬ ವೀಕ್ಷಕನು ಒಂದು ಪ್ರಶ್ನೆಯನ್ನು ಕೇಳಿದನು.
violent	ಹಿಂಸಾತ್ಮಕ	ಚಲನಚಿತ್ರವು ತುಂಬಾ ಹಿಂಸಾತ್ಮಕವಾಗಿತ್ತು.
volunteer	ಸ್ವಯಂಸೇವಕ	ನಾನು ಗ್ರಂಥಾಲಯದಲ್ಲಿ ಸ್ವಯಂಸೇವಕನಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತೇನೆ.
vote	ಮತದಾನ ಮಾಡು	ನಾಳೆ ಮತದಾನ ಮಾಡಲು ಮರೆಯದಿರಿ.
warn	ಎಚ್ಚರಿಸು	ನಾನು ಅವನಿಗೆ ಎಚ್ಚರಿಸಲು ಪ್ರಯತ್ನಿಸಿದೆ.
warning	ಎಚ್ಚರಿಕೆ	ಪರದೆಯ ಮೇಲೆ ಎಚ್ಚರಿಕೆ ಕಾಣಿಸಿಕೊಂಡಿತು.
waste	ವ್ಯರ್ಥ	ಶುದ್ಧ ನೀರನ್ನು ವ್ಯರ್ಥ ಮಾಡಬೇಡಿ.
weapon	ಆಯುಧ	ಚಾಕುವು ಒಂದು ಆಯುಧವಾಯಿತು.
weigh	ತೂಕ ಮಾಡು	ಹಿಟ್ಟನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ತೂಕ ಮಾಡಿ.
western	ಪಾಶ್ಚಾತ್ಯ	ಅವರು ಪಾಶ್ಚಾತ್ಯ ಚಲನಚಿತ್ರವನ್ನು ವೀಕ್ಷಿಸಿದರು.
whatever	ಯಾವುದಾದರೂ	ನಿಮಗೆ ಇಷ್ಟವಾದದ್ದನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ.
whenever	ಯಾವಾಗಲಾದರೂ	ನಿಮಗೆ ಸಹಾಯ ಬೇಕಾದಾಗಲೆಲ್ಲಾ ಕರೆ ಮಾಡಿ.
whether	ಹೌದೋ ಅಲ್ಲವೋ	ಅವಳು ಒಪ್ಪುತ್ತಾಳೋ ಇಲ್ಲವೋ ನನಗೆ ತಿಳಿದಿಲ್ಲ.
wing	ರೆಕ್ಕೆ	ಹಕ್ಕಿಯ ಒಂದು ರೆಕ್ಕೆಗೆ ಪೆಟ್ಟಾಗಿದೆ.
within	ಒಳಗೆ	ದಯವಿಟ್ಟು ಎರಡು ದಿನಗಳ ಒಳಗೆ ಉತ್ತರಿಸಿ.
wonder	ಕುತೂಹಲ	ಏನಾಯಿತೆಂದು ನನಗೆ ಆಶ್ಚರ್ಯವಾಗಿದೆ.
wool	ಉಣ್ಣೆ	ಈ ಕೋಟನ್ನು ಉಣ್ಣೆಯಿಂದ ಮಾಡಲಾಗಿದೆ.
worldwide	ವಿಶ್ವಾದ್ಯಂತ	ಈ ಹಾಡು ವಿಶ್ವಾದ್ಯಂತ ಜನಪ್ರಿಯವಾಯಿತು.
worth	ಯೋಗ್ಯ	ಈ ಪುಸ್ತಕವು ಓದಲು ಯೋಗ್ಯವಾಗಿದೆ.
written	ಲಿಖಿತ	ದಯವಿಟ್ಟು ಲಿಖಿತ ಸೂಚನೆಗಳನ್ನು ಕಳುಹಿಸಿ.
yard	ಅಂಗಳ	ಮಕ್ಕಳು ಅಂಗಳದಲ್ಲಿ ಆಡಿದರು.
youth	ಯುವಜನ	ಯುವ ಕ್ಲಬ್‌ಗಳು ಸ್ಥಳೀಯ ಹದಿಹರೆಯದವರನ್ನು ಬೆಂಬಲಿಸುತ್ತವೆ.
