source_headword	LV	example_LV
loop	aplis	Taka veido apli.
loyalty	lojalitāte	Viņa lojalitāte pārsteidza komandu.
machinery	tehnika	Rūpnīcā tika uzstādīta jauna tehnika.
magical	maģisks	Dārzs naktī izskatījās maģisks.
magistrate	miertiesnesis	Miertiesnesis izskatīja lietu.
magnetic	magnētisks	Magnētiskais lauks ietekmēja kompasu.
magnitude	mērogs	Bojājumu mērogs bija skaidrs.
mainland	kontinentālā daļa	Prāmis savieno salas ar kontinentālo daļu.
mainstream	galvenais virziens	Ideja ienāca galvenā virziena politikā.
maintenance	apkope	Regulāra apkope novērš bojājumus.
mandate	mandāts	Prezidents paziņoja par spēcīgu mandātu.
mandatory	obligāts	Apmeklējums stažieriem ir obligāts.
manifest	izpausties	Simptomi var izpausties pēc nedēļām.
manipulate	manipulēt	Nemanipulējiet ar aptaujas rezultātiem.
manipulation	manipulācija	Datu manipulācija tika atklāta.
manuscript	manuskripts	Izdevējs pieņēma viņas manuskriptu.
march	gājiens	Protestētāji dosies gājienā uz centru.
marginal	nenozīmīgs	Izmaiņām bija nenozīmīgi ieguvumi.
marine	jūras	Jūras dzīvniekiem nepieciešams tīrs ūdens.
marketplace	tirgus laukums	Tiešsaistes tirgus laukums strauji paplašinājās.
mask	maska	Darbiniekiem jāvalkā maska.
massacre	slaktiņš	Slaktiņš šokēja visu reģionu.
mathematical	matemātisks	Matemātiskais modelis prognozēja pieprasījumu.
mature	nobriedis	Nobriedušie koki nodrošina ēnu.
maximize	maksimizēt	Atjauninājums maksimizēs akumulatora darbības laiku.
meaningful	nozīmīgs	Viņiem bija nozīmīga saruna.
meantime	starplaiks	Pa to laiku uzgaidiet ārā.
medieval	viduslaiku	Pilij ir viduslaiku sienas.
meditation	meditācija	Ikdienas meditācija nomierina viņas prātu.
melody	melodija	Melodija palika manā prātā.
memo	memorands	Memorands paskaidroja politiku.
memoir	memuāri	Viņas memuāri apraksta bērnības trimdu.
memorial	memoriāls	Memoriāls godina vietējos karavīrus.
mentor	mentors	Viņas mentors izskatīja priekšlikumu.
merchant	tirgotājs	Tirgotājs pārdeva zīdu un garšvielas.
mercy	žēlsirdība	Tiesnesis izrādīja žēlsirdību.
mere	tikai	Tikai skatiens atklāja kļūdu.
merely	vienkārši	Viņa vienkārši atkārtoja instrukcijas.
merge	apvienoties	Abas kompānijas apvienosies.
merger	apvienošanās	Apvienošanās radīja lielāku banku.
merit	nopelns	Priekšlikumam ir skaidrs nopelns.
methodology	metodoloģija	Pētījums skaidro tā metodoloģiju.
midst	vidus	Viņi strādāja haosa vidū.
migration	migrācija	Sezonālā migrācija ietekmē vietējās darbavietas.
militant	kaujinieks	Kaujinieku grupa noraidīja sarunas.
militia	zemessardze	Zemessardze kontrolēja ceļu.
mill	dzirnavas	Vecās dzirnavas kļuva par muzeju.
minimal	minimāls	Plāns prasa minimālu piepūli.
minimize	samazināt līdz minimumam	Mums jāsamazina nevajadzīgs risks.
mining	kalnrūpniecība	Kalnrūpniecība sabojāja upes ieleju.
ministry	ministrija	Ministrija paziņoja par jauniem noteikumiem.
minute2	sīks	Stiklā parādījās sīka plaisa.
miracle	brīnums	Viņa atveseļošanās šķita kā brīnums.
misery	posts	Bēgļi gadiem ilgi cieta postu.
misleading	maldinošs	Maldinošais grafiks samulsināja lasītājus.
missile	raķete	Raķetes izmēģinājums palielināja spriedzi.
mob	pūlis	Dusmīgais pūlis bloķēja satiksmi.
mobility	mobilitāte	Labāki autobusi uzlabo pilsētas mobilitāti.
mobilize	mobilizēt	Līderi ātri mobilizē brīvprātīgos.
moderate	mērens	Kandidātam ir mēreni uzskati.
modification	modifikācija	Dizainam nepieciešama viena modifikācija.
momentum	inercē	Kampaņa ātri uzņēma apgriezienus.
monk	mūks	Mūks dzīvoja klusumā.
monopoly	monopols	Uzņēmumam piederēja monopols.
morality	morāle	Kurss pēta sabiedrības morāli.
motive	motīvs	Policija apšaubīja viņa motīvu.
motorist	autovadītājs	Autovadītājs apstājās pie sarkanās gaismas.
municipal	pašvaldības	Pašvaldības pakalpojumi šogad uzlabojās.
mutual	abpusējs	Viņi panāca abpusēju vienošanos.
namely	proti	Paliek viena problēma, proti, finansējums.
nationwide	valsts mēroga	Streiks izraisīja valsts mēroga kavēšanos.
naval	jūras spēku	Jūras spēku bāze tika slēgta pagājušajā gadā.
neglect	atstāt novārtā	Neatstājiet novārtā pamata drošību.
neighbouring	kaimiņu	Kaimiņu pilsētas dalījās ar slimnīcu.
nest	ligzda	Putns uzvija ligzdu.
net	neto	Neto peļņa strauji pieauga.
newsletter	jaunumu izlaidums	Jaunumu izlaidums tiek piegādāts katru piektdienu.
niche	niša	Kompānija atrada ienesīgu nišu.
noble	cēls	Viņas cēlais žests atstāja iespaidu uz visiem.
nod	pamāt ar galvu	Lūdzu, pamājiet ar galvu, ja saprotat.
nominate	izvirzīt	Viņi izvirzīs jaunu priekšsēdētāju.
nomination	nominācija	Viņas nominācija pārsteidza komiteju.
nominee	kandidāts	Kandidāts atbildēja uz sarežģītiem jautājumiem.
nonetheless	tomēr	Tomēr plāns virzījās uz priekšu.
non-profit	bezpeļņas	Viņa strādā bezpeļņas klīnikā.
nonsense	muļķības	Tās baumas ir pilnīgas muļķības.
noon	pusdienlaiks	Sanāksme sākas pusdienlaikā.
notable	ievērojams	Ziņojums liecināja par ievērojamu progresu.
notably	jo īpaši	Jo īpaši izmaksas samazinājās maijā.
notify	paziņot	Lūdzu, paziņojiet personālam pirms aiziešanas.
notorious	bēdīgi slavens	Ceļš ir bēdīgi slavens ar avārijām.
novel	novatorisks	Viņi piedāvāja novatorisku risinājumu.
nursery	bērnudārzs	Bērnudārzs rūpējas par zīdaiņiem.
objection	iebildums	Advokāts cēla iebildumu.
oblige	uzlikt par pienākumu	Noteikumi uzliek par pienākumu autovadītājiem apstāties.
obsess	kļūt apsēstam	Nekļūsti apsēsts ar mazām kļūdām.
obsession	apsēstība	Viņa apsēstība kaitēja viņa darbam.
occasional	gadījuma rakstura	Ir sagaidāmas retas aizkavēšanās.
occurrence	atgadījums	Šāds atgadījums ir rets.
odds	izredzes	Izredzes uz panākumiem uzlabojās.
offering	piedāvājums	Universitāte paplašināja savu piedāvājumu.
offspring	pēcnācēji	Lapsa aizsargāja savus pēcnācējus.
operational	darbspējīgs	Jaunā sistēma ir darbspējīga.
opt	izvēlēties	Daudzi studenti izvēlas tiešsaistes nodarbības.
optical	optisks	Optiskajai lēcai nepieciešama tīrīšana.
optimism	optimisms	Pēc paziņojuma atgriezās optimisms.
oral	mutisks	Mutiskais eksāmens sākas rīt.
organizational	organizatorisks	Organizatoriskās izmaiņas sākās nekavējoties.
orientation	ievadapmācība	Seminārs ietvēra darbinieku ievadapmācību.
originate	celties	Daudzas tradīcijas rodas lauku ciematos.
outbreak	uzliesmojums	Uzliesmojums izplatījās pa visu pilsētu.
outing	ekskursija	Klase izbaudīja ekskursiju uz muzeju.
outlet	tirdzniecības vieta	Tirdzniecības vieta pārdod apģērbus ar atlaidi.
outlook	perspektīva	Ekonomikas perspektīva joprojām ir neskaidra.
outrage	sašutums	Lēmums izraisīja sabiedrības sašutumu.
outsider	nepiederošais	Kā malas stāvētāja viņa pamanīja problēmas.
overlook	nepamanīt	Nepalaidiet garām sīkas detaļas.
overly	pārmērīgi	Instrukcijas bija pārmērīgi sarežģītas.
oversee	uzraudzīt	Viņa uzraudzīs projektu.
overturn	atcelt	Tiesa var atcelt spriedumu.
overwhelm	nomākt	Pārāk daudz informācijas var nomākt apmācāmos.
overwhelming	pārliecinošs	Pierādījumi bija pārliecinoši.
pad	paliktnis	Izmantojiet paliktni, lai aizsargātu ceļus.
parameter	parametrs	Pielāgojiet vienu parametru vienlaikus.
parental	vecāku	Vecāku atbalsts uzlaboja apmeklējumu.
parish	draudze	Draudze rīkoja labdarības vakariņas.
parliamentary	parlamentārs	Parlamentārās debates ilga stundām.
partial	daļējs	Ziņojums sniedza daļēju atbildi.
partially	daļēji	Logs bija daļēji atvērts.
passing	došanās mūžībā	Viņas došanās mūžībā bija pēkšņa.
passive	pasīvs	Pasīvie investori pieņēma stabilu peļņu.
pastor	mācītājs	Mācītājs apmeklēja ģimeni.
patch	ielāps	Jakai ir nepieciešams neliels ielāps.
patent	patents	Uzņēmums pieteica patentu.
pathway	ceļš	Ceļš ved uz sertifikāciju.
patrol	patrulēt	Policija naktīs patrulē apkārtnē.
patron	mecenāts	Muzejs pateicās savam mecenātam.
peak	maksimums	Pieprasījums sasniedza ziemas maksimumu.
peasant	zemnieks	Zemniekam piederēja maz zemes.
peculiar	savāds	Istabā bija savāda smarža.
persist	saglabāties	Simptomi var saglabāties dienām ilgi.
persistent	nepārejošs	Nepārejošam klepum jāpievērš uzmanība.
personnel	personāls	Personāla reģistri ir konfidenciāli.
petition	petīcija	Petīcija savāca tūkstošiem parakstu.
philosopher	filozofs	Filozofs apšaubīja vispārpieņemtus pieņēmumus.
philosophical	filozofisks	Diskusija kļuva filozofiska.
physician	ārsts	Ārsts nozīmēja asins analīzes.
pioneer	pionieris	Viņa kļuva par pionieri medicīnā.
pipeline	cauruļvads	Cauruļvads gāzi pārvada pazemē.
pirate	pirāts	Pirātu kuģis parādījās netālu no krasta.
pit	bedre	Strādnieki izraka dziļu bedri.
plea	lūgums	Viņa lūgums pēc palīdzības tika ignorēts.
plead	atzīt vainu	Aizdomās turamais atzīs savu vainu.
pledge	apņemties	Viņi apņemas atbalstīt reformas.
plug	iespraust	Iespraudiet kabeli kontaktligzdā.
plunge	strauji kristies	Cenas pēc skandāla var strauji kristies.
pole	stabs	Karogs karājās pie staba.
poll	aptauja	Aptauja uzrādīja viedokļu maiņu.
pond	dīķis	Pīles šķērsoja aizsalušo dīķi.
pop	plīst	Baloni plīst netālu no asiem priekšmetiem.
portfolio	portfelis	Viņas portfelī ir vairāki jaunuzņēmumi.
portray	atainot	Filma atainos lauku dzīvi.
postpone	atlikt	Viņi nolēma atlikt noklausīšanos.
post-war	pēckara	Pēckara mājokļi bija steidzami nepieciešami.
practitioner	speciālists	Speciālists izskaidroja ārstēšanu.
preach	sludināt	Mācītājs sludinās svētdien.
precedent	precedents	Spriedums radīja svarīgu precedentu.
precision	precizitāte	Mašīna griež ar precizitāti.
predator	plēsējs	Plēsējs gaidīja pie upes.
predecessor	priekštecis	Viņas priekštecis atstāja detalizētas piezīmes.
predominantly	pārsvarā	Rajons ir pārsvarā dzīvojamais.
pregnancy	grūtniecība	Grūtniecība prasa regulāru medicīnisku aprūpi.
prejudice	aizspriedumi	Kampaņa izaicināja rasu aizspriedumus.
preliminary	sākotnējs	Sākotnējie rezultāti izskatās daudzsološi.
premier	premjers	Premjers šodien uzrunāja parlamentu.
premise	pieņēmums	Arguments balstās uz nepatiesu pieņēmumu.
premium	uzcenojums	Klienti maksāja uzcenojumu par ātrumu.
prescribe	izrakstīt	Ārsti uzmanīgi izraksta antibiotikas.
prescription	recepte	Recepte beidzas nākamajā mēnesī.
presently	pašlaik	Viņa pašlaik nav pieejama.
preservation	saglabāšana	Saglabāšana aizsargā vēsturiskas ēkas.
preside	vadīt	Tiesnesis vadīs tiesas procesu.
presidency	prezidentūra	Viņa prezidentūra ilga astoņus gadus.
presidential	prezidenta	Prezidenta vēlēšanas piesaistīja uzmanību.
prestigious	prestižs	Viņa ieguva prestižu stipendiju.
presumably	domājams	Birojs šodien domājams ir slēgts.
presume	pieņemt	Mēs pieņemam, ka dokumenti ir īsti.
prevail	gūt virsroku	Veselajam saprātam vajadzētu gūt virsroku.
prevalence	izplatība	Astmas izplatība palielinājās.
prevention	profilakse	Profilakse ir lētāka nekā remonts.
