source_headword	KA	example_KA
primarily	ძირითადად	კურსი ძირითადად ონლაინაა.
principal	დირექტორი	დირექტორი ახალ სტუდენტებს მიესალმა.
prior	წინასწარი	ჩვენ წინასწარი თანხმობა გვჭირდება.
probability	ალბათობა	წვიმის ალბათობა მაღალია.
probable	სავარაუდო	წვიმა ამაღამ სავარაუდოა.
proceed	გაგრძელება	გთხოვთ, შემდეგ ოთახში გადახვიდეთ.
programming	პროგრამირება	პროგრამირებას პრაქტიკა სჭირდება.
progressive	პროგრესული	პოლიტიკა თავისი დროისთვის პროგრესული იყო.
prohibit	აკრძალვა	წესები მოწევას კრძალავს.
promising	იმედისმომცემი	შედეგები იმედისმომცემად გამოიყურება.
promotion	დაწინაურება	სამსახურში ის დააწინაურეს.
prompt	სწრაფი	სწრაფმა პასუხმა დრო დაზოგა.
proportion	პროპორცია	დიდმა ნაწილმა თანხმობა განაცხადა.
protein	ცილა	ლობიო ცილას შეიცავს.
protester	მომიტინგე	მომიტინგეს პლაკატი ეჭირა.
psychological	ფსიქოლოგიური	ავარიამ ფსიქოლოგიური სტრესი გამოიწვია.
publicity	საჯაროობა	ღონისძიებამ საჯაროობა მოიპოვა.
publishing	საგამომცემლო საქმე	ის საგამომცემლო სფეროში მუშაობს.
punk	პანკი	პანკ მუსიკა იქ პოპულარული გახდა.
purely	მხოლოდ	არჩევანი წმინდად პრაქტიკული იყო.
pursuit	მისწრაფება	მან სამართლიანობისკენ სწრაფვა განაგრძო.
puzzle	თავსატეხი	თავსატეხმა ერთი საათი წაიღო.
questionnaire	კითხვარი	გთხოვთ შეავსოთ კითხვარი.
racial	რასობრივი	ანგარიში რასობრივ უთანასწორობას განიხილავდა.
racism	რასიზმი	რასიზმი საზოგადოებებს აზიანებს.
racist	რასისტული	კომენტარი რასისტული იყო.
radiation	რადიაცია	რადიაციას უჯრედების დაზიანება შეუძლია.
rail	მოაჯირი	კიბეზე მოაჯირს მოეჭიდეთ.
random	შემთხვევითი	კომპიუტერმა შემთხვევითი რიცხვი აირჩია.
rat	ვირთხა	ვირთხამ ურნების უკან გაირბინა.
rating	რეიტინგი	სასტუმროს მაღალი რეიტინგი აქვს.
reasonably	საკმაოდ	ოთახი საკმაოდ სუფთა იყო.
rebuild	ხელახლა აშენება	ისინი ხიდს ხელახლა ააშენებენ.
receiver	მიმღები	მიმღებმა ბურთი დაიჭირა.
recession	რეცესია	რეცესიამ ხარჯები შეამცირა.
reckon	ვარაუდი	ვფიქრობ, მატარებელი იგვიანებს.
recognition	აღიარება	მან თავისი მუშაობისთვის აღიარება მოიპოვა.
recovery	გამოჯანმრთელება	გამოჯანმრთელებამ რამდენიმე კვირა წაიღო.
recruit	დაქირავება	კომპანია ინჟინრებს დაიქირავებს.
recruitment	კადრების აყვანა	კადრების აყვანა მომავალ ორშაბათს დაიწყება.
referee	მსაჯი	მსაჯმა მატჩი შეაჩერა.
refugee	ლტოლვილი	ლტოლვილმა უსაფრთხო სახლი იპოვა.
registration	რეგისტრაცია	რეგისტრაცია პარასკევს სრულდება.
regulate	რეგულირება	კანონი გამონაბოლქვს დაარეგულირებს.
reinforce	გამაგრება	დამატებითი კოჭები სახურავს ამაგრებს.
relieve	შემსუბუქება	წამალს ტკივილის შემსუბუქება შეუძლია.
relieved	შვებაგამოვლილი	ზარის შემდეგ მან შვება იგრძნო.
remarkable	შესანიშნავი	გამოჯანმრთელება შესანიშნავი იყო.
remarkably	საოცრად	ის საოცრად სწრაფად გამოჯანმრთელდა.
reporting	ანგარიშგება	ზუსტ ანგარიშგებას მნიშვნელობა აქვს.
resign	გადადგომა	მენეჯერი ხვალ გადადგება.
resolution	გარჩევადობა	ეკრანს მაღალი გარჩევადობა აქვს.
restore	აღდგენა	მუშები ძველ ნახატს აღადგენენ.
restrict	შეზღუდვა	წესები პარკირებას ზღუდავს.
restriction	შეზღუდვა	შეზღუდვა ხვალ სრულდება.
retail	საცალო ვაჭრობა	საცალო გაყიდვები გაიზარდა.
retirement	პენსიაში გასვლა	მან პენსიაში გასვლა ყურადღებით დაგეგმა.
revenue	შემოსავალი	ბილეთების შემოსავალმა რემონტი დააფინანსა.
revision	გამეორება	გამეორება გამოცდის წინ დაეხმარა.
ridiculous	სასაცილო	ფასი სასაცილო იყო.
risky	სარისკო	გეგმა სარისკო ჩანდა.
rival	კონკურენტი	ჩვენმა კონკურენტმა ახალი მაღაზია გახსნა.
rob	გაძარცვა	კაცები ბანკის გაძარცვას შეეცადნენ.
robbery	ძარცვა	ძარცვა ღამით მოხდა.
rocket	რაკეტა	რაკეტა წარმატებით გაეშვა.
romance	რომანტიკა	ნოველა რომანს შეიცავს.
rose	ვარდი	ღობესთან წითელი ვარდი გაიზარდა.
roughly	დაახლოებით	დაახლოებით ოცი ადამიანი დაესწრო.
ruin	გაფუჭება	წვიმამ შეიძლება პიკნიკი გააფუჭოს.
satisfaction	კმაყოფილება	მომხმარებელთა კმაყოფილება გაუმჯობესდა.
scandal	სკანდალი	სკანდალმა მისი კარიერა დააზიანა.
scare	შეშინება	მაღალმა ხმამ შემაშინა.
scenario	სცენარი	ყველაზე ცუდი სცენარი ნაკლებად სავარაუდოა.
scholar	სწავლული	სწავლული უძველეს ტექსტებს სწავლობდა.
scholarship	სტიპენდია	მან სტიპენდია მოიპოვა.
scratch	ნაკაწრი	კატამ ნაკაწრი დატოვა.
screening	სკრინინგი	საავადმყოფო კიბოს სკრინინგს გვთავაზობს.
seeker	მაძიებელი	სამსახურის მაძიებელმა განაცხადები გაგზავნა.
seminar	სემინარი	სემინარი ცხრაზე იწყება.
settler	მოსახლე	მოსახლემ პატარა ფერმა ააშენა.
severely	ძლიერად	შტორმმა გზები ძლიერ დააზიანა.
sexy	სექსუალური	კაბა სექსუალურად ითვლებოდა.
shocking	შოკისმომგვრელი	ახალი ამბავი შოკისმომგვრელი იყო.
shore	ნაპირი	ჩვენ ნაპირის გასწვრივ ვისეირნეთ.
shortage	დეფიციტი	ქალაქი წყლის დეფიციტის წინაშე აღმოჩნდა.
shortly	მალევე	ავტობუსი შუადღის შემდეგ მალევე ჩამოვიდა.
short-term	მოკლევადიანი	გეგმას მოკლევადიანი სარგებელი აქვს.
sibling	და-ძმა	თითოეულმა და-ძმამ საჩუქარი მიიღო.
signature	ხელმოწერა	გთხოვთ დაამატოთ თქვენი ხელმოწერა.
significance	მნიშვნელობა	აღმოჩენას დიდი მნიშვნელობა აქვს.
skilled	კვალიფიციური	კვალიფიციურმა მუშებმა სახურავი შეაკეთეს.
slogan	სლოგანი	კამპანიამ მარტივი სლოგანი გამოიყენა.
so-called	ეგრეთ წოდებული	ეგრეთ წოდებულმა ექსპერტმა შეცდომები დაუშვა.
somehow	როგორღაც	გასაღებები როგორღაც გაქრა.
sometime	ოდესმე	მომავალ კვირას ოდესმე გვესტუმრეთ.
sophisticated	დახვეწილი	პროგრამული უზრუნველყოფა დახვეწილია.
spare	სათადარიგო	ჩვენ სათადარიგო გასაღებს ვინახავთ.
specialize	სპეციალიზება	ექიმები სხვადასხვა სფეროში სპეციალიზდებიან.
specify	დაზუსტება	გთხოვთ, დააზუსტოთ თქვენი ჩამოსვლის დრო.
spectacular	შთამბეჭდავი	ფოიერვერკი შთამბეჭდავი იყო.
spectator	მაყურებელი	თითოეულმა მაყურებელმა პროგრამა მიიღო.
speculate	ვარაუდი	ექსპერტები მიზეზზე ვარაუდობენ.
speculation	სპეკულაცია	სტატიამ ვარაუდები წაახალისა.
spice	სანელებელი	სათითაოდ დაამატეთ სანელებელი.
spill	დაღვრა	წვენი არ დაღვაროთ.
spite	მიუხედავად	მან პრობლემების მიუხედავად მიაღწია წარმატებას.
spoil	გაფუჭება	ზედმეტ მარილს წვნიანის გაფუჭება შეუძლია.
spokesman	პრესსპიკერი	წარმომადგენელმა კითხვებს უპასუხა.
spokesperson	პრესსპიკერი	პრესსპიკერმა განცხადება წაიკითხა.
spokeswoman	პრესსპიკერი	პრესსპიკერმა პრესას მიმართა.
sponsorship	სპონსორობა	გუნდს სპონსორობა სჭირდება.
sporting	სპორტული	ქალაქი სპორტულ ღონისძიებებს მასპინძლობს.
stall	დახლი	ბაზრის დახლზე ხილი იყიდება.
stance	პოზიცია	მინისტრმა თავისი პოზიცია შეცვალა.
starve	შიმშილი	საჭმლის გარეშე ცხოველებმა შეიძლება იშიმშილონ.
steadily	სტაბილურად	კომპანია სტაბილურად გაიზარდა.
steam	ორთქლი	წვნიანიდან ორთქლი ამოვიდა.
stimulate	სტიმულირება	ნათელ ფერებს ინტერესის სტიმულირება შეუძლიათ.
