source_headword	AZ	example_AZ
upgrade	yeniləmək	Biz proqram təminatını ötən gecə yenilədik.
uphold	qüvvədə saxlamaq	Biz ilkin qərarı qüvvədə saxlayırıq.
utility	kommunal xidmət	Mənzilə bütün kommunal xərclər daxildir.
utilize	istifadə etmək	Komanda mövcud məlumatlardan istifadə etdi.
utterly	tamamilə	İzah tamamilə çaşdırıcı idi.
vacuum	boşluq	Rəhbərlikdəki boşluq gərginlik yaratdı.
vague	qeyri-müəyyən	Onun cavabı qeyri-müəyyən və zəif idi.
validity	etibarlılıq	Tədqiqat testin etibarlılığını şübhə altına aldı.
vanish	yoxa çıxmaq	Fayl qovluqdan yoxa çıxdı.
variable	dəyişən	Qiymət önəmli bir dəyişəndir.
varied	müxtəlif	Kurs müxtəlif tapşırıqlar təklif edir.
vein	damar	Tibb bacısı damarı tez tapdı.
venture	müəssisə	Yeni müəssisə investorları cəlb etdi.
verbal	şifahi	Onlar şifahi razılığa gəldilər.
verdict	hökm	Münsiflər heyəti öz hökmünü verdi.
verify	təsdiqləmək	Zəhmət olmasa e-poçt ünvanınızı təsdiqləyin.
verse	misra	O, şeirdən bir misra sitat gətirdi.
versus	qarşı	Debat məxfiliyə qarşı təhlükəsizlik haqqında idi.
vessel	gəmi	Gəmi dənizlə taxıl daşıyırdı.
veteran	veteran	Veteran yeni işçilərə təlim keçdi.
viable	məqsədəuyğun	Təklif maliyyə cəhətdən məqsədəuyğundur.
vibrant	canlı	Şəhərin canlı bir incəsənət səhnəsi var.
vice	qüsur	Acgözlük onun ən böyük qüsuru idi.
vicious	amansız	Amansız hücum qəsəbəni sarsıtdı.
villager	kəndli	Bir kəndli bizi çaya apardı.
violate	pozmaq	Şirkət təhlükəsizlik qaydalarını poza bilər.
violation	qayda pozuntusu	Müfəttiş ciddi qayda pozuntusu barədə məlumat verdi.
virtue	fəzilət	Səbir önəmli bir fəzilətdir.
vocal	açıq sözlü	O, qərarla bağlı fikrini açıq bildirdi.
vow	and içmək	O, işi bitirəcəyinə and içdi.
vulnerability	zəiflik	Audit təhlükəsizlik zəifliyini aşkar etdi.
vulnerable	həssas	Uşaqlar həddindən artıq istilər zamanı həssas olurlar.
ward	palata	Xəstə başqa bir palataya köçürüldü.
warehouse	anbar	Anbar ehtiyat hissələrini saxlayır.
warfare	müharibə	Müasir müharibə texnologiyaya əsaslanır.
warrant	order	Polis axtarış orderini göstərdi.
warrior	döyüşçü	Döyüşçü kəndi qorudu.
weaken	zəiflətmək	Zədə onun tutuşunu zəiflətdi.
weave	toxumaq	O, səbət toxumağı öyrəndi.
weed	alaq otu	Daşların arasında alaq otu bitmişdi.
well	quyu	Kəndin quyusu qurudu.
well-being	rifah	Yuxu rifah üçün həyati əhəmiyyət daşıyır.
whatsoever	qətiyyən	O, qətiyyən maraq göstərmədi.
whereby	hansı ki	Qanun ailələrin şikayət edə biləcəyi bir sistem yaratdı.
whilst	ikən	O dincələrkən, qadın işləyirdi.
whip	şiddətlə əsmək	Külək bayraqları şiddətlə dalğalandıra bilər.
wholly	tamamilə	Qərar tamamilə gözlənilməz idi.
widen	genişləndirmək	Şəhər yolu genişləndirməyi planlaşdırır.
widow	dul qadın	Dul qadın məktəbin yaxınlığında yaşayır.
width	en	Qapının enini ölçün.
willingness	istək	Onun kömək etmək istəyi hər kəsi heyran etdi.
wipe	silmək	Ekranı bir parça ilə silin.
wit	zəka	Onun zəkası nitqi canlandırdı.
withdrawal	geri çəkilmə	Maliyyələşdirmənin geri çəkilməsi layihəni gecikdirdi.
workout	məşq	Məşq qırx dəqiqə davam etdi.
worship	ibadət	İnsanlar sübhdən ibadət üçün toplandılar.
worthwhile	dəyərli	Səfər etməyə dəyərdi.
worthy	layiq	Xeyriyyə cəmiyyəti dəstəyə layiqdir.
yell	qışqırmaq	İşçilərin üstünə qışqırmayın.
yield	məhsul	Fermanın məhsulu bu mövsüm yaxşılaşdı.
youngster	gənc	Uşaq çoxlu suallar verdi.
