source_headword	IT	example_IT
confused	confuso	Mi sono sentito confuso dalla mappa.
connection	la connessione	La connessione internet è lenta.
consequence	la conseguenza	Dormire poco ha una conseguenza.
consist	consistere	Il pasto consiste di tre portate.
consume	consumare	Le auto grandi consumano più carburante.
consumer	il consumatore	Il consumatore vuole informazioni chiare.
contact	contattare	Contattami dopo pranzo.
container	il contenitore	Metti la zuppa in un contenitore.
content1	il contenuto	Il contenuto del corso è utile.
continuous	continuo	La macchina faceva un rumore continuo.
contrast	il contrasto	Il contrasto tra loro è chiaro.
convenient	comodo	La stazione è molto comoda.
convince	convincere	Lo convinse a riprovare.
costume	il costume	Indossava un costume da pirata.
cottage	il cottage	Hanno affittato un piccolo cottage.
cotton	il cotone	Questa camicia è fatta di cotone.
countryside	la campagna	Camminammo attraverso la campagna.
court	il tribunale	Il caso andò in tribunale.
covered	coperto	Il tavolo era coperto di fogli.
cruel	crudele	Fu crudele ridere.
cultural	culturale	Il museo offre eventi culturali.
currency	la valuta	La valuta locale è l'euro.
current	attuale	La situazione attuale è difficile.
currently	attualmente	Attualmente studia all'estero.
curtain	la tenda	Chiudi la tenda di notte.
custom	l'usanza	Questa usanza è molto antica.
damage	il danno	La tempesta causò gravi danni.
decade	il decennio	Vissero lì per un decennio.
decorate	decorare	Decoriamo la stanza insieme.
define	definire	Puoi definire questo termine?
definite	definito	Abbiamo bisogno di una risposta definita.
definition	la definizione	Scrivi la definizione nel quaderno.
deliver	consegnare	Consegnano cibo a casa nostra.
departure	la partenza	L'orario di partenza è cambiato.
despite	nonostante	Nonostante la pioggia, camminammo.
destination	la destinazione	Parigi era la loro destinazione finale.
determine	determinare	I test determinano il tuo livello.
determined	determinato	Era determinata ad avere successo.
development	lo sviluppo	Lo sviluppo della città fu rapido.
diagram	il diagramma	Disegna un diagramma semplice.
diamond	il diamante	L'anello aveva un piccolo diamante.
difficulty	la difficoltà	Ebbe difficoltà ad aprire la porta.
directly	direttamente	Per favore parla direttamente con me.
dirt	lo sporco	Le sue scarpe erano coperte di sporco.
disadvantage	lo svantaggio	Il lungo viaggio è uno svantaggio.
disappointed	deluso	Si sentì delusa dal risultato.
disappointing	deludente	Il finale fu deludente.
discount	lo sconto	Gli studenti ottengono uno sconto qui.
dislike	non piacere	Non mi piace la musica molto alta.
divide	dividere	Dividi la torta in pezzi.
documentary	il documentario	Guardammo un documentario sullo spazio.
donate	donare	Molte persone donano vecchi vestiti.
doubt	il dubbio	Non ho dubbi su questo.
dressed	vestito	Era vestito di nero.
drum	il tamburo	Il tamburo risuonò nella stanza.
drunk	ubriaco	L'autista era ubriaco.
due	in scadenza	Il rapporto è in scadenza domani.
dust	la polvere	La polvere copriva i vecchi libri.
duty	il dovere	È mio dovere aiutare.
earthquake	il terremoto	Il terremoto danneggiò il ponte.
eastern	orientale	La costa orientale è ventosa.
economic	economico	Il paese affronta problemi economici.
economy	l'economia	L'economia è cresciuta quest'anno.
edge	il bordo	Stai lontano dal bordo.
editor	il redattore	Il redattore controllò l'articolo.
educate	educare	Le scuole educano i giovani.
educated	istruito	È molto istruita.
educational	educativo	Il gioco è educativo.
effective	efficace	Questa medicina è efficace.
effectively	in modo efficace	Spiegò la regola in modo efficace.
effort	lo sforzo	Il tuo sforzo ha fatto la differenza.
election	l'elezione	Il risultato dell'elezione fu vicino.
element	l'elemento	La fiducia è un elemento importante.
embarrassed	imbarazzato	Si sentì imbarazzato dopo essere caduto.
embarrassing	imbarazzante	Quello fu un errore imbarazzante.
emergency	l'emergenza	Chiama questo numero in caso di emergenza.
emotion	l'emozione	La paura è un'emozione forte.
employment	l'occupazione	L'occupazione aumentò questo mese.
encourage	incoraggiare	Gli insegnanti incoraggiano gli studenti a leggere.
enemy	il nemico	I due paesi erano nemici.
engaged	fidanzato	Si sono fidanzati la primavera scorsa.
engineering	l'ingegneria	Studia ingegneria all'università.
entertain	intrattenere	Il cantante intratterrà gli ospiti.
entertainment	l'intrattenimento	La città offre intrattenimento serale.
entrance	l'ingresso	Incontrami all'ingresso.
entry	l'ingresso	L'ingresso è gratuito per i bambini.
environmental	ambientale	Abbiamo discusso problemi ambientali.
episode	l'episodio	L'episodio finale fu emozionante.
equal	uguale	Ricevono una paga uguale.
equally	in parti uguali	Il lavoro è diviso in parti uguali.
escape	scappare	I prigionieri tentarono di scappare.
essential	essenziale	L'acqua è essenziale per la vita.
eventually	alla fine	Alla fine, trovammo l'hotel.
examine	esaminare	Il medico esaminò il mio braccio.
exchange	il cambio	Facemmo un cambio al negozio.
excitement	l'emozione	La partita era piena di emozione.
exhibition	la mostra	La mostra d'arte apre domani.
expand	espandersi	L'azienda prevede di espandersi.
expected	previsto	Il costo previsto è alto.
expedition	la spedizione	La spedizione attraversò il deserto.
experienced	esperto	È un'infermiera esperta.
explode	esplodere	La bottiglia può esplodere con il calore.
explore	esplorare	Esplorammo la città vecchia.
explosion	l'esplosione	L'esplosione ruppe diverse finestre.
export	l'esportazione	Il caffè è un'esportazione importante.
fairly	abbastanza	Il test era abbastanza facile.
familiar	familiare	Il suo viso sembrava familiare.
fancy	aver voglia di	Hai voglia di un caffè?
fascinating	affascinante	La storia era affascinante.
fashionable	alla moda	Quelle scarpe sono alla moda.
fasten	allacciare	Allaccia la cintura di sicurezza.
favour	il favore	Puoi farmi un favore?
fence	la recinzione	La recinzione circonda il giardino.
fighting	i combattimenti	I combattimenti cessarono all'alba.
file	il file	Salva il file prima di chiudere.
financial	finanziario	Ha bisogno di consulenza finanziaria.
fitness	la forma fisica	La corsa migliora la tua forma fisica.
fixed	fisso	Il prezzo è fisso.
flag	la bandiera	La bandiera sventolava sopra la scuola.
flood	l'alluvione	L'alluvione danneggiò molte case.
flour	la farina	Aggiungi farina alla ciotola.
flow	scorrere	Il fiume scorre attraverso la città.
fold	piegare	Piega il foglio a metà.
folk	la musica folk	La musica folk riempiva la sala.
force	la forza	Il vento aveva grande forza.
forever	per sempre	Ricorderò questo per sempre.
frame	la cornice	La foto ha bisogno di una cornice.
freeze	congelare	L'acqua si congelerà durante la notte.
frequently	frequentemente	Visita spesso i suoi genitori.
friendship	l'amicizia	La loro amicizia durò anni.
frighten	spaventare	I rumori forti spaventano il bambino.
frightened	spaventato	Il bambino sembrava spaventato.
frightening	spaventoso	La tempesta era spaventosa.
frozen	congelato	Il lago era congelato.
fry	friggere	Friggi le cipolle per cinque minuti.
fuel	il carburante	L'auto ha bisogno di più carburante.
function	la funzione	Questo pulsante ha una funzione.
fur	la pelliccia	Il gatto ha una pelliccia morbida.
garage	il garage	L'auto è nel garage.
gather	riunirsi	Ci riunimmo intorno al tavolo.
generally	generalmente	Generalmente arriva presto.
generation	la generazione	Ogni generazione affronta nuovi problemi.
generous	generoso	È generoso con il suo tempo.
gentle	gentile	Usa una voce gentile.
gentleman	il signore	Il signore aprì la porta.
ghost	il fantasma	La storia menziona un fantasma.
giant	gigante	Uno schermo gigante riempiva il palco.
glad	contento	Sono contento che tu sia venuto.
global	globale	Il cambiamento climatico è una questione globale.
glove	il guanto	Ho perso un guanto.
goods	le merci	Le merci arrivarono in ritardo.
grade	il voto	Ha preso un voto alto.
graduate	il laureato	È un laureato recente.
grain	il chicco	Un chicco di riso cadde.
grateful	grato	Sono grato per il tuo sostegno.
growth	la crescita	La pianta mostrò una crescita costante.
guard	la guardia	La guardia controllò i nostri biglietti.
guilty	colpevole	Si sentì colpevole per aver mentito.
hang	appendere	Appendi qui il cappotto.
happiness	la felicità	Il denaro non può comprare la felicità.
hardly	appena	Riuscivo appena a sentirti.
headline	il titolo	Il titolo attirò la mia attenzione.
heating	il riscaldamento	Il riscaldamento smise di funzionare.
heavily	fortemente	Ha piovuto fortemente tutta la notte.
helicopter	l'elicottero	Un elicottero atterrò nelle vicinanze.
highlight	evidenziare	Per favore evidenzia l'idea principale.
highly	molto	È molto rispettata.
hire	noleggiare	Dobbiamo noleggiare un'auto.
historic	storico	Visitammo un edificio storico.
historical	storico	Le piacciono i romanzi storici.
honest	onesto	Per favore dai una risposta onesta.
horrible	orribile	L'odore era orribile.
horror	l'horror	Gli piacciono i film horror.
host	l'ospite	L'ospite accolse ogni invitato.
