hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
5038:相连	相连	相连	estar conectado; estar ligado	As duas cidades são ligadas por trem de alta velocidade.	estar conectado; unirse	Las dos ciudades están conectadas por tren de alta velocidad.
5039:香水	香水	香水	o perfume	Ela não gosta de perfume com cheiro forte demais.	el perfume	A ella no le gustan los perfumes con un olor demasiado fuerte.
5052:小偷儿	小偷儿	小偷儿	o ladrão	O ladrão foi rapidamente pego pela polícia.	el ladrón	El ladrón fue atrapado rápidamente por la policía.
5053:笑容	笑容	笑容	o sorriso	O sorriso no rosto dela tranquilizou todos.	la sonrisa	La sonrisa en su rostro tranquilizó a todos.
5054:效应	效应	效应	o efeito	O efeito desta política ainda precisa ser observado.	el efecto	Todavía hay que observar el efecto de esta política.
5060:心爱	心爱	心爱	querido; favorito	Ele levou sua câmera favorita para a viagem.	querido; favorito	Llevó su cámara favorita al viaje.
5061:心底	心底	心底	o fundo do coração	Ela agradeceu a ajuda do professor do fundo do coração.	el fondo del corazón	Ella agradeció la ayuda del profesor desde el fondo del corazón.
5062:新款	新款	新款	o novo modelo; novo estilo	Esta loja acabou de colocar à venda um lote de sapatos novos.	el nuevo modelo; nuevo estilo	Esta tienda acaba de poner a la venta un lote de zapatos nuevos.
5064:新媒体	新媒体	新媒体	as novas mídias	As novas mídias mudaram a forma como as pessoas obtêm informações.	los nuevos medios	Los nuevos medios cambiaron la forma en que la gente obtiene información.
5065:心目	心目	心目	na opinião de alguém; na mente	Na minha opinião, ela é uma excelente escritora.	en la mente; a los ojos de alguien	En mi mente, ella es una escritora excelente.
5066:新能源	新能源	新能源	as novas energias	O setor de novas energias está se desenvolvendo rapidamente.	las nuevas energías; energía renovable	La industria de nuevas energías se está desarrollando rápidamente.
5069:新兴	新兴	新兴	emergente	Setores emergentes atraem muitos jovens.	emergente	Las industrias emergentes han atraído a muchos jóvenes.
5071:心愿	心愿	心愿	o desejo profundo	Ela finalmente realizou um desejo de muitos anos.	el deseo profundo	Por fin cumplió un deseo que tenía desde hacía muchos años.
5075:兴起	兴起	兴起	surgir; ganhar força	O aprendizado online surgiu em muitas regiões.	surgir; cobrar auge	El aprendizaje en línea ha surgido en muchas regiones.
5076:型号	型号	型号	o modelo	Por favor, escreva o modelo do computador no formulário.	el modelo	Por favor, escribe el modelo de la computadora en el formulario.
5078:性价比	性价比	性价比	o custo-benefício	Este hotel tem um ótimo custo-benefício.	la relación calidad-precio	Este hotel tiene una muy buena relación calidad-precio.
5081:修订	修订	修订	revisar; corrigir	O editor está revisando este material didático.	revisar; corregir	El editor está revisando este manual.
5083:袖子	袖子	袖子	a manga	As mangas deste casaco são um pouco compridas.	la manga	Las mangas de esta chaqueta son un poco largas.
5088:选修	选修	选修	cursar como eletiva	No próximo semestre quero cursar psicologia como disciplina eletiva.	cursar como optativa	El próximo semestre quiero cursar psicología como optativa.
5089:学会	学会	学会	a sociedade acadêmica; associação	Ele entrou na associação local de linguística.	la asociación académica	Se unió a la asociación local de lingüística.
5092:学员	学员	学员	o aluno; participante	Na turma de treinamento há vinte alunos.	el alumno; participante	En el curso de formación hay veinte alumnos.
5093:血管	血管	血管	o vaso sanguíneo	O médico disse que este vaso sanguíneo precisa de mais exames.	el vaso sanguíneo	El médico dijo que este vaso sanguíneo necesita un examen adicional.
5094:血型	血型	血型	o tipo sanguíneo	Ao se inscrever, é preciso informar o tipo sanguíneo.	el grupo sanguíneo	Al registrarse, hay que indicar el grupo sanguíneo.
5096:血液	血液	血液	o sangue	O exercício pode melhorar a circulação do sangue.	la sangre	El ejercicio puede favorecer la circulación de la sangre.
5098:寻求	寻求	寻求	buscar; procurar	Eles estão buscando uma solução melhor.	buscar; procurar	Están buscando una solución mejor.
5101:淹	淹	淹	inundar; submergir	A chuva forte inundou a estrada na parte baixa.	inundar; sumergir	La lluvia intensa inundó la carretera en la zona baja.
5103:严	严	严	rigoroso; severo	A escola é muito rigorosa quanto à disciplina nos exames.	estricto; severo	La escuela es muy estricta con la disciplina en los exámenes.
5111:研讨	研讨	研讨	discutir; estudar	Especialistas estão discutindo um novo plano de tratamento.	debatir; estudiar	Los expertos están debatiendo un nuevo plan de tratamiento.
5113:言语	言语	言语	palavras; fala	As palavras dele foram muito sinceras.	palabras; lenguaje	Sus palabras fueron muy sinceras.
5114:炎症	炎症	炎症	inflamação	Este medicamento pode reduzir a inflamação.	inflamación	Este medicamento puede reducir la inflamación.
5116:眼看	眼看	眼看	quase; logo	Está quase escurecendo, então devemos voltar.	casi; pronto	Ya casi oscurece, así que deberíamos volver.
5120:仰	仰	仰	olhar para cima	A criança olhou para as estrelas.	mirar hacia arriba	El niño levantó la vista hacia las estrellas.
5122:养老	养老	养老	preparar a velhice; cuidar dos idosos	Eles estão planejando a vida na velhice depois da aposentadoria.	prepararse para la vejez; mantener a los mayores	Están planificando su vida de vejez después de la jubilación.
5123:养老院	养老院	养老院	casa de repouso; lar de idosos	Este lar de idosos fica muito perto do hospital.	residencia de ancianos	Esta residencia de ancianos está muy cerca del hospital.
5125:样	样	样	tipo; variedade	Ele comprou três tipos de lanches.	tipo; clase	Compró tres tipos de bocadillos.
5128:要么	要么	要么	ou... ou...	Ou você sai agora, ou espera até amanhã.	o... o...; ya sea	O sales ahora o esperas hasta mañana.
5130:野	野	野	selvagem; silvestre	Há muitas flores silvestres nesta região montanhosa.	silvestre; salvaje	En esta zona montañosa hay muchas flores silvestres.
5131:也好	也好	也好	quer... quer...	Quer você vá ou não, precisa me avisar.	sea... o...; también está bien	Vayas o no, tienes que decírmelo.
5132:野生	野生	野生	selvagem; silvestre	É proibido capturar animais silvestres aqui.	salvaje; silvestre	Aquí está prohibido capturar animales salvajes.
5133:野外	野外	野外	campo; ar livre	Os estudantes observaram plantas no campo.	campo; aire libre	Los estudiantes observaron plantas en el campo.
5134:业	业	业	setor; indústria	O setor de serviços precisa de mais profissionais.	industria; sector	El sector servicios necesita más profesionales.
5139:衣食住行	衣食住行	衣食住行	necessidades básicas da vida	Este relatório analisa as necessidades básicas dos moradores urbanos.	necesidades básicas: ropa, comida, vivienda y transporte	Este informe analiza las necesidades básicas de los residentes urbanos.
5140:医药	医药	医药	medicina; produtos farmacêuticos	Os custos médicos e farmacêuticos subiram um pouco nos últimos anos.	medicina; productos farmacéuticos	Los costos médicos y farmacéuticos han subido algo en los últimos años.
5141:一一	一一	一一	um por um	O professor explicou as perguntas uma por uma.	uno por uno	El profesor explicó las preguntas una por una.
5142:姨	姨	姨	tia materna	Minha tia vem jantar na minha casa hoje.	tía materna	Mi tía viene hoy a cenar a mi casa.
5146:一带	一带	一带	região; área	Há muitas livrarias na região da escola.	zona; área	Hay muchas librerías por la zona de la escuela.
5147:一道	一道	一道	juntos; ao mesmo tempo	Vamos ver a exposição juntos.	juntos; al mismo tiempo	Vamos juntos a ver la exposición.
5155:一系列	一系列	一系列	uma série de	A empresa lançou uma série de novos produtos.	una serie de	La empresa lanzó una serie de productos nuevos.
5157:一阵	一阵	一阵	uma rajada; um período curto	Uma brisa fresca entrou pela janela.	una ráfaga; un rato	Entró una brisa fresca por la ventana.
5158:遗址	遗址	遗址	ruínas; sítio histórico	Este sítio de uma cidade antiga atraiu muitos turistas.	ruinas; sitio histórico	Este sitio de una ciudad antigua ha atraído a muchos turistas.
5163:益处	益处	益处	benefício; vantagem	Fazer exercício diariamente traz muitos benefícios para a saúde.	beneficio; ventaja	Hacer ejercicio a diario tiene muchos beneficios para la salud.
5164:一帆风顺	一帆风顺	一帆风顺	correr tudo bem; sem contratempos	Desejo que tudo corra bem no seu novo trabalho.	ir todo sobre ruedas; éxito sin contratiempos	Te deseo que todo vaya sobre ruedas en tu nuevo trabajo.
5165:一口气	一口气	一口气	de uma vez; sem parar	Ele correu até o topo da montanha sem parar.	de una sola vez; sin parar	Corrió hasta la cima de la montaña sin parar.
5167:一模一样	一模一样	一模一样	exatamente igual	Estas duas fotos parecem exatamente iguais.	exactamente igual	Estas dos fotos parecen exactamente iguales.
5168:艺人	艺人	艺人	artista; performer	Este artista é muito confiante no palco.	artista; intérprete	Este artista se muestra muy seguro en el escenario.
5169:一身	一身	一身	roupa completa; corpo inteiro	Ele vestia um conjunto todo preto.	conjunto; todo el cuerpo	Llevaba un conjunto completamente negro.
5170:一时	一时	一时	por um momento; por enquanto	Por um momento não consegui lembrar o nome dele.	por el momento; por un rato	Por un momento no pude recordar su nombre.
5171:一同	一同	一同	juntos	Concluímos este projeto juntos.	juntos	Completamos este proyecto juntos.
5172:易于	易于	易于	fácil de; propenso a	Este software é fácil de operar.	fácil de; propenso a	Este software es fácil de usar.
5173:抑制	抑制	抑制	inibir; conter	Este medicamento pode aliviar a dor.	inhibir; contener	Este medicamento puede reducir el dolor.
5174:因	因	因	devido a; por causa de	A reunião foi adiada por causa da chuva forte.	debido a; por	La reunión se aplazó debido a la fuerte lluvia.
5175:音节	音节	音节	sílaba	Esta palavra tem três sílabas.	sílaba	Esta palabra tiene tres sílabas.
5177:银牌	银牌	银牌	medalha de prata	Ela ganhou uma medalha de prata na competição.	medalla de plata	Ella ganó una medalla de plata en la competencia.
5178:引	引	引	citar; conduzir	O professor citou um poema antigo para explicar esse ponto.	citar; conducir	El profesor citó un poema antiguo para explicar la idea.
5179:隐藏	隐藏	隐藏	esconder; ocultar	O arquivo estava escondido na pasta do sistema.	esconder; ocultar	El archivo estaba oculto en la carpeta del sistema.
5181:引发	引发	引发	provocar; desencadear	Esta notícia provocou uma discussão acalorada.	provocar; desencadenar	Esta noticia provocó una discusión acalorada.
5182:引入	引入	引入	introduzir; trazer	A escola planeja introduzir um novo método de ensino.	introducir; incorporar	La escuela planea introducir un nuevo método de enseñanza.
5184:饮用水	饮用水	饮用水	água potável	A água potável daqui passou por testes rigorosos.	agua potable	El agua potable de aquí pasó pruebas estrictas.
5185:印	印	印	imprimir; estampar	Por favor, imprima o logotipo da empresa aqui.	imprimir; estampar	Por favor, imprime aquí el logotipo de la empresa.
5192:用餐	用餐	用餐	fazer uma refeição; comer	Os convidados estão fazendo uma refeição no restaurante.	comer; tomar una comida	Los invitados están comiendo en el restaurante.
5193:用处	用处	用处	utilidade; uso	Esta faca pequena tem muitos usos.	utilidad; uso	Este cuchillo pequeño tiene muchos usos.
5195:用人	用人	用人	contratar pessoas; empregar	Esta empresa é muito cuidadosa ao contratar pessoas.	contratar personal; emplear gente	Esta empresa es muy cuidadosa al contratar personal.
5196:用心	用心	用心	com cuidado; atento	Dá para ver que este presente foi preparado com muito cuidado.	con esmero; atento	Se nota que este regalo fue preparado con mucho esmero.
5197:优化	优化	优化	otimizar	O engenheiro está otimizando a velocidade do sistema.	optimizar	El ingeniero está optimizando la velocidad del sistema.
5200:由来	由来	由来	origem; procedência	A origem deste costume é muito interessante.	origen; procedencia	El origen de esta costumbre es muy interesante.
5201:游人	游人	游人	turista; visitante	Na primavera há especialmente muitos visitantes no parque.	turista; visitante	En primavera hay especialmente muchos visitantes en el parque.
5203:有机	有机	有机	orgânico	Esta fazenda vende apenas verduras orgânicas.	orgánico	Esta granja vende solo verduras orgánicas.
5204:有劲	有劲	有劲	interessante; com energia	Este filme fica mais interessante quanto mais você assiste.	interesante; con energía	Esta película se vuelve más interesante cuanto más la ves.
5205:有序	有序	有序	ordenado; organizado	O público entrou no local de forma ordenada.	ordenado	El público entró al recinto de manera ordenada.
5206:于	于	于	em; a	A reunião começa às nove da manhã.	en; a	La reunión empieza a las nueve de la mañana.
5207:余额	余额	余额	saldo	Verifique primeiro o saldo do cartão bancário.	saldo	Primero revisa el saldo de la tarjeta bancaria.
5210:预定	预定	预定	reservar; programar	Já reservei lugares para amanhã à noite.	reservar; fijar de antemano	Ya reservé asientos para mañana por la noche.
5213:浴室	浴室	浴室	banheiro	O piso do banheiro está um pouco escorregadio.	baño	El suelo del baño está un poco resbaladizo.
5215:原本	原本	原本	originalmente; inicialmente	Originalmente eu planejava ir a Pequim no fim de semana.	originalmente; en principio	Originalmente planeaba ir a Pekín el fin de semana.
5216:原材料	原材料	原材料	matéria-prima	A fábrica precisa de um fornecimento estável de matérias-primas.	materia prima	La fábrica necesita un suministro estable de materias primas.
5224:元宵	元宵	元宵	yuanxiao; bolinho doce de arroz glutinoso	Comemos yuanxiao no dia do Festival das Lanternas.	yuanxiao; bola dulce de arroz glutinoso	Comimos yuanxiao el día del Festival de los Faroles.
5225:源于	源于	源于	originar-se de; vir de	Esta tradição vem de um festival antigo.	originarse en; provenir de	Esta tradición proviene de un festival antiguo.
5226:远程	远程	远程	remoto; a distância	A empresa organizou uma entrevista remota.	remoto; a distancia	La empresa organizó una entrevista remota.
5227:远方	远方	远方	lugar distante; ao longe	Ele muitas vezes pensa na família distante.	lugar lejano; lejos	A menudo piensa en su familia lejana.
5229:月光	月光	月光	luz da lua	A luz da lua brilhava sobre o lago tranquilo.	luz de la luna	La luz de la luna brillaba sobre el lago tranquilo.
5231:月球	月球	月球	Lua	Cientistas estudam a superfície da Lua.	la Luna	Los científicos estudian la superficie de la Luna.
5232:乐曲	乐曲	乐曲	peça musical; composição	Esta peça musical soa muito bonita.	pieza musical	Esta pieza musical suena muy bonita.
5234:晕车	晕车	晕车	enjoar no carro	Ela fica enjoada facilmente em viagens longas de ônibus.	marearse en el coche	Ella se marea fácilmente en los viajes largos en autobús.
5235:运送	运送	运送	transportar; entregar	Estes suprimentos serão transportados para a área atingida pelo desastre.	transportar; entregar	Estos suministros serán transportados a la zona del desastre.
5237:运营	运营	运营	operar; gerir	Esta plataforma é operada por uma equipe profissional.	operar; gestionar	Esta plataforma es gestionada por un equipo profesional.
5238:杂	杂	杂	misto; variado	Há muitos objetos variados nesta gaveta.	mezclado; variado	Hay muchos objetos variados en este cajón.
5239:灾	灾	灾	desastre; calamidade	Este desastre causou grandes perdas à aldeia.	desastre; calamidad	Este desastre causó grandes pérdidas al pueblo.
5242:灾区	灾区	灾区	área atingida pelo desastre	Voluntários levaram comida para a área atingida pelo desastre.	zona de desastre	Los voluntarios llevaron comida a la zona de desastre.
5244:再生	再生	再生	regenerar; reciclar	Estes materiais podem ser reciclados e reutilizados.	reciclar; regenerar	Estos materiales pueden reciclarse y reutilizarse.
5246:赞赏	赞赏	赞赏	apreciar; admirar	O professor apreciou sua atitude séria.	apreciar; admirar	El profesor apreció su actitud seria.
5247:赞同	赞同	赞同	concordar; aprovar	A maioria dos membros concorda com esta decisão.	estar de acuerdo; aprobar	La mayoría de los miembros está de acuerdo con esta decisión.
5248:遭到	遭到	遭到	sofrer; ser alvo de	Este plano encontrou certa oposição.	sufrir; ser objeto de	Este plan encontró cierta oposición.
5251:噪声	噪声	噪声	ruído	O ruído da obra afetou os moradores próximos.	ruido	El ruido de la construcción afectó a los residentes cercanos.
5255:炸	炸	炸	explodir; fritar	O rojão explodiu de repente, e todos se assustaram.	explotar; freír	El petardo explotó de repente y todos se asustaron.
5256:粘	粘	粘	colar; grudar	A cola grudou os papéis.	pegar; adherir	El pegamento unió los papeles.
5259:占比	占比	占比	proporção; participação	A participação das vendas online já passou da metade.	proporción; porcentaje	La proporción de ventas en línea ya superó la mitad.
5262:战胜	战胜	战胜	vencer; superar	Eles finalmente superaram todas as dificuldades.	vencer; superar	Finalmente superaron todas las dificultades.
5263:占有	占有	占有	possuir; ocupar	Esta empresa detém uma grande participação de mercado.	poseer; ocupar	Esta empresa posee una gran cuota de mercado.
5265:章	章	章	capítulo; seção	Por favor, leia o conteúdo do capítulo três.	capítulo; sección	Por favor, lee el contenido del capítulo tres.
5268:账单	账单	账单	conta; fatura	O garçom colocou a conta sobre a mesa.	cuenta; factura	El camarero puso la cuenta sobre la mesa.
5269:招	招	招	recrutar; atrair	A empresa está recrutando novos funcionários.	reclutar; atraer	La empresa está reclutando empleados nuevos.
5271:招生	招生	招生	matricular alunos; admitir estudantes	Esta escola planeja matricular quinhentos alunos este ano.	admitir estudiantes; matricular	Esta escuela planea admitir quinientos estudiantes este año.
5272:招手	招手	招手	acenar	Ela acenou para nós na estação.	saludar con la mano; hacer señas	Ella nos saludó con la mano en la estación.
5274:照明	照明	照明	iluminação	A iluminação deste cômodo é muito boa.	iluminación	La iluminación de esta habitación es muy buena.
5276:针	针	针	agulha; injeção	A enfermeira aplicou uma injeção no paciente.	aguja; inyección	La enfermera le puso una inyección al paciente.
5280:镇	镇	镇	vila; acalmar	Esta vila fica perto do mar.	pueblo; calmar	Este pueblo está cerca del mar.
5281:阵雨	阵雨	阵雨	pancada de chuva	Pode haver pancadas de chuva à tarde.	chubasco; lluvia pasajera	Puede haber chubascos por la tarde.
5283:争吵	争吵	争吵	discutir; brigar	Eles começaram a brigar por uma coisa pequena.	discutir; pelearse	Empezaron a discutir por un asunto pequeño.
5290:正面	正面	正面	frente; lado positivo	Por favor, coloque a frente da foto virada para cima.	frente; lado positivo	Por favor, coloca el frente de la foto hacia arriba.
5299:之所以	之所以	之所以	a razão pela qual	A razão pela qual ele se atrasou foi o trânsito no caminho.	la razón por la que	La razón por la que llegó tarde fue el tráfico en el camino.
5303:职员	职员	职员	funcionário; membro da equipe	Todos os funcionários da empresa participaram do treinamento.	empleado; miembro del personal	Todos los empleados de la empresa asistieron a la capacitación.
5304:职责	职责	职责	dever; responsabilidade	O dever de um médico é proteger a saúde dos pacientes.	deber; responsabilidad	El deber de un médico es proteger la salud de los pacientes.
5306:只得	只得	只得	não ter escolha senão	A chuva estava forte demais, então não tivemos escolha senão cancelar a atividade.	no tener más remedio que	La lluvia era demasiado fuerte, así que no tuvimos más remedio que cancelar la actividad.
5308:只顾	只顾	只顾	só se importar com; estar absorvido em	Ele só olhava para o celular e não me ouviu falar.	preocuparse solo por; estar absorto en	Él solo miraba el teléfono y no oyó lo que dije.
5312:制	制	制	fabricar; sistema	Este medicamento é fabricado por uma indústria farmacêutica local.	fabricar; sistema	Este medicamento es fabricado por una farmacéutica local.
5313:至关重要	至关重要	至关重要	extremamente importante; crucial	O treinamento de segurança é extremamente importante para novos funcionários.	crucial; de suma importancia	La capacitación en seguridad es crucial para los empleados nuevos.
5316:制品	制品	制品	produto; artigo manufaturado	Esta loja vende todos os tipos de produtos de madeira.	producto; artículo manufacturado	Esta tienda vende todo tipo de productos de madera.
5318:质疑	质疑	质疑	questionar; duvidar	O repórter questionou os dados deste relatório.	cuestionar; dudar	El reportero cuestionó los datos de este informe.
5320:中等	中等	中等	médio; mediano	Esta peça de roupa é de tamanho médio.	mediano; promedio	Esta prenda es de talla mediana.
5324:钟头	钟头	钟头	hora	Esperamos duas horas.	hora	Esperamos dos horas.
5327:肿	肿	肿	inchar; inchado	O tornozelo dele inchou.	hincharse; hinchado	Se le hinchó el tobillo.
5328:中	中	中	acertar; ganhar; ser afetado	Ele ganhou um prêmio e ficou tão feliz que não conseguia falar.	acertar; ganar; ser afectado	Ganó un premio y estaba tan feliz que no podía hablar.
5329:种地	种地	种地	cultivar a terra; trabalhar na lavoura	Quando era jovem, o avô cultivava a terra no campo.	cultivar la tierra; trabajar el campo	El abuelo cultivaba la tierra en el campo cuando era joven.
5330:中毒	中毒	中毒	ser envenenado; intoxicar-se	Comida estragada pode causar intoxicação.	envenenarse; intoxicarse	La comida en mal estado puede causar intoxicación.
5331:中奖	中奖	中奖	ganhar um prêmio	Ela ganhou um prêmio na primeira vez que comprou um bilhete de loteria.	ganar un premio	Ganó un premio la primera vez que compró un billete de lotería.
5332:众人	众人	众人	todos; a multidão	Todos ficaram surpresos depois de ouvir a notícia.	todos; la multitud	Todos se sorprendieron después de escuchar la noticia.
5333:中暑	中暑	中暑	insolação; sofrer golpe de calor	Em dias muito quentes, idosos são propensos a sofrer insolação.	golpe de calor; sufrir insolación	En clima muy caluroso, los ancianos son propensos a sufrir un golpe de calor.
5342:珠宝	珠宝	珠宝	joias; joalheria	Esta loja é especializada em desenhar joias.	joyería; joyas	Esta tienda se especializa en diseñar joyas.
5343:诸多	诸多	诸多	numerosos; muitos	Este projeto enfrenta muitos desafios.	numerosos; muchos	Este proyecto enfrenta numerosos desafíos.
5345:主播	主播	主播	apresentadora; streamer	Ela é a apresentadora deste programa.	presentadora; streamer	Ella es la presentadora de este programa.
5348:主角	主角	主角	protagonista; papel principal	O protagonista deste filme é um médico.	protagonista; papel principal	El protagonista de esta película es un médico.
5350:主演	主演	主演	estrelar; ator principal	Esta peça é estrelada por atores jovens.	protagonizar; actor principal	Esta obra está protagonizada por actores jóvenes.
5355:祝愿	祝愿	祝愿	desejar	Desejo sinceramente felicidade a você.	desear	Te deseo sinceramente felicidad.
5359:专科	专科	专科	especialidade; curso técnico superior	Este hospital tem uma clínica especializada em oftalmologia.	especialidad; centro técnico superior	Este hospital tiene una consulta especializada de oftalmología.
5362:专用	专用	专用	exclusivo; dedicado	Esta passagem é exclusiva para funcionários.	de uso exclusivo; dedicado	Este pasaje es solo para uso del personal.
5363:专注	专注	专注	focado; concentrar-se	Ela fica muito focada quando faz experimentos.	concentrado; concentrarse	Ella está muy concentrada cuando hace experimentos.
5364:转换	转换	转换	converter; trocar	Por favor, converta o arquivo para o formato PDF.	convertir; cambiar	Por favor, convierte el archivo al formato PDF.
5365:转交	转交	转交	repassar; entregar	Por favor, entregue esta carta ao gerente.	entregar; pasar a otra persona	Por favor, entrega esta carta al gerente.
5367:转身	转身	转身	virar-se	Ele se virou imediatamente depois de ouvir o som.	darse la vuelta	Al oír el sonido, se dio la vuelta de inmediato.
5370:转动	转动	转动	girar; rodar	A roda da máquina começou a girar.	girar; rotar	La rueda de la máquina empezó a girar.
5374:捉	捉	捉	pegar; capturar	As crianças pegaram borboletas no quintal.	atrapar; capturar	Los niños atraparon mariposas en el patio.
5378:自来水	自来水	自来水	água da torneira	A água da torneira daqui pode ser bebida diretamente.	agua del grifo	El agua del grifo aquí se puede beber directamente.
5379:自律	自律	自律	autodisciplina	Manter a autodisciplina é importante para os estudos.	autodisciplina	Mantener la autodisciplina es importante para estudiar.
5381:自杀	自杀	自杀	cometer suicídio	Reportagens devem tratar casos de suicídio com cuidado.	suicidarse	Los informes de noticias deben tratar los casos de suicidio con cuidado.
5382:自我	自我	自我	eu; si mesmo	Viajar fez com que ele entendesse melhor a si mesmo.	yo; uno mismo	Viajar le ayudó a entenderse mejor a sí mismo.
5383:自言自语	自言自语	自言自语	falar sozinho; falar consigo mesmo	Ela falava sozinha enquanto organizava a estante.	hablar consigo mismo	Ella hablaba consigo misma mientras ordenaba la estantería.
5385:自助	自助	自助	autoatendimento; self-service	Este restaurante oferece café da manhã self-service.	autoservicio	Este restaurante ofrece desayuno de autoservicio.
5388:总计	总计	总计	totalizar; total	Ao todo, duzentas pessoas participaram deste evento.	totalizar; total	En total participaron doscientas personas en este evento.
5391:粽子	粽子	粽子	zongzi; arroz glutinoso embrulhado em folhas	Fizemos muitos zongzi para o Festival do Barco-Dragão.	zongzi; arroz glutinoso envuelto en hojas	Hicimos muchos zongzi para el Festival del Bote del Dragón.
5393:足	足	足	suficiente; bastante	Este dinheiro é suficiente para comprar o ingresso.	suficiente; bastante	Este dinero es suficiente para comprar el boleto.
5396:阻挡	阻挡	阻挡	bloquear; impedir	A neve forte impediu os veículos de avançar.	bloquear; detener	La fuerte nevada impidió que los vehículos avanzaran.
5399:钻	钻	钻	perfurar; enfiar-se	A criança entrou debaixo da mesa.	perforar; meterse	El niño se metió debajo de la mesa.
5400:罪	罪	罪	crime; culpa	Ele admitiu seu crime.	delito; culpa	Él admitió su delito.
