source_headword	UZ	example_UZ
backwards	orqaga	U ehtiyotkorlik bilan orqaga yurdi.
bake	pishirmoq	Men har yakshanba non pishiraman.
balance	muvozanat	Yaxshi oyoq kiyim muvozanatingizga yordam beradi.
ban	taqiqlamoq	Shahar mashinalarni taqiqlaydi.
bank (river)	daryo qirg'og'i	Biz daryo qirg'og'ida o'tirdik.
base	baza	Jamoa bazaga qaytdi.
basic	asosiy	Hammaga asosiy kompyuter ko'nikmalari kerak.
basis	asos	Ishonch do'stlikning asosidir.
battery	batareya	Telefonim batareyasi kam.
battle	jang	Jang tun bo'yi davom etdi.
beauty	go'zallik	Biz tog'larning go'zalligiga qoyil qoldik.
bee	ari	Ari gulga qo'ndi.
belief	ishonch	Uning ishonchi unga jasorat berdi.
bell	qo'ng'iroq	Maktab qo'ng'irog'i baland jiringladi.
bend	bukmoq	Ko'targanda tizzalaringizni buking.
bite	tishlamoq	It begona odamlarni tishlashi mumkin.
block	to'smoq	Qulagan daraxt yo'lni to'sdi.
bomb	bomba	Bomba bir nechta binoga zarar yetkazdi.
border	chegara	Ular tunda chegaradan o'tdi.
bother	bezovta qilmoq	Iltimos, singlingni bezovta qilma.
branch	shox	Bo'ronda bir shox sindi.
brand	brend	Bu brend talabalar orasida mashhur.
brave	jasur	Jasur odam bolani qutqardi.
breath	nafas	Chuqur nafas oling.
breathe	nafas olmoq	Bu tutunda nafas ololmayman.
breathing	nafas olish	Uning nafas olishi sekin edi.
bride	kelin	Kelin oq ko'ylak kiygan edi.
bubble	pufak	Pufak stakan ustida suzdi.
bury	ko'mmoq	Ular qutini qumga ko'mishdi.
calm	xotirjam	Imtihon paytida xotirjam bo'ling.
campaign	kampaniya	Kampaniya maktablar uchun pul yig'di.
campus	kampus	Talabalar kampus yaqinida yashaydi.
candidate	nomzod	Har bir nomzod uchta savolga javob berdi.
cap	kepka	U beysbol kepkasi kiygan edi.
captain	sardor	Sardor jamoa bilan gaplashdi.
careless	ehtiyotsiz	Ehtiyotsiz xato bizga vaqt yo'qotdi.
category	toifa	To'g'ri toifani tanlang.
ceiling	shift	Shift oq rangga bo'yalgan edi.
celebration	bayram	Bayram butun kech davom etdi.
central	markaziy	Mehmonxona markaziy joyda.
ceremony	marosim	Marosim peshinda boshlandi.
chain	zanjir	U kumush zanjir taqdi.
challenge	qiyinchilik	Bu loyiha haqiqiy qiyinchilik.
champion	chempion	Chempion murabbiyiga rahmat aytdi.
channel	kanal	Iltimos, kanalni almashtiring.
chapter	bob	Bugun kechqurun keyingi bobni o'qing.
charge	to'lov	Bolalar uchun to'lov yo'q.
cheat	aldamoq	Testda aldamang.
cheerful	quvnoq	U bugun ertalab quvnoq eshitildi.
chemical	kimyoviy modda	Kimyoviy modda hidi kuchli edi.
chest	ko'krak	Yugurgandan keyin ko'kragi og'ridi.
childhood	bolalik	Bolalikdagi uyimni eslayman.
claim	da'vo qilmoq	Ular mahsulot xavfsiz deb da'vo qiladi.
clause	band	Bu band ma'noni o'zgartiradi.
click	bosmoq	Ko'k tugmani bosing.
client	mijoz	Mijoz ko'proq tafsilot so'radi.
cloth	mato	Stolni shu mato bilan arting.
clue	ishora	Ishora buni yechishga yordam berdi.
coal	ko'mir	Eski poyezd ko'mir ishlatgan.
coin	tanga	U pol ustida tanga topdi.
collection	to'plam	Uning marka to'plami katta.
coloured	rangli	U rangli sharf taqdi.
combine	aralashtirmoq	Un va suvni aralashtiring.
commercial	reklama	Reklama tanaffusi besh daqiqa davom etdi.
commit	sodiq qolmoq	Biz rejaga sodiq qolishimiz kerak.
communication	aloqa	Yaxshi aloqa xatolarni oldini oladi.
comparison	taqqoslash	Bu taqqoslash foydali.
competitive	raqobatbardosh	Bozor juda raqobatbardosh.
competitor	raqib	Asosiy raqibimiz narxlarni pasaytirdi.
complaint	shikoyat	U shovqin haqida shikoyat qildi.
complex	murakkab	Ko'rsatmalar juda murakkab.
concentrate	diqqatni jamlamoq	Musiqa chalganda diqqatni jamlay olmayman.
conclude	yakunlamoq	Yig'ilishni hozir yakunlaymiz.
conclusion	xulosa	Uning xulosasi mantiqli ko'rindi.
confident	ishonchli	Suhbatdan oldin u o'ziga ishonchli edi.
confirm	tasdiqlamoq	Iltimos, email manzilingizni tasdiqlang.
confuse	chalkashtirmoq	Bu ikki ism meni chalkashtiradi.
confused	chalkash	Xaritadan men chalkashib qoldim.
connection	ulanish	Internet ulanishi sekin.
consequence	oqibat	Uyqu yetishmasligining oqibati bor.
consist	iborat bo'lmoq	Ovqat uch taomdan iborat.
consume	sarflamoq	Katta mashinalar ko'proq yoqilg'i sarflaydi.
consumer	iste'molchi	Iste'molchi aniq ma'lumot xohlaydi.
contact	bog'lanmoq	Tushlikdan keyin men bilan bog'laning.
container	idish	Sho'rvani idishga soling.
content1	mazmun	Kurs mazmuni foydali.
continuous	uzluksiz	Mashina uzluksiz shovqin chiqardi.
contrast	farq	Ular orasidagi farq aniq.
convenient	qulay	Bekat juda qulay.
convince	ishontirmoq	U uni yana urinib ko'rishga ishontirdi.
costume	kostyum	U qaroqchi kostyumi kiygan edi.
cottage	kichik uy	Ular kichik uyni ijaraga oldi.
cotton	paxta	Bu ko'ylak paxtadan qilingan.
countryside	qishloq joy	Biz qishloq joydan o'tib yurdik.
court	sud	Ish sudga bordi.
covered	qoplangan	Stol qog'ozlar bilan qoplangan edi.
cruel	shafqatsiz	Kulish shafqatsiz edi.
cultural	madaniy	Muzey madaniy tadbirlar taklif qiladi.
currency	valyuta	Mahalliy valyuta yevro.
current	hozirgi	Hozirgi vaziyat qiyin.
currently	hozirda	U hozirda chet elda o'qiyapti.
curtain	parda	Kechasi pardani yoping.
custom	odat	Bu odat juda eski.
damage	zarar	Bo'ron jiddiy zarar yetkazdi.
decade	o'n yil	Ular u yerda o'n yil yashashdi.
decorate	bezatmoq	Biz xonani birga bezatamiz.
define	ta'riflamoq	Bu atamani ta'riflay olasizmi?
definite	aniq	Bizga aniq javob kerak.
definition	ta'rif	Ta'rifni daftaringizga yozing.
deliver	yetkazmoq	Ular uyimizga ovqat yetkazadi.
departure	jo'nash	Jo'nash vaqti o'zgardi.
despite	qaramay	Yomg'irga qaramay, biz yurdik.
destination	manzil	Parij ularning oxirgi manzili edi.
determine	aniqlamoq	Testlar darajangizni aniqlaydi.
determined	qat'iyatli	U muvaffaqiyatga erishishga qat'iyatli edi.
development	rivojlanish	Shaharning rivojlanishi tez bo'ldi.
diagram	chizma	Oddiy chizma chizing.
diamond	olmos	Uzukda kichik olmos bor edi.
difficulty	qiyinchilik	Eshikni ochishda unga qiyinchilik bo'ldi.
directly	to'g'ridan-to'g'ri	Iltimos, menga to'g'ridan-to'g'ri gapiring.
dirt	kir	Uning oyoq kiyimlari kir bilan qoplangan edi.
disadvantage	kamchilik	Uzoq safar kamchilikdir.
disappointed	hafsalasi pir bo'lgan	U natijadan hafsalasi pir bo'ldi.
disappointing	ko'ngilsiz	Oxiri ko'ngilsiz bo'ldi.
discount	chegirma	Talabalar bu yerda chegirma oladi.
dislike	yoqtirmaslik	Men juda baland musiqani yoqtirmayman.
divide	bo'lmoq	Keksni bo'laklarga bo'ling.
documentary	hujjatli film	Biz fazo haqida hujjatli film ko'rdik.
donate	xayriya qilmoq	Ko'p odamlar eski kiyimlarni xayriya qiladi.
doubt	shubha	Bu haqda hech qanday shubham yo'q.
dressed	kiyingan	U qora kiyimda edi.
drum	baraban	Baraban ovozi xonadan o'tib eshitildi.
drunk	mast	Haydovchi mast edi.
due	muddati kelgan	Hisobot ertaga muddati kelgan.
dust	chang	Eski kitoblarni chang qoplagan edi.
duty	burch	Yordam berish mening burchim.
earthquake	zilzila	Zilzila ko'prikka zarar yetkazdi.
eastern	sharqiy	Sharqiy qirg'oq shamolli.
economic	iqtisodiy	Mamlakat iqtisodiy muammolarga duch kelmoqda.
economy	iqtisodiyot	Iqtisodiyot bu yil o'sdi.
edge	chekka	Chekkadan uzoqda turing.
editor	muharrir	Muharrir maqolani tekshirdi.
educate	ta'lim bermoq	Maktablar yoshlarga ta'lim beradi.
educated	ma'lumotli	U juda ma'lumotli.
educational	ta'limiy	O'yin ta'limiy.
effective	samarali	Bu dori samarali.
effectively	samarali	U qoidani samarali tushuntirdi.
effort	harakat	Sizning harakatingiz farq qildi.
election	saylov	Saylov natijasi juda yaqin bo'ldi.
element	unsur	Ishonch muhim unsur.
embarrassed	uyalgan	U yiqilgandan keyin uyaldi.
embarrassing	uyatli	Bu uyatli xato edi.
emergency	favqulodda holat	Favqulodda holatda shu raqamga qo'ng'iroq qiling.
emotion	hissiyot	Qo'rquv kuchli hissiyot.
employment	bandlik	Bu oy bandlik oshdi.
encourage	ruhlantirmoq	O'qituvchilar talabalarni o'qishga ruhlantiradi.
enemy	dushman	Ikki mamlakat dushman edi.
engaged	unashtirilgan	Ular o'tgan bahorda unashtirilgan edi.
engineering	muhandislik	U universitetda muhandislik o'qiydi.
entertain	ko'nglini ochmoq	Qo'shiqchi mehmonlarning ko'nglini ochadi.
entertainment	ko'ngilochar tadbir	Shahar kechki ko'ngilochar tadbirlar taklif qiladi.
entrance	kirish joyi	Meni kirish joyida kutib oling.
entry	kirish	Bolalar uchun kirish bepul.
environmental	ekologik	Biz ekologik muammolarni muhokama qildik.
episode	qism	So'nggi qism hayajonli edi.
equal	teng	Ular teng maosh oladi.
equally	teng ravishda	Ish teng ravishda bo'lingan.
escape	qochmoq	Mahbuslar qochishga urindi.
essential	muhim	Suv hayot uchun muhim.
eventually	oxir-oqibat	Oxir-oqibat, biz mehmonxonani topdik.
examine	tekshirmoq	Shifokor qo'limni tekshirdi.
exchange	almashuv	Biz do'konda almashuv qildik.
excitement	hayajon	O'yin hayajonga to'la edi.
exhibition	ko'rgazma	San'at ko'rgazmasi ertaga ochiladi.
expand	kengaymoq	Kompaniya kengayishni rejalashtirmoqda.
expected	kutilgan	Kutilgan xarajat yuqori.
expedition	ekspeditsiya	Ekspeditsiya cho'lni kesib o'tdi.
experienced	tajribali	U tajribali hamshira.
explode	portlamoq	Shisha issiqda portlashi mumkin.
explore	o'rganmoq	Biz eski shaharni o'rgandik.
explosion	portlash	Portlash bir nechta oynani sindirdi.
export	eksport	Kofe muhim eksport mahsuloti.
fairly	ancha	Test ancha oson edi.
familiar	tanish	Uning yuzi tanish ko'rindi.
fancy	xohlamoq	Kofe ichishni xohlaysizmi?
fascinating	maftunkor	Hikoya maftunkor edi.
fashionable	moda bo'lgan	U oyoq kiyimlar moda bo'lgan.
fasten	mahkamlamoq	Xavfsizlik kamarini mahkamlang.
favour	yordam	Menga bir yordam bera olasizmi?
fence	panjaralar	Panjaralar bog'ni o'rab turadi.
fighting	jang	Tongda jang to'xtadi.
file	fayl	Yopishdan oldin faylni saqlang.
financial	moliyaviy	Unga moliyaviy maslahat kerak.
fitness	jismoniy holat	Yugurish jismoniy holatingizni yaxshilaydi.
fixed	belgilangan	Narx belgilangan.
flag	bayroq	Bayroq maktab ustida hilpiradi.
flood	suv toshqini	Suv toshqini ko'p uylarga zarar yetkazdi.
flour	un	Idishga un qo'shing.
flow	oqmoq	Daryo shahar orqali oqadi.
fold	buklamoq	Qog'ozni yarmiga buklang.
folk	xalqona	Xalqona musiqa zalni to'ldirdi.
force	kuch	Shamolda katta kuch bor edi.
forever	abadiy	Men buni abadiy eslayman.
frame	ramka	Rasmga ramka kerak.
freeze	muzlamoq	Suv tunda muzlaydi.
frequently	tez-tez	U ota-onasini tez-tez ko'radi.
friendship	do'stlik	Ularning do'stligi yillar davom etdi.
frighten	qo'rqitmoq	Baland tovushlar chaqaloqni qo'rqitadi.
frightened	qo'rqqan	Bola qo'rqqan ko'rindi.
frightening	qo'rqinchli	Bo'ron qo'rqinchli edi.
frozen	muzlagan	Ko'l muzlagan edi.
fry	qovurmoq	Piyozni besh daqiqa qovuring.
fuel	yoqilg'i	Mashinaga ko'proq yoqilg'i kerak.
function	vazifa	Bu tugmaning bitta vazifasi bor.
fur	mo'yna	Mushukning mo'ynasi yumshoq.
garage	garaj	Mashina garajda.
gather	to'planmoq	Biz stol atrofida to'plandik.
generally	odatda	U odatda erta keladi.
generation	avlod	Har bir avlod yangi muammolarga duch keladi.
generous	saxiy	U o'z vaqtiga saxiy.
gentle	muloyim	Muloyim ovozdan foydalaning.
gentleman	janob	Janob eshikni ochdi.
ghost	arvoh	Hikoya arvohni eslatadi.
giant	ulkan	Ulkan ekran sahnani to'ldirdi.
glad	xursand	Kelganingizdan xursandman.
global	global	Iqlim o'zgarishi global muammo.
glove	qo'lqop	Men bitta qo'lqopni yo'qotdim.
goods	tovarlar	Tovarlar kech yetib keldi.
grade	baho	U yuqori baho oldi.
graduate	bitiruvchi	U yaqinda bitiruvchi bo'lgan.
grain	don	Bir don guruch tushdi.
grateful	minnatdor	Yordamingiz uchun minnatdorman.
growth	o'sish	O'simlik barqaror o'sishni ko'rsatdi.
guard	qorovul	Qorovul chiptalarimizni tekshirdi.
guilty	aybdor	U yolg'on aytgani uchun o'zini aybdor his qildi.
hang	osmoq	Paltoingizni bu yerga osing.
happiness	baxt	Pul baxt sotib ololmaydi.
hardly	zo'rg'a	Men sizni zo'rg'a eshitdim.
headline	sarlavha	Sarlavha e'tiborimni tortdi.
heating	isitish	Isitish ishlamay qoldi.
heavily	kuchli	Tun bo'yi kuchli yomg'ir yog'di.
helicopter	vertolyot	Yaqinda vertolyot qo'ndi.
highlight	ajratib ko'rsatmoq	Iltimos, asosiy fikrni ajratib ko'rsating.
highly	juda	U juda hurmat qilinadi.
hire	ijaraga olmoq	Biz mashina ijaraga olishimiz kerak.
historic	tarixiy	Biz tarixiy binoga bordik.
historical	tarixga oid	U tarixga oid romanlarni yaxshi ko'radi.
honest	halol	Iltimos, halol javob bering.
horrible	dahshatli	Hid dahshatli edi.
horror	dahshat	U dahshat filmlarini yoqtiradi.
host	mezbon	Mezbon har bir mehmonni kutib oldi.
