source_headword	IS	example_IS
barrel	tunna	Tunnan var full af vatni.
bass1	bassi	Bassinn hljómaði djúpt og hlýlega.
battlefield	vígvöllur	Gamli vígvöllurinn varð að minnisvarða.
bay	flói	Þorpið stendur við rólegan flóa.
beam	biti	Stálbiti styður þakið.
beast	skepna	Sagan lýsir grimmri skepnu.
behalf	fyrir hönd	Hún talaði fyrir hönd liðsins síns.
beloved	ástkær	Ástkæri kennarinn fór á eftirlaun í dag.
bench	bekkur	Þau settust á viðarbekk.
benchmark	viðmið	Prófið varð að viðmiði fyrir iðnaðinn.
beneath	undir	Skjölin voru undir möppunni.
beneficiary	rétthafi	Sonur hennar var helsti rétthafinn.
betray	svíkja	Ekki svíkja traust vinar þíns.
bind	skuldbinda	Samningurinn mun skuldbinda bæði fyrirtækin.
biography	ævisaga	Ævisaga hans seldist í mörgum eintökum.
bishop	biskup	Biskupinn heimsótti þorpskirkjuna.
bizarre	fáránlegur	Myndin var með fáránlegan endi.
blade	blað	Blaðið skar reipið.
blast	sprenging	Sprengingin braut nærliggjandi glugga.
bleed	blæða	Það byrjaði að blæða mikið úr sárinu.
blend	blanda	Blandaðu sósunni þar til hún er mjúk.
bless	blessa	Presturinn mun blessa húsið.
blessing	blessun	Að hafa stuðning var blessun.
boast	gorta	Hann hefur gaman af að gorta af peningum.
bonus	bónus	Starfsmenn fengu orlofsbónus.
boom	uppsveifla	Borgin upplifði uppsveiflu í byggingariðnaði.
bounce	skoppa	Boltinn getur skoppað mjög hátt.
boundary	mörk	Áin markar mörkin.
bow1	hneiging	Leikarinn gaf djúpa hneigingu.
breach	brot	Brotið leiddi í ljós einkagögn.
breakdown	sundurliðun	Skýrslan inniheldur sundurliðun kostnaðar.
breakthrough	tímamótaskref	Uppgötvunin var mikilvægt tímamótaskref.
breed	fjölga sér	Þessir fuglar fjölga sér á vorin.
broadband	breiðband	Skrifstofan þarf hraðara breiðband.
browser	vafri	Uppfærðu vafrann þinn áður en þú skráir þig inn.
brutal	hrottalegur	Árásin var hrottaleg og skyndileg.
buck	dollari	Miðinn kostar tíu dollara.
buddy	félagi	Félagi hans beið fyrir utan.
buffer	dempari	Trén skapa hljóðdempara.
bulk	magn	Þau keyptu hrísgrjón í lausu.
burden	byrði	Skuldin varð að þungri byrði.
bureaucracy	skrifræði	Skrifræði seinkaði leyfinu.
burial	greftrun	Greftrunin fór fram í dögun.
burst	springa	Rörinu gæti sprungið undir þrýstingi.
cabinet	ríkisstjórn	Ríkisstjórnin samþykkti áætlunina.
calculation	útreikningur	Útreikningurinn tók nokkrar mínútur.
canvas	strigi	Listamaðurinn málaði á stóran striga.
capability	geta	Tækið hefur þráðlausa getu.
capitalism	kapítalismi	Kapítalismi mótaði nútímahagkerfið.
capitalist	kapítalískur	Kapítalíska kerfið verðlaunar einkafjárfestingu.
cargo	farmur	Skipið flutti læknisfarm.
carriage	vagn	Lestarvagninn var næstum tómur.
carve	tálga	Hann mun tálga viðinn vandlega.
casino	spilavíti	Spilavítið opnaði nálægt hótelinu.
casualty	fórnarlamb	Slysið olli einu fórnarlambi.
catalogue	vörulisti	Vörulistinn sýnir allar vörur.
cater	veita þjónustu	Veitingastaðurinn getur veitt þjónustu á stórum viðburðum.
cattle	nautgripir	Nautgripirnir bitu gras nálægt ánni.
caution	varúð	Sýndu varúð á ísuðum vegum.
cautious	varkár	Fjárfestar eru áfram varkárir þessa vikuna.
cease	hætta	Verksmiðjan mun hætta framleiðslu fljótlega.
cemetery	kirkjugarður	Kirkjugarðurinn snýr að sjónum.
chamber	salur	Salurinn var hljóður á meðan kosningin fór fram.
chaos	ringulreið	Seinkunin olli ringulreið á flugvellinum.
characterize	lýsa	Sérfræðingar lýsa áætluninni sem áhættusamri.
charm	sjarmi	Bærinn hefur gamaldags sjarma.
charter	sáttmáli	Sáttmálinn verndar grundvallarréttindi.
chronic	langvinnur	Hann þjáist af langvinnum bakverkjum.
chunk	klumpur	Skerðu ostinn í klump.
circulate	dreifa	Vinsamlegast dreifðu dagskránni í dag.
circulation	upplag	Upplag dagblaðsins féll hratt.
citizenship	ríkisborgararéttur	Hún sótti um franskan ríkisborgararétt.
civic	borgara	Borgaraleiðtogar sóttu fundinn.
civilian	almennur borgari	Nokkur heimili almennra borgara skemmdust.
clarity	skýrleiki	Skýringarmyndin jók skýrleika skýrslunnar.
clash	átök	Átökin hófust eftir gönguna.
classification	flokkun	Flokkunin fer eftir stærð.
cling	loða við	Blaut föt loða við húðina.
clinical	klínískur	Klíníska rannsóknin hefst í næsta mánuði.
closure	lúkning	Fjölskyldan vildi lúkningu eftir málið.
cluster	þyrping	Þyrping húsa stóð þar nálægt.
coalition	samsteypa	Samsteypan missti meirihluta sinn.
coastal	strandar	Strandþorp bjuggust við flóðum.
cocktail	kokteill	Hún pantaði ávaxtakokteil.
cognitive	vitsmuna	Vitsmunafærni batnar með æfingu.
coincide	bera saman við	Hátíðin mun bera saman við útskriftina.
collaborate	vinna saman	Liðin vinna saman að hugbúnaðinum.
collaboration	samstarf	Samstarf þeirra skilaði góðum árangri.
collective	sameiginlegur	Ákvörðunin var sameiginleg viðleitni.
collision	árekstur	Áreksturinn lokaði þjóðveginum.
colonial	nýlendu-	Byggingin hefur nýlenduarkitektúr.
columnist	dálkahöfundur	Dálkahöfundurinn gagnrýndi stefnuna.
combat	bardagi	Hermenn æfðu fyrir bardaga.
commence	byrja	Athöfnin mun byrja á hádegi.
commentary	lýsing	Leiklýsingin var fjörug.
commentator	þulur	Þulurinn útskýrði ákvörðunina.
commerce	verslun	Netverslun óx hratt.
commissioner	umboðsmaður	Umboðsmaðurinn tilkynnti nýjar reglur.
commodity	hrávara	Hveiti er mikilvæg hrávara.
communist	kommúnískur	Kommúnistaflokkurinn hélt fund.
companion	félagi	Hundurinn hennar er tryggur félagi.
comparable	sambærilegur	Borgirnar tvær eru sambærilegar að stærð.
compassion	samúð	Hjúkrunarfræðingurinn sýndi mikla samúð.
compel	þvinga	Sönnunargögnin gætu þvingað fram viðbrögð.
compelling	sannfærandi	Heimildarmyndin færði sannfærandi rök.
compensate	bæta upp	Fyrirtækið mun bæta tjónið fyrir viðskiptavini.
compensation	bætur	Verkamenn kröfðust sanngjarnra bóta.
competence	hæfni	Prófið mælir faglega hæfni.
competent	hæfur	Hún er hæfur verkfræðingur.
compile	taka saman	Rannsakendur taka saman gögn frá sjúkrahúsum.
complement	fullkomna	Vínið mun fullkomna máltíðina.
complexity	flækjustig	Verkefnið hefur óvænt flækjustig.
compliance	fylgni	Úttektin athugaði lagalega fylgni.
complication	fylgikvilli	Skurðaðgerðin hafði einn fylgikvilla.
comply	hlíta	Fyrirtæki verða að hlíta reglugerðum.
composition	tónverk	Tónverkið inniheldur fiðlu og píanó.
compromise	málamiðlun	Málamiðlunin nægði báðum aðilum.
compute	reikna	Forritið getur reiknað heildarupphæðina.
conceal	fela	Hann reyndi að fela skemmdirnar.
concede	viðurkenna	Ráðherrann neitaði að viðurkenna ósigur.
conceive	hugsa upp	Þeir gátu ekki hugsað upp betri áætlun.
conception	skilningur	Kvikmyndin breytti skilningi mínum á sögunni.
concession	tilslökun	Fyrirtækið bauð eina tilslökun.
condemn	fordæma	Leiðtogar fordæma árásina opinberlega.
confer	veita	Verðlaunin munu veita álit.
confession	játning	Játning hans kom dómstólnum á óvart.
configuration	uppsetning	Uppsetningin stjórnar netaðgangi.
confine	takmarka	Reglurnar takmarka hunda við þetta svæði.
confirmation	staðfesting	Við fengum staðfestingu með tölvupósti.
confront	horfast í augu við	Hún ákvað að horfast í augu við vandamálið.
confrontation	átök	Átökin enduðu án ofbeldis.
congratulate	óska til hamingju	Ég hringdi til að óska systur minni til hamingju.
congregation	söfnuður	Söfnuðurinn söng saman.
congressional	þing-	Þingheyrslan stóð yfir í margar klukkustundir.
conquer	sigra	Liðið vonast til að sigra markaðinn.
conscience	samviska	Samviska hans leyfði ekki lygar.
consciousness	meðvitund	Slysið hafði áhrif á meðvitund hans.
consecutive	í röð	Hún vann þrjá leiki í röð.
consensus	samstaða	Nefndin náði fljótt samstöðu.
consent	samþykki	Skriflegt samþykki er krafist.
conserve	spara	Við spörum vatn á þurrkatímum.
consistency	samræmi	Samræmi skiptir máli í tungumálanámi.
consolidate	sameina	Fyrirtækið mun sameina tvær skrifstofur.
constituency	kjördæmi	Frambjóðandinn heimsótti hvert kjördæmi.
constitute	mynda	Konur mynda helming nefndarinnar.
constitution	stjórnarskrá	Stjórnarskráin tryggir málfrelsi.
constitutional	stjórnarskrár-	Dómstóllinn fór yfir stjórnarskrárvarin réttindi.
constraint	takmörkun	Fjárhagstakmörkun hefti verkefnið.
consultation	samráð	Samráðið stóð yfir í tvær vikur.
contemplate	íhuga	Hún staldraði við til að íhuga tilboðið.
contempt	fyrirlitning	Hann sýndi reglunum fyrirlitningu.
contend	keppa	Nokkur fyrirtæki keppa um samninginn.
contender	keppandi	Hún er sterkur keppandi.
content2	ánægður	Hann var ánægður með árangurinn.
contention	deila	Helsta deilan snýst um fjármögnun.
continually	stöðugt	Kerfið leitar stöðugt að villum.
contractor	verktaki	Verktakinn gerði við þakið.
contradiction	mótsögn	Yfirlýsing hans innihélt mótsögn.
contrary	andstæður	Andstæð sönnunargögn breyttu málinu.
contributor	þátttakandi	Hún er reglulegur þátttakandi.
conversion	umbreyting	Umbreytingin breytti dollurum í evrur.
convict	sakfella	Kviðdómurinn gæti sakfellt grunaða.
conviction	sakfelling	Sakfelling hans sló almenning óhug.
cooperate	samvinna	Vinsamlegast sýnið samvinnu við rannsóknina.
cooperative	samvinnuþýður	Starfsfólkið var samvinnuþýtt og rólegt.
coordinate	samræma	Þeir samræma sendingar á hverjum morgni.
coordination	samhæfing	Góð samhæfing sparaði tíma.
coordinator	tengiliður	Tengiliðurinn úthlutaði hverju verkefni.
cop	lögga	Lögga stóð fyrir utan stöðina.
copper	kopar	Rörið er gert úr kopar.
copyright	höfundarréttur	Myndin er vernduð af höfundarrétti.
correction	leiðrétting	Kennarinn gerði eina leiðréttingu.
correlate	fylgja	Mikil streita getur fylgt veikindum.
correlation	fylgni	Rannsóknin fann sterka fylgni.
correspond	samsvara	Þessar tölur samsvara merkimiðunum.
correspondence	bréfaskipti	Bréfaskipti þeirra stóðu yfir í mörg ár.
correspondent	fréttaritari	Fréttaritarinn greindi frá Kaíró.
corresponding	samsvarandi	Hver hnappur hefur samsvarandi ljós.
corrupt	spilltur	Spillti embættismaðurinn tók við peningum.
corruption	spilling	Spilling veikti traust almennings.
costly	dýr	Villan var dýr fyrir liðið.
councillor	borgarfulltrúi	Borgarfulltrúinn svaraði spurningum íbúa.
counselling	ráðgjöf	Hún fékk ráðgjöf eftir slysið.
counsellor	ráðgjafi	Ráðgjafinn hjálpaði nýjum nemendum.
counter (argue against)	mótmæla	Hún reyndi að mótmæla rökum hans.
counterpart	starfsbróðir	Hann hitti japanska starfsbróður sinn.
countless	ótal	Ótal sjálfboðaliðar tóku þátt í leitinni.
coup	valdarán	Valdaránið steypti forsetanum af stóli.
courtesy	kurteisi	Hún þakkaði þeim fyrir kurteisina.
