source_headword	NL	example_NL
electoral	electoraal	Het electorale systeem is vorig jaar veranderd.
elevate	verhogen	De prijs zal haar profiel verhogen.
eligible	in aanmerking komend	Alleen inwoners komen in aanmerking voor kortingen.
elite	de elite	De elite trainde op een privéacademie.
embark	beginnen	Ze zullen aan een lange reis beginnen.
embarrassment	de schaamte	Hij lachte om zijn schaamte te verbergen.
embassy	de ambassade	De ambassade gaf een nieuw reisadvies uit.
embed	zich voegen bij	De journalist zal zich bij de eenheid voegen.
embody	belichamen	Het standbeeld lijkt moed te belichamen.
emergence	de opkomst	De opkomst van telefoons veranderde het dagelijks leven.
empirical	empirisch	De paper steunt op empirisch bewijs.
empower	versterken	Onderwijs kan lokale gemeenschappen versterken.
enact	aannemen	Het parlement stemde om de hervorming aan te nemen.
encompass	omvatten	De cursus zal moderne geschiedenis omvatten.
encouragement	de aanmoediging	Haar aanmoediging hielp hem door te gaan.
encouraging	bemoedigend	De eerste resultaten zien er bemoedigend uit.
endeavour	de onderneming	De redding was een moeilijke onderneming.
endless	eindeloos	De woestijn leek eindeloos.
endorse	steunen	De vakbond weigerde de kandidaat te steunen.
endorsement	de steun	Zijn steun gaf haar campagne een boost.
endure	doorstaan	Planten kunnen strenge winters doorstaan.
enforce	handhaven	De politie handhaaft de snelheidslimiet.
enforcement	de handhaving	Strengere handhaving verminderde illegaal dumpen.
engagement	de betrokkenheid	De betrokkenheid van studenten verbeterde dit semester.
engaging	boeiend	De spreker gaf een boeiende lezing.
enquire	informeren	Informeer alstublieft bij de receptie.
enrich	verrijken	Reizen kan je begrip verrijken.
enrol	inschrijven	Studenten moeten zich voor september inschrijven.
ensue	ontstaan	Er kan chaos ontstaan na de aankondiging.
enterprise	de onderneming	De onderneming stelt lokale kunstenaars te werk.
enthusiast	de liefhebber	Elke fietsliefhebber kent deze route.
entitle	recht geven	Het ticket geeft u recht op toegang.
entity	de entiteit	Het bedrijf is een afzonderlijke juridische entiteit.
epidemic	de epidemie	De epidemie verspreidde zich over verschillende regio's.
equality	de gelijkheid	De beweging vocht voor gelijkheid.
equation	de vergelijking	De vergelijking bevat twee onbekenden.
erect	bouwen	Werkers zullen een nieuw hek bouwen.
escalate	escaleren	Het conflict zou snel kunnen escaleren.
essence	de essentie	Het gedicht vangt de essentie van de kindertijd.
establishment	de gevestigde orde	De gevestigde orde verzette zich tegen de hervorming.
eternal	eeuwig	Ze beloofden eeuwige vriendschap.
evacuate	evacueren	Brandweerlieden hielpen bewoners veilig te evacueren.
evoke	oproepen	Het nummer kan sterke herinneringen oproepen.
evolutionary	evolutionair	Het fossiel toont een evolutionaire verandering.
exaggerate	overdrijven	Overdrijf je ervaring niet.
excellence	de uitmuntendheid	De school beloont academische uitmuntendheid.
exceptional	uitzonderlijk	Ze toonde uitzonderlijke vaardigheid.
excess	het overschot	Het overtollige water overstroomde de kelder.
exclusion	de uitsluiting	Sociale uitsluiting schaadt jonge mensen.
exclusive	exclusief	De club biedt exclusieve toegang.
exclusively	uitsluitend	Deze kamer wordt uitsluitend door personeel gebruikt.
execute	uitvoeren	Het team zal het plan zorgvuldig uitvoeren.
execution	de uitvoering	De uitvoering van de strategie duurde maanden.
exert	uitoefenen	Je moet meer druk uitoefenen.
exile	de ballingschap	De schrijver leefde in ballingschap.
expenditure	de uitgave	De publieke uitgaven stegen vorig jaar.
experimental	experimenteel	De behandeling is nog steeds experimenteel.
expire	verlopen	Mijn paspoort zal snel verlopen.
explicit	expliciet	De instructies waren expliciet.
explicitly	expliciet	De regels verbieden expliciet roken.
exploitation	de uitbuiting	Het rapport legde de uitbuiting van werknemers bloot.
explosive	explosief	Het explosieve apparaat werd veilig verwijderd.
extremist	de extremist	De extremistische groep verloor steun.
facilitate	vergemakkelijken	De app zal leren op afstand vergemakkelijken.
faction	de factie	Eén factie verzette zich tegen de leider.
faculty	de faculteit	De faculteit keurde het voorstel goed.
fade	vervagen	De verf zal in de zon vervagen.
fairness	de eerlijkheid	Eerlijkheid is belangrijk in elke competitie.
fatal	fataal	Het ongeluk veroorzaakte fatale verwondingen.
fate	het lot	Niemand kende zijn lot.
favourable	gunstig	De recensie was gunstig.
feat	de prestatie	Het beklimmen van die piek was een prestatie.
feminist	feministisch	De feministische beweging veranderde het publieke debat.
fibre	de vezel	Dit brood bevat extra vezels.
fierce	hevig	De hevige storm beschadigde daken.
film-maker	de filmmaker	De filmmaker beantwoordde achteraf vragen.
filter	het filter	Het filter verwijdert stof uit de lucht.
fine	de boete	Het bedrijf betaalde een boete.
firearm	het vuurwapen	De agent vond een gestolen vuurwapen terug.
fit	de pasvorm	De nieuwe schoenen hebben een perfecte pasvorm.
fixture	de vaste inrichting	De lamp is een vaste inrichting.
flaw	de fout	Het ontwerp heeft één ernstige fout.
flawed	gebrekkig	De gebrekkige studie gaf valse resultaten.
flee	vluchten	Gezinnen moesten vluchten voor de gevechten.
fleet	de vloot	De luchtvaartmaatschappij vernieuwde haar vloot.
flesh	het vlees	De doorn doorboorde zijn vlees.
flexibility	de flexibiliteit	Op afstand werken biedt meer flexibiliteit.
flourish	floreren	Kleine bedrijven kunnen hier floreren.
fluid	de vloeistof	Drink voldoende vloeistof na het sporten.
footage	de beelden	De beelden toonden de crash.
foreigner	de buitenlander	Het formulier vraagt of je een buitenlander bent.
forge	smeden	Ze probeerden een nieuwe alliantie te smeden.
formula	de formule	De formule loste het probleem op.
formulate	formuleren	Wetenschappers formuleren een nieuwe theorie.
forth	voorwaarts	De rivier voerde de boot voorwaarts.
forthcoming	aanstaand	Het aanstaande rapport zal alles verklaren.
foster	bevorderen	Het programma helpt onafhankelijkheid te bevorderen.
fragile	breekbaar	De breekbare vaas heeft een voorzichtige behandeling nodig.
franchise	de franchise	Het restaurant werd een wereldwijde franchise.
frankly	eerlijk gezegd	Eerlijk gezegd hebben we meer tijd nodig.
frustrated	gefrustreerd	Werknemers voelden zich gefrustreerd door de vertraging.
frustrating	frustrerend	De trage verbinding was frustrerend.
frustration	de frustratie	De frustratie groeide tijdens de vergadering.
functional	functioneel	De oude keuken is nog steeds functioneel.
fundraising	de fondsenwerving	De fondsenwerving begint volgende week.
funeral	de begrafenis	De begrafenis vond plaats op vrijdag.
gallon	de gallon	De tank bevat één gallon.
gambling	het gokken	Gokken is bij wet beperkt.
gathering	de bijeenkomst	De bijeenkomst eindigde vreedzaam.
gaze	de blik	Ze hield zijn blik even vast.
gear	de uitrusting	Pak de veiligheidsuitrusting in voor het klimmen.
generic	generiek	De generieke versie kost minder.
genocide	de genocide	De genocide liet een diep nationaal trauma achter.
glance	de blik	Hij wierp een snelle blik.
glimpse	de glimp	Ik ving een glimp op van de zee.
glorious	glorieus	Het team genoot van een glorieuze overwinning.
glory	de glorie	Ze droomde van Olympische glorie.
governance	het bestuur	Goed bestuur vereist transparantie.
grace	de gratie	Ze accepteerde de nederlaag met gratie.
grasp	begrijpen	Hij slaagde er niet in het concept te begrijpen.
grave (for dead person)	het graf	Het graf was bedekt met bloemen.
grave (serious)	ernstig	De situatie blijft ernstig.
gravity	de zwaartekracht	De zwaartekracht trekt objecten naar de aarde.
grid	het raster	De kaart gebruikt een eenvoudig raster.
grief	het verdriet	Het verdriet veranderde zijn hele familie.
grin	de grijns	De jongen gaf een brede grijns.
grind	malen	Arbeiders malen de bonen elke ochtend.
grip	de grip	Houd een stevige grip op het touw.
gross	bruto	Het bruto-inkomen steeg sterk.
guerrilla	de guerrillastrijder	Guerrillastrijders verstopten zich in de heuvels.
guidance	de begeleiding	De gids biedt praktische begeleiding.
guilt	de schuld	Ze voelde schuld na het liegen.
gut	het onderbuikgevoel	Vertrouw op je onderbuikgevoel bij moeilijke keuzes.
hail	onthalen	Dorpelingen onthalen de dokter als een held.
halfway	halverwege	We stopten halverwege de heuvel.
halt	de stilstand	De trein kwam plotseling tot stilstand.
handful	het handjevol	Een handjevol vrijwilligers bleef tot laat.
handling	de hantering	Juiste hantering voorkomt schade.
handy	handig	Dit gereedschap is handig voor reparaties.
harassment	de intimidatie	Het bedrijf onderzocht klachten over intimidatie.
hardware	de hardware	De winkel verkoopt computerhardware.
harmony	de harmonie	Het koor zong in perfecte harmonie.
harsh	streng	De rechter gaf een strenge straf.
harvest	de oogst	De oogst begint in september.
haunt	achtervolgen	De herinnering bleef hem achtervolgen.
hazard	het gevaar	IJs is een ernstig gevaar op de weg.
heighten	verhogen	De toespraak kan de spanningen verhogen.
heritage	het erfgoed	Het kasteel maakt deel uit van het lokaal erfgoed.
hierarchy	de hiërarchie	De kantoorhiërarchie is duidelijk gedefinieerd.
high-profile	spraakmakend	De spraakmakende rechtszaak trok verslaggevers aan.
hint	de hint	Ze gaf me een nuttige hint.
homeland	het thuisland	Hij keerde terug naar zijn thuisland.
hopeful	hoopvol	Artsen zijn hoopvol over het herstel.
horizon	de horizon	De zon verdween onder de horizon.
horn	de toeter	De claxon van de auto maakte iedereen wakker.
hostage	de gijzelaar	De gijzelaar keerde terug naar huis.
hostile	vijandig	De menigte werd vijandig.
hostility	de vijandigheid	Openlijke vijandigheid beëindigde de besprekingen.
humanitarian	humanitair	De humanitaire missie leverde voedsel.
humanity	de mensheid	De mensheid wordt geconfronteerd met gedeelde uitdagingen.
humble	nederig	Ze bleef bescheiden na haar succes.
hydrogen	de waterstof	Waterstof brandt heel gemakkelijk.
identification	de identificatie	Identificatie is verplicht bij de ingang.
ideological	ideologisch	Het geschil had ideologische wortels.
ideology	de ideologie	Zijn ideologie vormde elke toespraak.
idiot	de idioot	Noem niemand een idioot.
ignorance	de onwetendheid	Onwetendheid kan angst verspreiden.
imagery	de beeldspraak	Het gedicht gebruikt levendige beeldspraak.
immense	immens	Het project vereiste een immense inspanning.
imminent	dreigend	Er leek een storm op komst.
implementation	de implementatie	De implementatie van de wet verliep traag.
imprison	gevangenzetten	Het regime probeerde critici gevangen te zetten.
imprisonment	de gevangenisstraf	Zijn gevangenisstraf duurde vijf jaar.
inability	het onvermogen	Haar onvermogen om zich te concentreren baarde leraren zorgen.
inadequate	ontoereikend	De schuilplaats had ontoereikende verwarming.
inappropriate	ongepast	Zijn grap was ongepast.
incidence	de incidentie	De incidentie van griep nam toe.
inclined	geneigd	Ze is geneigd in te stemmen.
inclusion	de inclusie	De school bevordert inclusie.
