source_headword	HI	example_HI
patient	धैर्यवान	बच्चों के साथ धैर्यवान रहो.
pattern	पैटर्न; नमूना	यह पैटर्न सरल है.
peace	शांति	हम सब शांति चाहते हैं.
penny	सिक्का	मुझे एक सिक्का मिला.
per	प्रति	टिकट प्रति व्यक्ति दस डॉलर हैं.
per cent	प्रतिशत	पाँच प्रतिशत कम है.
perform	प्रदर्शन करना	बैंड आज रात प्रदर्शन करेगा.
perhaps	शायद	शायद वह घर पर है.
permission	अनुमति	पहले अनुमति माँगो.
personality	व्यक्तित्व	उसका व्यक्तित्व मिलनसार है.
pet	पालतू जानवर	मेरा पालतू जानवर बिल्ली है.
petrol	पेट्रोल	कार को पेट्रोल चाहिए.
physical	शारीरिक	शारीरिक व्यायाम स्वास्थ्य में मदद करता है.
physics	भौतिकी	भौतिकी कठिन है.
pick	चुनना	एक कार्ड चुनो.
pilot	पायलट	पायलट ने साफ बोला.
planet	ग्रह	पृथ्वी एक ग्रह है.
plastic	प्लास्टिक	यह बोतल प्लास्टिक की है.
plate	थाली	खाना थाली पर रखो.
platform	प्लेटफॉर्म	प्लेटफॉर्म दो पर प्रतीक्षा करो.
pleased	प्रसन्न	तुमसे मिलकर मैं प्रसन्न हूँ.
pocket	जेब	टिकट मेरी जेब में है.
polite	विनम्र	सबके प्रति विनम्र रहो.
pollution	प्रदूषण	प्रदूषण महासागर को नुकसान पहुँचाता है.
pop	पॉप संगीत	मुझे पॉप संगीत पसंद है.
population	जनसंख्या	जनसंख्या बढ़ रही है.
position	स्थिति	अपनी स्थिति बदलो.
possession	संपत्ति	यह अंगूठी मेरी संपत्ति है.
possibility	संभावना	बारिश की संभावना है.
poster	पोस्टर	पोस्टर दीवार पर लगाओ.
power	बिजली; शक्ति	कंप्यूटर को बिजली चाहिए.
predict	भविष्यवाणी करना	हम मौसम की भविष्यवाणी नहीं कर सकते.
president	राष्ट्रपति	राष्ट्रपति ने भाषण दिया.
prevent	रोकना	बीमारी रोकने के लिए हाथ धोओ.
print	छापना	दस्तावेज़ छापो.
printer	प्रिंटर	प्रिंटर खराब है.
prison	जेल	वह जेल गया.
prize	इनाम	उसने इनाम जीता.
process	प्रक्रिया	प्रक्रिया में समय लगता है.
produce	उत्पादन करना	खेत भोजन का उत्पादन करते हैं.
professional	पेशेवर	वह एक पेशेवर नर्तकी है.
professor	प्रोफेसर	प्रोफेसर ने सवालों के जवाब दिए.
profile	प्रोफाइल	अपनी प्रोफाइल अपडेट करो.
program	कार्यक्रम; प्रोग्राम	कार्यक्रम अब शुरू होता है.
progress	प्रगति	हमने आज प्रगति की.
promise	वादा	अपना वादा निभाओ.
pronounce	उच्चारण करना	कृपया यह शब्द उच्चारण करो.
protect	बचाना; सुरक्षित रखना	अपनी आँखों को सुरक्षित रखो.
provide	प्रदान करना	वे मुफ्त पानी प्रदान करते हैं.
pub	पब	हम पब में मिले.
public	सार्वजनिक	पार्क सार्वजनिक है.
publish	प्रकाशित करना	वे एक पत्रिका प्रकाशित करते हैं.
pull	खींचना	दरवाज़ा खींचो.
purpose	उद्देश्य	उद्देश्य क्या है?
push	धक्का देना; दबाना	बटन दबाओ.
quality	गुणवत्ता	गुणवत्ता ऊँची है.
quantity	मात्रा	मात्रा जाँचो.
queen	रानी	रानी ने हाथ हिलाया.
quietly	चुपचाप	चुपचाप बोलो.
race (competition)	दौड़; प्रतियोगिता	दौड़ जल्द शुरू होगी.
railway	रेलवे	रेलवे बंद है.
raise	उठाना	अपना हाथ उठाओ.
rate	दर	होटल की दर ऊँची है.
rather	काफी	मैं काफी थका हुआ हूँ.
reach	पहुँचना	क्या तुम शेल्फ तक पहुँच सकते हो?
react	प्रतिक्रिया देना	उसने कैसी प्रतिक्रिया दी?
realize	समझना	मुझे अपनी गलती समझ आती है.
receive	प्राप्त करना	क्या तुम्हें मेरा संदेश मिला?
recent	हाल का	यह हाल की तस्वीर है.
recently	हाल ही में	मैं हाल ही में यहाँ आया.
reception	स्वागत; रिसेप्शन	रिसेप्शन सोमवार को है.
recipe	विधि	यह विधि आसान है.
recognize	पहचानना	मैं उस गीत को पहचानता हूँ.
recommend	सिफारिश करना	मैं इस किताब की सिफारिश करता हूँ.
record	रिकॉर्ड; अभिलेख	भुगतान का रिकॉर्ड रखो.
recording	रिकॉर्डिंग	रिकॉर्डिंग साफ सुनाई देती है.
recycle	रीसायकल करना	कागज़ और प्लास्टिक रीसायकल करो.
reduce	कम करना	आँच कम करो.
refer	देखना; संदर्भ देना	पृष्ठ दो देखो.
refuse1	इनकार करना	मैं झूठ बोलने से इनकार करता हूँ.
region	क्षेत्र	यह क्षेत्र ठंडा है.
regular	नियमित	वह नियमित ग्राहक है.
relationship	संबंध	उनका संबंध मजबूत है.
remove	हटाना	अपने जूते उतारो.
repair	मरम्मत करना	आज साइकिल की मरम्मत करो.
replace	बदलना	पुरानी बैटरी बदलो.
reply	जवाब देना	कृपया जल्द जवाब दो.
reporter	रिपोर्टर	रिपोर्टर ने नोट्स लिए.
request	अनुरोध	मैंने एक अनुरोध किया.
research	शोध करना	हम स्थानीय इतिहास पर शोध करते हैं.
researcher	शोधकर्ता	शोधकर्ता ने डेटा जाँचा.
respond	जवाब देना	कृपया आज जवाब दो.
response	प्रतिक्रिया	उसकी प्रतिक्रिया तेज़ थी.
rest (remaining part)	बाकी हिस्सा	बाकी हिस्सा बाद में खाओ.
rest (sleep/relax)	आराम करना	तुम्हें आराम करना चाहिए.
review	समीक्षा करना	आज रात अपने नोट्स की समीक्षा करो.
ring1	अंगूठी	उसने सोने की अंगूठी पहनी.
ring2	फोन करना	दोपहर के भोजन के बाद मुझे फोन करना.
rise	बढ़ना	कीमतें हर साल बढ़ती हैं.
rock (stone)	पत्थर	पत्थर भारी है.
