source_headword	SL	example_SL
stable	stabilen	Pacient je stabilen.
stare	strmeti	Ne strmite v neznance.
status	status	Njegov status se je spremenil čez noč.
steady	enakomeren	Ohranite enakomerno hitrost.
steel	jeklo	Most je narejen iz jekla.
steep	strm	Hrib je strm.
sticky	lepljiv	Tla so lepljiva na dotik.
stiff	otrdel	Njegova rama je bila otrdela.
stock	zaloga	Trgovina nima več zaloge.
stream	potok	Majhen potok prečka polje.
stretch	raztegniti	Po letu si pretegnite noge.
strict	strog	Šola ima stroga pravila.
strike	stavkati	Delavci bodo morda jutri stavkali.
struggle	boriti se	Številne družine se borijo z najemnino.
submit	oddati	Oddajte obrazec do petka.
sum	vsota	Vsota je bila višja od pričakovane.
surgery	operacija	Operacija je trajala dve uri.
surround	obkrožati	Hišo obkrožajo visoka drevesa.
surrounding	okoliški	Okoliško območje je mirno.
suspect	sumiti	Policija sumi domačina.
swear	preklinjati	Ne preklinjajte pri pouku.
sweep	pomesti	Pometite tla, preden pridejo gostje.
sympathy	sočutje	Izrazila je sočutje do žrtev.
tale	zgodba	Babica je povedala čudno zgodbo.
tank	rezervoar	V rezervoarju je čista voda.
tear1	raztrgati	Ne raztrgajte dokumenta.
tear2	solza	Po licu ji je spolzela solza.
temporary	začasen	Pisarna je začasno zavetišče.
therapy	terapija	Fizikalna terapija je pomagala pri njegovem okrevanju.
threat	grožnja	Sporočilo je vsebovalo grožnjo.
threaten	ogroziti	Nevihta lahko ogrozi pridelke.
thus	zato	Cesta je bila zaprta, zato smo čakali.
tone	ton	Njegov ton je zvenel mirno.
tough	težek	Intervju je bil težek.
transfer	prenašati	Podatke prenašajo vsako noč.
transform	preoblikovati	Nova politika bo preoblikovala storitve.
transition	prehod	Prehod je trajal več mesecev.
trial	sojenje	Sojenje se začne naslednji teden.
tropical	tropski	Tropske nevihte so tukaj pogoste.
truly	resnično	Resnično cenim vašo pomoč.
trust	zaupanje	Za izgradnjo zaupanja je potreben čas.
tune	melodija	Skupina je igrala veselo melodijo.
tunnel	predor	Predor poteka pod reko.
ultimately	navsezadnje	Na koncu je načrt uspel.
unconscious	nezavesten	Pacient je ostal nezavesten.
unexpected	nepričakovan	Zamuda je bila nepričakovana.
unique	edinstven	Vsak dizajn je edinstven.
universe	vesolje	Vesolje se širi.
unknown	neznan	Ime ostaja neznano.
upper	zgornji	Zgornja polica je prazna.
upwards	navzgor	Dim se je dvigal navzgor.
urban	urban	Urbana območja potrebujejo boljši prevoz.
urge	pozivati	Zdravniki spodbujajo ljudi k vadbi.
vary	razlikovati se	Cene se razlikujejo glede na regijo.
vast	ogromen	Puščava pokriva prostrano območje.
venue	prizorišče	Prizorišče sprejme petsto ljudi.
via	preko	Pošljite dokument preko e-pošte.
victory	zmaga	Ekipa je proslavila svojo zmago.
violence	nasilje	Mesto je utrpelo politično nasilje.
virtual	virtualen	Sestanek je virtualen.
vision	vizija	Njena vizija je oblikovala podjetje.
visual	vizualen	Poročilo vključuje vizualne primere.
vital	ključen	Voda je življenjskega pomena.
vitamin	vitamin	Pomaranče vsebujejo vitamin C.
volume	glasnost	Znižajte glasnost.
wage	plača	Delavci so zahtevali višjo plačo.
weakness	slabost	Načrt ima eno slabost.
wealth	bogastvo	Njegovo bogastvo izvira iz trgovine.
wealthy	premožen	Premožna družina je financirala muzej.
whereas	medtem ko	Ona ima rada čaj, medtem ko imam jaz raje kavo.
wherever	kjerkoli	Sedite, kjerkoli vam je udobno.
whisper	šepetati	Med obredom prosim šepetajte.
whom	koga	Koga ste povabili?
widely	široko	Knjiga je široko brana.
wildlife	prostoživeče živali	Park ščiti lokalne prostoživeče živali.
willing	pripravljen	Pripravljena je pomagati.
wind2	naviti	Navijte kabel okoli koluta.
wire	žica	Žica povezuje obe napravi.
wise	moder	To je bila modra odločitev.
witness	priča	Priča je opisala nesrečo.
wound	rana	Previdno očistite rano.
wrap	zaviti	Zavijte darilo v papir.
zone	cona	Ta cona je zaprta za promet.
